ca.gosyer	voyager-navigator-js	1.0.0-rc08		N/A
co.fingerprintsoft	notification-clickatell	1.2.3		2560f447ec93ffe4cf313b9f5f6111824898f45e
co.fingerprintsoft	notification-clickatell	1.2.4		5cda7c6436ee52581c43f444bc31318e5bcd6b6d
co.fingerprintsoft	notification-clickatell	2.0.0		7c4c6ade29df666c620812138e398237fa9e84ba
co.fingerprintsoft	notification-clickatell	2.1.0		587a6b4facefcc19ba624c7ee2017cd716d3b71f
co.fingerprintsoft	notification-clickatell	2.1.1		4a4ce9051c8c7a6f1520cbe4dbe3094564c414ab
co.fingerprintsoft	notification-clickatell	2.2.0		dddd5607c927da010065975081055d0b8bccdd4b
co.fingerprintsoft	notification-clickatell	2.2.1		cb90c58c0816410993938fd2a1bb91aa40ae52c8
co.fingerprintsoft	notification-clickatell	2.2.2		72174676c0017c57de680509a7427842376e1e00
co.fingerprintsoft	notification-clickatell	2.3.11		9eae187f3dba85e8279531db9d6d458144794df1
co.fingerprintsoft	notification-clickatell	2.4.6		269a013aac2c901a9ce7004bde4b15129cd65615
co.fingerprintsoft	notification-clickatell	2.5.0		1c8fb20b28d2ffd75deb010ad9cd9173ff2393a6
co.touchlab.crashkios	core-iosarm64	0.7.1-alpha2		N/A
co.touchlab.crashkios	core-iosarm64	0.7.1-alpha2	metadata	c8d4673e809f564678260fb11d47b7d654dd4ff8
co.touchlab.crashkios	core-iosarm64	0.7.1-alpha3		N/A
co.touchlab.crashkios	core-iosarm64	0.7.1-alpha3	metadata	5a4a69020970eaebc734b9c9fc13e08e7e9ff210
co.touchlab.crashkios	core-iosarm64	0.8.0		N/A
co.touchlab.crashkios	core-iosarm64	0.8.0	metadata	e3fd4f42644697f04273116c3659c890e13905db
co.touchlab.crashkios	core-iosarm64	0.8.1		N/A
co.touchlab.crashkios	core-iosarm64	0.8.1	metadata	62ba4ead7edc9d92d66a33fae942aad8ed95254d
co.touchlab.crashkios	core-iosarm64	0.8.2		N/A
co.touchlab.crashkios	core-iosarm64	0.8.2	metadata	4eafc5e727aed5ef49b6bc69f21f524f8c2f89aa
co.touchlab.crashkios	core-iosarm64	0.8.3		N/A
co.touchlab.crashkios	core-iosarm64	0.8.3	metadata	616c9c85d545d2b5dd81235c2f27b9eed797f7f4
co.touchlab.crashkios	core-iosarm64	0.8.4		N/A
co.touchlab.crashkios	core-iosarm64	0.8.4	metadata	9d0539e94df9473eedb9b59863874472fbc3f8a6
co.touchlab.crashkios	core-iosarm64	0.8.5		N/A
co.touchlab.crashkios	core-iosarm64	0.8.5	metadata	9dbc980a041fb077e4c0e614f3522af33e5efd05
co.touchlab.crashkios	core-iosarm64	0.8.6		N/A
co.touchlab.crashkios	core-iosarm64	0.8.6	metadata	db1bc5b1b5268db12808b136165276b5afb6c92a
co.touchlab.crashkios	core-iosarm64	0.9.0		N/A
co.touchlab.crashkios	core-iosarm64	0.9.0	metadata	9d27115800c7ea18c6fb23008b486cd9277b686f
com.aerospike	aerospike-client-bc-jdk21	8.0.1		89ea53217c2c2537eb9da6880751e96359e96d62
com.aerospike	aerospike-client-bc-jdk21	8.0.2		10fdc4ff2a8544e556f29330b4acb2407563f8e2
com.aerospike	aerospike-client-bc-jdk21	8.1.0		281408af31a567e90a9ca4878666aaad64a902ab
com.aerospike	aerospike-client-bc-jdk21	8.1.1		046cf17c6cd8284897cc58a5d673b911dc61c53d
com.aerospike	aerospike-client-bc-jdk21	8.1.2		47ba8879895e0fca31df82917be4449306e3f5b7
com.aerospike	aerospike-client-bc-jdk21	8.1.3		4c16238940698a59e241a6aaba00f659cf121d3b
com.aerospike	aerospike-client-bc-jdk21	8.1.4		68db152992bc6c752eef32954716f80291b1f7e6
com.aerospike	aerospike-client-bc-jdk21	8.1.5		b2c4fa865e39e2f830227ad653efada1e95c1080
com.aerospike	aerospike-client-bc-jdk21	9.0.0		2de26bf34e1dea630fba03f279c5d71b920a3e83
com.aerospike	aerospike-client-bc-jdk21	9.0.1		57df5153a3c2860b698abfc25d07767928598395
com.aerospike	aerospike-client-bc-jdk21	9.0.2		bfe329b8db8d63ab9fa623a7c2a219a4d08621fe
com.aerospike	aerospike-client-bc-jdk21	9.0.3		aef6117aaf96ee098c503f8ba09eed0beef4c579
com.aerospike	aerospike-client-bc-jdk21	9.0.4		22df67270c34e3a15d7559d9954428013bb5ac1a
com.aerospike	aerospike-client-bc-jdk21	9.0.5		59439beb3a76c215cfa3a7976a7729cbc858d8eb
com.agorapulse	micronaut-aws-sdk-bom	2.0.0-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.0-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.0-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.1-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.1-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.1-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.10-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.10-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.10-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.2-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.2-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.2-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.3-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.3-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.3-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.4-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.4-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.4-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.5-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.5-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.5-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.6-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.6-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.6-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.7-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.7-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.7-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.8-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.8-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.8-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.9-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.9-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.0.9-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.0-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.0-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.0-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.1-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.1-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.1-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.10-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.10-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.10-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.11-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.11-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.11-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.12-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.12-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.12-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.2-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.2-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.3-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.3-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.3-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.4-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.4-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.4-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.5-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.5-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.5-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.6-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.6-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.6-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.7-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.7-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.7-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.8-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.9-micronaut-1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.9-micronaut-2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.1.9-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.2.0-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.2.1-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	2.2.2-micronaut-3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.0.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.0.1		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.0.2		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.0.3		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.0.4		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.0.5		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.0.6		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.0.7		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.0.8		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.0.9		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.1		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.10		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.11		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.12		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.13		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.14		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.2		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.3		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.4		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.5		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.6		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.7		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.8		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.1.9		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.2.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.10		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.11		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.2		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.3		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.4		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.4.1		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.5		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.6		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.7		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.8		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.3.9		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.4.0		N/A
com.agorapulse	micronaut-aws-sdk-bom	3.4.1		N/A
com.aliyun	alibabacloud-mindlive20210301	1.0.0		0ec79cf47d64138cf58ae02ad6e9998b63051a96
com.azavea.stac4s	core_sjs1_2.12	0.0.18-05c1edb		8054b840869d63b12221bb76b4d34a3b5865daad
com.azavea.stac4s	core_sjs1_2.12	0.0.18-8-gec42c9d		036ec00d4f16db92eb0d9429b0e873620255c9e6
com.azavea.stac4s	core_sjs1_2.12	0.0.19		4e600c94803b3076751c10be3e3a014951dbd1b1
com.azavea.stac4s	core_sjs1_2.12	0.0.19-9-g517278d		c68c33e510215a48b1c04316eb3b457d2860befb
com.azavea.stac4s	core_sjs1_2.12	0.0.20		3ef1267d644fed61a79b888f862d80f4b2f9f1c6
com.azavea.stac4s	core_sjs1_2.12	0.0.21		242c6d0c6662161d383e7ce5b973f791b291c88a
com.azavea.stac4s	core_sjs1_2.12	0.1.1		1edfdfa5166eaa51cf130370a86e35391675eb4c
com.azavea.stac4s	core_sjs1_2.12	0.2.0		7f3528b5bffd3998c1d9228652222752c5649d2e
com.azavea.stac4s	core_sjs1_2.12	0.2.1		2f6ec23a784c82e312ae731fbc8d4177e23fbf42
com.azavea.stac4s	core_sjs1_2.12	0.2.2		bfe83d60d3b5663c68bb40012cfb52681e7b32fa
com.azavea.stac4s	core_sjs1_2.12	0.2.3		e7deeb91c89e111d32dd1799675617a044d599ed
com.azavea.stac4s	core_sjs1_2.12	0.3.0		9256cf0e736626d84cf9b4c166503553335646cd
com.azavea.stac4s	core_sjs1_2.12	0.4.0		20cc79c374e6ebf2631bd67fdb3096229f82322c
com.azavea.stac4s	core_sjs1_2.12	0.5.0		70c35709d52fed3b1802ffa7eda31e8ab171c66b
com.azavea.stac4s	core_sjs1_2.12	0.6.0		c3274121574f022ad2b9781169a97e2f7d08f54b
com.azavea.stac4s	core_sjs1_2.12	0.6.1		bd231117691b2469278070ca3c1001dbb57fe581
com.azavea.stac4s	core_sjs1_2.12	0.6.2		80d0933e1582c13f2b309a36788b5aaefad80dc1
com.azavea.stac4s	core_sjs1_2.12	0.7.0		f42726ec2316b7ff25153eef14d561716d4ed720
com.azavea.stac4s	core_sjs1_2.12	0.7.1		2d0f30d95d987cd6553c27ea17d4f6d1eb24cc54
com.azavea.stac4s	core_sjs1_2.12	0.7.2		0617aa5ed405df69cbba920d9ce4ea09aa05f783
com.azavea.stac4s	core_sjs1_2.12	0.8.0		3d924518086af4131aeee99b5e640a5ac3768249
com.azavea.stac4s	core_sjs1_2.12	0.8.1		e2e3e5aad3cf77f946e618da89f195d961f78e60
com.azavea.stac4s	core_sjs1_2.12	0.9.0		a86a8aa21ecf78bff989fa43702328bfd63f1d66
com.azavea.stac4s	core_sjs1_2.12	0.9.1		6469bfb3faf40752ee2fb29f84610e1fd71b177e
com.daftmobile.redukt	redukt-swift-iossimulatorarm64	1.0		N/A
com.daftmobile.redukt	redukt-swift-iossimulatorarm64	1.0	metadata	26c1ea18c8fbaebb6e089869d9115d94943beb5e
com.envimate	webmate-parent	1.0.0		N/A
com.envimate	webmate-parent	1.0.1		N/A
com.envimate	webmate-parent	1.0.3		N/A
com.envimate	webmate-parent	1.0.4		N/A
com.envimate	webmate-parent	1.0.5		N/A
com.envimate	webmate-parent	1.0.6		N/A
com.getchute.android.sdk.v2	library	2.5.8		N/A
com.github.julien-truffaut	monocle-macro_sjs0.6_2.10	1.2.1		58cb901fb9abc8e2dd2e87c007676b5332294bd1
com.github.julien-truffaut	monocle-macro_sjs0.6_2.10	1.2.2		dad1f02a0fa3d2e4d9888ab564f942db151c5dc7
com.github.julien-truffaut	monocle-macro_sjs0.6_2.10	1.3.0		1d31f26f5ceadd7723ee8024354c2d7557abb416
com.github.julien-truffaut	monocle-macro_sjs0.6_2.10	1.3.1		1ddc7c26eb833c2d12cc5a605582b8ab3159bcb4
com.github.julien-truffaut	monocle-macro_sjs0.6_2.10	1.3.2		346937d19ed578d088d11c8f31efe51c769e7b76
com.github.julien-truffaut	monocle-macro_sjs0.6_2.10	1.4.0		0416aaff3bd1eb92dab8a88865fdd571c15acb01
com.github.julien-truffaut	monocle-macro_sjs0.6_2.10	1.4.0-M1		7a41647e00c90cc7d558f7f8d9dc5945b8b3dca7
com.github.julien-truffaut	monocle-macro_sjs0.6_2.10	1.4.0-M2		81854db8e518f1e6a31d54ea462351ba475bc423
com.github.julien-truffaut	monocle-macro_sjs0.6_2.10	1.5.0		031235df0d294ffe01f0ad3003714c12714e9167
com.github.nicosensei.batch	batch-tools-core	0.5.0		d336306089137425b634fffcd4034a4c52a5b8fc
com.github.nicosensei.batch	batch-tools-core	0.5.1		29f4fa2f9f19f56e5db41f2e7a67c9430178ae22
com.github.xuwei-k	scalafix-rules_2.13	0.1.0		d77801b709db9c32931f14ccdd7e0a76a525e792
com.github.xuwei-k	scalafix-rules_2.13	0.1.1		b7bc42628920715bf76741b843fc1d0fa5f46c98
com.github.xuwei-k	scalafix-rules_2.13	0.1.2		d993a24a2cc85350b26756d919cc812735e98a0c
com.github.xuwei-k	scalafix-rules_2.13	0.1.3		b52ed7d71895b26e0d370176d8a89700ee1693d7
com.github.xuwei-k	scalafix-rules_2.13	0.1.4		681a7a73b0e1e5220ded82cb19516652534ffcb5
com.github.xuwei-k	scalafix-rules_2.13	0.1.5		c3e07615bc4cf3b1fad5c6a0cbae0213ad5168c2
com.github.xuwei-k	scalafix-rules_2.13	0.2.0		0814e52084c30682a6e07a5f34435277f070768d
com.github.xuwei-k	scalafix-rules_2.13	0.2.1		717b0caa3c3308814571d2d2dba9a1dd5c3cad6d
com.github.xuwei-k	scalafix-rules_2.13	0.2.10		bcf71f52d3fcf5eda919c6938d8eb9faf9d883a9
com.github.xuwei-k	scalafix-rules_2.13	0.2.11		380ca870bcaac693896b26ef4adb1598221604b2
com.github.xuwei-k	scalafix-rules_2.13	0.2.12		074ca0410249c06f59509ba6528493dbda0fe01e
com.github.xuwei-k	scalafix-rules_2.13	0.2.13		92a5fa40a8c0ab89de13ed8fb620065854ae52ea
com.github.xuwei-k	scalafix-rules_2.13	0.2.14		9e06adbbe95e7ee6653ab5e44581633c04998fff
com.github.xuwei-k	scalafix-rules_2.13	0.2.15		7e89519709ab0571196e94e73f360899c25c112a
com.github.xuwei-k	scalafix-rules_2.13	0.2.16		840cbe60d20816223243356caf41abcccbf477bd
com.github.xuwei-k	scalafix-rules_2.13	0.2.17		0c7179340855815d62766e179535457812cfbd2f
com.github.xuwei-k	scalafix-rules_2.13	0.2.18		3b1b0bc731b412941c4bf98f1c2e2898434f15a9
com.github.xuwei-k	scalafix-rules_2.13	0.2.19		82cd947e40050df9c7834c59d84c77025f9f71a5
com.github.xuwei-k	scalafix-rules_2.13	0.2.2		8c08ded89f9793e879b0b336145b9daabb9a77c5
com.github.xuwei-k	scalafix-rules_2.13	0.2.3		2beb1b75e473e8f628eacb6487475f90f3b9cdde
com.github.xuwei-k	scalafix-rules_2.13	0.2.4		211fe8addca111ccdde7ebaac0f6ab4730bb97e9
com.github.xuwei-k	scalafix-rules_2.13	0.2.5		fc395e5257b531c63eaeda823ccc621873da4700
com.github.xuwei-k	scalafix-rules_2.13	0.2.6		5f256ebe12f9ea83d955a0f07abb83570fe02ddf
com.github.xuwei-k	scalafix-rules_2.13	0.2.7		47db07ffdde8ef5753bfd7103289c3b3951d2aa2
com.github.xuwei-k	scalafix-rules_2.13	0.2.8		4fce01dab426e210159c58baeaa7c2c07ee56ebc
com.github.xuwei-k	scalafix-rules_2.13	0.2.9		9bc7a6e4edd356e3a5e201c2807954927f2d9b22
com.github.xuwei-k	scalafix-rules_2.13	0.3.0		86ef92a441ad7ae2322c7319df0826f0daf5b78a
com.github.xuwei-k	scalafix-rules_2.13	0.3.1		30e6cef458a8859d78af224fb94ad9787625deaf
com.github.xuwei-k	scalafix-rules_2.13	0.3.2		17cd28f2638adfba4369bf6f91fbcedc7df4b31c
com.github.xuwei-k	scalafix-rules_2.13	0.3.3		b6ffdf3b608f9f64b5089a9da19212ccd2b2c2fa
com.github.xuwei-k	scalafix-rules_2.13	0.3.4		7bd06a1931b10c8bfc55638fb3351778ea4719bd
com.github.xuwei-k	scalafix-rules_2.13	0.3.5		af297e31d1272d8acdc49c10778bacfbb3492dd6
com.github.xuwei-k	scalafix-rules_2.13	0.4.0		213418b183a10460fd727411064e991037fd97fd
com.github.xuwei-k	scalafix-rules_2.13	0.4.1		5bc449ab7bbe3a318bcb823af401e6fa76c388f7
com.github.xuwei-k	scalafix-rules_2.13	0.4.2		b8a4accc76741945c154f68078eec8faeefc4eaa
com.github.xuwei-k	scalafix-rules_2.13	0.4.3		e2e1f1f20b41f6ebefbc4aa549093e868a1d088b
com.github.xuwei-k	scalafix-rules_2.13	0.4.4		f16d4e64f2255ca049d893c038f8123378b682a0
com.github.xuwei-k	scalafix-rules_2.13	0.4.5		11dc70e191310c6dcb666a1d6575f065d9173328
com.github.xuwei-k	scalafix-rules_2.13	0.4.6		c1a949dc7cb8e37c331229abb65b3adc65f00900
com.github.xuwei-k	scalafix-rules_2.13	0.4.7		8fbf3cc25df6a91f43a99adfd8aec7410eafe607
com.github.xuwei-k	scalafix-rules_2.13	0.5.0		7fcb4129bd69103a8f6f9496bee78bc97243b7c3
com.github.xuwei-k	scalafix-rules_2.13	0.5.1		dd85461bcdd7ce1039772e0a62028af98e259801
com.github.xuwei-k	scalafix-rules_2.13	0.5.2		4028916e00842ede8fb87342284cd041312f7389
