com.axzae	swipelayout	1.3.0		N/A
com.github.nfalco79	junit4osgi-runner	1.2.11		3b1838d53a22f62f8c10e4daeb052b668a118d6c
com.github.nfalco79	junit4osgi-runner	1.2.12		80917f1ce36acce0dc0e6ccbf38129f54bbba09e
com.github.nfalco79	junit4osgi-runner	1.2.13		b51cec5da8a9df62db5601e9b1448d3b0617083a
com.github.nfalco79	junit4osgi-runner	1.2.14		922e44479d472c7b540b175cd9681d35e667d7d9
com.github.nfalco79	junit4osgi-runner	1.2.15		92705fb2917f919fe62743c24a26d961cafd8670
com.github.nfalco79	junit4osgi-runner	1.2.2		80b215de1a13a3e1dd1e189aec25b714d94973b4
com.github.nfalco79	junit4osgi-runner	1.2.3		99610e023a55cb0e1e510f6d221aca9abdffb3fc
com.github.nfalco79	junit4osgi-runner	1.2.4		e5506c742dc595021b2f78a7b5509aa69f692b0f
com.github.nfalco79	junit4osgi-runner	1.2.5		202562c6d300d02843c5de2bc72c7a22a61a5d76
com.github.nfalco79	junit4osgi-runner	1.2.6		7d6cbdb3fcb37857b31a523dba905c3befb4a948
com.github.nfalco79	junit4osgi-runner	1.2.7		a02c5d14ddf4b33cc9d83f6d5473909752c8a925
com.github.nfalco79	junit4osgi-runner	1.2.8		2e9f6af775b2575ea0f05f18aeb4f469b8e6c58f
com.github.nfalco79	junit4osgi-runner	1.2.9		d5616bf0584dd0abaf9a17f94f960df6f3345661
com.github.workerframework	worker-store-mem	1.5.0-162		a1737cf0978c59380693676e01465bc8d5ecd38e
com.github.workerframework	worker-store-mem	1.6.0-181		ede248dc6b6e7d5e3fed1bb8206e7519dfa06bb6
com.github.workerframework	worker-store-mem	1.7.0-211		9fb89876fe7126d76e6af7a5a08ff30ddfa91199
com.github.workerframework	worker-store-mem	1.8.0-249		dfb9d16139391dc80d41de217fe485246e96e650
com.github.workerframework	worker-store-mem	1.9.0-260		80b77d28b53f8012a720b94c4bd946e680581fc2
com.github.workerframework	worker-store-mem	2.0.0-279		b6553af59160071cb22558f0536743b376640356
com.github.workerframework	worker-store-mem	2.1.0-280		0905ee573297d618d7bd0d2862259965f2c35efa
com.github.workerframework	worker-store-mem	2.2.0-294		113fa79643c03cf99d017b14237a80d10aa8c376
com.github.workerframework	worker-store-mem	2.3.0-297		6f1c700a6466275ff62397dd3bd168f650db1a9f
com.github.workerframework	worker-store-mem	2.3.1-301		d2068ee4181935aaf26ec219684526b68d7d6e98
com.github.workerframework	worker-store-mem	2.4.0-342		d2340b0027558154aa5443fd137a3a314463226c
com.github.workerframework	worker-store-mem	3.0.0-399		87cc0afb26dfd7fbaf8574dc704ed2eb220ac875
com.github.workerframework	worker-store-mem	3.1.0-490		02860ceff48f6a8641307a60f8761570b4158448
com.github.workerframework	worker-store-mem	3.2.0-684		93ede68c0b0bbc05e8b4926cebc91b728a1329eb
com.github.workerframework	worker-store-mem	3.3.0-719		b822d7c0a4bad7bae1bf4bcabbc7b70986011b05
com.github.workerframework	worker-store-mem	3.4.0-758		698f8aa08cd01ef4eb9865bc70819abe8967b4e3
com.github.workerframework	worker-store-mem	4.0.0-850		c4816260205572944cab94c1383d5c0651a2fd3b
com.github.workerframework	worker-store-mem	5.0.0-886		3de27dec9e761ee923c16612eb3863d7fc430def
com.github.workerframework	worker-store-mem	5.1.0-919		fba2ad90e9b96f892909bee5ed71bc66685fefbc
com.github.workerframework	worker-store-mem	6.0.0-1107		31487e1499a9815f2345f805fd50ea95f2fb08e9
com.github.workerframework	worker-store-mem	7.0.0-1167		bce316f5bc4d88994c8510ae517e487dd9178c83
com.github.workerframework	worker-store-mem	8.0.0-1196		988b96a7abec7117fb48f18c4538921905241ea3
com.github.workerframework	worker-store-mem	8.0.1-1211		afd295ed2efc3554b76715da0d6ca7cb8cf65a05
com.github.workerframework	worker-store-mem	8.1.0-1251		5cdbce932f541ed9988162c021badea644cb5c46
com.github.workerframework	worker-store-mem	8.2.0-1283		70224ea1589e1e379fc81489662624b906f07146
com.github.workerframework	worker-store-mem	9.0.0-1293		7d789d261134a7b82d455c597c1a538eb10f6f25
com.github.workerframework	worker-store-mem	9.1.0-1331		2e0cb699200e27a26cbe82cb9bb6d55bf18ba5f5
com.github.workerframework	worker-store-mem	9.1.1-1334		61bc8bcb09d594bd628339343c4314d847b7c615
com.github.yaoguoh	common-swagger	1.1.3.RELEASE		31c9afda70dd614dc3f4c702a0d04c3d5fa3df62
com.github.yaoguoh	common-swagger	2.1.10.RELEASE		5545595f5d710a9e7e2e713880dc6ec54d9445a1
com.github.yaoguoh	common-swagger	2.1.3-RELEASE		bbf3ce63c08b9831ce5776dace531eaa9c86817f
com.github.yaoguoh	common-swagger	2.1.5-RELEASE		b55ab450a73388c8ff69225cf06d5523ce2711a6
com.github.yaoguoh	common-swagger	2.1.5.RELEASE		dabc748304d22df39d40891c8f47cd9405c523a0
com.github.yaoguoh	common-swagger	2.1.6.RELEASE		2889f074d1bbc4a9e9ae9c899761cae7b3574cfa
com.github.yaoguoh	common-swagger	2.1.8.RELEASE		4c2fa62df58f86019d2da5ab3e81657401513f5d
com.github.yaoguoh	common-swagger	2.1.9.RELEASE		acaaf2fc6723428f14f37d049e4e863144985234
com.github.yaoguoh	common-swagger	2.2.0.RELEASE		40231a7542f108cc16d5ec21c7a678b761f00f89
com.github.yaoguoh	common-swagger	2.2.1.RELEASE		5e0b814295003ce9e6ca33cc12dbaffbbae8cb6b
com.github.yaoguoh	common-swagger	2.2.2.RELEASE		5210b163e276711c607813b4a620a3a43e4c8604
com.github.yaoguoh	common-swagger	2.2.5.RELEASE		3b692bb39e47fbae802b5bbdf014a19a92beeb9e
com.github.yaoguoh	common-swagger	2.2.6.RELEASE		b96dbd0d7738e92709ec53855777990c3cd901c5
com.github.yaoguoh	common-swagger	2.2.7.RELEASE		072f05d182420c99ed250935e7e289b69b7bf3fa
com.github.yaoguoh	common-swagger	2.3.0.RELEASE		e410f17fae940b9918d60404ecb99643363d2b89
com.github.yaoguoh	common-swagger	2.3.1.RELEASE		661ec4315f5a394823304d192c5b4bfc5fd0970f
com.github.yaoguoh	common-swagger	2.3.2.RELEASE		2f65ec6eb36348fe91868458a32af97f1e63f2cb
com.github.yaoguoh	common-swagger	2.3.3.RELEASE		483c640da7263356aeafc0d2ad37092b419b2021
com.github.yaoguoh	common-swagger	2.3.4.RELEASE		2eb8c3b85c16ed8b4740cfceae9d7a8a9a386f17
com.github.yaoguoh	common-swagger	2.3.5.RELEASE		8de152a0846043e4014ec13412f76b05afd6e832
com.github.yaoguoh	common-swagger	2.3.7.RELEASE		3de74566720e361ae3084b0a094f4e207dc254c7
com.github.yaoguoh	common-swagger	2.4.3		d92ecb62f0f1a05f23bad3c9a9a65acca495c4de
com.github.yaoguoh	common-swagger	2.4.4		a9f8e264ad0fc5bb9d4331fc22ef81b13482494a
com.github.yaoguoh	common-swagger	2.4.5		33b6e732f69379f93628fe846da78080f49336be
com.github.yaoguoh	common-swagger	2.4.6		a26d38fef9c79e4f185f98683eaae8de149a0c7c
com.github.yaoguoh	common-swagger	2.5.0		1003ff36becfff2c651bc180409c19e8a34f47f1
com.github.yaoguoh	common-swagger	2.5.2		a8531258f1f796ee7c61b079f6e1b5c1a2c61e38
com.github.yaoguoh	common-swagger	2.5.3		c32316c27c5301023d9d400c8a0fe2cb9ea744a6
com.github.yaoguoh	common-swagger	2.5.5		eb8ce5ed17f0fb43e39097c560f69e42b1d4e494
com.github.yaoguoh	common-swagger	2.5.6		3c7239605531e2135dc53f189fb64485fac88db0
com.github.yaoguoh	common-swagger	2.6.0		c119b48c9b0d35a4ec169757e231e05704358791
com.github.yuyenews	goddess	0.1.1		N/A
com.hotels	circus-train-core	10.0.0		eab8610f292621ac655a40cbea07fe4591afcbbc
com.hotels	circus-train-core	11.0.0		72babb199f83d2279f23ce76c82c9dfadca577b9
com.hotels	circus-train-core	11.1.0		4a45528fec11f2459ae78cb57a44a26ec3e4a841
com.hotels	circus-train-core	11.1.1		9bf6984c0daea1d3fb7a8f97bbdd51f57d5b0c19
com.hotels	circus-train-core	11.2.0		054c40e97f065c9dc3d6ceca9636fe4615b9c0fb
com.hotels	circus-train-core	11.3.0		73abfbc44f9f5d271f2669e13a1e7305eb1ed580
com.hotels	circus-train-core	11.3.1		b01849eea5dab1bba2d778500c58f3fe12d14665
com.hotels	circus-train-core	11.4.0		1561ebaa8b83dc6d5581ce32b9de83ebd819afd9
com.hotels	circus-train-core	11.5.0		5001979b488a5b19f9c723c2b902089fcdeddad1
com.hotels	circus-train-core	11.5.1		e1ae755c16d3a848c426f099c82e9b1b46300e76
com.hotels	circus-train-core	11.5.2		b5e45c05debaacfbfcd0a618d27d960cf11e894a
com.hotels	circus-train-core	12.0.0		43ebdaf6b8e4de12a04248d49b959530f6f31450
com.hotels	circus-train-core	12.1.0		f1e4b1b39a212ebc0b748adae6ee3749bc8c3299
com.hotels	circus-train-core	13.0.0		57514ae7c3f5ff4adb090ad48e7ebfb405831e56
com.hotels	circus-train-core	13.1.0		9f080650c9476e62aba5e8930fd8da84fe15585f
com.hotels	circus-train-core	13.2.0		c92c2a8a1bf80b87bc59c09877fb44ed56fa999f
com.hotels	circus-train-core	13.2.1		0654c2c6f135558c98934e47e7e2347bb089fc55
com.hotels	circus-train-core	14.0.0		5e4e796015ebef317515cc4f9a788edcde4e0da2
com.hotels	circus-train-core	14.0.1		6d8cf76ce05db180ba63e4bc514dee22ec71dba5
com.hotels	circus-train-core	14.1.0		b1a4bb367001eac419129e07a814a262d10f04a1
com.hotels	circus-train-core	15.0.0		4fe16f6ff0b90a7af22db17890ee2ce48264839f
com.hotels	circus-train-core	15.1.0		df92026eb3f4b718077b9c3b260c771f45cc92ae
com.hotels	circus-train-core	15.1.1		e961851658b16a370f1ba84d75a8989bf8df890a
com.hotels	circus-train-core	16.0.0		79dbe9f3bd26542de0ea3073034a928fb3ba22c0
com.hotels	circus-train-core	16.1.0		8a4812666cb5730c901b197fcf3c414f7e9f079f
com.hotels	circus-train-core	16.2.0		6ec1a8fd852fe29ade48784f91460a85371c2cd4
com.hotels	circus-train-core	16.3.0		4db198403a8baaff020fbb8a5e39cd6eab91f7ac
com.hotels	circus-train-core	16.3.1		54b390ec04577714765e841ed1e3e59ccf745b51
com.hotels	circus-train-core	16.3.2		def0fab948daeaef591881db2c8beedffa4b8eec
com.hotels	circus-train-core	16.3.3		f4ba9508d1b80cfba33cd5d4e8bdac6c17e7fbcd
com.hotels	circus-train-core	16.4.0		94fe7b60faacb13826340938601427dfc24e35a2
com.hotels	circus-train-core	16.4.1		61d67e273f4c9191c97cdad28f97a508fe98fdf9
com.ibm.fhir	fhir-quality-measure	4.10.0		6fbeee311d3c2d9b6418d587ffadda1151c8b7dd
com.ibm.fhir	fhir-quality-measure	4.10.1		20efa7bacd1907e9637bcc19d67c2554f93ba1b6
com.ibm.fhir	fhir-quality-measure	4.10.2		e6c545d8f4316e4cd2f1a25301c606f1c2f649c9
com.ibm.fhir	fhir-quality-measure	4.11.0		09faeb1c9971c60dc042b322e57d44d5246d5819
com.ibm.fhir	fhir-quality-measure	4.11.1		d99c308a18e981f637b7c45a5f8fd942beaca4a9
com.jdroidtools	jdroid-android-firebase-admob	1.0.0		N/A
com.jdroidtools	jdroid-android-firebase-admob	2.0.0		N/A
com.jteigen	linx_2.9.2	0.1		9acf076600c73bb4386bec603ee6d03030c34721
com.netflix.devinsight	rewrite-jackson	0.10.0		7550c8cd978264222eba1d9c04a6a86c551acd7b
com.netflix.devinsight	rewrite-jackson	0.10.1		4664198045034cce9c1a09cc6d88b58038b2927f
com.netflix.devinsight	rewrite-jackson	0.10.2		35bd18fdb0ec83527058b7d8753fe361774d9698
com.netflix.devinsight	rewrite-jackson	0.10.3		899308e91c44f5628340d7a3543fb1668cedaa59
com.netflix.devinsight	rewrite-jackson	0.11.0		de5875d028ab085b474bcb93cde25fb674213391
com.netflix.devinsight	rewrite-jackson	0.12.0		01d4680227c1a0a6ce324c6000c4da8d4ad66608
com.netflix.devinsight	rewrite-jackson	0.12.1		e7ae3bce4938181c06ac7bfb530ab419c7236e6a
com.netflix.devinsight	rewrite-jackson	0.12.2		c46c479be45c6af21541c9d68328822c03e6e451
com.netflix.devinsight	rewrite-jackson	0.13.0		734b56ebb497d0831a1943fc39be9ea6d82ffd1b
com.netflix.devinsight	rewrite-jackson	0.13.1		ba0c3f93b792e1695b2a9492afa6e791948c83ee
com.netflix.devinsight	rewrite-jackson	0.13.2		aeb6210bdf5f15d6f7fd6781098733a8464bedc5
com.netflix.devinsight	rewrite-jackson	0.13.3		a6d22473fdd6d9d905e8de42ca0273015b7c8691
com.netflix.devinsight	rewrite-jackson	0.13.4		aeac951c686f1b7a23ec5655516cf7402757a07c
com.netflix.devinsight	rewrite-jackson	0.14.0		3c0a22ddbac1fb9461da444e197209dd031231ba
com.netflix.devinsight	rewrite-jackson	0.15.0		796f3cde2288cff33f8b0c487f29c0c651f0d524
com.netflix.devinsight	rewrite-jackson	0.16.0		a8b921f4a9df1b1d25400d63013bfabff5a1c3a7
com.netflix.devinsight	rewrite-jackson	0.17.0		0ff9bc6372558b97a89884141e66d35353d7ffad
com.netflix.devinsight	rewrite-jackson	0.17.1		018808376616e280232e28adf91b77080960874f
com.netflix.devinsight	rewrite-jackson	0.9.0		322688ac99fba96b9d676204f323b0d0f69ac686
com.netflix.devinsight	rewrite-jackson	0.9.1		cfb5151f4d0aa65d542145176cca051f3748e1f1
com.networknt	registry	1.1.4		8d686e97b80c3b2eb99babce599d04c9e785d43d
com.networknt	registry	1.1.5		7ba10ed9679d1c348d034a286963d03f1a6c7ce0
com.networknt	registry	1.1.6		2f14bf43007de66795e96295a3cc48ea85fe0021
com.networknt	registry	1.1.7		f15cb7f69e73f0564d76af1d852999e9372d7478
com.networknt	registry	1.1.8		7a4e87bae56efa2ba0786c3d8dff3af9ea157f79
com.networknt	registry	1.2.0		f4bce7ae03cb8ba10fd024ccb21acfc4e523d4c2
com.networknt	registry	1.2.1		b65da78f3b37b3bac1ab8095c6787d3ea52f473a
com.networknt	registry	1.2.2		9859822cbcb2c7feff92b67bc43ac799c7168e3b
com.networknt	registry	1.2.3		a19102d201bfaeff558dea35faca24eb861af067
com.networknt	registry	1.2.4		ca6f68229ba0471903b7c3a623a201fc7c9ea911
com.networknt	registry	1.2.5		0620dbc1830f8e5e9ff88d7e8674ce8545de280c
com.networknt	registry	1.2.6		1bbe712aadea4b830e62dd3b487c369c0e55361d
com.networknt	registry	1.2.7		4a7c77358ae19fe0991de7cf23fbc5417afb2edf
com.networknt	registry	1.2.8		1a43b6cbdd70bd2ff80f889fbc8c1d40124f7ff2
com.networknt	registry	1.3.0		7256fab3e583ecf6b80c8f1d2b5bef1997c41508
com.networknt	registry	1.3.1		d1859266a174de75872552b0b8c85edf75afd4fd
com.networknt	registry	1.3.2		9887113d046fb19817f3e49d9ea8e89d18cf3b13
com.networknt	registry	1.3.3		b2655e465fe21e3f65ee57d52086fc0797556384
com.networknt	registry	1.3.4		c876612f55ea60e0092d4e2ffc23b728da0396bd
com.networknt	registry	1.3.5		f5d6871b9e16d4c1b48ff03c1afe8f49870b652f
com.networknt	registry	1.4.0		480db116f05cb7963e1aca8614dea21f22a92100
com.networknt	registry	1.4.1		85b73969ad08d98050c7bf72fec0fa7475f37147
com.networknt	registry	1.4.2		e811c9dab6772a556ddced0993b9a658e7135f5d
com.networknt	registry	1.4.3		a6dd02a6250786adac841467470526330c1636b5
com.networknt	registry	1.4.4		0ff5395a68904c5070ccef76c6fdce39f147444a
com.networknt	registry	1.4.5		b748697b9c5d5f03fcbf350b6d4650a827a635b6
com.networknt	registry	1.4.6		72c2adfb017cb0cd03b6ff4cad3c5286fbe6ee87
com.networknt	registry	1.5.0		77904fe2ddbc334a35fa002bbeb799ddb24c27bf
com.networknt	registry	1.5.1		c69d4c10012e5f00a19306287e66a5f937812cb8
com.networknt	registry	1.5.10		d06cb3c2973757f3ce9e7b94894a61efb6d913a1
com.networknt	registry	1.5.11		e9417aa66ad725b2112bdf6b6b266b7fde0ba1d5
com.networknt	registry	1.5.12		966fd83d3d0d3ee8d0e4ec2774e6f611669cd9fa
com.networknt	registry	1.5.13		959042148ead9c82d5fd6f392e73cf038d605023
com.networknt	registry	1.5.14		d5d43c9d06aa5f4b80a859ebd672bb78d997c4e3
com.networknt	registry	1.5.15		3755bb0691b99205cad7b9395f6ece6dfd7b424d
com.networknt	registry	1.5.16		72f414c2e7082c58884ba94868db34c88c424849
com.networknt	registry	1.5.17		2d2de8fc7a693972c2166260c2dc030c5810287b
com.networknt	registry	1.5.18		cb9e719a440610d296700d8273796defb83251d4
com.networknt	registry	1.5.19		86903080d4f3da12342ca4a3d873d0a0e38f2cc0
com.networknt	registry	1.5.2		e4526941bed1b3158b7ced308685c766f3ec2655
com.networknt	registry	1.5.20		eb65b0e96997931ef5428b0fe427d888779f17c4
com.networknt	registry	1.5.21		3f3d33971d1224bc1678cfc8d192e1659c199ec0
com.networknt	registry	1.5.22		4cc0e00f509aeb5125182b9b120d929e53aa3cdd
com.networknt	registry	1.5.23		d34e89fd262e1e3254420c429e50b79b726d1e79
com.networknt	registry	1.5.24		ee934e67cc8a8b1dc93c2ad17a3f71ac415e9e24
com.networknt	registry	1.5.25		b66f696747cbed2f31381c941c1ae16832efde7b
com.networknt	registry	1.5.26		5275961d23b800dedbfa6b12461d2a630c683da4
com.networknt	registry	1.5.27		5e4585dffdcaa41ff1194a9cfa0d78924ed0d69e
com.networknt	registry	1.5.28		72e612d9ebb1cc9aad48b2228ea1c1932caf20da
com.networknt	registry	1.5.29		5c3d6e08074decb545611664c5f4bea0468fc47c
com.networknt	registry	1.5.3		9aa72008faf3b6909bf438a0c25eaa17b7843d31
com.networknt	registry	1.5.30		179e46ba33e0b037224c0bf16a27885d971c2a1c
com.networknt	registry	1.5.31		7c036b286cbaebb6f186b9c87e251eb0ed9e847a
com.networknt	registry	1.5.32		df7b53136dc8f92869f8104938e32fce1e678b9a
com.networknt	registry	1.5.33		d610e4effd65594f73ca82179ec75ec251712c56
com.networknt	registry	1.5.34		4e1531229e3b720985cfb27860c7ac5ff3a11129
com.networknt	registry	1.5.4		f57a5c157b542d1cfe4e78265347f38a1cdbd9f9
com.networknt	registry	1.5.5		74769b5e0f1a12bb64c1c4eb646a3b995ff7e277
com.networknt	registry	1.5.6		44f1be73d481440337b2cb0207281206dd56f315
com.networknt	registry	1.5.7		01c6452ab88ecc72d3934982d0ffde670ea91528
com.networknt	registry	1.5.8		60f39d3bc20242bd859e891c10a6f3ea96a7c5d6
com.networknt	registry	1.5.9		5cd55be03adf7000ed147ee72528345f1ed211b8
com.networknt	registry	1.6.0		bf7752fff2d0ba67917f650c2605ba4214df58c9
com.networknt	registry	1.6.1		f11718a8d4b81bf93bb442c4a07d127253f8a014
com.networknt	registry	1.6.10		f0d41099993d60ba8b17755c21078e8e5210d80c
com.networknt	registry	1.6.11		89913f4d9f04ba64650edeb5d556e3c0e3f3a77d
com.networknt	registry	1.6.12		90f1f87503fd1482aebbfbe0b314334a255eea46
com.networknt	registry	1.6.13		7417f98e3ad26a584080188968b14c9b9318a767
com.networknt	registry	1.6.14		cc055bf64dc98b1c6c6e82db501da77d5a5be3db
com.networknt	registry	1.6.16		4e4ab132cd6b14bccda3b8c710a529259100a4d6
com.networknt	registry	1.6.17		3547ea4a725b25bbad19708433ddc5cc2a910c1e
com.networknt	registry	1.6.18		f8381ca9f2b1ebf6d5d244facceba8af60ca34a8
com.networknt	registry	1.6.19		a7886dd9aa55065b5530ffbc826c578192e94da3
com.networknt	registry	1.6.2		81bdbfd5c5feb3ba9cf4cac9659b5b087b1eeff9
com.networknt	registry	1.6.20		2d2f2de9c96057fee44a84493b5ebfb4bcc8b2e8
com.networknt	registry	1.6.21		46b49d80a4ff1aa6053ef790b844a6b8d245a5b2
com.networknt	registry	1.6.22		d66171a88b6cc3b90321a880e2156098ca061f1d
com.networknt	registry	1.6.23		5e8d579d1c9f7ff15c364fbf3eeda4e7cf11d577
com.networknt	registry	1.6.24		c465c0ed9161fe6110032497742c7716b63e8ba8
com.networknt	registry	1.6.25		02a1a5ebb61359322e2b5cf71777bf58f7060f35
com.networknt	registry	1.6.26		6ca4fb3638d950e30b86716facfac70740a5f940
com.networknt	registry	1.6.27		ee76f277369e35f3286809bd30abfc3da661b91f
com.networknt	registry	1.6.28		a19e9a4dfc22bdaadf7ac2eaa7699b169157e376
com.networknt	registry	1.6.29		4d442765cefe22ae648c8fdb3d18b59f722f7534
com.networknt	registry	1.6.3		55e70df10ddaf84a8841a40d2861fe7dfe09cdbd
com.networknt	registry	1.6.30		f29d94cf358207d7876d6e43777421bafd05f65a
com.networknt	registry	1.6.32		338b7c5c10e27093f639a227086bc2192b892748
com.networknt	registry	1.6.33		514c189c18ebb1c7e0fbe2e649b66c843f070322
com.networknt	registry	1.6.34		69f32bc4c17e1d4107bcb3e1fc040f1221a19fdc
com.networknt	registry	1.6.35		7ffaef2b5054ce69613ab57071ad4fd97b616de3
com.networknt	registry	1.6.36		012976ee90a9d0a4004f29daea230462b5dbd591
com.networknt	registry	1.6.37		355537a838d04a9216823e8ac680456a3cf5bc0c
com.networknt	registry	1.6.38		a28d46a96112b44f517706f99e19d480109e6012
com.networknt	registry	1.6.39		ec776f75ad4d86eeb65397ea87a27e82b6c46e46
com.networknt	registry	1.6.4		a81301e96b200ba171d5ef4cf7918a2f67b7036a
com.networknt	registry	1.6.40		0e272ba41d50b0c736ea31e95a49e997efe04a8d
com.networknt	registry	1.6.41		103893b71f2cbbed03310b3945a5d2f0a0b17184
com.networknt	registry	1.6.42		e7c78d7224af3cbe462c71fac7ea08e05aa248c1
com.networknt	registry	1.6.43		8f2b57ac42e8d0f4d9b8f24292310e1efd0bca7a
com.networknt	registry	1.6.44		8e7319134a85c7ced241b08a881a1e323f6ca0b4
com.networknt	registry	1.6.45		d1c21353e759f8d6f4e46d7659f3ca3f1079645d
com.networknt	registry	1.6.46		3026dffa0d1eadd5b55613ecfa89ecb1bd05f0f0
com.networknt	registry	1.6.47		fbbc6839711fc15c39087044a1fe425ffe387df7
com.networknt	registry	1.6.5		847f4fac10afa6754fe048dd3ce934bf5a294f32
com.networknt	registry	1.6.6		e8d61a17a50890c1bd6e87e964b919f3a82fa957
com.networknt	registry	1.6.7		369998fa8382cff41472ec84795b26061255df32
com.networknt	registry	1.6.8		b43164665337600901b76f08707f796f91846278
com.networknt	registry	1.6.9		7755e16fdc2ac72eca390873648beb8851432cc8
