avalon-http	avalon-http-api	1.3		f8155bec84a17db16c253ba33bc4a5075efc90d9
cn.ucloud	ucloud-sdk-java-pathx	1.2.20-release		530f111253d61aeb7c7ec5b30c44ddc80450cc92
cn.ucloud	ucloud-sdk-java-pathx	1.2.21-release		c91adcfc867d51a4212a95bf9c6cef680afd4966
cn.ucloud	ucloud-sdk-java-pathx	1.2.22-release		f2818f798adbc0000f1ea24c2d3146a2ca2f5c29
cn.ucloud	ucloud-sdk-java-pathx	1.2.23-release		f4ecaa1059c8efd1cece47124c12c0416d700b3c
cn.ucloud	ucloud-sdk-java-pathx	1.2.24-release		564eda36061c6a4a5950a29e7827fcc2c12a1ca5
cn.ucloud	ucloud-sdk-java-pathx	1.2.25-release		5485df9caad4053d5abe354bd356ace514916132
cn.ucloud	ucloud-sdk-java-pathx	1.2.26-release		d6193b87192682dc4df5e9f5a285828dc26caede
cn.ucloud	ucloud-sdk-java-pathx	1.2.27-release		e5d655e5953bf0c4877efcce2bbda14aa0e024b6
cn.ucloud	ucloud-sdk-java-pathx	1.2.28-release		2e99949d1ffc39ba6f10081dceef36a943acddef
cn.ucloud	ucloud-sdk-java-pathx	1.2.3-release		42329b44f48d489cf8ac7a72a1a9b4de7c8d6245
cn.ucloud	ucloud-sdk-java-pathx	1.2.30-release		02238edb25dc1843d0f33af12d573b883523bb64
cn.ucloud	ucloud-sdk-java-pathx	1.2.31-release		cfff74596ac9e71827ee60422042e18d2588146d
cn.ucloud	ucloud-sdk-java-pathx	1.2.32-release		f3c8a8a3f2fdafb76bdae26402a1ae2423b38534
cn.ucloud	ucloud-sdk-java-pathx	1.2.33-release		65846045b2c55f968183a6d8b76d154f07afb9e7
cn.ucloud	ucloud-sdk-java-pathx	1.2.34-release		199519c21b76d323aac279f8e95d81a8bc31e02c
cn.ucloud	ucloud-sdk-java-pathx	1.2.35-release		bb40159849fdd5237993abefaaeb2a537196d68b
cn.ucloud	ucloud-sdk-java-pathx	1.2.36-release		5e06ee914d4f851826b32f37d959fa66cee0662c
cn.ucloud	ucloud-sdk-java-pathx	1.2.37-release		b1ed76b895985fee1699436f4b035b89c9bed680
cn.ucloud	ucloud-sdk-java-pathx	1.2.38-release		440ba26d8fac4cfbca7bae8e40668e1ec3e46750
cn.ucloud	ucloud-sdk-java-pathx	1.2.39-release		0edde3dafdc9bfff090f4b12434976319986217d
cn.ucloud	ucloud-sdk-java-pathx	1.2.4-release		096726287700150e437d90446ac72d14ff69ce3a
cn.ucloud	ucloud-sdk-java-pathx	1.2.5-release		aba0c21839bf5a647c65a4117d8f808067ff9cbd
cn.ucloud	ucloud-sdk-java-pathx	1.2.6-release		b33c2285c8c092adf79d037ee327978935c48a7c
cn.ucloud	ucloud-sdk-java-pathx	1.2.7-release		acf2133fa07e25bdcfec66dd4c793d6a176419bb
cn.ucloud	ucloud-sdk-java-pathx	1.2.8-release		6917093e451ff14d6b3df1ee672a470462ee8def
cn.ucloud	ucloud-sdk-java-pathx	1.2.9-release		93d04b80007b27116fa3088442cd784cd6506b4f
co.cask.hydrator	core-plugins	1.2.0		de7fb22a1e53d30aca50106a3fc7eedf488327c6
co.cask.hydrator	core-plugins	1.3.0		df38f6ce8364b2b1f6e2cdb16955d66b564d50f2
co.cask.hydrator	core-plugins	1.3.1		1740af1f14b72478b73ca7aebad5d29ef99c00b9
co.cask.hydrator	core-plugins	1.3.2		5018ca233fda1be6e6968def1bfbd03b0b13460e
co.cask.hydrator	core-plugins	1.3.3		a816bc4c51160e37616ec13d7b7a931999432ee6
co.cask.hydrator	core-plugins	1.4.0		b7bda313c36d3a890994ed0ba3945b5898791110
co.cask.hydrator	core-plugins	1.4.1		36491e6bfc2ae0ef4af19adb1f7fc8d0d7e7207d
co.cask.hydrator	core-plugins	1.5.0		abae63dab45fafcb7d6173204af7755bbe3dd1bc
co.cask.hydrator	core-plugins	1.5.1		b5e5f7a8207c4db2234e392c9d966150aad0a704
co.cask.hydrator	core-plugins	1.6.0		4fcbc4db34f9c4608de571477083c16eafa0f0f2
co.cask.hydrator	core-plugins	1.6.1		0adbabd8e0fcc392948b9d463d718291262309a8
co.cask.hydrator	core-plugins	1.7.0		50084f727488e9ad8fb93fb8e5914cd03e508b91
co.cask.hydrator	core-plugins	1.8.0		061429bb6baa34348d7b757143fedec952f20717
co.cask.hydrator	core-plugins	1.8.1		ecbf4361565a1ca43f832ec53f3d5aaf486fb2c0
co.cask.hydrator	core-plugins	1.8.2		da0e4d2238ca4e04e57c8684c8acb874e862f144
co.cask.hydrator	core-plugins	1.8.3		01368e1ba5c0ecfdbd83a8f5a5a8089fc457fe2f
co.cask.hydrator	core-plugins	1.8.4		0b7952cb2185bdf32d6533e96bb62c726b59dadc
co.cask.hydrator	core-plugins	1.8.5		62ddaee07a3c349041c138be7dadec80750fd6fa
co.cask.hydrator	core-plugins	2.0.0		01556f1c4354e5bf42f97fb8af8da5f2a0d99e20
co.cask.hydrator	core-plugins	2.1.0		421d3a3c26f745546be3c62059c271865160e352
co.cask.hydrator	core-plugins	2.1.1		a22024f876c37559b4137467214506b0c3de8874
co.cask.hydrator	core-plugins	2.1.2		dad7ef8d3c5cc1ed1f4954725ebbfcd0679215f7
com.alipay.sofa.koupleless	koupleless-build-plugin	1.0.1		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.1.0		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.2.0		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.2.1		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.2.2		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.2.3		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.3.0		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.3.1		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.3.2		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.3.3		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.4.0		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.4.1		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	1.4.2		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.0.1		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.0.2		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.0.3		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.0.4		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.1		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.10		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.11		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.2		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.3		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.4		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.5		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.6		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.7		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.8		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.8.rpa		N/A
com.alipay.sofa.koupleless	koupleless-build-plugin	2.1.9		N/A
com.avito.android	kotlin-ast-parser	2021.10		8c9c7b3c69e165b63998d231c99028ec4158f424
com.avito.android	kotlin-ast-parser	2021.11		7ea490d6c1a9c1046b52208e6df051eb81b9c97e
com.avito.android	kotlin-ast-parser	2021.12		11896826671c3ab2f7103bf6fa5724d7a577440b
com.avito.android	kotlin-ast-parser	2021.13		937cda8750d46f3ffc0f375e62411499523a1322
com.avito.android	kotlin-ast-parser	2021.14		f997f53f12452816d91f1350d25555a79bf1a51d
com.avito.android	kotlin-ast-parser	2021.14.1		f2c683fd77bc1f48853075e005e5780779a38c76
com.avito.android	kotlin-ast-parser	2021.15		09fa4bcee4490ada59bd3898861328ff256c44cd
com.avito.android	kotlin-ast-parser	2021.15.1		7081d7fd4441984b6329b5f10c0032b5f8371367
com.avito.android	kotlin-ast-parser	2021.16		67321418f5f15d7afc61f45ae488b9aa2e8a3ea1
com.avito.android	kotlin-ast-parser	2021.17		b24b81c4b3cd93760f8d224559882ff9de3fdab0
com.avito.android	kotlin-ast-parser	2021.18		f8e40212b7d3d8be82cffc5fdbb87048df52510f
com.avito.android	kotlin-ast-parser	2021.19		9db98780bfcd583d61037109c17098905ef805e5
com.avito.android	kotlin-ast-parser	2021.20		f35912609a96e7f7ceaf2f1c8033ab7271d4262b
com.avito.android	kotlin-ast-parser	2021.21		459f6b023e9388837f23f1cf73ba5c68365ac47d
com.avito.android	kotlin-ast-parser	2021.22		a58d221f7c6a4fa32dd45b0b40e155e2fb7fd678
com.avito.android	kotlin-ast-parser	2021.23		f5c3608a9646cd961cb4302a35cd3d5b4c3ba57e
com.avito.android	kotlin-ast-parser	2021.24		7286526d8296b1c7bb94bbbfe9c7720170f69df0
com.avito.android	kotlin-ast-parser	2021.25		bab2176272bfae82aa0d2920ba7a007d35b6f483
com.avito.android	kotlin-ast-parser	2021.26		1213400254a6d470e7bff50ff89c59a7618c56f0
com.avito.android	kotlin-ast-parser	2021.27		4ff608b964377b4779bb4ffecf5fc716415199c9
com.avito.android	kotlin-ast-parser	2021.28		54684a87a52372e7994211ec3da49bb8a1c83153
com.avito.android	kotlin-ast-parser	2021.29		3a1b90da3bde5fcc332cfffb5d66f68e5c116b64
com.avito.android	kotlin-ast-parser	2021.30		3c01b8f39d68d8952a337b8522f141925927cad5
com.avito.android	kotlin-ast-parser	2021.31		1d486ad3318d77933dd8370ca85205597371fea8
com.avito.android	kotlin-ast-parser	2021.31-agp7		1754db8ef4c1a35bff0aeaa37a33ae11ba504613
com.avito.android	kotlin-ast-parser	2021.32		24fd7cdd9ca3630b4aabad9b42dd09505e2e13a8
com.avito.android	kotlin-ast-parser	2021.32-agp7		d657dfa28dde681da4886f141658217c8d47bf6e
com.avito.android	kotlin-ast-parser	2021.32-rc-1		e3f83143ec8a4575cd32ba9375ef9c7d92e61c10
com.avito.android	kotlin-ast-parser	2021.33		38f5b3c4d58dd2fb4bd41e4f1c569cae9f8cbd00
com.avito.android	kotlin-ast-parser	2021.34		5be30e32b0c316d39a9b2a3e1efeea252f777711
com.avito.android	kotlin-ast-parser	2021.35		fa5f3bb7d31d93a46448b8f69867a2ec50ae3084
com.avito.android	kotlin-ast-parser	2021.36		60577240000e016fb25aed3d376617c964a8f5ca
com.avito.android	kotlin-ast-parser	2021.37		35d79f8eddb1e2f6fd5cac123fbbdd70b5324e9a
com.avito.android	kotlin-ast-parser	2021.37.1		423cd038ca5158f4a4f300ef93d9ad81c7499967
com.avito.android	kotlin-ast-parser	2021.38		a01f400ba95f82da9c11f3fa966110f8762eef69
com.avito.android	kotlin-ast-parser	2021.39		7e13ae0d61eb6ad7ca5f24a59b66228a017ae940
com.avito.android	kotlin-ast-parser	2021.40		156218c9e18ccd4cb4f5686965f2ef0611096237
com.avito.android	kotlin-ast-parser	2021.41		4f354f4fa05a2fb3ea11a5ce0fc006d695bc3188
com.avito.android	kotlin-ast-parser	2021.42		013d7d915e39b3a33e12aabc843c14c78e79c116
com.avito.android	kotlin-ast-parser	2021.7		a33ef6040b33de0f9d5ea6f2efcd1550c0debba4
com.avito.android	kotlin-ast-parser	2021.8		081c75aa0792b9807b261c1acf8afbf6a4a0b7df
com.avito.android	kotlin-ast-parser	2021.9		f6e9ba5616e7e04b3e91f8885a679d588e125271
com.avito.android	kotlin-ast-parser	2021.9.1		0ca463050f5d8dadc67365c2272837dd6f962dcc
com.avito.android	kotlin-ast-parser	2022.1		206276ec9f6bbfca774076988d35e40eff96a931
com.avito.android	kotlin-ast-parser	2022.12		ed70ba53ef6eae375c2e025d652fdad25380ff7e
com.avito.android	kotlin-ast-parser	2022.14		89c656a1c0671d5d8bcd5904fe3ab5bc31253c50
com.avito.android	kotlin-ast-parser	2023.15		41c3795d9a19bfd066cffc8fa15f5ced10d77909
com.avito.android	kotlin-ast-parser	2023.19		d8cd65ab76cf609e530c9e71b62b0f90ded68d58
com.avito.android	kotlin-ast-parser	2023.2		6c63e43994d9ffba73d52af6aedc8029533e9d2d
com.avito.android	kotlin-ast-parser	2023.20		5723aa110cddd450676824b20142962c3edf1207
com.avito.android	kotlin-ast-parser	2023.22		880d9eb4104a3cda9dda183d0605731ea59524d9
com.avito.android	kotlin-ast-parser	2024.32		c7904d6fcdaea01665ec8014e9335a4da62b4a35
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.0.0		7b9e63a30f8025684b14dd4cb8eb0e0893a9f526
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.0.0-beta.1		96e4fec57f8fdecb956a7a682d943b2b94a386c2
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.0.0-beta.2		768a5b7a5656c9d13eeeb59e1f39e6a0a26e5570
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.0.0-beta.3		07b77a81ce8b4244b730cfb2425c0e91345de99f
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.0.0-beta.4		fb763880d9d04f43d7bb95eed790c5958dad6bf3
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.0.0-beta.5		39499c68e25bb0ff58f113d15d7c8543c0d9eb5e
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.0.0-beta.6		31976cdf627c8d4d4a9968072375f83c57b93ea1
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.0.0-beta.7		ba34a71da9ad8d910842e0a4f6c17dca1ef24c98
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.1.0		4348e9112d6c4cb548a6eaad3007ddab951a7da6
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.1.0-beta.1		bff66bddc8bab0462215f4ae227e9ecc8657ded9
com.azure.resourcemanager	azure-resourcemanager-cognitiveservices	1.1.0-beta.2		f58bcbb28726e1524f3f25500d8908e428f5b898
com.baomidou	shaun-spring-boot-starter	1.0		cd133ba84e08cbab47f36b941fe727b34b947488
com.baomidou	shaun-spring-boot-starter	1.1		fa105b5616e2656fa5cf47eb2f4eed900567003c
com.baomidou	shaun-spring-boot-starter	1.2		25bfcbffa93fcb2cdde47049500cd93366ba41a4
com.baomidou	shaun-spring-boot-starter	1.3		6bb5f84bc45729c0e752816e5b3f064007877e5b
com.baomidou	shaun-spring-boot-starter	1.3.1		e6743c050a1af5c548b1a8ed5901c58ee7cde41e
com.baomidou	shaun-spring-boot-starter	1.4		ab0166e8f935827755609db3642f7ada5f8eb2a9
com.baomidou	shaun-spring-boot-starter	2.0.0		e7e34bfc7f5dbe7fd2c18c102354702d61d5e85a
com.fitbur.testify	integration	0.0.1		add6d0dd433b2ed501a39e2c6f9b16c311e1c1b6
com.fitbur.testify	integration	0.0.2		1fa35bd5e9f046f3b9ae8ef6102a84d9fb1ebfa4
com.fitbur.testify	integration	0.0.3		55b37b5e931bc23420875780eb02c97d93bb13d1
com.fitbur.testify	integration	0.0.4		01f83923e04168898ae60bb81a0de5b5c0c2a28d
com.fitbur.testify	integration	0.0.5		e3ce2155001809da65c6e45fac065c74e17fc75a
com.fitbur.testify	integration	0.0.6		6538d94b28e77fafa964d852d2d119c5d39de1c7
com.github.cafeduke	jreportng	1.0		56e6f1fdf83da5afbcef5c9b7184eee97e92cb7d
com.github.cafeduke	jreportng	1.1		48c18f97d9b79f0fed67b6fe72a01cf7c4d69409
com.github.cafeduke	jreportng	1.2		da636e2f07cf1e19094f71809a0460b3ccaccea1
com.github.cafeduke	jreportng	1.3		f48e6e37ea8d461ecc9fd7e64a3b642253ce947e
