at.asitplus	kmmresult-android	1.9.1		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha09		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha09	metadata	40f8a3fcf19fae1f725a952ada48f6008be64ecc
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-beta01		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-beta01	metadata	17397206442188cdd2f871390a980a220d7c5974
com.arkivanov.decompose	extensions-compose-iosarm64	3.1.0		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.1.0	metadata	ec410208c89fc4a811e24dde7b3d9a8c97c97e9e
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0	metadata	1ed95595f11b682dba0f9b84444b81399aa107c9
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha01		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha01	metadata	1c47f64681c9ef53fa29ab99dac26c58b9661249
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha02		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha02	metadata	6d59f6ef0802de6f3e55a45d7dba09957d8aa2de
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha03		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha03	metadata	83722e259d38b70c940cb0650f7c4f2d72bd0b14
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha04		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha04	metadata	54e89be4dd30f7ec256b6291aae3548918b239d5
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha05		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha05	metadata	309e35d4497a9f6d2428fd96885d603eb4a41bd8
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha06		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-alpha06	metadata	e1ee5f152883426c2275479fabcb84c89865f14b
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-beta01		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-beta01	metadata	b558ff9efb74ba287a1e3faffa9385ea56526101
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-beta02		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-beta02	metadata	91056cd0ba916f214521874a681daa9fbf6011bc
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-beta03		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.0-beta03	metadata	f06c0db0e57c567f661dc19f8e8e96beb336cf6d
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.1		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.1	metadata	0ed7b148bd468b7144541bb3a06318e1d8530d71
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.2		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.2.2	metadata	3668fbbaf0ffcda7f696c13f9523e4582643137d
com.arkivanov.decompose	extensions-compose-iosarm64	3.3.0		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.3.0	metadata	8aeca84313fee1c5b26bea1c34099ec4d2339556
com.arkivanov.decompose	extensions-compose-iosarm64	3.3.0-alpha01		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.3.0-alpha01	metadata	9fc8bad7e6887626ce60981a4e046ffa3a7f5025
com.arkivanov.decompose	extensions-compose-iosarm64	3.3.0-alpha02		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.3.0-alpha02	metadata	0be976dcbdca6c84addfad77c28beaed4a270b68
com.arkivanov.decompose	extensions-compose-iosarm64	3.3.0-alpha03		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.3.0-alpha03	metadata	1a5aa06ad9856b9deb53be9f1bdead827f6316b8
com.arkivanov.decompose	extensions-compose-iosarm64	3.3.0-beta01		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.3.0-beta01	metadata	6e5449de5620b97a91787130fa79c7c70e8df200
com.arkivanov.decompose	extensions-compose-iosarm64	3.4.0-alpha01		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.4.0-alpha01	metadata	21390b44076efb9a0e7bd8a7e0ed586200ea89ca
com.ashampoo	kim	0.1.1		ec16549d68c215607b2a3e6600dfdfdbd2415068
com.ashampoo	kim	0.1.2		30bc4c33cbc2b8cf9dc3b85e34c3d375b8fd07e0
com.ashampoo	kim	0.1.3		30bc4c33cbc2b8cf9dc3b85e34c3d375b8fd07e0
com.ashampoo	kim	0.1.4		30bc4c33cbc2b8cf9dc3b85e34c3d375b8fd07e0
com.ashampoo	kim	0.1.5		3c381a91cb3739404e4409792e48969fb497ca48
com.ashampoo	kim	0.10		8117ee91ec014585a0eea3884115fa4af9dc176c
com.ashampoo	kim	0.11		bf4452491dfa2be0681a81386418097a88d2c86d
com.ashampoo	kim	0.12		7b6be1423416e3887b969b363a4f3f9e0741eb94
com.ashampoo	kim	0.12.1		2e1fdcf2e8fd1ecd80f2d0b48f44c35f9185db86
com.ashampoo	kim	0.13		3c6a874faf24429f3587539291f71fc473fed12c
com.ashampoo	kim	0.13.1		c81fef8ae74bd4ebd2824b42a259f7cbccdc3e34
com.ashampoo	kim	0.13.2		c81fef8ae74bd4ebd2824b42a259f7cbccdc3e34
com.ashampoo	kim	0.14		d4b65af304b966067a98cae649eeb817e2377f60
com.ashampoo	kim	0.14.1		61009ade42e40700832afbff2a963edb8546d096
com.ashampoo	kim	0.14.2		055a4a87ae367c2151bb26dace5d75f4705e2aeb
com.ashampoo	kim	0.15		0ada785cd2ff362cbc5c6f9605dd31c7e7f5a4aa
com.ashampoo	kim	0.15.1		0ada785cd2ff362cbc5c6f9605dd31c7e7f5a4aa
com.ashampoo	kim	0.16		83e703fe0a0afc79539fb6db1ee8864b49dee0b9
com.ashampoo	kim	0.16.1		83e703fe0a0afc79539fb6db1ee8864b49dee0b9
com.ashampoo	kim	0.16.2		de19350dbaaf0dcb967cdc0dfb38c45f9f4ac0ba
com.ashampoo	kim	0.16.3		de19350dbaaf0dcb967cdc0dfb38c45f9f4ac0ba
com.ashampoo	kim	0.16.4		75f14bb3075221c35c9f69f6cf19547e3fe9a811
com.ashampoo	kim	0.17		ad7d4389c54c9b5ae7b5c2aed4dd96673955f660
com.ashampoo	kim	0.17.1		95e2054c2f2be77a858cc00cdf28666cdc42b418
com.ashampoo	kim	0.17.2		875b351c379db9701de0a6940e25e58b1a911408
com.ashampoo	kim	0.17.3		f8dd82af853bd4b2e90c21d4c5213d19da886482
com.ashampoo	kim	0.17.4		116822666f431483936f40821e57e417116a70e9
com.ashampoo	kim	0.17.5		49d4c8d5310ede5ab333a71a59f74abd47be5fda
com.ashampoo	kim	0.17.6		49d4c8d5310ede5ab333a71a59f74abd47be5fda
com.ashampoo	kim	0.17.7		5f7f94172511afb5fd3fe20d9b98b4c1c2315fb7
com.ashampoo	kim	0.18		fb1720197273962347110defe9791d50abc68bda
com.ashampoo	kim	0.18.1		8a5b3031e2c927912a7cd13853bdd23755664b95
com.ashampoo	kim	0.18.2		8a5b3031e2c927912a7cd13853bdd23755664b95
com.ashampoo	kim	0.18.3		c87c6395214df45cccae99a5d9067bcc933953ce
com.ashampoo	kim	0.18.4		c87c6395214df45cccae99a5d9067bcc933953ce
com.ashampoo	kim	0.18.5		1590fba867b8fecaae6a733c21654f949175182f
com.ashampoo	kim	0.19		0403e3799628df11a5ce519c3102afc03d3a6de6
com.ashampoo	kim	0.2.0		7747e80cdb2891a30724e36dcf7d8cdbfde6240b
com.ashampoo	kim	0.2.1		7747e80cdb2891a30724e36dcf7d8cdbfde6240b
com.ashampoo	kim	0.20		7bc1509486e78f5d725b8370221a30802158b5e7
com.ashampoo	kim	0.20.1		dde0b46d05a92b0b2156a0b741eda0315a785636
com.ashampoo	kim	0.20.2		27991ffda0663620039b64269f5a49b6907b7afb
com.ashampoo	kim	0.21		8e1741db68efddb9b363a559b8707d8ac3520cb8
com.ashampoo	kim	0.22		6180b2b088ac7cf96f561ec5c7c40a2e838f6e54
com.ashampoo	kim	0.22.1		26fbe147a59928069318e9ad9f4cfd9f3a0f26d9
com.ashampoo	kim	0.22.2		26fbe147a59928069318e9ad9f4cfd9f3a0f26d9
com.ashampoo	kim	0.23		9b8f2bde49e06ab3ce9fbb01824ccb47b779091c
com.ashampoo	kim	0.24		499618f11b8ec64f794235e3855d5fd69af763af
com.ashampoo	kim	0.3.0		f87637c581e6a6338489a5aa32dc220d577ac5a4
com.ashampoo	kim	0.4.0		2884ad17dc9ca3f4092717478ca323074200cf9b
com.ashampoo	kim	0.4.1		d5d825764ed02d08636ce3ae66da836eeecbc085
com.ashampoo	kim	0.4.2		d5d825764ed02d08636ce3ae66da836eeecbc085
com.ashampoo	kim	0.5.0		26e85f6a7a0f3f107919f41c57b6aaf2151da7bf
com.ashampoo	kim	0.5.1		1d1f438ce2c1b91a9ce04e5a7a5891b49ec31fc5
com.ashampoo	kim	0.5.2		a42f417367340bb68751116434a4ad337cad51a8
com.ashampoo	kim	0.5.3		f05563a3d9d7f358ad676fedf2bf52002e4f83b9
com.ashampoo	kim	0.5.4		a6aab4e8ab9792458f91c62517a8208f26b5dd68
com.ashampoo	kim	0.5.5		e8c1e76a88b5de04f117ec38ae297e3aa13d672c
com.ashampoo	kim	0.6		c7a0d406657167484a9915ff4c77290b6844672b
com.ashampoo	kim	0.6.1		7823463324c7b545a252b5a76f4b2f553f3edcf3
com.ashampoo	kim	0.6.2		4f58d3a6103a733b7a7f1929f44b49ac36f2b993
com.ashampoo	kim	0.7		f6d3d78b97063dff77b692fe78525c781afdfe1f
com.ashampoo	kim	0.7.1		45f705172c3b4ad09cad5353d0a500408c4a058a
com.ashampoo	kim	0.7.2		a637b3891fe2c51da3839a1bedba1539ce7b5497
com.ashampoo	kim	0.7.3		f5c74436013e0b8c45955d06ef2be8de3bc3ca3a
com.ashampoo	kim	0.7.4		642a987d87552a0dd34de71d74e8b358d89f607c
com.ashampoo	kim	0.7.5		34a8b5dc11213aeaa742d58dabb673e1131634b7
com.ashampoo	kim	0.7.6		34a8b5dc11213aeaa742d58dabb673e1131634b7
com.ashampoo	kim	0.8		978ee804022d45105393cfed8a79bca95237308a
com.ashampoo	kim	0.8.1		978ee804022d45105393cfed8a79bca95237308a
com.ashampoo	kim	0.8.2		3fb22671560ca29a5b28d3e5a37caea5e56aa6f6
com.ashampoo	kim	0.8.3		fb88a83051ec9da31a95c7619875765f8105f02f
com.ashampoo	kim	0.9		8ea985dfc98f22c781600a59b762fb8a7bf5141f
com.ashampoo	kim	0.9.1		b2b49abf74abd297165447be1c4d289eca362b92
com.ashampoo	kim	0.9.3		5d1d5638e6ddcdaf33b13468e621ca6e76052fe0
com.ashampoo	kim	3b20dcb		N/A
com.baidu.hugegraph	hbase-shaded-endpoint	2.0.6		d8b595b1d247cf286c0c88f74e6eaef8c11166e6
com.clusterra	clusterra-iam-application	1.1.0.RELEASE		2ea532dbedd3105e1dad0bce32cb30cbc2cb0070
com.clusterra	clusterra-iam-application	1.1.1.RELEASE		f1dac3ae7988a4a5d06f65d462650ee5274527ba
com.clusterra	clusterra-iam-application	1.2.1.RELEASE		7251f2e42944bdc6db9ccd893667d77a0778b8b1
com.day.cq	cq-i18n	5.2.2		4703f4916d52c25a2bcc76cfb074c23edf661d67
com.day.cq	cq-i18n	5.3.0		3e89baa6300b7047d026a218600f553d12c588d1
com.day.cq	cq-i18n	5.4.0		2cd7a6aa8b8f219537ca7292ac947bf14410f24f
com.day.cq	cq-i18n	5.4.2		c6f559690d7406256fcd534996455562153f3d47
com.disneystreaming.smithy	aws-sesv2-spec	2023.02.09		e75d443f6af693d2037486aa74ba3b6127fd4a63
com.disneystreaming.smithy	aws-sesv2-spec	2023.02.10		f6452258823e23fa23677fd277de893d9b2edef9
com.disneystreaming.smithy	aws-sesv2-spec	2023.09.22		33d8105f2bfaf8a56758ae9bfddcc0a505c766a3
com.disneystreaming.smithy	aws-sesv2-spec	2023.14.24		94f016e920f8d5e78343580c94b77c3ad42c93bd
com.disneystreaming.smithy	aws-sesv2-spec	2023.22.04		b1371b386954ff72d3be1026ccc4155586624054
com.disneystreaming.smithy	aws-sesv2-spec	2023.22.13		ea6e34049f0037b55af1e9429a7bb7561b450925
com.disneystreaming.smithy	aws-sesv2-spec	2023.23.06		d7844f4aa7b51e4489ede55732b2124e73da6785
com.disneystreaming.smithy	aws-sesv2-spec	2023.23.30		7e91f61fae3196a4e85522d637f9afb781bb46ee
com.disneystreaming.smithy	aws-sesv2-spec	2025.03.31		809cbfc4ecb11f92c6ed3eee1649eb8c12c71f6f
com.disneystreaming.smithy	aws-sesv2-spec	2025.04.08		9db9d3d05a55a980f8be4e6fdbbeb421c3250a1f
com.foxnicweb	foxnic-dao	1.7.0.RELEASE		22790257864449d359fb3bc75318819f77eaeb50
com.foxnicweb	foxnic-dao	1.7.1.RELEASE		1a5216faa59c9c0841e278c0f515673c03986e6e
com.gettyio	gim-java	1.0.0		4951d074ad55300e084b0f0d600cc2f280967d41
com.gettyio	gim-java	1.0.1		3125d63ef9bcfd9b3cb22d34eb0e6487535bc02a
com.gettyio	gim-java	1.0.2		9ceb247f79f28b0e8875c54c7d6dd8d1638c5fdb
com.gettyio	gim-java	1.0.3		3fa2da5ce1b2dbe6c7a112c27bbf529e07ccee22
com.gettyio	gim-java	1.0.4		183ad0a06624abf6ac122e78b1da78d9270fad07
com.gettyio	gim-java	1.0.5		2a698c3bda1ee2766d76704fee954e353e6c0dd6
com.gettyio	gim-java	1.0.6		3c64caab986683bd59d0c00db2c6115e3ec55302
com.gettyio	gim-java	1.1.0-beta		865e98eaa301787952da51d2446a8267a6f34f0a
com.gettyio	gim-java	1.1.1-beta		682315cf63bf8d403d62a1c5ee79eca4c43827ee
com.gettyio	gim-java	1.1.2-beta		500ebfae06759586aaac5b0d79053dc8827fbcb5
com.gettyio	gim-java	1.1.3-beta		2031eb7039a011c78dda134e893db8365f64730d
com.gettyio	gim-java	1.1.4.beta		2bb4bed63db9c5c16062890b9923c17d0c8f812d
com.gettyio	gim-java	1.1.5-beta		2b4ea3d9172913c14bca85ee856f90ef5bcad155
com.gettyio	gim-java	1.1.6-rc		ac176d87f2dbf3c36b75294e583ae4e042ed6c38
com.gitee.archermind-ti	imagecropview	1.0.0		N/A
com.gitee.archermind-ti	imagecropview	1.0.0-alpha		N/A
com.gitee.archermind-ti	imagecropview	1.0.0-beta		N/A
com.gitee.archermind-ti	imagecropview	1.0.1		N/A
com.gitee.archermind-ti	imagecropview	1.0.1-alpha		N/A
com.github.android-password-store	openpgp-ktx	2.2.0		N/A
com.github.android-password-store	openpgp-ktx	3.0.0		N/A
com.github.hadilq	log4k-android-debug	2.3.0		N/A
com.github.hadilq	log4k-android-debug	2.3.1		N/A
com.github.martinhaeusler	org.chronos.chronosphere	0.5.7		f2e7542c4e52b02a832bd352fe44fdf2bbc87ac3
com.github.martinhaeusler	org.chronos.chronosphere	0.7.3		44c0c73e84e943cd11e9237a0c8cd411a08f15f1
com.github.martinhaeusler	org.chronos.chronosphere	0.9.1		b4edd30f78992d0037925d7cd700cf9284ba2e87
com.github.martinhaeusler	org.chronos.chronosphere	1.0.0		b5c392b9eda76bb8d6edc3330f3a831a560d1c52
com.github.mumoshu	play2-memcached-play27_2.12	0.10.0		8959f8086bf6d9e2cab9e1f478820217ad5a96de
com.github.mumoshu	play2-memcached-play27_2.12	0.10.0-M2		d04679691df1a267ec844bfe10c792929ff20427
com.github.mumoshu	play2-memcached-play27_2.12	0.10.0-M3		678362e796a5ff22b1dfa959a204fd998432f592
com.github.mumoshu	play2-memcached-play27_2.12	0.10.0-RC3		3aa151cceae9f6be84d074440b97c18fd80a9199
com.github.mumoshu	play2-memcached-play27_2.12	0.10.1		b45096f01dc70462b0468d66d25975ca711d209d
com.github.sbt	sbt-release_2.12_1.0	1.2.0		b6fc8ed8ab263858b488f1eeee03b82b959e440e
com.github.sbt	sbt-release_2.12_1.0	1.3.0		681d548b58b30053156bcf77672fb9c43ee6fef4
com.github.sbt	sbt-release_2.12_1.0	1.4.0		dfa1ce67a952dccfa3e65a81f0638c8cdff1c03d
com.io7m.jdae	io7m-jdae-examples	0.1.1		bcf0e84ccc0541efef6333b55453a9c0139d6300
com.io7m.xoanon	com.io7m.xoanon.commander	0.0.3		fa331d16b08fd7f3007ba9ebe115cc131ef941ea
com.io7m.xoanon	com.io7m.xoanon.commander	1.0.0		a430e268c03a97856e42881ac8b5d23de1222210
com.io7m.xoanon	com.io7m.xoanon.commander	1.0.0-beta0001		e821ed2bc3861a865d2a4064b580bce190936452
com.io7m.xoanon	com.io7m.xoanon.commander	1.0.1		32e65dc4cb90b43f99ea807bd1dd66d72694532a
com.io7m.xoanon	com.io7m.xoanon.commander	2.0.0		084ddf306c30456e01d6caa6e16a5f35514ea191
com.liferay	com.liferay.sharing.api	1.0.0		60c385365bf6ce034b1bde590af015660d7f8af1
com.liferay	com.liferay.sharing.api	1.0.1		2ff6fbe10f9feaaf75673695855640ba9ff7d469
com.liferay	com.liferay.sharing.api	1.0.2		73549ca1e25288c57e0fc1d8f066e85dcb80195d
com.liferay	com.liferay.sharing.api	1.1.0		362c50138d58078b8e47385561674e5b262d5438
com.liferay	com.liferay.sharing.api	1.1.1		8d1abe731c6919345f4df787e9f71b177805f377
com.liferay	com.liferay.sharing.api	1.1.2		a319f1b2bc6bd6fa818002a1fe118d29646a136f
com.liferay	com.liferay.sharing.api	1.2.0		dc820c0bb1d0f6c2a5b736985cd6102a8d0a240a
com.liferay	com.liferay.sharing.api	1.2.1		7b1cb68d5517bc82621f4dcbf1cafe653630fb1f
com.liferay	com.liferay.sharing.api	1.2.2		d1b443f0b3d5511abb23bcb4b7e314c8cf6b8419
com.liferay	com.liferay.sharing.api	1.2.3		71329d2976743aaa3818d66cc0402d86fc18bbab
com.liferay	com.liferay.sharing.api	1.3.0		0a91a38db68e3dc3677a250f1ca4fd12a4ae32fd
com.liferay	com.liferay.sharing.api	1.3.1		2cdc567794f2dd0cb50679b30b1c7a276744bac4
com.liferay	com.liferay.sharing.api	1.3.10		062c37e79b99d2cb48594ab84ff2c0dab217fd9b
com.liferay	com.liferay.sharing.api	1.3.11		7b522263bb5f35b9575762e9ae82f67d6ba879de
com.liferay	com.liferay.sharing.api	1.3.12		3cf92ca82684a551dc9808a540b0901ee0603f4b
com.liferay	com.liferay.sharing.api	1.3.13		2c707c38b83f5f252cc119831f4b6711f38bbb6a
com.liferay	com.liferay.sharing.api	1.3.2		d0da9c0362e3d4cc85833f956a8ff0798b0cadae
com.liferay	com.liferay.sharing.api	1.3.3		e3229e39505c0690871ca272b09a3bf9c0443b30
com.liferay	com.liferay.sharing.api	1.3.4		0e3ed35f08f1450773ff020be8b4e2c7e3e241ab
com.liferay	com.liferay.sharing.api	1.3.5		fb64ef632bef5b4327d7c685e92df3282124c932
com.liferay	com.liferay.sharing.api	1.3.6		837e122280c7df65ffbe80988723bec3454e42c1
com.liferay	com.liferay.sharing.api	1.3.7		441642efeeb83fe808b11aabbcd52b92a178c03b
com.liferay	com.liferay.sharing.api	1.3.8		193a0b2479f79d8ca867ea206084f3a2f01dff02
com.liferay	com.liferay.sharing.api	1.3.9		1128a9b504791c3323068a3c1b80aa225b3eff49
com.liferay	com.liferay.sharing.api	1.4.0		9c6e4b54236fc69067385140880567da0664a2a5
com.liferay	com.liferay.sharing.api	1.4.1		5e5abfc7a7f06bbba4f4a96e930dcd9651878083
com.liferay	com.liferay.sharing.api	10.0.0		67466b0b83b8e0d9b5ecbabf2c106cb5632ad17a
com.liferay	com.liferay.sharing.api	11.0.0		76733a4ca40989b95896c0cdc338550a4810157d
com.liferay	com.liferay.sharing.api	11.1.0		55091e2adf2e4f393188c0af734edaf1aa332d85
com.liferay	com.liferay.sharing.api	12.0.0		a5a2892197642167bb3c52fde7983ab1c2ab337a
com.liferay	com.liferay.sharing.api	12.1.0		c2cef245325cc814dbabedecf599246b78f2d025
com.liferay	com.liferay.sharing.api	13.0.0		81f1b7b789ed77ca1faab93f6fa6806d222d6c58
com.liferay	com.liferay.sharing.api	2.0.0		3e4af820cb6fb7571d27113e990bdfe666aabc7c
com.liferay	com.liferay.sharing.api	2.1.0		9a98f8240a4af2233c7794eb5768f47dd1d6bcf9
com.liferay	com.liferay.sharing.api	2.2.0		f07d9eb8e09d3cf591eaa023f21f4b7b33821d3b
com.liferay	com.liferay.sharing.api	2.2.1		c756b6161bcb2700bd31c102cddba65e45fbf792
com.liferay	com.liferay.sharing.api	2.3.0		d54df0ce5f03cc93464d0979a8eeb60cbe002622
com.liferay	com.liferay.sharing.api	2.3.1		d5a8391a0eedf86bf28ced06a33af6a292887571
com.liferay	com.liferay.sharing.api	2.3.2		2bc0bab6c577cede0d74c1473eb7068c2f7afeff
com.liferay	com.liferay.sharing.api	2.3.3		69107e3d87185b30d581ccbfb1c1011d97fa01e6
com.liferay	com.liferay.sharing.api	2.3.4		f39bf555612d1f153f49d80f1ba8a0baf01f0d9a
com.liferay	com.liferay.sharing.api	2.3.5		289c6f5bbf8f5c76eb095ed20d974b8af2bd3423
com.liferay	com.liferay.sharing.api	2.3.6		4ade80fe3054b45d4de66e40450e684660da5f0a
com.liferay	com.liferay.sharing.api	2.3.7		d2d857a2a1139f1bb117f2bd9a8bed9d8c649515
com.liferay	com.liferay.sharing.api	2.3.8		6400e500c4f9ec0d94a1b1fcd6710fd09f7a07b6
com.liferay	com.liferay.sharing.api	2.4.0		7f95c20bd20ea36f654ca4d504972f965cd4956e
com.liferay	com.liferay.sharing.api	2.4.1		f8f8e42ac73e830ce35218f950969e52cc87fd4d
com.liferay	com.liferay.sharing.api	2.4.2		0a0ec29478d68c40cdf9b4eadecba8d879f35bcf
com.liferay	com.liferay.sharing.api	2.4.3		8098a1f4335047ab4a076b76293b47c8110bdfb7
com.liferay	com.liferay.sharing.api	2.5.0		b6a54657c8d4b9b929accd53a471cf907ff7f2ae
com.liferay	com.liferay.sharing.api	2.6.0		41e4c5e7c0e963843a5003f89555b94e7a11bb17
com.liferay	com.liferay.sharing.api	2.6.1		c05bc9b77b301c69fcbb3fbcf6822c4f84c634a6
com.liferay	com.liferay.sharing.api	3.0.0		c9cb78267d6771d7e04f39f0087c7d17a78d1083
com.liferay	com.liferay.sharing.api	3.1.0		8afcaff399ff8b46ab3436ac6b65cffe1a3605f2
com.liferay	com.liferay.sharing.api	3.1.1		b9397a8e1a2c83487a32516a3968e3d70dd5208d
com.liferay	com.liferay.sharing.api	3.1.2		d2f7cb57bbd339fc3fbd418fdc5816de8e001537
com.liferay	com.liferay.sharing.api	4.0.0		4141f46e8242ff38525da601970fb9347df3e6ac
com.liferay	com.liferay.sharing.api	4.0.1		b0944023ebecd9645d51dc6f077cfa6fbea078c8
com.liferay	com.liferay.sharing.api	4.0.2		9e617ce4b0e1d765e8de25cb0701bbb341850f6b
com.liferay	com.liferay.sharing.api	4.0.3		eb927bffb33da2d2550f4b3a49d67768c034fc35
com.liferay	com.liferay.sharing.api	4.1.0		8fdeb8f160f5529a8b936ad7ef96ea1ea9a99c87
