cloud.keveri.dev	keveri-gateway-plugin-global	1.0		c2459ce8478a3c652ddd3303c28942ab6f17eaaf
com.aliyun	aliyun-java-sdk-ims	3.3.11		bbcc7e942865d0d8bf3568d6c49055e8806f2dcd
com.aliyun	aliyun-java-sdk-ims	3.3.12		51ecee7b8f975766ec580d5c41d5c9b03207fdde
com.aliyun	aliyun-java-sdk-ims	3.3.2		6f42dbedf8e973656ecff485d249a047a9b79f1c
com.aliyun	aliyun-java-sdk-ims	3.3.3		e298809a25eada249babb9e4796da739488167f6
com.aliyun	aliyun-java-sdk-ims	3.3.4		740623ec2e13a2b89722a795bb00e6c1913593f8
com.aliyun	aliyun-java-sdk-ims	3.3.5		41f0902ecfb65fada2920be4444ae45937a6e6cb
com.aliyun	aliyun-java-sdk-ims	3.3.6		816af0009957fd08ba34d5f55a71973481b747fd
com.aliyun	aliyun-java-sdk-ims	3.3.7		51cad1e8e81a103f7bcc65aeceaa4a126ea03b78
com.aliyun	aliyun-java-sdk-ims	3.3.8		90c971f97ee1215108dc4a6c112b5e68130de711
com.aliyun	aliyun-java-sdk-ims	3.3.9		9b5f926951e3f2acb14fc2fc3460cec9fb903182
com.aliyun	darabonba-encode-util	0.0.1		1594f9503e7faa8be89c2bc10ff5beafc8e3e55c
com.aliyun	darabonba-encode-util	0.0.2		a84081fc299057d72fdd4607bc3564d7e2d795b9
com.aliyun	darabonba-encode-util	0.0.3		018971c9780b71a082e6cc257a2b3cb7272acf77
com.apollographql.cache	normalized-cache-watchossimulatorarm64	0.0.9		N/A
com.apollographql.cache	normalized-cache-watchossimulatorarm64	0.0.9	metadata	9580071329c5e81f89f433bace89d292e4daa026
com.apollographql.cache	normalized-cache-watchossimulatorarm64	1.0.0-alpha.1		N/A
com.apollographql.cache	normalized-cache-watchossimulatorarm64	1.0.0-alpha.1	metadata	fa18a0002d08a44a4e63a3cd9d7c3ccf39f04818
com.avides.spring	spring-profiler	0.0.1-RELEASE		40be0054e3963a8ac69ae41425c25556e0ac5962
com.avides.spring	spring-profiler	0.0.10-RELEASE		b57939e3953e093565bb0df96209e56993a6052b
com.avides.spring	spring-profiler	0.0.11-RELEASE		7407c04581016ead5b9f450bd64853b6f79d600c
com.avides.spring	spring-profiler	0.0.2-RELEASE		a81ec58c57a58f2144855367a8dc0cde05fc360a
com.avides.spring	spring-profiler	0.0.3-RELEASE		791ec7ae749b762b2449789a6e8859a897a7fb6f
com.avides.spring	spring-profiler	0.0.4-RELEASE		26a19a4105a1b148f6a7b82cae87fa7df9ff5540
com.avides.spring	spring-profiler	0.0.5-RELEASE		aa27e24da3578ea7334e3367c16b2158fc7f24b1
com.avides.spring	spring-profiler	0.0.6-RELEASE		504dc25bccab96046092e009c4a663b5a56de126
com.avides.spring	spring-profiler	0.0.7-RELEASE		5743135ea2f8cfa16d91fd5b9a3377265d67242d
com.avides.spring	spring-profiler	0.0.8-RELEASE		77d0d73129a21a89bfe8302b41f5a8116b6722ec
com.avides.spring	spring-profiler	0.0.9-RELEASE		bc8217010c0bc15b49752827fed4652b7b399600
com.avides.spring	spring-profiler	0.1.0.RELEASE		8dd704c3684834927bbf4cde349402424f65fb9d
com.basistech	metrics-cloudwatch-reporter	0.0.1		1087e72905ac11668dcb1896f08b20b913b006fc
com.basistech	metrics-cloudwatch-reporter	0.0.2		a618600ca8510496a0b2739b45475e6c8c189837
com.basistech	metrics-cloudwatch-reporter	0.0.3		7506c1284c980f2e9876a0d75e63a96fa46e84af
com.basistech	metrics-cloudwatch-reporter	1.0.0		c45688fb476851847fcb0c2ba804cc48de69a4d2
com.basistech	metrics-cloudwatch-reporter	1.0.1		eda6bebf30bf280e8c4f4470481cb897780aa218
com.busymachines	pureharm-db-core_2.12	0.0.2		bc0fcffe25498abc1b028119a65215145ba040b3
com.busymachines	pureharm-db-core_2.12	0.0.2-M10		e29ee65b581a377096b9b7fe3ceb6b8b05b86549
com.busymachines	pureharm-db-core_2.12	0.0.2-M11		adad893d62d55b4618e21ae0e3573f74f65d059a
com.busymachines	pureharm-db-core_2.12	0.0.2-M12		2359e6fdc4d8dbaeec4a747d0102438db372c49e
com.busymachines	pureharm-db-core_2.12	0.0.2-M13		fd388731c84fc869b6f6bd87795840fe4c977283
com.busymachines	pureharm-db-core_2.12	0.0.2-M13_scala_2.12		4425e58ad97ec2116779071d31317e01c2904538
com.busymachines	pureharm-db-core_2.12	0.0.2-M14		14c6c2901c1801c1467b5bff13e82d3d66bb287b
com.busymachines	pureharm-db-core_2.12	0.0.2-M15		1c2c4f985599e6131cdf6cccacc8d1e44758d4a7
com.busymachines	pureharm-db-core_2.12	0.0.2-M16		2d0914cbd8194abfd4d8ca7f34f0961602f265a7
com.busymachines	pureharm-db-core_2.12	0.0.2-M17		0e192c28e81d1bc1bc17109edc6c6cdb3c08ec25
com.busymachines	pureharm-db-core_2.12	0.0.2-M18		c633d7e453575b0ec372318c6539a429351acb58
com.busymachines	pureharm-db-core_2.12	0.0.2-M19		96e20ef69cd9c9bd60b20e8cab12b9d5011f45e2
com.busymachines	pureharm-db-core_2.12	0.0.2-M4		0b18b2410100d27fce81ad670303d0c831097011
com.busymachines	pureharm-db-core_2.12	0.0.2-M5		06ff6af0f49608563712b807a026539b488ff481
com.busymachines	pureharm-db-core_2.12	0.0.2-M6		d5d5850d034c1be615b07a54a3517b9ee99bdb5e
com.busymachines	pureharm-db-core_2.12	0.0.2-M7		30ff2ff69f17c82dba61ab0cb73c8450916b247c
com.busymachines	pureharm-db-core_2.12	0.0.2-M8		0e3b58ee7c313c7dff51c6e8d29f5c27dbeaa894
com.busymachines	pureharm-db-core_2.12	0.0.2-M9		bc819de6c73ea775d3e7ad946d8b6f9159623288
com.busymachines	pureharm-db-core_2.12	0.0.2-RC1		ac9103386fe2529d6d8afb0ab569a7dbf934f360
com.busymachines	pureharm-db-core_2.12	0.0.2-SNAP15		7879450a434f797495a21ddc8ee5144b29d6e50f
com.busymachines	pureharm-db-core_2.12	0.0.3		b0f89d4133ace8c9e82018b4a9cc2052d8e57963
com.busymachines	pureharm-db-core_2.12	0.0.4		e433e6742beedd019c20a893ed27e0c62fc95edc
com.busymachines	pureharm-db-core_2.12	0.0.5		29fa00387f3ddf56ffa5f49fb21fb8898d2adf8c
com.busymachines	pureharm-db-core_2.12	0.0.5-RC1		6fdd6f0606527f692332940e332b067ffcc23a1d
com.busymachines	pureharm-db-core_2.12	0.0.5-RC2		6fc38c06e3a2310a0a28d1902dd85c2f95264a48
com.busymachines	pureharm-db-core_2.12	0.0.6		a2c517dbab5d357a96d4b37891d40d89647cee8e
com.busymachines	pureharm-db-core_2.12	0.0.6-M1		efb140043ac1079b8ad29a1057b72111ea954bb4
com.busymachines	pureharm-db-core_2.12	0.0.6-M2		8b7073acc5d1835a332e6d4ed09b270f6c8f64fa
com.busymachines	pureharm-db-core_2.12	0.0.6-M3		559491bce5ebeb67611c22573eca218bef4a8907
com.busymachines	pureharm-db-core_2.12	0.0.6-M4		95fa9e1e1ba5fd7f2b20b0bb83099a26957ca852
com.busymachines	pureharm-db-core_2.12	0.0.6-M5		37a455e8031873febeb329dc0bc7a8391d55e4d2
com.busymachines	pureharm-db-core_2.12	0.0.6-M6		d2bd55e625baa45bb67da393422c53aad0698dfa
com.busymachines	pureharm-db-core_2.12	0.0.6-M7		321b80a4da8aa9fee14b40a8a50b39ea3f65f27b
com.busymachines	pureharm-db-core_2.12	0.0.6-RC1		a547e495340abe757374632ec386af01763166d4
com.ckkloverdos	maybe_2.8.2	0.3.0		b207f5fbbc13b0280f5b99d5a55dc4122fc7e475
com.cloudera.livy	livy-scala-api_2.11	0.3.0		baeac2590232c3a6e15c910a118eefb7f0b73cd4
com.fleeksoft.io	okio-linuxx64	0.0.2		N/A
com.fleeksoft.io	okio-linuxx64	0.0.3		N/A
com.fleeksoft.io	okio-linuxx64	0.0.4		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	0.0.3		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	0.0.3	metadata	ecb9330b24791183420a4b54b821f19223eb7d24
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.26.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.26.0	metadata	735ef8c1cd0b8e00bdd67d03d560264f5e0b3d73
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.26.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.26.1	metadata	f6490e6eaf34d124790f06d6a5ca4bda989a5ddc
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.27.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.27.0	metadata	d4024ed7db925aa760b8952d6059b7d543eaa4a8
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.27.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.27.1	metadata	450fab75f548f467df857a8748bfe61d6f2069f3
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.27.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.27.2	metadata	9f6ea830a437d75bfa8a8f7ef55951f0aaacef99
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.28.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.28.0	metadata	6a191c5db179faa802a3dadd2c7ef498ea00afb6
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.29.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.29.0	metadata	015a9d83cd658bc382d87b5d3f6a032b38184127
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.29.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.29.1	metadata	b4519ad08ef44ce349381a995e5a6b4e7d2a21c8
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.29.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.29.2	metadata	e324aa29d48594067ba64d5499e4d726fdc03305
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.30.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.30.0	metadata	124f938115e3daf5a03906724f6cc4678ba52e25
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.30.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.30.1	metadata	17f88c961aba6e03d6da1149eedc36f814c1cb3e
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.31.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.31.0	metadata	cde76a47634af0ab7cb12ebb11f132913364ae14
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.31.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-kos-cooking-session-iossimulatorarm64	1.31.1	metadata	620f3174f7ed00b8b245986d6371daff4f984575
com.github.halab4dev	mongo2j	2.0		10e595886e00bbbffb3b57c032353a4a4d6a3ae3
com.github.halab4dev	mongo2j	2.1.0		4d86430efa8db45702ce8de4e8d7001dfafe201c
com.github.halab4dev	mongo2j	2.2.0		b7d4658eb6c7ddd2fa0c31aa029fd7439c86fb34
com.github.koraktor	steam-condenser	0.14.0		8254e2a9059b33441aeb2849c00cd75d3774a339
com.github.koraktor	steam-condenser	1.0.0		2cd3431db39172a686e9960e66feb4feac380b35
com.github.koraktor	steam-condenser	1.0.1		08a08e12bab9cef0470891d95d5b09a1a7fa3326
com.github.koraktor	steam-condenser	1.0.2		7800470940b3cfb8e8c0c31120f3c4d970627f75
com.github.koraktor	steam-condenser	1.1.0		b7468b224aaa2f7b5b72dda10d88414068a07883
com.github.koraktor	steam-condenser	1.2.0		ce670c5f6dfd82d5c0636c787ad531669c1c0a6e
com.github.koraktor	steam-condenser	1.2.1		3446113d45900844e9bc8b464d04741d110ad4eb
com.github.koraktor	steam-condenser	1.3.0		ead716249864a1deeee1bb9fbb11d404ebb18da1
com.github.koraktor	steam-condenser	1.3.1		d02f735e1aadc80cca104807d6a0762806616481
com.github.koraktor	steam-condenser	1.3.2		e81fdef860126aae88a0417e4448cef85f4508a5
com.github.koraktor	steam-condenser	1.3.3		ff805d7fd58c710bdc5b6398f1ff2a86d99df459
com.github.koraktor	steam-condenser	1.3.4		fb5417f2f4a8e4ec0650f132741bdde455d56e54
com.github.koraktor	steam-condenser	1.3.5		18bef35af94542f426dce8efa6fd30985b053fd9
com.github.koraktor	steam-condenser	1.3.6		bfb96634b4108be7d63b0ba4b19f9776d6a30d21
com.github.koraktor	steam-condenser	1.3.7		8522ad51edd21f5765af61dfc56d89e559e4f4d1
com.github.koraktor	steam-condenser	1.3.8		3760bf929235382207fe8d8b440cfead174368f5
com.github.koraktor	steam-condenser	1.3.9		fc60f352db1e7137b142589c50678452a24fe26b
com.github.marcoferrer.krotoplus	kroto-plus-message	0.1.3		4f701367d1be4f7226c20c32a1865409ce2f8fbd
com.github.marcoferrer.krotoplus	kroto-plus-message	0.2.0		c87021495b3e85ab98083f87de428997bae39a1f
com.github.marcoferrer.krotoplus	kroto-plus-message	0.2.1		9d80bf4ef7e491296847a431deee47caac27fab1
com.github.marcoferrer.krotoplus	kroto-plus-message	0.2.2-RC1		f2fa27ec219350cc4d86d6fd1ae0afbdf8a81aaa
com.github.marcoferrer.krotoplus	kroto-plus-message	0.2.2-RC2		5fb6262f02768e2f38460ab6c3f814cfe84af45d
com.github.marcoferrer.krotoplus	kroto-plus-message	0.2.2-RC3		a7013d2000296d081ea26e116e4f168e772fcc88
com.github.marcoferrer.krotoplus	kroto-plus-message	0.3.0		1664f566b64954e22093ace5e8c2a2ccbcae4f5a
com.github.marcoferrer.krotoplus	kroto-plus-message	0.4.0		4499ea6eaed83d0ac8aec40acf5c22e5ccb3c03a
com.github.marcoferrer.krotoplus	kroto-plus-message	0.5.0		7cd51581c768945a281d5018e3e2a1b09d9c904b
com.github.marcoferrer.krotoplus	kroto-plus-message	0.6.0		4270c1e2e3d71fe63b95d65c77e0fde643c82c24
com.github.marcoferrer.krotoplus	kroto-plus-message	0.6.1		03dfaf106b9be42f15490abe04c56ef4a8d038f1
com.googlecode.metridoc	metridoc-maven-plugin	0.6		7b37ff070157e707deea02490348109cea132e35
com.googlecode.metridoc	metridoc-maven-plugin	0.7		9acbf11d9c33c81dfdf81c7a1b21fc0272bf69ef
com.indoorvivants	subatomic-search-indexer_native0.4_3	0.0.7		38e926484a5bf7846757b9acfd149a6ee426e4d8
com.indoorvivants	subatomic-search-indexer_native0.4_3	0.0.8		fcd43f93f851dbd8864b91635d51221fd6b2cf9d
com.indoorvivants	subatomic-search-indexer_native0.4_3	0.0.9		1041dc82b5b1bbe5c690ffbbbb4ae2e951ef6fbf
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_3.0.0	0.10.0		b61bc3d58e6134331fac86d1a1fea97336841758
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_3.0.0	0.10.0	flink-udf	8e7f585b44b521f604702823a907befb72fa9790
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_3.0.0	0.10.0	http	67083aedece27e51492ff57895dc884ac2410dcf
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_3.0.0	0.10.0	jar-with-dependencies	04c6261aec96337899468b912edbd3f7d2fc1d15
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_3.0.0	0.10.0	serving	e90a5b1ab9a2bfe1cc14d3d178bf12b675e87958
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_3.0.0	0.10.0-RC1		9fadb14c8d973b1820658fe3bea9ca05b289ce5c
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_3.0.0	0.10.0-RC1	flink-udf	360db21d75114dd0cac1c062b8d74f9b03632142
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_3.0.0	0.10.0-RC1	http	5a1426d6ef7d7ebb1290b854d0e0430622ed30ec
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_3.0.0	0.10.0-RC1	jar-with-dependencies	7c999c406fa37d314d08d4290dd6c10af684c420
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_3.0.0	0.10.0-RC1	serving	0f13448c37d95acbcc6c5634ff423169bf7329f5
com.juul.kable	kable-core-android	0.33.0		N/A
com.juul.kable	kable-core-android	0.33.1		N/A
com.juul.kable	kable-core-android	0.33.2		N/A
com.juul.kable	kable-core-android	0.34.0		N/A
com.juul.kable	kable-core-android	0.35.0		N/A
com.juul.kable	kable-core-android	0.35.0-rc		N/A
com.juul.kable	kable-core-android	0.35.0-rc2		N/A
com.juul.kable	kable-core-android	0.36.0		N/A
com.juul.kable	kable-core-android	0.36.1		N/A
com.juul.kable	kable-core-android	0.37.0		N/A
com.juul.kable	kable-core-android	0.37.1		N/A
com.loocme	storage	1.0.0		3f2b61cffc2442376cc871def4cee4d9a28f6bd0
com.loocme	storage	7.0.0		611ecaf7741c83b36c4d06ea97bb940ff4bace42
com.loocme	storage	7.0.1		4f3672730d5bcf742761e5b33669f0cdf9ea1a78
com.loocme	storage	7.0.11		814932f5153cb47eb6dbbd57f221269bb3739d7f
com.loocme	storage	7.0.2		39e055e62359bd884950bb5a33670a37e80084d4
com.loocme	storage	7.0.3		b040eeb5d1060a039ba56ea7ff54b87512788d68
com.loocme	storage	7.0.4		fa93175d08cbd9c958d733e6366297bbeb803679
com.loocme	storage	7.0.5		935028c77137426a19d19a8974333260a3bedaab
com.loocme	storage	7.0.6		ecfc011ecfccdfb54ad036e07db9f84b992a7a52
com.loocme	storage	7.0.7		114873b2dcfed5023839ec0e8689ed39b5b06764
com.loocme	storage	7.1.0		6e534e8999f756f34681d0a595fca73b18c95ae3
com.loocme	storage	7.1.1		ac519d73bacae6b3637cadb69ef4f1c5e815c8de
com.loocme	storage	7.1.10		6863e95a5a53c7ed60c693c3f9e1faa7346841e3
com.loocme	storage	7.1.11		e2134d1532b6524e1b2af7ca7d403f10bfd678dd
com.loocme	storage	7.1.2		8265f4b7ed678bc1623b7fca513e57b4e7a7533b
com.loocme	storage	7.1.3		5d3daf6680b1ffbff30382539d3dc94089d0083f
com.loocme	storage	7.1.4		d2c52bbebc9c7adc6fa4a5783ee635d05e8bd2ba
com.loocme	storage	7.1.5		31ff6c215167be1c3aa31693fea4a44b0fb50fe4
com.loocme	storage	7.1.6		e6ad4255bff08ebfdbbd24ba05296b64a193e563
com.loocme	storage	7.1.7		1a568e60220cc5773d2b195736333407e9e08fce
com.loocme	storage	7.1.8		2337350892a2f1900947e586a8ea95e640aac826
com.loocme	storage	7.1.9		c42e3b7734b81dd5709787dd2003718e994fb1f0
com.mysema.querydsl	querydsl-hql	0.2.6		534a65c866c46ebc1c13871753808a36b6282a71
com.mysema.querydsl	querydsl-hql	0.2.7		f3d0173cc0b4e613f0cdb7aa3cc7874f3041b15e
com.mysema.querydsl	querydsl-hql	0.2.8		2cb2d5ccda2ddfef639ca55ee620638a1dddb913
com.mysema.querydsl	querydsl-hql	0.2.9		7f084fde6b92bcaccb5e150e631fc656bb01d772
com.mysema.querydsl	querydsl-hql	0.3.0		9b4e905adc7d1a2341f2c23fa7e329ecfe4866af
com.mysema.querydsl	querydsl-hql	0.3.1		10515fcf22253cf8c275e0983dfab1101252534b
com.mysema.querydsl	querydsl-hql	0.4.0		6901dd1071ee91d1a5b7d68cd4d7d60396240f7a
com.mysema.querydsl	querydsl-hql	0.4.4		f9084b1fe4d37e6716b44243480f3b1ca7b07cfa
com.mysema.querydsl	querydsl-hql	0.4.6		2ee3b6798c558c3499f249b8f072e230b903adac
com.mysema.querydsl	querydsl-hql	0.4.7		0297985a125fff5abeab5240e8833a95e43ada18
com.mysema.querydsl	querydsl-hql	0.5.0		bef9c088c0f2797310ebc788405d9619c6a5bb06
com.mysema.querydsl	querydsl-hql	0.5.1		419cfa2513e23f2754fb0ab59a92ec1c4dd297d5
com.mysema.querydsl	querydsl-hql	0.5.10		ba734591299b1fc8a4b6c103b650d6dc776fb6ca
com.mysema.querydsl	querydsl-hql	0.5.11		445882deb556fa456b9ab3c8b19906732efb69f8
com.mysema.querydsl	querydsl-hql	0.5.2		4f6d485e9a134936d3a6c982e3aa9ada11ce030d
com.mysema.querydsl	querydsl-hql	0.5.4		96b8a2a0da5770413d196f890eb7ab90d0f8d342
com.mysema.querydsl	querydsl-hql	0.5.5		d7d8639e4aba5de95f3ba90b7da39c8b71bc897a
com.mysema.querydsl	querydsl-hql	0.5.6		e888f4b9573cfb7b4802365d3245a155c87d36cb
com.mysema.querydsl	querydsl-hql	0.5.7		b1f81cef8b02bbcad269bca4f66a543729f45385
com.mysema.querydsl	querydsl-hql	0.5.8		e41e8a321626a7fd101ad13bc2f6dd6940c71ecd
com.mysema.querydsl	querydsl-hql	0.5.9		58adaa4a43a3a1a2c1545527e73772705de5287b
com.mysema.querydsl	querydsl-hql	0.6.0		42a8b7dfc010b74b975a7229b4179149e4184ac6
com.mysema.querydsl	querydsl-hql	0.6.1		de2af44f24930ec87fbffc8f6a8e7f7c1ef81e53
com.mysema.querydsl	querydsl-hql	0.6.10		f0744021431afe365c1e071000e62e826ecde884
com.mysema.querydsl	querydsl-hql	0.6.11		734e25327451d18b39b042e1324f4a7a56aa3621
com.mysema.querydsl	querydsl-hql	0.6.2		965ebd5e872fe6eabf938c8ddcdfdfeacae86796
com.mysema.querydsl	querydsl-hql	0.6.3		a39182b360847872afae992cf33ea61786baf804
com.mysema.querydsl	querydsl-hql	0.6.4		64acffba3d165327d3e2f71def459bd2e76f6027
com.mysema.querydsl	querydsl-hql	0.6.5		cb6eebc1382cbf2254211748a27cb0d5129a5c7b
com.mysema.querydsl	querydsl-hql	0.6.6		406b0987f7ee6ad1bb23c941c4376bc042ca4081
com.mysema.querydsl	querydsl-hql	0.6.7		e8892e0ea93d2f146369e48e4a55dcede40067b8
com.mysema.querydsl	querydsl-hql	0.6.8		4f0f45f0cf1f7548545cec5ea5aa54113294b2e8
com.mysema.querydsl	querydsl-hql	0.6.9		36fc1913c527cdc51ca6e34b4869f8aec21d415f
com.mysema.querydsl	querydsl-hql	0.7.0		2e10a95d6d5d13088eacc9e7f61b8cfa2fb77f72
com.mysema.querydsl	querydsl-hql	0.7.1		64f843eb768e60ca6e910e32dfca49a73c801577
com.mysema.querydsl	querydsl-hql	0.7.10		fcfc4a172887d1bd1d97e9ca2e59d3665f6ac0eb
com.mysema.querydsl	querydsl-hql	0.7.11		351d46ecb2e189f7df2644306849342e4544e4fe
com.mysema.querydsl	querydsl-hql	0.7.12		4491a532eee63745ff4a9864f1f03aa84f893e1d
com.mysema.querydsl	querydsl-hql	0.7.13		9697c8d40c211e03955709e524b1637379a9596e
com.mysema.querydsl	querydsl-hql	0.7.2		519f4502abf7be705d7ede66db4959163b248dd4
com.mysema.querydsl	querydsl-hql	0.7.3		28cd52c62ce663905b388756e067fb2497adb573
com.mysema.querydsl	querydsl-hql	0.7.4		e053a6ed4ea6bbe71d759998cddb1fa1ea6e44a4
com.mysema.querydsl	querydsl-hql	0.7.5		8ee0fefc992e2dcbf8afc1abc9c08920bddfd725
com.mysema.querydsl	querydsl-hql	0.7.6		6a099e2140da7dd80dee4b8480fe9a7a6c318c09
com.mysema.querydsl	querydsl-hql	0.7.7		4ef1370e9b6807e540f264867cb12d643071ba60
com.mysema.querydsl	querydsl-hql	0.7.8		1ffad60528a3ad548b2fbba8deb38623f92bf8fb
com.mysema.querydsl	querydsl-hql	0.7.9		c07213a2e5602c800101d87618ccf8ffecf96069
com.mysema.querydsl	querydsl-hql	0.8.0		de2658ae382e4e61fb676b063dbd9984f1e29d48
com.mysema.querydsl	querydsl-hql	0.8.1		e276b3d6db2472bd8ff0bb039e6badf854a70cb6
com.mysema.querydsl	querydsl-hql	0.8.2		bf6ea6ef48abd58600d77907b5e9f09ddcb94bcb
com.mysema.querydsl	querydsl-hql	0.8.3		23fc7800f22556e4d34ff37fc6c5d24ece210e94
com.mysema.querydsl	querydsl-hql	0.8.4		dde200f29f9a4a90bc365a56c2e872b50854de7c
com.mysema.querydsl	querydsl-hql	0.8.5		b8ff7d7de49ef7b8569af0684e89b66ebc191fbf
com.mysema.querydsl	querydsl-hql	0.8.6		770cf3fa3ac87e511f50adf6863f2221723db197
com.mysema.querydsl	querydsl-hql	0.8.7		c99fa061b5b83a1e7c2208db0fcd0457f85d47d4
com.mysema.querydsl	querydsl-hql	0.8.8		5a5b872c736d249b5170ac896d041c882283216e
com.mysema.querydsl	querydsl-hql	0.9.0		2e1f9b7c4dafb4275344df6cb14bb082a2e305ab
com.mysema.querydsl	querydsl-hql	0.9.1		6403f283e8f16aa6c7d94b8bf90199861b6911b3
