ai.chat2db.excel	easyexcel-plus-test	0.0.1		310ce313bedb3317d936bc24c1076e83edf3c782
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.2.1	module	f8094260642a441f982d4f85bd7db8d964f3395e
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.0		7f87bfca04619efb912edd3e85c900eb1efa672b
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.0	module	dfe6b11c258464399fe809ec6324245bb69cef1e
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.0-Alpha1		3f994f8252f161c6079e5f5f83349fa1a72383ef
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.0-Alpha1	module	f391c03034a561bda6979f652ab742f483f54d7c
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.0-Alpha2		92c3fc4fcb0213259287c4356f7c37608b9b1035
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.0-Alpha2	module	56b00143d35d3f95686abe214ee07d5f891064e5
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.0-Alpha3		074fce4edf0eba584928c1af535fed56c9451c41
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.0-Alpha3	module	292fbee8eec8f522aa3dbe227a96a31546cdc3ff
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.1		20c89f5ec9c9e2b711d6e5516397882deb0441f1
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.1	module	82dee4895e6df096213b45a701b55104b4fe942e
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.2		cdb8b4da14ee2e7f4dc4a81c0c051d18db19e791
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.3.2	module	a5fd0ad54502c0a42d65d8761759bed00517e5ba
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.4.0		3738d60a2d96ac8ecad0cddc20a8baed9ec99c67
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.4.0-Alpha1		cea4d292a3b0c5a33bedba4ae1d075536dd410dc
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.4.0-Alpha1	module	4489d514a1bb6c1a2a8aa67964ffcde2a626329b
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.4.0-Alpha2		100e0b01b059b0211c1a8011d22289cd525f1214
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.4.0-Alpha3		c26c9fe43126cb196f7cdf7ae813051bdc09ee54
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.4.0-Alpha4		b0e1f592c497d6f1d32d9fc53b83da840e7b2e0c
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.4.1		8676337889a33718dbeceb26305078f4a8335aa7
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.5.0		b01d267cb6b342501c516a8f2801ffbd9171b529
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.5.0-Alpha1		0c06c3bbc36347b7b7165ebb23282440ecf5ca93
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.5.0-Alpha2		9fcef7025c22ea69437feb5b69c3e63715862495
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.5.0-Alpha3		1cef392f6063ec896776eed33a5e21108401b27e
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.5.0-Alpha4		eec478db2d22f31a824f6821abc72ba2197c2c61
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.5.0-Alpha5		b7e9bedebb126906ef322ae8e284b07e397a4c9d
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.5.1		a01d711d49f96a72a4948e07735d998bb156a997
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.0		8e7e7e30cb4d1284a80eb953f12dc2d36cc0fbc2
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.0-Alpha1		1a71580e55db3f3ac99e7d28256458455152d8be
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.0-Alpha2		9dd9aa3b2c33a49d6d302faae8e9e4ed5eb6bd06
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.1		1cfd10ad0718d8723b28db3bac45e2ed5bf4f5db
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.10		1a8eec2319fc8c2ddb713833fe918d08f0cf64b6
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.11		d8aaf92b7da6b7ebb157c5cf7d604bca6fe14b74
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.12		fddc6fb4649a70c3e636088ec19215d5b2bcf884
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.13		793962abfcd52ef7e9f337d8cb314c175c236e08
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.14		8049189ff057e75aaa8bfd7034b1d52baf96ca31
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.15		e7e9f8f547f7e9945b77bbc9004290b956b94665
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.2		6e42c9a7bf6af6a5d4837118c3273eb069400b6d
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.3		502aabfced2c1342c0bbecc80cca5ba2fe9da074
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.4		b1a254bf1eb097b35426d1564413d33ab47e705b
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.5		1b5c4d4c61414eb824b50b197bd2c3d69b887796
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.6		c5c160b4915cc49b1055fb09718378f2ea26ecbb
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.7		51027ed275fc4e07cae92a0ea22cc1a8c24f4f89
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.8		d2ca3e166cdce91521c5437a8ec07c03953303ae
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.6.9		6d26d23bc4b2aa2b9c571e9ce3c086a1f313cbd4
com.buschmais.jqassistant.core	scanner	1.10.0		4d6db049b84e830d5ddfec9398818272c6ecd6b7
com.buschmais.jqassistant.core	scanner	1.10.0-ALPHA1		b5cbfc3171a94578b7eb19f03af9c479d5571371
com.buschmais.jqassistant.core	scanner	1.10.0-RC1		1f80e613963a3efb8b26c31c67e8709efac24fa4
com.buschmais.jqassistant.core	scanner	1.10.1		4caf7fedb3c6b34b815b5577673d891109321849
com.buschmais.jqassistant.core	scanner	1.11.0		6e89b89397f78338acfa5fa4da92b0b033342cf0
com.buschmais.jqassistant.core	scanner	1.11.0-RC-1		db5141297a8ae072e07d8d8bae28ea688707e877
com.buschmais.jqassistant.core	scanner	1.11.1		7c4668a09c760ce61de82ff0661eb957066324f3
com.buschmais.jqassistant.core	scanner	1.12.0		e71126148c27c9bb1740e3d7412587d848dbb098
com.buschmais.jqassistant.core	scanner	1.12.0-M1		bc3451c4363cc9649abf148a85b972a78e0497a5
com.buschmais.jqassistant.core	scanner	1.12.1		ed302a25514a5675961cac24ea3f48875cb6f65e
com.buschmais.jqassistant.core	scanner	1.12.2		20f14b0580c63425bde9bd3fe2cebcaa820bee83
com.buschmais.jqassistant.core	scanner	1.2.0		ae965525c4d28c7d18967cf7fb9531ee51c53f0c
com.buschmais.jqassistant.core	scanner	1.2.0-RC1		c5cdeb3a146f139f04de912adf62c8641d2aa49e
com.buschmais.jqassistant.core	scanner	1.3.0		04794cc05349e85088155b0ebe87dd7aed22c4a3
com.buschmais.jqassistant.core	scanner	1.4.0		a7ad9d6e8b4f2eba823588237d644e0d1b9b410c
com.buschmais.jqassistant.core	scanner	1.5.0		fc6fcfb5d22ea2ea6d184e0c28c2cea7f481d008
com.buschmais.jqassistant.core	scanner	1.5.0-RC-1		33834e22db8e2ec1f180c67cf9a41a674363546e
com.buschmais.jqassistant.core	scanner	1.6.0		69bc86b22634a39d9e9148bf4aeec37391e5e9b0
com.buschmais.jqassistant.core	scanner	1.6.0-RC1		e01cfd0c7ab9fc5a3658df3c17ddea8e0358e8a7
com.buschmais.jqassistant.core	scanner	1.7.0		58b06d0bc90608dbe184ff47a44514cc1f41b1b4
com.buschmais.jqassistant.core	scanner	1.7.0-MS1		17ca5063521df853e979f60f8d8f97952c9eab23
com.buschmais.jqassistant.core	scanner	1.7.0-MS2		ba872f168d76be5b468e36b1395cbf6ab9c174e1
com.buschmais.jqassistant.core	scanner	1.7.0-MS3		1a78ddbe89f95ad6227f8d72c13eb59dd6b2382c
com.buschmais.jqassistant.core	scanner	1.7.0-RC1		47f3fbeef3da7776525995643a45f7dd9adaf771
com.buschmais.jqassistant.core	scanner	1.8.0		ab1bbd3cf137486b6b8c6ec1ab5264066bfd3d81
com.buschmais.jqassistant.core	scanner	1.8.0-MS1		410920759d6c3684677e519d98cc35694332f131
com.buschmais.jqassistant.core	scanner	1.9.0		2dc57e83f16b755770de0b5d5619fc6ffe279c2b
com.buschmais.jqassistant.core	scanner	1.9.0-ALPHA1		40a0528fd89f6f060756fde6e17762c66d949f85
com.buschmais.jqassistant.core	scanner	1.9.0-ALPHA2		32e9238d24ba330bc20684d0964bea956ba256a2
com.buschmais.jqassistant.core	scanner	1.9.0-RC1		8ee6251e111a5410a95601c9eae24f45677950ed
com.buschmais.jqassistant.core	scanner	1.9.1		0b5a2a399db52ed7d8d292613f72e911d5ab39b5
com.buschmais.jqassistant.core	scanner	2.0.0		54aab709e49f8e8e95c6468c874a20829eca0f65
com.buschmais.jqassistant.core	scanner	2.0.0-M1		9fa93b0e249315a57c92b2f865a1d40014e14887
com.buschmais.jqassistant.core	scanner	2.0.0-M2		c2d7dc632845033ebfec3979cefe9ed2915f9bd3
com.buschmais.jqassistant.core	scanner	2.0.0-M3		ab98df8f0b1690df441417e2067ef657538a5dbe
com.buschmais.jqassistant.core	scanner	2.0.0-M4		84369c5415533e290a3f579ac8b713b09e4eb7c7
com.buschmais.jqassistant.core	scanner	2.0.0-RC1		5710a33760afe76d621c4e5fce7473628fa301a1
com.buschmais.jqassistant.core	scanner	2.0.0-RC2		50d3575c617afab554b598d5bf1791a3606ae323
com.buschmais.jqassistant.core	scanner	2.0.1		549ac64da92fc0663dbad12a0cc4442b1354d8b8
com.buschmais.jqassistant.core	scanner	2.0.10		2c9bf96560faf922569f5b56ae6454e05cbf930e
com.buschmais.jqassistant.core	scanner	2.0.2		3fc8d99a668177ed55c06ad7e70fe9e97dbfcd37
com.buschmais.jqassistant.core	scanner	2.0.3		70c27dd5ddaa69412a11b172dd24d4b44cc56442
com.buschmais.jqassistant.core	scanner	2.0.4		3731f9be3171e31c903504c61efb27fcba6dc6cb
com.buschmais.jqassistant.core	scanner	2.0.5		03f5823c65a689604f3d7a2fe64b2515df43a9b6
com.buschmais.jqassistant.core	scanner	2.0.6		206bf287b5dd11a89b043b404980227dd752d32f
com.buschmais.jqassistant.core	scanner	2.0.7		a0f95176d319ae83e13f6dd00340edb1c1453740
com.buschmais.jqassistant.core	scanner	2.0.8		e9300c12f2d8c755cf87a48cc70c257e4b13bf4f
com.buschmais.jqassistant.core	scanner	2.0.9		e06e98dff5d2053abc00697978e64af9433a2633
com.buschmais.jqassistant.core	scanner	2.1.0		92fc9f6154ae629b9238921cabad3a1f610e56de
com.buschmais.jqassistant.core	scanner	2.1.0-M1		95d8a9768f9b2e739d4807d84944e614ba7e5747
com.buschmais.jqassistant.core	scanner	2.1.0-RC1		2b7daa9234a68d5e258424d3c8512fb529e3c4b9
com.buschmais.jqassistant.core	scanner	2.1.0-RC2		97b784bc4af0d9943a2796703ca6b32d57655990
com.buschmais.jqassistant.core	scanner	2.2.0		967477f6f882fdedcc9af110714d52c754d8bdff
com.buschmais.jqassistant.core	scanner	2.2.0-M1		d26538311ede121cff351d116b869654d3b7acd2
com.buschmais.jqassistant.core	scanner	2.2.0-M2		f9d77b93c1e78d6f92a3eba614c4fe524137418f
com.buschmais.jqassistant.core	scanner	2.2.0-RC1		fae239a7f5f0ff93b80f06fdef6302238e4e072d
com.buschmais.jqassistant.core	scanner	2.2.1		63b284668a9902c175c2da5e8ec980c146a633cc
com.buschmais.jqassistant.core	scanner	2.3.0		93f069b5e175ffb413aa69aa4449e9fb47653d57
com.buschmais.jqassistant.core	scanner	2.3.0-M1		aa10820855d7acc32c6ade2e67f580fb0020b7ed
com.buschmais.jqassistant.core	scanner	2.3.0-M2		94e2a8f8c40358c538dbf4023e4934cb2588da2f
com.buschmais.jqassistant.core	scanner	2.3.0-M3		b64941a49e128ef3a224681c48a7d877ebf5d580
com.buschmais.jqassistant.core	scanner	2.3.0-M4		dda4fb65e13bb36f969145d2b4426969a61860e8
com.buschmais.jqassistant.core	scanner	2.3.0-M5		45877b6d4b1314a4efc5a0da6ff90e20f755d6b3
com.buschmais.jqassistant.core	scanner	2.3.0-RC1		6a5b0297e4afd83867592abde931b381c64a3f54
com.buschmais.jqassistant.core	scanner	2.3.0-RC2		e5c05120ef1c210d8e1a1dcf11595b57747fa9e0
com.buschmais.jqassistant.core	scanner	2.3.1		ac31b78cf6f16ea275b325ffa9c9b990bc598ed0
com.buschmais.jqassistant.core	scanner	2.4.0		f191d45e61bc7874c82dedefb92a5c1fb9143133
com.buschmais.jqassistant.core	scanner	2.4.0-M1		51c6a2fcddf1567d86181d0c1acabacc3fc0f5c6
com.buschmais.jqassistant.core	scanner	2.4.0-M2		fe24f68337e7e369da1c16c6b5a805aec03e3a35
com.buschmais.jqassistant.core	scanner	2.4.0-M3		36b347bc71e93a1e4d4ab1034c4f6aae68acf617
com.buschmais.jqassistant.core	scanner	2.4.0-RC1		7d2de54d775215ffb8e25df7e6159ae2019dd6a8
com.buschmais.jqassistant.core	scanner	2.5.0		e020af40d5ee20cfcfc368f72b1bf402892950b1
com.buschmais.jqassistant.core	scanner	2.5.0-M1		d34e904f3a6b0b541793da75907c2bd2461d3e1e
com.buschmais.jqassistant.core	scanner	2.5.0-RC1		3990fbbc1d53748d4d4915e13cf090f91e7089f9
com.buschmais.jqassistant.core	scanner	2.5.0-RC2		bac02288912a939855bbad5293415a56634d322d
com.buschmais.jqassistant.core	scanner	2.5.0-RC3		24edf6e8a3103da5d8ac4e82b70729fba6043341
com.buschmais.jqassistant.core	scanner	2.6.0		9fc2914a4a3bd29f94e650dea5b4669336fb1e93
com.buschmais.jqassistant.core	scanner	2.6.0-M1		236cb719ab579646b1558f67912dec259ec585bb
com.buschmais.jqassistant.core	scanner	2.6.0-M2		f001c32ba16a7048bf47e43eac0fe7b616c937f7
com.buschmais.jqassistant.core	scanner	2.6.0-M3		603d000d1cfb0a32652031b5551624fa14a96483
com.buschmais.jqassistant.core	scanner	2.6.0-RC1		2ae87ad5aded16c2de685557efadc1947741f609
com.buschmais.jqassistant.core	scanner	2.7.0		d29c13e126f393cd56b5e766c42a0cc59dfcf37b
com.buschmais.jqassistant.core	scanner	2.7.0-M1		3bd2a0bfdabcc57db88f0e3ed3f3740465785140
com.buschmais.jqassistant.core	scanner	2.7.0-RC1		d3c8820bcf789f695e915e0d9b667ff496166e27
com.danidemi.jlubricant	jlubricant	0.0.13		N/A
com.danidemi.jlubricant	jlubricant	0.0.14		N/A
com.danidemi.jlubricant	jlubricant	0.0.15		N/A
com.danidemi.jlubricant	jlubricant	0.0.4		N/A
com.danidemi.jlubricant	jlubricant	0.0.5		N/A
com.danidemi.jlubricant	jlubricant	0.0.6		N/A
com.dongxiguo	zero-log_2.10.0-M2	0.1.1		4ea930d41db996b2e6aff9bc974c890edf8098d6
com.dongxiguo	zero-log_2.10.0-M2	0.1.2		bd0335c6fb918ca23b0aa890625cb3614bbdb5ef
com.eduworks	ew.ontology	3.0.0		ac1fc30e4c67c3fb0ac9d6ab30d39761353e4b56
com.eduworks	ew.ontology	3.0.1		cbdfab0eb4bec9ef674555289d0053acd6ce50f8
com.eduworks	ew.ontology	3.1.0		a2cb272926d0a186169c364cc39349cd3ebaefde
com.eduworks	ew.ontology	3.1.1		99b7bc02051efb12592ff79c53043f3ef2d39ebd
com.eduworks	ew.ontology	3.1.2		484a15330e6bf91846b1612dd63353d50f8ab215
com.eduworks	ew.ontology	3.1.3		8f129e4f6c82b6c2b0e6f1d20f4271afb1c6e98b
com.eduworks	ew.ontology	3.1.4		3e500ca5d4aebbd2e5e2d8d984d7a799fffb27cf
com.eduworks	ew.ontology	4.0.0		7aa5b1408f79ec5a4694cbd0c91a67344cf16223
com.eduworks	ew.ontology	4.1.0		83029e8313c295d3f8d8e8041a3e74c4dc6632ce
com.eduworks	ew.ontology	4.2.0		35434ffc2607e04bc6a90a5e0246255c826aad1b
com.eduworks	ew.ontology	4.2.1		f23caf8495bb55581ca4f3a7fc1ea037f1ca36a8
com.eduworks	ew.ontology	4.2.2		ef136fa287ba564a190079f6d3c25b8c2f5165aa
com.eduworks	ew.ontology	5.0.0		6447fa9aeae826c7e465b960ec6d2d00b01310cd
com.eduworks	ew.ontology	5.0.1		79110eb023856ecf352be2f9b71b295002638def
com.eduworks	ew.ontology	5.1.0		7751319990c0645389404e7565954d088313b886
com.eduworks	ew.ontology	5.10.0		2df43fd18777f47d894593de33cb66135b77bedd
com.eduworks	ew.ontology	5.11.0		1ac76ab49d4f56195a94b5bd9d35a476187afa0c
com.eduworks	ew.ontology	5.12.0		3d1737d2477fe247e78dab514b95d77c55914c65
com.eduworks	ew.ontology	5.12.2		ffd78b426adecfcbdb95fc29f8353241c119419c
com.eduworks	ew.ontology	5.13.0		a200b4946d5cbdcb84eb9b0a6bb45f6f6460a81f
com.eduworks	ew.ontology	5.14.0		b8ac24c99bd956910029cc595d6ede09d28d2f08
com.eduworks	ew.ontology	5.14.1		f9de0cf8edd95d25c8897774e85c1a22416367c0
com.eduworks	ew.ontology	5.14.2		e1d6f010b591045d8025606c6334b91aae6c3dca
com.eduworks	ew.ontology	5.14.3		27da26774b5ef6a1376d52f3d5770ed7a0ae0a50
com.eduworks	ew.ontology	5.14.5		df034506d40832464d59a26678b37dc418be83f8
com.eduworks	ew.ontology	5.14.7		0941d20cb85b7aa39778e343c095c62e0e802987
com.eduworks	ew.ontology	5.15.0		06d7de2e2fd8398e4a740d35aa3a4aabbade151e
com.eduworks	ew.ontology	5.15.1		f94c9641d1ae2bde3b3c704c59d2acb4eb381f16
com.eduworks	ew.ontology	5.16.0		c7a01cd4d9695c23ba9cea4c54a4b48e4abcd094
com.eduworks	ew.ontology	5.16.1		77634451863fd8885a337380163ff4a1e7ebeb9b
com.eduworks	ew.ontology	5.16.2		c3b2f3680c3b30ccbafb1e980cd00efc78fee6e6
com.eduworks	ew.ontology	5.16.3		387f1c9cf2ac2b6dd3147ddb43259700ef4d8f49
com.eduworks	ew.ontology	5.16.4		4346f561a6eaf96ef4d93a93f8be8b769303298f
com.eduworks	ew.ontology	5.2.0		717991879e19634a95b227c824e4eb76d5da220b
com.eduworks	ew.ontology	5.3.0		a4d7b97529d74bd787d6c1fd35787c44764f4fc2
com.eduworks	ew.ontology	5.4.0		0811ddedec55be73c4ba443d1b112b7e4439c944
com.eduworks	ew.ontology	5.5.0		fa3bceb7ce4e8b28d0fc4012582a0b36255e63e4
com.eduworks	ew.ontology	5.5.1		46262667115f98ff355f0cf5bad86dcdcd35a2cc
com.eduworks	ew.ontology	5.5.2		26b8ed796eb683c9946c444c0a99652a25013174
com.eduworks	ew.ontology	5.6.0		43892a884b07b0bc979e5a3f2a71436d383975d7
com.eduworks	ew.ontology	5.6.1		82f53cbb065d8dc5d9afa92df50eb7476af2bfd6
com.eduworks	ew.ontology	5.6.2		b2d2977e02e786769ef3bcba4d84297b53c28dce
com.eduworks	ew.ontology	5.7.0		1c0d7d104b15eb4c3ccf395cdeeb288f7a1d4d5e
com.eduworks	ew.ontology	5.7.1		8704c4d1419bde62f278f0ec763f4e12d02d1773
com.eduworks	ew.ontology	5.7.2		41934cc2beb708c3b8d19e7bbbe9f95e9b70caf2
com.eduworks	ew.ontology	5.7.3		571ad4c15b088e16004e567ae5611982d356e7b1
com.eduworks	ew.ontology	5.8.0		8528e85155f4dd45e7091469d089c3dc5ce4ccfe
com.eduworks	ew.ontology	5.8.1		376f224287fd67bf3135f5b9b3127aa5421fc3fd
com.eduworks	ew.ontology	5.9.0		42d8499e8ae3337fb3fed3800c60df0a72671923
com.eduworks	ew.ontology	5.9.1		049d0eb2f15a8305233db0280ee9f6af9456891f
com.github.bosphere.android-filelogger	filelogger	1.0.7		N/A
com.github.bvanseg	talaria	2.1.0		0ced5a3368fbfae4d8c111505aba3c68818ff5a3
com.github.bvanseg	talaria	2.1.1		b1a2864fa8ee7857e57a4d6c17a0b427753031b6
com.github.bvanseg	talaria	2.1.2		a29414d0337b5ec3359f141a805243e80e82a1e7
com.github.bvanseg	talaria	2.1.3		0bc502d51bb67e186e6c5344c012cfb490e06692
com.github.bvanseg	talaria	2.1.4		df0154f92dc1baedec153041e1b9668dad026aaa
com.github.bvanseg	talaria	2.2.0		91c345e6ddc878d67714e55bb563f5d8e405cb57
com.github.bvanseg	talaria	2.2.1		8ea22b7fb08ded191c2d1493310c5c67d0d8c78f
com.github.bvanseg	talaria	2.2.2		c5f472ba35f608cdb0cacfd4c2b2111f47e02051
com.github.bvanseg	talaria	2.2.3		07500d5b14dcf2c13d3a154a8c3d2e419f8ce749
com.github.bvanseg	talaria	2.3.0		8039945bfdd94c2040b3414282e601ab2946fd50
com.github.bvanseg	talaria	2.4.0		bcec5b4641d2c44165146536935bfec3053f60e5
com.github.bvanseg	talaria	2.4.1		fbf693f1aad286bab25266f134c80a979c47c5aa
com.github.bvanseg	talaria	2.4.2		4bdf9e0c1f369e9cb231a8a591811ceb0574328b
com.github.bvanseg	talaria	2.5.0		bc2a73be52e2710e077ae59423e00909f40d7c79
com.github.bvanseg	talaria	2.5.1		a30e852dfec49dda623b5234ef3083709773d141
com.github.bvanseg	talaria	2.5.2		f4cbe5d851f43d14a7cc13a5fdb8f07d6dac7ad2
com.github.bvanseg	talaria	2.5.3		a9683e7a904f1f49f5002f97793229e2344f8217
com.github.huajianjiang	baserecyclerview	1.0.0		N/A
com.github.huajianjiang	baserecyclerview	1.0.0-RC1		N/A
com.github.xiongxcodes	haohope-distributedlock-annotation	1.0.0		13ce5dfb48c5a9f6f21f3365662c1bce0d2e245c
com.github.xiongxcodes	haohope-distributedlock-annotation	1.0.1		687436704a3b1b0e1dda5c048bf6141eb202bcee
com.krux	stubborn_2.10	1.0.0		ee1fdf8aa51eb9a1e8133c8b9ed722c3bdb73db1
