cn.herodotus.stirrup	stirrup-facility	3.3.0.0-M1		N/A
com.github.oncizl	recycler-adapter	1.0.3		N/A
com.github.oncizl	recycler-adapter	1.0.4		N/A
com.github.oncizl	recycler-adapter	1.0.5		N/A
com.github.oncizl	recycler-adapter	1.0.6		N/A
com.github.risedragon	spring-jedisclient	1.0.0		323ef3b6ab9fbc4e53022a2eb7049373b4531292
com.github.risedragon	spring-jedisclient	2.0.0		0960e6b7538e505c9bc0120ffc073e68df19a8b9
com.github.vitaliihonta	scala-ql_2.12	0.1.0		e2aa90859fafb07f4ee62225474f24001dd48036
com.github.vitaliihonta	scala-ql_2.12	0.1.0-RC1		e9ca91681ef20caaf5acb41f7a8b4684dac26ec3
com.github.vitaliihonta	scala-ql_2.12	0.1.0-RC2		229592979f605944e00a3bbb6f5e9ee12364e647
com.godmonth.status	executor-core	0.2		769b29b995c6d08f3c395b315ef4219953c117c0
com.godmonth.status	executor-core	0.3.1		e3257009a012bc4eee395dc51cc8c8946066b6db
com.godmonth.status	executor-core	0.3.2		d256addcd7095b868b456d55e37ff99e94e554f1
com.godmonth.status	executor-core	0.4		ce6818639a7f25fe1dd5595932bce79bd468c48d
com.godmonth.status	executor-core	0.4.1		7d45767b0b272659fb1cd5645d40ea798db33acc
com.ibm.sbt	com.ibm.sbt.libs	1.0.1		495621aa488956e09236bbfa0e4750a763452f36
com.ibm.sbt	com.ibm.sbt.libs	1.0.2.20140527-1807		f7aee36488af20e506d6a3687898812cdfc91af3
com.ibm.sbt	com.ibm.sbt.libs	1.0.3.20140717-1200		d62d407eb895ad5b7c861e38b91a3c030015bdf1
com.ibm.sbt	com.ibm.sbt.libs	1.1.0.20140717-1200		a16e9000a138a543a886fa31186b690adfddf52d
com.ibm.sbt	com.ibm.sbt.libs	1.1.1.20141111-1200		c0c264b3ff53ffce3531ad75501923bce780df24
com.ibm.sbt	com.ibm.sbt.libs	1.1.10.20151002-1200		0ac98e2d739aeebb35a2592a3f4b531a41e5915d
com.ibm.sbt	com.ibm.sbt.libs	1.1.11.20151208-1200		0db5689569d4af139e556d462373a0b813e8adae
com.ibm.sbt	com.ibm.sbt.libs	1.1.12.20161007-1200		f6c209c6727a7523c0deb3e14964ee070cce5849
com.ibm.sbt	com.ibm.sbt.libs	1.1.2.20141211-1200		1531b6f49b265784edbcd8d1aec67f415fa73f96
com.ibm.sbt	com.ibm.sbt.libs	1.1.3.20150220-1200		f930bd8c38cbf8c29f193d8d5caaebbdb6339185
com.ibm.sbt	com.ibm.sbt.libs	1.1.4.20150504-1700		749864d781ed2e43eee27dfda1575f664395c308
com.ibm.sbt	com.ibm.sbt.libs	1.1.5.20150520-1200		756f7a030824261a0f31a6125c50c5d565b00e95
com.ibm.sbt	com.ibm.sbt.libs	1.1.6.20150817-1200		a20c2340b39d5494fc3a0a6260dc700173d5db91
com.ibm.sbt	com.ibm.sbt.libs	1.1.7.20150908-1400		4fb8e9d999a2883dd2d96f1b1f071063b5657a5d
com.ibm.sbt	com.ibm.sbt.libs	1.1.8.20150911-1400		4993e7804633067c69b8580d48a35c0f840c8658
com.ibm.sbt	com.ibm.sbt.libs	1.1.9.20150917-1200		fa501bdecb1727ddd25297c4393f97bce70ff564
com.liferay	com.liferay.asset.tag.stats.service	1.0.0		9890a33ec7b632acb32faf7a3288eb5f6b9e2cf6
com.liferay	com.liferay.asset.tag.stats.service	1.0.1		f2c4199838157864d07a3c9a89919b3acb01cd0d
com.liferay	com.liferay.asset.tag.stats.service	1.0.10		288ce4a4f21ae83ac20905baf59eecfcc173b7eb
com.liferay	com.liferay.asset.tag.stats.service	1.0.11		e8bda8bff5716326edef4c70268410b130accddf
com.liferay	com.liferay.asset.tag.stats.service	1.0.12		21f344353813ec076c66c62e7c4ff76ec3b0a5da
com.liferay	com.liferay.asset.tag.stats.service	1.0.13		0d29a99f1b6349b816e1a2db307dd66eeb3dcfb8
com.liferay	com.liferay.asset.tag.stats.service	1.0.14		2a13f65e960b06bb8b6d7ee79957ebd3caabe05b
com.liferay	com.liferay.asset.tag.stats.service	1.0.15		3c4fc14e75dc0e5abae1e8b09797953e5521298d
com.liferay	com.liferay.asset.tag.stats.service	1.0.16		da256b75c1b18290205b22ac6e7ab5c130727430
com.liferay	com.liferay.asset.tag.stats.service	1.0.17		d59d3c9e562ca56f9345c298138ccd7ca591a151
com.liferay	com.liferay.asset.tag.stats.service	1.0.18		373c8819d8f87760c516107abd783c72efaefec9
com.liferay	com.liferay.asset.tag.stats.service	1.0.19		bc37dfc2e33172db8676886f000f545bd957006e
com.liferay	com.liferay.asset.tag.stats.service	1.0.2		63f105575de139d4e0c823ba3f644664f0980409
com.liferay	com.liferay.asset.tag.stats.service	1.0.20		d0775502662cd2334fe038e6da3f18f76a91fbeb
com.liferay	com.liferay.asset.tag.stats.service	1.0.21		1babb0253e8b1e6a3cf3558bc432063af6ef2d65
com.liferay	com.liferay.asset.tag.stats.service	1.0.22		2117741d1f92915de4a32981b050395bcc10cf00
com.liferay	com.liferay.asset.tag.stats.service	1.0.23		67bab32fe8bbedc6109f44de1b3ecacc8cbcd879
com.liferay	com.liferay.asset.tag.stats.service	1.0.24		86af6717a32dc4db3973e763a45ccd57167bdace
com.liferay	com.liferay.asset.tag.stats.service	1.0.25		ba1b5f48410c13597eb3b4615c8cb140aac96260
com.liferay	com.liferay.asset.tag.stats.service	1.0.26		f7ac02f686bee471df4db10dd6657de8d372b048
com.liferay	com.liferay.asset.tag.stats.service	1.0.27		dae57121c74e833476dae409431eb8754431616e
com.liferay	com.liferay.asset.tag.stats.service	1.0.28		450b38527211d2c0db094bd009f284d72bb7615b
com.liferay	com.liferay.asset.tag.stats.service	1.0.29		9bcb23dce24e8c3b64ab50af99de4e7408ef700a
com.liferay	com.liferay.asset.tag.stats.service	1.0.3		a3e30f967b46efaae972e374b0256959fefed8ad
com.liferay	com.liferay.asset.tag.stats.service	1.0.30		e0d6c0b8ff28e1f0c34fc14ed021e4bdf2c5ed57
com.liferay	com.liferay.asset.tag.stats.service	1.0.31		69ba792c3ccb0e5122bc62afff49d615dba6720a
com.liferay	com.liferay.asset.tag.stats.service	1.0.32		e76202a30386b14da132d48efee0aa04b1658dd0
com.liferay	com.liferay.asset.tag.stats.service	1.0.33		2ff039cff1033065f412971315bf758e72f77e88
com.liferay	com.liferay.asset.tag.stats.service	1.0.34		92854692f1a892c904fe06fbe7ccbd9389067407
com.liferay	com.liferay.asset.tag.stats.service	1.0.35		a05b996414d869ac4798cd68045d891fae24676d
com.liferay	com.liferay.asset.tag.stats.service	1.0.36		f5a7ce92817e3d2778d295ec8962efebfeb396e4
com.liferay	com.liferay.asset.tag.stats.service	1.0.37		07be08fdd500ac825e7f710fa235a92050cbe900
com.liferay	com.liferay.asset.tag.stats.service	1.0.38		16ec289fca6493014b668c21e3d75d0306bb1012
com.liferay	com.liferay.asset.tag.stats.service	1.0.39		ddd19f6bfbad3324732a9e3b93f57ca65a463b32
com.liferay	com.liferay.asset.tag.stats.service	1.0.4		453cd0212a36bb4398267aee9451efde715e59b6
com.liferay	com.liferay.asset.tag.stats.service	1.0.40		56f7f4dea3aea2a8bd20e2c43ffd7a3715988dee
com.liferay	com.liferay.asset.tag.stats.service	1.0.41		3f8abbdaf1430586ed9d53f4e3d6cafefac28104
com.liferay	com.liferay.asset.tag.stats.service	1.0.5		db9f420cab9a316f5ddbe9444ad3c63cf8ce7839
com.liferay	com.liferay.asset.tag.stats.service	1.0.6		a3511710dbba467b584b455192026455ea3bddb4
com.liferay	com.liferay.asset.tag.stats.service	1.0.7		c1c56707c8aca74bbe7e37f6ee78113123fa1030
com.liferay	com.liferay.asset.tag.stats.service	1.0.8		544f02936bc722f515a7fe49c10dcb2ec2523c3a
com.liferay	com.liferay.asset.tag.stats.service	1.0.9		43da275f37a46dc489ccc04ec41c48518cf60e4d
com.liferay	com.liferay.asset.tag.stats.service	2.0.0		7e3133ddcb2224dd00e3d50d968b482e063ccbcf
com.liferay	com.liferay.asset.tag.stats.service	2.0.1		b8af23ce8d7bff23887e5f209a905d29ec2f7c9e
com.liferay	com.liferay.asset.tag.stats.service	2.0.10		2e22daa90a667b0c3ae56234cecbca3eb2b3d077
com.liferay	com.liferay.asset.tag.stats.service	2.0.11		489d94da2fb19e72467a4daf5b3f8a394c2e16d1
com.liferay	com.liferay.asset.tag.stats.service	2.0.12		e592f294ef17282dc897955bb170dd5cb467f537
com.liferay	com.liferay.asset.tag.stats.service	2.0.13		1d40c5285362c1d5efce8dd7ac46b592f0fe057b
com.liferay	com.liferay.asset.tag.stats.service	2.0.14		83f8a2435276dcf42c580665a58340f20262b189
com.liferay	com.liferay.asset.tag.stats.service	2.0.15		497e85f37de8f2424966ee48ac9772a38be6f097
com.liferay	com.liferay.asset.tag.stats.service	2.0.16		69fb4d67b89dc66044eb05c6ec7524c01f821188
com.liferay	com.liferay.asset.tag.stats.service	2.0.17		f0a9f449727a75f4c056e77057fcdc5b515768dd
com.liferay	com.liferay.asset.tag.stats.service	2.0.18		4175c118aead82b172094de15ed9f93c9d9f80e2
com.liferay	com.liferay.asset.tag.stats.service	2.0.19		b713ec59a570ea4df31ff516ed8b9fceb226f485
com.liferay	com.liferay.asset.tag.stats.service	2.0.2		9919fd5a0dd0e910717ef0a3d7e5530faf4dc9a5
com.liferay	com.liferay.asset.tag.stats.service	2.0.20		b46aa46e18daf3b4e4e43bffc43c68f8b05be7e4
com.liferay	com.liferay.asset.tag.stats.service	2.0.21		852f55f1ce7555c63deec200356e8a629c2f4281
com.liferay	com.liferay.asset.tag.stats.service	2.0.22		d855299b2cd0339411b3fbf4987f6b7fb1490362
com.liferay	com.liferay.asset.tag.stats.service	2.0.23		e3434e200f05e95f5ba6b05ee19a39f4f6bd3648
com.liferay	com.liferay.asset.tag.stats.service	2.0.24		59162979c0f06ca2f8e9363d4b5b25db0980fa64
com.liferay	com.liferay.asset.tag.stats.service	2.0.25		21449beee5e3a14084f0b9069209bf705d0d1f64
com.liferay	com.liferay.asset.tag.stats.service	2.0.26		bf692bddf502feb0ec8180ade9c10644989f89c3
com.liferay	com.liferay.asset.tag.stats.service	2.0.27		e17d77185375fe887235cccf8d0b480cafa20891
com.liferay	com.liferay.asset.tag.stats.service	2.0.28		1356f412c484a36c565336d9d4005eb708982be6
com.liferay	com.liferay.asset.tag.stats.service	2.0.29		3e028158df84a71168a04c8d2bd61c5462bc6869
com.liferay	com.liferay.asset.tag.stats.service	2.0.3		4d2c5a3c70d4d1f4545d6b477c4a3e19b2af5910
com.liferay	com.liferay.asset.tag.stats.service	2.0.30		34797a4d2d3654324ecf1161288eda4e0c9467e0
com.liferay	com.liferay.asset.tag.stats.service	2.0.31		fc131cfe1dd103f292367e8f6f47deea28943c9a
com.liferay	com.liferay.asset.tag.stats.service	2.0.32		e300d9a46d2954b561d1d8db7b7e4a07f195c13e
com.liferay	com.liferay.asset.tag.stats.service	2.0.33		ab72ccc86e415484cd470bf020d2ffcce2d4654a
com.liferay	com.liferay.asset.tag.stats.service	2.0.34		a2c3d90e643507d6bd35c82bd3c3ceef10a7a9d7
com.liferay	com.liferay.asset.tag.stats.service	2.0.4		f7c3fa5079924cbc3072c7b034af3cb2111ba170
com.liferay	com.liferay.asset.tag.stats.service	2.0.5		a2845978a98e8ee69abe6ae0878c9311804dab8c
com.liferay	com.liferay.asset.tag.stats.service	2.0.6		a5ca67c589e2efd7bfd507f172781abbc80708c4
com.liferay	com.liferay.asset.tag.stats.service	2.0.7		9cf04e2a71cd0b0086d7736ef71b92d28ae5f8f3
com.liferay	com.liferay.asset.tag.stats.service	2.0.8		a00104058b3a18932527b45ca9c93b67b9fc5b6d
com.liferay	com.liferay.asset.tag.stats.service	2.0.9		47b2b7fa72fd4075062e6e766173dea888199e83
com.lightbend.constructr	constructr-zookeeper-root_2.12	0.3.2		a88cb5796b8707eca56b4b46856aab9ed89eed6f
com.lightbend.constructr	constructr-zookeeper-root_2.12	0.3.3		00382be46ab62a248cf63b09ec97fbdc9fc6ff05
com.lightbend.constructr	constructr-zookeeper-root_2.12	0.3.5		bdee529329116d71f59ee50d6fccdbfb03bc9092
com.lightbend.constructr	constructr-zookeeper-root_2.12	0.4.0		2884d6e3f2d0389eca27b3869719ca9eca0c1286
com.lightbend.constructr	constructr-zookeeper-root_2.12	0.4.1		d64d02463dd01fb659d78fdf42deb6dcc31464ca
com.liumapp.simple.convert	simple-convert	v1.0.0		aa7ce9975fd64161885684ed436191a6656f108a
com.microsoftopentechnologies	windows-azure-storage-plugin	0.1.0		355fbd4315924862884312cb8de592fb0a0b4a3b
com.microsoftopentechnologies	windows-azure-storage-plugin	0.1.4		099c6a761acefc332a0c59387ab96c6d860ccf24
com.microsoftopentechnologies	windows-azure-storage-plugin	0.2.0		ddaa84ffaa339c16c154800f70946fff25e1297f
com.microsoftopentechnologies	windows-azure-storage-plugin	0.3.0		c8fabb279e9b053aa32b3c5ad258e3c36c4c7f29
com.microsoftopentechnologies	windows-azure-storage-plugin	0.3.1		299cb1bc9dd9852b6376534502a89ae6b95b609d
com.moriatsushi.compose.stylesheet	compose-stylesheet-appbar-uikitx64	0.0.3		N/A
com.moriatsushi.compose.stylesheet	compose-stylesheet-appbar-uikitx64	0.0.3	metadata	7893915f2c8ba4f175aceeaa3632de537efd9bc1
com.scalawilliam	xs4s-core_2.12	0.7		cd757a9b7db66c24ec6b6a1891c69fe5d036899c
com.scalawilliam	xs4s-core_2.12	0.8.2		f11df561dfb2cdcd7af2da5f91e114894cf58a78
com.scalawilliam	xs4s-core_2.12	0.8.7		b18e69c054dad17ebf205a795e061c9019b8386d
com.scalawilliam	xs4s-core_2.12	0.8.8		970e9727c07d4ea6c8d6a7251210cad1148adad4
com.scalawilliam	xs4s-core_2.12	0.9.0		3c6273696596f313e4c42ac7a8ce70af2b9a72f3
com.scalawilliam	xs4s-core_2.12	0.9.1		fab817e5a15bcb828d7cd0fb2517035b5283b8b4
com.sshtools	maverick-base-tests	3.1.0		590615aadf0f5e67d093c3442ac3b59120729fae
com.sshtools	maverick-base-tests	3.1.1		caa1669722e505805d9e6c40397d13b0a25e2c58
com.sshtools	maverick-base-tests	3.1.2		5ba89186ad60eac71fb7f82d253b257daa547ce7
com.stevdza-san	messagebarkmp-desktop	1.0.1		285ee8d705af137464bd1b013b7da2c0e9a5bda6
com.stevdza-san	messagebarkmp-desktop	1.0.2		2e77df97c89eedbf5b05a3f3ccccce37d6d7793d
com.stevdza-san	messagebarkmp-desktop	1.0.3		5c83ebe727e67d68fb1498b2cc3770eef4a8c55e
com.stevdza-san	messagebarkmp-desktop	1.0.4		5c83ebe727e67d68fb1498b2cc3770eef4a8c55e
com.stevdza-san	messagebarkmp-desktop	1.0.5		d82697ae16a2b9d2b6754a9fe1c94c4b3e45a7e2
com.stevdza-san	messagebarkmp-desktop	1.0.6		ba0903752b176124d4053ded2546a2afb5517521
com.stevdza-san	messagebarkmp-desktop	1.0.7		37636c956b69febf11e1bd89f0855c1d804ac9a1
com.testyantra.optimize	tyss-data-models	1.0		ddf5b644e3464e5a0fced4d16aa8ec0d2968a284
com.twitter	inject-thrift_2.11	17.10.0		dc7262f75a94d9cfc8fc2393a1b086ad28378dae
com.twitter	inject-thrift_2.11	17.11.0		05a13d8009cb5c0364f0c51a8d2ca68117442f25
com.twitter	inject-thrift_2.11	17.12.0		0607b80798d31ceab6ebc20473103e3c1e370f4f
com.twitter	inject-thrift_2.11	18.1.0		2f1ff4592a761578f918660a39edc636febd6ac4
com.twitter	inject-thrift_2.11	18.10.0		1a388d14e717cd69dc36cebebcc010fc07c1a2e5
com.twitter	inject-thrift_2.11	18.11.0		a8af26b7f5737e93d47497ac70ec12c34a8beaec
com.twitter	inject-thrift_2.11	18.12.0		797dc7e7186b7bd3c5ba8e5b4b0bed0602da3bf1
com.twitter	inject-thrift_2.11	18.2.0		332ecae731d37d5fc86b131d1b834c20653a778f
com.twitter	inject-thrift_2.11	18.3.0		8fe3d5b113c6c6c0b736b4ca3c0e319a7e6e1a6f
com.twitter	inject-thrift_2.11	18.4.0		b99414630245bafa6f9b10ed45c21c3c0592213d
com.twitter	inject-thrift_2.11	18.5.0		c38ac3b05913ce04932b52b7fd8b0e33883f58da
com.twitter	inject-thrift_2.11	18.6.0		9a4ec029296839ef3d764cb72bfae03974ffcea1
com.twitter	inject-thrift_2.11	18.7.0		6016e34c8902c3017fe28000a2e163a802a2cb8e
com.twitter	inject-thrift_2.11	18.8.0		d241ccd18f88c4a235f56740d5ad5fd130d65da8
com.twitter	inject-thrift_2.11	18.9.0		5995281ad967dd5806954fa8aafb5f7835c5f199
com.twitter	inject-thrift_2.11	18.9.1		eec0ce70c09623ce2b0f4216b5fe513b1d246446
com.twitter	inject-thrift_2.11	19.1.0		372e761c2744712e290504f2a6ca16c3b09a3406
com.twitter	inject-thrift_2.11	19.10.0		a368104faab38a060b915559366d83a1f2ab0de2
com.twitter	inject-thrift_2.11	19.11.0		065c167f69b3c72ff0a7fb66ff7492ef04dfc320
com.twitter	inject-thrift_2.11	19.12.0		00ff932b9857d7cf7f48f0e84376c1e8acdae547
com.twitter	inject-thrift_2.11	19.2.0		4a463c84e062fb2bde8cc554c0a7ff9dd158baf2
com.twitter	inject-thrift_2.11	19.3.0		81df89f95e6191433c5713e22a69c01ffeef26eb
com.twitter	inject-thrift_2.11	19.4.0		7a2ef6552ea875bdc9e7aa5c050528e34db39da3
com.twitter	inject-thrift_2.11	19.5.0		92832f0472bc8d21363416b5652ad64ee9d5a817
com.twitter	inject-thrift_2.11	19.5.1		80c49230704fe67084ccaa5bab0eed3fd3ff7914
com.twitter	inject-thrift_2.11	19.6.0		73b66c333bcdbe004faf52c747adf5bb434c6cb7
com.twitter	inject-thrift_2.11	19.7.0		ca78c45927dc8057d61f15b185793ccb7549090e
com.twitter	inject-thrift_2.11	19.8.0		0917d55f80064b55c58f9fabfbc04411c8235093
com.twitter	inject-thrift_2.11	19.9.0		45642169397fa313f418149a7de211155b61cda6
com.twitter	inject-thrift_2.11	2.10.0		c3b5b07486a2472e7e99fe062247a0884b8fcfbf
com.twitter	inject-thrift_2.11	2.11.0		d1bfa0bf21d593c53ceecbb79d4cdc966e3fdf42
com.twitter	inject-thrift_2.11	2.12.0		7b0b7501d606090c6a0bbf89ab428997eceb578b
com.twitter	inject-thrift_2.11	2.13.0		2cad6423a148a65203f15e05c84e4cc0029034e5
com.twitter	inject-thrift_2.11	2.2.0		4cb8a55adfc2e6acd695866293266e4d61b27d44
com.twitter	inject-thrift_2.11	2.3.0		85444bec2cb58a10f16ec4af0389b12c8fae8fc1
com.twitter	inject-thrift_2.11	2.4.0		f363d13237badc3ac9d37b3cb43d3fdc85e39b46
com.twitter	inject-thrift_2.11	2.5.0		0193f62a1a41e5a97b130bbddddc42675cefbde2
com.twitter	inject-thrift_2.11	2.6.0		c69e7473606e514e27a4533b2814b41d907a5130
com.twitter	inject-thrift_2.11	2.7.0		307bb8741a9f34d5e59f992ff9df783f0f7f2ed0
com.twitter	inject-thrift_2.11	2.8.0		bb6edf77829b2247ad53f2fe3611bb6d0d7b925f
com.twitter	inject-thrift_2.11	2.9.0		4e67415196c7069682bdcb2896eb8b8bb548b3d5
com.twitter	inject-thrift_2.11	20.1.0		41a71ca0f9f0b360a09bbe70f7fb93eda958853e
com.twitter	inject-thrift_2.11	20.10.0		2262aafd20ee6ee9b72ff69c9a20680e8966cdf4
com.twitter	inject-thrift_2.11	20.12.0		8c61079e750e39ce0a156fcf2d812bfb1c9e8f43
com.twitter	inject-thrift_2.11	20.3.0		e8e8e724404dbe89d02c76a255565b08f21fe9e7
com.twitter	inject-thrift_2.11	20.4.0		27d3a5d13178cfc9bb73fabcb11e88b3bf5c7b0b
com.twitter	inject-thrift_2.11	20.4.1		077bbb2ceff559d6b7a732c8ef2d1b05c53b08f5
com.twitter	inject-thrift_2.11	20.5.0		8a3a803d65d395fcf04c6feaa0886852154e8627
com.twitter	inject-thrift_2.11	20.6.0		04bdb119ce6941012802c494db9774271c5de92c
com.twitter	inject-thrift_2.11	20.7.0		7bb071e5d0064219dda4d49731615aca6e172efd
com.twitter	inject-thrift_2.11	20.8.0		7a1a3618e6a4c817f8e18b7c785c36609901e4e6
com.twitter	inject-thrift_2.11	20.8.1		762585dcb61aa23c5426209ebb44c1803c8d0242
com.twitter	inject-thrift_2.11	20.9.0		6f929933dbc460159f1bf31eef5823eab6ee69f0
com.twitter	inject-thrift_2.11	21.1.0		6e2b211c2e8cec46b0eca785fea00ebadc014d88
com.twitter	inject-thrift_2.11	21.2.0		141ff4206d8bffef67e89b8b7a88b3e499784fcc
com.uandcode	effects2-koin	2.0.0-alpha01		ab3148644318c56792d613aae21dd7ee4c55b13d
com.uandcode	effects2-koin	2.0.0-alpha02		ab3148644318c56792d613aae21dd7ee4c55b13d
com.uandcode	effects2-koin	2.0.0-alpha03		a7758201b3aa2e310714b8e5d496efd0c1a4bf3d
com.uandcode	effects2-koin	2.0.0-alpha04		64d20721e9bb5cba4ef725a4f2d1f62c9715ac59
com.uandcode	effects2-koin	2.0.0-alpha05		64d20721e9bb5cba4ef725a4f2d1f62c9715ac59
com.vilt-group.minium	minium	0.9.0		N/A
com.vilt-group.minium	minium	0.9.1		N/A
com.vilt-group.minium	minium	0.9.2		N/A
com.vilt-group.minium	minium	0.9.3		N/A
com.vilt-group.minium	minium	0.9.4		N/A
com.vilt-group.minium	minium	0.9.5		N/A
com.vilt-group.minium	minium	0.9.6		N/A
