app.cash.treehouse	treehouse-compose-android-debug	0.1.0		N/A
com.github.migangqui	serveo-spring-boot-starter	1.0		dffdbd63e8ac1495cdbd2a1598bb4d18b3961c65
com.github.migangqui	serveo-spring-boot-starter	1.1		761d8fac0e3e6daa78ea0b701428e856ba88d93f
com.github.seratch.reaktor	scct_2.10	0.2.001		067ba9c9b8de224da7c149466896e5a2223a8699
com.github.skgmn	cameraxx-composable	0.6.1		N/A
com.github.skgmn	cameraxx-composable	0.7.0		N/A
com.github.skgmn	cameraxx-composable	0.7.1		N/A
com.github.songyz0310	flowable-lang	0.0.14		7eaf421706ff3325ae5787a0e136598dfa8ca622
com.github.songyz0310	flowable-lang	0.0.15		430d2cad86c54d90d5c3d351ad7f00b1b70ded7e
com.github.songyz0310	flowable-lang	0.0.16		70d68a5c5d516aff7ead22c2105f7a3cc1a5ec9b
com.github.songyz0310	flowable-lang	0.0.17		546b11db3bde8de063233adcc435077ca7968373
com.github.songyz0310	flowable-lang	0.1.1		c92a91cfc658cf3b1491711bdcbf96762132bba7
com.github.vencent-lu	giants-web-parent	1.0.3		N/A
com.github.vencent-lu	giants-web-parent	1.0.4		N/A
com.github.vencent-lu	giants-web-parent	1.0.5		N/A
com.github.vencent-lu	giants-web-parent	1.0.5-Beta-1		N/A
com.github.vencent-lu	giants-web-parent	1.1.0		N/A
com.github.vencent-lu	giants-web-parent	1.1.1		N/A
com.github.vencent-lu	giants-web-parent	1.1.10		N/A
com.github.vencent-lu	giants-web-parent	1.1.11		N/A
com.github.vencent-lu	giants-web-parent	1.1.2		N/A
com.github.vencent-lu	giants-web-parent	1.1.3		N/A
com.github.vencent-lu	giants-web-parent	1.1.4		N/A
com.github.vencent-lu	giants-web-parent	1.1.5		N/A
com.github.vencent-lu	giants-web-parent	1.1.6		N/A
com.github.vencent-lu	giants-web-parent	1.1.7		N/A
com.github.vencent-lu	giants-web-parent	1.1.8		N/A
com.github.vencent-lu	giants-web-parent	1.1.9		N/A
com.github.widebase	widebase-stream-codec_2.9.1	0.1.0		2a7283e4d6e58f0b15dc1665d0e9ca704d273e07
com.github.widebase	widebase-stream-codec_2.9.1	0.1.1		cc7e384b50740b0bba7e3d9afd8ddeacb52d175a
com.github.widebase	widebase-stream-codec_2.9.1	0.2.0		0ef809e2f6fc7e340ab9ac0665a1abf0f5b70b81
com.github.widebase	widebase-stream-codec_2.9.1	0.2.1		74db0c6635459dc36016013373c981004655a32a
com.github.widebase	widebase-stream-codec_2.9.1	0.2.2		070088609581c6d35f7b026a366578f95ad49715
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.1.0		01272491a99691a59377758b041adfcff03a277a
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.10.0		e63ea0403d02956ae1b8e9008454a232bc2a5a36
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.11.0		dae535fd3a8c5e86ab4170902df5cee7c0d00c79
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.12.0		e8479fc9e7596fbf11e9f314a2d997f21327e4da
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.13.0		ece66ad699f314b22f167456bf2526bddeb99e01
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.14.0		a660c15bf81e9e7150a1a28e66aa06f56ee3a517
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.15.0		5504336bd0b6424b96d86195b007e4a8a141fd40
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.16.0		a4516e844c6418489d69f7313da0c8a779add2b4
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.17.0		90a5609680add054510a3b85412e2ade70596196
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.18.0		6edb0c49a3461c525cdcdf74a673f8efc4c48b14
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.19.0		3cc4813e7e638e8a7972f84d11da7f48e0fb8830
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.20.0		f87f219833edcca3d10946a804e47afaaaa09eff
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.21.0		9062f7cd17a409d8de63ac5334cfa8680940dd9c
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.22.0		c0ad5452752e1693a1621297507a25da13207317
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.23.0		e538d509dc1fae17e5cfb327371eb1c7d1292c0a
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.24.0		34b5c5ec368d8238fab27dc556e27f2f251b1cb1
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.25.0		08755923d430ed69d978dd173c424ed8c68ed49b
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.26.0		8a6ff4ce37a4a99b566b4dcd688f7018ffe0487e
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.28.0		3018b3cef26c30eb6f3f7a85699eb95bb30e85a0
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.29.0		3bf5d320e3959d186577aa3e73a893610fedfde5
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.30.0		d0985bfc5de24fc81f032e6e386f691104cd9bac
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.31.0		790cd5429ff3d677b04801aba22d9ba0a8dd3596
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.32.0		41c07d0e9b74be94f50a52fda3339f6ff5b7f74c
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.33.0		d7905fed9aa9d93fb6497788c6981c45df1bf0ab
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.34.0		82194a581f82fc49dc7acf197c2aa3c23ebd4155
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.35.0		d8cd3c12e69ad4efb5f98e0ab22dc61b96c5bb2b
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.36.0		78980453052b8ef3745099063a4548bd6e388bbb
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.37.0		8f53645a7a8978da357c6c5fbaee8a50424d2e14
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.38.0		433845cd60c26c396652f7d13b5f7d83aeacf890
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.39.0		b911bd7386581aca4088747cbed28c3a6413fe54
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.4.0		e5a368b20e63f131fc53c5d2795b119702202ca6
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.40.0		442c2c8341e7bb1a405d6464c13d6b33ecaf22c7
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.5.0		a2f15716e1bb6778bd4967974f3e4d23fb91da20
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.6.0		825a3518922a3d6229e5e6a8dae0a407b3dac1b5
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.7.0		de317df7d5f83edd4c76ea687ddca9a2d0ec72b6
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.8.0		341d53b249b8dd18b47015ecf1a4a996d76b6c5e
com.google.api.grpc	proto-google-cloud-infra-manager-v1	0.9.0		1989a1bc280940e9360567688dd7cee7208a8239
com.ibm.fhir	fhir-profile	4.10.0		d0168a10561941eb0f69c0b2f7efdf399af65664
com.ibm.fhir	fhir-profile	4.10.1		88395b9c699d66efa60f94d015b32d7e5f54e20d
com.ibm.fhir	fhir-profile	4.10.2		fcf119883478781198a51e0bcf8fb01c0462faf3
com.ibm.fhir	fhir-profile	4.11.0		49ddbbfd95ce109e702a8ba0221fcc28afb104b0
com.ibm.fhir	fhir-profile	4.11.1		9b5cf425c00d0ad4de9eee4e78415821e27ac6bd
com.ibm.fhir	fhir-profile	4.7.0		2ddb4bcc8f05e31dedcd780aeaae05ee2f627232
com.ibm.fhir	fhir-profile	4.7.1		447423687820ff629ab1a0ac307976094831af35
com.ibm.fhir	fhir-profile	4.8.0		497caa8a16f09c6f8b84cccdfd463c8159dd0549
com.ibm.fhir	fhir-profile	4.8.1		8365d3ae646cb3abfe25f968fb6fed523a0c7562
com.ibm.fhir	fhir-profile	4.8.2		5c1a60d5e91e18501c993fcd8ce80d6d3731ae7b
com.ibm.fhir	fhir-profile	4.8.3		169d6455795c90904cb275bffaa399cc7282de39
com.ibm.fhir	fhir-profile	4.9.0		e940f8b830d3c7f7049c15624ae35f0dd8eddd55
com.ibm.fhir	fhir-profile	4.9.1		1fed650adae9d0d3f1392824d5b2dff9ebbd8a1e
com.ibm.fhir	fhir-profile	4.9.2		c21344c960439f1590e1f25bea989064c3f88ed8
com.impetus.client	kundera-redis	2.3		cf58c26b3a816242036c0e0eb6706bb1c465f948
com.impetus.client	kundera-redis	2.3.1		d71d84a0b72143690cb941713a477e821e0844e9
com.impetus.client	kundera-redis	2.4		82d48e90ee0c271f059afb1472115a0e02ac4452
com.impetus.client	kundera-redis	2.5		1fdbb3ce5c258e566a586dca9da914c0eb81f08b
com.impetus.client	kundera-redis	2.5.1		1f7915ae45aa055518ff0e8da8dbfff87f1ebe59
com.impetus.client	kundera-redis	2.6		5b7c7fb4564772414f1b08848244d1658d8c45d9
com.impetus.client	kundera-redis	2.6.1		cbd1d69b543c07625787752934bcc98ca702629b
com.impetus.client	kundera-redis	2.7		c4bae722a02213421bd228d74d69e54367ad7886
com.impetus.client	kundera-redis	2.7.1		fee6f2d44cb2e6e4bb51ebf5f58d1bc018882305
com.impetus.client	kundera-redis	2.8		d443d21ffb36edd2e8facc9040742f3e920a70b7
com.impetus.client	kundera-redis	2.8.1		ab8c35bb93a4aace877ee7c9c8180c87c6ed3dc2
com.impetus.client	kundera-redis	2.9		9ace129ee45ed351882424da3cc6f6ab75e36135
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_2.4.3	0.10.0		802a63113725c027d40d2dbaae39e3d9c1a501e7
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_2.4.3	0.10.0	flink-udf	3d769bb4313a566d05abfa72809c9334264c5bce
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_2.4.3	0.10.0	http	204b0a6b5f448d56e9b4d36ab7354fb3bd5a5a6f
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_2.4.3	0.10.0	jar-with-dependencies	302a1cee3b387391aeb6c2c822e3cdc089370a0c
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_2.4.3	0.10.0	serving	0057ecbd1bd0d6d57e21d52317a168b2bc78a2bf
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_2.4.3	0.10.0-RC1		ea04bdf60d6e002a3b63a9d02d725e22217349bf
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_2.4.3	0.10.0-RC1	flink-udf	65516ea0aae45a84c0499f8d023ed22d80390f9e
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_2.4.3	0.10.0-RC1	http	f5bb715261946db2652f26ee59cae547282b92a4
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_2.4.3	0.10.0-RC1	jar-with-dependencies	00a026717734cd01f7ed9d34dff7aee7dfa28da1
com.intel.analytics.zoo	analytics-zoo-bigdl_0.12.2-spark_2.4.3	0.10.0-RC1	serving	d49a57edecbfb62dfc5010335fa34ccafd9858f2
com.io7m.verdant	com.io7m.verdant.tests	0.0.1		39b0ddf620d4b14d04ce2b63ba72996d18cdd671
com.io7m.verdant	com.io7m.verdant.tests	1.0.0		a54da59f0b0e452f0425527fe1f47c686db3ba30
com.io7m.verdant	com.io7m.verdant.tests	1.0.1		b5ff0fed33d7bf7734b1b97236cb2d011169f0e7
com.kraftics	liberium-database	1.1.0		8a7552e7896435dbb050f2a1e0df35cde2c08a85
com.kraftics	liberium-database	1.1.1		4256df775b40154e0d26529e56e69ff4b3e1dc87
com.lihaoyi	mill-contrib-playlib-api	0.10.0		c1d99964dd19b6d143d68f7805a52bad204fccd8
com.lihaoyi	mill-contrib-playlib-api	0.10.0-1-94a413		c04231a053b12e521be7008bd80497f0488e5845
com.lihaoyi	mill-contrib-playlib-api	0.10.0-10-cbc4e7		7a6237dd0ec812b812b8e6725b219de3ace29ea8
com.lihaoyi	mill-contrib-playlib-api	0.10.0-11-880d68		c6b5d387cfb0ce29f1aebd93cd536bba136610a3
com.lihaoyi	mill-contrib-playlib-api	0.10.0-12-e618b0		7ec6a998980cf56f590794f95834d6bd9fce6ce9
com.lihaoyi	mill-contrib-playlib-api	0.10.0-13-5bbb02		1b0b8be8c0e16b004fe994d48d443a853724db36
com.lihaoyi	mill-contrib-playlib-api	0.10.0-15-111690		34931ec0bd97462c140f106ec8ae2c1d95a96f04
com.lihaoyi	mill-contrib-playlib-api	0.10.0-16-7e178c		2a5e780b474c891c4e0b86f8b41182d34d55f43e
com.lihaoyi	mill-contrib-playlib-api	0.10.0-17-099efe		f57a6fb901c544fe343698c39887ca1020776d7a
com.lihaoyi	mill-contrib-playlib-api	0.10.0-19-83fef1		da8e294e4942eb6cf05eddd710a738ba0bfd936c
com.lihaoyi	mill-contrib-playlib-api	0.10.0-20-4fd18b		98e4b1c2a8eeecc9cefe141f595165eda9218ce9
com.lihaoyi	mill-contrib-playlib-api	0.10.0-21-c4247b		c7aacc443a15f9e95b7c9fabed5140c8843a05af
com.lihaoyi	mill-contrib-playlib-api	0.10.0-26-6e9327		717d003210e8240e0745ad989bda6387e6bdc7f3
com.lihaoyi	mill-contrib-playlib-api	0.10.0-27-f295a0		3728be1e7351e2270f5131ad8b61a3bb07115962
com.lihaoyi	mill-contrib-playlib-api	0.10.0-29-fcf5ac		a66a9300e2332d165f011f469b0d9eb34d9144b8
com.lihaoyi	mill-contrib-playlib-api	0.10.0-3-76892d		b4378c5cbc56a32251770c1e49a356d3950fa983
com.lihaoyi	mill-contrib-playlib-api	0.10.0-30-0f1a37		36c9144bcf0973c3ef0fe76980d88b6cddc5e36d
com.lihaoyi	mill-contrib-playlib-api	0.10.0-31-9bf72c		755e33f20d010e451906deb583d1ee49d38750e3
com.lihaoyi	mill-contrib-playlib-api	0.10.0-32-13ed05		674ce7d696d8926464a6dbe3054a56b4519c598d
com.lihaoyi	mill-contrib-playlib-api	0.10.0-33-66ab76		a62c8abc90dd529e36a4019ccdbea70e0ef0e986
com.lihaoyi	mill-contrib-playlib-api	0.10.0-34-265125		6f07621557e7bc0b5d9576d1f5bed154300c789c
com.lihaoyi	mill-contrib-playlib-api	0.10.0-35-11bc3c		63b3e9ec3487ecde12702b4f540c5c2c8b97b9e6
com.lihaoyi	mill-contrib-playlib-api	0.10.0-36-0ff6e0		dc196c90f11825118361b43e545132b0d31fc87d
com.lihaoyi	mill-contrib-playlib-api	0.10.0-37-3076ad		d57a2118b2fcf143f07438bacc0a6e1856744c26
com.lihaoyi	mill-contrib-playlib-api	0.10.0-38-677a10		e24592b52affef612a98675dc97d7c55a2ac5dab
com.lihaoyi	mill-contrib-playlib-api	0.10.0-4-8753cb		767c045b7a58950942edaaffec50a4f0433277ee
com.lihaoyi	mill-contrib-playlib-api	0.10.0-5-1d2c81		b895a6e27f172f58c80225d4c580d36d4c2cc32d
com.lihaoyi	mill-contrib-playlib-api	0.10.0-6-66a7f3		9e975d31aacad6b0f653b93361b6dae331482b1b
com.lihaoyi	mill-contrib-playlib-api	0.10.0-64-1b78fd		8b34756496c9b03a4876a8ab183240c51e5cc35e
com.lihaoyi	mill-contrib-playlib-api	0.10.0-65-610987		63a2121dc3583b36cd683be3ffc41f49f37c8081
com.lihaoyi	mill-contrib-playlib-api	0.10.0-67-524491		f4d51e59a4da2608e994afba3f87a07ab47edfca
com.lihaoyi	mill-contrib-playlib-api	0.10.0-68-17cad8		aefc49cd5ab679a0ec86dca0816b458486804eb4
com.lihaoyi	mill-contrib-playlib-api	0.10.0-69-0ca128		d17068e0af8263f46544107bf6e30436a9d258a6
com.lihaoyi	mill-contrib-playlib-api	0.10.0-7-e2d694		0c019e4e9222fef52a01292d2c057d836b96eeb1
com.lihaoyi	mill-contrib-playlib-api	0.10.0-70-3d160c		f689c84f57ce5b829a8444d26a449508e45d14e5
com.lihaoyi	mill-contrib-playlib-api	0.10.0-8-5cb73c		77631b8df8a19903b54cd24315eac71387a9a218
com.lihaoyi	mill-contrib-playlib-api	0.10.0-81-827582		9433d49861fea7b5a576e24a9bba4f1e7e7e173d
com.lihaoyi	mill-contrib-playlib-api	0.10.0-82-30f1bf		bc5ce0a7c304d99db854ba56b9e09c51e63b93e3
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-10-ce4e28		9178b83b9d8ba9088fe049bcec4720013905f4f9
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-11-a6eef4		04d41b0a8ed9f6b95572b740b6869e8cb8a292cd
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-12-a7aa2c		a0d00eb62b3bff275a5f8987c64fa19780263d87
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-13-45eb34		c2e423075428770dac7713d50d99bcc272e0926f
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-14-a2f5b9		10a6489e1fdd85aa52ac6e023c6fe418aeee126c
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-15-e631c3		555017ddebdef34f6d2479a3bda821c8349bc27b
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-16-c983fc		98c05a7e693dac34b0c66714e099eda5df93b13f
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-18-1ddf30		6e981031b44e418f8208c91b83cd3d096b253527
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-19-51620e		6646d2fccd6804e17567f83c924efcb19cdaae6a
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-2-ada770		4de2b1214263403bb183ae8f9dbed419e45a4323
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-20-4363d0		e629b5b910f5e39d0c472888047dd67e7a52465e
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-21-d9850b		d72b73d18a45c32afb143770893eb0d2e82f5e4f
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-22-534084		d275e29287d3b552ab3400b85d0b1d20ca10e8fb
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-23-306354		2c85ee3de6b02cbcf89e965fbd6248d57b611538
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-24-3aaec2		1e6aa9db0d62abebebf948324810d03b8d424cf7
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-25-999efe		2996892240f28ce600c11073630883534e0a3b35
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-26-a58127		43605e0ba214adae218b0815d8ffe4422503e44e
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-27-45e136		d2533308cda0fe4984a97891e0ef485caa0fbe31
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-3-ef7fd2		bd9da7fc895c1104ac478fc319ed702a81f66b74
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-30-67b260		5d67574052987396c8141787156aa0d5a81a3f41
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-31-3d73a6		ff512297554382dddd276d520cecb277b733b864
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-32-a59515		3f3b4c9754520e2ec1145c1f87d6645a75bb7eca
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-33-9ad79d		02a4c2a9e1bf6be8340eb313683824b8a8fa2285
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-35-221d3e		7bb14601cb407d396b5693f4f4cbcbf3dd880539
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-36-a1ed91		7a564ce610689928375f98d2b3219eaab8803bb8
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-38-25484c		3112f40656c5d3e804b5d989db0b74587ee12e7d
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-4-f71d16		f67ee2fad3d9c3abcbf7395977591e03e5e88987
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-40-ee9660		21f1fcd588200f627b8a8c174db2f1fd5cd83a6f
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-41-73a5c0		0458ee91fa2c3ac0252fd19696ef9c6184190b87
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-42-70c601		aca3c233b409d07256d7c5b50d33b583ae8e8670
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-44-e1775b		080d6a8ac3e99a2de1dc0fc0ce60e6147709adca
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-5-e3e32e		a674de7f47ae8399e47fd1840be8bcff9b6589a5
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-6-729c40		a338853e2e26fe32eda44b3403f81ac9981c850a
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-7-95505a		3bd9c1cb8938f225022d18d58b5e89cf3a2c868d
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-8-1751df		c5c61ebd71e85ca8c644f2c4e625900f9663ce56
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M1-9-a39960		a1c706a7a9b9fb398cb4e2e292b39ce3ddf165fc
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M2		a262c60451b439d9cd4adc58e7253de36d4184c6
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M2-1-cd7c66		b8653d86d5d0b6c288ff37f5d28bf8b9ac1ffd99
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M2-11-de6c42		9e8b3799bc3282bf063df40ee54f3f6bc5dea1c8
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M2-12-4f9131		2891170048224ec9590b667a07381019e593a394
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M2-13-5266b7		33b0cffcf2b3b78dc1209e18d5fcb00805446845
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M2-14-facdf5		3691fb6342f2f0c9fecbac41666964eabc172c98
com.lihaoyi	mill-contrib-playlib-api	0.10.0-M2-15-730839		a73e6af10b5fecc9539b611cef2d6a41102cbfa5
