ai.swim	swim-vm	3.10.0		7edd6b8024f2d16103d7ba7454c8354e53a72d37
com.applovin.mediation	inmobi-adapter	9.1.7.0		N/A
com.applovin.mediation	inmobi-adapter	9.9.9.0		N/A
com.applovin.mediation	inmobi-adapter	9.9.9.1		N/A
com.applovin.mediation	inmobi-adapter	9.9.9.2		N/A
com.applovin.mediation	inmobi-adapter	9.9.9.3		N/A
com.applovin.mediation	inmobi-adapter	9.9.9.4		N/A
com.applovin.mediation	inmobi-adapter	9.9.9.5		N/A
com.applovin.mediation	inmobi-adapter	9.9.9.6		N/A
com.applovin.mediation	inmobi-adapter	9.9.9.7		N/A
com.applovin.mediation	inmobi-adapter	9.9.9.8		N/A
com.appstractive	jwt-ecdsa-kt-wasm-js	1.0.0		N/A
com.appstractive	jwt-ecdsa-kt-wasm-js	1.0.1		N/A
com.appstractive	jwt-ecdsa-kt-wasm-js	1.0.2		N/A
com.appstractive	jwt-ecdsa-kt-wasm-js	1.0.3		N/A
com.appstractive	jwt-ecdsa-kt-wasm-js	1.1.0		N/A
com.appstractive	jwt-ecdsa-kt-wasm-js	1.1.0-2.0.21		N/A
com.chuusai	shapeless_2.11.0-RC4	1.2.4		7f3d9c1856d604b324d919147a806f220f0509fa
com.chuusai	shapeless_2.11.0-RC4	2.0.0		ed30c8133cf8aeb7bce044923ad628c4692f8c11
com.cognitect.aws	iot	668.2.357.0		652e33965a6e6c3a55ce062c253684437896a302
com.cognitect.aws	iot	669.2.359.0		eff271349fa3d93cd61eec3b8d683b297eb2642d
com.cognitect.aws	iot	669.2.363.0		5c9bfac663181e3a28b503df6fe27b111cc6c795
com.cognitect.aws	iot	693.2.386.0		47569887c5af724a57d572f956719daf498fe00c
com.cognitect.aws	iot	697.2.391.0		b28022340766916f6e786c31c802f8627567da5f
com.cognitect.aws	iot	705.2.404.0		d2a2ed84fb6e64398d98b33197d10c1c62a75185
com.cognitect.aws	iot	707.2.406.0		0097798db623f28372e9ab89c874949e41afce07
com.cognitect.aws	iot	712.2.419.0		0c0c033ce8889c4f22e47596c8d3f9fd881e79f5
com.cognitect.aws	iot	712.2.422.0		a80e5f477231fea55a676d35e7240c3e42ea3cb8
com.cognitect.aws	iot	712.2.426.0		87b6a6808c8b600a5c0fc9310e0780da63f15203
com.cognitect.aws	iot	741.2.504.0		112aafb3b73d74e3b423c5b21d7effb8300cdc05
com.cognitect.aws	iot	741.2.507.0		cbff9ac76a2a76f72e86cc9036b2d4b4909532c3
com.cognitect.aws	iot	746.2.533.0		62af457611ca05e54bdd87668d71a21ae4c16cb4
com.cognitect.aws	iot	770.2.568.0		6b597eaaed6d32711f4c2b9deb7dfde9d97ad10d
com.cognitect.aws	iot	773.2.571.0		f758d8a5fdf142b71ab0e844c7c00dfd65a2a469
com.cognitect.aws	iot	773.2.575.0		bb43ab3a2691e8d6c9bfecf261fc14af848cb75b
com.cognitect.aws	iot	773.2.579.0		58b981812f34893e4dfde6f63bba0ee02b9eb5fb
com.cognitect.aws	iot	784.2.592.0		79c63a724b6b177f2444e5a8356f6577e18d7f4a
com.cognitect.aws	iot	794.2.639.0		304af951e56ba2ee1bbe5d3f2a1bfa8eb24ce143
com.cognitect.aws	iot	796.2.651.0		5490328d58d2809634dbf0dfbdca3afccd30c722
com.cognitect.aws	iot	796.2.663.0		6fc329a407a8e08a3eb434b585c54d814cc01f4f
com.cognitect.aws	iot	796.2.667.0		0ddf89874adc3776b28ad5d618dc22e1a5cf92ed
com.cognitect.aws	iot	801.2.697.0		b60fc7f926f604b34f4d37616c71cd4b742ff5ef
com.cognitect.aws	iot	809.2.734.0		1eb14ef99ee09bfb3595585b201abab0e7149c64
com.cognitect.aws	iot	809.2.784.0		f427b19dfc41a03668e416b58d7bdf19a75b2bd8
com.cognitect.aws	iot	809.2.797.0		49e3d3eed1840bdae823909dc8cadfd4606190c0
com.cognitect.aws	iot	810.2.801.0		6d3079d027ee21fa82b5db0b81898e8920b2af40
com.cognitect.aws	iot	810.2.817.0		fc7bd0fb2ffc65cf89530620db2426b8a37af5c4
com.cognitect.aws	iot	811.2.834.0		45bf3c55b563e1f30f30f29a215b14d712829b46
com.cognitect.aws	iot	811.2.889.0		1027fad7ea16f0327c8de1cd089c411632aa2e6a
com.cognitect.aws	iot	811.2.934.0		ea1e533d1673db24de18569ce0e7331bd00c5629
com.cognitect.aws	iot	811.2.958.0		c12dc3cd4cd4ed1b0f0f6db5ed7f4b540cfcbdfe
com.cognitect.aws	iot	814.2.1008.0		5af75127764f9ba963ae282636c56299ad7f9c3c
com.cognitect.aws	iot	814.2.1053.0		f4e9e526c3fb06fbf7a1bd43aaa151315ebd52f9
com.cognitect.aws	iot	814.2.1069.0		a22b953360896f8e6993c4b7c9e91163ac4798da
com.cognitect.aws	iot	814.2.986.0		fa9c8554f2d5b99d9725b8d320abcbdb3aef21a5
com.cognitect.aws	iot	814.2.991.0		b52166af08f69a643aa969a91ce5e217fc911eaf
com.cognitect.aws	iot	821.2.1107.0		8d2c0fbfbfcab8273370502bb1e3e678d134cf7b
com.cognitect.aws	iot	822.2.1145.0		e6b765c0c253c3e7c7a31b6dc2efdc5ac368ac02
com.cognitect.aws	iot	822.2.1171.0		c0534cc6c36d082ef03cb6d49cda3be42717fd6d
com.cognitect.aws	iot	822.2.1181.0		acb87465677a82ec59e15dfcbb2f3b6b3aacc071
com.cognitect.aws	iot	822.2.1193.0		07ce9fd25f4d156f8dab7198cfee3165ec522b32
com.cognitect.aws	iot	825.2.1250.0		64821bceab8d1900f67bcb86705f933b9c8f0de6
com.cognitect.aws	iot	825.2.1262.0		ea1721480a7de4112df9e9e638f64aeed607171a
com.cognitect.aws	iot	835.2.1307.0		89bc95cb56db042be6109b28cae359494859e0a7
com.cognitect.aws	iot	845.2.1345.0		c11a5993bfff3795ddc4d7d7b2761f45c48328d1
com.cognitect.aws	iot	847.2.1365.0		936315bf45b116446bc4afb1c13b13f86eff79b3
com.cognitect.aws	iot	847.2.1387.0		e9e785531b0bb3ee4085403ae70b74a2e7615fa5
com.cognitect.aws	iot	847.2.1398.0		ab1bafe99625d184b849df7d917b36d4e33b8e03
com.cognitect.aws	iot	857.2.1574.0		31301356833a2baf0b257e7e76880315bed8eab4
com.cognitect.aws	iot	871.2.29.35		31715263b68a136bbc818e3c2373536a75f79f09
com.cognitect.aws	iot	871.2.29.39		4b645a23a7e7d22512e84d86722df844b32cb1ea
com.cognitect.aws	iot	871.2.30.11		45f304cb00f417ae4fbb0ce701dc319abfca7eda
com.cognitect.aws	iot	871.2.31.23		663bcd2b037cdc29f5e77ff3897ffb3083f52b46
com.github.ZhouFan1111	wx-java-mp-spring-boot-starter	1.0.0		ef458aadbfbb9e254feeee5f5af4c5810562cc76
com.github.ZhouFan1111	wx-java-mp-spring-boot-starter	3.7.1.B		0eb2129d0c1b102b1f4c667798ada91a66baf82b
com.github.cb372	scalacache-scalaz72_2.13	0.28.0		c28431c0127fcf055e3f9dc531d0f362330d12a2
com.github.groupon.monsoon	monsoon-extra-influx-copy	2.3		f9a3db327d57b046a3a5ada49ee90791c6e5a5c2
com.github.groupon.monsoon	monsoon-extra-influx-copy	2.3.1		c5d5f882d330432798906071447d693378727952
com.ibeetl	sql-solon-plugin	3.0.0-M6		bd2218cdea5d049fe20a650f3a17b39f9ad0dc99
com.ibeetl	sql-solon-plugin	3.0.0-RELEASE		a04141e2a5601d0e6113d000ff89ecbeab2eda4f
com.ibeetl	sql-solon-plugin	3.0.1-RELEASE		32a06ae3ff454350eae716299492ec9d330b9a8c
com.ibeetl	sql-solon-plugin	3.0.10-RELEASE		e83a673e3d185d6dfdff62dac53c9df8c2158550
com.ibeetl	sql-solon-plugin	3.0.2-RELEASE		6893845dea7f2a4309576e0243f35c206758c822
com.ibeetl	sql-solon-plugin	3.0.3-RELEASE		ab4cf6b81c8aaa33dd15b7a764e961b6306bcbc2
com.ibeetl	sql-solon-plugin	3.0.4-RELEASE		55e4769be51375e86cfc4c1eee060764d4d80911
com.ibeetl	sql-solon-plugin	3.0.5-RELEASE		eee6f77e13e742d093ee88a65f785cc5659393a8
com.ibeetl	sql-solon-plugin	3.0.7-RELEASE		a170b132131f6b8580c58281e9045ff8941bc65c
com.ibeetl	sql-solon-plugin	3.0.8-RELEASE		9056c97e32bcb337e4f404eb44a48324a253f72b
com.ibeetl	sql-solon-plugin	3.0.9-RELEASE		c2c36a1cd0fe5ac1b410f7cf1e044f64feeb4f6e
com.ibeetl	sql-solon-plugin	3.1.0-RELEASE		a843662b821988913d966d006dc45d4ce5b04833
com.ibeetl	sql-solon-plugin	3.1.1-RELEASE		0e247a328bf1449b73f4a8acf141d635a2dcc39a
com.ibeetl	sql-solon-plugin	3.1.2-RELEASE		ffdb61294c0b75ff30a768144d8df43918ff6606
com.ibeetl	sql-solon-plugin	3.1.3-RELEASE		bd90f794bc1f5b0d5636f8a764f85f8d8e29099d
com.ibeetl	sql-solon-plugin	3.1.4-RELEASE		092d2eceedfa357a398c9641e0a1003f011bc69a
com.ibeetl	sql-solon-plugin	3.1.5-RELEASE		0c26c76b1c0d18fa93add0a4f4811dc1ce3b2ffe
com.ibeetl	sql-solon-plugin	3.10.0-RELEASE		d08f9dee926d93910ec88007d52dfb037e9f254a
com.ibeetl	sql-solon-plugin	3.10.1-RELEASE		d3e805f414832ed29492f67fd6b76d0bd154d323
com.ibeetl	sql-solon-plugin	3.11.0-RELEASE		1203343ea4de2f100783e225eee992add68569ff
com.ibeetl	sql-solon-plugin	3.11.1-RELEASE		1d50dc3e42121e7c3d0fd8d5c0bbde40968a482b
com.ibeetl	sql-solon-plugin	3.11.2-RELEASE		868b8fb0ae801c2ec67c9d5b1da6c1d7715b8186
com.ibeetl	sql-solon-plugin	3.11.3-RELEASE		4aff5f3eb80f4e099766dd346b5b6fd6eae3c1b9
com.ibeetl	sql-solon-plugin	3.12.0-RELEASE		05c824f96dac70cfa6af4c7c719a95476bd30dc1
com.ibeetl	sql-solon-plugin	3.12.10-RELEASE		b39c468423f0ff486c9111f059dc3a8cac6f47e3
com.ibeetl	sql-solon-plugin	3.12.11-RELEASE		a86538b02e23a4eb317b6813321bb2c540a4fb5d
com.ibeetl	sql-solon-plugin	3.12.2-RELEASE		29b9569e91347b0bf948240c5f217133adc04997
com.ibeetl	sql-solon-plugin	3.12.3-RELEASE		6e709432a973a598639a50a70bd7ad502009e4af
com.ibeetl	sql-solon-plugin	3.12.4-RELEASE		211027d83a827d3ba05416fa9e7765be46329ddc
com.ibeetl	sql-solon-plugin	3.12.5-RELEASE		2d9d437c342572df960629939d9dc62c18851724
com.ibeetl	sql-solon-plugin	3.12.6-RELEASE		bbd788608854774a7881792c4d73bbc55b529960
com.ibeetl	sql-solon-plugin	3.12.7-RELEASE		540a8f918262f7a91177139bb772fe01d29025dd
com.ibeetl	sql-solon-plugin	3.12.8-RELEASE		4c61d22b63a3491bd2f8a2774d9f2d3f3069f39f
com.ibeetl	sql-solon-plugin	3.12.9-RELEASE		ca377e05c61b71eeea28a5be4e09ee71726e1f8b
com.ibeetl	sql-solon-plugin	3.13.0-RELEASE		7d98c6504a45370e3af904e3fc7c636ce3593812
com.ibeetl	sql-solon-plugin	3.13.1-RELEASE		506e9d6915dd8adac52ad7d7c5422b94037ccb8a
com.ibeetl	sql-solon-plugin	3.14.0-RELEASE		c2aeb3889e8529f0b50e0e992f665e51e50701c1
com.ibeetl	sql-solon-plugin	3.14.1-RELEASE		e0ef0f67eaba06e5a104097a93f4d2ec8bfcb6e1
com.ibeetl	sql-solon-plugin	3.14.2-RELEASE		1e126968fcfa0dd4af4a50547ae02de1c28237f3
com.ibeetl	sql-solon-plugin	3.14.3-RELEASE		54554e684c33e7027a4860eb8a798c3019d05e74
com.ibeetl	sql-solon-plugin	3.14.4-RELEASE		be8c2831a35549d2f0b2f71668d769b5aeb393d8
com.ibeetl	sql-solon-plugin	3.14.5-RELEASE		d3a16346e8f6df8eff82b419ddb8005b54584a8c
com.ibeetl	sql-solon-plugin	3.15.0-RELEASE		1d27aa0bf6d32b7d5e021cf05d6511d1dac4e00b
com.ibeetl	sql-solon-plugin	3.15.1-RELEASE		9e2af0f6eadd1c791f03d0eb02ef4d3762b5e541
com.ibeetl	sql-solon-plugin	3.16.0-RELEASE		fc2779e762a8e174c4b4c615b6d94df4ec334119
com.ibeetl	sql-solon-plugin	3.17.1-RELEASE		4d7293c61853445b1b2da2d70d31ad21fb2345a3
com.ibeetl	sql-solon-plugin	3.18.0-RELEASE		d50a5a52bca6593fb2795ca075d17bbaa2a17160
com.ibeetl	sql-solon-plugin	3.19.0-RELEASE		b9bea20e2f82884bd0d9cc7b18931d3a8cacaca2
com.ibeetl	sql-solon-plugin	3.19.1-RELEASE		1b092580f4462a44c9836a37d6288d1fec387dd8
com.ibeetl	sql-solon-plugin	3.19.2-RELEASE		26f4a04810eee37ca8b0e6ecb192bb8a7ca3a7a1
com.ibeetl	sql-solon-plugin	3.19.3-RELEASE		472163729cd75350f3b4fa3f78c6eeef8a36f7ca
com.ibeetl	sql-solon-plugin	3.2.0-RELEASE		65d87107c91aef005e81c0efa89dbf8deadd9d28
com.ibeetl	sql-solon-plugin	3.2.1-RELEASE		de7359d8357caf8922fb030696a9ad9eecb17e88
com.ibeetl	sql-solon-plugin	3.2.10-RELEASE		e5535d6a237450b191f8a9f5526abff754e82eed
com.ibeetl	sql-solon-plugin	3.2.11-RELEASE		b579d4b703de4a43c3ade5fce2a10a547761ef38
com.ibeetl	sql-solon-plugin	3.2.12-RELEASE		f891025908e9cc5064e60b54b0fbcc98b1c1f7f5
com.ibeetl	sql-solon-plugin	3.2.2-RELEASE		14477d32e01c980dda2deaf1b4f65767f30d733e
com.ibeetl	sql-solon-plugin	3.2.3-RELEASE		606edb8ede3c23ab7d5032ec9f271a758f682f7e
com.ibeetl	sql-solon-plugin	3.2.4-RELEASE		420e9be959660ecae027f43213798f19447ff577
com.ibeetl	sql-solon-plugin	3.2.5-RELEASE		1a4b9e4121672437eaa16978da563dd7920f07ae
com.ibeetl	sql-solon-plugin	3.2.6-RELEASE		50b565f7c8d12bfdd3919372bd6e4db8b890e28e
com.ibeetl	sql-solon-plugin	3.2.7-RELEASE		2097b70b79bb71f832fb2d7f1857bdaac62aaa94
com.ibeetl	sql-solon-plugin	3.2.8-RELEASE		e2a9a40cfaf24a0220403ccc888e5ec018c4d715
com.ibeetl	sql-solon-plugin	3.2.9-RELEASE		a9c9bacbe0b33b8a8e077f9931d0a0440396b34c
com.ibeetl	sql-solon-plugin	3.20.0-RELEASE		6f1aa73fb6b85bd048fa396005f9be9cd0e89975
com.ibeetl	sql-solon-plugin	3.20.1-RELEASE		16ef3c08379bb652cfcb0307700dc175dafd41e9
com.ibeetl	sql-solon-plugin	3.20.2-RELEASE		f310cce0dad877ce1ba44c0906849a04208cc0cd
com.ibeetl	sql-solon-plugin	3.20.3-RELEASE		949744ed485f61c8925192bb039e9d5513227c30
com.ibeetl	sql-solon-plugin	3.21.0-RELEASE		049b287636d87a46f2e3e4a2e068318cb9b6160a
com.ibeetl	sql-solon-plugin	3.22.0-RELEASE		ed0c94f636eee0b44edfad15915e1a6585be7b12
com.ibeetl	sql-solon-plugin	3.23.0-RELEASE		d9ef696f38ba815e5c7c97c4e7c1757c0b2582b3
com.ibeetl	sql-solon-plugin	3.23.1-RELEASE		4e9f5e168a54ee9248f84bec0132dc51e3c263e0
com.ibeetl	sql-solon-plugin	3.23.10-RELEASE		7cfa0bdb3e87139b90985171969eda71d6028500
com.ibeetl	sql-solon-plugin	3.23.11-RELEASE		507d3c004f5d0782e90f7569250ebaa7c4b72245
com.ibeetl	sql-solon-plugin	3.23.2-RELEASE		28b7f8dcd6ec0f4c5bb065972b5f6299b29c5555
com.ibeetl	sql-solon-plugin	3.23.3-RELEASE		b9795a9da9ac358b53cc124e796bb5ff72ba44fb
com.ibeetl	sql-solon-plugin	3.23.4-RELEASE		bf7f5cd75d4b6fe17b78a8550242baef05a5e4d4
com.ibeetl	sql-solon-plugin	3.23.5-RELEASE		90496fa4244b7a1ea73307175995fbe46c75a621
com.ibeetl	sql-solon-plugin	3.23.6-RELEASE		d9251097119e6f12f785ae83d199c2986c186b27
com.ibeetl	sql-solon-plugin	3.23.7-RELEASE		ed984fa9bcb5089af894414b4c76d158ef20c8bc
com.ibeetl	sql-solon-plugin	3.23.9-RELEASE		53c4a235fd79a5bf4d448375e887e6f41ca1c712
com.ibeetl	sql-solon-plugin	3.24.0-RELEASE		06855a399f473e731542edef7e49848f9d350d15
com.ibeetl	sql-solon-plugin	3.24.1-RELEASE		90d2953b5083ae76798eccf12d9b29476334c3cb
com.ibeetl	sql-solon-plugin	3.25.0-RELEASE		f6d0f11dfe343b68a54f26162832a25ad8b26e75
com.ibeetl	sql-solon-plugin	3.25.1-RELEASE		17fda6ffe7425a45d6f928d7f7fdda7aa0afc5e8
com.ibeetl	sql-solon-plugin	3.25.2-RELEASE		ce8bb720819c934b1105663b0ac121d7fe5e8780
com.ibeetl	sql-solon-plugin	3.25.3-RELEASE		a5b0226f6b1f5d6c992d5e3a618e9db4570547f3
com.ibeetl	sql-solon-plugin	3.25.4-RELEASE		2c3816357a46050b1a3675c751264c40dbcf5c30
com.ibeetl	sql-solon-plugin	3.25.5-RELEASE		e2245c688c19917f165b0bcd161d3b0dba5aaeea
com.ibeetl	sql-solon-plugin	3.25.6-RELEASE		11ae23426f8dc45c7127485ea31f82c57063fe8a
com.ibeetl	sql-solon-plugin	3.26.0-RELEASE		14dfdfb38592ef5f39225164119679e976a554b4
com.ibeetl	sql-solon-plugin	3.26.1-RELEASE		9c281356d7b38f9171dd581fbb01deb76fa11504
com.ibeetl	sql-solon-plugin	3.27.0-RELEASE		504f4a805dd1a2426ee696c352e35c097cf96c99
com.ibeetl	sql-solon-plugin	3.27.1-RELEASE		584481e45ab6cb6ed66ea8e9e6e0186ec4ef8998
com.ibeetl	sql-solon-plugin	3.27.2-RELEASE		20c751c8389a831d9922180b98c689635a743042
com.ibeetl	sql-solon-plugin	3.27.3-RELEASE		38ffaa67b8e36d53b1975c1e21109378bdbc7f81
com.ibeetl	sql-solon-plugin	3.27.4-RELEASE		53c915a7599f43975aa40384342e06d983ac02b1
com.ibeetl	sql-solon-plugin	3.27.5-RELEASE		b3ce081adf92f23b5fabc6f75deda70b2e3fa9a5
com.ibeetl	sql-solon-plugin	3.28.0-RELEASE		2d033a3df756cf6f8551c9c4c0f3a8f54c5b86c3
com.ibeetl	sql-solon-plugin	3.28.1-RELEASE		d9b5f1d4664d48bb908a69a7549643228ead7657
com.ibeetl	sql-solon-plugin	3.29.0-RELEASE		d2ba1691f3ff71dff637b8e7cd4b68aebd0f48b8
com.ibeetl	sql-solon-plugin	3.3.0-RELEASE		b86a4e30967930c4cce6f61ff857c6fdafc585db
com.ibeetl	sql-solon-plugin	3.3.1-RELEASE		814f4b4029cd0c3eb8e362e21a62f3bfc6b1903c
com.ibeetl	sql-solon-plugin	3.3.10-RELEASE		819c9a9ebd528db2bb1e9b5601337c32d14aea84
com.ibeetl	sql-solon-plugin	3.3.11-RELEASE		b2c3e8384615062aa847f736ab97c8319543c6c3
com.ibeetl	sql-solon-plugin	3.3.12-RELEASE		320a08700e297d38629e9875617c6f31bca5420b
com.ibeetl	sql-solon-plugin	3.3.13-RELEASE		338b96320e99a1670c0a99db3833e6b715673cd3
com.ibeetl	sql-solon-plugin	3.3.2-RELEASE		80434336a6d838ffcee0a46e4d3f5708264ecc7c
com.ibeetl	sql-solon-plugin	3.3.3-RELEASE		bdcd88f509d336ec38e2a8ba043f7de19b3581e3
com.ibeetl	sql-solon-plugin	3.3.5-RELEASE		c13e0a14f8993100f74f2f3f09f6721c7b6414c8
com.ibeetl	sql-solon-plugin	3.3.6-RELEASE		56ce283b1248eb8c902c662deb7bade0837d3256
com.ibeetl	sql-solon-plugin	3.3.7-RELEASE		d99529db6ad7f76af82f11ee2666e9bc8325774e
com.ibeetl	sql-solon-plugin	3.3.8-RELEASE		ee4b65ec2a694a6358f711044090868139262493
com.ibeetl	sql-solon-plugin	3.3.9-RELEASE		362dc52db6f117db5516471434317f904147649e
com.ibeetl	sql-solon-plugin	3.30.0-RELEASE		594894b553baee3dcd69fa38c3e818ddda717347
com.ibeetl	sql-solon-plugin	3.30.1-RELEASE		e26ea0a048a8ded35bf1273f3d6cae97460f93e0
com.ibeetl	sql-solon-plugin	3.30.10-RELEASE		75293df38b7db03472200665bac01eda6412fbfd
com.ibeetl	sql-solon-plugin	3.30.11-RELEASE		9fc387c18215aa2f80d87aa417d9f7c67cd92d4d
com.ibeetl	sql-solon-plugin	3.30.12-RELEASE		175f63ee35e82204aba1668d1c829db2475d1573
com.ibeetl	sql-solon-plugin	3.30.13-RELEASE		b854197636286e65e2b6e5ae4dc2acf47bf533f9
com.ibeetl	sql-solon-plugin	3.30.14-RELEASE		58b8d273b7c771a3ae08b4ba400ef1d73a259b30
com.ibeetl	sql-solon-plugin	3.30.2-RELEASE		cb2d35f96a7784c68cade437a97ae98e87337215
com.ibeetl	sql-solon-plugin	3.30.3-RELEASE		b7d13fb61f4d55abf5085189e4b7bf923e92a13a
com.ibeetl	sql-solon-plugin	3.30.4-RELEASE		6db16adc4b8b79297045198e120cf1b8cbbf263c
com.ibeetl	sql-solon-plugin	3.30.5-RELEASE		0450496abd35b0cc17ef9254002212476f56615b
com.ibeetl	sql-solon-plugin	3.30.6-RELEASE		586b7a05f88fad205d759c442519d0f6d08f4430
com.ibeetl	sql-solon-plugin	3.30.7-RELEASE		46765855fb98cae037daad538a0812c255cb8422
com.ibeetl	sql-solon-plugin	3.30.8-RELEASE		fc06e4d54aec3cf0f0b02f6c0baeee4c55072563
com.ibeetl	sql-solon-plugin	3.30.9-RELEASE		959f15da4ccae6714c53905cd57618447719f2c0
com.ibeetl	sql-solon-plugin	3.31-RELEASE		2aa6c54955f3690ca4746da27f3bd7ebaf502dc4
com.ibeetl	sql-solon-plugin	3.4.0-RELEASE		cf874597ef84f650836b5d2207e26eaa9ace1a2a
com.ibeetl	sql-solon-plugin	3.4.1-RELEASE		3c479af68bd4e9c3ac6d45446eae63c882a9dc92
com.ibeetl	sql-solon-plugin	3.4.2-RELEASE		81c4952065bdbc2c11db1199e7c74f8c3b4e5673
com.ibeetl	sql-solon-plugin	3.4.3-RELEASE		932441571dfffd64807756b08a15fe6ac608fee1
com.ibeetl	sql-solon-plugin	3.5.0-RELEASE		6314295c3ef26176499fa04fb93b949105944dac
com.ibeetl	sql-solon-plugin	3.5.1-RELEASE		b899a9c5e34baceb8ae27c233905b811aff43498
com.ibeetl	sql-solon-plugin	3.6.0-RELEASE		26cb8dd1ec6733a37fd694119508d355ba759a8b
