be.vlaanderen.informatievlaanderen.ldes.ldi	ldi-common	2.12.0		a02bc437545900478e925fa9c5ae7eea50cc7376
com.datastax.astra	astra-sdk-archetypes	0.6		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.1		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.10		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.11		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.2		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.3		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.4		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.5		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.6		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.7		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.8		N/A
com.datastax.astra	astra-sdk-archetypes	0.6.9		N/A
com.datastax.astra	astra-sdk-archetypes	0.7.0		N/A
com.datastax.astra	astra-sdk-archetypes	0.7.1		N/A
com.datastax.astra	astra-sdk-archetypes	0.7.2		N/A
com.datastax.astra	astra-sdk-archetypes	0.7.3		N/A
com.datastax.astra	astra-sdk-archetypes	1.0		N/A
com.datastax.astra	astra-sdk-archetypes	1.0.1		N/A
com.datastax.astra	astra-sdk-archetypes	1.1		N/A
com.datastax.astra	astra-sdk-archetypes	1.2.0		N/A
com.datastax.astra	astra-sdk-archetypes	1.2.2		N/A
com.datastax.astra	astra-sdk-archetypes	1.2.3		N/A
com.datastax.astra	astra-sdk-archetypes	1.2.4		N/A
com.datastax.astra	astra-sdk-archetypes	1.2.5		N/A
com.datastax.astra	astra-sdk-archetypes	1.2.6		N/A
com.datastax.astra	astra-sdk-archetypes	1.2.7		N/A
com.datastax.astra	astra-sdk-archetypes	1.2.8		N/A
com.datastax.astra	astra-sdk-archetypes	1.2.9		N/A
com.datastax.oss	dsbulk-format	1.10.0		d66aac7521c50ddb2e121e5c006a9bfea11c0d90
com.datastax.oss	dsbulk-format	1.11.0		a39d9a0d236280ed504c4e7743fcc46dc3bbbb9f
com.datastax.oss	dsbulk-format	1.6.0		61d958c3b191d642e0c87718fab12a408d4946f6
com.datastax.oss	dsbulk-format	1.7.0		50d460a5886c2ffb5d1a8ebc4383224bfec3d73a
com.datastax.oss	dsbulk-format	1.8.0		faa67490dbf9f52874af1ff12e867c3d37748056
com.datastax.oss	dsbulk-format	1.9.0		8bbd641e0a7782832f72ea332673d064dfa85008
com.datastax.oss	dsbulk-format	1.9.1		4ca54bbe74234ce4158570a86df510faffbd0b9a
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.0.0-3-cca5341b		f58cb1546e3e10f506c628e0163663f405a76e10
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.10.0		5d285f6b9c76bf8bf5dce6e49c96f4be4f0e75d9
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.11.0		fea3088963dec9c3ae5b6445f5ae50b6191d1aab
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.11.1		856adf2748f0b099d478ccaf50e9dab25d66a429
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.11.2		961d41ea8d68eb9cc0b59000b9d5870e318f7d4d
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.11.3		2a18072216312e20cce00a7a749417b906e2c84a
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.11.3-11-54c38f45		e05d9d0203897a29f953507275e859e1fb21cc84
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.11.3-6-95429ed2		faed0a33f8c8802e29c3657c400f6bb1f2e1ea8a
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.11.3-7-34838009		200e014cce1f2f1373196921a844f9dcfcdef5b2
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.0		7fecddad8fbe1614dba2c8c5f56d4cf8c15850a4
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.1		33d39944f7b56e616621a2a98e64d03637a0c90d
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.10		ec9212d36232a2b77d41913393478454aab999aa
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.11		074daf8d95fbe999c31714ec5ac4825be2bcbe43
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.12		3d5982d530621e76f90bef07a3d04ad8fb432e55
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.13		c8aed2cdddcb84b51098f79ddfacb55ead518e9a
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.14		051a48435f1a7431ad9b1fecc12617aafa100f52
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.15		93f87c2495b83c423e6a79a19c374940f5cad04d
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.16		47e6a6137432a7c6e36f4ce5dbd1a7484f40e740
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.16-11-deaa5a36		f8934eef314e86cb1e83e9748466ef924f316849
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.16-43-1071a140		b650ee715e9fa88bc780a42205272f42a120ff1b
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.16-58-834dc248		d084e0e9fa2f1a76bc92a6132fc85759da12e89f
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.2		1225acf4b8a0cc99df74cf2b8a279c129f1c2100
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.3		e475bfc9c7f15bf891cbd585360b6a9450d7801a
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.4		99958eb6d65ccaa8b2b894b14c28c7f874eac50e
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.5		7d3694f13274fbd9198db909b3bf71265c8c019a
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.6		33e601bd9c9a663cb3c28d63623eaf5db0484e77
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.7		37ad5d015b4f6fba2600a590af001a3c8cc84721
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.8		799fd53137f6cc8e2d82d55810430fa64d991321
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.12.9		92fa45d3dca1b552fc8e4ff34315ea7a4d72a07c
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.13.0		6084f0fa7f00a79319e2b1bd11b93004f1483252
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.13.1		4a1c4fd7c1b7818ae16a5ecef01497ac1daab958
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.13.1-23-1b685de5		758e22f2e82294b1486ad0c37aa30dddcb1cbbbc
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.13.2		93bc4950f591e2ed86400de366356083cf839732
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.13.3		fcf9fca0561954b09ea0f679641969a1b7797254
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.13.4		af592129b4f237a405ba9d9c367c4b0b09bc8301
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.13.5		478278e6bb16cfa6371bb00afc1400f3f6ef1d7d
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.13.6		82d28627eeb463fecb2a13522249679d9da6ac14
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.13.7		81563d10937ed3b8eef8088efbfabbe106df0c70
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.13.7-26-9b10ebbd		8d51bd0fb8178abb6df3105a840f03a1988b71ec
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.14.0		9f2de341b2be6cb333d489c59bbde129f8e854a9
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.14.1		95d6b7a464eb603c26365535653205adbbcae428
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.14.2		d2a68feb236d213a6f79d667a7d6edc8d67662b0
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.14.2-64-f2dd3e63		ab848232ec59289dd40ef5d858f8d34ecd09af8e
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.15.0		a76f61f8ab726b2d37a007da617ac91465bb7695
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.15.1		cdf912e31266bc63baf8e8fa2e38a35c661dd15d
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.15.2		5cc0f7171f00f19b2f8e48ad87c1ce3585c55be6
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.15.3		c49489c8665bb3aac2bea1ef816b4a531f538d2d
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.0		d43352153063ad9462fc6554c9d37af2b68cebde
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.1		3d43767317506e166c420af190b12ecfc7b29b31
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.1-6-172c4a6		41aae944cb0d3152c9a9b03572d077d7c66eba29
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.10		b17fb99ac6ce9e0b04e56a2fca4bf68dbcb78888
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.2		e22b41845224525868f20da34d6f8b29bd351f9a
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.3		323cb387cdc16eecf19b1ff7977bf9ab256dab68
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.4		2788281757f4b30782bcf74cd1859f5db43d876b
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.5		942502798f7a155e6ae3711a4a13fd1b841551f2
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.6		2e807aaafd6f383b849c6e1721b37dae6504817b
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.7		2fb3f8af4a04eb4092df7c1549c99b69fd292d2f
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.8		a18a68934d0ec308a6e479ed8672ac0ddfb7b597
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.16.9		9fbff0048d616a40f9b53970e7058ee7e44e48ab
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.0		a6f13f45dae9f934281f0d86a49d2b8a4e552df9
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.0-11-3359289		85bafcd86fe231c0e7a60606cca0bc6cd93b4955
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.0-127-b1246cc		11e3c50ca4360f70dfca3f144826765fe3cd5bbf
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.0-128-d970888		cf4174f6cef52cb7c9a605fa7e5fc9b03c6affc6
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.0-169-d86112b		f7e9ecd56814d8df7db7aff9819c41a873a9926b
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.0-177-7156a5c		c15cf5a7bb02eec049d4557f957deed6cd43df9f
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.0-184-ea6084c		f6e2be509b1451cb744499649bfea05abf9e8dcb
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.0-213-644f5ae		80b569d60f67ece105259232e1782d86be7f8b83
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.0-225-fc68d1b		875675120b079819941bcd4128ef9dd9f19ae1dc
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.1		6a0bad64ecade05f225cf477b88d63339ef1c5e6
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.10		95d18d0939ee54082e1e5d7b5a910c8ade0858f7
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.11		cc7af3c6988edabd36da6eddad217adbdea87003
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.12		226ecdbd3ad74343cd97992503e1565e13ae1367
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.13		18c926b71029f206d18837b8fbc39e585184ee07
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.14		d3989cc54c9f0dfd9f4fe9da402c6c62c672714e
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.15		00be3456e4bbe7aa64a89190bedf1c8b27c1bc6b
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.16		744e4ef55a472a7561d23d180df519b0f453fdf6
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.17		ffb1675409484afe0717560b005776470121bc15
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.18		8b16ef685938cb605d28a4fb0d89b2c4842cf20a
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.19		508534a8518c7b4b51b89c0eb7c0662453e22219
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.2		981ab0b9c10d3453175c7f24c7676bc9851e37b5
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.3		d4dc746face919a24dc2a77e30aead327dc30de5
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.4		e9928b704581465da1fc65a70d34bc99511eeb27
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.5		5802405f6c0d7de568ae1185cdf14bbdc380e3b6
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.6		691f2f9da378fefab6504c7b2de70f0a39d04114
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.7		310bf0e65b7392f355bfaaca8e6d7d67c3c3ba39
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.8		c93c594c7399a5d44e2161f619ba192a004f4ae9
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.17.9		426e58fb35d08dabe3b99d9ad1305435f29c58ca
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0		3554ffbce6855f88fd6b3a98da8688c91fb0433d
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1-19acfb2		a047bd4f82bd0eb90aa69ab5808a0d2357206bcf
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1-26737b4		156bdb3b8d22c4e953d2e8a90474fa914f95fdef
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1-5a26ba3		3e94ebf7440aeb3b3e56d3e97d0a0e219ed8f058
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1-8d943ab		1e2e1910803945868420e34a3be80ee55b2800b7
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1-b0aa866		9bee11e3ae65d275ace984894d76a6e6865f22c5
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1-ec140e5		a145f0e281eb26a2b7241098d7bf193ade01a838
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1-ef34282		6d63ec1efe159042ad90d840a4c69f2177f3dad2
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1-f733cc5		4be54b9a8ef655efcbbde703cfdd7f9fedfdb00c
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1007-cc332a3		0826fb9a15edd686f25e61eff07ff21b7872963f
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1056-7b21e56		b1b661733fba5c5627e20ba738ced26c7368dd24
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-1084-518675f		0607a69ec7344d58500cb1d7f5ed24f7d80f3707
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-12-4e76a36		2e4ee7f5480f17387298a09da986be1d5096a84c
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-12-5588515		d17415ff642562a09c7e1d96d8d79edd79452c22
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-12-da4b23a		0c94a12c03a8ad91a33c8b73aa9d1e2d25eb5fee
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-13-5480e8e		3083646288ecc40d372f862d40dc213c70cc2c76
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-13-59c8a14		58fe6f0067fc454651f54aa0cb4a3d2f0762e474
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-13-aaf8b1f		1945c79b26dbfe1a0dc98ba92c1c8b407a252a51
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-13-d40e0f5		022c7062c290b99da2d8d96b7803d256b8fe8db1
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-14-3d1d226		1c02ddd31cda5a24b6c1f60e77f0e5e9dc7b1ecd
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-14-9775358		1bcf01e391deb5380924a1360b6506856547b4d7
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-14-b67abe6		50b970b8f58bf4bffd5e9c6741bc65b2d35e35f7
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-17-b35e401		1cd719d09266d5bedb2c67531b3275ef5b749a36
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-18-95c295d		e7a912803bf703e04d3be44c349b968c36fefa45
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-19-eb68d3f		db923669da046f76e735f8aaa8f18b5fe5619063
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-2-090cc20		d7f92ef93c66dbff1b51c2b45ee7e3ee15bc5774
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-2-2fb1bfd		74d8a9ce88f3b98aa8a4c9b57e4e4a0533ad13c4
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-2-49d964a		0323ea2ce6b0dd79028c7629fe1d740092bab6b9
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-2-4e3cb68		9bd220836a93ca26b38803d0c7e491ae9751edf0
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-2-858f1f4		d381add5e61ee2905bf8f1861283e4624407c8e9
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-2-8e1ee57		2e025baf7349c92b2c75a475826b137f3a340158
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-2-b25cefe		56f457df1606c30c3a385ba0f511ded6aa93c6de
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-2-ce93496		349f0a31d2e0587b23c083b9f00b235735d7fdaa
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-20-cfe7acb		3ec5719f9d9f4c9e47f800a5525df147c769ff26
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-22-de654f3		d08729120efedb8af610ebf67aa8374ab644a8fc
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-23-b168f6b		309313515408c737babee09a0bce3f3d1c21126d
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-25-0aa38d3		9bfcf054d6951dd752785b62c76d70abdaa6ef6b
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-26-ee9abfb		b4b73d558f2edf9613563795f615fd201d8ca730
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-27-e132f6f		0ceaf4b2e7bbf1ab335031ff838f8e96fedc880b
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-28-189df10		15b3b4e751d9feccc445e32693a7d0ac566ffbaf
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-3-035400a		4b8799a0762cbc036ec1fa49aed4a470a33cd7fc
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-3-03ef318		850c133712c87b8a8b8c1beca077e76ef3ecde32
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-3-3f253b7		caa186cc726de5c268308776623dc35ebc2029a4
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-3-7afbb5c		bd9e0ae6519c7d0f1234bf284105ac4df60bc74f
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-3-ae8ce3d		158fc215c494f97c2ee98113469f2732f38dc214
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-3-c5d3e28		28d1026801f7651b1c84f1acf38a63efeb3bf8c7
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-31-84bddcb		699889753f377b1de8e8a4e0ada70b311a0f84d2
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-33-6623124		465c63d4154931303ced46e26f52623762fb0e66
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-35-a398dd9		e27bf9e369d7c71956383f63e9872cee11edfa68
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-4-26ba263		adb8cbba26e24fd4808b001e7f1f70f8c8418998
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-4-8b2239c		a6afc0ba619fc9a538f74b8d87f103116c2cc794
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-4-bb0b26f		a69f3c95361b963a2fb01ef6fc20564022a9d12c
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-4-d4edb32		02894a762edc2e3ac3a3cedeaf9bc020634625ff
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-4-e7ca3ec		c4fa6a59741bd884b284efc1c0aea2285618bb49
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-42-4b7a8b1		b2b33f44b158d7191ad6f37f54013c8efc47002b
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-44-9a20844		4fdf703a5376e1543a7a81759066f4bddd4c66d3
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-5-3608c82		03522fb347fe6704692bd5bd42a094af9cd9eeac
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-5-3616665		c6fc04e7fbcd3585869e77eec78f04c6fd11dbb6
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-5-7cd62db		2340de1233c3e22fbe4f29008d023ef26c94f9f1
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-528-d32916a		b5f324f67df36d311981bb1b2bb679cca20c6403
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-595-e8a6dc6		2364235009a753cf85f5a578f8a93cd59c05ab71
com.disneystreaming.smithy4s	smithy4s-json_sjs1_2.13	0.18.0-6-31e6188		066ff03dc0f93553d90925796108668e79b576e0
