ch.admin.bit.jeap.messagetype.jeap	reactions-observed-event	1.0.0		d6c9c1106457ace37543332ee17afa65b20f1b84
com.bytedanceapi	ttsdk-live_lite	1.33.2.102.onekit		N/A
com.bytedanceapi	ttsdk-live_lite	1.33.2.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.33.2.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.34.1.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.34.1.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.34.1.6		N/A
com.bytedanceapi	ttsdk-live_lite	1.34.100.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.34.2.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.34.2.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.34.2.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.35.1.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.35.1.6		N/A
com.bytedanceapi	ttsdk-live_lite	1.35.2.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.1.10.onekit		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.1.20		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.1.8		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.1.9.onekit		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.2.11		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.2.20.pcdn		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.2.21.pcdn		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.2.7		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.2.8		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.200.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.3.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.300.10		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.300.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.36.300.9		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.1.6		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.1.9		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.2.12		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.2.13		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.2.20.onekit		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.2.21.onekit		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.200.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.200.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.200.5.onekit		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.200.6.onekit		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.3.10		N/A
com.bytedanceapi	ttsdk-live_lite	1.37.3.11		N/A
com.bytedanceapi	ttsdk-live_lite	test_dev_1.11.0.alpha06		N/A
com.bytedanceapi	ttsdk-live_lite	test_dev_1.11.0.alpha07		N/A
com.bytedanceapi	ttsdk-live_lite	test_v1.13_alpha04		N/A
com.codenameone	bouncy-castle-common	1.0		575cbf40fc4db01531ca1ee090eab4b4e9c051cd
com.codenameone	bouncy-castle-common	1.0	cn1lib	c4c02e88de237803fa9e7ab75c99c20280f20d8d
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.0.0-3-cca5341b		387acf0edec8fa9d532a992d589a0b9fee373671
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.0.0-388-16474590		6a4e6b3050b68ea26b89f4bc2cc57ba0df9099a9
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.10.0		6620ddcbbf99c9e758db741e52d75aae32602c9c
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.11.0		901684805e4efdad770841644f7a41f9c8dd5482
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.11.1		64c2a9adc39a35e9cae8ba635242ae3fd8bbd38c
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.11.2		e5e3266c02ef53938a8d00b659721a621be3934a
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.11.3		afda70386321902da4df060ea6b9d723b72d10ee
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.11.3-11-54c38f45		bc8d4a390df0f683b7d0dbfba3042688cc2126cb
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.11.3-6-95429ed2		942482f22dd48c059242404d10d12fc71c080a7f
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.11.3-7-34838009		8462f490f6c825d0e13d6299e5920e238d037ba8
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.0		94889b133fcada60240cf049dc34045072f260b2
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.1		a04efe81e7225eb3fc36a960ae84b0912d1659ff
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.10		0e8ea74dedd78b0e306ff9c63ebadda02ba0155d
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.11		306b1b7c545f76d4a536001ff8a872c0f9a75ff9
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.12		6595dc783636d7a4b807d755d9e913b3162235de
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.13		8d6676a1772e15aaa9169d3941084caedbd3ac8c
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.14		08174046ff5809866beba7233bf09c3bea86946b
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.15		dfed36dab3cc0e13eb4129cad1af0ea16a5df411
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.16		1e778e2b207c939bf74fe6323f2840bc986076d3
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.16-11-deaa5a36		587c667a80417ac2ee3506b9c1de38e688076e7b
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.16-43-1071a140		30af9ab0c1b647863dfa04b3a0e05af17fc1d8ce
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.16-58-834dc248		5f11612dd116d7b9c5e40c69fe5935fe6cf767c2
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.2		90dbb540f99f6250e777ea24cd14ade6a4ae5843
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.3		eeef9aa07c15d0076652b2f637d6eaf44f65dde8
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.4		e4a5f9ab769df9862892eba6cf979f6a8e63d570
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.5		060349f15761b46567089a77f8bcdf6005f7b918
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.6		9705da33e21c99f2e68a625380b0cef5ae353eb6
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.7		2b4b1acb536b863cf7f457065f524cc4c7e1a3b4
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.8		f8a51958732d2b0f6b5d6c2d42ae169b6f4576d7
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.12.9		edb85370a38cf29a093c5df0d759a7737b3a5887
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.13.0		a0d224398831048e63ffe07986c03de8cd6782a9
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.13.1		41e6b589202e077db0ffca5408b38067708f869d
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.13.1-23-1b685de5		d57b5bbc495e9f889262259e50f0d59e0ba26d83
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.13.2		4b343c1132fd5d1e3a54f42e7a99abd858bd899e
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.13.3		03ad853015ba89dee879ae2f0bcb3a6294d16bc1
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.13.4		f96099cf56b4ea91a370ee568c5146bbed804a62
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.13.5		9f8f9e883e9b8ea2fad14aad203626bcbc141847
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.13.6		649462bc850f077c3edadd0651595bed64909d93
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.13.7		3ef5da092223d0db34c61ca71bd8871325e493f1
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.13.7-26-9b10ebbd		57898d29ff1a9c47a344ceb9414b1599f14eb1d6
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.14.0		dd137dcecea7b7d9790fc2e20909ba5989235185
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.14.1		e478620f66163576bd40564470d78cf123266cb8
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.14.2		5ccb831eda2c248ed7c05bf2868e80b3954a75cc
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.14.2-64-f2dd3e63		92b3797e6d4cfdf4f8ef8ba69b2827dcc3435109
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.15.0		8f82cec67b51303e922048576a5df81049f379b3
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.15.1		94d9b7207c118aafa28f055e4ec7f13146d9fe89
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.15.2		f26a4dd68971c2afa1730b85f94c9e1992661f7e
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.15.3		6f2bda9e9d12842124d4b7f84b0618c9065ebac1
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.0		26f3c6934e6225a112b54a4afc93be1375e24379
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.1		00edf4d10fb532c960881778b0f4ab7eed2cbe43
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.1-6-172c4a6		c4d946122ca84807a9ca66979e3a2fd28ebf60c5
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.10		8ef8fced2131a1c39fc12dbd4ca368059d228ad2
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.2		1320c2dd230ee66ff417cbf00822e2689f678f10
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.3		9c91bf22c7f3e264201fc52c0672734784e739b4
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.4		fb6ee98e55d609e1f309e5a7e10595838ad580f7
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.5		4a6449dab2a0260b5f5af62b38ea1e67e61bed56
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.6		7713e65f1170dbad0a6659ebf2730e7dac8aae71
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.7		9d4d9400726b28b80d8a75538cddf264b1e0a664
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.8		741ade896ed02aa087fc68e7149d7e76e163b2ac
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.16.9		b22f9294d05387a58bb60c4d6d7ceb6c650332d4
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.9.0		6408190e29ce1076c73cf6a16c746d81dff776b3
com.disneystreaming.smithy4s	smithy4s-openapi_2.12	0.9.1		a92a3ef2b26fdfd13ccd4ee597ec3f8cbdc3f8c8
com.github.dynamobee	dynamobee	0.1		56ef41bf1d22d223ccf49460cbe4054ded277356
com.github.dynamobee	dynamobee	0.2		09cca72f1e22f0cfb74ba7631a28deb0bbd2bb69
com.github.dynamobee	dynamobee	0.3		ca17a58fac942d156e49dd840fe79f6a3f3347b1
com.github.dynamobee	dynamobee	0.4		c1428433d74b38298de5698e61fd55d6e2b3b201
com.github.dynamobee	dynamobee	0.5		af098e7dfae028744d450dda17dbc71e2c3cc3fd
com.github.dynamobee	dynamobee	0.6		8364bd2e2739c0b84eca280879650ffed0ee623a
com.github.electrostar	picolib	0.0.1		b1d905d3d7a16913ff76de15760c796bf9926027
com.github.electrostar	picolib	0.0.2		b091947cd77fa20cdc3b8fac01023d2a2fed9e57
com.github.ichelon	framework-dependencies	0.0.2.RELEASE		N/A
com.github.ichelon	framework-dependencies	0.0.3.RELEASE		N/A
com.github.ichelon	framework-dependencies	0.0.4.RELEASE		N/A
com.github.ichelon	framework-dependencies	0.0.5.RELEASE		N/A
com.github.ichelon	framework-dependencies	1.0.0.RELEASE		N/A
com.github.ichelon	framework-dependencies	1.0.1.RELEASE		N/A
com.github.obase	obase-webc-yyudb	0.5.0		beaf27e4597e5181a16801f4162f6c11e5045224
com.github.obase	obase-webc-yyudb	0.6.0		31a43f0c94903d750c41a3c32a8770c7a771bec1
com.github.obase	obase-webc-yyudb	0.7.0		f0168fdd4cd6649170d462423cd7028d1fc909c1
com.github.obase	obase-webc-yyudb	0.8.0		584a34dc1046343516091170e34c3e334d98d431
com.github.obase	obase-webc-yyudb	0.8.1		b7dd33cbe7a40841b6871d4073c50a2f112545c4
com.github.obase	obase-webc-yyudb	0.8.2		747ed68dfd0dc52293f3f9b792daff825caa5ea6
com.github.obase	obase-webc-yyudb	0.8.3		afbd78ab3de60fee3fc233568730d2555c216a22
com.github.obase	obase-webc-yyudb	1.2.0		46b9bf40995e83d9c69d68b9efbad560546149da
com.github.vvidovic.inspektr	inspektr-common	1.8.GA		04ebd0b9ff7ad5f0a39c46f253a4e4a560f8bea2
com.hotels	heat-core-utils	1.0.2		f960d1ee860f5227f602f977d93f819c470ea9e7
com.hotels	heat-core-utils	1.0.3		33508fb0595f3f86fbe40f30f30135020a875510
com.hotels	heat-core-utils	1.0.4		c85d79ccaefaf6d7d550a7fcbb88463ed14125d5
com.hotels	heat-core-utils	2.0.0		014253bb19d75ce3aa01fc6fa305bf2581d8ff11
com.hotels	heat-core-utils	2.0.1		908f62baabba9718b355da8b84d7ef330d64dddf
com.hotels	heat-core-utils	2.0.4		1ada2795fcc95b7535d2d8108950758a237dee38
com.hotels	heat-core-utils	3.0.0		ed399f1e45ece3f48ce938fbb4505f6af16d014d
com.hotels	heat-core-utils	4.0.0		633575693ffa8a1bfe93171dcd6a58b25780ba19
com.hotels	heat-core-utils	4.0.1		c24c023e1ed333d256c03fe6563f66eaf1d40b1d
com.hotels	heat-core-utils	4.0.2		93bf879136eb758e51e9c0ea7874e710d38f5cf6
com.hotels	heat-core-utils	4.0.3		3742bb56059104804de24235257561e5144c16f5
com.hotels	heat-core-utils	4.0.4		f5162e9e662984c2759a895f736e917e8faea073
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.1		3238825502b1adc0d2d6a233410a22235530875d
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.10		c9466e79d293d054b2f9c7434e79e7c59f811077
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.11		97a55ecb6db36e32124a09e18a4b15f9b0754bc0
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.12		f864225281a443fd4e010af867a42f4d163628f3
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.2		76571d13a6ba4a674471bad67c15d44d85e4e277
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.3		2201f572b318b5e82f7dcf07bbdfa92593b846ab
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.4		359dd1ad0e73eaa0ef3f671f3339fe3e18cec91d
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.5		297943e6eedc1085efdcf55945dedb37b48eb8e2
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.6		7d4ea8264df081793febc5c829d270c4d763b39c
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.7		6a10f26a22bf9a9ca06c4f4ef0ff64beae719571
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.8		5929a0e4dd50f649f3bbc286386b257bd0c5a460
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	0.0.9		f1fb0970a680fe9311ff1c17f273cc76ec865f06
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	1.0.0		632f88d7b53b3a6d9d484f9ca51bb3a69b628d5a
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	1.0.0-beta0001		b8fcdfed0e321ec055827f194ef969172a1715ef
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	1.1.0		b5c7042dc9c9af70157e48ace2d9f2f7b8193a2c
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	1.2.0		6a262132e0fa09c27109c7f4575c907509486e62
com.io7m.cedarbridge	com.io7m.cedarbridge.documentation	2.0.0		e6bf98834f0be068f77212f26d618a9469399c07
com.jwebmp.jackson.module	jackson-modules-base	0.63.0.17		N/A
com.jwebmp.jackson.module	jackson-modules-base	0.63.0.19		N/A
com.lichongbing	lswagger-jfinal	3.0.3		f99b0150cb899fc5186d83fee39435fa6f8b2335
com.lichongbing	lswagger-jfinal	3.0.4		ccc753846e5d80134ce50791d66408f6032a2cd8
com.lichongbing	lswagger-jfinal	3.0.5		a0082224c47825bc902b77e94b2ed84ab7ebed57
com.liferay	com.liferay.object.js.components.web	1.0.0		97f5ff5bdf9121848ffe28529e32fdfb46068a71
com.liferay	com.liferay.object.js.components.web	1.0.1		7cd5ab946c5f368141243c439a5fb39459899d15
com.liferay	com.liferay.object.js.components.web	1.0.10		fc966edf3f544048a446ac9cf4bf56a10b6f777e
com.liferay	com.liferay.object.js.components.web	1.0.11		91a2118006282b4edba59a1c11ffdc6bfe4b9034
com.liferay	com.liferay.object.js.components.web	1.0.12		b7f9f376c5cb3df81484023154b096be1cea6e43
com.liferay	com.liferay.object.js.components.web	1.0.13		13a1ec06c0c189d6f1b347a95f62be3d6ebec347
com.liferay	com.liferay.object.js.components.web	1.0.14		74f4b9855755c03fa1b172bc797b85c467ad595b
com.liferay	com.liferay.object.js.components.web	1.0.15		b1d3ed5b3817b66726265b0e73ee827c2a37a5fe
com.liferay	com.liferay.object.js.components.web	1.0.16		fb8726cee1811a00f28eb849b1bff7139abab3f1
com.liferay	com.liferay.object.js.components.web	1.0.17		e036cf2780d84479ad7c0f4071e7330b86793177
com.liferay	com.liferay.object.js.components.web	1.0.18		6ad0301865b447b92689648ab4dd0388476bf390
