br.com.devsrsouza.compose.icons	erikflowers-weather-icons-wasm-js	1.1.1		N/A
com.anthonycr.mockingbird	core	1.5.0		b94fe605ea8ff0f68f3feab065ae0b7d67860964
com.anthonycr.mockingbird	core	1.6.0		b94fe605ea8ff0f68f3feab065ae0b7d67860964
com.anthonycr.mockingbird	core	1.7.0		28cbbd267e2cdbea0a637d71db8f57b788a419c0
com.anthonycr.mockingbird	core	2.0.0		28cbbd267e2cdbea0a637d71db8f57b788a419c0
com.apollographql.apollo	apollo-debug-server	4.0.0		17864fe7664bc08a96a87e09e66a47a324032223
com.apollographql.apollo	apollo-debug-server	4.0.0-rc.1		af29f0a11f26a74c29623183d8ebdae6373b8492
com.apollographql.apollo	apollo-debug-server	4.0.0-rc.2		218a702e26f9e426462ee2db147b38cfca607fec
com.apollographql.apollo	apollo-debug-server	4.0.1		079eeb78f96f22f466db00e56e548b4b4550d9fe
com.apollographql.apollo	apollo-debug-server	4.1.0		c128a18f1796b64f4b1aed090c73e07edfbc24f8
com.apollographql.apollo	apollo-debug-server	4.1.1		4fcb18e440c742e8116c95d0fa9db0b5615ab14d
com.apollographql.apollo	apollo-debug-server	4.2.0		8cde13a746f878c5fd79851381930d56adb98446
com.configcat	configcat-kotlin-client-macosarm64	0.1.0		N/A
com.configcat	configcat-kotlin-client-macosarm64	0.1.0	metadata	75500a36db8c5fa1e0571f73e7f2ae27be491a0f
com.configcat	configcat-kotlin-client-macosarm64	1.0.2		N/A
com.configcat	configcat-kotlin-client-macosarm64	1.0.2	metadata	cedb324411a5589f43f53ad31c888ed3a5436011
com.configcat	configcat-kotlin-client-macosarm64	1.1.0		N/A
com.configcat	configcat-kotlin-client-macosarm64	1.1.0	metadata	8554bfcc7758820a93ed21c1133074f71048c00f
com.configcat	configcat-kotlin-client-macosarm64	1.2.0		N/A
com.configcat	configcat-kotlin-client-macosarm64	1.2.0	metadata	7e78a1914ab275bc2af4cedb86b75b1cc2dbaee5
com.configcat	configcat-kotlin-client-macosarm64	1.2.1		N/A
com.configcat	configcat-kotlin-client-macosarm64	1.2.1	metadata	143d763fc9d4fc27f32a34a22c39de4be5a62d15
com.configcat	configcat-kotlin-client-macosarm64	2.0.0		N/A
com.configcat	configcat-kotlin-client-macosarm64	2.0.0	metadata	3f93a5d1d5f5d4dbf72c2eb084d8b7434a7c57ee
com.configcat	configcat-kotlin-client-macosarm64	2.1.0		N/A
com.configcat	configcat-kotlin-client-macosarm64	2.1.0	metadata	275d37a3f87b54e589fd7b71bc4dc99479f84c1f
com.configcat	configcat-kotlin-client-macosarm64	3.0.0		N/A
com.configcat	configcat-kotlin-client-macosarm64	3.0.0	metadata	592603b49384bcaf34c5c5372ff6ee42d99c178a
com.configcat	configcat-kotlin-client-macosarm64	3.0.1		N/A
com.configcat	configcat-kotlin-client-macosarm64	3.0.1	metadata	9f183f75f9c3fa398cbc87b130b4352659832c1f
com.configcat	configcat-kotlin-client-macosarm64	3.1.0		N/A
com.configcat	configcat-kotlin-client-macosarm64	3.1.0	metadata	59ec1982f423acb004e4ee37f745f8f43bec4549
com.configcat	configcat-kotlin-client-macosarm64	3.1.1		N/A
com.configcat	configcat-kotlin-client-macosarm64	3.1.1	metadata	ef14d0dd3947b4cd921096c935aedc2667e29cd0
com.configcat	configcat-kotlin-client-macosarm64	4.0.0		N/A
com.configcat	configcat-kotlin-client-macosarm64	4.0.0	metadata	16368deab731a48dfcdca5658c58c542cb6e9962
com.configcat	configcat-kotlin-client-macosarm64	4.1.0		N/A
com.configcat	configcat-kotlin-client-macosarm64	4.1.0	metadata	51893a8209f71d966120e88589ac0ea99c6e8c00
com.configcat	configcat-kotlin-client-macosarm64	4.1.1		N/A
com.configcat	configcat-kotlin-client-macosarm64	4.1.1	metadata	c2163a58692252a670268e72d859fbd1135e8bb0
com.gitee.sherryon	spirit.utils	1.0.0		8b8beacb0e51d9c2001c1bb27b322a5e47c04ee3
com.github.chengpohi	ammonite-vi_2.12	1.6.1		93d08511da03d2328af0f363fff4c798a6787016
com.github.gundy	semver4j	0.16.4		de8c77583e97bbbd3cdbe5f406b583e9b081ff56
com.github.gundy	semver4j	0.16.4	nodeps	273cc1869ddf7ebbac8176402e29f41b1c83d7df
com.github.gundy	semver4j	0.16.4	nodeps-sources	0f21c42f4a4f15ea4cdfeb494b3852c7d3fee7e8
com.github.intel-hadoop	gearpump-experiments-pagerank_2.11	0.3.6		b761547744bcc8a5c488e031feb61675014098f7
com.github.intel-hadoop	gearpump-experiments-pagerank_2.11	0.3.7		31d289b99786483ecd0c2c2c01f07e30e9bdf00a
com.github.intel-hadoop	gearpump-experiments-pagerank_2.11	0.4		e86088de5c775b06c2e23cf703b84a314fd08b55
com.github.intel-hadoop	gearpump-experiments-pagerank_2.11	0.4.1		b071b861a19ecf38a67ca0e0e5057090de4b8d91
com.github.intel-hadoop	gearpump-experiments-pagerank_2.11	0.4.2		50f533cdba51e827d536089fd19aebbbdfdff70c
com.github.olada	webjars-webfilter-resolver	0.1.0		aa9423d07a6e65ce86ee9759ee20e02b569c69f6
com.github.omarmiatello.telegram	dataclass-jvm	5.2		f4a5a5e254acf19fe78d8076d214043b453e7f3a
com.github.omarmiatello.telegram	dataclass-jvm	5.2.1		76a88cb6dd45b588bbcb3ca7eb23959511f21e96
com.github.omarmiatello.telegram	dataclass-jvm	5.3		5d9cb129876b56bd6395dcc77918e63bb276f112
com.github.omarmiatello.telegram	dataclass-jvm	5.6		3f4e3dbb95bb6f643f6727338cde185b962163fe
com.github.omarmiatello.telegram	dataclass-jvm	5.7		a5394778b62c72ca76e7fe6eb021c9a69913c179
com.github.omarmiatello.telegram	dataclass-jvm	6.0		b532a3e0316718c0949a7c63b9300e5c055e7573
com.github.omarmiatello.telegram	dataclass-jvm	6.0.1		c19d1b84fc8b808a76589dc62df8853b32890897
com.github.omarmiatello.telegram	dataclass-jvm	6.1		e96a4a3bfa1babd2f1dc689ce5df285d218a8f80
com.github.omarmiatello.telegram	dataclass-jvm	6.1.1		0c4ef51cb68e287ba23454f4c6968dab9b726645
com.github.omarmiatello.telegram	dataclass-jvm	7.2		c76fff09a59f3d258523fe7ffe5f5a75388f4d80
com.github.omarmiatello.telegram	dataclass-jvm	7.2.1		200d1458ebf7b70669fec60a1cf7d34f73d28986
com.github.omarmiatello.telegram	dataclass-jvm	7.2.2		438a8b3b734b6a8ab1f9bfeed90aab8739885ef7
com.github.omarmiatello.telegram	dataclass-jvm	7.4		680caf57d188acb17d9cccbade4b10ff23a3ec4d
com.github.omarmiatello.telegram	dataclass-jvm	7.5.1		49a6c6d370d611cc85517b2010e12dac3661a725
com.github.omarmiatello.telegram	dataclass-jvm	7.6		6d5be90813e9e8479f79fb981be61a3d466430aa
com.github.omarmiatello.telegram	dataclass-jvm	7.7		856acfe98ec381a786442b56b93ea0f4fc0831f2
com.github.omarmiatello.telegram	dataclass-jvm	7.7.1		5f337d00601355437b87b8969e9da53d1ebbbb07
com.github.omarmiatello.telegram	dataclass-jvm	7.7.2		fa463ea34213bf4975630b695b6edb30e21b03dd
com.github.omarmiatello.telegram	dataclass-jvm	7.7.3		4e58fd7b599487f5fbf7aee7ff4128a0389fc604
com.github.omarmiatello.telegram	dataclass-jvm	7.8		4489397036341957e102f7620529b35568b15ff4
com.github.omarmiatello.telegram	dataclass-jvm	7.9		e6dd3b0a9a4d85b1f7ded9eb178603bc9abe4ab0
com.github.restup	up-spring-boot-starter	0.0.2		74c1a391e72debb95e301883cbf13e391db26c88
com.github.restup	up-spring-boot-starter	0.0.3		83bcef36b5f97c529c93e998ffb29ed7af611a81
com.github.restup	up-spring-boot-starter	0.0.4		891f6b729f4dc1856f9e766d41a1ae9fb5a984a7
com.github.restup	up-spring-boot-starter	0.0.5		abb014ebd52f69bade9c27debec71275cefa56ca
com.google.cloud	spring-cloud-gcp-logging	2.0.0		0865f3219aef3e7a3c953815566846f5dfef197c
com.google.cloud	spring-cloud-gcp-logging	2.0.0-RC1		386b20a7514c594c582bea7c258356c96d86c3df
com.google.cloud	spring-cloud-gcp-logging	2.0.0-RC2		c3a17fe36372eeeb979dfee46bb3735f5fdf0a59
com.google.cloud	spring-cloud-gcp-logging	2.0.1		3a8b8df354db2a9e0134f33a35dd5f1105b3ee4a
com.google.cloud	spring-cloud-gcp-logging	2.0.10		79e6b09df87dc7b47782e5a92570f5e3930e7ccb
com.google.cloud	spring-cloud-gcp-logging	2.0.11		8b67d447444feb014d7fa1026f4a5a541a150123
com.google.cloud	spring-cloud-gcp-logging	2.0.2		67086b020fb269882e9eca737b6b1fe6bad17de7
com.google.cloud	spring-cloud-gcp-logging	2.0.3		28714549e16eb04e009f33d7fbcd15d8ccec167c
com.google.cloud	spring-cloud-gcp-logging	2.0.4		b653b612545876032666c85ab075cf980ed0dd45
com.google.cloud	spring-cloud-gcp-logging	2.0.5		d17897acd44f0c0231ef9b36e8f34ff0693159b3
com.google.cloud	spring-cloud-gcp-logging	2.0.6		30dfa0953e476dadeea0913c146953cff6650fb5
com.google.cloud	spring-cloud-gcp-logging	2.0.7		e9a47ae0f0ef668aad80df1ad266cef65aafc898
com.google.cloud	spring-cloud-gcp-logging	2.0.8		b49ad7635557147ab76ba516cf88ccc47c1b1dee
com.google.cloud	spring-cloud-gcp-logging	2.0.9		0e03c8f69ed35ba19eb1919d23be9939ac344c19
com.google.cloud	spring-cloud-gcp-logging	3.0.0		8f2b058034cd378de91231f857a125b95cb6b43b
com.google.cloud	spring-cloud-gcp-logging	3.1.0		38140fad731395451876161a3c3ecd59755f2bae
com.google.cloud	spring-cloud-gcp-logging	3.2.0		6f0b3a6a11c1e594f8f903a81cb6180a2752903c
com.google.cloud	spring-cloud-gcp-logging	3.2.1		a8c8b8bb50d6c2f98961e2b5f780d32a84ebd136
com.google.cloud	spring-cloud-gcp-logging	3.3.0		622320b17b2f36dab5d167c1a158500108b1a762
com.google.cloud	spring-cloud-gcp-logging	3.4.0		eb30a21f9b9846efa4bf8aae49cfd973d64f8618
com.google.cloud	spring-cloud-gcp-logging	3.4.1		d9bcbed75edcdf723c3fc5c9a4bd7130ceffcc69
com.google.cloud	spring-cloud-gcp-logging	3.4.2		c0a6de891c80357f68ce559d6b7dbc37f32c8061
com.google.cloud	spring-cloud-gcp-logging	3.4.3		69ef6a69a8a13a4c6a130b4c171997a294c6dfdc
com.google.cloud	spring-cloud-gcp-logging	3.4.4		ac07dfa5b7aa7a2c97ac47f1c8011eb652208e44
com.google.cloud	spring-cloud-gcp-logging	3.4.5		75128a8654aad9b5476f94fc390d660c15abf716
com.google.cloud	spring-cloud-gcp-logging	3.4.6		a8626237a2d3e7456ef2a432efc667427bbe402d
com.google.cloud	spring-cloud-gcp-logging	3.4.7		0c28fe3b2baeda41088ec7deceb8c44c51612230
com.google.cloud	spring-cloud-gcp-logging	3.4.8		97325a014c5d90ded10c8e3ec106a97cb36ddb89
com.google.cloud	spring-cloud-gcp-logging	3.4.9		779ce4eb457743a6236590b376c4c4fb185c6bb5
com.google.cloud	spring-cloud-gcp-logging	3.5.0		68ce7942106a080baf19840732c8b6586babbb4b
com.google.cloud	spring-cloud-gcp-logging	3.5.1		f29658501f543deb967413489666c86175a41ccb
com.google.cloud	spring-cloud-gcp-logging	3.5.2		80f612a719bfefce94a5c71f12ffefb795b0b923
com.google.cloud	spring-cloud-gcp-logging	3.5.3		8c6268a99c87d131a909a8948530e68ff2f4a1e8
com.google.cloud	spring-cloud-gcp-logging	3.5.4		d75c78ed9635c76c909fe8379f33ea845c104a44
com.google.cloud	spring-cloud-gcp-logging	3.5.5		de00fe14d18e5a565817d77dad84beae72c287bb
com.google.cloud	spring-cloud-gcp-logging	3.6.0		9931e4a1dad6e4fb0aa29dccc55d0fb930b7bea4
com.google.cloud	spring-cloud-gcp-logging	3.6.1		387a4715bea8553cb0d0f0f51f57a821251ef1c3
com.google.cloud	spring-cloud-gcp-logging	3.6.2		fd3abda023cca9be3b5b12e6d9e8454f150c5c0a
com.google.cloud	spring-cloud-gcp-logging	3.6.3		4abce4c62f6181d8deb9580550c6c3800d87f700
com.google.cloud	spring-cloud-gcp-logging	3.7.0		19e1114c3befc4537396ba0b7f18bf0883048d8c
com.google.cloud	spring-cloud-gcp-logging	3.7.1		d08e8861c399354ad1cc44f04ae19cb8467eb2b3
com.google.cloud	spring-cloud-gcp-logging	3.7.2		ae346da96b69d8d8805c7cae2b5114d3be28988a
com.google.cloud	spring-cloud-gcp-logging	3.7.3		574748c11e9beee753ac93c1f75399b942ce739f
com.google.cloud	spring-cloud-gcp-logging	3.7.4		b3092fdd7ed1c52ba117b145f43595bde2eddf50
com.google.cloud	spring-cloud-gcp-logging	3.7.5		fe90e258f5045c38d280776f033a852daed4a6d1
com.google.cloud	spring-cloud-gcp-logging	3.7.6		bb6c2b35056e5f75db395e3dc88d53fc841b2926
com.google.cloud	spring-cloud-gcp-logging	3.7.7		d6e45ebc53c33fd41c668b828a825afd04318fc4
com.google.cloud	spring-cloud-gcp-logging	3.7.8		e280f318950675ba3fc64f90bca0b4096c4b8b28
com.google.cloud	spring-cloud-gcp-logging	3.7.9		330f694341e058122eb41cc1af0ca9e309ee4041
com.google.cloud	spring-cloud-gcp-logging	3.8.0		cf052b23c0b8be5755afc1d8602a096112d73f60
com.google.cloud	spring-cloud-gcp-logging	3.8.1		bd2590a575a29ad746f5bf9b004e9d965ddc757c
com.google.cloud	spring-cloud-gcp-logging	3.8.10		4e44ccbbcab4f8041f1be934d06c219bd510222d
com.google.cloud	spring-cloud-gcp-logging	3.8.11		ef55be3e33633d14f69656cf0efd29fd56fc1073
com.google.cloud	spring-cloud-gcp-logging	3.8.12		b6a641a00257055c4cc9867b0111f2ead12e73bb
com.google.cloud	spring-cloud-gcp-logging	3.8.13		7ca186b52e49dd3d26423fa36c35b045571cd29f
com.google.cloud	spring-cloud-gcp-logging	3.8.14		956f35929b7856542adc28469a70add2798e00bc
com.google.cloud	spring-cloud-gcp-logging	3.8.15		356d6a9fb4231a0dedb86c8a3f9eb1656c35f4f3
com.google.cloud	spring-cloud-gcp-logging	3.8.16		bd81b900bf3460046a38f8475271db0ad80211d7
com.google.cloud	spring-cloud-gcp-logging	3.8.17		6d8ba5da6165120e2e99635af28bd4a0003af4b6
com.google.cloud	spring-cloud-gcp-logging	3.8.18		09d4db4e909eab5091d6deeadf9fda18448bb62a
com.google.cloud	spring-cloud-gcp-logging	3.8.2		fa4da0155b219e3e141df365aeb4387f4b6c87b2
com.google.cloud	spring-cloud-gcp-logging	3.8.3		84da11c321ce55aa205139e1854844b4b2e2e027
com.google.cloud	spring-cloud-gcp-logging	3.8.4		b13a390ea744030a47e6180001ac5ecc77c07b9b
com.google.cloud	spring-cloud-gcp-logging	3.8.5		987be4fd0251aeb71304c9b263e90782955c9934
com.google.cloud	spring-cloud-gcp-logging	3.8.6		ddef11325758c80e21ec699b7edfcf9b4ba2807e
com.google.cloud	spring-cloud-gcp-logging	3.8.7		423df01f9daa698f7871d7fa09ce991eef5bef27
com.google.cloud	spring-cloud-gcp-logging	3.8.8		e2c8f9a3cd0177d8a9cc2adbffcfa6ffe8972776
com.google.cloud	spring-cloud-gcp-logging	3.8.9		6d067a144542e09269e570aa5e6450dc0d84c6df
com.google.cloud	spring-cloud-gcp-logging	4.0.0		716357948255528c18dceaf4075779e083e83f79
com.google.cloud	spring-cloud-gcp-logging	4.1.0		031bb649b86d2b87b643a69c250bf9e17581c52d
com.google.cloud	spring-cloud-gcp-logging	4.1.1		a5614dc778a0ab52c2a03418104f6fb29f883675
com.google.cloud	spring-cloud-gcp-logging	4.1.2		3d065f24fcc35cfbfffebf0bc21590d2253bf550
com.google.cloud	spring-cloud-gcp-logging	4.1.3		ff3c76077681e7a1e02548afedb8029b99f8c2d1
com.google.cloud	spring-cloud-gcp-logging	4.1.4		f49e4bb10e437ea6dafcab78070f039249bdf6cf
com.google.cloud	spring-cloud-gcp-logging	4.10.0		c5bb9ad2f6d2ef46ff234d82cb3c8f9cb2d5ba33
com.google.cloud	spring-cloud-gcp-logging	4.10.1		dc983d6a96164d4492bcea646007ae2779a13aaf
com.google.cloud	spring-cloud-gcp-logging	4.10.10		8fa8dfd234dc9edc1afe9932fa34adcc0a7949df
com.google.cloud	spring-cloud-gcp-logging	4.10.11		2117a51d86ad173c9ae511fa507416e90e6f2665
com.google.cloud	spring-cloud-gcp-logging	4.10.12		948ef82d9f65eac98ca66614a1601c250ebfc4a6
com.google.cloud	spring-cloud-gcp-logging	4.10.13		7b78f77337123d678313fd633593ffdfea23875e
com.google.cloud	spring-cloud-gcp-logging	4.10.14		6ba512443efdb3fbb85ec8d48c4d52ad604e9115
com.google.cloud	spring-cloud-gcp-logging	4.10.15		28d0dca05cab9268a55e335658c1a19068b21d26
com.google.cloud	spring-cloud-gcp-logging	4.10.16		83ff63c0790779d6f85c7aafa04ea5c9b0478512
com.google.cloud	spring-cloud-gcp-logging	4.10.17		378dc6dc10b138abf262be621f2fbc906e14af98
com.google.cloud	spring-cloud-gcp-logging	4.10.18		6574655566d4ac462b8ccbbb336e384cbdd81b9b
com.google.cloud	spring-cloud-gcp-logging	4.10.19		05d002b29cda130fcada9a5140e132e8c600acfa
com.google.cloud	spring-cloud-gcp-logging	4.10.2		1439fc198e62560ad795abcb989e0814fe95bbd7
com.google.cloud	spring-cloud-gcp-logging	4.10.3		3e5442dd178cf2801b4a468d1beef4fd2be09cb5
com.google.cloud	spring-cloud-gcp-logging	4.10.4		d18023bac15636123655cc938e842b0264085e25
com.google.cloud	spring-cloud-gcp-logging	4.10.5		7e97505274551f73ee6e8117d98e34a45e64c6ad
com.google.cloud	spring-cloud-gcp-logging	4.10.6		12f3b226054a3bac75b76411775d28e932d16d5a
com.google.cloud	spring-cloud-gcp-logging	4.10.7		485217a3d6fa24c919e95db9db21d0a31a8a688a
com.google.cloud	spring-cloud-gcp-logging	4.10.8		296b91e25cef45fb48e6321c96a882b6d0b9c847
com.google.cloud	spring-cloud-gcp-logging	4.10.9		dc632375bd34a3b32679e69ec208e5d4db23a2a0
com.google.cloud	spring-cloud-gcp-logging	4.2.0		636ff82e78e9b2379e047c297ae5db236e679fba
com.google.cloud	spring-cloud-gcp-logging	4.3.0		8ce2a094de8cff85469f7813f3df5c497694a8d4
com.google.cloud	spring-cloud-gcp-logging	4.3.1		b3851d052bf46872b951e8fb04d0e942efd2e5d8
com.google.cloud	spring-cloud-gcp-logging	4.4.0		e8816c2e4ac9c755ca69e3178202e7ab38031fac
com.google.cloud	spring-cloud-gcp-logging	4.5.0		5a858d8fca40fd4dd23e49ca1a3866aeff83315d
com.google.cloud	spring-cloud-gcp-logging	4.5.1		9b528eda9928d9a9d499f8ebe6f276af3df5162b
com.google.cloud	spring-cloud-gcp-logging	4.6.0		b19af7d54dc9b6dd993c4c8b7ec9f2d841a99e0c
com.google.cloud	spring-cloud-gcp-logging	4.7.0		bd8104c1ebee51f00050f65e4f144f56cecf0601
com.google.cloud	spring-cloud-gcp-logging	4.7.1		7f502f84616a6d5992314dc4bb78b05931b2f190
com.google.cloud	spring-cloud-gcp-logging	4.7.2		dc1c3ce9ff8c265d8d2b24e3e8561ee0f25d3a12
com.google.cloud	spring-cloud-gcp-logging	4.8.0		6376b05192bb2a05deb0c2079c1ad7327bdf055c
com.google.cloud	spring-cloud-gcp-logging	4.8.1		07c5e94e3285f8cdef119bdf907881bc3d183490
com.google.cloud	spring-cloud-gcp-logging	4.8.2		309a9eb57b086415044178fbd29be549e8f10487
com.google.cloud	spring-cloud-gcp-logging	4.8.3		98d8628d8b980a1ee0b66424ec177a5ef5c70cc8
com.google.cloud	spring-cloud-gcp-logging	4.8.4		2402b8e9ad1f03f3fcd8ab3482adfd0d4e44fd27
com.google.cloud	spring-cloud-gcp-logging	4.9.0		d9f0eafc3145be08f64b46338a72d676d6b93182
com.google.cloud	spring-cloud-gcp-logging	4.9.1		a1ae953448e2d9721f6b396b5b88495411254b56
com.google.cloud	spring-cloud-gcp-logging	4.9.2		3f92e4c72b234553adca1ca885a8286287d5c04c
com.google.cloud	spring-cloud-gcp-logging	4.9.3		a11d1771a064e66e88a9a2bcc6d6dd71a4fdf4ad
com.google.cloud	spring-cloud-gcp-logging	4.9.4		03ef47c969f5d52283e4c7ed38e050f47edf302c
com.google.cloud	spring-cloud-gcp-logging	5.0.0		af1c1bb4771114d68401f714709aa8465e56249a
com.google.cloud	spring-cloud-gcp-logging	5.0.1		d6ca0eb77613c1ec0103729f6e7603cb74fe8b04
com.google.cloud	spring-cloud-gcp-logging	5.0.2		46589aee547374e7babb50d5414b22c40985f81b
com.google.cloud	spring-cloud-gcp-logging	5.0.3		4c681e23bedd18aab1bce87d6657b73e295230fc
com.google.cloud	spring-cloud-gcp-logging	5.0.4		379d366628bc722b84bb1711b60dc6e1532a059f
com.google.cloud	spring-cloud-gcp-logging	5.1.0		774493ddec5099af691725ccf3a2418c5725a86e
com.google.cloud	spring-cloud-gcp-logging	5.1.2		ca10168b00903ee57002fe519712f41c990dfe29
com.google.cloud	spring-cloud-gcp-logging	5.10.0		33dba7a8d23e268b1db76fce6fa905432ccacb71
com.google.cloud	spring-cloud-gcp-logging	5.11.0		c0d5401807d94541d29c579857a08ec38dee8803
com.google.cloud	spring-cloud-gcp-logging	5.11.1		44b0f3412573e0125118ad87ce6da73faffa4b6c
com.google.cloud	spring-cloud-gcp-logging	5.11.2		f076ab835787f4ffc0fe3fd20fe92f7029ebc309
com.google.cloud	spring-cloud-gcp-logging	5.11.3		07d82bb7117866dfc6da32279398d5ba457800f4
com.google.cloud	spring-cloud-gcp-logging	5.2.0		0edc48ac6a74845d5fcb22acbb306d8fb4c12603
com.google.cloud	spring-cloud-gcp-logging	5.2.1		9afa70d45745058633744da39618c1ecbebc830e
com.google.cloud	spring-cloud-gcp-logging	5.3.0		a5a104b3f07ebd88b343a2748166ed6ae86e9fbf
com.google.cloud	spring-cloud-gcp-logging	5.4.0		1035e806e1b1a90bf8c171a4364239df9e79624c
com.google.cloud	spring-cloud-gcp-logging	5.4.1		263c2d083986b117c829d5225f6aaf7d0b5cb793
