am.highapps.parallaxtoolbar	compose-parallax-toolbar-kmp-android	1.0.0		N/A
cn.sinozg.applet	applet-sa-boot-starter	3.1.1		2158f6bd51d020bccf57ddf8562e0ca344883b9a
cn.sinozg.applet	applet-sa-boot-starter	3.1.2		610b2b257c28b856b0dc2b85d7eec31a466b7ef0
cn.sinozg.applet	applet-sa-boot-starter	3.1.3		f26ecc9d82ee09c13cbca57c2bf207b9476129fb
cn.sinozg.applet	applet-sa-boot-starter	3.1.4		1cc392762ff935c9dbcdc00dba108a8eb2db22b2
co.touchlab	sqliter-mingw	0.6.2		N/A
co.touchlab	sqliter-mingw	0.6.3		N/A
co.touchlab	sqliter-mingw	0.6.4		N/A
co.touchlab	sqliter-mingw	0.6.5		N/A
co.touchlab	sqliter-mingw	0.6.6		N/A
co.touchlab	sqliter-mingw	0.6.7		N/A
co.touchlab	sqliter-mingw	0.6.8		N/A
co.touchlab	sqliter-mingw	0.6.9		N/A
co.touchlab	sqliter-mingw	0.7.0		N/A
com.abkabk	dream-framework-common	0.0.1		840b35774b80bccc08b16072bf652c774079fe5d
com.abkabk	dream-framework-common	0.0.2		9a75d3168c076276f032c2e9426b78803c1d7c88
com.aliyun.odps	odps-udf-local	0.19.3-public		5a1b03555a80fab51381077fb34ac7d64348c0e8
com.aliyun.odps	odps-udf-local	0.20.7-public		b9233a85a8f48e2b9c34efb816c3f0329c83aa72
com.aliyun.odps	odps-udf-local	0.21.3-public		18dc9b94ac77b6d3906fee7a13b750d782b27ba6
com.aliyun.odps	odps-udf-local	0.23.3-public		8f3a7cfd87eecaa83d2631dd05b313209a291081
com.aliyun.odps	odps-udf-local	0.24.0-public		c800b7a0d865ab3968a3c20815df12211d973c45
com.aliyun.odps	odps-udf-local	0.26.2-public		7b8e81a6363360de99f2202ff6bad8910687a671
com.aliyun.odps	odps-udf-local	0.26.5-public		77d3b5b44cd73fe062c9341c89420b5944cb6601
com.aliyun.odps	odps-udf-local	0.26.6-public		4db258208130fcda496c7c535708c30a5747af43
com.aliyun.odps	odps-udf-local	0.27.1-public		80ed8e20a3e88b6546ae4e7c319e5d30b1b12943
com.aliyun.odps	odps-udf-local	0.27.2-public		2a4a2b31940f498010fe34b8afb13f4b844c6781
com.aliyun.odps	odps-udf-local	0.27.7-public-java8		eaf6ba60180e1a307a6a330db212cd53468c6c6b
com.aliyun.odps	odps-udf-local	0.28.4-public		2d4dca7621ac18afbcbbae764b12f893972b1dd5
com.aliyun.odps	odps-udf-local	0.29.10-public		1bb36ff952e01cb487231c64e57cfc52aad3310f
com.aliyun.odps	odps-udf-local	0.29.11-oversea-public		15e1c60d6dc6c7617fa6bf1bb80b0d151bc297f7
com.aliyun.odps	odps-udf-local	0.29.6-public		8f65dbba0cead20004425151f83b65c98e7af1e4
com.aliyun.odps	odps-udf-local	0.29.8-public		f69c0df4a61129863a1801f8eeecd2057daca76a
com.aliyun.odps	odps-udf-local	0.30.8-public		e3f5ef61cbdcd5a9af3dea2697969ef73bf32bc8
com.aliyun.odps	odps-udf-local	0.30.9-public		36f40b4f85db22ea395f3c382d6ee2acc0b4cbb3
com.aliyun.odps	odps-udf-local	0.31.3-public		4c6f6751e4824bd8973445f63e5cff4c7f400992
com.aliyun.odps	odps-udf-local	0.31.4		dad2cc3fa7ee55d644f296e22d6700c987669ecc
com.aliyun.odps	odps-udf-local	0.31.4-public		eda4eb78f7c2ccd5d8de0d5b35c3e026105e32a5
com.aliyun.odps	odps-udf-local	0.31.5-public		b0205fbf91877f255953db44b9d534c22a11f4fa
com.aliyun.odps	odps-udf-local	0.31.6-public		02454935c8f37dabcc651906d50b368e24d3ee0b
com.aliyun.odps	odps-udf-local	0.31.6-public	shaded	b49c5b2e674080e992beb6d8b8764b3d7b90f8c5
com.aliyun.odps	odps-udf-local	0.32.5-public		2c8c4286968d08f96b7e26f1d27ad89c086230c8
com.aliyun.odps	odps-udf-local	0.32.5-public	shaded	e92134969203e84dabcf94e3cee01df68551035c
com.aliyun.odps	odps-udf-local	0.33.7-public		aabdd0cd8a891cf23440c05dc0422c7a2dfe439b
com.aliyun.odps	odps-udf-local	0.33.7-public	shaded	1205fd4433ea303093599523d7d2d6b61849a00b
com.aliyun.odps	odps-udf-local	0.34.4-public		6310320029b2d424391e5e0b183b902ba26d9f6a
com.aliyun.odps	odps-udf-local	0.34.4-public	shaded	6079684bfba121a31f20ddfbf3c5c774b8a7cdb0
com.aliyun.odps	odps-udf-local	0.34.5-public		41e38520df218a57d6b7e5a55c7fce3866069837
com.aliyun.odps	odps-udf-local	0.34.5-public	shaded	8e48bef18d5aef611123000ec78d7ba665f07f76
com.aliyun.odps	odps-udf-local	0.34.6-public		740c8bc7adf70442b48c7004bf869d32d1448b02
com.aliyun.odps	odps-udf-local	0.34.6-public	shaded	1f60a1251a3e127633cb34c911aabd8807dfec78
com.aliyun.odps	odps-udf-local	0.35.5-public		accf806e5d46c005a3d3d21845c6bdaa09ebab33
com.aliyun.odps	odps-udf-local	0.35.5-public	shaded	de0d8dfcebd40651669b3b468268494ef1b28e66
com.aliyun.odps	odps-udf-local	0.36.4-public		9c2f0034dd33d52b4f53d87dff37cc9eeb168a78
com.aliyun.odps	odps-udf-local	0.36.4-public	shaded	ab366ecd575a46ddd009d0d730fd2c7b40fce4b7
com.aliyun.odps	odps-udf-local	0.36.7-public		84472070bd4042f7922190f615389143400c0f1b
com.aliyun.odps	odps-udf-local	0.36.7-public	shaded	6098e48cad7ece183ac4020f25ef15514d314173
com.aliyun.odps	odps-udf-local	0.37.10-public		04ac7725a11ceeb8e611f82d8f81998ec439f144
com.aliyun.odps	odps-udf-local	0.37.10-public	shaded	12a293134a4320875d8c2772aab2089faa7830a5
com.aliyun.odps	odps-udf-local	0.37.9-public		fa569357414e537b7b52f1270e31a7c3b69ee766
com.aliyun.odps	odps-udf-local	0.37.9-public	shaded	eed0df3a36e30cebadc19e17eeed7ef84245b5fb
com.aliyun.odps	odps-udf-local	0.38.3-public		8ed07e213ed46f533a7b78cbe058e8677f913e37
com.aliyun.odps	odps-udf-local	0.38.3-public	shaded	21e505764d96f99d57eacdb4d42fdbb8f02bcaf7
com.aliyun.odps	odps-udf-local	0.38.4-public		968144ff6b6ea284bc648f4de59a83dc372d04f5
com.aliyun.odps	odps-udf-local	0.38.4-public	shaded	6cd5d47c7b630d82f3856b9af33ec0bb0307b94b
com.aliyun.odps	odps-udf-local	0.40.10-public		6995795aee3008f0e7824a1006bb00cb30231e3b
com.aliyun.odps	odps-udf-local	0.40.10-public	shaded	f6cce2501da66867a92ae47afb8fa22d5f937b4d
com.aliyun.odps	odps-udf-local	0.40.8-public		20a812aed5340194da71d3eb885375ad89057952
com.aliyun.odps	odps-udf-local	0.40.8-public	shaded	a655ac41dccd90072c2f75f799a755e7b2bf8b3c
com.aliyun.odps	odps-udf-local	0.41.1-public		12246adeb8bdc77d82d648f675a1a1006f115665
com.aliyun.odps	odps-udf-local	0.41.1-public	shaded	983b8d67a0209847c03d3ec7292df9849b198c11
com.aliyun.odps	odps-udf-local	0.43.0-table-api-public		12c43a567a11cbd481f876cb5e403edea148e75b
com.aliyun.odps	odps-udf-local	0.43.0-table-api-public	shaded	1609c62c7992e0dc773197f3e4285c70399e5f3b
com.aliyun.odps	odps-udf-local	0.43.1-public		25c08355e6772ca800bd16d76aeb639c881e9a15
com.aliyun.odps	odps-udf-local	0.43.1-public	shaded	a09d876b823e569aa30d84d5233e12bd90e8b7ce
com.aliyun.odps	odps-udf-local	0.43.2-public		5142944cd2ca8f9e231b5649da5a9e881e776ced
com.aliyun.odps	odps-udf-local	0.43.2-public	shaded	406ed9c0e392f7686f9616532dbe8703c26e871f
com.aliyun.odps	odps-udf-local	0.43.3-public		43e8199e33c015cdc748685d7db2aada0705cbb4
com.aliyun.odps	odps-udf-local	0.43.3-public	shaded	31a3e123ad75093e501a00278949fc569ed7d0cc
com.aliyun.odps	odps-udf-local	0.43.4-public		6765862985cde564b96ffcb3de97cf56db13f0dd
com.aliyun.odps	odps-udf-local	0.43.4-public	shaded	f360f66bde60067f20eaa25328af608f34b4bd8e
com.aliyun.odps	odps-udf-local	0.45.0-public		c13d595ee2326cc7efc7e54c7fd6096e121cfb4c
com.aliyun.odps	odps-udf-local	0.45.0-public	shaded	fbea2126a3fa516072a0b7e26143b2cdb42d4b3a
com.aliyun.odps	odps-udf-local	0.45.1-public		1835fa65231aeb40e8338040b084867150dea628
com.aliyun.odps	odps-udf-local	0.45.1-public	shaded	20c3c56f311bcd61c0dbb2e712b98e9d5ab485d0
com.aliyun.odps	odps-udf-local	0.45.2-public		76088336ccd8ddb458bfa81d9797ba155875d77b
com.aliyun.odps	odps-udf-local	0.45.2-public	shaded	29216ed78086ecbf4d214edaa6466cc96d5fea38
com.aliyun.odps	odps-udf-local	0.45.3-public		8e4ca489bf7a9e2988ec5858b780c900dd6a4f72
com.aliyun.odps	odps-udf-local	0.45.3-public	shaded	a50db024f82db2a0e3532845c7913074d96b3203
com.aliyun.odps	odps-udf-local	0.45.5-public		07bfbfff5e914d7280fc8c18576d361d90c6d229
com.aliyun.odps	odps-udf-local	0.45.5-public	shaded	3499be59aea5f2d957ee3dd2b273d202e2dfdd6a
com.aliyun.odps	odps-udf-local	0.45.6-public		0f1ad104d4dafb1a19eac57fb191feed534f1e10
com.aliyun.odps	odps-udf-local	0.45.6-public	shaded	0a943337913794f447420c85bbdaa2798f973603
com.aliyun.odps	odps-udf-local	0.46.13-public		ff1620140ad0a11de986a74bf54bdbd8449ed89f
com.aliyun.odps	odps-udf-local	0.46.13-public	shaded	b8ce1edc83318e6328871dd511aa095122e3c431
com.aliyun.odps	odps-udf-local	0.47.0-public		cc7ec5f19827d1db2ffb7979974ab8c4a16685b9
com.aliyun.odps	odps-udf-local	0.47.0-public	jar-with-dependencies	1f5e0a42676405e36469da7cf3552a95cbf37466
com.aliyun.odps	odps-udf-local	0.48.0-public		d10a53c7435e0ac6202714e5d0d90641569f5c5a
com.aliyun.odps	odps-udf-local	0.48.0-public	jar-with-dependencies	db43e6f700f0436ff77c91b87051a858cbf0bffe
com.aliyun.odps	odps-udf-local	0.48.1-public		50246ca8c129e74ecb070566cee362862b769367
com.aliyun.odps	odps-udf-local	0.48.1-public	shaded	8946131a453e0df5810863df463874b28a602c9d
com.aliyun.odps	odps-udf-local	0.48.2-public		37a328d55fd6a6a1f80697636cf7a116bc81d85d
com.aliyun.odps	odps-udf-local	0.48.2-public	shaded	4f8927606f89a9f37150c9945544a1232ad93f28
com.aliyun.odps	odps-udf-local	0.48.3-public		b88235a44d696eea4d16af66752bd84b3621a594
com.aliyun.odps	odps-udf-local	0.48.3-public	shaded	53a892394d06ea75eb671412a75d448f71d97d66
com.aliyun.odps	odps-udf-local	0.48.4-public		bb0e7d9cf7c29744a34d9ed6f8b4c9a969bf5f64
com.aliyun.odps	odps-udf-local	0.48.4-public	shaded	5532ae19950ed89544732d21d1b656ac845cdc6f
com.aliyun.odps	odps-udf-local	0.48.5-public		2708565e5cb91eca73acddd651fa0065d7c70aed
com.aliyun.odps	odps-udf-local	0.48.5-public	shaded	332063c95f521602ce3ea2512629e0157f394192
com.aliyun.odps	odps-udf-local	0.48.6-public		a0582c763e0a1414c512047598eaf945a7409dd4
com.aliyun.odps	odps-udf-local	0.48.6-public	shaded	e6db9c803aaaa893ea039f6b51ff1efd544f927a
com.aliyun.odps	odps-udf-local	0.48.7-public		7dfe2dfd1bd5d5637bc74227472ed7454167ce1a
com.aliyun.odps	odps-udf-local	0.48.7-public	shaded	d08c20add936105f5fd6cf3dfde1efdf3d50f663
com.aliyun.odps	odps-udf-local	0.48.8-public		9487d2af930a386548b1f76b15ab4eeefff936ad
com.aliyun.odps	odps-udf-local	0.48.8-public	shaded	33562ce56dbbc38b18806db66936791eafe13461
com.aliyun.odps	odps-udf-local	0.48.9-public		000114eff5c87966a9307eb8d402bed32833e510
com.aliyun.odps	odps-udf-local	0.48.9-public	shaded	99464cccb1a4bd83227c048ec2c6da8d50fcefc5
com.aliyun.odps	odps-udf-local	0.49.0-public		269b5ac001135957e7d4411b88b0ced5abf4dca3
com.aliyun.odps	odps-udf-local	0.49.0-public	shaded	dce71cc0008dafb44eb940d3ca70437ca61c3db1
com.aliyun.odps	odps-udf-local	0.50.0-public		b91905f98fa91e67af06cf9ca59b0892074244b0
com.aliyun.odps	odps-udf-local	0.50.0-public	shaded	48366603da33de9a480b196cb98f464bc5239880
com.aliyun.odps	odps-udf-local	0.50.0-rc0		293a8eb63a597d6bf6100aed3018180f3299c774
com.aliyun.odps	odps-udf-local	0.50.0-rc0	shaded	5380ecd38d0289f9fc001240cd1353a8383288d9
com.aliyun.odps	odps-udf-local	0.50.0-rc1		212aba2a473dd2fdacc13108e3c31e5501e2347c
com.aliyun.odps	odps-udf-local	0.50.0-rc1	shaded	b28f3a09b36c131fe5aa073d4ad55589ebf33824
com.aliyun.odps	odps-udf-local	0.50.1-public		cd4463afeb0daf401f8792e4e4e2b5e8d7f361d5
com.aliyun.odps	odps-udf-local	0.50.1-public	shaded	24a9b744ae6ef242c8638b050b6eee84433f70bb
com.aliyun.odps	odps-udf-local	0.50.2-public		04896941c73be077522822074c462438e44125df
com.aliyun.odps	odps-udf-local	0.50.2-public	shaded	665090a8e75e0d586e3add1f47efcf547f822a4e
com.aliyun.odps	odps-udf-local	0.50.3-public		350e75150f8a809adaecf5ef64eeebff47fb4114
com.aliyun.odps	odps-udf-local	0.50.3-public	shaded	41db3e49ccb52c69b1407cd420b740528d178d28
com.aliyun.odps	odps-udf-local	0.50.4-public		88903200a5fc01527848d20e93f2d75c0e120d4a
com.aliyun.odps	odps-udf-local	0.50.4-public	shaded	aadb6aceb11224597ab1e45f268e3f154ace173b
com.aliyun.odps	odps-udf-local	0.50.5-public		63c1da940b3c090c5e4786a7cc26519e9c946355
com.aliyun.odps	odps-udf-local	0.50.5-public	shaded	fc25ff08b78106f78bf71e8381c0855c1616291f
com.aliyun.odps	odps-udf-local	0.50.6-public		a2e4be5101b6dfc40bd04fdb878195b40b6c0617
com.aliyun.odps	odps-udf-local	0.50.6-public	shaded	5a6835b73f03bc278f2cd0296cbc547224f13111
com.aliyun.odps	odps-udf-local	0.51.0-public		ef2a4fe797d609ecad077560e83813aa55cf65b1
com.aliyun.odps	odps-udf-local	0.51.0-public	shaded	16021bcc3da0c411311f9019177dd1e234a407fd
com.aliyun.odps	odps-udf-local	0.51.0-public.rc0		6fccc3eaae1a2b17feeb284a20002bd7538d9735
com.aliyun.odps	odps-udf-local	0.51.0-public.rc0	shaded	b8c2652d6f377a9baa7a75821ee09a3ac2c5b755
com.aliyun.odps	odps-udf-local	0.51.0-public.rc1		deed05b81e5e3ffc0a65a2575183f980d650e15b
com.aliyun.odps	odps-udf-local	0.51.0-public.rc1	shaded	2270298e5d5eef6fe00105777c6b92010e3a6f16
com.aliyun.odps	odps-udf-local	0.51.10-public		87f9d5ce6f4df86ab7cd14a5f632772725412422
com.aliyun.odps	odps-udf-local	0.51.10-public	shaded	d55f85f659b1ddb5ea003ccec0327d970419ece2
com.aliyun.odps	odps-udf-local	0.51.11-public		c7dddefa42198dc027358d4f9d60bd0e756cde93
com.aliyun.odps	odps-udf-local	0.51.11-public	shaded	59c1afbe1313d67162e55e8109c0939ebd7a9e65
com.aliyun.odps	odps-udf-local	0.51.2-public		9ac3a558e1ac027b7e5e81aefb589f9abc4a6b6c
com.aliyun.odps	odps-udf-local	0.51.2-public	shaded	81bd76d5c6592fe8a13337f304a752e0b3e5aeda
com.aliyun.odps	odps-udf-local	0.51.3-public		c2c40ce51ac291cedba71108c1da44f0404fbc36
com.aliyun.odps	odps-udf-local	0.51.3-public	shaded	6a2bc5bb510db3e0d10e01c2b95bfd3129bdd454
com.aliyun.odps	odps-udf-local	0.51.4-public		52c1d08b3816607bfc7b2eef69591559b6cbf9e9
com.aliyun.odps	odps-udf-local	0.51.4-public	shaded	0012d73a9e59fbae0be71b8f9fbfd6ca2dcaff13
com.aliyun.odps	odps-udf-local	0.51.5-public		74a5091cf96980abcc5bd1a4c17ac3f7d7faad68
com.aliyun.odps	odps-udf-local	0.51.5-public	shaded	ed120ca896d435d0faf9147b76ac9bbf20505f02
com.aliyun.odps	odps-udf-local	0.51.6-public		89f8c4b7fb8eb403c8983b2ddc7dd42984f6619e
com.aliyun.odps	odps-udf-local	0.51.6-public	shaded	94d89ec49aee600bab9bf1c12cb77ef7d1613732
com.aliyun.odps	odps-udf-local	0.51.7-public		75b0eb680e2f24c09cb0deac05b85d83f661a246
com.aliyun.odps	odps-udf-local	0.51.7-public	shaded	02ff048e23d763ade0c92e703ea6e30c15c01d92
com.aliyun.odps	odps-udf-local	0.51.8-public		80d38ab731b1edb72c1008a9808b005807f85a69
com.aliyun.odps	odps-udf-local	0.51.8-public	shaded	6dabd593a3067066bf591727c8c4fa3b583975d1
com.aliyun.odps	odps-udf-local	0.51.9-public		5a2070adef3636d70156e60d6d6fa7f233715368
com.aliyun.odps	odps-udf-local	0.51.9-public	shaded	30ffb37ab5aa5ed8a464c3a2eddd7001216d2ac9
com.aliyun.odps	odps-udf-local	0.52.0-public		70851369cb3babf65f08ae9ad2943783d70210ec
com.aliyun.odps	odps-udf-local	0.52.0-public	shaded	b6be2a113720889b9f10f4492766bfa2677297c6
com.apollographql.execution	apollo-execution-gradle-plugin	0.0.2		28ecfe6611d89ddac9e2b3c5db93db7002aed79b
com.apollographql.execution	apollo-execution-gradle-plugin	0.0.3		7dd1086c44624cfa1d6f99b966964baa020056a4
com.apollographql.execution	apollo-execution-gradle-plugin	0.1.0		6a8fb93f6545e22690989465abe24e053a74c237
com.atlassian.maven.plugins	maven-stash-plugin	5.0.18		e3a4247d3a0ee0b3abaad9171c3f1eb0a9cf7599
com.blazebit	blaze-persistence-entity-view-impl	1.0.0		e10202bd5daae3d4a3db73107c2831a04673c4b8
com.blazebit	blaze-persistence-entity-view-impl	1.0.1		3917949c17449b621b541c7cb9deb340c1be09ce
com.blazebit	blaze-persistence-entity-view-impl	1.0.2		02fb1d57e7d16d2960440df21d201a55c58ef06a
com.blazebit	blaze-persistence-entity-view-impl	1.0.3		861c51e2235af73e338d847e5c342769ffdb6af8
com.blazebit	blaze-persistence-entity-view-impl	1.0.4		e780692a21d00e30699d386f190281f1cb198d70
com.blazebit	blaze-persistence-entity-view-impl	1.0.5		441623570031980bf1e4f68fa79ce39a2af8ff7d
com.blazebit	blaze-persistence-entity-view-impl	1.0.6		9636818cf38974683f5f01f5914c16611fefa1ce
com.blazebit	blaze-persistence-entity-view-impl	1.1.0		176d73972fecef89f397697d3204f8f81db6fef4
com.blazebit	blaze-persistence-entity-view-impl	1.1.0-Alpha1		3b5e2cc6cd4ab27ca20091e73bc6fd145a11288b
com.blazebit	blaze-persistence-entity-view-impl	1.1.0-Alpha2		2669e271d1ad57d0ebfa99997b13b2081c787052
com.blazebit	blaze-persistence-entity-view-impl	1.1.0-Alpha3		e60b45f0071c0ac0513a0878922bad317eca6580
com.blazebit	blaze-persistence-entity-view-impl	1.1.0-Alpha4		459d522483dbeb17d5ae644a20c8081c90f5e2e9
com.blazebit	blaze-persistence-entity-view-impl	1.1.0-Alpha5		81e13b975a59e2f9d75ff7db52bf3ef0e70ebdf8
com.blazebit	blaze-persistence-entity-view-impl	1.1.0-Alpha6		c96fe2626a385131a371176c61fa57cf0d7cac84
com.blazebit	blaze-persistence-entity-view-impl	1.1.0-Alpha7		c4661aa9498a835c9e861f06f6c6b45dad0e1727
com.blazebit	blaze-persistence-entity-view-impl	1.1.1		ddb0438be89e889fde11b4327fe0d2bb960020d7
com.blazebit	blaze-persistence-entity-view-impl	1.2.0		238057b27be073647a894b6f8697d02c1e6239a6
com.blazebit	blaze-persistence-entity-view-impl	1.2.0	module	c840bd65b719be538beab5825856cd622a179bf6
com.blazebit	blaze-persistence-entity-view-impl	1.2.0-Alpha1		f6dcfb8a231d74fcdcc50a2d325cfa5c3afbc3a4
com.blazebit	blaze-persistence-entity-view-impl	1.2.0-Alpha2		a80a0dda0cc9dcbcfe5bd2eb8e142ff10ffcbf29
com.blazebit	blaze-persistence-entity-view-impl	1.2.0-Alpha3		f9490517354955b5d77f2e4c4cc34dfd455405e5
com.blazebit	blaze-persistence-entity-view-impl	1.2.0-Alpha4		adeff9f57e1baa390e42c50bebddf055a13d801d
com.blazebit	blaze-persistence-entity-view-impl	1.2.0-Alpha5		ed9ab06b742a66f7928356dd0dd49eae01081d26
com.blazebit	blaze-persistence-entity-view-impl	1.2.0-Alpha6		a2d6c17c71e95a18eeb7666718e07013672ced27
com.blazebit	blaze-persistence-entity-view-impl	1.2.0-RC1		aaa9a8156c1608a45f56d4ac8f15dfa480ddc91c
com.blazebit	blaze-persistence-entity-view-impl	1.2.0-RC1	module	17dc30d26b6cb0f08b4a666a616ddf5b0d5f09cf
com.blazebit	blaze-persistence-entity-view-impl	1.2.1		e3fea863b6b961705cf1ec1bc5a925816cf642aa
com.blazebit	blaze-persistence-entity-view-impl	1.2.1	module	cf9a9954542900e730a55e6b37c66249ab05b83a
com.blazebit	blaze-persistence-entity-view-impl	1.3.0		86bce0e87c719024e7f4cbd373155149e465132b
com.blazebit	blaze-persistence-entity-view-impl	1.3.0	9	e74e2b8cfe79350faa205384bde7bb9c4130675e
com.blazebit	blaze-persistence-entity-view-impl	1.3.0	module	f6158aa2d4c75f75000c933dc9b6183c2c93881c
com.blazebit	blaze-persistence-entity-view-impl	1.3.0-Alpha1		0ad262826d6893f241dc97f0ab01d9de40b60dd4
com.blazebit	blaze-persistence-entity-view-impl	1.3.0-Alpha1	module	021d78b6e0511c3ec95ee58f12510df2e63dbbf5
com.blazebit	blaze-persistence-entity-view-impl	1.3.0-Alpha2		4ff8638502ccc993b1b6007e69b02ad70c46ec5c
com.blazebit	blaze-persistence-entity-view-impl	1.3.0-Alpha2	module	2a7fbd62d7c0390823298af6f91b365c127cc370
com.blazebit	blaze-persistence-entity-view-impl	1.3.0-Alpha3		a1e0c0a8cad29d1bed809466dbbd9329fa4d4974
com.blazebit	blaze-persistence-entity-view-impl	1.3.0-Alpha3	module	801c2c91bc1c23e6734e9b0cc49aee8b440514ff
com.blazebit	blaze-persistence-entity-view-impl	1.3.1		e864e0f3dd5ca52169f44074f87a2233f44ed492
com.blazebit	blaze-persistence-entity-view-impl	1.3.1	9	57e4f59c14c7c31404928e0a46edb0dc3ef7d7f0
com.blazebit	blaze-persistence-entity-view-impl	1.3.1	module	c26d4a843a933caf831ce49eddc04743e0022962
com.blazebit	blaze-persistence-entity-view-impl	1.3.2		ce82c6c9dab0c4ffd8a6ce7f377baf7d9c3b694c
com.blazebit	blaze-persistence-entity-view-impl	1.3.2	9	131bc8ded276da44b421a8d2b890f9df34d52d89
com.blazebit	blaze-persistence-entity-view-impl	1.3.2	module	7c445b130b9fef38e228906c3c78ccc32d1160ec
com.blazebit	blaze-persistence-entity-view-impl	1.4.0		ebccdeef0417bfe995332a21fb3b778387a09577
com.blazebit	blaze-persistence-entity-view-impl	1.4.0-Alpha1		a69cb66636326b22cf0d5de83ca4674d4c27c3d8
com.blazebit	blaze-persistence-entity-view-impl	1.4.0-Alpha1	9	63a6a37165d6f4dd6c3917444c6459e57a56ac8c
com.blazebit	blaze-persistence-entity-view-impl	1.4.0-Alpha1	module	43850581117c9a851364115fa30fc6415c48f606
com.blazebit	blaze-persistence-entity-view-impl	1.4.0-Alpha2		a89c990a7339aca329c037fc926a66758febec8e
com.blazebit	blaze-persistence-entity-view-impl	1.4.0-Alpha2	9	cf22b8287f437f715afb1d6442e0277c6e65623d
com.blazebit	blaze-persistence-entity-view-impl	1.4.0-Alpha3		72ae2416219656eefe0c7b8ce636fc0e674ef24d
com.blazebit	blaze-persistence-entity-view-impl	1.4.0-Alpha4		ce2d202c1d3c2179e888691116219a2ecc44869c
com.blazebit	blaze-persistence-entity-view-impl	1.4.1		0457d7d9a90839dc9928596f65114aa276349594
com.blazebit	blaze-persistence-entity-view-impl	1.4.1	9	e8618461226c2ed6c34f82207aea095420154862
com.blazebit	blaze-persistence-entity-view-impl	1.5.0		a5dab40e3e7e85a148ecb663a4e62ee9285ed080
com.blazebit	blaze-persistence-entity-view-impl	1.5.0	9	2146cbf9e52933b966607a4db5d2cf3e86f2dff5
com.blazebit	blaze-persistence-entity-view-impl	1.5.0-Alpha1		db1475090e88b9ccfc6e44393fd8433ffcb7c931
