at.yawk.pigeonj	pigeonj-core	1.0		fc0e13151a72cc26f05e64232d6e8f353f6167d3
com.appstractive	jwt-kt-tvosx64	1.0.0		N/A
com.appstractive	jwt-kt-tvosx64	1.0.0	metadata	6854709a8a5ae13069fb7b673580762f322c2c3b
com.appstractive	jwt-kt-tvosx64	1.0.1		N/A
com.appstractive	jwt-kt-tvosx64	1.0.1	metadata	40d6ebbd7c68993365961b87f37f8596084967ca
com.appstractive	jwt-kt-tvosx64	1.0.2		N/A
com.appstractive	jwt-kt-tvosx64	1.0.2	metadata	f85a2d685d4ef622ec5797eeb32d2573b74a01d2
com.appstractive	jwt-kt-tvosx64	1.0.3		N/A
com.appstractive	jwt-kt-tvosx64	1.0.3	metadata	5e691c863249ac4fff1f228aeb0599cc2eebf11b
com.appstractive	jwt-kt-tvosx64	1.1.0		N/A
com.appstractive	jwt-kt-tvosx64	1.1.0	metadata	0265e5c58b44a5bbabdeabff736fa70339cd4b22
com.appstractive	jwt-kt-tvosx64	1.1.0-2.0.21		N/A
com.appstractive	jwt-kt-tvosx64	1.1.0-2.0.21	metadata	1d6466c1b77b9f17fd878959507f654b4aaccb8b
com.devbliss.gwtbliss	gwtbliss-service	1.2.0		fddc7c527d5a7f2a0ea6636b4aed2c5135ea8fc8
com.devbliss.gwtbliss	gwtbliss-service	1.3.0		1b11eb27846e4bd79c614040a914cb43875e3c63
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.0.0		e0d43186e2bef4e6e1e0a8c154145429e74b51c9
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.0.1		b1335299a60badb362c8706f645248f11118c186
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.1.0		0e65d95438aaf633d13ff2494945d087d3ca121b
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.1.1		71fda423ecfcda37e670b0faafdc523b5fa98513
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.1.2		e90bf739b3f308131aaea1ecf3740b03dd7341c9
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.10.0		6e03c88dcd87b6f96d25348e9d84e33e6aa816b5
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.11.0		d050489ad2507c4f63962f47070d96814eb1563d
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.11.1		e6a99c7b8fc6e21f974a11b505c5eb467bb6d808
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.11.2		31b08d9ce828354ce73a9e7d4acf738b441a46f1
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.12.0		a0221b97b60c390de53411badca61d8868d21f5d
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.12.1		4f0e89143d88e91c240de759278cd516bb8f93ea
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.12.2		3044b606346d455f2198d3b85029183f07891524
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.12.3		13edd397cf1bcb5a1a7d23d63bbcd343b89038b7
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.13.0		a47f302f9abd29ee890108d61b09b77645de77ec
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.2.0		dd7453616b2b1e9ca34f1671161d31f1188ee602
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.3.0		67e57531f95027ced79e380d4ff5a9387bce4b38
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.4.0		9c478a78b68de5e212aea79c6641288fed79190c
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.4.1		b3acc82553bf248fa052fc4c1f4736e499e3576d
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.4.10		9febdadc40fec15534478507268451a365845d12
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.4.2		91393f92409617442dc64c8a92b37ef3509677cd
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.4.3		acab6c00c726c3c4a019d063fc975ca256081ae2
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.4.4		0427fcb94787035a4b4425c1a3a6d74ce72534b2
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.4.5		1e33c9a85b92bcb7f9cc733601a5bfd508330d1f
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.4.7		4555c75dfd7954216afb087b990767aae9974baf
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.4.8		b13bd5ec597e71c35ef06cec11f0964f54dfab38
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.4.9		1d49ad5751eb9e83daab1a0278d1851e6c0c0680
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.5.0		56142e713d45b68e45403ef30498eb187d08eccd
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.5.1		bb8e8a70741b44d2b89d29a7e61cd84955165559
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.5.2		cf4bab60bb66418363b5172969b2696d664e7ee9
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.6.0		03826147fe5bdbbfcf6c3c4a360a1278e832774e
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.6.1		ebd20b7a474978ca6bd18bca6ce5285a7ccd4a4e
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.6.2		caed42f3c63c54872d46a10466b196d28e560bb2
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.6.3		e26d6cbcbfa7321e6830898494969cc692fe4f09
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.6.4		5948afbaa38a17d9795517f3ca0e1b71f5b022ef
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.7.0		f5c851be3048d6c79c0c0ad02e345e26653d96b8
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.7.1		cdc1568231e81f479e0eeb704412334ac74eddd7
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.8.0		3ae2360ae303734d5b96615877ec48857f0230f7
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.8.1		b5473da2436d65927a6cf86e5dc3a716922b52c9
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.8.2		c557c9156878c835f1c8873321958157f0813bff
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.8.3		6ac56fb435cd7cf3cfb8e887c8044111582acb16
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.8.4		4b4707bca11bcc5a702f0557c0b64e73f07fe627
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.9.0		4acfcc9dca292b8440c5c1cc2170e7245cbd37d5
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.9.1		156fbd6a67e48662b68bd1976bf4a72b8055b4b6
com.fastasyncworldedit	FastAsyncWorldEdit-Libs-Cli	2.9.2		b37eba8367206b4d558eaae8107ae1ee8980e0ab
com.github.alexarchambault.ammonium	shell_2.10.6	0.4.0		02ac786f6060e1aa11841d3ea69626e6b4e7d5d9
com.github.alexarchambault.ammonium	shell_2.10.6	0.4.0-M1		fabfb7c41ed02f471144e2d0c9d8b7eec3419615
com.github.alexarchambault.ammonium	shell_2.10.6	0.4.0-M2		bf5068a49c9b49bdb1b5efc5785b712e73c10a7f
com.github.alexarchambault.ammonium	shell_2.10.6	0.4.0-M3		bba1364426d2f83f8c3d618e588c1dd6149b8d46
com.github.alexarchambault.ammonium	shell_2.10.6	0.4.0-M4		dd49a16502abe94a9eb2f7fe4dfec49f98c130c7
com.github.alexarchambault.ammonium	shell_2.10.6	0.4.0-M5		5267d909509718960639d8fa793dce731148b7ab
com.github.alexarchambault.ammonium	shell_2.10.6	0.4.0-M6		0bd06add06f3c836402f880fdc847a618fcf4be4
com.github.alexarchambault.ammonium	shell_2.10.6	0.4.0-M6-1		5ea94b20b990d229eb1fdb8f273d51bdcb35fb75
com.github.bogdanovmn.common	common-concurrent	1.9.0		ae8635dac29d4158fd7f79b4a1edd5b0513b857c
com.github.bogdanovmn.common	common-concurrent	1.9.1		b11a626dcc074549105ff9850d8fb69748c92166
com.github.bogdanovmn.common	common-concurrent	1.9.2		4684fa02319305aa1036dfb6e7d90b262bd185df
com.github.bogdanovmn.common	common-concurrent	1.9.3		4b55e0ef5c85b6d324a4f3d37b6f6ee36f7806be
com.github.cb372	scala-typed-holes_3.4.3	0.2.0		e2a5390089891dd1f27ff0e6a54f1871f313d00f
com.github.haifengl	smile-math	1.0.0		66899cc3f243fd4720fadcf30d8e25739f2af59d
com.github.haifengl	smile-math	1.0.1		7e9bf7241234ab416498629eb2c90f74c7848962
com.github.haifengl	smile-math	1.0.2		c0a020442c6e6120053bdc71916df333f0bec677
com.github.haifengl	smile-math	1.0.3		f001255ee981ec62767669b750b3d49539207d1d
com.github.haifengl	smile-math	1.0.4		0f9de645a16d999ad4cfb9fa4b58e710c12f99ec
com.github.haifengl	smile-math	1.1.0		871e5dc0688273744ae1133d35209b03cd7b3c78
com.github.haifengl	smile-math	1.2.0		1b507f5f74518ff4b755cf536c5be4568e80ee20
com.github.haifengl	smile-math	1.2.1		1bb8c6115882cc2df23d9ee4b8f4dcba3809a891
com.github.haifengl	smile-math	1.2.2		aefdb246331f010e0749b5c79499ca33880488f0
com.github.haifengl	smile-math	1.2.3		4a02c89638b9a2df50ea9c9f9824ce4516af7dff
com.github.haifengl	smile-math	1.3.0		ee6acea31269be4ac2ab40a5eb08f71cb3038584
com.github.haifengl	smile-math	1.3.1		32d58acbc4335103f92ed45712efabc408ba26c7
com.github.haifengl	smile-math	1.4.0		d57ec42f8dc9c5c52f7d222a4140cda4afe75724
com.github.haifengl	smile-math	1.5.0		85e6c5b767189eb8d33e9ad47c60830a45b68f56
com.github.haifengl	smile-math	1.5.1		b1ae7c3730c00cc65908ce950f0bcc20b648fc60
com.github.haifengl	smile-math	1.5.2		7de87bffe7da74cf0d6107c8b7eb181bfedce73d
com.github.haifengl	smile-math	1.5.3		348c0d53bf469d9dba64e0da3dd9813279e9e84c
com.github.haifengl	smile-math	2.0.0		c93249f18fcea8a591420b922f5ab76c7d5fbde3
com.github.haifengl	smile-math	2.1.0		aa7ac49c660b38b54c4faec53b41a91feb02be96
com.github.haifengl	smile-math	2.1.1		c02e49750d2e6d5b2374b2e020d36fca003c57ca
com.github.haifengl	smile-math	2.2.0		f0433d2c97fc25aafa79f9d2427183c3bf6d6298
com.github.haifengl	smile-math	2.2.1		140868b95800e3a55354cd583ace778bbabec273
com.github.haifengl	smile-math	2.2.2		3de228ce4d3374a90a3bd674bfcc4195fa6af4fd
com.github.haifengl	smile-math	2.3.0		5c1099d0a9453a7ad20514cfa027cab5e4f7b515
com.github.haifengl	smile-math	2.4.0		47715a8cc6c37ae0c1b4084f48a5788c4ce7bc49
com.github.haifengl	smile-math	2.5.0		b668fa9d854d5d3f1e8e652870a916751d3498b5
com.github.haifengl	smile-math	2.5.1		d5cedfd9a119da6bbfdef1ae228dc38797dcfadc
com.github.haifengl	smile-math	2.5.2		c6819ae45a517aedf55ac55411fa1371d1f93efa
com.github.haifengl	smile-math	2.5.3		e0bf53ac64b66e796546935d7d2b66c07d332df0
com.github.haifengl	smile-math	2.6.0		1b8f49fbce670ad7eae638c8e759194365ff53e6
com.github.jiayaoguang	gameserver-scene	0.0.2		51600ff7b778d3c70e7ce238dc977130bf0cb5f2
com.github.karasiq	gdrive-api_2.11	1.0.0		379bb2f5303a4465fb75748a289b1db2c87843ab
com.github.karasiq	gdrive-api_2.11	1.0.1		8cb2ffad9ad25b2b7475e7d95f8e59577471556b
com.github.karasiq	gdrive-api_2.11	1.0.10		1ffb70bd0b5e323b70b523aa46463c884b6cde78
com.github.karasiq	gdrive-api_2.11	1.0.11		9c8a36b53490f93846e637c4b6c7e1eeba030c82
com.github.karasiq	gdrive-api_2.11	1.0.12		94b107ee41354ec302c118359e88b38b221e2fe0
com.github.karasiq	gdrive-api_2.11	1.0.13		5025be5b93e0735505d008082233d29469ed90b7
com.github.karasiq	gdrive-api_2.11	1.0.2		2d8d04e507933e3eb8c6cd089b49077dc78a81a5
com.github.karasiq	gdrive-api_2.11	1.0.3		b248bbf22db0b8b333fcaf8817033aea1a3b418c
com.github.karasiq	gdrive-api_2.11	1.0.4		0c7ffa9452a703f1631062145dc094af54ea23b4
com.github.karasiq	gdrive-api_2.11	1.0.5		b828c4025441eedb910427c8ced3905ffc7386bc
com.github.karasiq	gdrive-api_2.11	1.0.6		407de8bb7ce45fc04128275c080eba0bc35fcf19
com.github.karasiq	gdrive-api_2.11	1.0.7		dce8eee3ccc64d6ae3a4dfc6cc94c91c123b142d
com.github.karasiq	gdrive-api_2.11	1.0.8		ab2bf42d239d64cb49d83ad9a447befef196f4b2
com.github.karasiq	gdrive-api_2.11	1.0.9		91dd98ee1cab1a8b0b37e33c8a9c00eb0b3cee57
com.github.karasiq	gdrive-api_2.11	1.1.0		7999a4dbd9c9ebc2820090863b672f871c2d4748
com.github.kleinerhacker	jremote-api	0.1.0		d2392f888b12d10678625cefb44a958ab4385ebe
com.github.kleinerhacker	jremote-api	0.2.0		838dcee85767de53dd883a0418e334f99917cd6f
com.github.philcali	css-query_2.8.2	0.1.0		76b28b7529c216da4e5150c300d3960cbbb4c3ab
com.github.rmannibucau.sirona	sirona-websocket-server	0.6		48ed7f57f3b651be22c215cbbe738804becc5ff4
com.github.rmannibucau.sirona	sirona-websocket-server	0.8		9d5dcfcfb6e14a0e89678517266b17ac18b47362
com.gmrodrigues	dirutils	0.1		144dea1efaae12045b991a8ab0b7c49f880cd512
com.google.cloud	spring-cloud-gcp-security-iap	2.0.0		2cbf54397893eb1de797a928c9083b79f4524320
com.google.cloud	spring-cloud-gcp-security-iap	2.0.0-RC1		ff31487309911691f07e3e3da150cbabe3f74e5f
com.google.cloud	spring-cloud-gcp-security-iap	2.0.0-RC2		46d64952e803d6cf1594de84bdc8396f91f22f65
com.google.cloud	spring-cloud-gcp-security-iap	2.0.1		9a4e2d697630e657177600736bba70600a9202dd
com.google.cloud	spring-cloud-gcp-security-iap	2.0.10		f398217c95b9e17f978fe902f2dc3d44fc9c864f
com.google.cloud	spring-cloud-gcp-security-iap	2.0.11		ab22434ae6ce2048f5f29ed300feff7f63ffed11
com.google.cloud	spring-cloud-gcp-security-iap	2.0.2		c152b0df6af6c28e75a0fb49367603d9a8c93184
com.google.cloud	spring-cloud-gcp-security-iap	2.0.3		bbefb9089f0f50fe960f532821530f21673c3b15
com.google.cloud	spring-cloud-gcp-security-iap	2.0.4		2654bdc37bbd1209d0ef5d14425b2a169277bb17
com.google.cloud	spring-cloud-gcp-security-iap	2.0.5		38dfa4c3afb38080ad845eb8dc104a684ce7dd63
com.google.cloud	spring-cloud-gcp-security-iap	2.0.6		1bdec2ab2fb8f400d3a69b18fb49d0f7dfb8ece5
com.google.cloud	spring-cloud-gcp-security-iap	2.0.7		002371ac5c7e17b4d5be648e2f0c1a8022aaed59
com.google.cloud	spring-cloud-gcp-security-iap	2.0.8		4439e5fb5141cfec8246d3fb84e56746add489e2
com.google.cloud	spring-cloud-gcp-security-iap	2.0.9		f8719508b10f14cb439d8bc76447a33c84ace1fc
com.google.cloud	spring-cloud-gcp-security-iap	3.0.0		368b4d622675c4aa1489cf7dc2e2094193c515f0
com.google.cloud	spring-cloud-gcp-security-iap	3.1.0		5f5b89225103f7500095a616fb9d56c8c00454f1
com.google.cloud	spring-cloud-gcp-security-iap	3.2.0		43eeb6d5f91dbfb903df98728590bb7f7be61470
com.google.cloud	spring-cloud-gcp-security-iap	3.2.1		3da871e0946ab5cd2d1f30f8ba386f38fbce3b90
com.google.cloud	spring-cloud-gcp-security-iap	3.3.0		2afbb60b7f3da206711e4cc4481fce8f0a25f7dc
com.google.cloud	spring-cloud-gcp-security-iap	3.4.0		adde1fd81be8a84e401bbb6e270c28fb982058db
com.google.cloud	spring-cloud-gcp-security-iap	3.4.1		ead58519bc05756d49b13e0fd33f45fff513ef0a
com.google.cloud	spring-cloud-gcp-security-iap	3.4.2		89046aacffe8164fb05682971a5a365c228077a8
com.google.cloud	spring-cloud-gcp-security-iap	3.4.3		ecfabd9e19eb6fb95de0e6f530002151eea00600
com.google.cloud	spring-cloud-gcp-security-iap	3.4.4		d42d5c33bd6991055d1506c97635dc59e6f6b9d0
com.google.cloud	spring-cloud-gcp-security-iap	3.4.5		ab5097c4dbfceb9981116dd911fa3a1659c1e2f1
com.google.cloud	spring-cloud-gcp-security-iap	3.4.6		1df578812ab80ec66076ffdf80b89287e407727b
com.google.cloud	spring-cloud-gcp-security-iap	3.4.7		764260437292ae8e7a4b2d5efeaae14531163e2c
com.google.cloud	spring-cloud-gcp-security-iap	3.4.8		ce8af3bca70d5dcfda9bb0fa90653fac66fa0783
com.google.cloud	spring-cloud-gcp-security-iap	3.4.9		796e7ad634291be6519cd8320e651972997ae2ad
com.google.cloud	spring-cloud-gcp-security-iap	3.5.0		df05c788bd79c6c09e7d45f4abf541b90e1994ea
com.google.cloud	spring-cloud-gcp-security-iap	3.5.1		5f3842dc64f99e8c4a873005065b22dd21ac8edd
com.google.cloud	spring-cloud-gcp-security-iap	3.5.2		69e08af603e7751d8bcd2c6cd455cd110825e631
com.google.cloud	spring-cloud-gcp-security-iap	3.5.3		fa49078cd07f9d1a9b47faac188c580f9e36a9a4
com.google.cloud	spring-cloud-gcp-security-iap	3.5.4		d4e9ea176c1f74b8cbf390b7b0161d14e882000f
com.google.cloud	spring-cloud-gcp-security-iap	3.5.5		8120df927c95117d77edc2e114690fd5f6f91382
com.google.cloud	spring-cloud-gcp-security-iap	3.6.0		fbf6c49598a96f32d19f8c1af684a3c2b154e5fc
com.google.cloud	spring-cloud-gcp-security-iap	3.6.1		aea9315275066ef26d2ab007ab7fa9e5cc392dc2
com.google.cloud	spring-cloud-gcp-security-iap	3.6.2		7b89f82e5552560d183d1e1f19bbcb566cce249c
com.google.cloud	spring-cloud-gcp-security-iap	3.6.3		7ffc582aaf07db4bc9eb1b5f706b1f0681e5e7bd
com.google.cloud	spring-cloud-gcp-security-iap	3.7.0		faa1a2d0e926ef3f296897a84a78fd8e6c987251
com.google.cloud	spring-cloud-gcp-security-iap	3.7.1		95f53ba67d008d55334f83221b407221fb4c0d07
com.google.cloud	spring-cloud-gcp-security-iap	3.7.2		6de404bccf60b308bdf15201e61ae4e9b77834dd
com.google.cloud	spring-cloud-gcp-security-iap	3.7.3		6e54e4ab075f42c7d48d85e3a0e911e967578f41
com.google.cloud	spring-cloud-gcp-security-iap	3.7.4		28f650b37de3759a469fd281abebdfe9b12a6e8a
com.google.cloud	spring-cloud-gcp-security-iap	3.7.5		138f454c28f3222a24e28af8942c9de3694cc995
com.google.cloud	spring-cloud-gcp-security-iap	3.7.6		1092a0108c4e04c49f4fc7076c771f0c0c5f5312
com.google.cloud	spring-cloud-gcp-security-iap	3.7.7		692506606e23577f3b82d2ce2d039585c78ac858
com.google.cloud	spring-cloud-gcp-security-iap	3.7.8		7d2942a82f9965a58c04c0a09ae45a627514dabd
com.google.cloud	spring-cloud-gcp-security-iap	3.7.9		76627339131007ff9dd6cc5d4599eee7f26adbeb
com.google.cloud	spring-cloud-gcp-security-iap	3.8.0		89fb209261d132ae9e7848527c187a88876615dc
com.google.cloud	spring-cloud-gcp-security-iap	3.8.1		969619169a98a522d0b83e2bf2ca25161ea9d4ed
com.google.cloud	spring-cloud-gcp-security-iap	3.8.10		28f7b1bc453b40fa7761286778c9a09efdd6bdd3
com.google.cloud	spring-cloud-gcp-security-iap	3.8.11		f5806a94007d7b11e065d320a5b637f27156cb84
com.google.cloud	spring-cloud-gcp-security-iap	3.8.12		2fc2abb366585ea11db0ab74a960faab8cdedc64
com.google.cloud	spring-cloud-gcp-security-iap	3.8.13		8f0f201c241f485118d9671eac7a9eaf5321cb4f
com.google.cloud	spring-cloud-gcp-security-iap	3.8.14		d090bcb44acf29a86c0fbd221fe17afc61b33be6
com.google.cloud	spring-cloud-gcp-security-iap	3.8.15		b1a5a786d92cb99fea0ec55da1a1ea7c65a53bf2
com.google.cloud	spring-cloud-gcp-security-iap	3.8.16		98cf77fbb87b1f928827a0196d3c70f0c989a273
com.google.cloud	spring-cloud-gcp-security-iap	3.8.17		a19e44bdcc4d4230808c448c6d4b7238231f9a20
com.google.cloud	spring-cloud-gcp-security-iap	3.8.18		5337b820755d4d228dd423c0778279759136ef6d
com.google.cloud	spring-cloud-gcp-security-iap	3.8.2		06617fd06faa1770a327f811e11537ce90bd3a1a
com.google.cloud	spring-cloud-gcp-security-iap	3.8.3		34767705d29705892c246bf5a0ca92ed9e93e523
com.google.cloud	spring-cloud-gcp-security-iap	3.8.4		830e6da161573e1a7a43a43cf995199796a4aa11
com.google.cloud	spring-cloud-gcp-security-iap	3.8.5		fd7f25dccb9a2607876f51a7b211578562f2cbe1
com.google.cloud	spring-cloud-gcp-security-iap	3.8.6		3179c8b28fffa352c9e6d25da736e388ea80f7bd
com.google.cloud	spring-cloud-gcp-security-iap	3.8.7		670cfb418752d2a741c45e41842cf842f3b6a2ec
com.google.cloud	spring-cloud-gcp-security-iap	3.8.8		508cac9f6d1615edbe281d22a94532541218d31a
com.google.cloud	spring-cloud-gcp-security-iap	3.8.9		ff0afa44be2b4b0e34a5f4904fe7d1f8789c425a
com.google.cloud	spring-cloud-gcp-security-iap	3.9.0		92838d31efa2425ed718b2931f26107a85786fd6
com.google.cloud	spring-cloud-gcp-security-iap	4.0.0		69257b5d27f50e020788d172c5e8259634dea47b
com.google.cloud	spring-cloud-gcp-security-iap	4.1.0		a0074d786d49e84b3fb8b90f13f2ff9d995c1f08
com.google.cloud	spring-cloud-gcp-security-iap	4.1.1		ac7ba042031b1bda15b706ad6314beb630f49e6d
com.google.cloud	spring-cloud-gcp-security-iap	4.1.2		e371a44cd6429633f093e8e5d8d932bf596afba4
com.google.cloud	spring-cloud-gcp-security-iap	4.1.3		da90beec20e26cec3c382e2d0584a5390756e0d7
com.google.cloud	spring-cloud-gcp-security-iap	4.1.4		eee6bec072942098db9b231fbc22414b6055b4a4
com.google.cloud	spring-cloud-gcp-security-iap	4.10.0		99a79d1ce8167284762449bee001f1e1b9f98f21
com.google.cloud	spring-cloud-gcp-security-iap	4.10.1		852466aa2f2d6406496a874802cad9ab941f3404
com.google.cloud	spring-cloud-gcp-security-iap	4.10.10		5591ec7c8570845ed36949ff740a748dd885dc64
com.google.cloud	spring-cloud-gcp-security-iap	4.10.11		9f841ea78587edc3bb1be956cb9c70bcf1e9a50c
com.google.cloud	spring-cloud-gcp-security-iap	4.10.12		8c298cd2a8fbf198937c55f1db2fc86a9aa8bed9
com.google.cloud	spring-cloud-gcp-security-iap	4.10.13		d18c2aa798d4622c98922e4a41f04476a919cc0f
com.google.cloud	spring-cloud-gcp-security-iap	4.10.14		0e22dfc8eebcb1820e1c98f1fd9cca2be397157a
com.google.cloud	spring-cloud-gcp-security-iap	4.10.15		7035f8c6e05a9d67faa55a5b08f223f0e1a95c13
com.google.cloud	spring-cloud-gcp-security-iap	4.10.16		ee3d1037741e990031f2b850cb962ca86e38d748
com.google.cloud	spring-cloud-gcp-security-iap	4.10.17		8fab5486dcc1d2a84e839179cd724753118c18ab
com.google.cloud	spring-cloud-gcp-security-iap	4.10.18		e1206ece0f0cbd3e74c4c86e2bdf31cbbaf7f035
com.google.cloud	spring-cloud-gcp-security-iap	4.10.19		e8e89ea615f8dd6e0ca002d569135e719a6a3395
com.google.cloud	spring-cloud-gcp-security-iap	4.10.2		a808e9f5e0cbd31c89b1e4b4077bf3d7cf72faf2
com.google.cloud	spring-cloud-gcp-security-iap	4.10.3		0602e2157d7efdedd459fd2f8e1e908f1cfa3edb
com.google.cloud	spring-cloud-gcp-security-iap	4.10.4		0dcfdc851b9390782786d84e31b5800ad678a592
com.google.cloud	spring-cloud-gcp-security-iap	4.10.5		3fca7e38fb7e4412c21380ed941dad8a14782844
com.google.cloud	spring-cloud-gcp-security-iap	4.10.6		ec2b247c7b40051aa46747038e6f4ff22b80d344
com.google.cloud	spring-cloud-gcp-security-iap	4.10.7		ea3ec8a8be60f3e10c2901d8a0a7cfd9266fdff0
com.google.cloud	spring-cloud-gcp-security-iap	4.10.8		d6d622834e53b7b0b0ea3c85e09146bd0ec791c5
com.google.cloud	spring-cloud-gcp-security-iap	4.10.9		3c3d046e23db59b448e1e852c8db799d623bc892
com.google.cloud	spring-cloud-gcp-security-iap	4.11.0		17adf4cf41e1a1b0204516fe88bb5aa7e7651891
