ai.platon	distributed-lock	1.4.2		N/A
cn.sliew	carp-framework-log-realtime	0.0.67		b370bfe6d2557553d88bbd3608b4c8d7e3e84cf1
cn.sliew	carp-framework-log-realtime	0.0.68		3e5231f4ea8bb8c371911f4ff16f73a98b552635
cn.sliew	carp-framework-log-realtime	0.0.69		42695de465ac6761130bc3f16b7dfa34565936e7
cn.sliew	carp-framework-log-realtime	0.0.70		3e72899234949c1961d672079d9ed5600a3656ac
cn.sliew	carp-framework-log-realtime	0.0.71		6addd05894417f96c2ff0c54e3063d4d9d61e10e
cn.sliew	carp-framework-log-realtime	0.0.72		81335071772b7a55d96131a77ac2489afdb69054
cn.sliew	carp-framework-log-realtime	0.0.73		17ed6a0aa7f9beb0b998834a4027a12cb4068cbe
cn.sliew	carp-framework-log-realtime	0.0.74		894ca24c8040dd2276a5d7e332ef01d8b4358147
cn.sliew	carp-framework-log-realtime	0.0.75		32633613d108561e24f462cda9392024cd858660
com.aoapps	ao-concurrent	4.0.0		68d5be29d58ec88febef77b3f121b3dbffc99d86
com.aoapps	ao-concurrent	4.0.1		b7d7c4319bc5601288e0da54e29bf67892b9f577
com.aoapps	ao-concurrent	4.0.2		d9b7ce5301824117e46b71c05be8fe8436e4fb3a
com.aoapps	ao-concurrent	4.0.3		3d0ce24e54076c38bea53d9361f769fcb5262e17
com.aoapps	ao-concurrent	4.0.4		b5de1e722a2dae79fc6344fad13a305c3186b048
com.aoapps	ao-concurrent	4.0.5		7bc811a2d1f9a0edee29d3b8324678e01ed1867b
com.azure	azure-communication-chat	1.0.0		e386233c67063789bdc666e89f76d2b625f2b9a9
com.azure	azure-communication-chat	1.0.0-beta.1		47a281289e46d70750fd0f1345ec207d11e611d1
com.azure	azure-communication-chat	1.0.0-beta.2		1ab13d799848a0d7280a34f381899f4b9cf50214
com.azure	azure-communication-chat	1.0.0-beta.3		1996f24e4372351ba4d083c7d04c64e711811009
com.azure	azure-communication-chat	1.0.0-beta.4		081251316b4c3f2a7fd99e75eacfdd2f958cef93
com.azure	azure-communication-chat	1.0.0-beta.5		6f8acb9c21e8ee1e887d8950b87271d2d67c1935
com.azure	azure-communication-chat	1.0.0-beta.6		e4faf5ad264ae7ad848dd2fcd1eee9621b1ef67d
com.azure	azure-communication-chat	1.0.1		15295a3f3bf4baf203bc1830cfe6cd4c186da88e
com.azure	azure-communication-chat	1.1.0		5a016eccdbb79392f6d8242b238b4efba09790bc
com.azure	azure-communication-chat	1.1.0-beta.1		e592ca2b44978e618add1e7d0f11558a1ab6c85c
com.azure	azure-communication-chat	1.1.0-beta.2		4567d5e160060c95bf7e71997b60d63366f3036b
com.azure	azure-communication-chat	1.1.1		db2b527499037d2a4904f910c784081bd2167acd
com.azure	azure-communication-chat	1.1.2		64603f633004ac2f432f70428e8f553bb54a1cf1
com.azure	azure-communication-chat	1.1.3		70b39b1588732d57ccd69bf29b98e8618ed8a60e
com.azure	azure-communication-chat	1.1.4		ce0f0eb1d2542d3e56144edeff70ab4a2094658b
com.azure	azure-communication-chat	1.2.0		2d8c5bab7e0a034e18d09979eeb4b6b893a60494
com.azure	azure-communication-chat	1.2.1		b78dbf19d729a221647c43d841c86e2a26405ce8
com.azure	azure-communication-chat	1.2.2		ff3530977f201b1760a602dab7d9e1ba399196bf
com.azure	azure-communication-chat	1.2.3		9fc12a24b2c3ea9902cf0555259eba535681daa3
com.azure	azure-communication-chat	1.2.4		9ffdbd53e823aacf094f687caca23767c8a2b001
com.azure	azure-communication-chat	1.3.0		98624635c94107e159d278224811dfed3f05cfab
com.azure	azure-communication-chat	1.3.1		9001101925362430e0cc2bbec79f817db01d0526
com.azure	azure-communication-chat	1.3.10		59ed3424e3e4f3fa027d35d83c8ba941546d59bd
com.azure	azure-communication-chat	1.3.11		d899aeaa213d79ef5fef89082ce3cd9116722b88
com.azure	azure-communication-chat	1.3.12		89a3e2900658ca63f17c1339727729d57179cdd1
com.azure	azure-communication-chat	1.3.13		91bef31c957b82d2b63bba1e11cf47ef08f7f7cb
com.azure	azure-communication-chat	1.3.14		d736959a077efd985ca0058b5bce554a9658cafa
com.azure	azure-communication-chat	1.3.2		e32887c84c78cf16116c5c7f0c86ebc9554ed6ac
com.azure	azure-communication-chat	1.3.3		c49e5e024dc4681cfd1997fe9d843612ba35385e
com.azure	azure-communication-chat	1.3.4		122387dbdba29795702385a7e58115270e628956
com.azure	azure-communication-chat	1.3.5		9128a8626d9caeb301129ec123952c000c6ea8e8
com.azure	azure-communication-chat	1.3.6		f3c336a3762eabd337f017c03ddace77a7ed7b0b
com.azure	azure-communication-chat	1.3.7		359a3bf816c191214f60f4be8cde05474e7182ef
com.azure	azure-communication-chat	1.3.8		1e5e389f2c9cdcdfac92edf04897002fb99b9373
com.azure	azure-communication-chat	1.3.9		7f4a6bf70e5974b0d566787fbd9065b7177d3c7f
com.azure	azure-communication-chat	1.4.0		0c65eb4ebee87928f7836bc7201a54ab70f47f8a
com.azure	azure-communication-chat	1.4.1		3f6db9308ff2fd282f4a01b08444a2465a20aac7
com.azure	azure-communication-chat	1.4.2		3fab27b8b62e6f90ed48be8f8ba0321889b4c4c5
com.azure	azure-communication-chat	1.5.0		728e1aa246ed525066a0ff96958ff1f1715b23ed
com.azure	azure-communication-chat	1.5.1		2d4fcd9c0622f97969588924d3694e63b6aaacaa
com.azure	azure-communication-chat	1.5.2		e9f6d09ebdd89085799f679038031db854cb805d
com.azure	azure-communication-chat	1.5.3		079d7e7dec3a793e83d350cd5b91d2b7aba412fc
com.azure	azure-communication-chat	1.5.4		e17e3279cfb76f74db42866e5dfb319e62c32220
com.azure	azure-communication-chat	1.5.5		f63ff218413da39428884f075767fdda054cc8d1
com.azure	azure-communication-chat	1.5.6		24931b58059f45718de35f8022ecb9952a001912
com.azure	azure-communication-chat	1.5.7		e72e7ed02b0be67de7c1ca34629de9be8c3ca0d4
com.azure	azure-communication-chat	1.5.8		790e8eef94a62a0f183b52e2e2200f1589e404aa
com.azure	azure-communication-chat	1.5.9		00df967a03b36b71b4b8ad0f144c4f22c91ace73
com.blazebit	blaze-job-transaction-spring	1.0.0		94e4e8a6921fe7b831de479efa66ecc6405c0d80
com.blazebit	blaze-job-transaction-spring	1.0.0-Alpha1		cdbe33f966ac1cefd174980410619266488aa2f1
com.blazebit	blaze-job-transaction-spring	1.0.0-Alpha2		e99acf7ce879e616dcbca8e669c445c581f08cb2
com.blazebit	blaze-job-transaction-spring	1.0.0-Alpha3		64a650192e32ea4cb3d332be59154ccafe3c114a
com.blazebit	blaze-job-transaction-spring	1.0.0-Alpha4		21d587045a67acee6fb020a46ba80e62accc1f2c
com.blazebit	blaze-job-transaction-spring	1.0.0-Alpha5		d08c06a0c5198b5c779c6176513b817f536efca9
com.blazebit	blaze-job-transaction-spring	1.0.0-Alpha6		8fa980c0bcaec2e23e43887b5b8ebdd1181b3a30
com.blazebit	blaze-job-transaction-spring	1.0.0-Alpha7		3b70927585b350e6d3ce32a46896f19117ecfcac
com.blazebit	blaze-job-transaction-spring	1.0.0-Alpha8		7c593a4b30ffd7d2947a1dc4dd008d064c805e0d
com.blazebit	blaze-job-transaction-spring	1.0.1		c3cd939f2db64553cddadd5f112a6da7c92de823
com.blazebit	blaze-job-transaction-spring	1.0.2		f826c04cd5091c1a07fa93e82f5e431fabf3aae7
com.boozallen.aissemble	artifacts-maven-plugin	1.10.0		40b042862e1a4b479da521f4f87edb2a42424a19
com.boozallen.aissemble	artifacts-maven-plugin	1.10.0-rc2		331f80d11a17455e01457322d6a2dd6a744844ff
com.boozallen.aissemble	artifacts-maven-plugin	1.11.1		61c1faaa835bcda68ab2450c78c29df2b76862d7
com.boozallen.aissemble	artifacts-maven-plugin	1.12.1		9ce8b37ea70eb80b4c771f425381d749f2fdb57e
com.boozallen.aissemble	artifacts-maven-plugin	1.12.1-rc2		71c5f8defbbb8971aa351c0d65150f86984d052c
com.boozallen.aissemble	artifacts-maven-plugin	1.7.0		b39e2c3744d3e550a99bea2fab68118fa2e15723
com.boozallen.aissemble	artifacts-maven-plugin	1.7.0-rc2		972e8de35236953c3992d5e5b11bd9622e1ca635
com.boozallen.aissemble	artifacts-maven-plugin	1.7.0-rc3		37b0398942aaa785af0d070123e0cd0b9512628f
com.boozallen.aissemble	artifacts-maven-plugin	1.7.0-rc4		e751503ff08f7ff50037d965b167ed904bd47375
com.boozallen.aissemble	artifacts-maven-plugin	1.8.0		9955066e98ee1427961cc2f6f4be4531cc33f45b
com.boozallen.aissemble	artifacts-maven-plugin	1.8.0-rc6		5b1e03c20a08432b36256a96dd0c3f7f1097d94b
com.boozallen.aissemble	artifacts-maven-plugin	1.8.0-rc8		e47b54c27aa08ca43089b5ea995d630800bccdf7
com.boozallen.aissemble	artifacts-maven-plugin	1.8.1		8bab104c3a86f5c385853f491c6c265f0c28047e
com.boozallen.aissemble	artifacts-maven-plugin	1.8.1-rc2		6bca1ad8fe186fc6583a76b0af8c59d9fa035c97
com.boozallen.aissemble	artifacts-maven-plugin	1.8.2		9df8eb9bd49ccaed2480c3cabc20d10f5ef68fec
com.boozallen.aissemble	artifacts-maven-plugin	1.9.0-rc1		e109fae38ebdb1abab3bc517836dd9fcc97373b4
com.boozallen.aissemble	artifacts-maven-plugin	1.9.0-rc2		b6dab7f913e4174fad110e3e502e2344f1a8bc53
com.boozallen.aissemble	artifacts-maven-plugin	1.9.1		af1d654a6dde4c6861e8adc6b2588087a0045a50
com.boozallen.aissemble	artifacts-maven-plugin	1.9.2		f4be27adaf5a4f0c8222cd5275ea421bfc4b0543
com.boozallen.aissemble	artifacts-maven-plugin	1.9.3		f527b5151f7f9ffa3813a7485a5a21bc68182ce9
com.boozallen.aissemble	artifacts-maven-plugin	1.9.4		cbbbd9076ef8b863a33e1634c81681a8db88bc10
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.3.0		N/A
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.4.0		N/A
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.4.1		1fe687dacab0e6db10dd8bfe25a76b787c2893da
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.4.2		0130135decbddebc8ef8e78674b5881a8dc30606
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.4.3		dd750fbbdb9e53756e2e49af32eeb15e4e9cecb6
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.4.4		a03d6dcce41f3eac1ac01a5e8d0a333621f567f2
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.5.0		89ec1185c1b0126277f09d1e587e405dfbf849df
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.5.1		57569651a555a668db67fe85a955dde1de655d36
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.5.2		77aa7c47de6c9286faae5e0ec3647901514c8eb7
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.5.3		06b111747b22560ac555ea3a33dd86bd4a6fde9f
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.5.4		c8992c771e516729a19ea5d88d0edde65e929a6d
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.5.5		c8992c771e516729a19ea5d88d0edde65e929a6d
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.5.6		7d704e00ed3f0441405706602234ae8fbff26970
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.5.7		8e0f4262650b0ed428002e1e4ce6872e4d0b32fd
com.ensarsarajcic.kotlinx	serialization-msgpack-timestamp-extension-jvm	0.6.0		7d704e00ed3f0441405706602234ae8fbff26970
com.github.adedayo.eclipse.sdk	org.eclipse.jdt.launching.macosx	3.3.0		64047ca9f630c97ca687385c5422f7aa1e29a169
com.google.cloud.spark	spark-bigquery-scala-212-support	0.27.0		77ec158e4b5680026205b7ff129dd2537f6fab38
com.google.cloud.spark	spark-bigquery-scala-212-support	0.27.1		020535de21685765f38f3abdbe0222088d09c1f4
com.google.cloud.spark	spark-bigquery-scala-212-support	0.28.0		51074fadbff5b3c4f81a57209ce7e845e7b6a765
com.google.cloud.spark	spark-bigquery-scala-212-support	0.28.1		acf3b812e8a4ff38b51df71b68a231bca02e28bb
com.google.cloud.spark	spark-bigquery-scala-212-support	0.29.0		de4c96c3036061f5e5c15ea453c46d431eef2d5d
com.google.cloud.spark	spark-bigquery-scala-212-support	0.30.0		977d96289a34a1ecf85b4e12feb0bb89e548ebaa
com.google.cloud.spark	spark-bigquery-scala-212-support	0.31.0		058653c0b0ed6c6b4beccc2c8571b12098370540
com.google.cloud.spark	spark-bigquery-scala-212-support	0.31.1		2e358875bf4ae6cafbc275fe5392e738503166ac
com.google.cloud.spark	spark-bigquery-scala-212-support	0.32.0		ba9ba420e8a7b72bd2a73f77c688bfe116ac7a91
com.google.cloud.spark	spark-bigquery-scala-212-support	0.32.1		30ad1d75839f4705d9171d6bee1e0c60b0306e68
com.google.cloud.spark	spark-bigquery-scala-212-support	0.32.2		517f849f5cf52ba24cc696deb14ccc115b8b2c0f
com.google.cloud.spark	spark-bigquery-scala-212-support	0.33.0		3758af2d1e44cc0ca31d855566ff4f8be1fcd5ab
com.google.cloud.spark	spark-bigquery-scala-212-support	0.34.0		742bb8f645186e557d749f36a0fdf1ae65bc7de8
com.google.cloud.spark	spark-bigquery-scala-212-support	0.34.1		18f79329603bb884cbda945876afce441db9659c
com.google.cloud.spark	spark-bigquery-scala-212-support	0.35.0		511cf7bf550037e531265ba7b8f85d9f2efd09a3
com.google.cloud.spark	spark-bigquery-scala-212-support	0.35.1		43c48c2705f8ea070cdac3b3392cbef163ee5256
com.google.cloud.spark	spark-bigquery-scala-212-support	0.36.0		b164ffce4da7e97d52dcb81018ccc8d0a04ff94c
com.google.cloud.spark	spark-bigquery-scala-212-support	0.36.1		efe09d0cf585bd128edefc1634d15f71b1db462f
com.google.cloud.spark	spark-bigquery-scala-212-support	0.36.2		94e4b0857eb59c9d66c3b21c862e9098ef8b47eb
com.google.cloud.spark	spark-bigquery-scala-212-support	0.36.3		0f6d1f65b96ba78da4ef4bb0eb587025c0be9345
com.google.cloud.spark	spark-bigquery-scala-212-support	0.36.4		0a36150b2746244719f2dc55ed38bdfd09e5bc61
com.google.cloud.spark	spark-bigquery-scala-212-support	0.36.5		3e1d310f23d2de21cb2f49d713d0e74a3957ec94
com.google.cloud.spark	spark-bigquery-scala-212-support	0.37.0		df2d5c3afa57651544a9fcce93b69b3edc196a18
com.google.cloud.spark	spark-bigquery-scala-212-support	0.38.0		d925e7cb57e34a5515d4105c7d4b56dca98fc697
com.google.cloud.spark	spark-bigquery-scala-212-support	0.39.0		f59497a7544fe96c029dfd8d08dadb42c99586a6
com.google.cloud.spark	spark-bigquery-scala-212-support	0.39.1		5290f30fa696f707fda96bb3b72d86bda52eab1d
com.google.cloud.spark	spark-bigquery-scala-212-support	0.40.0		badb6ab81a4086335d3834823cad2f626fe4fc3e
com.google.cloud.spark	spark-bigquery-scala-212-support	0.41.0		76d95732559f6e48699d78dfb9c9a63266857c12
com.google.cloud.spark	spark-bigquery-scala-212-support	0.41.1		0e2212e5f70f46e3fd577d537eeaced8ca765649
com.google.cloud.spark	spark-bigquery-scala-212-support	0.42.0		ce98a9dcf459cee01e834485c7acce4f2d08531d
com.google.cloud.spark	spark-bigquery-scala-212-support	0.42.1		f188c5f27a6aff22ee8e4183cd65879606bbdf76
com.imsweb	validation-edits-naaccr-translated	001-01		1bd0bffb9e018e39ca0bbe70eb9ab048591627c0
com.imsweb	validation-edits-naaccr-translated	002-01		8af879ff5311674fc1d3a36a4efcf0bd24f680fb
com.imsweb	validation-edits-naaccr-translated	002-02		d3cfe1ee69d08d79d343aee5e3caa6b726f07f0c
com.imsweb	validation-edits-naaccr-translated	003-01		b38c3c181fc86814dddc24fc72261046c17284fa
com.imsweb	validation-edits-naaccr-translated	004-01		c49258d3512df38813f73641ca3e7fcc8c44c65c
com.imsweb	validation-edits-naaccr-translated	004-02		96868e18a62df35c5178c77926c58d63e11e36b6
com.imsweb	validation-edits-naaccr-translated	004-03		2cb5aed7248c3e48a76ebbc104f7768468690bf3
com.imsweb	validation-edits-naaccr-translated	004-04		00ba109589fe62f6f1d6ab782ce15bf4a805c922
com.imsweb	validation-edits-naaccr-translated	005-01		41a0657f128de851029e03ad286734e55d171a4a
com.imsweb	validation-edits-naaccr-translated	006-01		0e0f321d0a068cd2c7babd39503de520560feced
com.imsweb	validation-edits-naaccr-translated	006-02		e5b9399f740ca98827fe98b8aa3cb17b8e2489d8
com.imsweb	validation-edits-naaccr-translated	006-03		adab011e69a2eb1cab793b9d78b537f61dac9da0
com.imsweb	validation-edits-naaccr-translated	006-04		c6f7265b2231c4b0b04e9df781780d9428b764b2
com.imsweb	validation-edits-naaccr-translated	006-05		5ea5c2d117839e3783c1607f67152a163a20f228
com.imsweb	validation-edits-naaccr-translated	007-01		e46cc9267b4ef3897ecba1839d538b626653f2d0
com.imsweb	validation-edits-naaccr-translated	008-01		50bcedf1149d191b3952cbff8795c2193d0bed6a
com.imsweb	validation-edits-naaccr-translated	008-02		b0909e36197cb45b972167baf6c800b24907e6af
com.imsweb	validation-edits-naaccr-translated	009-01		640e2fc9f2894c8950f03284b5b484538a3338f9
com.imsweb	validation-edits-naaccr-translated	010-01		eca67e8fd70f723d0a00ea5a18c2c10f390748e2
com.imsweb	validation-edits-naaccr-translated	011-01		6ed42f9d0bfa6c54a025d387887308fee3584b38
com.imsweb	validation-edits-naaccr-translated	012-01		a900e8d082f9e5e2bf8baed4290732805e432a08
com.imsweb	validation-edits-naaccr-translated	013-01		73ed819412a7031253ec5d184b979295b9e363eb
com.imsweb	validation-edits-naaccr-translated	014-01		6f679bc4a01e2a3c42e2cd0afef8d07f9eee22e9
com.imsweb	validation-edits-naaccr-translated	015-01		59cf39562299776408c1ca8fa4b19a552e8118ff
com.imsweb	validation-edits-naaccr-translated	016-01		fd3e06e3951b2fc633ca5dfb6bca15dabc9ebc77
com.imsweb	validation-edits-naaccr-translated	017-01		2ce5d827509da4016cde965cddfff35799438396
com.imsweb	validation-edits-naaccr-translated	018-01		88a68058c81a2ef625ead59f1442fff92c59a77d
com.imsweb	validation-edits-naaccr-translated	019-01		90f6987f53380eca0bfbbe726585704551a9c0b9
com.imsweb	validation-edits-naaccr-translated	020-01		7aeba0a5a416ae59f6b174bb1b636ea1b402f48c
com.imsweb	validation-edits-naaccr-translated	021-01		72b485e5218e6a2369faad6415c48eefc609d20d
com.imsweb	validation-edits-naaccr-translated	022-01		acc1941a17fcf417ad5a4a71bb00b5bcc76cdc78
com.kuquwu	canal-example	1.2.7		0ffe637939ef063f9c4b3282ac5d7332d1b81c2a
com.linked-planet.client	kotlin-http-client-ktor	0.10.0		776758c0ce94744d249b08e8e9797ecfefac78f0
com.linked-planet.client	kotlin-http-client-ktor	0.10.1		6a37757b05c1c0f65adb9a011b0076993dcc7169
com.linked-planet.client	kotlin-http-client-ktor	0.11.0		7c9aa44e8867a9a5d4e37ca69f11f920aac372b7
com.linked-planet.client	kotlin-http-client-ktor	0.11.1		8ce33434bcd201d73ea2d4fc4ed0572f8f55d0f8
com.linked-planet.client	kotlin-http-client-ktor	0.12.0		a1d2d0849b8c8a2d6ed9465e01f8c28124e82fc9
com.linked-planet.client	kotlin-http-client-ktor	0.12.2		015c18681baecd66f227a6f28a622acf69099fac
com.linked-planet.client	kotlin-http-client-ktor	0.12.3		97ab2ad716751b508a2efe8b833478c10c8461d5
com.linked-planet.client	kotlin-http-client-ktor	0.12.4		827889652b1a5c96de78a360bece90dc69d78d63
com.linked-planet.client	kotlin-http-client-ktor	0.12.5		3a31e93b88ec0036fdce3c8f3fb6bd5c0ab2aa52
com.linked-planet.client	kotlin-http-client-ktor	0.12.6		eb28a064b617ed6263200e38511da2440754f582
com.linked-planet.client	kotlin-http-client-ktor	0.12.7		3dd97b146c01239beebce0812082caf57c792218
com.linked-planet.client	kotlin-http-client-ktor	0.12.8		01ff0a66b982fb5239d056a981c854a42d348457
com.linked-planet.client	kotlin-http-client-ktor	0.12.9		8cfbe674bb18c2c297ec939829c8aafd40b576e5
com.linked-planet.client	kotlin-http-client-ktor	0.13.00		b40e412b2476171de2f4ac72e694eef3e6e78475
com.linked-planet.client	kotlin-http-client-ktor	0.13.1		8f93709c5d4cb3c3d723bce0769345045295c9f5
com.linked-planet.client	kotlin-http-client-ktor	0.13.10		b6cf54a569bdf32da2334077f18f4a85c41ce801
com.linked-planet.client	kotlin-http-client-ktor	0.13.11		4696b553db333c827c9b753112dffc001de62d8e
com.linked-planet.client	kotlin-http-client-ktor	0.13.12		9d9fe02c4080884d224630d5a78a48b8fe683c89
com.linked-planet.client	kotlin-http-client-ktor	0.13.2		711731f9fbf25fdad4d13b3b7cfde8ad602f8de1
com.linked-planet.client	kotlin-http-client-ktor	0.13.20		6a872c3eec6c6a544e7bd6b113a10ca1fddf4337
com.linked-planet.client	kotlin-http-client-ktor	0.13.3		138cd7f05d6dc378ed1c5598e15932c424da1506
com.linked-planet.client	kotlin-http-client-ktor	0.13.4		2ccec100bb05bb1989a6b5c3efe9f6899bfd0fa9
com.linked-planet.client	kotlin-http-client-ktor	0.13.5		4cab771cad276021a998453e35a2500a098fdd6b
com.linked-planet.client	kotlin-http-client-ktor	0.13.6		4f5d580b8e3305d45db2feac4b1a22ce68522435
com.linked-planet.client	kotlin-http-client-ktor	0.13.7		3754fba67b4ed59924508e098d3285d4f9268535
com.linked-planet.client	kotlin-http-client-ktor	0.13.9		b36b105691b4026f1e78f00be43fba5668dc28ed
com.linked-planet.client	kotlin-http-client-ktor	0.14.0		230076ae4a6074184e9b0c41aca3db88f8e30e01
com.linked-planet.client	kotlin-http-client-ktor	0.14.1		7d737b3b1847e086920c6ff2f68612cc3f127db4
com.linked-planet.client	kotlin-http-client-ktor	0.14.10		3039dad73a583c799967e27d859c0f79cec58330
com.linked-planet.client	kotlin-http-client-ktor	0.14.11		f01f6ee5a435a29a73ebb36de59ba2b47f59cc90
com.linked-planet.client	kotlin-http-client-ktor	0.14.2		30754e99b114b0ded2605b2e950b442b1fdbc94d
com.linked-planet.client	kotlin-http-client-ktor	0.14.3		e9f2bd35920149ed2848bd3de513ef8a2729b039
com.linked-planet.client	kotlin-http-client-ktor	0.14.5		5c76527c183babbf8e1a5f7470764c4553d54a8c
com.linked-planet.client	kotlin-http-client-ktor	0.14.6		2c87a9cf9b3c1f0afef5310c61dc850e16229936
com.linked-planet.client	kotlin-http-client-ktor	0.14.7		4d4c35d8d8f57b2ad8b178a3df39bf399b07f7fc
com.linked-planet.client	kotlin-http-client-ktor	0.14.8		8319d8075e2e7fab9de1d188491f99da54d30ec0
com.linked-planet.client	kotlin-http-client-ktor	0.14.9		3db481e44f41e82d70c40fc7befccfbed3219f30
com.linked-planet.client	kotlin-http-client-ktor	0.9.0		398ff54f91eb393476bfe20e4ebfc9240dffdd87
com.linked-planet.client	kotlin-http-client-ktor	0.9.1		a68ea3f0957880c7eb20177e44d677f8c36b6c26
com.linked-planet.client	kotlin-http-client-ktor	0.9.2		a83866bd81319799c743a7ddc12538d80cf6f7a0
com.mastercard.pbba	merchant-sdk	3.0.0		N/A
com.mastercard.pbba	merchant-sdk	3.1.0		N/A
com.mastercard.pbba	merchant-sdk	3.1.1		N/A
com.mastercard.pbba	merchant-sdk	3.1.2		N/A
com.mastercard.pbba	merchant-sdk	4.0.0		N/A
com.mastercard.pbba	merchant-sdk	4.0.1		N/A
com.mobius-software.mqttsn	mqttsn-runner	1.0.0		8cff626b7412bf58cd2c3695170139e809dfa90b
com.morethanheroic	java-task-force-sample-warcparser	1.0.0		e49af0537fe8a624f8a76724ff641934162dc8f3
com.rpiaggio	discipline-munit_2.12	0.0.1		07c384df068e349ffad75bbc048080a9f3f91e5c
com.rpiaggio	discipline-munit_2.12	0.1.0		b8589dda02ebb881939ebf966ace6585ecaf4b95
