au.net.causal.shoelaces	shoelaces-selenium-integration-tests-common	2.0		N/A
com.asayama.gwt.angular	gwt-angular-ngSanitize	0.2.0		4cfbd1fd124861ab25305c8daff12cef01dd008d
com.asayama.gwt.angular	gwt-angular-ngSanitize	0.2.1		30dc1425b639941d5ba8ba70de324785ab1ffff7
com.asayama.gwt.angular	gwt-angular-ngSanitize	0.2.2		9dd63be259747a1ad22714f1294eb3203d2a052a
com.asayama.gwt.angular	gwt-angular-ngSanitize	0.2.3		68347539a36b411e4197aeb222697f3fc9526ae7
com.asayama.gwt.angular	gwt-angular-ngSanitize	0.2.4		b08022362d26527118ec7d600012aa6c7e9855cc
com.bayo-code	kphonenumber	0.10.0		1940a30d176731b37dce9281f169afe33dcd52fd
com.bayo-code	kphonenumber	0.9.0		97c812f4daa7260ce24af7e4e2147c655c78a727
com.bluecirclesoft.open	json-interface-generator-annotations	0.21		8b8decf5d40a79773657f2c878895e1d3b0a9b9d
com.bluecirclesoft.open	json-interface-generator-annotations	0.22		4560916531935e0a257080b2415793026acd068b
com.bluecirclesoft.open	json-interface-generator-annotations	0.23		20a741284a0125b1bf0fd937a7178dd39a20b0f3
com.bluecirclesoft.open	json-interface-generator-annotations	0.24		1dbbf1bd4a6ea00036840aa39d4b27e383869286
com.bluecirclesoft.open	json-interface-generator-annotations	0.25		073da371bcdc5103dd0b90dced9a5ed2e7562acb
com.bluecirclesoft.open	json-interface-generator-annotations	0.27		7709ba1be26c106390a7a38177909f9869755dfc
com.bluecirclesoft.open	json-interface-generator-annotations	0.28		f852fe5a42e21b6f6313ea5deb3845735d862518
com.bluecirclesoft.open	json-interface-generator-annotations	0.30		0e6943f4a7ae46c7b4f27cf5398296e2c71a458a
com.bluecirclesoft.open	json-interface-generator-annotations	1.0		24c233b0a89f6487216f48b9f7c7e7ca7029b87a
com.bluecirclesoft.open	json-interface-generator-annotations	1.1		200ff610d113aee85c02a29bf236a310148aa7a4
com.bluecirclesoft.open	json-interface-generator-annotations	1.2		303a68e97bdae041f6f248572976bfdb79581cf2
com.bluecirclesoft.open	json-interface-generator-annotations	1.3		48ae44017be1f9f99f96ce19cc1a54f44c7f401a
com.citcon.sdk	drop-in	1.0.1		N/A
com.datamountaineer	kafka-connect-mqtt	0.3.0		d2c141ec832efc9bf97aa8816bc56b3ef106f36b
com.datamountaineer	kafka-connect-mqtt	0.3.0	scaladoc	4107c3b36a996e0be8ed6b8ed41179e8911a37ba
com.datamountaineer	kafka-connect-mqtt	0.4.0		93c2394c25f19ad29d003b8727db8297dfb090ac
com.datamountaineer	kafka-connect-mqtt	0.4.0	scaladoc	10c880bca88699b58d5590cb248d41c3e3737641
com.datamountaineer	kafka-connect-mqtt	1.0.0		78f5813a4d606f3be97b657e5843ff8b60a696d1
com.datamountaineer	kafka-connect-mqtt	1.0.0	scaladoc	8286b555456e4e51588b5921b870c1c6cf623580
com.datamountaineer	kafka-connect-mqtt	1.1.0		93d771527c85edb3fd3dfeb3b0b74d343727a129
com.datamountaineer	kafka-connect-mqtt	1.1.0	scaladoc	7d31a3f0bf6ba804ca3d746587ceccf93d2bd0a0
com.datamountaineer	kafka-connect-mqtt	1.2.0		a5610ec1d96851802ff29fff8080c7865dca8737
com.datamountaineer	kafka-connect-mqtt	1.2.0	scaladoc	3179a85af3488e169d7cf72db978301a02394f47
com.entopix	maui	1.3.0		c09c472666ed6bd340621bf9cf8757bf53d9ea2e
com.eventsourcing	eventsourcing-postgresql	0.4.0		dfa21d8f44a3e6b4d38cb7b3ea3610b168193449
com.eventsourcing	eventsourcing-postgresql	0.4.1		46ca9247612c9ad6cc70e6b67d1678a518ec098e
com.eventsourcing	eventsourcing-postgresql	0.4.2		6c2d5697809ee30ad6a71b72323e671f7676d0d2
com.eventsourcing	eventsourcing-postgresql	0.4.3		7fb1dc4f0236f4a9a964c0f63113de477483df9a
com.eventsourcing	eventsourcing-postgresql	0.4.4		d4f8b7a84984c17b5cf535c10bf2a291833a10e1
com.eventsourcing	eventsourcing-postgresql	0.4.5		2f68c4efa1daf4086b150116df66a60f9ca81ec7
com.eventsourcing	eventsourcing-postgresql	0.4.6		46a0ec59f602320a2e1bb80df85822fe0f538098
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.1.0		173daaf8ba42ba2836f58ea69ad4ec6a35d86070
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.1.1		a4a8b54cc54d36050f90db17d4abf16343308f5c
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.1.3		aa8b7e9665109d95468f22b0a0b579b24f85c6d3
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.1.4		a7fb0a6dbdcc41560802a6253d51716b591c51ef
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.1.5		49b305bbe7fa9ba4f3295155411cbbca09bf4a0e
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.1.6		333f9b4b4b9fc94f892d34415c15bbdfae670054
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.1.7		c5fd229d8db9544a4cf64e88287c98705bd10c3a
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.1.8		6b12ebe8d8f96009bb35b23ef659b62e72d9fafb
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.2.0		adc8b29f34bbece18ac5e4030c483b6aff5bbba9
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.2.1		2de9634027c72b3ff2195a012e8e98c109e78093
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.2.3		21f313efc73e98c1d71a7e00e98418b876220fe1
com.github.j5ik2o	reactive-aws-s3-cats_2.12	1.2.6		2645fda93b5b0d4c60327982ca510e5a76ca4d72
com.github.jackpanz	ueditor	1.0.0		82eeb430b8ce6e75c4020c7fc658fe58c9c6c6e0
com.github.livesense	org.liveSense.framework.wro4j	1.0.3		483c92287cf1d81864d5e56599dd122d5a918dce
com.github.livesense	org.liveSense.framework.wro4j	1.0.4		a782700b0cdad452cb5ed36db97f8cca4e25cf0a
com.github.livesense	org.liveSense.framework.wro4j	1.0.5		4609de7ff3cbf6e2e818aa9626c1a2d2e4b6b57f
com.github.tototoshi	slick-joda-mapper_2.10	0.1.0		e4eeb391356a75d1eabaacb7074ea91b72234d3b
com.github.tototoshi	slick-joda-mapper_2.10	0.2.0		2a8fc2d298e32df774bcec0856849d034a8303c5
com.github.tototoshi	slick-joda-mapper_2.10	0.2.1		55251f3fee16fffc6a8c7ae7f00ce69c6e11dfba
com.github.tototoshi	slick-joda-mapper_2.10	0.3.0		8dea5cc10275483031afb4933533606f6f6a3c57
com.github.tototoshi	slick-joda-mapper_2.10	0.4.0		713eabf478202dc63c17bdf50534bec9bca29ce9
com.github.tototoshi	slick-joda-mapper_2.10	0.4.1		e370b98f8bcb8ccd002092c63e8932c2adb80327
com.github.tototoshi	slick-joda-mapper_2.10	1.0.0		9ac524e2d6cbb7676c54a7b0853da3788ad16236
com.github.tototoshi	slick-joda-mapper_2.10	1.0.1		b9a5c25cefbd569b2b40f4fd56c0efe5146346ea
com.github.tototoshi	slick-joda-mapper_2.10	1.1.0		259b60c184c34f4d70ec706f727e84ec954a343e
com.github.tototoshi	slick-joda-mapper_2.10	1.2.0		234b621bf5471da51bb13b66265741dbcc1de817
com.github.tototoshi	slick-joda-mapper_2.10	2.0.0		ba1ea5acb5c6d3d529898013f5e87409e11166e0
com.github.tototoshi	slick-joda-mapper_2.10	2.1.0		571982b2f7c32c1d773048853cd17969ceec111e
com.github.tototoshi	slick-joda-mapper_2.10	2.2.0		f11cb2e1e1e798204cf7f74917329aa4c2a03003
com.github.xuwei-k	scala-reflect	2.13.3-bin-1b74dc4		cd8a8ac4d489b78fcf49951bb7f3c48f0a1e21b6
com.github.xuwei-k	scala-reflect	2.13.3-bin-1ca7d14		6a695624f6dd4db2bccbff34ccc0f991b9b47e5a
com.github.xuwei-k	scala-reflect	2.13.3-bin-38cb20f		86cfa2882e93d339649fb85aff9a6036740fb14b
com.github.xuwei-k	scala-reflect	2.13.3-bin-551ac60		184b5ce3e7160ab2dfd2ff1d0d691763341d77aa
com.github.xuwei-k	scala-reflect	2.13.3-bin-5a23b96		71d7f2cf464cc81309a310785254eb81f397d5bd
com.github.xuwei-k	scala-reflect	2.13.3-bin-610261f		a545dfa870cd36f65e6ac12e099b688be60053f8
com.github.xuwei-k	scala-reflect	2.13.3-bin-9be7dc5		3ad1fbb1f5a3c6922b3bd1741f77ce48d37fafe0
com.github.xuwei-k	scala-reflect	2.13.3-bin-b3f893f		ee0418cadcd0088de8b7acb825deb1e9b9fc4e5d
com.github.xuwei-k	scala-reflect	2.13.3-bin-d7a7a2f		8ab42a9cde53af137997c3a8395f54d8fc905dd4
com.github.xuwei-k	scala-reflect	2.13.3-bin-e832e2a		0e5c3cc1567dc6d6144acff804f46f742e5672bd
com.google.cloud	google-cloud-build-parent	0.1.0		N/A
com.google.cloud	google-cloud-build-parent	0.1.1		N/A
com.google.cloud	google-cloud-build-parent	1.0.0		N/A
com.google.cloud	google-cloud-build-parent	1.0.1		N/A
com.google.cloud	google-cloud-build-parent	1.0.2		N/A
com.google.cloud	google-cloud-build-parent	1.0.3		N/A
com.google.cloud	google-cloud-build-parent	1.1.0		N/A
com.google.cloud	google-cloud-build-parent	1.1.1		N/A
com.google.cloud	google-cloud-build-parent	2.0.0		N/A
com.google.cloud	google-cloud-build-parent	2.0.1		N/A
com.google.cloud	google-cloud-build-parent	2.1.0		N/A
com.google.cloud	google-cloud-build-parent	2.1.1		N/A
com.google.cloud	google-cloud-build-parent	2.1.10		N/A
com.google.cloud	google-cloud-build-parent	2.1.11		N/A
com.google.cloud	google-cloud-build-parent	2.1.2		N/A
com.google.cloud	google-cloud-build-parent	2.1.3		N/A
com.google.cloud	google-cloud-build-parent	2.1.4		N/A
com.google.cloud	google-cloud-build-parent	2.1.6		N/A
com.google.cloud	google-cloud-build-parent	2.1.7		N/A
com.google.cloud	google-cloud-build-parent	2.1.9		N/A
com.google.cloud	google-cloud-build-parent	2.2.0		N/A
com.google.cloud	google-cloud-build-parent	2.2.1		N/A
com.google.cloud	google-cloud-build-parent	2.2.2		N/A
com.google.cloud	google-cloud-build-parent	2.3.0		N/A
com.google.cloud	google-cloud-build-parent	2.3.1		N/A
com.google.cloud	google-cloud-build-parent	2.4.0		N/A
com.google.cloud	google-cloud-build-parent	2.5.0		N/A
com.google.cloud	google-cloud-build-parent	2.6.0		N/A
com.google.cloud	google-cloud-build-parent	2.6.1		N/A
com.google.cloud	google-cloud-build-parent	2.6.2		N/A
com.google.cloud	google-cloud-build-parent	2.6.3		N/A
com.google.cloud	google-cloud-build-parent	2.6.4		N/A
com.google.cloud	google-cloud-build-parent	2.7.0		N/A
com.google.cloud	google-cloud-build-parent	3.0.0		N/A
com.google.cloud	google-cloud-build-parent	3.0.1		N/A
com.google.cloud	google-cloud-build-parent	3.1.0		N/A
com.google.cloud	google-cloud-build-parent	3.10.0		N/A
com.google.cloud	google-cloud-build-parent	3.11.0		N/A
com.google.cloud	google-cloud-build-parent	3.12.0		N/A
com.google.cloud	google-cloud-build-parent	3.13.0		N/A
com.google.cloud	google-cloud-build-parent	3.14.0		N/A
com.google.cloud	google-cloud-build-parent	3.15.0		N/A
com.google.cloud	google-cloud-build-parent	3.16.0		N/A
com.google.cloud	google-cloud-build-parent	3.17.0		N/A
com.google.cloud	google-cloud-build-parent	3.18.0		N/A
com.google.cloud	google-cloud-build-parent	3.19.0		N/A
com.google.cloud	google-cloud-build-parent	3.2.0		N/A
com.google.cloud	google-cloud-build-parent	3.20.0		N/A
com.google.cloud	google-cloud-build-parent	3.21.0		N/A
com.google.cloud	google-cloud-build-parent	3.22.0		N/A
com.google.cloud	google-cloud-build-parent	3.23.0		N/A
com.google.cloud	google-cloud-build-parent	3.24.0		N/A
com.google.cloud	google-cloud-build-parent	3.25.0		N/A
com.google.cloud	google-cloud-build-parent	3.26.0		N/A
com.google.cloud	google-cloud-build-parent	3.29.0		N/A
com.google.cloud	google-cloud-build-parent	3.3.0		N/A
com.google.cloud	google-cloud-build-parent	3.3.1		N/A
com.google.cloud	google-cloud-build-parent	3.3.10		N/A
com.google.cloud	google-cloud-build-parent	3.3.11		N/A
com.google.cloud	google-cloud-build-parent	3.3.12		N/A
com.google.cloud	google-cloud-build-parent	3.3.13		N/A
com.google.cloud	google-cloud-build-parent	3.3.2		N/A
com.google.cloud	google-cloud-build-parent	3.3.3		N/A
com.google.cloud	google-cloud-build-parent	3.3.4		N/A
com.google.cloud	google-cloud-build-parent	3.3.5		N/A
com.google.cloud	google-cloud-build-parent	3.3.6		N/A
com.google.cloud	google-cloud-build-parent	3.3.7		N/A
com.google.cloud	google-cloud-build-parent	3.3.8		N/A
com.google.cloud	google-cloud-build-parent	3.3.9		N/A
com.google.cloud	google-cloud-build-parent	3.30.0		N/A
com.google.cloud	google-cloud-build-parent	3.31.0		N/A
com.google.cloud	google-cloud-build-parent	3.32.0		N/A
com.google.cloud	google-cloud-build-parent	3.33.0		N/A
com.google.cloud	google-cloud-build-parent	3.34.0		N/A
com.google.cloud	google-cloud-build-parent	3.35.0		N/A
com.google.cloud	google-cloud-build-parent	3.36.0		N/A
com.google.cloud	google-cloud-build-parent	3.37.0		N/A
com.google.cloud	google-cloud-build-parent	3.38.0		N/A
com.google.cloud	google-cloud-build-parent	3.39.0		N/A
com.google.cloud	google-cloud-build-parent	3.4.0		N/A
com.google.cloud	google-cloud-build-parent	3.4.1		N/A
com.google.cloud	google-cloud-build-parent	3.40.0		N/A
com.google.cloud	google-cloud-build-parent	3.41.0		N/A
com.google.cloud	google-cloud-build-parent	3.42.0		N/A
com.google.cloud	google-cloud-build-parent	3.43.0		N/A
com.google.cloud	google-cloud-build-parent	3.44.0		N/A
com.google.cloud	google-cloud-build-parent	3.45.0		N/A
com.google.cloud	google-cloud-build-parent	3.46.0		N/A
com.google.cloud	google-cloud-build-parent	3.47.0		N/A
com.google.cloud	google-cloud-build-parent	3.48.0		N/A
com.google.cloud	google-cloud-build-parent	3.49.0		N/A
com.google.cloud	google-cloud-build-parent	3.5.0		N/A
com.google.cloud	google-cloud-build-parent	3.5.1		N/A
com.google.cloud	google-cloud-build-parent	3.5.2		N/A
com.google.cloud	google-cloud-build-parent	3.5.3		N/A
com.google.cloud	google-cloud-build-parent	3.5.4		N/A
com.google.cloud	google-cloud-build-parent	3.5.5		N/A
com.google.cloud	google-cloud-build-parent	3.5.6		N/A
com.google.cloud	google-cloud-build-parent	3.50.0		N/A
com.google.cloud	google-cloud-build-parent	3.51.0		N/A
com.google.cloud	google-cloud-build-parent	3.53.0		N/A
com.google.cloud	google-cloud-build-parent	3.54.0		N/A
com.google.cloud	google-cloud-build-parent	3.55.0		N/A
com.google.cloud	google-cloud-build-parent	3.56.0		N/A
com.google.cloud	google-cloud-build-parent	3.57.0		N/A
com.google.cloud	google-cloud-build-parent	3.58.0		N/A
com.google.cloud	google-cloud-build-parent	3.59.0		N/A
com.google.cloud	google-cloud-build-parent	3.6.0		N/A
com.google.cloud	google-cloud-build-parent	3.60.0		N/A
com.google.cloud	google-cloud-build-parent	3.61.0		N/A
com.google.cloud	google-cloud-build-parent	3.62.0		N/A
com.google.cloud	google-cloud-build-parent	3.63.0		N/A
com.google.cloud	google-cloud-build-parent	3.7.0		N/A
com.google.cloud	google-cloud-build-parent	3.8.0		N/A
com.google.cloud	google-cloud-build-parent	3.9.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	0.1.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.0.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.0.1		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.0.10		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.0.11		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.0.2		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.0.3		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.0.5		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.0.7		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.1.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.1.1		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.1.2		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.1.3		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.1.4		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.1.5		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.2.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.2.1		N/A
com.google.cloud	google-cloud-orgpolicy-parent	1.2.2		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.1		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.10		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.2		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.3		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.4		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.5		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.6		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.7		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.8		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.0.9		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.1.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.1.1		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.1.2		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.10.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.11.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.12.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.13.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.14.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.15.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.16.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.17.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.18.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.19.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.2.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.2.1		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.20.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.21.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.22.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.23.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.24.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.27.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.28.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.29.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.3.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.3.2		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.3.3		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.3.4		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.3.5		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.3.6		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.30.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.31.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.32.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.33.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.34.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.35.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.36.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.37.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.38.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.39.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.4.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.40.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.41.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.42.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.43.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.44.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.45.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.46.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.47.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.48.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.49.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.5.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.51.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.52.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.53.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.54.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.55.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.56.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.57.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.58.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.59.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.6.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.60.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.61.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.7.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.8.0		N/A
com.google.cloud	google-cloud-orgpolicy-parent	2.9.0		N/A
com.jslsolucoes	gitlab	1.0.0		c66c7842e9c30f58280bf65c18a7bb5c6fc6ddaa
com.jslsolucoes	gitlab	1.0.1		9f4e84c033af00367c24333847dedb265b28e6fe
com.karadzhov	scala-iso-language-i18n-es_2.12	0.3.0		01832c3fb2ae4fffc9bb82df5d2ff4198ece8df1
com.karadzhov	scala-iso-language-i18n-es_2.12	0.3.1		0aea1c892a82bfe0a57743b023b91f315e58965c
com.karadzhov	scala-iso-language-i18n-es_2.12	0.4.0		dad9ce5ae7c25bff5f3ecf4ee7af715fb608c6ed
com.karadzhov	scala-iso-language-i18n-es_2.12	0.5.0		6be46049aa8e3013f1fb392af16fff0e9ea5b3d8
com.linecorp.armeria	armeria-dropwizard	0.98.0		cfef8e172648d54d293b72db1e85c7ec0e92672b
com.linecorp.armeria	armeria-dropwizard	0.98.1		3718d788b8c40e3dd06347fc3aa085c560f92dc6
com.linecorp.armeria	armeria-dropwizard	0.98.2		c4935795609bad1c0877a187ab987a3ef50997b3
com.linecorp.armeria	armeria-dropwizard	0.98.3		78f715f83c33155f495285c420af5a4de0bf6f5b
com.linecorp.armeria	armeria-dropwizard	0.98.4		2af24b4d69e36d09c85dcc8060bdc67f30c2915d
com.linecorp.armeria	armeria-dropwizard	0.98.5		d3a12cc83ec03f43d754c45522515090176f445a
com.linecorp.armeria	armeria-dropwizard	0.98.6		cac47dba23348391c0bde70bef7f81a97368d3ec
com.linecorp.armeria	armeria-dropwizard	0.98.7		56ac8efc923c6b68f8ebe7a5a19ea3e0fc3a070b
com.linecorp.armeria	armeria-dropwizard	0.99.0		615ad83b93595976bac78b2bd3b45a317d318767
com.linecorp.armeria	armeria-dropwizard	0.99.1		e70acec059042c44603c8443dea8590a40c8ffe7
com.linecorp.armeria	armeria-dropwizard	0.99.2		e1b794ee00c3e96631709da417e428f605b6f1be
com.linecorp.armeria	armeria-dropwizard	0.99.3		e81374e63a9a5a1e12246f8d4e2454ba01692924
com.linecorp.armeria	armeria-dropwizard	0.99.4		227cee4dbade47f8cc01323b315a3c968093bae2
com.linecorp.armeria	armeria-dropwizard	0.99.5		af30d3bea69bfd9b40bcfea8974c0546a056cbef
com.linecorp.armeria	armeria-dropwizard	0.99.6		2974bbd0c27eb8e10fade42f324b1022d9ca0ed8
com.linecorp.armeria	armeria-dropwizard	0.99.7		dd52272913a602c67adcf598c9caf66bb4f1c638
com.microsoft.azure	azure-spring-boot-metrics-starter	2.0.10		2a631ecf4bb4e647f7b36ba594ec43f1f6155bac
com.microsoft.azure	azure-spring-boot-metrics-starter	2.0.11		90651a97a10bcb5747802474ad14566cc6f74437
com.microsoft.azure	azure-spring-boot-metrics-starter	2.0.12		18aebcbc170daab7a804754e0d459eb120040d5a
com.microsoft.azure	azure-spring-boot-metrics-starter	2.0.13		bf22b5c40ef54e98fb6a35cd339b28a190454101
com.microsoft.azure	azure-spring-boot-metrics-starter	2.0.14		5943ca35f600bbb1398a3cbe1032403f12b46aca
