cn.jdevelops	jdevelops-aop-exception	2.0.7		7194a219beb0d8658fcad1216ee555b130acc34e
com.github.livesense	org.liveSense.service.markdown	1.0.3		0c787f880983ad6dc165a07a81d5d8c725e255aa
com.github.livesense	org.liveSense.service.markdown	1.0.4		3ea7ca75349bab085be968dcd365d711cb11d2bb
com.github.livesense	org.liveSense.service.markdown	1.0.5		fa6aada9de1760f1c3d2b052e9046bfe22a1a01d
com.github.lolgab	castor_native0.4_2.13	0.1.8-fix-async-native-js		cffe433c7d09682b1f7a097facc6a6b45360a60e
com.github.rmannibucau	boon-jaxrs-provider	0.0.1		200b86f9e0f7945f480a253dbb8024db9e02a78d
com.github.scalaprops	scalaprops-gen_sjs1_2.13	0.6.3		9ea19522c070be5fd446642ee6f0045383943ffd
com.github.scalaprops	scalaprops-gen_sjs1_2.13	0.8.0		7101dbfdc33106d1c3b214c94de9013077ae61c3
com.github.scalaprops	scalaprops-gen_sjs1_2.13	0.8.1		86fa24633a52ecbfb4bc972202d6721bbda6019e
com.github.scalaprops	scalaprops-gen_sjs1_2.13	0.8.2		79328d75f7bc3473299aa6dd572416c32eec9b3a
com.github.scalaprops	scalaprops-gen_sjs1_2.13	0.8.3		2776a92c8932a3b46b28b3d4ef33f2809e5697e6
com.github.scalaprops	scalaprops-gen_sjs1_2.13	0.8.4		f27309825ddaabd066c4352f5e9d91dc8c93c36c
com.github.scalaprops	scalaprops-gen_sjs1_2.13	0.9.0		ff8c5f83f7bb6417473e107d40f5d44ce16baae7
com.github.scalaprops	scalaprops-gen_sjs1_2.13	0.9.1		dba76ca59f2cc596a81de8454087e6dd4628dac5
com.google.appengine	protos	2.0.0		6ee109edb56beab69f02f13fbbd4c8bcb810792f
com.google.appengine	protos	2.0.1		efec58a99c1af7067bb454f1a4c5570e699c3e82
com.google.appengine	protos	2.0.10		cca87d482b312e660254461da76e47a1fb2a7cb4
com.google.appengine	protos	2.0.11		38a863c0c7e1470190baf6dd5ff9e263f6af2075
com.google.appengine	protos	2.0.12		dcffdd0ec5e06624b608087ba9c2e362b324ab16
com.google.appengine	protos	2.0.13		aaae418de1d1f48c448d0b39571582d4a5ee584c
com.google.appengine	protos	2.0.14		8196a503fc98a2113e1f13e84bd1f17e84d11f85
com.google.appengine	protos	2.0.15		ec438f5c993816bd4550bd82f95944cddfd9e91c
com.google.appengine	protos	2.0.16		4f218d6ae807e01258692db4ff6ba490a8a26478
com.google.appengine	protos	2.0.17		a97f325202cc531cd3d38cc454219310f678e4a8
com.google.appengine	protos	2.0.19		ec6b7b66809d469001b2203b60cfefdfe1f11a86
com.google.appengine	protos	2.0.2		ae2d9ff31d7ae0f34f50ff0314360a7af43c1188
com.google.appengine	protos	2.0.20		909a88208dade672a7edc1ed7853222340fe5a8a
com.google.appengine	protos	2.0.21		a9c7807061cba84017f137d562993e428d076b06
com.google.appengine	protos	2.0.22		725bac78d3332c63a451fcbbd576a5c7317889f7
com.google.appengine	protos	2.0.23		c1a135c8d692d54aa073eb51856cd585e71fee22
com.google.appengine	protos	2.0.24		d4a112a420d16f518ec2e8cd7de105a7d559f87d
com.google.appengine	protos	2.0.25		2db89508aca32752e38451c95a87bd279c812614
com.google.appengine	protos	2.0.26		08fc19a60f439665db3ffe871004bfd4bc8e5d14
com.google.appengine	protos	2.0.27		8c0430f1c2dccfc5dc8cadafce05e8e07d81cc4b
com.google.appengine	protos	2.0.28		0c46be0a7ae31d4023e98b49e3d386ee52331abd
com.google.appengine	protos	2.0.29		52b035c1c61f4cc76fd13221e812686bdf465996
com.google.appengine	protos	2.0.3		248aeb700281b49b1bb05f096e4191a62b9cfccf
com.google.appengine	protos	2.0.30		c180ecd80885fbef95c2d352eafa3f16b1804dbb
com.google.appengine	protos	2.0.31		29fb0439edc27d16cdb78c22e24ff9d0b825b7de
com.google.appengine	protos	2.0.32		4a598e36b44d976c43e4b37b2d29ae6892fb41cb
com.google.appengine	protos	2.0.33		0c76c6c5d2526edf42064505ac6e31297130e92f
com.google.appengine	protos	2.0.34		d98fd2600b010cb7c49fa2740f3f3da3868b3694
com.google.appengine	protos	2.0.35		9b55f95a84dffa6f36f5e4bb210d806aa18a0665
com.google.appengine	protos	2.0.4		b26f3c53f6dda9775a3ca4d49bd53e452971aff5
com.google.appengine	protos	2.0.5		40d81c3918f967d06ebdb071c15dd45c794a8d52
com.google.appengine	protos	2.0.6		988001b57535bdf3274dcc87b802757e60adcd13
com.google.appengine	protos	2.0.7		134e172bdc3c2cfa2e2b75c93304a3759df33ef3
com.google.appengine	protos	2.0.8		c701bc54bec52b668dac91fedd8cf0cd16f45bd4
com.google.appengine	protos	2.0.9		26dae706fcb546b90e2c887f442d8c9b4751458e
com.ibm.cos	cos-spring-framework	1.0.0		9197b3270cabd06f08c68273cdd171c79f3ba9bc
com.ibm.cos	cos-spring-framework	1.0.1		14907858c25c7e8c21580c5e457c99b6278490dd
com.ibm.cos	cos-spring-framework	1.0.2		4df8ea8e9d7df5b9b1fa1f44e175bdb57e3dda2c
com.ibm.cos	cos-spring-framework	1.0.3		6bf2ef8ffc36fd58f32f627f1a9dcd0d3cf81c10
com.jdcloud.sdk	streambus	0.2.4		5ae4e57ac2c498303710a884af826502d55a9141
com.jdcloud.sdk	streambus	1.0.0		663d2deab138bd2d1d7bbff8c8064a0ac73f0ce8
com.jdcloud.sdk	streambus	1.0.1		67476b063cde2204d8e2a4f3d6d76ec0f4426860
com.julianpeeters	dc10-sbt_3	0.1.0		6ffa0fd4da97c019e9cfb19e1e191fafe9acf1c3
com.julianpeeters	dc10-sbt_3	0.2.0		1dd51735a332eff777adb413cfa5bc1e3bd5bd0b
com.julianpeeters	dc10-sbt_3	0.3.0		41d7129069b5183a65da4a731a09ea7e96e8a744
com.lihaoyi	ammonite_2.12.8	1.4.4-6-afec827		7ac89d38bb9933289995db3bb6f14e4c8802b5ea
com.lihaoyi	ammonite_2.12.8	1.5.0		3860565d277ec1b9a4469e6557185a2d826c2442
com.lihaoyi	ammonite_2.12.8	1.5.0-3-31e9833		f3ee6a1633d47e40b603c3fed60da6fb6a44fca6
com.lihaoyi	ammonite_2.12.8	1.5.0-4-6296f20		25052155d98ef235c86dd67dab8efb6afbad0c51
com.lihaoyi	ammonite_2.12.8	1.6.0		f0e82e23c8f1230a3e279a9d237eb96e71ca8281
com.lihaoyi	ammonite_2.12.8	1.6.1-2-3078e35		443a88db3682c9f70f62c110a8ccf8d098dc96fc
com.lihaoyi	ammonite_2.12.8	1.6.1-3-377cd57		edda7f55d5d4595f0fffac3765b090fad01409a5
com.lihaoyi	ammonite_2.12.8	1.6.2		a0305bd568b9eaa6ba40c2b200f2c756610c2d1c
com.lihaoyi	ammonite_2.12.8	1.6.2-0-cd5c4ce		3a006663d9654d2190d6576ac6fc70671ba81c39
com.lihaoyi	ammonite_2.12.8	1.6.2-2-5ad9ae5		dddce4737a9904abe2c1f24f48edb857b0a718dd
com.lihaoyi	ammonite_2.12.8	1.6.3		e1ae9666328ba4c1bca564ca9160a503dbcb9b45
com.lihaoyi	ammonite_2.12.8	1.6.3-0-c77705a		9e0e3ed0e564f330bf097c9697dc90dc8a709e21
com.lihaoyi	ammonite_2.12.8	1.6.3-1-42cb857		0b65295d6ec93523ca552caf0e8de079c69ccd56
com.lihaoyi	ammonite_2.12.8	1.6.3-4-f816268		71c65c6d36eef7554fdc2a7df0c47b667e9c53fc
com.lihaoyi	ammonite_2.12.8	1.6.3-5-c25dc3a		deac52873ba9f2f51ca2521776e7be90c8528cc2
com.lihaoyi	ammonite_2.12.8	1.6.3-6-2fdd2df		9a25b8115b603c224083c38f23732345b56a0e1c
com.lihaoyi	ammonite_2.12.8	1.6.4		dd875397075a449721a007c226a2abde290cf4d2
com.lihaoyi	ammonite_2.12.8	1.6.4-0-42ab1ab		ed9faeb12d5cbee669c52d858bb43268cbd399a3
com.lihaoyi	ammonite_2.12.8	1.6.4-1-50418a9		1860b80d57b8810570f9ebfc73efa4c30f407de2
com.lihaoyi	ammonite_2.12.8	1.6.4-2-499fc2a		4e097a18b88a843cba877b2e13b3b1496e395b38
com.lihaoyi	ammonite_2.12.8	1.6.4-3-73c2d69		77a56a04d242c0c74bc11e14e83714e8ab6bcbb9
com.lihaoyi	ammonite_2.12.8	1.6.4-6-b9f5548		50458d484b01fc7488605ccd4020b172bf422b38
com.lihaoyi	ammonite_2.12.8	1.6.5		ca5443fcada7cedb8f6da5639e6297e15d176f16
com.lihaoyi	ammonite_2.12.8	1.6.5-0-8defb47		5d05dc44e85bfb6f75eb4cbaf1ac77c36e9edc35
com.lihaoyi	ammonite_2.12.8	1.6.5-1-00a8cbc		96974fd0709a4e58961a06edda7a89862e0da170
com.lihaoyi	ammonite_2.12.8	1.6.5-10-649d2b3		2af1df318e45f5b078b7b42c19e0c831ee57771c
com.lihaoyi	ammonite_2.12.8	1.6.5-7-189109d		6a21cb22c232622dedf7e0a54ee2e3a56f3baef1
com.lihaoyi	ammonite_2.12.8	1.6.6		6d89271cfa779e049bb6df5a50ffd953f1928085
com.lihaoyi	ammonite_2.12.8	1.6.6-0-2b13f8a		c78888160227eaafe9e98f2c1b2a7957d0f36e95
com.lihaoyi	ammonite_2.12.8	1.6.6-1-05ecc9b		1f7fc96b1a4b1a3386f81ef21bb1834c3e0e8d2b
com.lihaoyi	ammonite_2.12.8	1.6.6-10-5fa74ab		7b8f6a011cae122b5b435c5ee843b1d86f07e825
com.lihaoyi	ammonite_2.12.8	1.6.6-2-edaf2a9		f304ce01e76ee37252cbb54b0ba01f782bf37e5f
com.lihaoyi	ammonite_2.12.8	1.6.6-6-7e89968		b59fb40e600cecfb96152ad03020f23d360dbc97
com.lihaoyi	ammonite_2.12.8	1.6.6-7-5e5461b		518f92779f759dcf12910799b9e727724a49d6bf
com.lihaoyi	ammonite_2.12.8	1.6.7		8fc0798f016f4373ff5df1fb7f5aaaeb72ffb6fc
com.lihaoyi	ammonite_2.12.8	1.6.7-0-0ea3902		221b66c08aa066a8979783f097dbbdff5372afdf
com.lihaoyi	ammonite_2.12.8	1.6.7-1-a44339b		f9fa45cb0da5be3b2f02d4f9abdb686c79c23765
com.lihaoyi	ammonite_2.12.8	1.6.7-2-c28002d		c8f2315653f7ed2ceac57fd399d0d9b2a1f98b41
com.lihaoyi	ammonite_2.12.8	1.6.8		2882701b901534d671dbdcb238b8b8db915fb31e
com.lihaoyi	ammonite_2.12.8	1.6.8-1-c7a656e		84ef434322736497a6aec2cc79c5b710ed479406
com.lihaoyi	ammonite_2.12.8	1.6.8-2-0a2abd6		bca668901fc2e645554b629daa2ec5457072a115
com.lihaoyi	ammonite_2.12.8	1.6.8-21-9ada29c		c7edb4c2e9778d61580d9c7ec89c68f32336c878
com.lihaoyi	ammonite_2.12.8	1.6.8-22-909e21a		33e99f6f8a62a3adaba0f098126a07f591d729f4
com.lihaoyi	ammonite_2.12.8	1.6.8-24-9a4ffa5		93d23d57f2258f1e86d53d2e0547c9ea4fcb2d1c
com.lihaoyi	ammonite_2.12.8	1.6.8-3-3634218		c8a610971eab9dea89c885daa119cabe24a155c2
com.lihaoyi	ammonite_2.12.8	1.6.8-4-5ce9eee		4c11586b20044afaefe5ecdeac6d6b721173df7f
com.lihaoyi	ammonite_2.12.8	1.6.8-6-357baca		9509aefb708b476d08858e1b1a479bc512ef87dc
com.lihaoyi	ammonite_2.12.8	1.6.8-6-451a3b9		4ec73372ea61dfff1babb05734301edd09283385
com.lihaoyi	ammonite_2.12.8	1.6.9		e2a19ed0978536d0ba74c4ecbde30a383d80c173
com.lihaoyi	ammonite_2.12.8	1.6.9-11-ce25d7a		1d3a26579fa50c97456bc6a0552e8d87deb8e59e
com.lihaoyi	ammonite_2.12.8	1.6.9-15-6720d42		1ab9a1b068336f4e70f04e08afbdc36bd0ec4c6c
com.lihaoyi	ammonite_2.12.8	1.6.9-18-a50caad		b428afc072297d4a892f80e15d12d6fa39830793
com.lihaoyi	ammonite_2.12.8	1.6.9-19-827dffe		badad9e2e8de0e3c8e7fe6090f0637037128d25f
com.lihaoyi	ammonite_2.12.8	1.6.9-3-480a38b		4c17111cb94ba938467fae0f8ceb229a84de9e0a
com.lihaoyi	ammonite_2.12.8	1.6.9-6-644e20f		83dd5e5bdb7f2721992be1bcfc5108287d696bc9
com.lihaoyi	ammonite_2.12.8	1.6.9-7-c6bd148		6495e7d81aafcd765d12219c759467817af555db
com.lihaoyi	ammonite_2.12.8	1.6.9-8-2a27ffe		dad1c1e23c25e8d7835fa197623d6cb8af0facc9
com.lihaoyi	ammonite_2.12.8	1.7.0		e68c110578ff6b8d1486d7f368364bcb24f4769d
com.lihaoyi	ammonite_2.12.8	1.7.0-0-749601f		ba2436a263a2f4d6afe3c7cb6079961792eadc6d
com.lihaoyi	ammonite_2.12.8	1.7.0-2-a89e6c8		db0dd75abeaf9ba6b84db14569f87fe8dba826b4
com.lihaoyi	ammonite_2.12.8	1.7.1		16564f275f1855a8f687967fb12798c746db5e22
com.lihaoyi	ammonite_2.12.8	1.7.1-1-5a4b391		404a45146a0f23e4cc5073294bd20e3e3a85ddf1
com.lihaoyi	ammonite_2.12.8	1.7.3-3-b95f921		12dac43b49dbdbf65249a0123ad8454bf8ce8577
com.lihaoyi	ammonite_2.12.8	1.7.4		aa61d15d27ba4ac8632ef3167cfcfc956b1c4278
com.lihaoyi	ammonite_2.12.8	1.7.4-0-cdefbd9		7eb7b06f916f90936f0309bd4636d3db26d71c91
com.lihaoyi	ammonite_2.12.8	1.7.4-1-71e4df4		7ca3d4153a50107ac5c50566ddebc2a92017a9c5
com.lihaoyi	ammonite_2.12.8	1.7.4-9-8cd5435		3463c55a4489d9de92c84c4892fe8354ff181842
com.lihaoyi	ammonite_2.12.8	1.8.0-0-c901b3c		ddb12f8d14fdb7b1964f8037b55965277653b899
com.lihaoyi	ammonite_2.12.8	1.8.1		c2a68a363be15042278014e9b03a853baa68dd7b
com.lihaoyi	ammonite_2.12.8	1.8.1-0-8ec3279		a325344243bd376b8dc2d0fe0e70af18369b7b7f
com.lihaoyi	ammonite_2.12.8	1.8.1-1-fe66234		26aece38f5adabaf9355c6f86fb76edbeb02eac6
com.lihaoyi	ammonite_2.12.8	1.8.2		4b75ca1429b5eb00024e667b1b0851090f82c25a
com.lihaoyi	ammonite_2.12.8	1.8.2-0-2f22969		a6fb080de12d102781dafc6a97e093657bf5acb6
com.lihaoyi	ammonite_2.12.8	1.8.2-1-2290191		821d4c386e1be7bd4fd92c8648dcd36ff1b2e4e4
com.lihaoyi	ammonite_2.12.8	1.9.0		f5f21dd945feb1c238329578b42eb24f75d9039c
com.lihaoyi	ammonite_2.12.8	1.9.0-0-0aad8e0		deeb2a9e0e6a073d0ce6ea46ecd777ddd6dabfe2
com.lihaoyi	ammonite_2.12.8	1.9.1		4d4f7e3ed78586fb3a7e64f16dc88d00181b1c14
com.lihaoyi	ammonite_2.12.8	1.9.1-0-a5f2f1a		2e907a9dd668b1922512ededbe3e0d07416f238f
com.lihaoyi	ammonite_2.12.8	1.9.2		1564892304727a34ddef14be630baa2152fd0e4d
com.lihaoyi	ammonite_2.12.8	1.9.2-3-89a1787		1c5c086f8446130aa58f7d240d1a5a87d0795cfc
com.lihaoyi	ammonite_2.12.8	1.9.3		0ce5eba887dd278cc31bb43a6a56ac6ae08b579e
com.lihaoyi	ammonite_2.12.8	1.9.4		9dee62bf9fb4b6a2d5c68bdb101eb69fd24166d0
com.lihaoyi	ammonite_2.12.8	1.9.5		cb6b6603a57256b5a83b72a40a41f3a1f103a828
com.lihaoyi	ammonite_2.12.8	1.9.6		7c55f37f1badd28a7136b155fc28cddc78d8e82c
com.lihaoyi	ammonite_2.12.8	1.9.8		3c9d173e0eeca59f20e4b8c96f3bedbf67396f64
com.lihaoyi	ammonite_2.12.8	1.9.9		72c17d69d7bcc555c346075c1f80fbc0866cea40
com.lihaoyi	ammonite_2.12.8	1.9.9-0-36b41da		82c777e5d41d5135d90d8b01869f2aaecd75ef07
com.lihaoyi	ammonite_2.12.8	2.0.0		ff91ef12051e610fe5e9165b8b35d26110d9ce85
com.lihaoyi	ammonite_2.12.8	2.0.1		5a99835502d83e2abd96de91042628ccc8825837
com.lihaoyi	ammonite_2.12.8	2.0.2		b80eddadc8f902fbc7c269d62e95a93f14799749
com.lihaoyi	ammonite_2.12.8	2.0.2-0-11a4c54		3a313e3b663237116dfd8ec58833f155d96ede10
com.lihaoyi	ammonite_2.12.8	2.0.3		019aa3faf57e686adea50765051c8cffa3859814
com.lihaoyi	ammonite_2.12.8	2.0.4		3588ac1a9a76c38897f88183c4ce84f5fc1e28c3
com.lihaoyi	ammonite_2.12.8	2.0.4-30-6ce2cf8		366238571bbc4ca36aab99cb3962c57c34abeddc
com.lihaoyi	ammonite_2.12.8	2.0.4-51-dcbdde8		2903aa1e667625013b850045ac9228309829f9c3
com.lihaoyi	ammonite_2.12.8	2.0.4-52-1d5868d		c395f6e50a05b90285c05650752455db5da679c2
com.lihaoyi	ammonite_2.12.8	2.0.4-53-d8b22aa		620ee3b1791294afe8881ca1d84b021fa0196372
com.lihaoyi	ammonite_2.12.8	2.0.4-54-d723a93		fae1e62ff3c5d314abc2ddf99159596ae1dc654a
com.lihaoyi	ammonite_2.12.8	2.0.4-55-5d83709		46f4a6d607ce1c70c0ca2d1e36ca798e89e15fae
com.lihaoyi	ammonite_2.12.8	2.1.0		f72a327f5d5f7ed7f8e94570bdacae9258a5e9ed
com.lihaoyi	ammonite_2.12.8	2.1.0-1-817a5ef		5297557edf22ccc4422a4a41fca932af10ed4f0f
com.lihaoyi	ammonite_2.12.8	2.1.1		a7cbff697ed856c42a5cd9b79ed05be2c1030c2f
com.lihaoyi	ammonite_2.12.8	2.1.1-0-0a4a17c		efd4f696fc4eee18f97a6a5523b825c0b24ab601
com.lihaoyi	ammonite_2.12.8	2.1.1-1-e5ead4c		203582f2d91eec09e25db4631533df8251399c27
com.lihaoyi	ammonite_2.12.8	2.1.1-14-4f2a1b2		b2731f68fa7e90b2f520c2feda76b8b8ab2acd94
com.lihaoyi	ammonite_2.12.8	2.1.1-2-91d0807		94d708a7208322591d187d369daeaff4525fdc70
com.lihaoyi	ammonite_2.12.8	2.1.1-9-d58f8c7		7d583cd4643d8666094dda09d68aad3989a617ed
com.lihaoyi	ammonite_2.12.8	2.1.2		2d1f724b1dbdd5a9634061ea37aa9cf4b8baf81e
com.lihaoyi	ammonite_2.12.8	2.1.2-1-92cab34		28c5846b8e9488cf8af2e06fc11aa33ad1a723d4
com.lihaoyi	ammonite_2.12.8	2.1.2-15-b0b582a		df81a43a16c00485a0d4dc1f21a3bca08ccb7cd5
com.lihaoyi	ammonite_2.12.8	2.1.2-18-2be8fff		2e31976bba60cd809273e5da740c6670a4470d09
com.lihaoyi	ammonite_2.12.8	2.1.4		bfe9d682969265776d8a1787aa029690c3ec68d4
com.lihaoyi	ammonite_2.12.8	2.1.4-11-307f3d8		ea78d236318d5850911b53158fd56a8586a8b658
com.lihaoyi	ammonite_2.12.8	2.1.4-12-f697522		a150e9c9a1b38f1906ce8a1527f98a146c6f00da
com.lihaoyi	ammonite_2.12.8	2.1.4-13-fb16e4e		c68b345eebab4fc67f655497c8ac3a3a7ac41487
com.lihaoyi	ammonite_2.12.8	2.1.4-2-ef9b0a0		4bd42d4866c52ec901edc0f899ebbd95f3ebeb78
com.lihaoyi	ammonite_2.12.8	2.1.4-3-8bceab5		77d98858680b2aa4f1b9ae6a117cadb205df1c6a
com.lihaoyi	ammonite_2.12.8	2.1.4-5-e45edfd		d9d50cda4beb68b9366d6f1686e2eb7960dd0cdc
com.lihaoyi	ammonite_2.12.8	2.1.4-6-2179b35		8b4715565ba0ae1ed53eb17d7f4a7f44f62f417c
com.lihaoyi	ammonite_2.12.8	2.1.4-7-d1e71b9		0e71b8c5f089fdc586c0eb9dccf3ae59b89d36fa
com.lihaoyi	ammonite_2.12.8	2.1.4-8-5d0c097		fdc1a9be6d6788762478ab3fdbf95659035f7cc1
com.lihaoyi	ammonite_2.12.8	2.2.0		525ac44c997850b0c540e8eb417c84700e62d620
com.lihaoyi	ammonite_2.12.8	2.2.0-0-fe5ed67		66baa91f1a21286ff5d3eb10c9b43a3a7fc682fa
com.lihaoyi	ammonite_2.12.8	2.2.0-1-56b4d41		24d27d66daf6f58efb53e884b665d1981f2e55ae
com.lihaoyi	ammonite_2.12.8	2.2.0-25-6e75eb47		fb196afd838b005ef3154a67d3ff8eee09fd672d
com.lihaoyi	ammonite_2.12.8	2.2.0-26-61ee0965		08b4baa94fac29bec9bc8fdd076e22644363dd32
com.lihaoyi	ammonite_2.12.8	2.2.0-4-4bd225e		81291884f70c97ae2f6c9335deeb98b7efcb4fac
com.lihaoyi	ammonite_2.12.8	2.2.0-5-0833981		011143df8b56c1e7f7ec86bd8fdf2126e5f05d3a
com.lihaoyi	ammonite_2.12.8	2.2.0-6-ed7f361		3c791aa8fb57e8eafc7a3a4993988af1e518d587
com.lihaoyi	ammonite_2.12.8	2.3.0-0-4ad95c76		9752923f4e2e7035a334b85b5c02eb5f4f89f3ac
com.lihaoyi	ammonite_2.12.8	2.3.0-1-cfcb3657		41cedb8827607357b380a7651a958bc7c7beeb3d
com.lihaoyi	ammonite_2.12.8	2.3.0-3-f90c7228		ff5cdd465ff380108bff070c4dd548260cf0515b
com.lihaoyi	ammonite_2.12.8	2.3.4-0-16c2d353		c66e1e8544cf5d38e4603be5f0d9366dc5db9e07
com.lihaoyi	ammonite_2.12.8	2.3.5		6bf99e5a7cba174d570ba93b7367eb01c01ad342
com.lihaoyi	ammonite_2.12.8	2.3.5-0-8aad3f98		b7f35ae7aead98555f50c4e56559613ce0be7d0e
com.lihaoyi	ammonite_2.12.8	2.3.8		37a702a686427a6f2e2823ed632dd8b549d37015
com.lihaoyi	ammonite_2.12.8	2.3.8-1-d5beecc8		50fa43405603cbbf6ec28b4fb22f39bb62f933ef
com.lihaoyi	ammonite_2.12.8	2.3.8-122-9be39deb		9775538cf92b7ca70e6cbbd434191a2f275ab14b
com.lihaoyi	ammonite_2.12.8	2.3.8-123-0b9a8c9b		084004d04abd1fdda8988a93e75a442e76762d44
com.lihaoyi	ammonite_2.12.8	2.3.8-124-2da846d2		5d113fcb4fb9d527e1609557a1d6349247969984
com.lihaoyi	ammonite_2.12.8	2.3.8-125-f6bb1cf9		cd70b6595bf0414bef2782ee25201f3c95be7367
com.lihaoyi	ammonite_2.12.8	2.3.8-32-64308dc3		4bfd86e2b1024ef9cd738777448e96401497a498
com.lihaoyi	ammonite_2.12.8	2.3.8-36-1cce53f3		df3312cdc27e435a544c05beac53c51eabfe5bf4
com.lihaoyi	ammonite_2.12.8	2.3.8-4-88785969		294cf8c469677ad37084c4dd3dbe7828e73988b1
