be.atbash.ee.security.octopus	opinionated	0.6		N/A
com.amazonaws	aws-java-sdk-glue	1.11.1024		4a7cde76ed5e046cc1791172ff86395c34f60d61
com.amazonaws	aws-java-sdk-glue	1.11.1025		4b03787256ddc0c4a867a42d562857cd3ed59193
com.amazonaws	aws-java-sdk-glue	1.11.1026		2fe954dc34318f2e7f415f15743bfe87c41d7ec1
com.amazonaws	aws-java-sdk-glue	1.11.1027		27500a4508796cd2ecb4a357d95e546b150f67ac
com.amazonaws	aws-java-sdk-glue	1.11.1028		92191a8a4b58fa58c3ea48b284bf8bb6d0acce77
com.amazonaws	aws-java-sdk-glue	1.11.1029		271ed0eb29c81bb033666add7f5ca3c5893b3ffc
com.amazonaws	aws-java-sdk-glue	1.11.1030		8bbb415676931e08cdbb8d6aec2d0e5aa975525f
com.amazonaws	aws-java-sdk-glue	1.11.1031		01afea774fb7fb91b16329009262fc3c3de837a9
com.amazonaws	aws-java-sdk-glue	1.11.1032		867defec4b50a93a82ade9d27013e5e9313a22ad
com.amazonaws	aws-java-sdk-glue	1.11.1033		e5d6569773dcc26a2a684862c0cde3d54f385e18
com.amazonaws	aws-java-sdk-glue	1.11.1034		83007efac570d40f9efc4f7cd1b0a635f66338b7
com.amazonaws	aws-java-sdk-glue	1.11.177		11aafce3d5abfb3a9f27ddbc6c10433bebb27508
com.amazonaws	aws-java-sdk-glue	1.11.178		1a830ff24516caa305ffca52b9020601f76973c7
com.amazonaws	aws-java-sdk-glue	1.11.179		965f8a2ab5f553aaa1c7b9d9a5d3b64c57806df2
com.amazonaws	aws-java-sdk-glue	1.11.180		3a1c329365052ae82838837f8da6fc416f78d989
com.amazonaws	aws-java-sdk-glue	1.11.181		b976729d35a6b1aed35cafacadcfcc38743f7843
com.amazonaws	aws-java-sdk-glue	1.11.182		a24e6a166e5f4327d98f9f975cbcff3e0f2c4ca8
com.amazonaws	aws-java-sdk-glue	1.11.183		ef6380681010a62abca45eb9b1fdf3e1b5dc0056
com.amazonaws	aws-java-sdk-glue	1.11.184		188daa7209b4a024c43ec480c2d693aea883bde4
com.amazonaws	aws-java-sdk-glue	1.11.185		2ea886edf3b195f085d7fbd95748c602dea551bc
com.amazonaws	aws-java-sdk-glue	1.11.186		ce034e4ece794d0735118ffd79abe4a48010ae69
com.amazonaws	aws-java-sdk-glue	1.11.187		3910235e038b8ca3727e60b24cfd95d7b3039af9
com.amazonaws	aws-java-sdk-glue	1.11.188		a46a0ce7eaa49e1b6a8069ab138222c68016daca
com.amazonaws	aws-java-sdk-glue	1.11.189		217eb0acbaa4eea2e31534e23ddd00c3db400545
com.amazonaws	aws-java-sdk-glue	1.11.190		6c7044076cc90cf18b3ddcd4bf1f840d9dd038cd
com.amazonaws	aws-java-sdk-glue	1.11.191		34e6ee7e559076b3bb7871a91955e44251f7af36
com.amazonaws	aws-java-sdk-glue	1.11.192		19cfeb4ea8c750e2b94129d1438550e3ce46783c
com.amazonaws	aws-java-sdk-glue	1.11.193		6620858f14d77946690a95fc30f6e93386ac5b90
com.amazonaws	aws-java-sdk-glue	1.11.194		90566b05a7b8ae7c470c8a38dcb8a28bf30eeda9
com.amazonaws	aws-java-sdk-glue	1.11.195		982fd6fd4e745996881ba095edc686e810b64131
com.amazonaws	aws-java-sdk-glue	1.11.196		5403b65c3b8498d3709c830cc53da141a95ebba4
com.amazonaws	aws-java-sdk-glue	1.11.197		a36d08fe09d40333d5126045e755faa69a6db8fd
com.amazonaws	aws-java-sdk-glue	1.11.198		35af6044414b30a75562b7a67c57498d57336e44
com.amazonaws	aws-java-sdk-glue	1.11.199		f891dda4df17815598b230a0da73ffa4da4b76ba
com.amazonaws	aws-java-sdk-glue	1.11.200		72b09542e15f05a4e57642e4aa29f6befb1e2b51
com.amazonaws	aws-java-sdk-glue	1.11.201		f83c3c7ae78369fae39091a77fa142e33d4ad0b6
com.amazonaws	aws-java-sdk-glue	1.11.202		7d5d2a46edb873eb6fbdfaa60d3ad20ed7783190
com.amazonaws	aws-java-sdk-glue	1.11.203		bb9247bf9fcf734951344ac51a5e6af50454a10a
com.amazonaws	aws-java-sdk-glue	1.11.204		ef9bbf96d6ff3a1a54ed73fe258ac02e80cfb183
com.amazonaws	aws-java-sdk-glue	1.11.205		af3058c9966c8e438ecdf1220ff56fea8edf814b
com.amazonaws	aws-java-sdk-glue	1.11.206		63299be10dfa220e7b1848868f79a7ebc5eeac90
com.amazonaws	aws-java-sdk-glue	1.11.207		d6462e708484331b5074d31e24da03dd10a77965
com.amazonaws	aws-java-sdk-glue	1.11.208		451e247e44c3ed2d7e45302a9cc83d8d5e9960ce
com.amazonaws	aws-java-sdk-glue	1.11.209		3cf1c4604154f70abfdbdff1c72a1099aef9c9be
com.amazonaws	aws-java-sdk-glue	1.11.210		dfbd09f9dffedb2015373858362bc6040bd45cb6
com.amazonaws	aws-java-sdk-glue	1.11.211		bc85027f9e57729aec6aa555397414cff60bfdf9
com.amazonaws	aws-java-sdk-glue	1.11.212		7110e69510d510266bb03bb6f2cc17b35c6db674
com.amazonaws	aws-java-sdk-glue	1.11.213		1ad974e5f3d486c49e5a6826479565928f8dfe96
com.amazonaws	aws-java-sdk-glue	1.11.214		2ae23204d5b0e991228b94be220f126ad1d247f9
com.amazonaws	aws-java-sdk-glue	1.11.215		23fbc84f21eccccc05f5e5ce239e4968946cd872
com.amazonaws	aws-java-sdk-glue	1.11.216		f7ee5afbd1f1fcc8d831d4f499f0377b52e52530
com.amazonaws	aws-java-sdk-glue	1.11.217		53b02ef656a1d11c1806266078c95fe7e7e4f4b7
com.amazonaws	aws-java-sdk-glue	1.11.218		24b969ab70abcb9047f1524021cb5114a3358391
com.amazonaws	aws-java-sdk-glue	1.11.219		bc235e8c164f8f899ec7e25d4d0da6cb577ff1a4
com.amazonaws	aws-java-sdk-glue	1.11.220		e3233c535cf6a998ad8a2cb9b7f272539115975f
com.amazonaws	aws-java-sdk-glue	1.11.221		6b6f836bc361a50d34622cf814acab37ef65b2a0
com.amazonaws	aws-java-sdk-glue	1.11.222		089571e57f44f06a9442d8bac45c1ebd9c873cd5
com.amazonaws	aws-java-sdk-glue	1.11.223		893dfc750f03efbc17e2847bbb48fb83808b16bd
com.amazonaws	aws-java-sdk-glue	1.11.224		a4305f657ace08359d29dd5d34eba53e21789ace
com.amazonaws	aws-java-sdk-glue	1.11.225		c004a7e3d12803f63ef900eef60a1677e5742f42
com.amazonaws	aws-java-sdk-glue	1.11.226		1ef88054a2f481fed761dde2977d87704a08c458
com.amazonaws	aws-java-sdk-glue	1.11.227		b87013784cda53f5a38b4014e7bede7d0d0baf41
com.amazonaws	aws-java-sdk-glue	1.11.228		82422c8c878e9804577fa26f3414559758a53c27
com.amazonaws	aws-java-sdk-glue	1.11.229		f1b408f611fd55d10e9645917b9cd1d7f6441f56
com.amazonaws	aws-java-sdk-glue	1.11.230		a945ff154584dc62a5783f36ac2b1ef745cd0f13
com.amazonaws	aws-java-sdk-glue	1.11.231		8f671c67e994c1623f4adc925f9fec5a8bb62cd0
com.amazonaws	aws-java-sdk-glue	1.11.232		1010e7af5a1bd447569a2abe9b646b54f378a352
com.amazonaws	aws-java-sdk-glue	1.11.233		50f8f55569616740bbfbf62343cb53f5b5d291ed
com.amazonaws	aws-java-sdk-glue	1.11.234		fa32e28c22138bc4feac67100d34d365cec56082
com.amazonaws	aws-java-sdk-glue	1.11.235		3e0883dbdf3aa70fcbb587dffc555df8be400e42
com.amazonaws	aws-java-sdk-glue	1.11.236		87c13bc8a061e62ea421d4186264102e9acc4da0
com.amazonaws	aws-java-sdk-glue	1.11.237		715b4e28e32d84fe33c4f6081d008c3cc53ed8c7
com.amazonaws	aws-java-sdk-glue	1.11.238		e71f230aef5e5e6fb55e74ba0a6e40e2fad139ab
com.amazonaws	aws-java-sdk-glue	1.11.239		461a1a03f46f1e86773d057f3aafd968d3585362
com.amazonaws	aws-java-sdk-glue	1.11.240		eb7cfe71746cc92f0ca9ed2ee33e2147a4c34794
com.amazonaws	aws-java-sdk-glue	1.11.241		20c5dab4d33f981f6917f809195d6709c90f42cc
com.amazonaws	aws-java-sdk-glue	1.11.242		b0edb4129cbc6a1ef5019dad4b864da7a80afdf1
com.amazonaws	aws-java-sdk-glue	1.11.243		d22e3aecf1b838b5135e9eea16f816b6c0274de8
com.amazonaws	aws-java-sdk-glue	1.11.244		8aa2cedf9343ec12addcc61d6f05d3f293ce5176
com.amazonaws	aws-java-sdk-glue	1.11.245		ddeb58ee4de985d31fc034146073f48ed1cf299c
com.amazonaws	aws-java-sdk-glue	1.11.246		e8b2925cc0258c9e24b6cb08bff15e83a0593ba1
com.amazonaws	aws-java-sdk-glue	1.11.247		867a72b60b8bf94f7d508fa6c500776e32589f51
com.amazonaws	aws-java-sdk-glue	1.11.248		ef0a0be8f407bdb7ca42d9f09c67beefdc2b5f8c
com.amazonaws	aws-java-sdk-glue	1.11.249		b7f5de9ce3d821bf8052439af4faa849629ebf25
com.amazonaws	aws-java-sdk-glue	1.11.250		2cba889302df4cf87a83c751b5dc941e8b575fe4
com.amazonaws	aws-java-sdk-glue	1.11.251		aa6c4de5014859d1ee9a82b84d54a3a21f040526
com.amazonaws	aws-java-sdk-glue	1.11.252		30e08a921e34880b97b559ee645fa518bc83ca81
com.amazonaws	aws-java-sdk-glue	1.11.253		d681cc88f34daf70b87cfcf0380319a61e84cc32
com.amazonaws	aws-java-sdk-glue	1.11.254		b48ba2a6e05f7401788094844cb16a0445c6a5a0
com.amazonaws	aws-java-sdk-glue	1.11.255		9d4971db40c4a3cbc5f7faf00dc168d8f7996fb4
com.amazonaws	aws-java-sdk-glue	1.11.256		f8b479f71768052938511d8286e1b9ac9b7a59cd
com.amazonaws	aws-java-sdk-glue	1.11.257		e0bcc26dddadfa098203bb0e4ed20813d8682c16
com.amazonaws	aws-java-sdk-glue	1.11.258		eee429bc267c58656eaf04066f355f7ae4841db4
com.amazonaws	aws-java-sdk-glue	1.11.259		9bd12cd7e2f70f3774f1b9d5b10d95be9f2c3025
com.amazonaws	aws-java-sdk-glue	1.11.260		4c7f30fdad4d828164ce12593bcf3b9082616176
com.amazonaws	aws-java-sdk-glue	1.11.261		cd2bd441786484fc278c1c765b0c42d315f9bacb
com.amazonaws	aws-java-sdk-glue	1.11.262		f5f5a988f207b4edb8f0402dc2765f1b2fbe6cfc
com.amazonaws	aws-java-sdk-glue	1.11.263		cf9e6388f5c883bdf4626d7498418a09b95ff23a
com.amazonaws	aws-java-sdk-glue	1.11.264		959608257f7fe65d23a476f89a1f7afbc2a1fd9a
com.amazonaws	aws-java-sdk-glue	1.11.265		c01519e72096cacda4ee08f2f748f599bf279eb3
com.amazonaws	aws-java-sdk-glue	1.11.266		5756d20d0da3b12e85d085f0cd004a8bbbcc3f75
com.amazonaws	aws-java-sdk-glue	1.11.267		ffefcd037efcf1610dbb4083d6ef9b1649efe7c1
com.amazonaws	aws-java-sdk-glue	1.11.268		9cb246996c621cd7b22bdc316e48da46380ffd6b
com.amazonaws	aws-java-sdk-glue	1.11.269		5b425c095682349f2defc53fd1f2f33b274d2c2e
com.amazonaws	aws-java-sdk-glue	1.11.270		c6e8cda2e8e4de116998cf34fb2a78c59a299382
com.amazonaws	aws-java-sdk-glue	1.11.271		c11eacf606d1f83549fac9370636772124664988
com.amazonaws	aws-java-sdk-glue	1.11.272		fbd81f507c0c49cdbd7624560d9e2f79486e5687
com.amazonaws	aws-java-sdk-glue	1.11.273		854e64ae028c97d9da1ed967fe2e01f5e857638e
com.amazonaws	aws-java-sdk-glue	1.11.274		3923a0c1cc94ae2245a134163ac59748e9ee4fa8
com.amazonaws	aws-java-sdk-glue	1.11.275		719ac7ddbb7b1e8194966ba540fc1af97b27c7b8
com.amazonaws	aws-java-sdk-glue	1.11.276		06eefd48a3a25dbb55c412725eccad6c637a6511
com.amazonaws	aws-java-sdk-glue	1.11.277		cb75349f2dcfad1534c90bf16aa8e9d4cdb7251d
com.amazonaws	aws-java-sdk-glue	1.11.278		8080201c7986d0c6db8419c3ff67e619270c253e
com.amazonaws	aws-java-sdk-glue	1.11.279		218276039d547648ddf6deac74bb0ffa6a7978fe
com.amazonaws	aws-java-sdk-glue	1.11.280		b2f09589cca4f72e550d0d3655ac6aa1528d9bf9
com.amazonaws	aws-java-sdk-glue	1.11.281		8a5b73eb4a948a3084e9e36fc17e2a45e7e26e39
com.amazonaws	aws-java-sdk-glue	1.11.282		bcf3f0e349df57d2cd122e0de4e7de387df2d1ad
com.amazonaws	aws-java-sdk-glue	1.11.283		51bcf892e6fb469450670ac38efd18d37168bc5e
com.amazonaws	aws-java-sdk-glue	1.11.284		cd22d7d214df790cac9a3fbc9c9dc1b5dde00935
com.amazonaws	aws-java-sdk-glue	1.11.285		f545346443ee107ed4d027045fe84e2e151fabbd
com.amazonaws	aws-java-sdk-glue	1.11.286		af9d8348ab47fdfeeb1f24946e1289ce560ba4bc
com.amazonaws	aws-java-sdk-glue	1.11.287		c99651aa9120c5dea9b66f30efe849194854a4cb
com.amazonaws	aws-java-sdk-glue	1.11.288		2378e5b300faaa1184a39403a09e422fc8fa77e0
com.amazonaws	aws-java-sdk-glue	1.11.289		df5ce799e3375fd11a5d423e9bb757f5208853da
com.amazonaws	aws-java-sdk-glue	1.11.290		c10c4ae331c154eb04cab71798508ef1c8732897
com.amazonaws	aws-java-sdk-glue	1.11.291		c747d6439105c995943accc93c8288e732d1b339
com.amazonaws	aws-java-sdk-glue	1.11.292		40371c8a0f0de98b004750840942e5fdc23ecbbe
com.amazonaws	aws-java-sdk-glue	1.11.293		81b456070d438e96af2a8c4755ee0515fb695f94
com.amazonaws	aws-java-sdk-glue	1.11.294		df4ff47b63fc5624062c67ec4a14f630aea0548e
com.amazonaws	aws-java-sdk-glue	1.11.295		25ecb234f1da65c3f5c06956cc37c2f2f3822c8a
com.amazonaws	aws-java-sdk-glue	1.11.296		7bbb871fda5cdba07a63c27d8087738cd14127f6
com.amazonaws	aws-java-sdk-glue	1.11.297		d81417b865897cd2a47961be876b94a5096ed72f
com.amazonaws	aws-java-sdk-glue	1.11.298		8341a135671a4496a84be7054f69dfc8fbc0c33d
com.amazonaws	aws-java-sdk-glue	1.11.299		4eac706835decd1659ed247562bf7a55beaea85b
com.amazonaws	aws-java-sdk-glue	1.11.300		cf37cf1f0841f555e8a2d9fadc7048b694a89725
com.amazonaws	aws-java-sdk-glue	1.11.301		de904030e4a7672d070d8e749e717a624afcbc44
com.amazonaws	aws-java-sdk-glue	1.11.302		067db071d9896969321013f472d6e9c04c614a90
com.amazonaws	aws-java-sdk-glue	1.11.303		71d7c9663a443976f35363c5f54f21a4367c3bd1
com.amazonaws	aws-java-sdk-glue	1.11.304		06510b59ed04c5940a752ddb727257f0352169be
com.amazonaws	aws-java-sdk-glue	1.11.305		59cf99b96b2ae24cd9d6fe515684b79109fd2fcf
com.amazonaws	aws-java-sdk-glue	1.11.306		89398b2d1e7635f6b701abd46984a3abbc8b411d
com.amazonaws	aws-java-sdk-glue	1.11.307		10b5b3c72ad1f8c034186501fbf0c1c0ba9037c6
com.amazonaws	aws-java-sdk-glue	1.11.308		b8a13657c42515ff8744361d9886ba1f1196050c
com.amazonaws	aws-java-sdk-glue	1.11.309		b63ade736cd9a2d9043f88b3eebb6c8a013cbe13
com.amazonaws	aws-java-sdk-glue	1.11.310		f68191ff633fb10d44cd9e04948b56cd881874e0
com.amazonaws	aws-java-sdk-glue	1.11.311		b7ed8450728ff318c0c2462173665342a2030fa3
com.amazonaws	aws-java-sdk-glue	1.11.312		29fec1cb4e0eb9dd16888a258f43721f01146b27
com.amazonaws	aws-java-sdk-glue	1.11.313		2ef8c8c02fb91d4cfe8ec943d1821aef8ced9c3d
com.amazonaws	aws-java-sdk-glue	1.11.314		31b2f2aa775a555adb60a13adb631dd2c7d26483
com.amazonaws	aws-java-sdk-glue	1.11.315		e0528fd1186e0a33e503d15e8b03a80dec882e92
com.amazonaws	aws-java-sdk-glue	1.11.316		747fbe169531d63cceb6b06a8af738c99e75ee6e
com.amazonaws	aws-java-sdk-glue	1.11.317		15a99f3b899420bf6c60c59d9e15886a27ee39bb
com.amazonaws	aws-java-sdk-glue	1.11.318		2128b2fd14ac9a8ae2b5f2c0c15cfff633c8d62f
com.amazonaws	aws-java-sdk-glue	1.11.319		c38ac17b5c5c239507be69b8731048a2202b560c
com.amazonaws	aws-java-sdk-glue	1.11.320		bde14e70e44287adbf19aea31ad8fb45a3de1dd6
com.amazonaws	aws-java-sdk-glue	1.11.321		cea9be349d1387b0b55b1496f68882532a67c8ae
com.amazonaws	aws-java-sdk-glue	1.11.322		1eb2343c6dfdb09331fd69df1878a93bf98e03e3
com.amazonaws	aws-java-sdk-glue	1.11.323		e3851f836c505eb952d286cc664d5bd4c70e0b87
com.amazonaws	aws-java-sdk-glue	1.11.324		818f8b6462defabd1debc5c0d591e4676ac9abca
com.amazonaws	aws-java-sdk-glue	1.11.325		7568428457f8eca8f14da2e84b1ce811e5176506
com.amazonaws	aws-java-sdk-glue	1.11.326		9989e15bcae2c78cc9636c8d15e044b5a0454d48
com.amazonaws	aws-java-sdk-glue	1.11.327		82399f4315e9b98c8ece8f99e5951bf0f333e9dd
com.amazonaws	aws-java-sdk-glue	1.11.328		23c292f9e87d928de7e2442b924ac8af063774c6
com.amazonaws	aws-java-sdk-glue	1.11.329		c261e6bb0e73813273d9c41195f1ce006ae00b7f
com.amazonaws	aws-java-sdk-glue	1.11.330		aaab8d5e93fac55b4cc5b6a833be936f39d563fe
com.amazonaws	aws-java-sdk-glue	1.11.331		949e0efc990f26e0b87d4c9504f43ea4d83ebb87
com.amazonaws	aws-java-sdk-glue	1.11.332		024de120e501724b4b90166ad34aea9aa1aa37b9
com.amazonaws	aws-java-sdk-glue	1.11.333		b2bb75d1a3133e9c629f40ecb42eecbcc5a1edf5
com.amazonaws	aws-java-sdk-glue	1.11.334		7e6969b621a53638ece0dd718f43fa608d96c6ce
com.amazonaws	aws-java-sdk-glue	1.11.335		fe134b7ecc7400f74f143d7c505cf735da5fd8bc
com.amazonaws	aws-java-sdk-glue	1.11.336		63b7b994f9772eb58a3e5f64876caa084b6c0dee
com.amazonaws	aws-java-sdk-glue	1.11.337		f43410adbf344ba43a99ac2fab0b206361e8dbc8
