ai.smartwall	android-sdk	0.0.1		N/A
cn.stylefeng.roses	mongodb-spring-boot-starter	7.1.3		d83fc3f5150bf0d0593a808f9d3616fdce1cd730
cn.stylefeng.roses	mongodb-spring-boot-starter	7.1.4		74bf13e2d749c4b982a65dbeb5127dfdeef0edf7
cn.stylefeng.roses	mongodb-spring-boot-starter	7.1.5		797ebe63b3d8ca45b9056481bbda3480acf1a694
cn.stylefeng.roses	mongodb-spring-boot-starter	7.2.0		382afbae029d37c6a7b9f5e8dafda2dfb3998d4f
cn.stylefeng.roses	mongodb-spring-boot-starter	7.2.1		24c641a480d1d1a17850c53de0bfb268c5b2756e
cn.stylefeng.roses	mongodb-spring-boot-starter	7.2.2		33482fbdd52c8970f0ee6f83058d37b35ab438ac
cn.stylefeng.roses	mongodb-spring-boot-starter	7.2.3		b23baafd936ed8e5a6836cbf07314fd82315ebd3
cn.stylefeng.roses	mongodb-spring-boot-starter	7.2.4		e8ed95a6a595c4f8abd01a12bcb851d56b3aa1e6
cn.stylefeng.roses	mongodb-spring-boot-starter	7.3.1		c94757ff9041e352868c24b6bd65941863e722a3
cn.stylefeng.roses	mongodb-spring-boot-starter	7.3.2		b3f72b0791de44207a29b0fb7eca4755480c564e
cn.stylefeng.roses	mongodb-spring-boot-starter	7.3.3		ba197dfb1030710b78930002a594f14160a55843
cn.stylefeng.roses	mongodb-spring-boot-starter	7.3.4		c789e1386babc97efc478b89b73c95f09d3e4c7b
cn.ucloud	ucloud-sdk-java-ufile	1.0.0-release		c4c479ef5f9499a157b76bcbf01fbd61591ffa11
cn.ucloud	ucloud-sdk-java-ufile	1.0.1-release		ea9cb86c759c19c685797e55f7a12c376d6114f3
cn.ucloud	ucloud-sdk-java-ufile	1.0.2-release		d1b7b21f173babec918a898c5d9f457d5bb3b1da
cn.ucloud	ucloud-sdk-java-ufile	1.0.4-release		0b356b95e4099f955781046c701c339936881203
cn.ucloud	ucloud-sdk-java-ufile	1.0.5-release		084d6b8de7976c1f6a72f9ff29365ca6517d417d
cn.ucloud	ucloud-sdk-java-ufile	1.0.6-release		2504059506fe4407f89fc60a030c48696b8a676b
cn.ucloud	ucloud-sdk-java-ufile	1.0.7-release		a2f930db9e60d210913384509951d2861db2a79d
cn.ucloud	ucloud-sdk-java-ufile	1.0.8-release		89800b94eec722c07fb922e98f07e1b9e35c46d6
cn.ucloud	ucloud-sdk-java-ufile	1.0.9-release		d11affb86ea9836f288f557d67cd213440507f60
cn.ucloud	ucloud-sdk-java-ufile	1.1.0-release		cd84d82130936f0d434661531e23f450a1b4ad5d
cn.ucloud	ucloud-sdk-java-ufile	1.1.1-release		4cd596f146f0cf5a7a1864c6ddd34a78bb06e741
cn.ucloud	ucloud-sdk-java-ufile	1.1.2-release		25484e8fa65f58af2eab7e438714433d84d91830
cn.ucloud	ucloud-sdk-java-ufile	1.2.0-release		d738f1b88cf10a6c7507ca37edabc4c96e123dbf
cn.ucloud	ucloud-sdk-java-ufile	1.2.1-release		4e453c9a519e38ba3719899ffe172e92f758f514
cn.ucloud	ucloud-sdk-java-ufile	1.2.10-release		515229ee95115cdd9cd63529edc2a312dd37504d
cn.ucloud	ucloud-sdk-java-ufile	1.2.11-release		c8e7cfffbdab270dd729065f6ed79ee8b4aab935
cn.ucloud	ucloud-sdk-java-ufile	1.2.12-release		2ac92ab59ed5e15c3d32878c33c5d6a0d003e738
cn.ucloud	ucloud-sdk-java-ufile	1.2.14-release		9d44a600254b9f6b60945338f1c5ba1d416e0be0
cn.ucloud	ucloud-sdk-java-ufile	1.2.15-release		a99197fafee2d0e0ae39e0a3a5e2404775e0879f
cn.ucloud	ucloud-sdk-java-ufile	1.2.16-release		5632043b619f0ffdc9b0815af07b296831951524
cn.ucloud	ucloud-sdk-java-ufile	1.2.17-release		ec64a776a9ea93f6d8d74cd493a2238a6991c25f
cn.ucloud	ucloud-sdk-java-ufile	1.2.18-release		033764f139e1daf624b33fc45a94a7a80ef6381b
cn.ucloud	ucloud-sdk-java-ufile	1.2.19-release		982c23a74394e331a8ef4da108c54afeb05764ab
cn.ucloud	ucloud-sdk-java-ufile	1.2.2-release		0af20d5ed9962524ce71186b717ae0cf69288408
cn.ucloud	ucloud-sdk-java-ufile	1.2.20-release		33c094793b93e4a9d0af307079a137978b8c221a
cn.ucloud	ucloud-sdk-java-ufile	1.2.21-release		7e42139658a75751b1ad38a86527e6d279a03a05
cn.ucloud	ucloud-sdk-java-ufile	1.2.22-release		abc9559f45371b627969b0636c53213c1438313e
cn.ucloud	ucloud-sdk-java-ufile	1.2.23-release		947c7256024564d6be9b875fff41701c3dbbccd8
cn.ucloud	ucloud-sdk-java-ufile	1.2.24-release		75eb55f7a8b43035b5e67fc71348e16fe8ed9d32
cn.ucloud	ucloud-sdk-java-ufile	1.2.25-release		da6a84ae653fc1913dc211385b5e820242cc4e0e
cn.ucloud	ucloud-sdk-java-ufile	1.2.26-release		05653c79b2e85d49b950478563a31a09d9b38b32
cn.ucloud	ucloud-sdk-java-ufile	1.2.27-release		ff7793cdd4116a6b14d49c359bf598d7e01dd5e0
cn.ucloud	ucloud-sdk-java-ufile	1.2.28-release		19b9bc32c4044a136424258c4b624958d903abad
cn.ucloud	ucloud-sdk-java-ufile	1.2.3-release		d57a2d15c389be545682841db67f395ec0dce7c2
cn.ucloud	ucloud-sdk-java-ufile	1.2.30-release		2ca5244a64a1ef4dfc140c05a98729aaebdc3408
cn.ucloud	ucloud-sdk-java-ufile	1.2.31-release		4ec6d03a463543551dc54951df3ba7f492c0f839
cn.ucloud	ucloud-sdk-java-ufile	1.2.32-release		546f51d146ff1b5e79189cb9341cce49daede674
cn.ucloud	ucloud-sdk-java-ufile	1.2.33-release		f3e3a408a5f3ebb889b5a7f539223e7ad3271eec
cn.ucloud	ucloud-sdk-java-ufile	1.2.34-release		b0b546f9321fd09e11bcd375b1608c37492c1643
cn.ucloud	ucloud-sdk-java-ufile	1.2.35-release		b3f8dfd626a3802e23134865050401017babcc8c
cn.ucloud	ucloud-sdk-java-ufile	1.2.36-release		023fd020df1319afdd72f9b35b172849e8980fa1
cn.ucloud	ucloud-sdk-java-ufile	1.2.37-release		e5fea1a7c9b95d64b7cfe1e410d933ad40bbd6f5
cn.ucloud	ucloud-sdk-java-ufile	1.2.38-release		7054129d3b720b05c472e2ea1d72272e632a411f
cn.ucloud	ucloud-sdk-java-ufile	1.2.39-release		a81fefe24e8e520615e7a2903bc9d3d827a57eba
cn.ucloud	ucloud-sdk-java-ufile	1.2.4-release		834b9d818b630003ee18a7557c038fa75d99a43b
cn.ucloud	ucloud-sdk-java-ufile	1.2.5-release		194a880c39b090a5ed2381dd161c806bbc3e376f
cn.ucloud	ucloud-sdk-java-ufile	1.2.6-release		916c48f4dc810bb19eeed895b594f02fa309329b
cn.ucloud	ucloud-sdk-java-ufile	1.2.7-release		8b40433a3b9147b903e864bda80415ed57925854
cn.ucloud	ucloud-sdk-java-ufile	1.2.8-release		cd384659f52eec9863e37bf2afab8d20e9aaf6c8
cn.ucloud	ucloud-sdk-java-ufile	1.2.9-release		f5aad6c3ffa45a2b565bed049276e12b6eadcbeb
com.appstractive	ktor-server-auth-jwt-linuxx64	1.0.0		N/A
com.appstractive	ktor-server-auth-jwt-linuxx64	1.0.1		N/A
com.appstractive	ktor-server-auth-jwt-linuxx64	1.0.3		N/A
com.appstractive	ktor-server-auth-jwt-linuxx64	1.1.0		N/A
com.appstractive	ktor-server-auth-jwt-linuxx64	1.1.0-2.0.21		N/A
com.armanbilge	http4s-tomcat-server_3	1.0-148-8da8898		16a8d08c768c9b2e36c67eeb6b678af3ac92bcee
com.armanbilge	http4s-tomcat-server_3	1.0-377-020cf9e		84fca0e2a5c45bc64b1790f2d4dae52d8f529053
com.armanbilge	root_2.12	0.0.1		5f0ee98d3a77e293c12f5baaa923a8bb0b16bfdd
com.armanbilge	root_2.12	0.1.0		dbbb41eb64dde963845a6fd79bc0f6329e220dab
com.blinkfox	jpack-maven-plugin	1.0.0		cedf85d7ef51ba64977dbff801888d933384c064
com.blinkfox	jpack-maven-plugin	1.1.0		b01a94c9e89e9026a3135b70e320ceaae5c87c36
com.blinkfox	jpack-maven-plugin	1.2.0		127102d8e1a21ee34f5b3b2d20ff63fd68cd798e
com.blinkfox	jpack-maven-plugin	1.2.1		ebeb0886aa734841f25a5005394b15e18ba11348
com.blinkfox	jpack-maven-plugin	1.3.0		71536894aae1e4672f4d89af296df0fd6d0c02db
com.blinkfox	jpack-maven-plugin	1.3.1		b04f31f66d8e46d4223ed41ed1f6d6d23a8ac8bf
com.blinkfox	jpack-maven-plugin	1.3.2		18f3fbcef502433763ef4be0a76a51697de0c5f3
com.blinkfox	jpack-maven-plugin	1.3.3		76f6a1e6aeedc6046f88dc96855cc805e9ec0dee
com.blinkfox	jpack-maven-plugin	1.3.4		cac7ef8c0a35dca07dae0d67f28aa98a6b96b10e
com.blinkfox	jpack-maven-plugin	1.4.0		c2c9a649a12b0e1cef97b475744b791a3dc5c591
com.blinkfox	jpack-maven-plugin	1.5.0		0a73d9ed681b449cbd90b8589e5cd32520006754
com.blinkfox	jpack-maven-plugin	1.5.1		9cd467fe2334ece137d421eeb9c4b99631c1b0e1
com.blinkfox	jpack-maven-plugin	1.5.2		781bde1833c3ff52b34154d4a2c430ea3c6d3a86
com.blinkfox	jpack-maven-plugin	1.5.3		11c372a0757778288baa98302cb4cf834c2d26e2
com.blinkfox	jpack-maven-plugin	1.5.4		b0f649eb7058b4ee0ffc5cc647b751a46238cd23
com.blinkfox	jpack-maven-plugin	1.5.5		ad744d6e2c8328d443f7f6a6415009a85b9cae09
com.coxautodata	waimak-dataquality_2.13	2.9.2		33a0796716b1a16e48aadfc7ffcd7befa55f81b5
com.coxautodata	waimak-dataquality_2.13	2.9.3		b0c58268cccf3ee9e8da3b2eacdf41309fa003b3
com.coxautodata	waimak-dataquality_2.13	2.9.4		3a27b61a9a52ffc02fc3368441fabb5d47487848
com.coxautodata	waimak-dataquality_2.13	2.9.5		1a8491d6e94d040aa1435c0b555b2182bd02c5e0
com.coxautodata	waimak-dataquality_2.13	2.9.6		6abcb4fa3fa4b8e54f102460d292f6d23cdaa5dc
com.coxautodata	waimak-dataquality_2.13	2.9.7		028b57b1fcbb66c122b711fba09cc4940450d426
com.deltaprojects	lagom-opentracing_2.11	0.1.0		16514b01e1acd1dd2038e7106a8ce03c195afa60
com.deltaprojects	lagom-opentracing_2.11	0.1.1		400fee6e21511fc90b185a714d4efc2656d0c5b9
com.deltaprojects	lagom-opentracing_2.11	0.1.2		27671e3a711cf16e5169435245d8df9a556a28fd
com.deltaprojects	lagom-opentracing_2.11	0.2.0		a711f9b20bebca65a6310100350838661930368b
com.deltaprojects	lagom-opentracing_2.11	0.2.1		62bc0764b47b0fb23161d7bfa2281beeabf1b4f0
com.deltaprojects	lagom-opentracing_2.11	0.2.2		4dbcc82bd0a34fa0eaa2e637aa5085ee794216ec
com.deltaprojects	lagom-opentracing_2.11	0.2.3		4928e984c3cac51e04d594503c796244bbfd77ed
com.github.anskarl	parsimonious-commons_2.13	thrift_0.10-0.5.0		66e5bb3c90550db2c52aa2489bfa9e8798f44abf
com.github.anskarl	parsimonious-commons_2.13	thrift_0.10-0.5.1		eff216bfb0ab7d3eb4d367984a4f7e3c27f5965a
com.github.anskarl	parsimonious-commons_2.13	thrift_0.13-0.5.0		fe6b46994174188502478a655a5b1d0ecce42be2
com.github.anskarl	parsimonious-commons_2.13	thrift_0.13-0.5.1		facad475005fbe2a687d842e9e5a4289b9c77da2
com.github.jerrymice	spring-boot-starter-jerrymice-permission	1.0.0.beta1		47e2703af544cf2601acbfd5a01eb74883410b4a
com.github.myoss.checkstyle	code-format-checkstyle	1.0.0.RELEASE		e7519479c3c1f45d2acd2fcb9872aaec73f8b20e
com.github.myoss.checkstyle	code-format-checkstyle	1.0.1.RELEASE		4552583b430b0b40989753d1720833942e531b1c
com.github.pshirshov.izumi.legacy	clustering_2.12	1.3.2		eab668b5691bb8feabc299be22913b310b309191
com.github.pshirshov.izumi.legacy	clustering_2.12	1.3.3		2eaeba5a5076c8e68aeff42f5486470e7b48eae1
com.github.pshirshov.izumi.legacy	clustering_2.12	1.3.4		b6ebc138ea1b1e630f75512eea4f7ed816efa744
com.github.pshirshov.izumi.legacy	clustering_2.12	1.3.5		ebe13741fe4c9fbc728a742115aa3a3ffa90070e
com.github.pshirshov.izumi.legacy	clustering_2.12	1.3.6		96e9fe3a374697aa5ddaf8e13c5c2fc776459aea
com.github.pshirshov.izumi.legacy	clustering_2.12	1.3.7		fda940586675216b7d45eeb597b6734234633cde
com.github.pshirshov.izumi.legacy	clustering_2.12	1.4.1		c50fbc0aaa621f5ccc5954dcff6af6bf4506039e
com.github.pshirshov.izumi.legacy	clustering_2.12	1.4.12		f1023ad02afc3976d36d74b586c83a71ef78ddb5
com.github.pshirshov.izumi.legacy	clustering_2.12	1.4.13		1cc0b2d26326ae557dc01c151d707c61b42152d1
com.github.pshirshov.izumi.legacy	clustering_2.12	1.4.16		26e07cd985c48ec73532dac9b1ca94fd93bbc992
com.github.pshirshov.izumi.legacy	clustering_2.12	1.4.2		11f7c0008a4671c0030d69d1c04d68179960b40e
com.github.pshirshov.izumi.legacy	clustering_2.12	1.4.3		519b58d1aa5eb478f41fa422285ccd81ba06733d
com.github.pshirshov.izumi.legacy	clustering_2.12	1.4.4		2a2f281fdbbcbffd1fcd71e49b8a76fefad0acb3
com.github.pshirshov.izumi.legacy	clustering_2.12	1.4.5		f5cd4bef20ec3edd7866ee96ca9c9263d97ea62b
com.github.pshirshov.izumi.legacy	clustering_2.12	1.4.6		19e373edadbc395d32a8f5f49fa22e82a39194d0
com.github.pshirshov.izumi.legacy	clustering_2.12	1.4.9		8c15ddbd3ff43a19406eabcbb574c034d25b646e
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.0		dca8a892a8683f94cc82dbb3c07b508a6e06768c
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.0-RC10		5377e3ea59661d23c29303c58fa39997074a462a
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.0-RC2		354c491ead527712e7d318773df412f9e256bbf4
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.0-RC3		65bea221f4d729f242700b0ebace5f7bd64d532d
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.0-RC4		7b1f6dcd6e9ccc3613a1665dc306a5151e232825
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.0-RC5		3b2af5e004aee9543fb7c42fba9ea645ebf4bcfe
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.0-RC6		f240f6ffc9dfadcd66ad03001fb3a25f2a4c09f5
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.0-RC7		741f02d338bc383d85b6fa83b4ecbd51ad604689
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.0-RC8		0d2a740df9b00ddb200e6663bb9128c25c8dc33a
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.0-RC9		a565719776c7c08a6a887f2f7963080ffaa4bbe8
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.1		228420bd57d14d5c4dfd4f61d4812f188f1d156d
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.2		61c2238cdd0b61d3693ccc852071f58f60f6e1ea
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.3		faaa3f29fe8644eae3c727c3d18f789b29a2a069
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.4		3cb6373866260e1455448cee2b210373a6315920
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.5		3aa1808686d10c48185e742ec64b2d47c915f612
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.6		2963b58e8a192944d31e718b1dff78ee12b8c81e
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.7		39259a2824c5964860c41ac8f5dd21f329582b5c
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.0.8		1f06476104e386b946af679a5d21497f1691ef7f
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.1.0		41e6640f51341a5df4cdae014dd99903eeb96527
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.1.1		2ca0ee2d18e752ba74db7e3073a107a18ac26dce
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.1.2		b8aac5974ffd74d3752c0bd2b9174de3800a7a35
com.github.stephanenicolas.toothpick	toothpick-generated-core	1.1.3		12ba994724923e6534446ea38e546ed751d9087c
com.github.vantonov1	basalt-all	1.0		a2c542ba9376c6b81dd3ab78788373584bbd4337
com.github.vmironov.jetpack	jetpack-extensions-intents	0.11.1		N/A
com.github.vmironov.jetpack	jetpack-extensions-intents	0.12.0		N/A
com.github.waikato	jeneric-cmdline	0.0.1		07fe984e5d2b7146a66fbe8b62085d7ae1f2b019
com.github.waikato	jeneric-cmdline	0.0.2		f63fb21b57483b0c2ca672a60528d89fd8e7d05d
com.github.waikato	jeneric-cmdline	0.0.3		9ceb9f9f590511874c4d49f1e5ba97698d759e52
com.github.waikato	jeneric-cmdline	0.0.4		7e586e8a8633558fbdf0fb28ec445139fe5a20e5
com.github.waikato	jeneric-cmdline	0.0.5		e67aa599afcd0c67665288fc166be63f5d9b2c4f
com.github.waikato	jeneric-cmdline	0.0.6		c4a1b87b487c339d95adbbd19f2f924538492861
com.github.waikato	jeneric-cmdline	0.0.7		52fed6153f4f116116c5d79f2d6ec98d8e3a5fbf
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.10		73d9f3a032b6384492c750628a8266e2afbbf690
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.11		1cbcea43e503bdbdb8be7239858305878dbb9e0a
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.12		6153267a0b8d955c54ff7e7aca5686a08dfc39b4
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.2		8dd43f6613895ac8a70857cf5a9297a42a384dc0
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.3		1c917e3793354ed8eb96dd91a44954c7f211dd8e
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.4		f6ce78bce9cd173fa64748fb693e7f1317b08141
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.5		5972be8ef9e7509e5f5236b0fcca36e318cb8115
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.6		8bf1239da79abedb63609fe2d02a7abdaaaf03ca
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.7		5c9b74aa85be7844509f833d04564a5597f6c5ba
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.8		31fc24a421f03ba094505ffd51d7d2a434c6d62e
com.gu.play-secret-rotation	aws-parameterstore_2.12	0.9		843ca55b78d7bc4050c2ab442534f02931902a03
com.guardanis	collection-utils-core	4.0.2		N/A
com.heliorm	mysql	0.71		fe832386276d91b6353dafcbf2d0e67a86f2c9d8
com.heliorm	mysql	0.72		5483b966eeab34ba41c4902a967d5e27cdb7d816
com.heliorm	mysql	0.73		e2730910d0f470e17cdb4c58b7f2c01838a00208
com.heliorm	mysql	0.75		4543c7e33d0aea875de196f0f7c88840edaca530
com.heliorm	mysql	0.76		00fd7e0fe91540996cb8a795d9af3ac935025b9a
com.heliorm	mysql	0.77		5b40a6f28ee335e4bd21bfce58d1243e5068b6e4
com.heliorm	mysql	0.78		578ce9ed3d93e266cba87b48f685d950f51b8a40
com.heliorm	mysql	0.79		ee7a8684ec95f3d696b9c20680cf39aff6c7bb71
com.heliorm	mysql	0.80		144740b5c9c4dff94de3e5a57eb933b426c76b95
com.heliorm	mysql	0.81		703ac6f7ad04ff2af69d689d70cb8c640dbdc9f0
com.heliorm	mysql	0.82		559d469aea1e43308a40263ca3cfe83dc1aa4aa0
com.heliorm	mysql	0.83		6ae185f7078110706a30fd821c15d9d814ef98b0
com.heliorm	mysql	0.84		243f0a91f8a1292aa7b0e717d777e0afeb525ed4
com.heliorm	mysql	0.85		65ab65e3d78596c459aa44a2eabbce0b78f5579b
com.heliorm	mysql	0.86		056f73409238dc9ab460c85e9e39090314c0b6fc
com.heliorm	mysql	0.87		c2175836b37c356f70210770d20e8e1362087ef0
com.heliorm	mysql	0.88		b71ac796b350b8dca4e60090a51f7ddd14db94bd
com.heliorm	mysql	0.89		e52d4494657b42b889a1e7d10b9c883a9347c027
com.heliorm	mysql	0.90		06b28429d60c5634059570cdfb53bc44948f2cd2
com.heliorm	mysql	0.91		f8d3588dc227d3e817a4ce8404e0774222223849
com.heliorm	mysql	0.95		be52f6241a0230b7a5d3b7d365ed7b015f7f1313
com.heliorm	mysql	0.97		936a630c00bc3144953a18523c26d25f63768d9e
com.heliorm	mysql	0.98		c17f535979b9c63d3cc4b158c26f9b3edc9c0c12
com.heliorm	mysql	0.99.1		eb1bd90bf8b09de91b6af0d15b391de3f6b67960
com.heliorm	mysql	0.99.2		fb4241ba7707bf504ec659a11d1d12c7259f66d3
com.heliorm	mysql	0.99.3		cffbf078735233338d55821dad10412f2a301ff5
com.hexagonkt	scheduler	1.5.4		f1564cbb9fdf4e704efe1e9d06186294d3af427f
com.hexagonkt	scheduler	1.6.0		01276e34afd4d93360c8c68bd9496506bced62d5
com.hexagonkt	scheduler	2.0.0		8df1baf010fcc4157f433eb13af64c442e8d2d50
com.hexagonkt	scheduler	2.0.1		6da24a7ceaafe9f272b93025096a6c413b64dcfb
com.hexagonkt	scheduler	2.0.10		1d631d9cb43d5ccd998633abcad164e99428b494
com.hexagonkt	scheduler	2.0.14		9c9fc7b39dead791d7f00f79219a5caf173cc8d9
com.hexagonkt	scheduler	2.0.15		8633a1aeec812f4b2d75715ddd35c6cc29aae41b
com.hexagonkt	scheduler	2.0.16		35038561e588db516417c4ee6fef0a06c0190657
com.hexagonkt	scheduler	2.0.17		05365395c316184021a6a5110eed0624d409ea1b
com.hexagonkt	scheduler	2.0.18		61cbef8026f202eb398f386efc2bc9571de06a5c
com.hexagonkt	scheduler	2.0.19		273f7bacd86136cddc413ae3312bd57f8be61120
com.hexagonkt	scheduler	2.0.2		75b1e612e90dd970b0f804712e04a7de577e194b
com.hexagonkt	scheduler	2.0.21		7aff29dbd909e8964497dee6961cf376f2529300
com.hexagonkt	scheduler	2.0.23		1e12a4f1c61bf98a6cd79347300211be091f6659
com.hexagonkt	scheduler	2.0.24		2f1dad44185ab72a8363de7891d4ef736eb2f7f0
com.hexagonkt	scheduler	2.0.25		5df2fb423af11a28a1faa1316d5aa95e7ddce650
com.hexagonkt	scheduler	2.0.26		a0f571fb95b167772bd57ca2b9fb289445a533f9
com.hexagonkt	scheduler	2.0.5		096f7e8e41a1893805cd6be2486d2ebdf42846d1
com.hexagonkt	scheduler	2.0.6		323fb6453845223932fdfa64920aaf4797fd3fd7
com.hexagonkt	scheduler	2.0.7		1b09f82409f60ec239a38b3c6786f4a0fd1a896c
com.hexagonkt	scheduler	2.0.9		70cf721c101e1b6c35b2b4713ef4b4784b931c8d
com.hexagonkt	scheduler	2.1.2		9652dfdd3bae0efb361e6c7ece96730175d67d2f
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	1.0.0		a90734bfade8a44c4e33f862a35e2f065ca819e6
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.0		484c27da37629fbcbad25f703880754446e37ac8
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.1		0b1886fdc5c51b2d4d43a349c31a4fa58e528884
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.10		719e9bfd91385a993ccb22c741dcac42d05fd5c9
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.11		3e36e245a3d3023d360e741a3b4010a83b9e0150
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.12		e9b5eae3713db94457d8fdaee9c3c4d55c06703f
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.13		6aa5066af56fa4273f0e841add50afaac0a59e3b
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.14		f423f50200e0cb5b9cd3599f3fd24ff03bb065c0
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.15		55c8d65bade0576e605b05edd9424251b4e6b2bb
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.16		9ae770dccf99e94fb42ca07392c8db625b74e4eb
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.17		18018b795373cf98f87ff4084df12f13e76066da
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.18		05ae3ed2e5591b8c4958caf645189fe7d327dcd1
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.19		5d4a4b46fa6d08533014cbd95450c9150ee6f888
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.2		ef1b8ad19e4c05c12ea34e2ab160963a4984a6c0
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.20		7db1f65da88e0f34027af08c6a0ff45ff6fe87a4
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.3		cb775c8a77faf708308fc422a7228d48dace71e4
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.4		56f80f1684bc21f6f9a6e8d97ba6a780a660e6fe
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.5		32c574a1da67a6bb6db4d825eccdf179331b036a
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.6		9a6079f19cbea17672b9d85769199fe6c90530a0
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.7		5122ecd94efeb81b5b5ee07077f4dab5231db0d3
com.liferay	com.liferay.product.navigation.control.menu.theme.contributor	2.0.8		8fc248b4fab491c3bc750f65d01cfe382d4ee83e
