ch.epfl.scala	library-example_2.13	1.0.1		51e14635b93745d65800ab9a6f35766f14511de1
com.armanbilge	http4s-okhttp-client_2.12	1.0-377-020cf9e		9104a6559379838a2875db38ab002db085c7439a
com.daftmobile.redukt	redukt-test-jvm	1.0		29d12b6c2839e49f8942618712a51d88e0ea21cf
com.datadoghq	datadog-lambda-java	0.0.10		c4d67bc032844397777d0d40b4b9410f7f6f8af6
com.datadoghq	datadog-lambda-java	0.0.6		c1bf3b0247dd48bcc2fd870da02aad34893c3c46
com.datadoghq	datadog-lambda-java	0.0.7		56f5a3e53bc679f173cb85d9e1368cc4ec7b698d
com.datadoghq	datadog-lambda-java	0.0.8		a1800b3f198d3b0d490bdf6d7af86b40b1e9b030
com.datadoghq	datadog-lambda-java	0.0.9		3eaf459d3834bd992e1f3f7d8174ef2deb909cf9
com.datadoghq	datadog-lambda-java	0.2.0		32fa325ea51ad5f54b4a153ab3498296a4d02de1
com.datadoghq	datadog-lambda-java	0.2.1		3126dad4e05289218552a46bd67d202f4bf1513a
com.datadoghq	datadog-lambda-java	0.2.2		dd62b371c8407a98cff6a433c9232994cbae9541
com.datadoghq	datadog-lambda-java	0.2.3		d1f7aea98cbc85580d91c93d067b06ba68460ef9
com.datadoghq	datadog-lambda-java	0.2.4		e99fb53416b21dba902235116873cb7e9f1fa26c
com.datadoghq	datadog-lambda-java	0.3.0		4a375e1060b7b65ad340928c717e84a716130f47
com.datadoghq	datadog-lambda-java	0.3.1		b794916aa4e810eb80327f356c91e96caa7ff9ce
com.datadoghq	datadog-lambda-java	0.3.2		0443594d0e0742a076c64ae01393bde0f29d1322
com.datadoghq	datadog-lambda-java	0.3.3		fbb59588aef50abfbc157a2af3c7d71d257e99e6
com.datadoghq	datadog-lambda-java	0.3.4		1c88af1791aa7edeaf3a8a434e76e2114a2eb58a
com.datadoghq	datadog-lambda-java	0.3.5		37c27d463b12507edb76999477d9f616088cb419
com.datadoghq	datadog-lambda-java	0.3.6		cb4aff3862722674d293b958e145422567498fbb
com.datadoghq	datadog-lambda-java	1.4.0		787a1b3be96802fe4bafde749f45cf3862c5ab89
com.datadoghq	datadog-lambda-java	1.4.1		b05690c4dcbf0d9483de7e4936dcb5001bc1dc29
com.datadoghq	datadog-lambda-java	1.4.10		e947c4465f6a67a254fb6858e4dc346a5b2849c4
com.datadoghq	datadog-lambda-java	1.4.2		46149264037a5c85752b6bc1f76ae5be02e52262
com.datadoghq	datadog-lambda-java	1.4.3		3e7ca274f9a3e7a4df1cfdb75e0d5698278494ef
com.datadoghq	datadog-lambda-java	1.4.4		8f0214076847012e25218e978f647ce8dcb39daf
com.datadoghq	datadog-lambda-java	1.4.5		5af54bc250251cf2ead58bfbdc84ed9eec84fc70
com.dorkbox	Notify	2.0		87f37cd783b3314dddea8935ae3ef1eb2bd51875
com.dorkbox	Notify	2.1		fffbb9bb5fdb688dcd13c7e05f8fff33bade1cd9
com.dorkbox	Notify	2.11		484ded49a9025ab14bbee9ea5f7ac395dbe8a3e9
com.dorkbox	Notify	2.12		8e0f9e413e3ea8fbf55d68d4e6b3f08392527526
com.dorkbox	Notify	2.13		d2e8e3c01c3fefd022b7c066527d21bfad817041
com.dorkbox	Notify	2.14		3b8b265c45d6b177beb9a776a26b76cdf2f0e129
com.dorkbox	Notify	2.15		0b5e5dc7130e03f44dffc1929fb31b380f29aebd
com.dorkbox	Notify	2.16		571436f0c799d23b835858cca1abe59724eedff4
com.dorkbox	Notify	2.17		6e218b7bb255b0326cbb924651e8c71b15cb187f
com.dorkbox	Notify	2.18		21ba75a398a861cbc6af2a819c23edb7687afed9
com.dorkbox	Notify	2.19		d6d7ee3f324ce95c148b08608038bf304f1bb865
com.dorkbox	Notify	2.20		76d95b45ef95fe089d6669616a54d50c253f82ea
com.dorkbox	Notify	2.4		N/A
com.dorkbox	Notify	2.5		cf72c79b8c62cac5d93cfe7d1bc5229edd9a1a53
com.dorkbox	Notify	2.6		bd15d637de18a3641c55e16162e7225d5b98922d
com.dorkbox	Notify	2.7		06fdbb6fd1adf373bd2e060f22c3b84239696a7a
com.dorkbox	Notify	3.0		775fb7cbc4af2f4e5bf436a51d9524f057aad724
com.dorkbox	Notify	3.1		846e94b756391e0422942a43116c7ac285a7e694
com.dorkbox	Notify	3.2		482356beee238dded25defdc28b703cd07d2de78
com.dorkbox	Notify	3.3		9b7a5e0143670636435ffda63449205d2ec0a65c
com.dorkbox	Notify	3.4		b325afc51a7c985f6ac1b99526a03b36d0268237
com.dorkbox	Notify	3.5		7e9798fe78c44df3eeeb2ef911cdaa134a123aff
com.dorkbox	Notify	3.6		f84cacd8692960be94070184591d9e262b4b8b00
com.dorkbox	Notify	3.7		e02d76b599723fa4df6e8035ada16bc95e9c4402
com.dorkbox	Notify	4.1		0a36a0fb5051bc8a475e84f313590112ca4f4aff
com.dorkbox	Notify	4.2		cef11811a70177c68a753f7303088f3a9d38db8e
com.dorkbox	Notify	4.3		b9641317e10cbaf310946ceaadff73b722b9665b
com.dorkbox	Notify	4.4		901697c42a49f80f21edf648b06165df1406e00e
com.dorkbox	Notify	4.5		17dfbdd305638340218d354c3360ebd97ede04c1
com.episode6.redux	store-flow-tvosx64	1.0.0		N/A
com.episode6.redux	store-flow-tvosx64	1.0.0	metadata	b736c3190ed6a888633e64e2b2fbc82639b57666
com.episode6.redux	store-flow-tvosx64	1.0.0-alpha03		N/A
com.episode6.redux	store-flow-tvosx64	1.0.0-alpha03	metadata	c4877d9d56ccaad1cb6602b94b8c1bae0a266957
com.episode6.redux	store-flow-tvosx64	1.0.0-beta01		N/A
com.episode6.redux	store-flow-tvosx64	1.0.0-beta01	metadata	d1b61d6d45ecd19f0d31e3b543cf851520c184b6
com.episode6.redux	store-flow-tvosx64	1.0.1		N/A
com.episode6.redux	store-flow-tvosx64	1.0.1	metadata	7c09b9cdc17d3fe1db7708aa2f874382bd5b593d
com.github.arturopala	buffer-and-slice_2.11	1.0.0		af0e25e0b29a1aabb332d6f37706900a117cfd17
com.github.arturopala	buffer-and-slice_2.11	1.1.0		dd860c88621b514e93df413f94afee9d6c289a0c
com.github.arturopala	buffer-and-slice_2.11	1.10.0		dc731a2768e8a60c3019f896bfaccc5e4fee440e
com.github.arturopala	buffer-and-slice_2.11	1.11.0		a0e5d512d519127b91f82c9203d67b1777224b08
com.github.arturopala	buffer-and-slice_2.11	1.12.0		0c2cd810b73859d3cdf47fcf5ef13feeb9180211
com.github.arturopala	buffer-and-slice_2.11	1.12.1		053c809c66c0a9fdc3090f9043f4216285ba8eb9
com.github.arturopala	buffer-and-slice_2.11	1.13.0		eb8b7d099cc924486f1a59a6527a796d372437ba
com.github.arturopala	buffer-and-slice_2.11	1.14.0		b3ff8b63e1a3aa4f7925c3458a21aea2148d7e23
com.github.arturopala	buffer-and-slice_2.11	1.15.0		3527e0d366ba0e72d46e56cd88e3453b621d2d30
com.github.arturopala	buffer-and-slice_2.11	1.16.0		342f722d4764b9d51dc3516009f2eeac6e671f7d
com.github.arturopala	buffer-and-slice_2.11	1.17.0		e9f40b59951afddcd3f7409f45dcc48b5496f2fe
com.github.arturopala	buffer-and-slice_2.11	1.18.0		0c54c882d3873d645ceeef033c8b0b9eae9157ee
com.github.arturopala	buffer-and-slice_2.11	1.19.0		6394dd7b3bfa7d8f05a81cd8d4b993413c3011ed
com.github.arturopala	buffer-and-slice_2.11	1.2.0		ebbe6bc3dfea47da621f4e82269f84a07f92a7b4
com.github.arturopala	buffer-and-slice_2.11	1.2.1		9ec446679c0f5f6db8486ea09d9f0dd5910627b8
com.github.arturopala	buffer-and-slice_2.11	1.2.2		aabbe1bb081d470805b78c1b77f83ce3a9d0a498
com.github.arturopala	buffer-and-slice_2.11	1.20.0		249f5432a46003df591744d01f57793cd53606c9
com.github.arturopala	buffer-and-slice_2.11	1.21.0		1bc94b47d7544442469fd06378b45b3b2efd1e59
com.github.arturopala	buffer-and-slice_2.11	1.22.0		fc4ec4df627013cb6e1e986c60d0c301bbb19852
com.github.arturopala	buffer-and-slice_2.11	1.23.0		cb876f3d12a500bd09e0ad37ce01e32c66013ff7
com.github.arturopala	buffer-and-slice_2.11	1.24.0		34a88f344fe136b981c88fa1bf9f4f8cec3994f9
com.github.arturopala	buffer-and-slice_2.11	1.25.0		62086f54d412639e48e858ef8dc3115a4a07890b
com.github.arturopala	buffer-and-slice_2.11	1.26.0		a7f915a71d666cafb29542923115f53eb12a976b
com.github.arturopala	buffer-and-slice_2.11	1.27.0		ddf7651d5a0b52a39e6ccbe1b9a4d13e3e20d0a5
com.github.arturopala	buffer-and-slice_2.11	1.28.0		8c57f58cb32fdbb9fc1dfc831038b653f3607acc
com.github.arturopala	buffer-and-slice_2.11	1.29.0		972d76f08c2d14bc0c6a4e3abdec0ec6f3e1407a
com.github.arturopala	buffer-and-slice_2.11	1.3.0		563a12cb20583955cfa77ad6d9970e3a0ba7c67a
com.github.arturopala	buffer-and-slice_2.11	1.3.1		02f9c7a782bd3f268db25256d32f23c2688ec318
com.github.arturopala	buffer-and-slice_2.11	1.3.2		23827088cba3cace886f554e83c0f6bf3d6a0872
com.github.arturopala	buffer-and-slice_2.11	1.30.0		c238a739ba003cc1f5bdbd455a422e067399ae6c
com.github.arturopala	buffer-and-slice_2.11	1.31.0		e15df95fa4dad03199a0b35492fe69522620acce
com.github.arturopala	buffer-and-slice_2.11	1.32.0		b87833a0e894b8911f232244ce84cde8802e3505
com.github.arturopala	buffer-and-slice_2.11	1.33.0		e16b7a45647ee8485620aa16903140246e6a9448
com.github.arturopala	buffer-and-slice_2.11	1.34.0		23453534414787bda62da0dd8743f9756f09b67a
com.github.arturopala	buffer-and-slice_2.11	1.35.0		0dc367b4b61038e47833d8dcbc0d5b775deb543c
com.github.arturopala	buffer-and-slice_2.11	1.36.0		22497ae1cda4f6e4b55f55a0bcae3b4dff35235d
com.github.arturopala	buffer-and-slice_2.11	1.37.0		0f10e110bf520ff5b2d8cbb063d1c8c20572bccd
com.github.arturopala	buffer-and-slice_2.11	1.38.0		69cb697bb38fe28755c2141b974e0a84552e9abf
com.github.arturopala	buffer-and-slice_2.11	1.39.0		8c305d4cb12710496bc7169e1800e1d1c322de1c
com.github.arturopala	buffer-and-slice_2.11	1.4.0		05161aed3dcf11ef8c2d1570916bcacdebad2aff
com.github.arturopala	buffer-and-slice_2.11	1.40.0		07530ec41231c6803f63613a5ccec5348bc0ccc1
com.github.arturopala	buffer-and-slice_2.11	1.41.0		d50842c4ad6fd2908671bc844969d8026e7b0f92
com.github.arturopala	buffer-and-slice_2.11	1.5.0		5c4e7ed83586d7cde218576654fdceb594140c39
com.github.arturopala	buffer-and-slice_2.11	1.51.0		ecd0b5e95ac2920e4ec898d32c11d956685ad9a2
com.github.arturopala	buffer-and-slice_2.11	1.52.0		014284827337728c3ced998c24d420487c12b6f6
com.github.arturopala	buffer-and-slice_2.11	1.53.0		66a2628a4eec59f6b9dacda64296c6063eb852c5
com.github.arturopala	buffer-and-slice_2.11	1.54.0		12f0612adba9ae4b48f21876c3bf17b42e94b203
com.github.arturopala	buffer-and-slice_2.11	1.55.0		601e7638b7e6b76357735ee06b6ed29b16f31ed5
com.github.arturopala	buffer-and-slice_2.11	1.56.0		022d1b9b3f43e068b610f0a09f1f3826ca9ac8f3
com.github.arturopala	buffer-and-slice_2.11	1.57.0		e4cc9974f003bfeaeb78768ddc6a4c107340b509
com.github.arturopala	buffer-and-slice_2.11	1.6.0		83077ee7c01d1d3be109a60307aa962bd7d1e921
com.github.arturopala	buffer-and-slice_2.11	1.6.1		dc78a354bd544e90c9771769b60a1d8d3373018d
com.github.arturopala	buffer-and-slice_2.11	1.6.2		b696bc27db8e1190f47e64c94fe5723b4cf6279b
com.github.arturopala	buffer-and-slice_2.11	1.7.0		865a39f2fd72c46b67f83ef578ede751e0de32e3
com.github.arturopala	buffer-and-slice_2.11	1.7.1		7f2c94fd86bd0810a1dc37b65cff094de301ea09
com.github.arturopala	buffer-and-slice_2.11	1.8.0		0a463b69bb31b7b1be0501239912ab09af017307
com.github.arturopala	buffer-and-slice_2.11	1.9.0		ea5222e9e28a3ffdff03031a67c0e3764d00cadd
com.github.gkutiel	log-client	0-RELEASE		e2fa0448a7222db2a6f5f5f1026630d526605961
com.github.gkutiel	log-client	0.1-RELEASE		81660ac774cc19e2541a9d518827924fdcc87513
com.github.houbb	fulltext-search	0.3.0		N/A
com.github.liuchink.chinkutils	chinkUtils-string	0.0.1.RELEASE		9d07480d4190c0421fe3fd7792ef8d5214aa260c
com.github.liuchink.chinkutils	chinkUtils-string	0.0.10.RELEASE		8771e0a0bd93acaf4dc25892e4318b614b54dee9
com.github.liuchink.chinkutils	chinkUtils-string	0.0.11.RELEASE		36e56f4178631d62133419157b72764867fdb3ad
com.github.liuchink.chinkutils	chinkUtils-string	0.0.12.RELEASE		c60244a074c7501712c57f4710958128325bf94c
com.github.liuchink.chinkutils	chinkUtils-string	0.0.13.RELEASE		96dba10d818c2aa02417abb94ad97066eda504e1
com.github.liuchink.chinkutils	chinkUtils-string	0.0.14.RELEASE		54a708d6880573371affb0c3623032ebfe6c6c95
com.github.liuchink.chinkutils	chinkUtils-string	0.0.15.RELEASE		3745aa2e5616e62b61e7f0d757c18a31ce576c4d
com.github.liuchink.chinkutils	chinkUtils-string	0.0.2.RELEASE		19c35d71d751baa3328ca8c5dcc4e99a7bd063a4
com.github.liuchink.chinkutils	chinkUtils-string	0.0.3.RELEASE		00317c0426783ff3a095991a3b2aa181d4f3fac9
com.github.liuchink.chinkutils	chinkUtils-string	0.0.4.RELEASE		c307761a0aa38a0d063cd0706f075e6a1a2ee1c8
com.github.liuchink.chinkutils	chinkUtils-string	0.0.5.RELEASE		7fbbe192821d689fe68b922264270979349bec69
com.github.liuchink.chinkutils	chinkUtils-string	0.0.6.RELEASE		8fe90bb062e7925e359e24497027ba3d28f02274
com.github.liuchink.chinkutils	chinkUtils-string	0.0.7.RELEASE		8fb20d9961f4edd8d5aa840401ac9f57c4bac7bd
com.github.liuchink.chinkutils	chinkUtils-string	0.0.8.RELEASE		f7d0471efcbd141923aebe55c2c016dacd5babc3
com.github.liuchink.chinkutils	chinkUtils-string	0.0.9.RELEASE		9a4ebe7f499cf7e9b4fc359501f54dac6fd23b4e
com.github.lkoskela.jsptest	jsptest-acceptance-jsp12	0.21		01c901aa8eac16dbb3deacd4f605389f7ec33616
com.github.lordcrekit	JEasy	1.0		e353221b8560602dded5fb648dfbf40bfb081355
com.github.lquiroli	menupager	1.0.0		N/A
com.github.tyrion9	mtask-spring-boot-autoconfigure	0.0.1		54da2310d575ae99a2cbde7b59797138655e30ee
com.github.vineey	rsql-querydsl-filter	1.0.0.M2		25329fbbe94994e097d6e74481715208d32970c2
com.github.vineey	rsql-querydsl-filter	1.0.0.RELEASE		b7b92fa88cb41eec89df7873f9b01d8b27b928d8
com.github.vineey	rsql-querydsl-filter	2.0.0.RELEASE		963f8ac133af3cf95d97149d203d9ca33cf99303
com.googlecode.batchfb	batchfb	2.1.3		f2a37f422cf6fa4b3428d13253c00c3a72c95dbc
com.googlecode.batchfb	batchfb	2.1.4		bb095299aa80dc92d3d09c48c2afaf34fbfede90
com.googlecode.batchfb	batchfb	2.1.5		25815d3ed42cc3824f872906d3ba22b6584e9080
com.googlecode.batchfb	batchfb	2.1.6		d77f3a5fd22f09a1dfd08d63c4d40f4e0ede81b7
com.googlecode.batchfb	batchfb	2.1.7		679ce18f1e371ce1a3594434c5dd84e1eb1a4668
com.hccake	ballcat-system	0.1.0		N/A
com.hccake	ballcat-system	0.2.0		N/A
com.hccake	ballcat-system	0.3.0		N/A
com.hccake	ballcat-system	0.4.0		N/A
com.hccake	ballcat-system	0.5.0		N/A
com.hccake	ballcat-system	0.6.0		N/A
com.hccake	ballcat-system	0.7.0		N/A
com.hccake	ballcat-system	0.7.1		N/A
com.hccake	ballcat-system	0.8.0		N/A
com.hccake	ballcat-system	0.9.0		N/A
com.hccake	ballcat-system	1.0.0		N/A
com.hccake	ballcat-system	1.0.1		N/A
com.hccake	ballcat-system	1.0.2		N/A
com.hccake	ballcat-system	1.0.3		N/A
com.hccake	ballcat-system	1.1.0		N/A
com.hccake	ballcat-system	1.2.0		N/A
com.hccake	ballcat-system	1.3.0		N/A
com.hccake	ballcat-system	1.4.0		N/A
com.hccake	ballcat-system	1.4.1		N/A
com.hccake	ballcat-system	1.4.2		N/A
com.helger.bdve	ph-bdve-parent-pom	5.3.0		N/A
com.helger.bdve	ph-bdve-parent-pom	5.3.1		N/A
com.helger.bdve	ph-bdve-parent-pom	6.0.0		N/A
com.helger.bdve	ph-bdve-parent-pom	6.0.1		N/A
com.helger.bdve	ph-bdve-parent-pom	6.0.2		N/A
com.helger.bdve	ph-bdve-parent-pom	6.0.3		N/A
com.helger.bdve	ph-bdve-parent-pom	6.0.4		N/A
com.hexagontk	serverless_http_google	4.0.0-A1		b87be77f429f8b62d13c94c95f3aa20ce5753a75
com.hexagontk	serverless_http_google	4.0.0-A2		8b7ca5ec9512942d1fb24f69aa0d65788017db93
com.hexagontk	serverless_http_google	4.0.0-A3		6e550dbd220ea41d297a4a247d47c0e074a77348
com.hexagontk	serverless_http_google	4.0.0-A4		562668509ba4bb915ba209403e9ae17cd8917e73
com.hexagontk	serverless_http_google	4.0.0-A5		60747ffb79bf9040339161066f638c3fd2514bc2
com.hexagontk	serverless_http_google	4.0.0-A6		3b787cf05c57a0fab7f6f1fbc02d6eec7b3c01e6
com.igeeksky.xredis	xredis-examples	0.9.0		1bfa9ac45257dcb3d937c742e49abad0812ef4e3
com.lasmanis.maven.tiles	maven-enforcer	0.0.102		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.105		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.109		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.112		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.115		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.122		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.125		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.128		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.131		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.135		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.138		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.141		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.144		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.147		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.15		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.153		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.156		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.19		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.23		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.27		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.31		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.34		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.37		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.42		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.45		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.48		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.51		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.57		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.61		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.64		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.67		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.70		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.73		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.76		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.79		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.84		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.87		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.90		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.93		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.96		N/A
com.lasmanis.maven.tiles	maven-enforcer	0.0.99		N/A
com.microsoft.azure	azure-cosmosdb-spark_2.0.2_2.10	0.0.3		9f8273fdfa052c0cb2df95b16e73ea6cc2009812
com.narupley	not-going-to-be-commons-ssl	0.3.18		5bf11e76817939747249e9ff60597cf1e9e0fd45
com.narupley	not-going-to-be-commons-ssl	0.3.19		7682b18132af3a5bf039a76bc5f148cfeae09dac
com.narupley	not-going-to-be-commons-ssl	0.3.20		7502c294b7fea7abbd171a7df15fed3bdb1e368c
com.niubaite.boot	no-admin	1.0.2-2024		bbda6ebef8e621fa2dd00960eb08ad7282b17167
com.recursivity	recursivity-commons_2.9.0.RC2	0.5.1		75cc5d701357171e659bf656ca0e543f8e038bbc
com.recursivity	recursivity-commons_2.9.0.RC2	0.5.2		16bf6f693cf6eb00bcffca33a2a49e1fbea2008f
com.upshotideas	test-data-loader	0.0.1		e96db23d65bca0f102d6b4b4f44b0bf7cab11c0b
com.upshotideas	test-data-loader	0.0.2		ab7009e5c71416d84858a156d52fd248f34cf4d9
com.upshotideas	test-data-loader	0.0.3		d945d45cab364afff7f49e4bfe697c7fb3daacb7
com.whatspos.sdk	3rdsys-cloudmsg	1.0.0		2942c62e742f7b74c8115baf9dda12462f44a531
com.whatspos.sdk	3rdsys-cloudmsg	1.1.0		5f53e3b21a988843605ccddb1075f2189c7bf9bc
com.whatspos.sdk	3rdsys-cloudmsg	1.2.0		ce3a1a5d5b90ca309b7ececef2416759cc92d6ad
com.whatspos.sdk	3rdsys-cloudmsg	1.3.0		fbec98a4435ef6114544e3641130d817239b0a4b
com.whatspos.sdk	3rdsys-cloudmsg	1.4.0		1b7a18c31712bbb2af56362ba885b2f69dcaa320
com.whatspos.sdk	3rdsys-cloudmsg	1.5.0		1d31e8242a717bbcbe7a85803ebd82f525eacbda
com.wix	quix-bigquery-module_2.13	1.0.10		4b77150f9d2fbbc37c5b6c071ae01aa52605cb83
com.wix	quix-bigquery-module_2.13	1.0.11		b712d07e81e3b551c89148d695cb03b07a08a7a6
com.wix	quix-bigquery-module_2.13	1.0.2		95fc64444c62e744ece3ff64cb70fdcca0540d5b
com.wix	quix-bigquery-module_2.13	1.0.3		f6e8e1383b2ff9cc9ae00f112cd9e7deafb63c80
com.wix	quix-bigquery-module_2.13	1.0.4		beab1605c1852967a7cae25db0648c9e5d0b0509
com.wix	quix-bigquery-module_2.13	1.0.5		fec1d8fe92005c0ab75627bdce7b193fd364c2d9
com.wix	quix-bigquery-module_2.13	1.0.6		2c83c0a1a95143c1427fb6b620d98de7ce28f87d
com.wix	quix-bigquery-module_2.13	1.0.7		767e4fa3f10e4a814119bd7e52301595e514e231
com.wix	quix-bigquery-module_2.13	1.0.8		a2262351e74e150a6c9b00d203af5cc37087ffd3
com.wix	quix-bigquery-module_2.13	1.0.9		9a7010fd6d56002b0c62c7e65448b839fb19e5bb
cornerstone-threads	cornerstone-threads-impl	1.0		e6dd61dfbe7b770e6dfb91ad6e2f134ffa2d400d
cornerstone-threads	cornerstone-threads-impl	2.1		2c713a7d8dafacf1a010deecebcbd6b376dd82d0
de.sciss	scalaosc_2.13.0-M5	1.2.0		9ecd7c7fc76e3a649c312979f74f58e467ecf7bd
de.verygame.xue	XUE	0.1		975a10471e8b164d0e55195f93c6110b82319f43
de.verygame.xue	XUE	0.2		2ef3c604f9d215b227a15b9a01ae75adddf70c01
de.verygame.xue	XUE	0.2.1		9493d6bb08af58844d37a15cbd9099be5bcfd3f8
de.verygame.xue	XUE	0.2.10		c6ffbf18bcf6672d657e14e1778c76eb89aa9142
de.verygame.xue	XUE	0.2.11		8867e8b78344ffd8dd27e69e78ace02801125108
de.verygame.xue	XUE	0.2.12		eef5e085ac838b5cc445417ee7612e3c70f104f4
de.verygame.xue	XUE	0.2.13		697b93d48940ea908e09c375f2003cb9c0b49704
de.verygame.xue	XUE	0.2.14		874ec7330ebee066ae6d39161d66f989283b9a67
de.verygame.xue	XUE	0.2.15		491475d432688b6de115cb5ccdceb0e997be82f9
de.verygame.xue	XUE	0.2.2		7a6059098ef51b648f3440e4cc1867e816c2fe68
