at.released.wasm-sqlite-driver	sqlite-binary-api-linuxx64	0.7		N/A
com.googlecode.jinahya	finite-state-machine	1.0-alpha-4		abcb7466b9ca8bf7a708a2d6a5152693e9cfb9be
com.googlecode.jinahya	finite-state-machine	1.0-alpha-5		899c4d8cb9aca2f82ecc3f6b0791d000c7b61949
com.googlecode.jinahya	finite-state-machine	1.0-alpha-6		b7545e416e499f82b135850cf12f6de5e9738eef
com.googlecode.jinahya	finite-state-machine	1.0-alpha-7		448a5353cf6d3456a27ffc62f7d8c95d2c175fa1
com.googlecode.jinahya	finite-state-machine	1.0-alpha-8		984f78faa4d0eb0fc6f9f67ad01b85bd9013f463
com.googlecode.jinahya	finite-state-machine	1.0-alpha-9		0f7852a8a060ee274cdf5ac08c48d78e2c309beb
com.guhungry.android	photo-manipulator	1.0.2		N/A
com.guhungry.android	photo-manipulator	1.0.3		N/A
com.guhungry.android	photo-manipulator	1.0.4		N/A
com.guhungry.android	photo-manipulator	1.0.5		N/A
com.guhungry.android	photo-manipulator	1.0.6		N/A
com.guhungry.android	photo-manipulator	1.1.0		N/A
com.guhungry.android	photo-manipulator	1.1.1		N/A
com.guhungry.android	photo-manipulator	1.2.0		N/A
com.guhungry.android	photo-manipulator	1.2.1		N/A
com.guhungry.android	photo-manipulator	1.2.2		N/A
com.guhungry.android	photo-manipulator	1.2.3		N/A
com.guhungry.android	photo-manipulator	1.2.4		N/A
com.guhungry.android	photo-manipulator	1.2.5		N/A
com.guhungry.android	photo-manipulator	1.3.0		N/A
com.intel.icecp	icecp-bundle	0.4.1		da3e579d1f91fcde5cb20c48c06c037e02b306b4
com.interswitch	b2c-billers	0.0.1		3d8f446f5ac222d5fca599d82e5b4d3652ee2ac8
com.jwebmp.jre11	guiced-persistence-jpa	0.60.0.1		ed9f458d5697123e92af1950eba9d60539cfecb9
com.jwebmp.jre11	guiced-persistence-jpa	0.62.0.1		7846706ba2b86cb3ffb02101e69264693651497d
com.liferay	com.liferay.exportimport.service	1.0.0		b95231a24f61b5221795819d6e3a4da64d650899
com.liferay	com.liferay.exportimport.service	2.0.0		7bc8cf9d6c38b01633f91f96ae12a34df625eed7
com.liferay	com.liferay.exportimport.service	2.0.1		b1ff65958ada20d82dbdd930c51abaed1c61c130
com.liferay	com.liferay.exportimport.service	2.1.0		7caa93862232896758cc0890569b6965deb5dee4
com.liferay	com.liferay.exportimport.service	2.2.0		381ba6c3218fdb12953cc761480924a2d94f9d1d
com.liferay	com.liferay.exportimport.service	2.2.1		e2eed86315bf6c4ed039bc4744120354ed459fd4
com.liferay	com.liferay.exportimport.service	3.0.0		be13e962d91992bb28adbd2e15225eb2fbc32f8f
com.liferay	com.liferay.exportimport.service	3.0.1		3619326ba4532029865600c1edd6eb1599dbe219
com.liferay	com.liferay.exportimport.service	3.0.2		e028716d8414ec7d5ffdb7ea1cb45618a75f0994
com.liferay	com.liferay.exportimport.service	3.0.3		d5e45dd271d864430b17419705bbb9152bb02d1b
com.liferay	com.liferay.exportimport.service	3.0.4		7e0c057bc909a6dd051c4e1a09d5ef574a3d9079
com.liferay	com.liferay.exportimport.service	3.0.5		f29b12f3a6e54328a7118a53bebcd216751bbfbb
com.liferay	com.liferay.exportimport.service	3.0.6		574cab2abb65f57c8f70c6c09dc813abc11fb210
com.liferay	com.liferay.exportimport.service	3.0.7		47e1e25c276ab8b553e3775efb0d5349b1faaa05
com.liferay	com.liferay.exportimport.service	3.1.0		87c7a8c18297fc94d891d11256f2e90502c1c024
com.liferay	com.liferay.exportimport.service	3.10.0		930f165a5372cbd711855e9543d0053aeb9a2c0c
com.liferay	com.liferay.exportimport.service	3.11.0		58d879890a07cae0e22b8cf26bff103f2c0f826f
com.liferay	com.liferay.exportimport.service	3.11.1		1afb3ae810bbc07409ac4be9bf0999d21c29ede6
com.liferay	com.liferay.exportimport.service	3.11.2		57e157f542401b73cab4ebe27cdece26ca1a3add
com.liferay	com.liferay.exportimport.service	3.11.3		241b35973638f501ccbb9c775a029fe278edd109
com.liferay	com.liferay.exportimport.service	3.11.4		cd5c0c6d78a081ce4b371d7abf3b1fb7738c8eb3
com.liferay	com.liferay.exportimport.service	3.11.5		2d86cb10081f5c8bbd77980dbd303eb9d4842bdb
com.liferay	com.liferay.exportimport.service	3.11.6		59972bd959e09684a22d2c719de896650c3964c4
com.liferay	com.liferay.exportimport.service	3.12.0		af248dff70bc7b788b39da0d57ac3af611c405a3
com.liferay	com.liferay.exportimport.service	3.2.0		cbf1f0953d653fdc803217759d5bf97380eb2c61
com.liferay	com.liferay.exportimport.service	3.2.1		704a4809cb07efc29556426f087287a01865e63c
com.liferay	com.liferay.exportimport.service	3.2.2		6645aa4ec0311457ef1cbe9aa5c7f1f07f071295
com.liferay	com.liferay.exportimport.service	3.2.3		aa839c7ca1b770db525715be2e0e6561814eb642
com.liferay	com.liferay.exportimport.service	3.2.4		c5e0e8d46ed259c65cee37649054009efb77361a
com.liferay	com.liferay.exportimport.service	3.3.0		d436092a8edf6edf08136b92e4a179adb6ede2a8
com.liferay	com.liferay.exportimport.service	3.3.1		84a2dd90f081833fdafc0cd9d1c41f3769d10995
com.liferay	com.liferay.exportimport.service	3.3.2		16da5524fad6d1925472438a89534592b88839f0
com.liferay	com.liferay.exportimport.service	3.3.3		7a1e02d2753f9ad81704c1af694f252ef630c5ea
com.liferay	com.liferay.exportimport.service	3.3.4		bd4926172f13c7cc5c505ee4dcc7105c538d1059
com.liferay	com.liferay.exportimport.service	3.3.5		373fe66de05441c5921d8992caf08a0a873aeb9f
com.liferay	com.liferay.exportimport.service	3.3.6		122e2e89d562faf5ac1b94829eedee74673ba225
com.liferay	com.liferay.exportimport.service	3.3.7		d9165044c2baceb49ad990f51cb3b34f941dc5d5
com.liferay	com.liferay.exportimport.service	3.3.8		78228e6f5fd9bfad1adb92b6f4504e15f6d6e38e
com.liferay	com.liferay.exportimport.service	3.4.0		ccb8bd0a75061c31796dbf47703c6509ffd817b7
com.liferay	com.liferay.exportimport.service	3.4.1		0cadb4f97f8c512581bdad8d259c703bdfec8451
com.liferay	com.liferay.exportimport.service	3.5.0		6e43964ca07e72c91ff87f5b7fb1f3e8a79cfe41
com.liferay	com.liferay.exportimport.service	3.5.1		c28896ba93454af0c97960b15c5dd24a7b7bcab8
com.liferay	com.liferay.exportimport.service	3.5.2		e28049980666c1c687844d02f818a68f4dcf2027
com.liferay	com.liferay.exportimport.service	3.5.3		23a663ae6de03d21afdfcdce00d8b1bfc187505b
com.liferay	com.liferay.exportimport.service	3.5.4		c83ce02632e620a05a9c39f808a6ac0d46893ce4
com.liferay	com.liferay.exportimport.service	3.5.5		631789164d0870043c7e2e98a323d8af928e47c5
com.liferay	com.liferay.exportimport.service	3.6.0		188bcd1a5c97d48dc2d369eddbcd6b5c06bfbae5
com.liferay	com.liferay.exportimport.service	3.6.1		2b9da867f0a7adfb4c48f73f4c63598ca4a31b3c
com.liferay	com.liferay.exportimport.service	3.6.2		ca716746033bc1c74cbae361a4980fc0422c08a7
com.liferay	com.liferay.exportimport.service	3.6.3		3b3f91f4f091a1046285838b9d73b1fa090f0e21
com.liferay	com.liferay.exportimport.service	3.6.4		1129661779772bdb6ec2b2304e0ec7316716d638
com.liferay	com.liferay.exportimport.service	3.6.5		c4322c2843229be90ae0df8b7d7cf0107cb397e2
com.liferay	com.liferay.exportimport.service	3.7.0		006c62f1db29add5f8e8b4e1884514aefcc87a5a
com.liferay	com.liferay.exportimport.service	3.7.1		dd46d54c385a3e9f1a2de02b06fb35bd04b95390
com.liferay	com.liferay.exportimport.service	3.8.0		2a019a915e51aba88f449221a88c500df2a9cb5e
com.liferay	com.liferay.exportimport.service	3.9.0		c3e9793171b8cd6269dc56c723300df3d31883ac
com.liferay	com.liferay.exportimport.service	3.9.1		22c8ed4412e4b44694a825b320c20a26bab973d1
com.liferay	com.liferay.exportimport.service	3.9.2		11fe5c974978634913c64044cdd167a6ef3d1707
com.liferay	com.liferay.exportimport.service	3.9.3		0132d3d08925b32c67c4ea6ae326a6e658fea605
com.liferay	com.liferay.exportimport.service	3.9.4		99e590c29739e1a8c5564b62ab5e06b12af885c1
com.liferay	com.liferay.exportimport.service	3.9.5		c857c5a02b2d1d95af0e6abc9275ca552187fa48
com.liferay	com.liferay.exportimport.service	4.0.0		0f6aff491ddd6e5521b997c1d67f801a1fa1fb45
com.liferay	com.liferay.exportimport.service	4.0.1		ee7eae0f49ca3644d77a4528bdea7a09590056db
com.liferay	com.liferay.exportimport.service	4.0.10		4578969e8a7ebd90cf01bf587712e37996001319
com.liferay	com.liferay.exportimport.service	4.0.11		c4df623880fee30c3da6130de64a2929ad8453d9
com.liferay	com.liferay.exportimport.service	4.0.12		5a63fd8236796b9f044671c72041e6d2f7f87da2
com.liferay	com.liferay.exportimport.service	4.0.2		34b6da71992bd292ab9234ff734893f7028945f3
com.liferay	com.liferay.exportimport.service	4.0.3		7a25054b01b7d0e856a8195938dab401a2d68d17
com.liferay	com.liferay.exportimport.service	4.0.4		48a434ac8b084c796cec2c1ae5ad1f0f62c9557e
com.liferay	com.liferay.exportimport.service	4.0.5		e87d134715ca9d5a63ef1f7026fc8d6245746049
com.liferay	com.liferay.exportimport.service	4.0.6		161ba1c20474c7572e0f61848013b40f1b87d1eb
com.liferay	com.liferay.exportimport.service	4.0.7		28d32e04bf356e9c4e12233e628d86e66e598469
com.liferay	com.liferay.exportimport.service	4.0.8		71b0c29429c1d7243bbe956cfe8168b53ff46f85
com.liferay	com.liferay.exportimport.service	4.0.9		5d609e1266252183ce9dcf314357bcd3b0743b63
com.liferay	com.liferay.exportimport.service	4.1.0		845bb80bc74fecc9492df755a4803df450bcd56b
com.liferay	com.liferay.exportimport.service	4.1.1		3fc4697baeb2d4b51d6fd75de52ef830e7000b9f
com.liferay	com.liferay.exportimport.service	4.1.10		7cf99fb9dc587d39239fe327c4d34dfe9bbdd825
com.liferay	com.liferay.exportimport.service	4.1.2		3e22f481a2539dcf55f077c773b92479afdbfe8f
com.liferay	com.liferay.exportimport.service	4.1.3		3d5a92f712d44f1f21a37c96c4a654faec4a3a6c
com.liferay	com.liferay.exportimport.service	4.1.4		58d152b8218a1a062544e877baaeaaeddc89ec3f
com.liferay	com.liferay.exportimport.service	4.1.5		715f741880e4c0f8566a8bfe369c2e6e162bcede
com.liferay	com.liferay.exportimport.service	4.1.6		88225cfcfda40057f87fd76c922d94562c0ac5bf
com.liferay	com.liferay.exportimport.service	4.1.7		697117ce0fdea39cf163433a8a6d128ecc78faa5
com.liferay	com.liferay.exportimport.service	4.1.8		fecc46df427acb4348ef94e0e693e3d20d68d167
com.liferay	com.liferay.exportimport.service	4.1.9		4f694b3c1d8e061a1b14a7d4c714b5b72d3bfb5d
com.liferay	com.liferay.exportimport.service	4.2.0		4c468b0f41191f861fb363c003636e36c6d20606
com.liferay	com.liferay.exportimport.service	4.2.1		1f857845520bd7e310fc0dd954feaf0d536285ce
com.liferay	com.liferay.exportimport.service	4.2.10		e7194fc32f2f09ebb21c8581e2e4f69b3a0c5537
com.liferay	com.liferay.exportimport.service	4.2.11		2633c295c52bc5a0f6c014c72f645df5d96ddb4e
com.liferay	com.liferay.exportimport.service	4.2.12		4723bed3141bc692fc98fcd8030d891846d5b47e
com.liferay	com.liferay.exportimport.service	4.2.13		703ee11c95fbfabbeb40c04f5af1ee7d05cab819
com.liferay	com.liferay.exportimport.service	4.2.14		8e38d2547ec0fa58363b54d764909847a19146cd
com.liferay	com.liferay.exportimport.service	4.2.2		7efbd611cd9542c239ee3ef6941cae2f824083f9
com.liferay	com.liferay.exportimport.service	4.2.3		ac4df14438573427b07c3cafea653f9183065457
com.liferay	com.liferay.exportimport.service	4.2.4		58eb76ad9a849e88c33837e97c7251d14264ab71
com.liferay	com.liferay.exportimport.service	4.2.5		fd01dbe3e556bf075ffa1c635e5b871fe20bfd60
com.liferay	com.liferay.exportimport.service	4.2.6		bb69d34684101f79a7852c27d9af6b282e538a9a
com.liferay	com.liferay.exportimport.service	4.2.7		8f23b8ca22ae228c209b523409fc4bd8094acf68
com.liferay	com.liferay.exportimport.service	4.2.8		e7c45f4a2d50aff27d4bee1242a6806250b8469e
com.liferay	com.liferay.exportimport.service	4.2.9		4db1afd8b069c3535eee62a52b7815d6c7f67e9a
com.liferay	com.liferay.exportimport.service	4.3.0		ff869edc46f884f5328f99060d5c6647bc5d2a22
com.liferay	com.liferay.exportimport.service	4.3.1		ec2de08692b42ff33674f00a4292b2015b70a858
com.liferay	com.liferay.exportimport.service	4.3.10		20d84b92d087c5814b52f39ff7637ef21b4e58af
com.liferay	com.liferay.exportimport.service	4.3.11		eae1dbf83e9335c9735342171aa7bbfb78f01cfc
com.liferay	com.liferay.exportimport.service	4.3.2		cda5e39ac91aeabfa477a2f329ce9c237f7bbdc4
com.liferay	com.liferay.exportimport.service	4.3.3		ba32e03319023bcaf2e115290760a19dca8de11b
com.liferay	com.liferay.exportimport.service	4.3.4		7fcb149b6fb7d86cccd37802279dbf7b912d7176
com.liferay	com.liferay.exportimport.service	4.3.5		f5636a097517c85d1249b6c199e3b7cc1de30c04
com.liferay	com.liferay.exportimport.service	4.3.6		e03c2b6a253feb407bcc723e60b4c4849fee76a0
com.liferay	com.liferay.exportimport.service	4.3.7		06246f9da2033fbef7bf1d8d9c1d79cc10fa8499
com.liferay	com.liferay.exportimport.service	4.3.8		9b4a20e6abc6794af4279bd41484355c7fbf901c
com.liferay	com.liferay.exportimport.service	4.3.9		557060e2905f9b803cc7e5722c5ca56b542b4ef0
com.liferay	com.liferay.exportimport.service	4.4.0		3d19d119ed6ff2b2fa8a65ffd57922d4232fa334
com.liferay	com.liferay.exportimport.service	4.4.1		1c4e31c04a7837d6de7b41502cf8fe90b48df088
com.liferay	com.liferay.exportimport.service	4.4.2		0d328164a7147dafc7f2c84a14227d71ba363ef0
com.liferay	com.liferay.exportimport.service	4.4.3		2135fa98b79bc25221c796a312166efe0cfe5993
com.liferay	com.liferay.exportimport.service	4.4.4		78db71cf5fea8e1df03b7d743413b221ce085344
com.liferay	com.liferay.exportimport.service	4.4.5		0452fa3c0a24958495b581d9e0f28c99dcd7498e
com.liferay	com.liferay.exportimport.service	4.4.6		14521c025be08892043ccab1b1a72afecd862d83
com.liferay	com.liferay.exportimport.service	4.4.7		f5811d4a87e5f02b1d91fd817d07ea557c110fd8
com.liferay	com.liferay.exportimport.service	4.5.0		856bd110248e50cad7951e4f71c198bbbcd524ad
com.liferay	com.liferay.exportimport.service	4.5.1		293dbb5059717a1169d8efac84efb7d9aab6aa2b
com.liferay	com.liferay.exportimport.service	4.5.2		199e7d634c9b557dfe741838850c5da620c19f17
com.liferay	com.liferay.exportimport.service	4.6.0		ac924d6ad62ea41462ca435631ff017b3da2d400
com.liferay	com.liferay.exportimport.service	4.6.1		8c8977b48d04c4d818a674c55baa45872189b167
com.liferay	com.liferay.exportimport.service	4.6.2		88219128a307e55da2f546e5a553de6c44164518
com.liferay	com.liferay.exportimport.service	4.6.3		dc84cc89c4c8a80b65f0768ba53ee46130925b8c
com.liferay	com.liferay.exportimport.service	4.7.0		8e7c786650c0eb52d95130bad2de0edaacfe661b
com.liferay	com.liferay.exportimport.service	4.7.1		0371a778b4226d49ecae17f0f1f32b4aa53ea807
com.liferay	com.liferay.exportimport.service	4.8.0		8bbbe829a749a77aa1669906e4b13a2e64b415b8
com.liferay	com.liferay.exportimport.service	4.9.0		159452ff79a876ed562a7c2e606bd68149da14eb
com.liferay	com.liferay.exportimport.service	4.9.1		40033a11de41dc3ab70705b87c249e1f4e892b92
com.liferay	com.liferay.exportimport.service	4.9.10		01e5bbf914133af3e90dfdc4f000a0bb8294564f
com.liferay	com.liferay.exportimport.service	4.9.11		69e0fd3f101170b06501235ba41e3ad61419576c
com.liferay	com.liferay.exportimport.service	4.9.12		0b35edbf78c674e4f89a9fb398ee921faba1f50f
com.liferay	com.liferay.exportimport.service	4.9.13		8acf6b07300fe9b848b022412b9c8e0a7a6f1c31
com.liferay	com.liferay.exportimport.service	4.9.14		9e687f1536bfb99e0eeb2fa287b009b3c2fcc5b9
com.liferay	com.liferay.exportimport.service	4.9.15		ebd4e3aba5d6914ab797c4727c0bb320067fa748
com.liferay	com.liferay.exportimport.service	4.9.16		e7b7b199c296f571ece18c89790a3600b607eeb1
com.liferay	com.liferay.exportimport.service	4.9.17		88fdcd447e802eb3d090446ffa356e2407dcd203
com.liferay	com.liferay.exportimport.service	4.9.2		96fa14400b7d59a1cff985c3a478e10618d5a8d5
com.liferay	com.liferay.exportimport.service	4.9.3		6ea149c1aaf0690e40b44aee055d8d53961e44c8
com.liferay	com.liferay.exportimport.service	4.9.4		4e9acc50fff9adab14d489a2ea7ffc14ab85903d
com.liferay	com.liferay.exportimport.service	4.9.5		aff28503ea3b2f72ea5e697838b4d8e28d81af22
com.liferay	com.liferay.exportimport.service	4.9.6		7719f37e9ae7039b64522eeb454ddceab597a087
com.liferay	com.liferay.exportimport.service	4.9.7		46e055980c2d05efaf684492e26b85243dd34978
com.liferay	com.liferay.exportimport.service	4.9.8		59a96387ae4ebdfedef34ced628b2e427e05c2f4
com.liferay	com.liferay.exportimport.service	4.9.9		000516d23c3d5281c5204e02d21c7aa375f1506b
com.liferay	com.liferay.exportimport.service	5.0.0		52db009f43c2e5a57dfac17974f4d0901914f47e
com.liferay	com.liferay.exportimport.service	5.0.1		ffae861588846fa4ac3b6afb382474fedac75802
com.liferay	com.liferay.exportimport.service	5.0.10		cdacf63224c64ef7073db275bd04dbffe35c8463
com.liferay	com.liferay.exportimport.service	5.0.100		97bae9e6e0151c7ea6f8b0c98dfaec1632190d36
com.liferay	com.liferay.exportimport.service	5.0.101		0a52d5f7ef1bbedf8d5f199c476f1e287de841bb
com.liferay	com.liferay.exportimport.service	5.0.102		d1d706ed7a0f325be8db475d3bdf1976a8b3d0ff
com.liferay	com.liferay.exportimport.service	5.0.103		41ee86c02e40d5ad4a424d30d022ce5a65010b3a
com.liferay	com.liferay.exportimport.service	5.0.104		40f01871afc8317d234a1ff84625e0a02a65347a
com.liferay	com.liferay.exportimport.service	5.0.11		ab7894fc43e81ac823d4f7d564847be01f4a9c35
com.liferay	com.liferay.exportimport.service	5.0.12		370db5b32be5f6f1d5a1cde71bfaf8a33d5735b3
com.liferay	com.liferay.exportimport.service	5.0.13		d90a17f881da50d92b57391f4d74e2dbff8a903d
com.liferay	com.liferay.exportimport.service	5.0.14		6acf6ed0dbf54672a5267f31cbea3d11f074ef77
com.liferay	com.liferay.exportimport.service	5.0.15		685f043bcae67848579631f6fe6eb9864f8a4057
com.liferay	com.liferay.exportimport.service	5.0.16		41517d80f5abfaad71862eb5e9afd6e23a7100b0
com.liferay	com.liferay.exportimport.service	5.0.17		50af514d559c62f4a380fa00ad6c1be99a48963a
com.liferay	com.liferay.exportimport.service	5.0.18		b61e492cfedab5658462360d6fece5516d152d58
com.liferay	com.liferay.exportimport.service	5.0.19		6f5ed539c41d9a6e99adba1c3d9c74ab450e97eb
com.liferay	com.liferay.exportimport.service	5.0.2		5c165b17b8dc5c259a71a663b696cbe33ecf0f80
com.liferay	com.liferay.exportimport.service	5.0.20		e2997fa7014a97efe4cf7f8b2137dadf84a782c6
com.liferay	com.liferay.exportimport.service	5.0.21		2e033a654231b8f8ec082e2b903c4a17e9244c4f
com.liferay	com.liferay.exportimport.service	5.0.22		09f705e83f60b16c6f103f940cc9712e51cc9494
com.liferay	com.liferay.exportimport.service	5.0.23		c402f5e54a1d2ac02be03617d7c8f67275aaafd7
com.liferay	com.liferay.exportimport.service	5.0.24		d556e8e8825e981c03f20cee51209abe4c577a2d
com.liferay	com.liferay.exportimport.service	5.0.25		c7be02095c7ab828d88e78cb648e27a167b27683
com.liferay	com.liferay.exportimport.service	5.0.26		12edbb9596d5852ac4836acd461bf770fccb042b
com.liferay	com.liferay.exportimport.service	5.0.27		4d54fe613100dfc23380c046e8f99e9a68f4e203
com.liferay	com.liferay.exportimport.service	5.0.28		c0716906bc276254b9a2ae7ae86c08cd8b63c07f
com.liferay	com.liferay.exportimport.service	5.0.29		e789e99c93ffaf470c26d415b60c0d1283d6f5ef
com.liferay	com.liferay.exportimport.service	5.0.3		ad206ec2038d9384e810a0657885b607845a549b
com.liferay	com.liferay.exportimport.service	5.0.30		b20654d6913996985e998ea97f973e19b78c10df
com.liferay	com.liferay.exportimport.service	5.0.31		754f8e4eb897d387dc9efe36ea59ee36cd895b3f
com.liferay	com.liferay.exportimport.service	5.0.32		cf34416e7390f588ee2b9aed3c47cc812d8e9301
com.liferay	com.liferay.exportimport.service	5.0.33		059a30494375f00de5ea057a49139f76385daef2
com.liferay	com.liferay.exportimport.service	5.0.34		fd13607f13ce3d1a178fd6134b1d8eddcc2ffb05
com.liferay	com.liferay.exportimport.service	5.0.35		86b899cb8e98a0d5b6f0676820e698c34badb963
com.liferay	com.liferay.exportimport.service	5.0.36		88a8d220a3b3d3ba47fc6ea0c6cc27d72995f85f
com.liferay	com.liferay.exportimport.service	5.0.37		cf0f3fb418f47b271e23e81d49b2669fe6c34521
com.liferay	com.liferay.exportimport.service	5.0.38		c6c0cecf97203a71f82717d1df425884a264309e
com.liferay	com.liferay.exportimport.service	5.0.39		f0c98e9c62774d675379d4708d0026c06b085cc2
com.liferay	com.liferay.exportimport.service	5.0.4		db0cb74844f6d640c00e7501ba1e4313e8c7c115
com.liferay	com.liferay.exportimport.service	5.0.40		9f000420f749fce4b1971707f4bc93eeece51fa9
com.liferay	com.liferay.exportimport.service	5.0.41		d4edc8d5ad5cce3a9cde3c26b53bb45d7ca22c50
com.liferay	com.liferay.exportimport.service	5.0.42		2e1cdecf259659043ceaa0c1aab699a187bdab49
com.liferay	com.liferay.exportimport.service	5.0.43		d64f5e231c78dc5ae698c3a0f421a82c873a7b9c
com.liferay	com.liferay.exportimport.service	5.0.44		e2cb874c27ebdd4c1cdcd062a31c8b3813f6817f
com.liferay	com.liferay.exportimport.service	5.0.45		771617d5721b055e47b0e8a4ee84d2e1cfa6a850
com.liferay	com.liferay.exportimport.service	5.0.46		4a8ef41d48c732ae09d17327eef442ce02fbaab6
com.liferay	com.liferay.exportimport.service	5.0.47		d76df8c33ec32b2277339e82da7d7409ba7e05c0
com.liferay	com.liferay.exportimport.service	5.0.48		5c5c253408b64e9964b9d0d8df02e37d131449d5
com.liferay	com.liferay.exportimport.service	5.0.49		b3390d87160f74ef7d42e1fa7d9aa5b9a99011ab
com.liferay	com.liferay.exportimport.service	5.0.5		8bcd94c6abfe831ada6f9230f1be456c8dd9cd20
