ai.wanaku	core-runtimes	0.0.4		N/A
cloud.oneentry	sdk-general-types-watchosx64	1.2.6	metadata	8dc75def87fb360a73ae383de1df411d99ca6f5a
cn.bingoogolapple	bga-testmeiqiasdk	1.0.0		N/A
cn.com.kingbase	KesDialect-for-hibernate4	1.0.0		9950f7868171fe0c9650cc19ccad80bf56f61965
cn.com.kingbase	KesDialect-for-hibernate4	2.0.0		73b4c4561c399484213061316077a129ed7b5542
cn.com.kingbase	KesDialect-for-hibernate4	2.0.1		14699ecd9a0db1d3efc4f38a77ce0779b0de91f9
cn.imaq	autumn-aop	0.1		5f3840bb5073e3a9423371d98535a58a2c6770e3
cn.imaq	autumn-aop	0.1.1		ff1a16b45757657c4238145332bc60a8f571694b
cn.imaq	autumn-aop	2019.06		4532722e588bfcf1e367b35d34724b0968008b9a
cn.imaq	autumn-aop	2020.10		89834fc21b380aaf0f3f15e1e80815259a559a34
cn.t	mybatis-base-service	1.0.0.RELEASE		b10258873b9ad7c3b1fd7f156780934500fd882a
cn.t	mybatis-base-service	1.0.1.RELEASE		6f95f2ba294d4e769311fb55402da539b7fdff1d
com.boozallen.aissemble	aissemble-infrastructure-chart	1.10.0		N/A
com.boozallen.aissemble	aissemble-infrastructure-chart	1.10.0-rc2		N/A
com.boozallen.aissemble	aissemble-infrastructure-chart	1.11.1		N/A
com.boozallen.aissemble	aissemble-infrastructure-chart	1.12.1		N/A
com.boozallen.aissemble	aissemble-infrastructure-chart	1.12.1-rc2		N/A
com.boozallen.aissemble	aissemble-infrastructure-chart	1.9.0-rc1		N/A
com.boozallen.aissemble	aissemble-infrastructure-chart	1.9.0-rc2		N/A
com.boozallen.aissemble	aissemble-infrastructure-chart	1.9.1		N/A
com.boozallen.aissemble	aissemble-infrastructure-chart	1.9.2		N/A
com.boozallen.aissemble	aissemble-infrastructure-chart	1.9.3		N/A
com.boozallen.aissemble	aissemble-infrastructure-chart	1.9.4		N/A
com.caucho	burlap	2.1.12		39b4f7596aec70c5a839d37b79d32821ef7499c4
com.centit.framework	framework-boot-config	4.6.2007		fcbaa1e247fc7922cefb2daea03545e3d4c6f042
com.centit.framework	framework-boot-config	5.0.2101		084d3325b1bdfe23c096b4580be6095b898675e9
com.gitee.chinasoft_ohos	ninegridimageview	0.0.1		N/A
com.github.eikek	emil-jsoup_2.12	0.10.0		fe23f0f63b47ac709a0a7bdf0df7c31fa0554a78
com.github.eikek	emil-jsoup_2.12	0.10.0-M1		6f6cfbffcc6d8444a4a4e27934c6a29b6ea70d31
com.github.eikek	emil-jsoup_2.12	0.10.0-M2		399eb3400b58829021d688e74d309f59d49209a7
com.github.eikek	emil-jsoup_2.12	0.10.0-M3		498f251dd3e44bdb52d07d521c77ff28b073073b
com.github.eikek	emil-jsoup_2.12	0.11.0		ca66bb1e55d1a3bff04490d6f2ae9a149a94576a
com.github.eikek	emil-jsoup_2.12	0.11.1		36e69df91a80642939291900c011694c1535824b
com.github.eikek	emil-jsoup_2.12	0.11.2		d9d2288c7c7c53140e4335ca477b87b5ebead810
com.github.eikek	emil-jsoup_2.12	0.12.0		31c65cbb2bdc4a96b8bdc25b9d8ade7562c01ca1
com.github.eikek	emil-jsoup_2.12	0.13.0		d619cb05cb94229ef02810cbbc746449a8ce295a
com.github.eikek	emil-jsoup_2.12	0.14.0		aa35a08ac86ef7fa98739d64aac9058ebd7e82f1
com.github.eikek	emil-jsoup_2.12	0.15.0		7825598c130c7c65748f166b919081635cab3f40
com.github.eikek	emil-jsoup_2.12	0.16.1		ed1a16d45c59862a84c5af128b63f7b0989c196d
com.github.eikek	emil-jsoup_2.12	0.17.0		09f9e330c86b71bd4162851544ed28dc7468f4e4
com.github.eikek	emil-jsoup_2.12	0.18.0		8ea1f623411af0dc080038054162cb40254b2fda
com.github.eikek	emil-jsoup_2.12	0.19.0		8f94230e6981f92232cbd258ebf0cc08a63bee12
com.github.eikek	emil-jsoup_2.12	0.5.0		5ca9620a0b378a064d379eac0bf819cd9938d291
com.github.eikek	emil-jsoup_2.12	0.5.1		f1524d026d36c9d89e0cef5a44c6ccc830f68905
com.github.eikek	emil-jsoup_2.12	0.6.0		59ff7fa957becac222e5fa9240821895d2f9a525
com.github.eikek	emil-jsoup_2.12	0.6.1		31c016b3af41609286e47e6691727ec245963fb9
com.github.eikek	emil-jsoup_2.12	0.6.2		c7b809495adf1d284fd3bca320532e55b4882a24
com.github.eikek	emil-jsoup_2.12	0.6.3		4ff4541f2e9a7493c1d7a37d890cb15f80565018
com.github.eikek	emil-jsoup_2.12	0.6.4		2afea947a03a88d8def52a4874602245e776eb18
com.github.eikek	emil-jsoup_2.12	0.7.0		35cb9e11aa045291157bb7137e7a9b2a4f0cbe7d
com.github.eikek	emil-jsoup_2.12	0.7.1		2c33e49c904632a819ccc4016ed319779ec5220d
com.github.eikek	emil-jsoup_2.12	0.7.2		d3dda000ac469ad68ad971d7b15cf90264b14815
com.github.eikek	emil-jsoup_2.12	0.7.3		ffbf5747ff720c6afcb596c568c78e6d0ab4f3fa
com.github.eikek	emil-jsoup_2.12	0.8.0		0515007cde36ba24a65e39429d555dab1c34746b
com.github.eikek	emil-jsoup_2.12	0.9.1		3dc7a7e71b98de4a9888b5bb602ac16a68e4b310
com.github.eikek	emil-jsoup_2.12	0.9.2		2923396842b3f83eea96de87e39ccf0d37bfe5e4
com.github.eikek	emil-jsoup_2.12	0.9.3		cf108ffedfbe7059f85f50e3b466eb8c02100b1a
com.github.eikek	emil-jsoup_2.12	0.9.4		a96ee501c6bef171cf76252917faf0960e93269c
com.github.eikek	emil-jsoup_2.12	0.9.5		6500b61b8cda65d0aed9f4e96b7d16fbcb63ed1b
com.github.eikek	emil-jsoup_2.12	0.9.6		4469b4dc30a0b9077dbf5b42bb13538c4ed30d26
com.github.eikek	emil-jsoup_2.12	0.9.7		35dff27d04a9ea92760a8c010f85432c0c623e98
com.github.jmkgreen.morphia	morphia-guice-plug	1.00		dae5f5f3ab08e6a4ecd51ac72dd619a0f12434cd
com.github.jwt-scala	jwt-play_3	10.0.0		1ae187ac20240c9436e41a6886014527d31d2136
com.github.jwt-scala	jwt-play_3	10.0.1		e8ec422d9a96d9e1e08ab67f711faebfeca5a65c
com.github.jwt-scala	jwt-play_3	10.0.4		f97b712a4fcf20b49c3555b2b64ad3a744aead24
com.github.jwt-scala	jwt-play_3	9.4.5		422c10a5f7a740e8735464ed05c156e94e58508b
com.github.jwt-scala	jwt-play_3	9.4.6		21963f568e1ea52c3eb11f7399444fbc91d2abd2
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.0		676d3c25d8ec74a985dc310acc34abaf1b360bab
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.1		c177c1af321115eb965899e6a1dd9d8b8a99ce7e
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.10		10312e55ee6ff0df763c5240d233ef2f8ebb8880
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.11		74d6c5991c55cd0b51c09bfbf670a83cec944e0e
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.12		269813f8f095d3c3accec36ca572575220b85f45
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.13		82f568c5c948bc430c2ec7c10901ba423fb04c9b
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.14		410f54f5787e16c9b477204b7e080d1b89d81070
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.16		66eada3a4f5ac2b17cb381f77fc112f5ea3f2782
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.17		8148b4db9cb92a15c78abf240e168dd88c906b86
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.19		385fbb7355d186abbc0f2e594014887a2658d4d7
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.2		3ef09c345f9942f5f88af568b13c6e196b738384
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.21		f772bba53f292059202a5a45b2d121e03fbd6aa8
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.22		507cdcbd3c457ccf8f32cadf764cdb66594d1c40
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.25		ecd05307a00a2d2d1c3b9ecc06c6acbe66be1144
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.26		187681118960a78f0a3db8a60f6120533784312c
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.27		713d86b9813ce7c1d612758f5f5f10dcb4b19315
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.28		58e4dc537f46d1fbb21ca559162fb45a2e353f73
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.29		67960e4e0d61c69dcc5f7b509ec282c0b8749c3e
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.3		a69ad848f1cc4067d8665fd24005c0cfd9527adc
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.30		7c5c16727ad4eedd683a8ec4d924ce35bdd1776e
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.31		b6543e13fb1fcdf7fcb51e56e3235d56b6aada0e
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.32		cc9d585afed62f655e2dde704ce5100393bbbe3f
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.33		10fcecfe1af5237ba641f5cc73dc3508f0813c83
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.34		be0d781b78f5dc86cdde2e271faff0de5bfe4768
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.35		1bbfc369545adb5275a1c3cf6b41bf9950fae183
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.36		af0a35aa12c188eaac930cc0eee0fbe9ab289ec9
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.37		d99350dae91574b52472df2fcd4e80f1b7fbc72e
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.38		b7f936cc5673a0600b3f32a3e94055828f841d8d
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.39		0a57bdeae56fd61d765017f0e2004c4f3ac74c48
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.4		e51c066102ecfe5807fa427eefc853f968d6977f
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.40		afd5c139e6afebf06b76ad9632bce8b3963c88e7
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.41		43587fbe89e6786520e14b90166f55802979b6da
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.42		f83b442291f312932c1d08195d17b66103db79b6
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.43		ccf9cdd519b943fc377e8fc439d918c9075c2e7e
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.44		24d58195b79778358da4debc147c3f40b40ac648
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.47		ee1f82bcd641b1257f787186ed60c0bedb06dd50
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.48		915563bf360d38750a19c2b14a698d737ffcfeef
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.5		1e187b6f5e2b21c25d5825ce124aae26ca35c060
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.51		d0064bdd0b5f6605561dd7d094b6b3ad56105b1e
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.53		802c1b67983ac9408c3897974ee9c85ef06c3c5e
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.54		1f1021fa996c38102081df3e00c66a1c1053e5dd
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.56		5164763d22d8f03859f545e0324c5f1af4dd732a
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.57		b2901bca0b548d92994bf76af192896fe3f596a8
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.58		7a67889fcb0a107bc6f7549fb501b697b00f72b7
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.59		fb3d6516fbf92dfb2f668d942f2d9a6e6dfabcd4
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.6		bda69b0d3205db0b18692eccba9ba6f2d3020d98
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.60		9d585922ee3449c3c7c457c97e2511a330f1bea3
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.61		a6297097df21d8b1953d10250acca31d0ac038e4
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.62		00e61e1728bb98df56a585d6b1f299fb4799003f
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.63		aeb01fe631f43c69df472ea44886e3e6f395ddb6
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.64		f74e7bfffa5cef46976e40273f10c4d28ca3d95f
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.65		79e96a8ea57d39139389601a9b654dfb33c5229a
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.66		9f3d5c288de1cc4117907955facc160c61341857
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.67		3fca8408afbb907619fb7b99f0557358b03e2bed
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.68		2474576575fa3b8bf039a489fbe14ae5369ad17b
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.69		7a47ac9edf583ce04064919226350478c6a1ac65
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.7		c023fa6c19652c1b36867791bc17a00d8d97225f
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.70		8b99f68d0a8c67c4968ccb30ed24ef222d82fd49
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.71		acd2cc57c732079bdae8178e92ae82a695f47ce3
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.72		3fc05568340843db4bf7183052a386bcc5f00acc
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.73		ffe56d624a31d4dc99a680a3d91d92c43ada4d88
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.74		1f412b0b4607b2297ef98894171a75469d2595d6
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.75		3568bed68d6e15277e67413aa7f3fcf373775dff
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.76		5eec803fed6428f5eee9a7dd4864cd4248c72685
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.5.77		f050c6f0d3b58f1a88f0db66d6ed0782d42295b1
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.0		ded8acd6bb1511adae77d74e58f3eb776e4f32a0
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.1		d6426dfc87ac6eef6d68024bf77eea1b1794fb38
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.10		1465102016b5f8e0a94ec318ac69e602db3a5184
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.12		80c5b872182551468c6f3fa34335a7b8c6e9f1c8
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.13		fd6dfc8a4b1901c63056d319c443d9a672ae8258
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.14		6ae44f0a71ea28158c1686feaca1e28b24d8b200
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.15		f05651a1c4f2096be055003cc0cf0e3bcc1ee22d
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.16		b16ed690919190f876038f148e1abbd819e02ca0
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.17		db51b23103e3ce1572c3141d9689439ae5040649
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.18		d889fe3134916f25a840d77e1bad8db54c7dbd8c
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.19		138aafdb09fe9c92a68eb7ce389d279554388f00
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.2		fa8234d32b2f67dc385e01ab48f465a04e54833d
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.3		3d09b0dbb97b7b6e822c627db09ab27ec4d2adbb
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.4		1fff0db4445c61fba0c889e435735216e979ee61
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.5		bd4c666b7aec54c3dcedf31bce03fc140957e43a
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.6		00fb9b529ec37ed6c91760f78abf4be74bad7efc
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.7		645c3ec50853ef09125490bc020743be19a29c4f
com.github.pshirshov.izumi.r2	logstage-api-base-macro_2.12	0.6.9		cbdfd4b8b19cba2ee448f0591f0dcadc50a17cd8
com.github.squigglesql	squigglesql	4.0.0		0210c814aa40f4f51b71a80b3ce0a3faae75fc1e
com.github.squigglesql	squigglesql	4.0.0-rc.1		36f0a960521998002febd3a0dbf7d5cb6814d38b
com.github.squigglesql	squigglesql	4.1.0		a003fe45c6561a841e5112d872c58166dbbded31
com.github.squigglesql	squigglesql	4.2.0		dc72d214cefa830cdffcd75cbd536ab4ba2c7d68
com.github.squigglesql	squigglesql	4.2.1		20a061a687f7c7eb1092305477a493cedabe6fb6
com.github.widebase	widebase-io-csv_2.9.2	0.1.2		befd19d1cafae733b2d687563acbaed8a1253241
com.github.widebase	widebase-io-csv_2.9.2	0.1.3		af93e8e8bc6a9d34c99dc08c05982901b4aa90fa
com.github.widebase	widebase-io-csv_2.9.2	0.1.4		d541f6816886d0627ebfb2e5ac62f5d360ae4fbd
com.github.widebase	widebase-io-csv_2.9.2	0.3.0		0a32f6f0ff894c820829e3e1e950bff1c7df7800
com.github.widebase	widebase-io-csv_2.9.2	0.3.1		e979fbb1c404e4f39d66708beaeeef2baaa129d8
com.github.widebase	widebase-io-csv_2.9.2	0.3.2		3f96d82a2c326543f7a55e0923dd1a57ac78727a
com.github.widebase	widebase-io-csv_2.9.2	0.3.3		1a3c00c24b45cefe5ce3286830ae625953da80fa
com.helger.maven	ph-buildinfo-maven-plugin	1.2.0		3207a5f23cb4fe81aa4e501a1526c761bfcc59d5
com.helger.maven	ph-buildinfo-maven-plugin	1.2.1		f5f88b9358b10859dbccdce44611952d24d98cc2
com.helger.maven	ph-buildinfo-maven-plugin	1.2.2		2ff53a02e57d77754539f53daad8e7cf52b64889
com.helger.maven	ph-buildinfo-maven-plugin	1.3.0		bb89f4fb3e287aa461cdae2a65fe3f5f8a559869
com.helger.maven	ph-buildinfo-maven-plugin	2.0.0		b626bf66cc37a0f6daa789549f5dcb1fcf20f044
com.helger.maven	ph-buildinfo-maven-plugin	2.1.0		0825471b0a8f66d508c65ebc9f8b9fa01fe1a17e
com.helger.maven	ph-buildinfo-maven-plugin	3.0.0		e6cebbf9f1fda9b09845669c921341f5fe62aa50
com.helger.maven	ph-buildinfo-maven-plugin	3.0.1		588486795aff68580ab2e8b2c604983dec53cc20
com.helger.maven	ph-buildinfo-maven-plugin	3.0.2		76d01e417b781bab783194e156e77de43e33b98e
com.helger.maven	ph-buildinfo-maven-plugin	4.0.0		5e892de8e0e99a3fd5aca72af0977e6d55ef04a8
com.helger.maven	ph-buildinfo-maven-plugin	4.0.1		7ef1300f161422d3fa54cf52ac0474f7d5cde70f
com.jeesuite	jeesuite-gateway-adapter	1.4.0		e749305fabf547b26db49f0a9aee3e996b9244bc
com.julianpeeters	polynomial_sjs1_3	0.1.0		de60f9b89986575280b6fd91b48bc49a79abefd2
com.julianpeeters	polynomial_sjs1_3	0.2.0		06f7a8543304167cb71da8ad512c54ab0a4bb2ed
com.julianpeeters	polynomial_sjs1_3	0.3.0		4950585b96f261c56e44745447b851d2bc7535c7
com.julianpeeters	polynomial_sjs1_3	0.4.0		870c6f1f11cbbb0bee406ce153ad2c73b403a89e
com.julianpeeters	polynomial_sjs1_3	0.5.0		f6fb796dded228219a85fa52b4edd0121aad7389
com.julianpeeters	polynomial_sjs1_3	0.6.0		dfbf001a4a62b9aeebaad4f6e308ee17be7ee01b
com.launchableinc	api	0.1.0		752672f4032485d3f20a63d5317ce9a2d9c8756d
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	1.0.0		e2a1ae85c1022083755782c4a344b00ede6e6945
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	1.0.1		78d85925651c853e3f429a9e8d97afb9bcbd88b2
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	1.0.2		32472c7dedcb1878e19a78d84c8e201c7e287979
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	1.0.3		8535b72b9af6350de6f43cabf01771e12d8b4a7b
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	1.0.4		a09cf3db90246bcee2f564b82ee679cfb6623600
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	1.0.5		6b27507655f67b544f42560da2314285979045f9
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	1.0.6		7b9fc64dd9f2f9494f735f38fb753969875a9d6b
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	1.0.7		79037430f94c4091b72618b8feb07f362ca486ad
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	1.0.8		044289ef58a7b623786932e45831010cefd80dbd
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	1.0.9		7e4345ceb42122d15b4a23f8d31beb1ee1648ade
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.0		03c17a9d944b81d4ec06fc6d1252bca90f54e947
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.1		91bd5d69ccd38bc3544c00e03c951b128a173727
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.10		34b7a7f0a2a6872651dfb8e6d9c89e2050931cbb
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.11		ca1c598ec548718f9f347f5092614e7229bcc72a
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.12		ead3b28c3f2f2991da5cdc6778983e8bdbdf366e
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.13		f9615c0f0cbe12bbffc5dcf457df1b40435d869a
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.14		08adb25f87af14f519229ac308da3c566667809c
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.15		bc72dfe808319f90ae41ce93795e91d897aed686
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.16		3c713397338b12eeea4ecd892cb4171351ec1742
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.17		02650dc81572533fb2ddd6202812856b296580fb
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.18		6a2da4dddb049e9df6b170ddfeadcac884cbac84
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.19		a722fa482ad4610ae3356356d6e6964c3f2e2d7e
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.2		9f634e99a103daee40d57f9d6b727c2053b3f664
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.3		9b2293eb4bca848ce2d54063eac39f281c45154b
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.4		9eaa6778d9653f1fed68a8bd64c3dd3249f70514
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.5		c56f75c4eea087934ff624e4db2cb2f4bee7148e
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.6		f31745a50505cf424d40e4c6741f213203902672
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.7		d04c270bf4aee02fb92e414dacca6b2fcd639493
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.8		7dfd4d3f3e1e6a07afd8075d87b90ac8c6911c34
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	2.0.9		8b48b83137e11bf63bf8a71d7854b43e42f6b9a8
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	3.0.0		6ab7a7dc223aa0d8c8ae95ca9c78a5117b5ad359
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	3.0.1		aa996cebed37536a35f1778e6030a42608a1e06e
com.liferay	com.liferay.document.library.repository.portlet.file.repository.impl	3.0.10		fce3102416c013eda5621146b367992ba688b2c6
