at.released.cassettes	cassettes-base-androidnativex86	0.1-alpha01		N/A
com.liferay	com.liferay.headless.delivery.api	11.11.2		182fd930bef549a17bbd5db744dc4369d1064cc5
com.liferay	com.liferay.headless.delivery.api	11.12.0		b47d15758e901b9dcd7f325fb1cbb646b2cd4d43
com.liferay	com.liferay.headless.delivery.api	11.2.0		a1aaa5a9c86842813a877e08781060cf207a7b40
com.liferay	com.liferay.headless.delivery.api	11.3.0		79d672ce4c0f77b6107fac401685caef9164c5e0
com.liferay	com.liferay.headless.delivery.api	11.4.0		e315a109ad6f5aa326ad8867187d1e8ae726b33e
com.liferay	com.liferay.headless.delivery.api	11.5.0		bf62c9106e229d3e5ecb991951ad7820942a9bf4
com.liferay	com.liferay.headless.delivery.api	11.6.0		c58629a58dd2388bf7e72f9f1b8f62f711495fbb
com.liferay	com.liferay.headless.delivery.api	11.7.0		80dfe30890ab32b4e680dd25d1d8dcc7d19a21ac
com.liferay	com.liferay.headless.delivery.api	11.8.0		04f509179c021d7804c39f768d5503c16ddf2b18
com.liferay	com.liferay.headless.delivery.api	11.9.0		3f2ce369d6e4fb2b7a98e71bbe3a19d5d8b606a5
com.liferay	com.liferay.headless.delivery.api	12.0.0		090b46ccac86691ef89b45aebb3639093da792c1
com.liferay	com.liferay.headless.delivery.api	12.1.0		226cd43edb1a91bc9fc671f203fd1b8dbf045554
com.liferay	com.liferay.headless.delivery.api	12.2.0		5328c1d0501ce62d3a59bc980bd2bebd8529b178
com.liferay	com.liferay.headless.delivery.api	13.0.0		c991d867b6e01b7a8d9f0704e55fd8fb4b207879
com.liferay	com.liferay.headless.delivery.api	14.0.0		654ee82483c9110df4d641931f169708bce1a2a7
com.liferay	com.liferay.headless.delivery.api	14.0.1		d02a23a30f60519a7833cc685ab1c115662ebc74
com.liferay	com.liferay.headless.delivery.api	15.0.0		5692957b4e90377bda6e19076d1f955eaef8cebb
com.liferay	com.liferay.headless.delivery.api	15.0.1		484c77489d1e365159be4b584a06b7cb8cd894f5
com.liferay	com.liferay.headless.delivery.api	15.1.0		8afff5c3361ee753c0e3f13de4018dc800d28b01
com.liferay	com.liferay.headless.delivery.api	15.1.1		20ebde134dc6a1a70c8334e63725dfb4701a9d89
com.liferay	com.liferay.headless.delivery.api	15.2.0		fc03bbe687a4232bf1a31fe8b4d8478d231769e5
com.liferay	com.liferay.headless.delivery.api	16.0.0		d12f8d192d7569f14628fb91dc32b050a6225fd9
com.liferay	com.liferay.headless.delivery.api	16.1.0		0224da5cb4feacb2c40f7bf2fb28373866df28fc
com.liferay	com.liferay.headless.delivery.api	16.2.0		9ed6339d770c75f2a3d56b1bfa65414193779dc0
com.liferay	com.liferay.headless.delivery.api	17.0.0		f8a9c016d5135230940c81d7cac78b9a8741377b
com.liferay	com.liferay.headless.delivery.api	18.0.0		169b747d1212a35c9ba59dfd6a6a3c496c98c3c6
com.liferay	com.liferay.headless.delivery.api	18.0.1		45826bf879cabac837a7424d327b1cf490320a35
com.liferay	com.liferay.headless.delivery.api	19.0.0		d8675727689083525d19f3255447a22fe613abc2
com.liferay	com.liferay.headless.delivery.api	19.1.0		303641f5a2e4c22bb2aef2fa2d2c94c54b7279b8
com.liferay	com.liferay.headless.delivery.api	19.2.0		a11ee30644c616c593a0ef56d1f81258871b6da0
com.liferay	com.liferay.headless.delivery.api	19.3.0		a237e0852ffbd466241e6ff38ce2849e8e37b190
com.liferay	com.liferay.headless.delivery.api	19.4.0		368ebb098ae84c5f7984256e0b055bd65102fb19
com.liferay	com.liferay.headless.delivery.api	19.5.0		922fd4b56de795e2085c37b40bc67ba411f16b29
com.liferay	com.liferay.headless.delivery.api	19.6.0		a8a1d3075dd68adaf9775f25f7dfb6133a4a49ce
com.liferay	com.liferay.headless.delivery.api	2.0.0		b698face71b9ade930467f448dc5bce6df15d0d3
com.liferay	com.liferay.headless.delivery.api	2.1.0		4a598fa44a264008aaa95e3fe035955bab6a2f1e
com.liferay	com.liferay.headless.delivery.api	20.0.0		dcc7de729afbe8f42213284fc34a34093ffee728
com.liferay	com.liferay.headless.delivery.api	21.0.0		3bccabb4d44019c03bea59a32f4e820be0ac9e65
com.liferay	com.liferay.headless.delivery.api	21.1.0		9ad296455de9fa6819d568f585e37bd979bae3dc
com.liferay	com.liferay.headless.delivery.api	22.0.0		2bd96126a09445dcd97a9175ca19dfcfd5f36c04
com.liferay	com.liferay.headless.delivery.api	22.0.1		bd3cac5f95a9ba9988adc8703742f9cced6df333
com.liferay	com.liferay.headless.delivery.api	23.0.0		991c9a19f2c20cfd8df3222fe698ffec9c51c1b7
com.liferay	com.liferay.headless.delivery.api	23.1.0		0861ce2f99d86309dbc2c16a6594222275cbbe47
com.liferay	com.liferay.headless.delivery.api	23.2.0		0d2a05f962aff7592cc01cd7da29f92885686e20
com.liferay	com.liferay.headless.delivery.api	23.3.0		374b209f42036f107c04158fcd1d07b7c8dda8aa
com.liferay	com.liferay.headless.delivery.api	23.4.0		de6720f99a33adfbfd0f430233750864bbd55dcc
com.liferay	com.liferay.headless.delivery.api	23.5.0		79075a9b0eece81bf4554130c3f9b53ad3b0f11e
com.liferay	com.liferay.headless.delivery.api	24.0.0		1163a9a94e50b9a917d30388b945a059191f10a7
com.liferay	com.liferay.headless.delivery.api	25.0.0		cb1c4ce459dccb674dd472213ab432af23dd84a2
com.liferay	com.liferay.headless.delivery.api	25.0.1		3ef7978346a324e17caadc356d71dec51597aab1
com.liferay	com.liferay.headless.delivery.api	25.0.2		0c2621d20a035a0aa0d7e67f5c579f68909987b5
com.liferay	com.liferay.headless.delivery.api	25.1.0		5d891b29033f192e612d57c41b053b8820b98c47
com.liferay	com.liferay.headless.delivery.api	25.1.1		834964c92892470e62f93c4fc0038e5d21e8b106
com.liferay	com.liferay.headless.delivery.api	25.2.0		1e23245dc2b9808788bf47717c89bde446dded90
com.liferay	com.liferay.headless.delivery.api	25.3.0		de5a16e09097521c4662ff8451746db44cc1c95e
com.liferay	com.liferay.headless.delivery.api	26.0.0		0f626a72d3bd901a2c77cbe3a647244a173bd47d
com.liferay	com.liferay.headless.delivery.api	26.1.0		22e02a9fe89056201b955e3949e1701a609556ef
com.liferay	com.liferay.headless.delivery.api	26.1.1		b19c189aaea7bd51f117348d625685a7d1059066
com.liferay	com.liferay.headless.delivery.api	26.1.2		62573d4b1e589344171c1bd7913cfd55dbcc003d
com.liferay	com.liferay.headless.delivery.api	26.1.3		98a88a3f1e7ac6096426cc363f6de01feffc6cd0
com.liferay	com.liferay.headless.delivery.api	26.2.0		cb4a072c9839cc2bedffda72eb745d74db262ad0
com.liferay	com.liferay.headless.delivery.api	26.3.0		5c400df30ebf1221208e3eddf8e04c9c2000a6d5
com.liferay	com.liferay.headless.delivery.api	26.4.0		823854d59d2428a4d4acc4e4c0a3df73c8b4b02a
com.liferay	com.liferay.headless.delivery.api	26.4.1		2de3b85aae6db347ab1e93dac93e28cf39b1425a
com.liferay	com.liferay.headless.delivery.api	26.4.2		a788a7c6c68632bcb39ae5c3b9064be5c20255c3
com.liferay	com.liferay.headless.delivery.api	26.4.3		d886919283ba0fa7f23c279abeb4f22048e850af
com.liferay	com.liferay.headless.delivery.api	26.4.4		8a7db74ad691edac8ba2343c97149dc05a656bcb
com.liferay	com.liferay.headless.delivery.api	26.5.0		9052b17ce33fa98f25167c2895f84e00cd6da42b
com.liferay	com.liferay.headless.delivery.api	27.0.0		abac168e97925095fd0ca53718bc870b10c9c1f5
com.liferay	com.liferay.headless.delivery.api	27.1.0		3ae64080f844ea26a34552e06274c3d7146ace99
com.liferay	com.liferay.headless.delivery.api	27.1.1		dcad21ef23e2c5ea9afa8ceeaa131e148f67f4ce
com.liferay	com.liferay.headless.delivery.api	27.1.2		9f196b0760d4e2653887fc7b0cc51beffcc6f705
com.liferay	com.liferay.headless.delivery.api	27.2.0		51e648f8706305a2771bc2c26fef3998176c65ce
com.liferay	com.liferay.headless.delivery.api	27.3.0		7954d53f2369386536540c0b9671f21812f47d37
com.liferay	com.liferay.headless.delivery.api	27.4.0		23f02bd1a91ad3e739677db03738aff6f9a0ff72
com.liferay	com.liferay.headless.delivery.api	27.4.1		0e078f76d7bbee4c7d251161a627b10d6afc07fa
com.liferay	com.liferay.headless.delivery.api	27.4.2		7c0a2ac578fc6fdd46c066170b32441f545e09be
com.liferay	com.liferay.headless.delivery.api	27.4.3		50ad2347462583c11f7a26f9b4afe85aa61ba6da
com.liferay	com.liferay.headless.delivery.api	27.4.4		f404dc4a5f661ee851952752486ddb7810f12349
com.liferay	com.liferay.headless.delivery.api	27.5.0		2b0a968bf0505a45b64079ce7f75293dbcabf172
com.liferay	com.liferay.headless.delivery.api	27.6.0		b9a84b71f113894a3ef59c09afa68769c2bcf802
com.liferay	com.liferay.headless.delivery.api	27.6.1		449ec2236ba5a793f42c6785bd85c194f67eef15
com.liferay	com.liferay.headless.delivery.api	28.0.0		ca3ac621d2cd9c05a6451a9908437f463d344cad
com.liferay	com.liferay.headless.delivery.api	28.1.0		24d882d5feb528a614cd543675cdc859d9e527e4
com.liferay	com.liferay.headless.delivery.api	28.1.1		cb4e0fe36bec1ff6abb777b2efc4100284356980
com.liferay	com.liferay.headless.delivery.api	28.1.2		cb78cbffdfebc4fd2e55c417f3daff934335d6e2
com.liferay	com.liferay.headless.delivery.api	28.1.3		242d1e48c819d6f5e871714d90ff681a7fb57c6f
com.liferay	com.liferay.headless.delivery.api	29.0.0		c7bb2e0312e47421f9e89881cb7f0863a854e91c
com.liferay	com.liferay.headless.delivery.api	29.0.1		160b73480358447d4bf5e9fa5789a06aea068597
com.liferay	com.liferay.headless.delivery.api	29.0.2		16c039ed7dd98f324712a268aa5b3123ef47c741
com.liferay	com.liferay.headless.delivery.api	29.0.3		cd757763d4286d2c6f3c583d55cb8e0badf2e044
com.liferay	com.liferay.headless.delivery.api	3.0.0		b62d5e8aec0056b4c311be1efb30dbde1b2cefdd
com.liferay	com.liferay.headless.delivery.api	3.1.0		da57ab5ad87372986a640c645da24b9a6d48ee55
com.liferay	com.liferay.headless.delivery.api	3.1.1		d5a9f58cc0be6018a094854421f7d3fead55afe2
com.liferay	com.liferay.headless.delivery.api	30.0.0		9098de014bb1e7f68d6b79823d915e551f8164f5
com.liferay	com.liferay.headless.delivery.api	30.0.1		bc49645b4742bc4e8f49cc64efea4e8bfac97c0c
com.liferay	com.liferay.headless.delivery.api	30.1.0		6aa494692571b781b9a43daff26eb9634870a4cb
com.liferay	com.liferay.headless.delivery.api	30.2.0		708841b90a2933b7fe586b10caa652c7f3678bba
com.liferay	com.liferay.headless.delivery.api	30.3.0		04941440f48d1cf228a8182a556816a2649f79df
com.liferay	com.liferay.headless.delivery.api	31.0.0		076e5647d8f32a83bbc676279f3c1d737afe6a55
com.liferay	com.liferay.headless.delivery.api	31.1.0		8a50f1c00069d5aac5efa0a6a8db215b5fb44676
com.liferay	com.liferay.headless.delivery.api	31.2.0		450e189025d2e957e678385de3739fbe83fc2dcf
com.liferay	com.liferay.headless.delivery.api	31.2.1		302e445485ebd8637f6490e39b7142e47fe27480
com.liferay	com.liferay.headless.delivery.api	31.3.0		d3619017289d65c80d242a8e181ec217a24622a6
com.liferay	com.liferay.headless.delivery.api	31.3.1		3cdcbffaafefb3624b6110ad96e928cecd0103be
com.liferay	com.liferay.headless.delivery.api	31.4.0		073ff95ab03d5261dbf58303c3829a7bdcf520a9
com.liferay	com.liferay.headless.delivery.api	31.4.1		d2d2ec5fdc8c220f8aae7b6133902177c9a08c73
com.liferay	com.liferay.headless.delivery.api	31.4.2		94ea85c8f0dc0bc7f52d1c8b6387393445286684
com.liferay	com.liferay.headless.delivery.api	32.0.0		93112ab2da1285fa3afd7b2364d011797c3107e8
com.liferay	com.liferay.headless.delivery.api	32.1.0		f373379bbcf28a1ad3d4c75dd86ca673ef0a1a61
com.liferay	com.liferay.headless.delivery.api	32.1.1		8834aa3dd07c9ff094c6dd635b7db27813073c15
com.liferay	com.liferay.headless.delivery.api	32.2.0		b76aa84d81b87a5e40cd93cda065fa4326648f38
com.liferay	com.liferay.headless.delivery.api	32.2.1		d936f971bcdb836a91a9527f318480bfcad42c51
