church.i18n	spring.webmvc.platform	0.3.0		N/A
com.github.soartech	soar-language-server	0.9.1		cc9288d15cc3a190989cc1d5199e84114c2b6979
com.github.soartech	soar-language-server	0.9.1	all	5a5de6a394111fce9eef41d549623f501f4e2fff
com.github.soartech	soar-language-server	0.9.2		fffe6f8caccb2a96dd8d852ed439ea1df9975a59
com.github.soartech	soar-language-server	0.9.2	all	febfc80d9a572fac8c7e30a154c1956eda2110d9
com.github.soartech	soar-language-server	0.9.3		ef41e344d4e0d1f1a36112ef61650b122874b747
com.github.soartech	soar-language-server	0.9.3	all	b8b92f7922a98bca0c517a196b99dc9675ce44e9
com.github.soartech	soar-language-server	0.9.5		c2d584daf57d26e1e6aaf0695a3e10705a15eae9
com.github.soartech	soar-language-server	0.9.5	all	48c93ca876c866b7d76321c5cfa289d204620cda
com.github.wnm3	API4JSON	1.0.0		a5602e506ee7795d5f1a515e486e4a1e998055f7
com.github.wnm3	API4JSON	1.0.1		68400c548f9ed1e37c6d421ce5f163ef77f6bfc5
com.github.wnm3	API4JSON	1.0.2		382deb5fdaeeaa7383cf682277050077e5044663
com.github.wnm3	API4JSON	1.0.3		cca7354324b8e8ad9dc4c6264bbe24f958413d40
com.github.wnm3	API4JSON	1.0.4		b71a86d3bbff83abe89a95d7a4fed023997b2263
com.github.wnm3	API4JSON	2.0		dc0102e5beb7b76ca5e0db00a86baf738c612662
com.github.wnm3	API4JSON	2.0.1		e8a1607fc4cd229b924506ad2855a4aad53aae13
com.github.wnm3	API4JSON	2.0.2		381e10560f32b5a34200790d8e2728fa8555c216
com.github.wnm3	API4JSON	2.0.3		748987483f36d5789306b3a2964edee04e95fc8a
com.github.wnm3	API4JSON	3.0.0		0fa167ac25c72abee68d846c986f8fc5aecb5218
com.github.wnm3	API4JSON	3.0.1		8c9243477dd5a701a0f0c2afccc47afb0ca1cb9d
com.github.wnm3	API4JSON	4.0.0		a972dbacb63f6c704b4873e61d7264e8becb4ca6
com.github.wnm3	API4JSON	4.0.3		374a3b221ecc4586054959cc0089ceee21bfeaf1
com.googlecode.places-api-client	places-api-client	1.0.0		84be48b763e1da747a48d12e6dcb983693b47856
com.itxiaoer.dis	dis-sample	1.0.0		311096b477b4d7a1eaedeebfedba080ffc44fb43
com.itxiaoer.dis	dis-sample	1.0.1		42ad6ecdfbaa9563e2d2d1e1b2086259784f59d4
com.itxiaoer.dis	dis-sample	1.0.2		7dddf211c7b600d5653689c562ddeab8a47f0e07
com.itxiaoer.dis	dis-sample	1.0.3		0e7c469e7c185639fb20df4389621ba65bbb1463
com.itxiaoer.dis	dis-sample	1.0.4		a0fa692626f0cbc84547fb06fb28f97c8951e153
com.itxiaoer.dis	dis-sample	1.0.5		76c827b3c141f1c307a58115564076b739dbece9
com.jwebmp.jre10	jwebmp-google-source-code-prettify	0.58.0.21-RCTEST		8c60eb2b8d7363ce6b6b518bbe2cefcdcb24e64b
com.jwebmp.jre10	jwebmp-google-source-code-prettify	0.59.0.14		b4d88d12f5eee2293dc7cdaa9dafaeec925eedf3
com.liferay.mobile	liferay-screens	1.4.0		4060fc89664de0f1edcc6d3e8266e483c9614d66
com.liferay.mobile	liferay-screens	1.4.1		4f12a3e1c7d0889e5b4309c3b9dfc9c6191af513
com.liferay.mobile	liferay-screens	1.4.2		ceda771a4353ce222c12b952a8585cdecf14b8f3
com.liferay.mobile	liferay-screens	2.0.0		968dcbcaeba8247465e97cc98f6d0ae3b5d2e290
com.liferay.mobile	liferay-screens	2.0.1		3f15d23bd2611607a159e86d19f1f15496587547
com.liferay.mobile	liferay-screens	2.1.0		1cbe3a932751c1d6715bae7869976d71943dc5aa
com.liferay.mobile	liferay-screens	2.1.1		4012a70b6ec1fae0637c8276d29a8a21e0725207
com.liferay.mobile	liferay-screens	2.1.4		ebf229904f306463de65fd3f971e64146611c5d3
com.liferay.mobile	liferay-screens	2.1.5		3d7e179aa983eb0ad5ce9ee04454e87d3e09cee8
com.liferay.mobile	liferay-screens	2.1.7		d130a5e9104edc31b18d0f4f3ea961dc9e0b4fbb
com.liferay.mobile	liferay-screens	3.0.0		5aabf2d8c615f5bad70a72f873f4f97d85cf0b47
com.liferay.mobile	liferay-screens	3.0.1		559442e6295901c5ecfa30807cefe148cfbf181f
com.liferay.mobile	liferay-screens	3.0.2		0db3f92d95cc22313024c73a3170a26040ff6012
com.liferay.mobile	liferay-screens	3.0.3		5841e7019d98c3ef39f6d8a370de5b5f3dc7eab2
com.liferay.mobile	liferay-screens	3.1.0		7726ba9a16d1ab5f9243fb31364dcee9038165d5
com.liferay.mobile	liferay-screens	3.2.0		a556832ce4929531ee538ac35196e2a07a161491
com.liferay.mobile	liferay-screens	4.0.0		e5dcf97be1dde16f96ddcd61681bb3a27819a71e
com.liferay.mobile	liferay-screens	4.0.0-beta-1		1d26715f857d7d53ff5abbd7ca44964898ef883c
com.liferay.mobile	liferay-screens	4.0.1		17fe24cef3b54389aa795cdb9892e3e0f3426d59
com.liferay.mobile	liferay-screens	4.0.2-beta-1		da8fdfcf3083a0205937713b0a5a48b97068cb81
com.liferay.mobile	liferay-screens	5.0.0		38d4b517793b0991b062e2b408356fcc2ba3f487
com.liferay.mobile	liferay-screens	5.0.0-beta-1		4be35f0d35da3e114e20e3a72407b443f60aec20
com.liferay.mobile	liferay-screens	5.0.1		3f359bd904a9f71a9df7dbe7c537fee20d3b7831
com.liferay.mobile	liferay-screens	5.0.2		cec29a18138f0dc90938f6355768282cbf4dc998
com.liferay.mobile	liferay-screens	5.0.3		4f79312fea144286e8ff6ac99d78e880153ffc66
com.liferay.mobile	liferay-screens	5.0.3-beta-1		f846bd40e612122c1b479ac1b26557cb01e8d074
com.liferay.mobile	liferay-screens	5.0.4		8b16c189b861e31886d5711fc07aa5ddf2c71c9e
com.liferay.mobile	liferay-screens	5.0.4-no-android-x		N/A
com.liferay.mobile	liferay-screens	5.0.5		N/A
com.liferay.mobile	liferay-screens	5.1.0		N/A
com.liferay.mobile	liferay-screens	5.1.1		N/A
com.linecorp.centraldogma	centraldogma-common-shaded	0.17.0		3dada37b5ca0a82e3718505e7ea1c3f75b2c2c21
com.linecorp.centraldogma	centraldogma-common-shaded	0.18.0		809a796d374d4cf5243bdf3ce823984fa1859b4e
com.linecorp.centraldogma	centraldogma-common-shaded	0.19.0		de203fb1286de50b678116a270f40aa335e7cbcb
com.linecorp.centraldogma	centraldogma-common-shaded	0.20.0		7f48e3da807568f340257e454d8bf56436be3891
com.linecorp.centraldogma	centraldogma-common-shaded	0.20.1		01789ca451fda6523a4bc0c5e84e896e6e1ad44a
com.linecorp.centraldogma	centraldogma-common-shaded	0.21.0		cd11001b859777d776b71f39089fe246bdc13c16
com.linecorp.centraldogma	centraldogma-common-shaded	0.21.1		6544becf5ab4a4b0f725970450647513ee57944d
com.linecorp.centraldogma	centraldogma-common-shaded	0.22.0		0a3a8fe9aad5a4b2d5ffc46158af3bbefbe287e5
com.linecorp.centraldogma	centraldogma-common-shaded	0.23.0		6760f78b8102d9bf1dc9447e3b6ec01043f8c850
com.linecorp.centraldogma	centraldogma-common-shaded	0.24.0		27a77fe5fda9ac3a29070c9eef2842a2946127c6
com.linecorp.centraldogma	centraldogma-common-shaded	0.25.0		bf786c5431042b231b84b6eb8e2766d0df008de3
com.linecorp.centraldogma	centraldogma-common-shaded	0.26.0		cf3f9151b4aa5829c2b98a8ad2f2716001434bc7
com.linecorp.centraldogma	centraldogma-common-shaded	0.27.0		6805d235dd0b50656aa316605bb30a770a231631
com.linecorp.centraldogma	centraldogma-common-shaded	0.28.0		b9a7cebbd6dad84866e6bded3a82c66d03fe9f4d
com.linecorp.centraldogma	centraldogma-common-shaded	0.28.1		b6e556860caec6df4a3a1bcb271d47fbee03fb51
com.linecorp.centraldogma	centraldogma-common-shaded	0.29.0		6f3a52408b3f5041efa97dc93d51d4a70e76104b
com.linecorp.centraldogma	centraldogma-common-shaded	0.30.0		1b15082e1cbfc5600634e1441f469c37610642ef
com.linecorp.centraldogma	centraldogma-common-shaded	0.31.0		f2670e05ec1ddc8c2434105d6650e0721add4d61
com.linecorp.centraldogma	centraldogma-common-shaded	0.32.0		e93e2b73f7499b15e401bcc0d76c80bd5de0434d
com.linecorp.centraldogma	centraldogma-common-shaded	0.32.1		951d98db61b756bc840f59be29d8db3d2affae7c
com.massisframework.sweethome3d	sh3d-metadata	1.1		bcf9dfff47446ecc6c4cadb3075366315b9b02cb
com.mastfrog	giulius-mongodb-reactive	2.8.6		4db99fc13be55d1ce17e0642d3610c903cf2cd50
com.mastfrog	giulius-mongodb-reactive	2.8.7		6789fcfdc116c11e75b08dd062d2f4a9489983ba
com.mastfrog	giulius-mongodb-reactive	2.9.0		6d3f65066c85d25a2d23008f492e3268bbcfb6b7
com.mastfrog	giulius-mongodb-reactive	2.9.1		d96c8ee39774943ba8da79bd7d6cb941a25ebd39
com.mastfrog	giulius-mongodb-reactive	2.9.2		5d4f2b97079d79c250708e84b6b7b5afef059df1
com.mastfrog	giulius-mongodb-reactive	2.9.3		257fac511c451998613d32a0fdc51ed9aff1e294
com.mastfrog	giulius-mongodb-reactive	2.9.4		0773d2e6344e4c1f6268536cdae2cd26e42ff2c9
com.mastfrog	giulius-mongodb-reactive	2.9.5		3d88312522be8de60f9accef9919bd4639b2d73b
com.mastfrog	giulius-mongodb-reactive	2.9.6		f143c15fc18b87fe7672fb9c6a7a6c96633a9809
com.mastfrog	giulius-mongodb-reactive	2.9.7		8e2436b8442820a69d663033b70b1e9bb231e665
com.mosesn	streamer_2.9.2	0.0.1		36acf34910bd77800d321b059b155a8fe3422f7d
com.navercorp.pinpoint	pinpoint-profiler-logging	2.3.0		881a4cf6c3d50a745d753aa18b851fa4d39365be
com.navercorp.pinpoint	pinpoint-profiler-logging	2.3.1		dec8c85bca458616ae89e171ef582561e9ed4e54
com.navercorp.pinpoint	pinpoint-profiler-logging	2.3.2		41d596449d2ec148ad3d82248002a618dca4c66a
com.navercorp.pinpoint	pinpoint-profiler-logging	2.3.3		2435527b7728e73de135e6c13a695e05d353d47e
com.navercorp.pinpoint	pinpoint-profiler-logging	2.4.0		bcea90e23b512a249ddb0de3af959f76fc6c92b8
com.navercorp.pinpoint	pinpoint-profiler-logging	2.4.0-RC1		88b062ff9ffe6169d6b5eca2bbdc01c028536fd1
com.navercorp.pinpoint	pinpoint-profiler-logging	2.4.1		9cf16a708c8037ee301986ff272f890ae6921250
com.navercorp.pinpoint	pinpoint-profiler-logging	2.4.2		7fb085b063e2a66bdc4edd55f7e865876f5fdaa8
com.navercorp.pinpoint	pinpoint-profiler-logging	2.5.0		b4dd9f835e4d69b3181ab2963c3dfe96cd08ded2
com.navercorp.pinpoint	pinpoint-profiler-logging	2.5.1		8c8c1db62a3cf53f21ca1e2d3863b044a46e7385
com.navercorp.pinpoint	pinpoint-profiler-logging	2.5.1-p1		e45890d07faa9f9a5665b31c98810eaf238142e2
com.navercorp.pinpoint	pinpoint-profiler-logging	2.5.2		42eb38f9954ead4b251669ade640f406184133cd
com.navercorp.pinpoint	pinpoint-profiler-logging	2.5.3		6468b4db6d3b6f2a2920ef4faf6f144d1d7af781
com.navercorp.pinpoint	pinpoint-profiler-logging	2.5.4		6366efbbb5e9075fe6c1df8dd4fe20575a160b43
com.navercorp.pinpoint	pinpoint-profiler-logging	3.0.0		707006a8c71ca7dccb202972a968209dbe3ff6df
com.navercorp.pinpoint	pinpoint-profiler-logging	3.0.1		21d64a78202258f1f91affd5bddeac53f39061b6
com.navercorp.pinpoint	pinpoint-profiler-logging	3.0.2		cffbc6ecee87ab410d635965e194af99c250a506
com.polidea.androidthings.driver	a4988	1.0.0		N/A
com.polidea.androidthings.driver	a4988	1.0.1		N/A
com.polidea.androidthings.driver	a4988	1.0.2		N/A
com.polidea.androidthings.driver	a4988	1.0.3		N/A
com.shakelang.util	common-io	0.4.0		221d5e7dac34bcc2d3ceec32f950eceb24718142
com.shakelang.util	common-io	0.4.0	html-docs	bef66cfb00f67d2439e564426db037aab136ff2a
com.shakelang.util	common-io	0.5.0		d2b74454877b1751610a4794489e7abae7c0e98a
com.shakelang.util	common-io	0.5.0	html-docs	87cbeb01b571a609997ec77f5c2ab61520d6e7d2
com.shakelang.util	common-io	0.6.0		da7fdc9b6addfb15a4ab9f6d8a5555275792f54d
com.shakelang.util	common-io	0.6.0	html-docs	13324723f332f8e77b2f0336c70674aae17808b7
com.shakelang.util	common-io	0.6.1		f1fbc4a416446c23beff9d1f4acfcd43de9a606b
com.shakelang.util	common-io	0.6.1	html-docs	8840a4004ba76d40fe1c0804d58f3e89e8db808b
com.thoughtworks.tryt	invariant_2.12	2.0.0		a3fd1d90a2474eb26f13cf1dd6e284865e93ea90
com.thoughtworks.tryt	invariant_2.12	2.0.1		96bc7c1583c9b90fcaf22ebd52e86a9229336406
com.thoughtworks.tryt	invariant_2.12	2.0.2		091cb03ca590daefb1841bde04adbb296136fbbb
com.thoughtworks.tryt	invariant_2.12	2.0.3		4e1b3b9c86986122c39a7842918f55f9b5d9eae3
com.thoughtworks.tryt	invariant_2.12	2.0.4		6c7ba3223e17040313ea26e6ec4392839adf6bf9
com.thoughtworks.tryt	invariant_2.12	2.1.0		87d92021229727a73348f97e5a71fb4b54241d08
com.thoughtworks.tryt	invariant_2.12	2.1.0+59-4e214755		443daeb103a19ff0ea962f12f826056c2c0c6c54
com.thoughtworks.tryt	invariant_2.12	2.1.1		e51699bdf10347e4d9856805ac9006cac03a4dd4
com.thoughtworks.tryt	invariant_2.12	2.1.1+10-4b45ebd1		e9c5d70ec3dab9053fe6ae6e3cbc8280815d4933
com.thoughtworks.tryt	invariant_2.12	2.1.1+12-cd995241		0bce0857590ba89b5a53276dcee92f1c9ec24186
com.thoughtworks.tryt	invariant_2.12	2.1.1+14-89ca8f28		e9c7e822a01d3bde989d9e0f3e87c3d84fc90680
com.thoughtworks.tryt	invariant_2.12	2.1.1+2-da211c84		4d881cbb0cedd7b49fc45732361393f0fff52ffe
com.thoughtworks.tryt	invariant_2.12	2.1.1+4-dd1a765d		c0eb7a054be82bbf39f4d7096016a321477032d4
com.thoughtworks.tryt	invariant_2.12	2.1.1+6-446c1825		b22e23efa5f466fbd3c5090bb9d211c1144bff77
com.thoughtworks.tryt	invariant_2.12	2.1.1+8-a673dd6f		4e5fedb37d1d0d539cca094e31b5e747f5cdea2f
com.webimageloader	parent	1.1.2		N/A
com.webimageloader	parent	1.1.3		N/A
com.webimageloader	parent	1.1.4		N/A
com.webimageloader	parent	1.1.5		N/A
com.webimageloader	parent	1.1.6		N/A
com.webimageloader	parent	1.2.0		N/A
eu.giulianogorgone	fluidswipe-core	1.0.0		0f6dd102164722c32c450d5f534dfcdffeb2c47b
io.bitbucket.5faces	common-location-server	0.0.1		fe3beecd761f4c86714e295becf5eff53c7c0b51
io.bitbucket.5faces	common-location-server	0.0.2		173c728bf01c4abafdd65c2775e55887c4be73a6
io.bitbucket.5faces	common-location-server	0.0.3		e4d3163667ba4496b07caa003f9647377318959c
io.bitbucket.5faces	common-location-server	0.0.4		61b6f9ca22bfc9d63950ea3eb57d4b69b0563f47
io.github.cdklabs	cdk-amazonmq-activemq-config-v5-18-4	0.0.0		1d070f8ec6c71aef7618b5650e876d397b1c44ea
io.github.cmorgia	newtgw	0.0.11		ad382145c31e77648dfdc8246e582c392cf6cdec
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.31		d93173364840bca19eebda74625cd7683d97b291
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.32		9d24d6e0ad6d1244c49480efa6717e1f3f9e6f67
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.33		6614fd4f7fae28f8a3fd3157dd799bef84ff7ddb
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.34		39c5e98c78369cc8715b9496a1168b539e2791a9
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.35		c8f59c168fbdceae43ff0b13f39747931a863691
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.35	dokka	9d1a72d773db254cb03731603d00f689d4bd765c
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.36		a26d5cb9c2a5f1370b8cdf832268f7c9bdd31eed
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.37		fcefa65682e292c54057e88da6e1fc53e82f6f9d
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.37	dokka	2cc6527a4899828cdcb6a23f1238db7fe9ee1a4a
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.38		da6e7613561a14cecaa6932579c58775d45fa057
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.39		2f69d767f1712edeb6013013fdf7bf64482252c7
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.39	dokka	854d166c69bf9f3fd5e7c064fba1ae9d7aed125f
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.40		8e8ee0c6d75215e8bd5dc10c790c22cc55198516
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.41		3075c1726ad0c32620a62d87b9f878185c68879e
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.42		966d23d7385ebc079f5a0a2f50f9f46dd0a866d1
io.github.fuookami.ospf.kotlin.core.plugin	ospf-kotlin-core-plugin-lingo	1.0.43		404799972c137cfa09847dcec85fc47221c37c40
io.github.hristogochev	vortex-kodein-iosarm64	0.1.0		N/A
io.github.hristogochev	vortex-kodein-iosarm64	0.1.0	metadata	dec79df6a9645aca51865ed169646eef6c6db4bd
io.github.hristogochev	vortex-kodein-iosarm64	0.1.1		N/A
io.github.hristogochev	vortex-kodein-iosarm64	0.1.1	metadata	34ae01ea36b4fac73cb4bba7e362a64a736ec526
io.github.hristogochev	vortex-kodein-iosarm64	0.1.2		N/A
io.github.hristogochev	vortex-kodein-iosarm64	0.1.2	metadata	4e01659c8707ad57c4f612f1e9e4ccca0324041b
io.github.hristogochev	vortex-kodein-iosarm64	0.2.0		N/A
io.github.hristogochev	vortex-kodein-iosarm64	0.2.0	metadata	6a4916a7f534a4a78cbf36ee9949b2215b0f269b
io.github.hristogochev	vortex-kodein-iosarm64	0.2.1		N/A
io.github.hristogochev	vortex-kodein-iosarm64	0.2.1	metadata	8bc8a2643fbda3bfb581ef44edad4ba573a90963
io.github.hristogochev	vortex-kodein-iosarm64	0.2.2		N/A
io.github.hristogochev	vortex-kodein-iosarm64	0.2.2	metadata	59edece0238a91ea3fa5fcbb8f08e43a2b8a5dba
io.github.hristogochev	vortex-kodein-iosarm64	0.2.3		N/A
io.github.hristogochev	vortex-kodein-iosarm64	0.2.3	metadata	2c43f08d049250da301e8ef39f9f6e1731eb891e
io.github.hristogochev	vortex-kodein-iosarm64	0.2.4		N/A
io.github.hristogochev	vortex-kodein-iosarm64	0.2.4	metadata	699c4777e94c9f69ac7d47de86359944e27a43bb
io.github.mikeiansky	mikeiansky-async-sample	1.0.2		9db42da73c7109489d8e8e7e527e46ac8d71a8cd
io.github.mikeiansky	mikeiansky-async-sample	1.0.3		008dd7e1fc4d68228e4a88e67c615aa2145ca5f7
io.github.peterattardo.assertainty	exposed-plugin	0.1.0		791356c713969e571a9c8b819c0adf7003735071
io.github.peterattardo.assertainty	exposed-plugin	0.2.0		7921b49e5063e641627552a36a8e9f954692447f
io.github.rafsanjani	datepickertimeline-iosX64	1.0.0		N/A
io.github.rafsanjani	datepickertimeline-iosX64	1.0.0	metadata	9012867b6a0e7294e4e4406a8e264b04cf434cc4
