at.crea-doo.flexdock	flexdock	1.3		N/A
com.github.fomkin	levsha-core_sjs0.6_2.11	0.2.0		f94b0ef6a728a2df3e671ca79fc19d1cdebc2b5f
com.github.fomkin	levsha-core_sjs0.6_2.11	0.3.0		b87b5c3eaedd767a5f26bb3b64f2ee3b0d42629d
com.github.fomkin	levsha-core_sjs0.6_2.11	0.4.0		96d1be477ef600539ce81e82a3ce9274104f7f5b
com.github.fomkin	levsha-core_sjs0.6_2.11	0.4.1		e2737819fd4257853da2b694e0f57caebcd37e67
com.github.fomkin	levsha-core_sjs0.6_2.11	0.4.2		f474358aa47e5c17353aadff262e27306e5f8dbd
com.github.fomkin	levsha-core_sjs0.6_2.11	0.5.0		348ea611263c0402e4a2f07427b4af14510922b8
com.github.fomkin	levsha-core_sjs0.6_2.11	0.6.0		d478fb38c8e8e590a1dbb679409600d18c98d088
com.github.fomkin	levsha-core_sjs0.6_2.11	0.6.1		ee14307e36a554251539b0a5f3495ed939e07286
com.github.fomkin	levsha-core_sjs0.6_2.11	0.7.1		42ffb622bf892b4067b8fe49de68a64b12f527a9
com.github.fomkin	levsha-core_sjs0.6_2.11	0.7.2		1a53f507c361f5a04211d9b21d4917b3dc125bd5
com.github.jupfu	chelona_2.11	1.1.0		6e5a74b123980dd67d00d054705000d96f10a332
com.github.jupfu	chelona_2.11	1.2.0		69df8ceb3e61cf37cc451670d53c100d4045809e
com.github.luues.tool	tool-setting	1		98fea64bd793b7e428cc638b34a93a350d836f96
com.github.luues.tool	tool-setting	1.0.0.0.RELEASE		fe718ce05796280bc1c9293e5399bb8928e04ffb
com.github.luues.tool	tool-setting	1.0.0.1.RELEASE		e3aa8c199281f34cd16e630afddac3688c827e98
com.github.luues.tool	tool-setting	1.0.0.3.RELEASE		9fa2b7935600b284617d3873abccaec9a02a018a
com.github.luues.tool	tool-setting	1.0.0.4.RELEASE		dd78846ccad452162ec885a241a0c97f88f25110
com.github.luues.tool	tool-setting	1.0.0.5.RELEASE		cf7dad1cc754e097d316d8a85cc72b31db3f244f
com.github.luues.tool	tool-setting	1.0.0.6.RELEASE		c6ef40c33a88935d5ed2b3865772db2f5202500a
com.github.luues.tool	tool-setting	1.0.0.7.RELEASE		b305cdb635a9851eb3632c6c6f36877336855df5
com.github.luues.tool	tool-setting	1.0.0.8.RELEASE		c33f7b5042d0bda628d81913b08b5e1bd62f8049
com.github.luues.tool	tool-setting	1.0.0.9.RELEASE		f8eccaf38b548d4ca9de4aa98e2865f59a86a758
com.github.luues.tool	tool-setting	1.0.1.1.RELEASE		aa34b4ee7093b7e143708d3fb1b3b5660a8ea5e1
com.github.luues.tool	tool-setting	1.0.1.2.RELEASE		16fcdb25564c865204b7e3b131ce6629ae04d482
com.github.luues.tool	tool-setting	1.0.1.3.RELEASE		36c5d2aaa75727316a6e4a18e0b74d2e9e4de6d3
com.github.luues.tool	tool-setting	1.0.1.4.RELEASE		1af47139b31a06cb9ffd8c46ba8722da3e46cfd7
com.github.luues.tool	tool-setting	1.0.1.5.RELEASE		4a797741e300dfdaca2039a3a47d8ac8cf3b8810
com.github.luues.tool	tool-setting	1.0.1.6.RELEASE		089f5481f72d2695da81cfd434ecc08882fdba3e
com.github.luues.tool	tool-setting	1.0.1.7.RELEASE		a6e079602db3e96374fe427425a0245b32218671
com.github.luues.tool	tool-setting	1.0.1.8.RELEASE		7d9ca1be7442b9edc5f988f3324e881ab25cf425
com.github.luues.tool	tool-setting	1.0.1.9.RELEASE		bd69394434d262a2fd9d17eea3d6f5620579c586
com.github.luues.tool	tool-setting	1.0.2.0.RELEASE		7b6045be30b0be3f832fe43cbe646e34b4cd0096
com.github.luues.tool	tool-setting	1.0.2.1.RELEASE		582f0a54e8a41c16f40ab824108e90888ab817b9
com.github.luues.tool	tool-setting	1.0.2.2.RELEASE		3e58df8b9f76b235b7d3b8663ac89e797cdf3852
com.github.luues.tool	tool-setting	1.0.2.3.RELEASE		a546c7e5b0bc8d30f8b23f9a68424a6cfa486d71
com.github.luues.tool	tool-setting	1.0.2.4.RELEASE		5e3bf61c7665d5a575df8f192fa2e2328ce8ff1a
com.github.luues.tool	tool-setting	1.0.2.5.RELEASE		e2b39ab94331641bddfc7b7482c70c2596e1354a
com.github.luues.tool	tool-setting	1.0.2.6.RELEASE		df4625d28dd605b6f22f21e83d97fac7b1439e4c
com.github.luues.tool	tool-setting	1.0.2.7.RELEASE		67ab327266ae5c415c73a88e2d2c214e2aa83973
com.github.luues.tool	tool-setting	1.0.2.8.RELEASE		ff8b17cf5ad16aabe55c86b34fc4a5e015ac4f2a
com.github.luues.tool	tool-setting	1.0.2.9.RELEASE		fcf45324d44725737c9f6e7c1e25a17b518f1db8
com.github.luues.tool	tool-setting	1.0.3.0.RELEASE		1f4e831fb2b95c8928a030802416ad3f42780925
com.github.luues.tool	tool-setting	1.0.3.1.RELEASE		db704a154076c0b43cea0452ca9098db11317f2f
com.github.luues.tool	tool-setting	1.0.3.2.RELEASE		ada0cf98ab00a8e7c8c381528b9d3d6cbd1bc841
com.github.luues.tool	tool-setting	1.0.3.3.RELEASE		cb23db02f79e5d0a61360d4644928fbce4a2dd72
com.github.luues.tool	tool-setting	1.0.3.4.RELEASE		9306d7f1d5462685a17cb1021470ff01bffcc774
com.github.luues.tool	tool-setting	1.0.3.5.RELEASE		f523cd06ed88de08a7931a3735f6baf1fe414e4a
com.github.luues.tool	tool-setting	1.0.3.7.RELEASE		1ae68e0a6896fa4ca285798c7547b4d590c4784c
com.github.luues.tool	tool-setting	1.0.3.8.RELEASE		efc5f4ecd2aa89f0edd0d53b60b652b936883e08
com.github.luues.tool	tool-setting	1.0.3.9.RELEASE		9304788a45ba7377376b760ce36b5700548d9074
com.github.luues.tool	tool-setting	1.0.4.0.RELEASE		3ff58b81a5998b5ccd578dd124c743c919e97b9c
com.github.luues.tool	tool-setting	1.0.4.1.RELEASE		7c823a5e20339010181c62c72555c0286428df38
com.github.luues.tool	tool-setting	1.0.4.2.RELEASE		a31f4f80a333aa3c5ab8c57392fe0934165243af
com.github.luues.tool	tool-setting	1.0.4.3.RELEASE		8fc9476296b9f2075962ac6daa37a87e55c4d6fb
com.github.luues.tool	tool-setting	2.0.1.RELEASE		b01cfb9ba3e55da5c47c825c6814661637e1f64c
com.huanshankeji	compose-multiplatform-html-unified-material3	0.5.0		dcad1dd6e5b8821a00675021aa4e0ef066031093
com.hurence.logisland	logisland-engine-spark_2_3	1.1.0		a35be484e2f5fec7554228764f99ac8d7e3e8e0f
com.hurence.logisland	logisland-engine-spark_2_3	1.1.2		6bbbf831671d72e48f70f99e4afe1e1c8bdfb1f4
com.hurence.logisland	logisland-engine-spark_2_3	1.2.0		e6c635a43b9b7c0298cc2615715c2b5464cf6996
com.hurence.logisland	logisland-engine-spark_2_3	1.4.0		67ad0f7b15ffd6befc8c1e830269bb72e731c673
com.ibm.websphere.appserver.features	sipServlet-1.1	18.0.0.2		N/A
com.ibm.websphere.appserver.features	sipServlet-1.1	18.0.0.3		N/A
com.ibm.websphere.appserver.features	sipServlet-1.1	18.0.0.4		N/A
com.ibm.websphere.appserver.features	sipServlet-1.1	19.0.0.1		N/A
com.ibm.websphere.appserver.features	sipServlet-1.1	19.0.0.2		N/A
com.ibm.websphere.appserver.features	sipServlet-1.1	19.0.0.3		N/A
com.ibm.websphere.appserver.features	sipServlet-1.1	19.0.0.4		N/A
com.ibm.websphere.appserver.features	sipServlet-1.1	19.0.0.5		N/A
com.ibm.websphere.appserver.features	sipServlet-1.1	19.0.0.6		N/A
com.ibm.websphere.appserver.features	sipServlet-1.1	19.0.0.7		N/A
com.inrupt	inrupt-client-vc	1.0.0.Alpha2		3466db8f829f5e94e2989d249435cb7f300317f8
com.inrupt	inrupt-client-vc	1.0.0.Alpha3		19b4d3ee3d36440bf426da9674a89ab939972399
com.jalalkiswani	jk-smart-desktop	1.0.0		d9e8fce526629a690ee2a8e50c5dd265be6bbfa7
com.jaredsburrows	gradle-license-plugin	0.8.91		d2c82c7cf459a0d17c518044a0c7f9b4e0971eb3
com.jaredsburrows	gradle-license-plugin	0.9.0		c8a69b3974b2c976ec1a91a7bdfff0de258f46f7
com.jaredsburrows	gradle-license-plugin	0.9.2		db3c55345baf81b63c0662f4c2c15a08498af64b
com.jaredsburrows	gradle-license-plugin	0.9.3		f6e1c430d2f84392e7765cb8ea2fdc9803050252
com.jaredsburrows	gradle-license-plugin	0.9.4		8ae7043e27c674dd5e78fcec43cf4ca959ba8ad8
com.jaredsburrows	gradle-license-plugin	0.9.5		a9e1eec0c42185167c9ee9d02cfde4bd2788d81a
com.jaredsburrows	gradle-license-plugin	0.9.6		251850adfb8b81feb78b383bc6b3cd13549e9ef0
com.jaredsburrows	gradle-license-plugin	0.9.7		83fe7b11c3bccdeba663a94d926ea276d4638522
com.jaredsburrows	gradle-license-plugin	0.9.8		aafacbda3567183e9b0645ce1daffce939178fe1
com.newzly	phantom-dsl_2.10	0.0.1		c9268d35fc7f79bc13d01aa330bc3f08f3d45930
com.newzly	phantom-dsl_2.10	0.0.2		5e8ba08bdcf1adb907e8583fb7f2e523887f38be
com.newzly	phantom-dsl_2.10	0.1.12		aec2ac8a697e4d3d5d5d3384c1a4ebd3ede377fe
com.newzly	phantom-dsl_2.10	0.2.0		778b954f01f82e669c4885e9c4a6b92ad236f6d3
com.newzly	phantom-dsl_2.10	0.3.0		631915d0408d2cd146880a165e4155f9d34f91da
com.newzly	phantom-dsl_2.10	0.4.0		8234ebefa0b8036e8d96a311176e47b2413ce7e2
com.newzly	phantom-dsl_2.10	0.5.0		6de42f1eb6fe68b1fb4485bfc757f811e485bc74
com.newzly	phantom-dsl_2.10	0.6.0		19f8d3176e62e0f0273b9797bbcc4524bc8a1ebd
com.newzly	phantom-dsl_2.10	0.7.0		3a61df6690ad972ab26de7479cd694b0dada75c3
com.newzly	phantom-dsl_2.10	0.7.1		5e931edaf3e9d43bc4e9810ea1a5bfd92ce61ada
com.newzly	phantom-dsl_2.10	0.8.0		520a2981b68caee6ba5a359ec8739f86b918e5e8
com.nrinaudo	kantan.codecs-java8-laws_2.13	0.5.1		e1fe64f1e7aebe18d8ca1cb8212be4c6e569cbd5
com.nrinaudo	kantan.codecs-java8-laws_2.13	0.5.2		93aa419520336240c6dc184c778b4fe174175cb8
com.nrinaudo	kantan.codecs-java8-laws_2.13	0.5.3		e2fe212015e37a7075b626269a306851734d6b0c
com.nrinaudo	kantan.codecs-java8-laws_2.13	0.6.0		ccf6e4e174de1d80880844ac67aa40a20e6c898c
com.palantir.docker.proxy	docker-proxy-rule-core-jdk21	1.10.0		2d9f2e44710ee8eca9bd6c31bd92d1ee2e085fa8
com.palantir.docker.proxy	docker-proxy-rule-core-jdk21	1.11.0		5f523e623083bce80af8fd7fed27a8297ba45250
com.palantir.docker.proxy	docker-proxy-rule-core-jdk21	1.12.0		2145c369c3ba09115c58f23d227a8d009053c865
com.pauldijou	jwt-json4s-native_2.10	0.10.0		1f768642e50444bc42a4d399863d903dd50a4c21
com.pauldijou	jwt-json4s-native_2.10	0.4.0		d24ecea9823186752a7f9af245a2f9e6c11831f3
com.pauldijou	jwt-json4s-native_2.10	0.4.1		8c72af6e521be2ab4895cf21ee7570d0338f5a0c
com.pauldijou	jwt-json4s-native_2.10	0.5.0		8b910085335ddf31bf4064febeb68e2f807f7997
com.pauldijou	jwt-json4s-native_2.10	0.5.1		6e6b22e52fd91e2c3cb275e64d3bc967c9775930
com.pauldijou	jwt-json4s-native_2.10	0.6.0		3209911a3c227fd26501e2aa6148fcb162b471d6
com.pauldijou	jwt-json4s-native_2.10	0.7.0		eecd9f2d8cc897243d88146234fa300919032d48
com.pauldijou	jwt-json4s-native_2.10	0.7.1		c233481183647d1a96601adc3952222ac038dfcd
com.pauldijou	jwt-json4s-native_2.10	0.8.0		05ce718f8351ceec79a71996891836062accb903
com.pauldijou	jwt-json4s-native_2.10	0.8.1		de737c45720fd814db062914597ce442d2043d7a
com.pauldijou	jwt-json4s-native_2.10	0.9.0		5511eff959345d7c468f2084438f831ac50bd54a
com.pauldijou	jwt-json4s-native_2.10	0.9.1		4d49377730c989e09bdd6bed7497f93b4472c6cb
com.pauldijou	jwt-json4s-native_2.10	0.9.2		2017352f801d8f36f454ce5ec63d78f9ac9fd0e0
com.paulgoldbaum	scala-influxdb-client_2.12	0.5.2		6acc74a82e2dd61d6a17cfd334074a8e2c99ce93
com.paulgoldbaum	scala-influxdb-client_2.12	0.6.0		c084a83b53851a9e3de2be6e231b1936ba87742b
com.paulgoldbaum	scala-influxdb-client_2.12	0.6.1		9b10b302bde6a8e5b57d5d3ec864964866fa3824
com.sematext	SematextCloudClient	0.1.0		f18a613997574f30e72517884048294c9f14d6b0
com.sematext	SematextCloudClient	0.1.1		a660cf2ad0ce12af9d0f6a0294c373083c57cca5
com.sematext	SematextCloudClient	0.1.2		39975187866b2eb195969c76afcd2e1339de48de
com.sematext	SematextCloudClient	0.1.3		de924a10484c79c53621d8e19c74ee1454e8c362
com.sematext	SematextCloudClient	0.2.0		ef5a1b383a439e159f868cc5062120e68c2f6735
com.sematext	SematextCloudClient	0.3.0		9b32d4be1c433e2631ebfc581d6c9b7fabf5c652
com.sematext	SematextCloudClient	0.4.0		ed4bd19854b24973498893f106afd5233adb713c
com.sematext	SematextCloudClient	0.5.0		afad2a8a8d5d540c021985eadc1f6c6b8b7751c1
com.snap.camerakit	support-gallery-picker	1.12.0		N/A
com.snap.camerakit	support-gallery-picker	1.13.0		N/A
com.snap.camerakit	support-gallery-picker	1.14.0		N/A
com.snap.camerakit	support-gallery-picker	1.14.1		N/A
com.snap.camerakit	support-gallery-picker	1.15.0		N/A
com.snap.camerakit	support-gallery-picker	1.15.1		N/A
com.snap.camerakit	support-gallery-picker	1.16.0		N/A
com.snap.camerakit	support-gallery-picker	1.17.0		N/A
com.snap.camerakit	support-gallery-picker	1.17.1		N/A
com.snap.camerakit	support-gallery-picker	1.18.0		N/A
com.snap.camerakit	support-gallery-picker	1.18.1		N/A
com.snap.camerakit	support-gallery-picker	1.19.0		N/A
com.snap.camerakit	support-gallery-picker	1.19.1		N/A
com.snap.camerakit	support-gallery-picker	1.19.2		N/A
com.snap.camerakit	support-gallery-picker	1.20.0		N/A
com.snap.camerakit	support-gallery-picker	1.21.0		N/A
com.snap.camerakit	support-gallery-picker	1.21.1		N/A
com.snap.camerakit	support-gallery-picker	1.22.0		N/A
com.snap.camerakit	support-gallery-picker	1.23.0		N/A
com.snap.camerakit	support-gallery-picker	1.24.0		N/A
com.snap.camerakit	support-gallery-picker	1.25.0		N/A
com.snap.camerakit	support-gallery-picker	1.26.0		N/A
com.snap.camerakit	support-gallery-picker	1.26.1		N/A
com.snap.camerakit	support-gallery-picker	1.26.2		N/A
com.snap.camerakit	support-gallery-picker	1.27.0		N/A
com.snap.camerakit	support-gallery-picker	1.28.0		N/A
com.snap.camerakit	support-gallery-picker	1.29.0		N/A
com.snap.camerakit	support-gallery-picker	1.30.0		N/A
com.snap.camerakit	support-gallery-picker	1.30.1		N/A
com.snap.camerakit	support-gallery-picker	1.31.0		N/A
com.snap.camerakit	support-gallery-picker	1.32.0		N/A
com.snap.camerakit	support-gallery-picker	1.33.0		N/A
com.snap.camerakit	support-gallery-picker	1.34.0		N/A
com.snap.camerakit	support-gallery-picker	1.35.0		N/A
com.snap.camerakit	support-gallery-picker	1.36.0		N/A
com.snap.camerakit	support-gallery-picker	1.36.1		N/A
com.snap.camerakit	support-gallery-picker	1.37.0		N/A
com.snap.camerakit	support-gallery-picker	1.38.0		N/A
com.snap.camerakit	support-gallery-picker	1.39.0		N/A
com.snap.camerakit	support-gallery-picker	1.40.0		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.0.0		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.0.0	metadata	70505b7f4a54634d27db06087775aae4a1c15226
com.soywiz.korge	korge-foundation-tvosx64	5.0.0-RC		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.0.0-RC	metadata	709e98a1dd17a7edbcdf8fefcb23317d56fea8d0
com.soywiz.korge	korge-foundation-tvosx64	5.0.0-alpha		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.0.0-alpha	metadata	f3abde8559cebf6f8a89429844a0a7d85c0d75ec
com.soywiz.korge	korge-foundation-tvosx64	5.0.1		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.0.1	metadata	56e2eb58b0ced166044e467e4033bf91c8d9edae
com.soywiz.korge	korge-foundation-tvosx64	5.0.2		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.0.2	metadata	4bae762682b29ab0e92f5e6f4865c5cff9684587
com.soywiz.korge	korge-foundation-tvosx64	5.0.3		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.0.3	metadata	fa6b34beee22432d11584be582c696a84b6aeaef
com.soywiz.korge	korge-foundation-tvosx64	5.0.4		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.0.4	metadata	6f7562534f6e002dfe1de3f6767e0351bdb6776c
com.soywiz.korge	korge-foundation-tvosx64	5.0.5		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.0.5	metadata	e0b2b7c770c4d00934d87c39f12b8fa310f67305
com.soywiz.korge	korge-foundation-tvosx64	5.0.6		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.0.6	metadata	1300731ed1aa988bf4449eab875e232143e89c76
com.soywiz.korge	korge-foundation-tvosx64	5.1.0		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.1.0	metadata	91a41344f48005c9fe9fb4fb410acc711db97e1a
com.soywiz.korge	korge-foundation-tvosx64	5.1.0-Beta		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.1.0-Beta	metadata	2ee350534a9d023b93952c0fddca50b476ab5ce5
com.soywiz.korge	korge-foundation-tvosx64	5.2.0		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.2.0	metadata	1db90e02decc2f0ab17c8a516e90b6dad1c76c5f
com.soywiz.korge	korge-foundation-tvosx64	5.3.0		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.3.0	metadata	9e50cabb64f16bc6d2c48e1bb72097bbe4d77118
com.soywiz.korge	korge-foundation-tvosx64	5.3.1		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.3.1	metadata	0bd235886b385a5dc49b4ce076ecbd16431353ea
com.soywiz.korge	korge-foundation-tvosx64	5.3.2		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.3.2	metadata	dacffd91258c556a59f8a38734342d17bfcf8eac
com.soywiz.korge	korge-foundation-tvosx64	5.4.0		N/A
com.soywiz.korge	korge-foundation-tvosx64	5.4.0	metadata	323824782c5e425691e0b24a6f065410c8fc6284
com.stormpath.spring	stormpath-sdk-examples-spring	1.0.0		93115916de31b49eb3481cdaa8a2cfd875c3a59f
com.stormpath.spring	stormpath-sdk-examples-spring	1.0.1		b47cfc5b44e4e91c08fe760304950006d4f586be
com.stormpath.spring	stormpath-sdk-examples-spring	1.0.2		84e98392338fc860c923d705ee03d0b8286539df
com.stormpath.spring	stormpath-sdk-examples-spring	1.0.3		161105f05c6fa886fc98f7e3b43eb1f1c0d67870
com.stormpath.spring	stormpath-sdk-examples-spring	1.0.4		053bb0d1af02a2078b2c1d60c6ebdba0e545f960
com.stormpath.spring	stormpath-sdk-examples-spring	1.1.0		7139d7e1467934dbc812aca2874cab9c3f9dd0aa
com.stormpath.spring	stormpath-sdk-examples-spring	1.1.1		76492f4c20ee9b45b948805b14515d64757b64df
com.stormpath.spring	stormpath-sdk-examples-spring	1.1.2		34907bed9319ee7a811f9ce437101aaabecc88f3
com.stormpath.spring	stormpath-sdk-examples-spring	1.1.3		41cd6d9bfb33c96b0a7918e23d740d0bff045af9
com.stormpath.spring	stormpath-sdk-examples-spring	1.1.4		13b85deadd40b6bc13e6d7051c9cce311ce293e2
com.stormpath.spring	stormpath-sdk-examples-spring	1.1.5		6913272944255fb3f4269d82ea739de28621db40
com.stormpath.spring	stormpath-sdk-examples-spring	1.1.6		d35a1f7daa34a416e548b553bce9431d1f61e13a
com.stormpath.spring	stormpath-sdk-examples-spring	1.1.7		4061c5af335d67d60f48a1ea9414514d5e7fdf44
com.stormpath.spring	stormpath-sdk-examples-spring	1.2.0		081fb55f115fd1a6bf14e11322ef19d3c40b3dbf
com.stormpath.spring	stormpath-sdk-examples-spring	1.2.1		29126d91b991140104ec85a57456e41722257312
com.stormpath.spring	stormpath-sdk-examples-spring	1.2.2		950d6634fdc489ead6fd7b0d5f58665e300ef9c9
com.stormpath.spring	stormpath-sdk-examples-spring	1.2.3		49e8f82a9285a41cec11a2dc7367b92b7e6b994a
com.stormpath.spring	stormpath-sdk-examples-spring	1.2.4		425316f8e2cbac1ea1de0db009afc07ea538e1f3
com.stormpath.spring	stormpath-sdk-examples-spring	1.2.5		e006890db3008137b707d12abfb531ea53b48b0c
com.stormpath.spring	stormpath-sdk-examples-spring	1.3.0		cbce7c79df6e924382c3285e2c27fc870e0443fe
com.stormpath.spring	stormpath-sdk-examples-spring	1.3.1		43c59dbc8fe839d51979516ed389445e8a753b40
com.stormpath.spring	stormpath-sdk-examples-spring	1.4.0		9b5127ee13aa710c18c4794d23187a60b91666d8
com.stormpath.spring	stormpath-sdk-examples-spring	1.4.1		03909aac6f3f64aaa06ccdafe30d26bf9792c9a3
com.stormpath.spring	stormpath-sdk-examples-spring	1.5.0		acd451da4733d6750b088e2286370748873dbace
com.stormpath.spring	stormpath-sdk-examples-spring	1.5.1		9491bc364c9b4b73c7834843a507a546a1937610
com.stormpath.spring	stormpath-sdk-examples-spring	1.5.2		bc51027bac73216883ff028959731b2a36cc87bb
com.stormpath.spring	stormpath-sdk-examples-spring	1.5.3		52f947a2862017056f5a550ea80c7ef591ed78f2
com.stormpath.spring	stormpath-sdk-examples-spring	1.5.4		c5da912ced334a13a73ade58b5cb240f1b852a0b
com.stormpath.spring	stormpath-sdk-examples-spring	1.5.5		b12dfc320133ccb0b8506af0137b9661a025b3c0
com.stormpath.spring	stormpath-sdk-examples-spring	2.0.0-okta		f4ff6149a36966f344338e329d31e85ee919446e
com.stormpath.spring	stormpath-sdk-examples-spring	2.0.0-okta-alpha1		53de07f16354f7322b495eb231f0a3aad39e941a
com.stormpath.spring	stormpath-sdk-examples-spring	2.0.0-okta-beta1		e32dba8ff10f0b7277844ddef49e2418b814176d
com.stormpath.spring	stormpath-sdk-examples-spring	2.0.0-okta-rc1		4adb5dcc0e9f3d4aa7a4d5c3f847073ae40e5096
com.stormpath.spring	stormpath-sdk-examples-spring	2.0.0-okta-rc2		239207845400543fbaae4760be816944c9e7d663
