avalon-phoenix	avalon-phoenix-loader	4.0.4		d22f2fd3e0277552af4e8b737cfa7ae6d3ea6eb5
com.daml	ledger-api-scalapb_2.12	1.10.0-snapshot.20210208.6257.0.61feb5bf		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.10.0-snapshot.20210209.6265.0.19bf4031		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.10.1		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.10.2		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.0		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.0-snapshot.20210212.6300.0.ad161d7f		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.0-snapshot.20210217.6338.0.ba6ba901		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.0-snapshot.20210224.6385.0.dba114a2		e3166677e2080020c04db264f99462e456908ccf
com.daml	ledger-api-scalapb_2.12	1.11.0-snapshot.20210225.6390.0.0617fbde		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.0-snapshot.20210303.6421.0.145ddaa8		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.0-snapshot.20210304.6422.0.d3d5042a		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.1		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.1-snapshot.20210312.6429.0.7cd6380e		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.1-snapshot.20210312.6429.1.7cd6380e		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.2		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.2-snapshot.20210610.6432.0.ac4a2848		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.2-snapshot.20210610.6433.0.a08f6ea2		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.2-snapshot.20210610.6433.1.a08f6ea2		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.3		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.3-snapshot.20211110.6439.0.632ba5a7		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.3-snapshot.20211111.6441.0.eed4ad32		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.11.3-snapshot.20211123.6448.0.c679b4ab		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.12.0		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210309.6463.0.f7abca91		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210311.6483.0.5cb857d9		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210311.6490.0.8e25227c		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210312.6493.0.9a7e2465		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210312.6498.0.707c86aa		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210316.6523.0.b382fc45		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210317.6528.0.493e2154		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210323.6567.0.90c5ce70		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210330.6619.0.007b8674		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210330.6622.0.eef158d6		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210331.6626.0.29a68134		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210331.6634.0.b98a3881		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210331.6640.0.4b807899		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.12.0-snapshot.20210406.6646.0.631db446		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.13.0		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.13.0-snapshot.20210413.6706.0.2dc09ba2		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.13.0-snapshot.20210419.6730.0.8c3a8c04		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.13.0-snapshot.20210426.6770.0.ca66061b		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.13.0-snapshot.20210503.6809.0.ca012c3b		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.13.0-snapshot.20210504.6833.0.9ae787d0		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.13.1		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.13.1-snapshot.20210512.6834.0.5f532380		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.13.1-snapshot.20210512.6834.1.5f532380		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.14.0		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.14.0-snapshot.20210511.6892.0.ca9e89b3		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.14.0-snapshot.20210518.6953.0.a6c7b86a		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.14.0-snapshot.20210526.7024.0.aedb9a82		703b92ce3702ccbcdc13b253dd8a5a933ec4158a
com.daml	ledger-api-scalapb_2.12	1.14.0-snapshot.20210601.7081.0.7d716e6d		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.14.0-snapshot.20210602.7086.0.f36f556b		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.14.0-snapshot.20210615.7124.0.d1b54ff0		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.14.0-snapshot.20210615.7169.0.adeba206		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.14.1		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.14.1-snapshot.20210706.7133.0.8ec16e94		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.14.2		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.14.2-snapshot.20210708.7135.0.aa297840		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.15.0		42af89de0e385718d9f8281c9fbc1422c5dff851
com.daml	ledger-api-scalapb_2.12	1.15.0-snapshot.20210615.7169.0.adeba206		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.15.0-snapshot.20210623.7217.0.5b73813d		f11fa092a7eb4d1c728149fb40b90fa56ad8dd7b
com.daml	ledger-api-scalapb_2.12	1.15.0-snapshot.20210630.7261.0.84e1f3a7		42af89de0e385718d9f8281c9fbc1422c5dff851
com.daml	ledger-api-scalapb_2.12	1.15.0-snapshot.20210705.7286.0.62aabcc4		42af89de0e385718d9f8281c9fbc1422c5dff851
com.daml	ledger-api-scalapb_2.12	1.16.0		b2fd32816a797bfd9433f9d41ce469ced8e9c1f7
com.daml	ledger-api-scalapb_2.12	1.16.0-snapshot.20210713.7343.0.1f35db17		b52c407e55657bf59079fb8a2bc7e0c385c042ec
com.daml	ledger-api-scalapb_2.12	1.16.0-snapshot.20210720.7404.0.b7cf42d1		b2fd32816a797bfd9433f9d41ce469ced8e9c1f7
com.daml	ledger-api-scalapb_2.12	1.16.0-snapshot.20210727.7476.0.b5e9d861		b2fd32816a797bfd9433f9d41ce469ced8e9c1f7
com.daml	ledger-api-scalapb_2.12	1.16.0-snapshot.20210802.7499.0.5157ad6d		b2fd32816a797bfd9433f9d41ce469ced8e9c1f7
com.daml	ledger-api-scalapb_2.12	1.16.0-snapshot.20210805.7501.0.48050ad7		b2fd32816a797bfd9433f9d41ce469ced8e9c1f7
com.daml	ledger-api-scalapb_2.12	1.17.0		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.17.0-snapshot.20210811.7565.0.f1a55aa4		af28c24c1444d78d57de708ceb7af52c5f5d9e59
com.daml	ledger-api-scalapb_2.12	1.17.0-snapshot.20210817.7604.0.0c187853		af28c24c1444d78d57de708ceb7af52c5f5d9e59
com.daml	ledger-api-scalapb_2.12	1.17.0-snapshot.20210824.7647.0.640fb683		4fa63fcb4828df7f1e980ab87cce3d1d872b8b16
com.daml	ledger-api-scalapb_2.12	1.17.0-snapshot.20210831.7702.0.f058c2f1		5d93e2722083c04b57a0123708a2075d0d3d48be
com.daml	ledger-api-scalapb_2.12	1.17.0-snapshot.20210907.7759.0.35a853fd		5d93e2722083c04b57a0123708a2075d0d3d48be
com.daml	ledger-api-scalapb_2.12	1.17.0-snapshot.20210910.7786.0.976ca400		30f3b92c78f93b90851bcb84d1eb39ebedeb91b3
com.daml	ledger-api-scalapb_2.12	1.17.0-snapshot.20210915.7841.0.b4328b3d		e86ff25487886ec8e2726e9088f58f27495a09a1
com.daml	ledger-api-scalapb_2.12	1.17.0-snapshot.20210922.7849.0.49a75801		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.17.1		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.17.1-snapshot.20211006.7852.0.fbc4bc00		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.17.1-snapshot.20211006.7853.0.e05be365		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.17.2-snapshot.20211124.7857.0.b33b94b8		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.18.0		c3497974d99b1db9eccb3a46e03b3fb70a0f4493
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20210921.7889.0.1b473c2b		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20210921.7889.1.1b473c2b		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20210922.7908.0.ced4a272		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20210928.7948.0.b4d00317		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211006.8003.0.cfcdc13c		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211013.8071.0.514e8b50		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211019.8113.0.8ff347d8		31dec47824b603c1b9f434e9dbc25edb0566d2cb
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211026.8179.0.e474b2d1		44fa7dd4ab0b02f4824048ce3c511537b789f24c
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211102.8257.0.7391a3cd		44fa7dd4ab0b02f4824048ce3c511537b789f24c
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211109.8328.0.92181161		44fa7dd4ab0b02f4824048ce3c511537b789f24c
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211110.8337.0.c5a1f0bb		44fa7dd4ab0b02f4824048ce3c511537b789f24c
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211111.8349.0.d938a44c		b2e95c057e50fe3568d4c0652b9f800a5f33fc9d
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211117.8399.0.a05a40ae		b2e95c057e50fe3568d4c0652b9f800a5f33fc9d
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211124.8419.0.39d9afcd		c3497974d99b1db9eccb3a46e03b3fb70a0f4493
com.daml	ledger-api-scalapb_2.12	1.18.0-snapshot.20211206.8423.0.2c945fcb		c3497974d99b1db9eccb3a46e03b3fb70a0f4493
com.daml	ledger-api-scalapb_2.12	1.18.1		740996c4d6c70ecf3c7531770910930b8f02d4a0
com.daml	ledger-api-scalapb_2.12	1.18.1-snapshot.20220106.8429.0.ea344666		c3497974d99b1db9eccb3a46e03b3fb70a0f4493
com.daml	ledger-api-scalapb_2.12	1.18.1-snapshot.20220110.8433.0.e8e25a11		740996c4d6c70ecf3c7531770910930b8f02d4a0
com.daml	ledger-api-scalapb_2.12	1.18.1-snapshot.20220113.8434.0.1724373f		740996c4d6c70ecf3c7531770910930b8f02d4a0
com.daml	ledger-api-scalapb_2.12	1.18.1-snapshot.20220113.8434.1.1724373f		740996c4d6c70ecf3c7531770910930b8f02d4a0
com.daml	ledger-api-scalapb_2.12	1.18.2		740996c4d6c70ecf3c7531770910930b8f02d4a0
com.daml	ledger-api-scalapb_2.12	1.18.2-snapshot.20220310.8437.1.5221a5d1		740996c4d6c70ecf3c7531770910930b8f02d4a0
com.daml	ledger-api-scalapb_2.12	1.18.2-snapshot.20220324.8440.0.5cfb1a21		740996c4d6c70ecf3c7531770910930b8f02d4a0
com.daml	ledger-api-scalapb_2.12	1.18.3		740996c4d6c70ecf3c7531770910930b8f02d4a0
com.daml	ledger-api-scalapb_2.12	1.18.3-snapshot.20220620.8442.0.c7424302		740996c4d6c70ecf3c7531770910930b8f02d4a0
com.daml	ledger-api-scalapb_2.12	1.2.0		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.2.0-snapshot.20200513.4172.0.021f4af3		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.2.0-snapshot.20200520.4224.0.2af134ca		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.2.0-snapshot.20200520.4228.0.595f1e27		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.2.0-snapshot.20200527.4268.0.acc5a21c		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.2.0-snapshot.20200528.4309.0.f619dea3		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.2.0-snapshot.20200602.4310.0.1c18058f		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.3.0		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.3.0-snapshot.20200603.4345.0.1386abc0		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.3.0-snapshot.20200610.4412.0.0544323d		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.3.0-snapshot.20200610.4413.0.11b5c362		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.3.0-snapshot.20200617.4474.0.53bddb54		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.3.0-snapshot.20200617.4484.0.7e0a6848		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.3.0-snapshot.20200623.4546.0.4f68cfc4		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.3.0-snapshot.20200701.4616.0.bdbefd11		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.3.0-snapshot.20200706.4664.0.5db06051		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.3.0-snapshot.20200708.4686.0.95dfa18e		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.3.0-snapshot.20200714.4687.0.8e10c7a7		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.4.0		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.4.0-snapshot.20200715.4733.0.d6e58626		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.4.0-snapshot.20200722.4796.0.28ab504b		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.4.0-snapshot.20200722.4800.0.21a16eef		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.4.0-snapshot.20200724.4812.0.818a52b0		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.4.0-snapshot.20200729.4851.0.224ab362		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.5.0		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.5.0-snapshot.20200804.4902.0.de2fef6b		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.5.0-snapshot.20200811.4959.0.bbc2fe56		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.5.0-snapshot.20200818.5027.0.1b33d374		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.5.0-snapshot.20200825.5071.0.d33e130f		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.5.0-snapshot.20200902.5118.0.2b3cf1b3		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.5.0-snapshot.20200907.5151.0.eb68e680		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.6.0		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.6.0-snapshot.20200908.5166.0.1623baec		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.6.0-snapshot.20200915.5208.0.09014dc6		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.6.0-snapshot.20200922.5258.0.cd4a06db		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.6.0-snapshot.20200930.5312.0.b9a1905d		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.6.0-snapshot.20201007.5314.0.b4a47d0b		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.6.0-snapshot.20201012.5316.0.d21cb496		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.6.1		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.6.1-snapshot.20201021.5317.0.aafe46a5		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.6.1-snapshot.20201215.5318.0.547abc97		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.7.0		eb1c1e80576b12244d6ad621d35de681938083df
com.daml	ledger-api-scalapb_2.12	1.7.0-snapshot.20201006.5358.0.0c1cadcf		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.7.0-snapshot.20201012.5405.0.af92198d		e55291df5dfb5009db8060885f61f91ab1565b77
com.daml	ledger-api-scalapb_2.12	1.7.0-snapshot.20201013.5418.0.bda13392		6a5121c8ea01db9b45af59ce1a149b1de7f12931
com.daml	ledger-api-scalapb_2.12	1.7.0-snapshot.20201020.5481.0.03a03957		6a5121c8ea01db9b45af59ce1a149b1de7f12931
com.daml	ledger-api-scalapb_2.12	1.7.0-snapshot.20201023.5508.0.9dec6689		6a5121c8ea01db9b45af59ce1a149b1de7f12931
com.daml	ledger-api-scalapb_2.12	1.7.0-snapshot.20201027.5530.0.bdbf8977		578ea85c00dc0e7aef113e0039e928800b05e3b3
com.daml	ledger-api-scalapb_2.12	1.7.0-snapshot.20201103.5565.0.e75d42dd		eb1c1e80576b12244d6ad621d35de681938083df
com.daml	ledger-api-scalapb_2.12	1.7.0-snapshot.20201103.5565.1.e75d42dd		eb1c1e80576b12244d6ad621d35de681938083df
com.daml	ledger-api-scalapb_2.12	1.8.0		9af597b9dd416022e3a64406cd29fda5138e8f45
com.daml	ledger-api-scalapb_2.12	1.8.0-snapshot.20201110.5615.0.b35c9fcb		7bb8085920758fc6171d207aab68e4c3b6fbd5fa
com.daml	ledger-api-scalapb_2.12	1.8.0-snapshot.20201117.5661.0.76fae40c		7bb8085920758fc6171d207aab68e4c3b6fbd5fa
