ch.inftec.ju	ju-dbutil-test-h2	4.1		958f772cdb5bf7708b2fb4d96f0ba64fd30fcc63
com.ensody.reactivestate	reactivestate-compose-linuxarm64	5.8.1		N/A
com.ensody.reactivestate	reactivestate-compose-linuxarm64	5.9.0		N/A
com.ensody.reactivestate	reactivestate-compose-linuxarm64	6.0.0-preview.1		N/A
com.ensody.reactivestate	reactivestate-compose-linuxarm64	6.0.0-preview.2		N/A
com.ensody.reactivestate	reactivestate-compose-linuxarm64	6.0.0-preview.3		N/A
com.ensody.reactivestate	reactivestate-compose-linuxarm64	6.0.0-preview.4		N/A
com.ensody.reactivestate	reactivestate-compose-linuxarm64	6.0.0-preview.7		N/A
com.ensody.reactivestate	reactivestate-compose-linuxarm64	6.0.0-preview.8		N/A
com.ensody.reactivestate	reactivestate-compose-linuxarm64	6.0.0-preview.9		N/A
com.fadlurahmanfdev	feature_face_detection	0.0.1		N/A
com.feedzai	openml-python	0.1.0		N/A
com.feedzai	openml-python	0.1.1		N/A
com.feedzai	openml-python	0.1.2		N/A
com.feedzai	openml-python	0.1.3		N/A
com.feedzai	openml-python	0.1.4		N/A
com.feedzai	openml-python	0.1.5		N/A
com.feedzai	openml-python	0.1.6		N/A
com.feedzai	openml-python	0.1.7		N/A
com.feedzai	openml-python	0.2.0		N/A
com.feedzai	openml-python	0.2.1		N/A
com.feedzai	openml-python	0.2.2		N/A
com.feedzai	openml-python	0.3.0		N/A
com.fiskaly.kassensichv	client	0.0.1-alpha		fc5d8e4866da8ddec148bb75a5dee0e219649f06
com.fleeksoft.ksoup	ksoup-engine-okio-linuxarm64	0.1.6		N/A
com.fleeksoft.ksoup	ksoup-engine-okio-linuxarm64	0.1.7		N/A
com.fleeksoft.ksoup	ksoup-engine-okio-linuxarm64	0.1.8		N/A
com.fleeksoft.ksoup	ksoup-engine-okio-linuxarm64	0.1.9		N/A
com.fleeksoft.ksoup	ksoup-engine-okio-linuxarm64	0.2.0		N/A
com.gitee.zodiacstack	zodiac-scaff-api-spring-boot-starter	1.6.8		9dbd63413b23dd947476b28751a7196f289db6a3
com.gitee.zodiacstack	zodiac-scaff-api-spring-boot-starter	1.7.0		2aad4a383e49205116d9bdf3ef972ff50c98fd56
com.gitee.zodiacstack	zodiac-scaff-api-spring-boot-starter	1.7.1		95565bfda456f6b163c61b6f9efb865f6e424733
com.github.jonahwh	tesla-api-client	1.0.0		536ab79c6c81a48f30db53c4bbbf5bc7614004db
com.github.jonahwh	tesla-api-client	1.1.0		05c015e0eef8f1d8494988b7617f7e8339b3a92f
com.github.jonahwh	tesla-api-client	1.11.0		1062d7cccc72e4e4df11e8c44657c9f791f43fe7
com.github.jonahwh	tesla-api-client	1.12.0		N/A
com.github.jonahwh	tesla-api-client	1.13.0		5ff2ca12689c0b68ea7b00129669e6dd5b449895
com.github.jonahwh	tesla-api-client	1.13.1		e9a917185a79f8b763bb78ca0ce32f9c724d7fe5
com.github.jonahwh	tesla-api-client	1.13.2		c6eb210e2e5297105510eb371a9af9f8770efd43
com.github.jonahwh	tesla-api-client	1.13.3		de39db3ef24776064782b5bc5120888164893dad
com.github.jonahwh	tesla-api-client	1.14		cc6ff7397635f4a5f8878cb3acfa282059faefeb
com.github.jonahwh	tesla-api-client	1.14.0		33044c337e81d98cf13de6316f71ce94929e2fa2
com.github.jonahwh	tesla-api-client	1.14.1		061d94e6fa8695224e447691364567a54d63a075
com.github.jonahwh	tesla-api-client	1.14.2		1d8d6bea3897bd0b4292d7353fe7adb2c4a7b328
com.github.jonahwh	tesla-api-client	1.15		3d524672930ab6f769de3b3f6f3854919f9d99f8
com.github.jonahwh	tesla-api-client	1.16		57d3574a3db059201c04b6dcb113c2f10e838ac4
com.github.jonahwh	tesla-api-client	1.17		44c8c4b2fa7e6d7495e287569e4511df7e760e72
com.github.jonahwh	tesla-api-client	1.17.1		101711aee2703ffc11cd27732b16468dffa7462d
com.github.jonahwh	tesla-api-client	1.2.0		1a0a6516bccea6d16649d57a8b08ef29fa25619b
com.github.jonahwh	tesla-api-client	1.3.0		c573cfd778c2869330474f7025b5e9ce272053bd
com.github.jonahwh	tesla-api-client	1.3.1		1ab5fbb35363b6dbbbbf22fc7782749a5851de8d
com.github.jonahwh	tesla-api-client	1.3.2		c01aa453e486c36a3b0c6f8ad8357916ab00e608
com.github.jonahwh	tesla-api-client	1.4.0		3f8b14023de3bfea80aebb76cdb6b664928322e1
com.github.jonahwh	tesla-api-client	1.4.1		9ab54b07003bd45dd1ee5ea020feed5cfe78d9bc
com.github.jonahwh	tesla-api-client	1.4.2		899b6011a7dedfad5ffa54d7c67805b254780c51
com.github.jonahwh	tesla-api-client	1.5.0		ea44b8038c8bbfbc4cc7b8571a2d5beeed1989b4
com.github.jonahwh	tesla-api-client	1.6.0		6c3a8dc3ef8364823b4c0dbf5201adef820a11d6
com.github.jonahwh	tesla-api-client	1.7.0		17d8f2d1d5f11da7f254768dc8e2c8bffdda661b
com.github.jonahwh	tesla-api-client	1.7.1		6dca1166de87c2b7667ddf2718a7dd5691ee5bc5
com.github.jonahwh	tesla-api-client	1.8.0		01994dd5d9fea468812a29bccbe0ba4a57bcf107
com.github.jonahwh	tesla-api-client	1.9.0		6681c6a0bc10dd60c77feb06fd2dbc7c3df234ac
com.github.jonahwh	tesla-api-client	2.0.0		7b95edc2a3e17c323021b3d86f2e2e4ae130d052
com.github.jonahwh	tesla-api-client	2.1.0		ee50b16094990e2f349efe8091a529eafb054f3a
com.github.jonahwh	tesla-api-client	2.1.1		ab5534270366950daf648dc5e2e61c6ae417cc5d
com.github.jonahwh	tesla-api-client	2.2.0		0365eedc064f27ff2759b0cfbc47c03a34320497
com.github.jonahwh	tesla-api-client	2.3.0		d6671265a570eb1c4e7a375d3851b867053b136d
com.github.jonahwh	tesla-api-client	2.3.1		f2cc7e6f00e8278423b962b37a03dd46c0cf9cc4
com.github.liaomengge	base-ribbon-spring-boot-starter	3.0.0.RELEASE		7196488eb35e65efae899d254051313bf9321ee5
com.github.liaomengge	base-ribbon-spring-boot-starter	3.1.0.RELEASE		f337b292e64d466339977a7faefae72e523ca3b6
com.github.org-hejianhui	spring-boot-starter-rocketmq	1.0-RELEASE		827780cdbdc39aacedc44235c570634754ed8dcd
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.10		28d192ccb7ada7eef9d474c4127afebd3848ac44
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.11		8b23832350e4ec5ea985276978494ca17ea8c3b0
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.12		d908687d645620b92d1afbe283e1cd138ab527a8
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.14		f4474a5cc28c5a217bc9b1ff37e04e14cf182ee4
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.15		7140b3a6ae31cb6eadad9972e7622a85a6c81f0c
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.17		2fbfbd3f1daea17fad291ff001b74798eacb2886
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.18		4ca4ca3f62fac7b525799265a63b6479031d8488
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.19		94a30c54f98d2e3559ce229eb189be450fc84f74
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.20		1f3d6776817d15a496ec5a395f4843472d280f23
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.27		1b75e3e50b6b9ae65e4a74c3d117a65f461a87c7
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.31		9ffdc15004bd7bc5080b5497a56f0e5a760a28b0
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.33		2fd9ca21ea23c90db70d61212c948a4a2fec6088
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.34		7c70ab26bdddf7b1a16fc5aea37d4d4ebf49f9ba
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.35		96a6afddddfda05958b65244943767b8c06d98c5
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.36		636c63b17e04e9c32b3bf60079d22c367b336a64
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.37		3c60f965e1a3efdecb40c7ea587172c276d50a07
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.38		640388fc9856e18dc2613cfc104d9ab0a67c1056
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.6		a543fddc390e7aacfac66384666bc5ec76c43fa5
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.7		ac4ed479879dfd08c10426036409c911c4d9e75d
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.8		b0df0febb4ac8f48390b2db5960e208c89174753
com.gu.play-secret-rotation	aws-parameterstore-lambda_2.12	0.9		5ff86f893e6bb351dcca7f59b2f9d3e8efcc2e9f
com.hccake	ballcat-spring-boot-starter-web	0.3.0		ef0528d6f6cad59f8192e6652ecb45e86b46980b
com.hccake	ballcat-spring-boot-starter-web	0.4.0		42a87cfea26120ebbff4d037afa3e1316e13460d
com.hccake	ballcat-spring-boot-starter-web	0.5.0		d27f0c29e602e20ca9c546674006aa474acfc402
com.hccake	ballcat-spring-boot-starter-web	0.6.0		c0846af5e7bd1dfac4569fa81773679241f7974c
com.hccake	ballcat-spring-boot-starter-web	0.7.0		db36ef0dc81e19c1afc8b63c51aea42426b3b75b
com.hccake	ballcat-spring-boot-starter-web	0.7.1		b9f5978ecd9bbd764ea6ec00b1f8cbbe5abc555a
com.hccake	ballcat-spring-boot-starter-web	0.8.0		4bb6e156015e85cb6d07327ac65c9a85eb20baf1
com.hccake	ballcat-spring-boot-starter-web	0.9.0		c68c9a0fffa7063ff0754654b608c081e35c3b60
com.hccake	ballcat-spring-boot-starter-web	1.0.0		23374ebd867a4893a622093362dd69c104aae366
com.hccake	ballcat-spring-boot-starter-web	1.0.1		43f16c7e516f31b32b724267e5a7270ab0b6ebad
com.hccake	ballcat-spring-boot-starter-web	1.0.2		47dfd139fab59996317060cde2ec194f9755b432
com.hccake	ballcat-spring-boot-starter-web	1.0.3		5c1bacd37cccee81ad5b1189f95f8db557ef5580
com.hccake	ballcat-spring-boot-starter-web	1.1.0		31026079162f346ba2eb104f0c59cf30e1caec4f
com.hccake	ballcat-spring-boot-starter-web	1.2.0		0cbc42e91fb53d37a17150c568e182da8ce186e2
com.hccake	ballcat-spring-boot-starter-web	1.3.0		e92c00fafcebf17da8ca37e8915827a99f6b228b
com.hccake	ballcat-spring-boot-starter-web	1.4.0		fa8e0e938db340fccfd0558169a114eec39c40c1
com.hccake	ballcat-spring-boot-starter-web	1.4.1		1e9bcb4f55350fad7e9b809c5fa40986939bdddf
com.hccake	ballcat-spring-boot-starter-web	1.4.2		9883bcbdf2be8a88f5de3f732f662e8c0b16903f
com.highway2urhell	h2hell-web-parent	1.0.1		N/A
com.highway2urhell	h2hell-web-parent	1.0.3		N/A
com.highway2urhell	h2hell-web-parent	1.0.4		N/A
com.highway2urhell	h2hell-web-parent	1.0.5		N/A
com.indoqa.thirdparty	tape-parent	1.2.4		N/A
com.linkedin.calcite	calcite-piglet	1.21.0.138		4ddc80c3e79f3c71163e238cc0adff188c64e4d3
com.linkedin.calcite	calcite-piglet	1.21.0.140		ca6a5f5275d4f35fff47a19e01afb47a151402ae
com.linkedin.calcite	calcite-piglet	1.21.0.142razhang-test		ffc3983104b901f2ce3c48dbe915f68b2e605f31
com.linkedin.calcite	calcite-piglet	1.21.0.144		85205c11ca074cba97481bf50e31c09b5865a9c9
com.linkedin.calcite	calcite-piglet	1.21.0.146		7be397255be25a9ae9368d585cccc3981d6a4220
com.linkedin.calcite	calcite-piglet	1.21.0.148		5e4a4356b67dc6fa9941567ec8f33840ce060684
com.linkedin.calcite	calcite-piglet	1.21.0.149		8c6e19f428db7f1ad1155e060e444c8fb289006e
com.linkedin.calcite	calcite-piglet	1.21.0.150		c8c1754c6b99dda3b000381c41594640b8b03c37
com.linkedin.calcite	calcite-piglet	1.21.0.151		b8dd5c180a7aa6f9c7c0e6ea0e083581fdd9ef2c
com.linkedin.calcite	calcite-piglet	1.21.0.152		e54b1c9e0d95c8a1e87f82ff5e3cf70cb9f842b1
com.linkedin.calcite	calcite-piglet	1.21.0.153		b8e06630cfa7d2f450e709e6216e7bb71ad569d1
com.linkedin.calcite	calcite-piglet	1.21.0.160		d034d3e35b0b0ad2006ae1aca4954aa442a65b7d
com.linkedin.calcite	calcite-piglet	1.21.0.259		bef46b74de8b3e30a963dded8d536b1bdb19d0aa
com.linkedin.calcite	calcite-piglet	1.21.0.260		922edda08626591bbabb15236dab6a721ce110f7
com.linkedin.calcite	calcite-piglet	1.21.0.262		33f7da036c3966e37719cb9b2be8b704983eae07
com.linkedin.calcite	calcite-piglet	1.21.0.263		3ebea4a2bf4e4c20f61b6925659a1cb030a949ab
com.linkedin.calcite	calcite-piglet	1.21.0.265		eb156f37afeff52891e152634f3953a5e7d11976
com.moz.kiji.delegation.kiji-delegation.3.0.0.com.moz.kiji.mapreduce.lib	kiji-mapreduce-lib-avro-lib	3.0.0		e84eb1d3ba8bd15b356fdfd435da2eed1e69871a
com.myodov.unicherrygarden	confreader_2.13	0.1.0		9bc0a621e78d48b96df3fe71e5b1cfe969c06702
com.myodov.unicherrygarden	confreader_2.13	0.1.0-SNAPSHOT-20210807-1712		a9da2561c446ad87f2e944555e1bc2f6409d4692
com.myodov.unicherrygarden	confreader_2.13	0.1.1		535179519dee98f0ea919027336f10683fb0491d
com.myodov.unicherrygarden	confreader_2.13	0.1.2		8465d86f8a8932bbad0f2808c3f2400968d76d50
com.myodov.unicherrygarden	confreader_2.13	0.1.3		ae492f1e2584d0130ccbe03d6a95edca67caaf13
com.myodov.unicherrygarden	confreader_2.13	0.1.4		d07dc5ba36014d1e0175c421751b8fa994321a79
com.myodov.unicherrygarden	confreader_2.13	0.1.5		7bbbbd165019221a3d192950e159164fffef12bc
com.myodov.unicherrygarden	confreader_2.13	0.10.0		e385da31d36f46597683d48f81399155db24e91a
com.myodov.unicherrygarden	confreader_2.13	0.10.9		b61be858c8d55344f90e13559d7116ebe1e57137
com.myodov.unicherrygarden	confreader_2.13	0.8.0		e3e4fbfc46dd9803ae097b92d2ee785253d87364
com.myodov.unicherrygarden	confreader_2.13	0.8.1		5f782ef9bbcf848bb66f268a52460ee94b4065d5
com.myodov.unicherrygarden	confreader_2.13	0.8.5		9e22cc5739e04535d73d20f23a8149633b53949e
com.myodov.unicherrygarden	confreader_2.13	0.9.0		379226b86ab3adcdf9e964123a0a41696356885a
com.myodov.unicherrygarden	confreader_2.13	0.9.1		3996e20b8051ffddddbab94863f24435ebc4fc46
com.myodov.unicherrygarden	confreader_2.13	0.9.2		a36fbcf3f862111420b7438b0a2f87016998971c
com.myodov.unicherrygarden	confreader_2.13	0.9.3		77db4d361079c0c7b64ff2042eeae1398ecad276
com.myodov.unicherrygarden	confreader_2.13	0.9.4		d45544a0d880bbc32fe50a26466d0c3fa133cff5
com.myodov.unicherrygarden	confreader_2.13	0.9.5		dad6dbf3e46eccfd7dd3e9e89a25694fda2ebdc8
com.myodov.unicherrygarden	confreader_2.13	0.9.6		b148775128dbddd98b4cc2dbf0d2694bad949c78
com.nortal.test	test-automation-aws	0.1.17		a3f63584b0fac7fd7cba34ebad82f9fc389a0108
com.nortal.test	test-automation-aws	0.1.18		815f3388b36764e337e75dc8cd8cd7bf1efee583
com.nortal.test	test-automation-aws	0.1.19		2edeb142591ff54593cb533e02818c1bdfb9052b
com.nortal.test	test-automation-aws	0.1.20		ac8d25b5452d236f0ae1c8843d8bd1050076c04d
com.nortal.test	test-automation-aws	0.1.21		812701fbca3cf8c16413b2938e0de7a833c2491c
com.nortal.test	test-automation-aws	0.1.22		5cc358a83bb449e72c67b8f188e9c7205a4b7d1a
com.nortal.test	test-automation-aws	0.1.23		e50072abe427b302b3c43a29f9bbcc981ea35fe3
com.nortal.test	test-automation-aws	0.1.24		06943d54053dc28d263ab8d82f85cf705de6c609
com.nortal.test	test-automation-aws	0.1.25		66969b37aeffc3b91d15f242a50ea3fe0d309318
com.nortal.test	test-automation-aws	0.1.26		836fa6632bf6e99b85c86bf306aa330e96a13520
com.nortal.test	test-automation-aws	0.1.27		52a33ab1893d313c725fce79351024814c0cc7eb
com.nortal.test	test-automation-aws	0.1.29		ab086f15627876ff0aefec5465a45144f7d13a1c
com.nortal.test	test-automation-aws	0.1.31		3565418e6c04d4baccb369399e009179d80a9d68
com.nortal.test	test-automation-aws	0.1.32		bdc4c689f7bd800726aeb65f564fd2da3c4c037c
com.nortal.test	test-automation-aws	0.1.33		8cfdedce46bcadc635e2b0169e4422c1f8125e7b
com.nortal.test	test-automation-aws	0.1.34		67e1c87840eac5da7e08783996132572cbb183ab
com.nortal.test	test-automation-aws	0.1.35		6d75a9399a2e5efab81071a7d4f13be605fb71fd
com.nortal.test	test-automation-aws	0.1.36		f11aaafc77c6668326215d024b921c466216944b
com.nortal.test	test-automation-aws	0.2.0		73e67f50ee0020616b1e33d47ef0da2f4cb84d80
com.nortal.test	test-automation-aws	0.2.1		6611551da90b7922553e1ae16ada942f407884b7
com.nortal.test	test-automation-aws	0.2.10		7a63759824932a345e18650b773a094562ae1abf
com.nortal.test	test-automation-aws	0.2.11		04930234653aaf1c93e67eafa9dbf3c69af08783
com.nortal.test	test-automation-aws	0.2.12		2aeb775420f48069bc23574464dcf109512345ce
com.nortal.test	test-automation-aws	0.2.14		74c2fc0df75c1625ade7da88e3dddc28fabb6a2f
com.nortal.test	test-automation-aws	0.2.15		3245ec46d62513091033e05ebd7652b6d6d4a394
com.nortal.test	test-automation-aws	0.2.16		fe71148a24e9fcce429de891279b4fc20dc4da63
com.nortal.test	test-automation-aws	0.2.17		a755546a2fc17713b644898121a1aa9424c36e44
