ca.mrvisser	sealerate_2.13	0.0.6		9fcf4dcce13f8899323e0179a4dd9c6003e480c6
com.clickhouse	clickhouse-grpc-client	0.3.2-test3		4a7f12ce3adbc735d2d035e14e00241fa7da5f8b
com.clickhouse	clickhouse-grpc-client	0.3.2-test3	netty	4962fbd272dc73b9c7377de0c0fe772715a63169
com.clickhouse	clickhouse-grpc-client	0.3.2-test3	okhttp	d2667dc0e1b6f1b793995808be21537d7e857ced
com.clickhouse	clickhouse-grpc-client	0.3.2-test3	shaded	61c7f5a3d75a73af8a063ea16b45a5d14f962e5c
com.clickhouse	clickhouse-grpc-client	0.4.0		5abd091f3df35c03954d4d52a1fa3d6cc34f890d
com.clickhouse	clickhouse-grpc-client	0.4.0	netty	059fe1d46a04b713886a13c1f146dffe7084e1ee
com.clickhouse	clickhouse-grpc-client	0.4.0	okhttp	88767328192dad9bd17b24cf2ad229a59de1bcaf
com.clickhouse	clickhouse-grpc-client	0.4.0	shaded	33600e418f4765522ae8dbdf03631df5e8b249bb
com.clickhouse	clickhouse-grpc-client	0.4.1		045fba9bba0139ed46442dd7e26e2774cceca8d1
com.clickhouse	clickhouse-grpc-client	0.4.1	shaded	3b2d4c05d5aeb4775f1db989c91dce4223481495
com.clickhouse	clickhouse-grpc-client	0.4.1	shaded-sources	118c2c3177abe438fe893d6af11d11366d04c68b
com.clickhouse	clickhouse-grpc-client	0.4.2		c9e1441176a84bc877f54ef1b16923b75e50f05f
com.clickhouse	clickhouse-grpc-client	0.4.2	shaded	5965ad59c8ea7cb065f8eb8e11ffbbcb71247f10
com.clickhouse	clickhouse-grpc-client	0.4.2	shaded-sources	53f38583a979b2e0a43f544f9368766dd0f99837
com.clickhouse	clickhouse-grpc-client	0.4.3		1b458242acaa06ed6e616f8442c26d572d54dfa2
com.clickhouse	clickhouse-grpc-client	0.4.3	shaded	5ccdb014eea96d325ae7a840c1c02c36dc951572
com.clickhouse	clickhouse-grpc-client	0.4.3	shaded-sources	b4f609f635b046138a1c7b08c5beb27a5ca148ff
com.clickhouse	clickhouse-grpc-client	0.4.4		b7285080e75cd3e0fe4a3f9b1394ffbc3921f41c
com.clickhouse	clickhouse-grpc-client	0.4.4	shaded	d45e154409f02c64ba43d44dcf626d2ab20efaac
com.clickhouse	clickhouse-grpc-client	0.4.4	shaded-sources	1cb28ce001ca45ae67cad4c309353f28fe2b5a87
com.clickhouse	clickhouse-grpc-client	0.4.5		4cf17d8e5e3f530c00b3d68d3feb889d3202695e
com.clickhouse	clickhouse-grpc-client	0.4.5	shaded	d91cfe46ff9e44c49e899b99a7a0ec1c105757d1
com.clickhouse	clickhouse-grpc-client	0.4.5	shaded-sources	1a4cf417dcb00fd9e124dfdaa70fd7e4094d359a
com.clickhouse	clickhouse-grpc-client	0.4.6		81ed191471a51158734bdb3d2fe81ddbb2c595c9
com.clickhouse	clickhouse-grpc-client	0.4.6	shaded	c38f4dc0ded2b0dddff8658ce6d3cc9a65758fa9
com.clickhouse	clickhouse-grpc-client	0.4.6	shaded-sources	76a050ed5df669947f241591396c92bb9d3e228c
com.clickhouse	clickhouse-grpc-client	0.5.0		7185e9dd2f800557d1a3678e9aeb2ab3102b7fcd
com.clickhouse	clickhouse-grpc-client	0.5.0	shaded	684f21720a026d5ca2e8da742f219fae069d33ff
com.clickhouse	clickhouse-grpc-client	0.5.0	shaded-sources	b2b6d8466ce7a0add630b7955e58f659f627747d
com.clickhouse	clickhouse-grpc-client	0.6.0		ed02cfa889b3512d666f06e6f7c821c666400d3c
com.clickhouse	clickhouse-grpc-client	0.6.0	shaded	804b339984a1a798fa9a5901dec927f7b9216d91
com.clickhouse	clickhouse-grpc-client	0.6.0	shaded-sources	18473b069a6d8f23a18943ff0e8a785d98162694
com.clickhouse	clickhouse-grpc-client	0.6.0-patch1		cf68025889113f01d1364d521d48e4026bd0f012
com.clickhouse	clickhouse-grpc-client	0.6.0-patch1	shaded	cbb15fcfcf5e53a8346da2fc26bbe75975306740
com.clickhouse	clickhouse-grpc-client	0.6.0-patch1	shaded-sources	ddc956f8c0e9fde8bd18c84618346097260b506c
com.clickhouse	clickhouse-grpc-client	0.6.0-patch2		5c8bab50e3dfc452cab94fcc64cf0e6c017cdf9c
com.clickhouse	clickhouse-grpc-client	0.6.0-patch2	shaded	fd2d1e52fc0c177de542fb6b6061fddb6557f57f
com.clickhouse	clickhouse-grpc-client	0.6.0-patch2	shaded-sources	a3f8c947257fbca93951e874ec2145c3c6862b24
com.clickhouse	clickhouse-grpc-client	0.6.0-patch3		fdca77b164cfe0aa6f434df622eda37be6df31b7
com.clickhouse	clickhouse-grpc-client	0.6.0-patch3	shaded	bfdfc63988960bf0d0a53d562736489332ab14a9
com.clickhouse	clickhouse-grpc-client	0.6.0-patch3	shaded-sources	c5eb898186fae6baafa1461512e11ce8cda070be
com.clickhouse	clickhouse-grpc-client	0.6.0-patch4		88f88879999b1fba6dacf922bd016baaf88cc965
com.clickhouse	clickhouse-grpc-client	0.6.0-patch4	shaded	61ae726d55575f2f382aacf6601584c008b4cea8
com.clickhouse	clickhouse-grpc-client	0.6.0-patch4	shaded-sources	6efc4d271352f9b39ed9c99b09a01327fa7799b6
com.clickhouse	clickhouse-grpc-client	0.6.0-patch5		788eb49e3c9ac6d4763e075502186f4d810999b0
com.clickhouse	clickhouse-grpc-client	0.6.0-patch5	shaded	68493a906f3b94e53e5fd642c6bb0c5bf12471a4
com.clickhouse	clickhouse-grpc-client	0.6.0-patch5	shaded-sources	70d24f3f0a102ce36a0449b0511c8b45617af63c
com.clickhouse	clickhouse-grpc-client	0.6.1		e3f37ac075f48c247110923e3260e72976f74b8b
com.clickhouse	clickhouse-grpc-client	0.6.1	shaded	855b0f1179d80085cacb8065a46dc76a9d0c89eb
com.clickhouse	clickhouse-grpc-client	0.6.1	shaded-sources	ac9dbf7537add0ea2aab30f1e1d205c263ca92ca
com.clickhouse	clickhouse-grpc-client	0.6.2		cef4548035153da700e3f999c72d5fbf1ed34eb5
com.clickhouse	clickhouse-grpc-client	0.6.2	shaded	5429b3df2d8be30dfa80aaeeadd6bfbfc8c9aaf0
com.clickhouse	clickhouse-grpc-client	0.6.2	shaded-sources	4eb2a6b16eb4933e6744668b4422b2f825da08f6
com.clickhouse	clickhouse-grpc-client	0.6.3		13708eea60aa5a125403c2fb2369f2cff66bb845
com.clickhouse	clickhouse-grpc-client	0.6.3	shaded	31faf9f4ef185c4a4c55b6e80724caef667e48d6
com.clickhouse	clickhouse-grpc-client	0.6.3	shaded-sources	cee4cbb31b97584e43594e878df5143125fd13b8
com.clickhouse	clickhouse-grpc-client	0.6.4		f5ae7eabbb68e2f4d9e35b0230bed48817f8eb1c
com.clickhouse	clickhouse-grpc-client	0.6.4	shaded	5268224883e7c647514ac8cc9b86278ed7b42e4d
com.clickhouse	clickhouse-grpc-client	0.6.4	shaded-sources	9d02c28840c27afd79d983a18078cf32f4ef65c7
com.commercetools.build.taglets	commercetools-taglets	0.6.1		ba6bc60305429fa62b27c919eddce062f7658adf
com.commercetools.build.taglets	commercetools-taglets	0.6.2		adb04c0f65f46b8626eec5f5d3e1fd0961ea8f75
com.commercetools.build.taglets	commercetools-taglets	0.7.0		e553660c35db5220b489db55d07e69b79f5f50ba
com.commercetools.build.taglets	commercetools-taglets	0.7.2		450fbceb0c15be39d48c5871f79d8808b12a0668
com.commercetools.build.taglets	commercetools-taglets	0.7.3		5f199e87dec12dcf23bd22475b315d8b7e57f2e1
com.commercetools.build.taglets	commercetools-taglets	0.7.4		a05b9c1d6875c2b047172da54dfe0296e9b27d4d
com.commercetools.build.taglets	commercetools-taglets	0.7.5		ecb91414091c6c85c3ec720044cc63efed346dcc
com.commercetools.build.taglets	commercetools-taglets	0.7.6		8f47e8897de8ba91f742a68dafa7be40237941b7
com.commercetools.build.taglets	commercetools-taglets	0.8.0		5224c6dceed4bbeb1c58f46d7807fff41b2b3ae4
com.commercetools.build.taglets	commercetools-taglets	0.8.1		1f62afc2f608bae5fed75f6720d872fc8dbd5a43
com.commercetools.build.taglets	commercetools-taglets	0.8.2		ba895fe8d435cda1c25d220f2c8dffda7d1a7110
com.commercetools.build.taglets	commercetools-taglets	0.8.3		98a100a8e3c72370e7b4ec2cc32cd290b332ab9d
com.commercetools.build.taglets	commercetools-taglets	0.8.4		326c7dc88929a294064189fd67b53f8b63c0783e
com.commercetools.build.taglets	commercetools-taglets	0.8.5		1594825e2ed14f8ca254061f781bd039fff874d3
com.commercetools.build.taglets	commercetools-taglets	0.8.6		1073cae16372b3e6e64a6497eb3c5f87c86dd75a
com.commercetools.build.taglets	commercetools-taglets	0.8.7		20412c4c3443b6866bb2a7f2097f82b3f2a29e44
com.commercetools.build.taglets	commercetools-taglets	1.0.0		a4048de332e045178e45bec1044f0baa75a5c099
com.commercetools.build.taglets	commercetools-taglets	2.0.0		f6b935b630bdea48077836ee5a99a8163aeb01c6
com.commercetools.build.taglets	commercetools-taglets	2.1.0		74fd3a51e3e71848a8b999e4302cd9d5808c8aed
com.commercetools.build.taglets	commercetools-taglets	2.1.1		7a16bf901d458e3eef30e4fc644c350d5a5c0d27
com.commercetools.build.taglets	commercetools-taglets	2.1.2		7cca7e4966ba7ec87dad3bfb0d9043398f7fd603
com.commercetools.build.taglets	commercetools-taglets	2.1.3		9a6e349d225ae516a23ed2f3324875c7346f337b
com.commercetools.build.taglets	commercetools-taglets	2.1.4		dcf32ea760d67be52562df0cc07629dbd6d27c14
com.commercetools.build.taglets	commercetools-taglets	3.0.0		43c115946c610f9d2328e9da9b7de2563b9550f9
com.commercetools.build.taglets	commercetools-taglets	3.1.0		390dc0f87f70e456a22e1aaff709e371cc4daf33
com.commercetools.build.taglets	commercetools-taglets	3.2.0		49684b44d42044073d8abc1cdb80b2167d4f662d
com.commercetools.build.taglets	commercetools-taglets	3.3.0		ffcf12f6174f43d0014633309aa96f1466005bdf
com.commercetools.build.taglets	commercetools-taglets	3.4.0		6608164e5a6dc51c41ef5752a7194ff6438d0d1b
com.commercetools.build.taglets	commercetools-taglets	3.5.0		3ce11065f5d2214fcd68e010268569b5cfc45f52
com.commercetools.build.taglets	commercetools-taglets	3.6.0		f04f1a4a36639267be4add6c00e639fe6e6bf49c
com.commercetools.build.taglets	commercetools-taglets	3.6.0-rc1		aeb41e8efc9d1b338928543e3a9be41755f47194
com.commercetools.build.taglets	commercetools-taglets	3.6.1		ff6669c52f06d3041a089faf417058ea2fa86314
com.commercetools.build.taglets	commercetools-taglets	3.6.2		0b63be2565cda3639701fd88690e8cc69c517caf
com.commercetools.build.taglets	commercetools-taglets	3.6.3		0b3d96582fcf371cec58dda4f367f9acee1b97ec
com.compilit	cryptography-core	0.1.1		8a5d7cd12a34c22e72f7f48dc1df7f0a1ac6c86a
com.compilit	cryptography-core	0.1.2		ad8e9c3fb744a1d3841f67d80a80609b8f17ad94
com.compilit	cryptography-core	0.2.0		5acb74a8bf8492bdb3b6507a5913130c58197082
com.facebook.infer.annotation	infer-annotation	0.10.0.2		3932ca6a3e1aa16df91ef994d6ecfba0ddd3a90e
com.facebook.infer.annotation	infer-annotation	0.11.0		f5b068e931f37c23464f681b7628687ea4cea7a4
com.facebook.infer.annotation	infer-annotation	0.11.2		f514ff4ca022a579d9cf7524846988b646ae4491
com.facebook.infer.annotation	infer-annotation	0.17.0		e74d55a20c1a149e7b2103a98f15626ed228dc43
com.facebook.infer.annotation	infer-annotation	0.17.1		38af7bec218913f79dca9e9cf4f75cbb530d37e7
com.facebook.infer.annotation	infer-annotation	0.17.2		7680687f07fff64e72630f103590ac1ea18f7027
com.facebook.infer.annotation	infer-annotation	0.18.0		27539793fe93ed7d92b6376281c16cda8278ab2f
com.fleeksoft.io	kotlinx-io-iosx64	0.0.1		N/A
com.fleeksoft.io	kotlinx-io-iosx64	0.0.1	metadata	836a7203b5609e939211a189caa0a923740caae1
com.fleeksoft.io	kotlinx-io-iosx64	0.0.2		N/A
com.fleeksoft.io	kotlinx-io-iosx64	0.0.2	metadata	24597f0410107abde8650495e0718be360514fda
com.fleeksoft.io	kotlinx-io-iosx64	0.0.3		N/A
com.fleeksoft.io	kotlinx-io-iosx64	0.0.3	metadata	2de104850914803333e83e74b76fe7f6b92b2199
com.fleeksoft.io	kotlinx-io-iosx64	0.0.4		N/A
com.fleeksoft.io	kotlinx-io-iosx64	0.0.4	metadata	7f1edbbd14e9b3f7376d747a8704f60f66db0bd9
com.foreach.across.modules	file-manager-module	1.0.0.RELEASE		09145da822a38e37d163e7c5d2a39edf27bdbe03
com.foreach.across.modules	file-manager-module	1.1.0.RELEASE		8d91cbdc7e6b54a66146e7c1457fe0e79b44db50
com.foreach.across.modules	file-manager-module	1.2.0.RELEASE		1a5d180b512f7b70a855828587107c984e8c5133
com.foreach.across.modules	file-manager-module	1.3.0.RELEASE		c5fe2280f7150f759f001d236cd760c0b0d306f6
com.foreach.across.modules	file-manager-module	1.4.0.RELEASE		9867125f694f92ac79acf2922b4cd135aacebf15
com.foreach.across.modules	file-manager-module	2.0.0.RELEASE		e143978b04553250f15b28ba937f72417c5f3d9e
com.foreach.across.modules	file-manager-module	2.1.0.RELEASE		ce7f55d36caa76cfc0a5880c96b4cdef981a7bc9
com.foreach.across.modules	file-manager-module	2.2.0.RELEASE		776aabaa542ce82fe7b606b6afec239434292945
com.foreach.across.modules	file-manager-module	2.2.1.RELEASE		8490178b73c8db4613817f04c68d8ba6a79bcab1
com.foreach.across.modules	file-manager-module	2.2.2.RELEASE		ecf3f28cf7c5cb4a1bd39227611e86a2097ff2c8
com.foreach.across.modules	file-manager-module	2.3.1.RELEASE		d540e19e371b5f4e1c61968ba04927dfefb424cc
com.foreach.across.modules	file-manager-module	6.3.0		2b254c0ac1952abce840f71c38d23b0ff460de27
com.foreach.across.modules	file-manager-module	6.4.0		0566575e74e6f10cf20b0d5206a21eee8cd69d86
com.foreach.across.modules	file-manager-module	6.4.1		b477eb917d9fe674b2899ab784a3f46093b0426d
com.foreach.across.modules	file-manager-module	6.4.2		e8f4d5aa66418cbf9e314b676f1c0bacbe9f6701
com.foreach.across.modules	file-manager-module	6.5.0		3421e8958e3c2615cfad5a6108fb5b142e9bc79f
com.foreach.across.modules	file-manager-module	6.5.1		4bd3d30609db6ae3d187b104c711e788f36a1415
com.github.AmalH	Expandit	1.0.0		N/A
com.github.bancolombia	bin-stash-memory	1.0.2		2984e25d6475aa771816d871029eadc5ce4fb972
com.github.bancolombia	bin-stash-memory	1.0.3		59d9e71d16c85c16248f9d23671df09fbfce3e62
com.github.bancolombia	bin-stash-memory	1.0.5		df0da5e0570baef4e5a6e745e59656c67226a822
com.github.bancolombia	bin-stash-memory	1.0.5.PREVIEW		31f423abaa1e80424564e288ae7d137209db6f0c
com.github.bancolombia	bin-stash-memory	1.1.0		44d296d641cae04215305b8e7367ddead320437c
com.github.bancolombia	bin-stash-memory	1.2.0		5a31b28c1b0cdd4947b47c2f0706997955cd78f6
com.github.bancolombia	bin-stash-memory	1.2.1		f6e420801a9b8cbf1c228726118745a159b1a815
com.github.bancolombia	bin-stash-memory	1.2.2		0379124af1b09ec70a80c5f759c9fc5c9b513b0c
com.github.bancolombia	bin-stash-memory	1.2.3		732b38d91b89895cda9232f7d96872224aaf2f43
com.github.bancolombia	bin-stash-memory	1.2.4		3ed74f2f92d695d69acd74b267edc7cff7cc12ce
com.github.bancolombia	bin-stash-memory	1.2.5		8a0fd094d3b24ebd9ea6fdd308e58c0556d1a078
com.github.bancolombia	bin-stash-memory	1.2.6		3fd1c4043bbc828c59f6af3ddda4af81fdf5c04e
com.github.frtu.governance	schema-maven-plugin	0.3.4		6819de3a4acbaf3c7495085d711964c66084fea3
com.github.frtu.governance	schema-maven-plugin	0.3.6		9cfa261b95a359414f0785fbbe14db7f0635a02c
com.github.frtu.governance	schema-maven-plugin	1.0.0		e406f690f2f2b3e5190eccb07aa67fcc6a8aa80b
com.github.frtu.governance	schema-maven-plugin	1.0.1		0b8108f5fcd6802b1f1290c636932fe3574209db
com.github.frtu.governance	schema-maven-plugin	1.1.0		c887032b0e442802d3365d4f38907acf06dd4dc9
com.github.lolgab	snunit-async-epollcat_native0.4_3	0.2.0		3062740c748a57e31edcca85f21f89763aabf84a
com.github.lolgab	snunit-async-epollcat_native0.4_3	0.2.1		c2ca34761989d629e32a470aad61096da43cee86
com.github.lolgab	snunit-async-epollcat_native0.4_3	0.2.2		3b4bf4be5909a1baaf7aa5d3af9084d1a228b094
com.github.lolgab	snunit-async-epollcat_native0.4_3	0.2.3		6124b418760eab41ddd8e806adffb4d5017b6059
com.github.lolgab	snunit-async-epollcat_native0.4_3	0.2.4		3dc95790b8cef3770e63958e52857836965a8ed4
com.github.lolgab	snunit-async-epollcat_native0.4_3	0.3.0		e35d9079dd2f37d9c745ccc89eb08f116252df8f
