at.released.cassettes	cassettes-common-xdg-wasm-js	0.1-alpha01		N/A
com.dimajix.flowman	flowman-client	0.21.0-oss-spark3.2-hadoop3.3		cf3e81cf8b93b33359052f7a61f7254dfc7d5236
com.dimajix.flowman	flowman-client	0.22.0		ac456203b9fb6e5be7cd5c1e417ee67919997988
com.dimajix.flowman	flowman-client	0.22.0-cdh6-spark2.4-hadoop3.0		d4464cd420978d9c5bf6d2608dff9c6c7e448183
com.dimajix.flowman	flowman-client	0.22.0-cdp7-spark2.4-hadoop3.1		99d8834f36a0175267abb1e2bd4fa0e26681d5b0
com.dimajix.flowman	flowman-client	0.22.0-oss-spark2.4-hadoop2.6		c5b103c3c983782519280f1f62c81b4236a0d25f
com.dimajix.flowman	flowman-client	0.22.0-oss-spark2.4-hadoop2.7		b85f1a5854394ba64e25d4b5e16a3e54662569ec
com.dimajix.flowman	flowman-client	0.22.0-oss-spark3.0-hadoop2.7		a50acf809e73a3392412796ce2005dfb3bb7a8ce
com.dimajix.flowman	flowman-client	0.22.0-oss-spark3.0-hadoop3.2		d272d1f9e76c495f92bc0b52b2b806d61c01f885
com.dimajix.flowman	flowman-client	0.22.0-oss-spark3.1-hadoop2.7		f3e8b3c9911fe71b28f99d7a76f95efd7778eaf1
com.dimajix.flowman	flowman-client	0.22.0-oss-spark3.1-hadoop3.2		4e86df1e9b69954b04aa313bed326447a82cf04a
com.dimajix.flowman	flowman-client	0.22.0-oss-spark3.2-hadoop2.7		074c8b312cf5504e2a72c5bd6737d2ddddd3bc86
com.dimajix.flowman	flowman-client	0.22.0-oss-spark3.2-hadoop3.3		30f1ce0086ae89d66e04925c184b476db5b9b742
com.dimajix.flowman	flowman-client	0.23.0		efb6aa6274f3df3a423edd4e182bec642c880b04
com.dimajix.flowman	flowman-client	0.23.0-cdh6-spark2.4-hadoop3.0		1574182f08d052e6faeec86c9d96d13b7346f5e8
com.dimajix.flowman	flowman-client	0.23.0-cdp7-spark2.4-hadoop3.1		9de346d702e9cbaa03fab6b8c315ef6263eec94e
com.dimajix.flowman	flowman-client	0.23.0-oss-spark2.4-hadoop2.6		bbde8899a45395c9a448986c95b50560bf80e902
com.dimajix.flowman	flowman-client	0.23.0-oss-spark2.4-hadoop2.7		f0e25029665cc0ba3bef0af6a6b378ec76f5bf41
com.dimajix.flowman	flowman-client	0.23.0-oss-spark3.0-hadoop2.7		f114d84543cf83d694a7e6f4ee42413dd02f778a
com.dimajix.flowman	flowman-client	0.23.0-oss-spark3.0-hadoop3.2		404a82b9fb1c75efb3fdd5d66bea448b5d79e56d
com.dimajix.flowman	flowman-client	0.23.0-oss-spark3.1-hadoop2.7		b281969a5335b93e738107cb68a41d907d01faf2
com.dimajix.flowman	flowman-client	0.23.0-oss-spark3.1-hadoop3.2		520c5dccb5d16dbcc61b4498d6164bccca300583
com.dimajix.flowman	flowman-client	0.23.0-oss-spark3.2-hadoop2.7		cca10ba0be2725fa991a95bff7573ca8fd9b11ae
com.dimajix.flowman	flowman-client	0.23.0-oss-spark3.2-hadoop3.3		23ab3285c45b222196712f3826468ef4ebf826c9
com.dimajix.flowman	flowman-client	0.23.1		f2f91f5545fc6d74e085b458f4f579a6f799ac75
com.dimajix.flowman	flowman-client	0.23.1-cdh6-spark2.4-hadoop3.0		90a878bf346fdcf7b1ef262cbbc64e0a8bab922a
com.dimajix.flowman	flowman-client	0.23.1-cdp7-spark2.4-hadoop3.1		f467a7afb58aca4889a9a98b890073eadbf26351
com.dimajix.flowman	flowman-client	0.23.1-oss-spark2.4-hadoop2.6		622ec54875383c01e1fc62d4733a9b091a6bce8b
com.dimajix.flowman	flowman-client	0.23.1-oss-spark2.4-hadoop2.7		e8d9cab825873b0c3b69f7ee5a4c3089c022fa29
com.dimajix.flowman	flowman-client	0.23.1-oss-spark3.0-hadoop2.7		940a977f3a6007c7763cb201dc26217e332d1cf2
com.dimajix.flowman	flowman-client	0.23.1-oss-spark3.0-hadoop3.2		ff0ee85e20e8905db9815b7b8264c06ac3a4e491
com.dimajix.flowman	flowman-client	0.23.1-oss-spark3.1-hadoop2.7		fd6fe589540104c57165dac55880d692e3412f0e
com.dimajix.flowman	flowman-client	0.23.1-oss-spark3.1-hadoop3.2		5a923e28f6681a048225f6b254b5a88d5dd1fa71
com.dimajix.flowman	flowman-client	0.23.1-oss-spark3.2-hadoop2.7		2212444ef0c10d8f7f8d4bd05b1d9bdeff9428ec
com.dimajix.flowman	flowman-client	0.23.1-oss-spark3.2-hadoop3.3		e9aed750d7306f7fb9d60a15e3a020affc5460fb
com.dimajix.flowman	flowman-client	0.24.0		04590c3255d136fcb7952da998dbee5b16e15dff
com.dimajix.flowman	flowman-client	0.24.0-cdh6-spark2.4-hadoop3.0		691608fa20dcfd3a7ed7c7b903dc6af975c61fd6
com.dimajix.flowman	flowman-client	0.24.0-cdp7-spark2.4-hadoop3.1		c826823a42a2741bddebca263408bf4b1d17e517
com.dimajix.flowman	flowman-client	0.24.0-oss-spark2.4-hadoop2.6		6750b464f49b57b0403a8b7b018e45ebc88cb4f3
com.dimajix.flowman	flowman-client	0.24.0-oss-spark2.4-hadoop2.7		ff9bcd71fa1f15c95e491b4b1b91b9daa6243e58
com.dimajix.flowman	flowman-client	0.24.0-oss-spark3.0-hadoop2.7		9f589739b73c13ae6cc5d51767ffa9d189ee5bbb
com.dimajix.flowman	flowman-client	0.24.0-oss-spark3.0-hadoop3.2		e88084e09b494a3c1d9c9a6b546c60e9be1feada
com.dimajix.flowman	flowman-client	0.24.0-oss-spark3.1-hadoop2.7		eca3ac692c8886b5f9869d10eec540140a4b399c
com.dimajix.flowman	flowman-client	0.24.0-oss-spark3.1-hadoop3.2		214c1e43a56d10e01cc21aa9686184721fc80df2
com.dimajix.flowman	flowman-client	0.24.0-oss-spark3.2-hadoop2.7		3ea0cb6a11e7caec91bafdf7f354972c919e2cad
com.dimajix.flowman	flowman-client	0.24.0-oss-spark3.2-hadoop3.3		4065dacdee742577f7b1fbc7d05a8b2fa329a101
com.dimajix.flowman	flowman-client	0.24.1		efbaca26205e45e7b72319292a608a008ae7761a
com.dimajix.flowman	flowman-client	0.24.1-cdh6-spark2.4-hadoop3.0		2edd00dd1c575c9fae0be267743f2645068fae11
com.dimajix.flowman	flowman-client	0.24.1-cdp7-spark2.4-hadoop3.1		ae05dfd96854a6216e0aac71dd130a88d031bb28
com.dimajix.flowman	flowman-client	0.24.1-oss-spark2.4-hadoop2.6		ae7737fe4c99baa2fbd0c88ca387fe5fdba2fa8d
com.dimajix.flowman	flowman-client	0.24.1-oss-spark2.4-hadoop2.7		b32912ac571e787cfc64e23c0b1664289d4fa21b
com.dimajix.flowman	flowman-client	0.24.1-oss-spark3.0-hadoop2.7		6b9d8e24920c6bb8af54973df546c78e303c1fb0
com.dimajix.flowman	flowman-client	0.24.1-oss-spark3.0-hadoop3.2		af7a6bce7a32e1ef432e5b1065a50e590ac1c50e
com.dimajix.flowman	flowman-client	0.24.1-oss-spark3.1-hadoop2.7		d714d445151a36d95343bd56f404f48b97cc20e0
com.dimajix.flowman	flowman-client	0.24.1-oss-spark3.1-hadoop3.2		2cf89ca2ccb4b099e8a352c66acb70fe0cc4c12c
com.dimajix.flowman	flowman-client	0.24.1-oss-spark3.2-hadoop2.7		74f338c910e159773b81328ae7a3ec21816b9b51
com.dimajix.flowman	flowman-client	0.24.1-oss-spark3.2-hadoop3.3		5cf2f36a7f97d6c57df072b30596f1a44bb5bdcb
com.dimajix.flowman	flowman-client	0.25.0		5e99b4653e317d86dd850e44fe239cb106cca9ac
com.dimajix.flowman	flowman-client	0.25.0-cdh6-spark2.4-hadoop3.0		3d80fb3b11f4a96da01ef2e8053a6db3a1926028
com.dimajix.flowman	flowman-client	0.25.0-cdp7-spark2.4-hadoop3.1		ff55696a69bcb6a180e4439d3184507907b4d815
com.dimajix.flowman	flowman-client	0.25.0-oss-spark2.4-hadoop2.6		20f47abced718138404dc6438f702b87296f7e59
com.dimajix.flowman	flowman-client	0.25.0-oss-spark2.4-hadoop2.7		1707ab370bb4711fda25fcd9647a125086af08b6
com.dimajix.flowman	flowman-client	0.25.0-oss-spark3.0-hadoop2.7		ffb21eae728e6f22de89129afe1bbe76ffbedcce
com.dimajix.flowman	flowman-client	0.25.0-oss-spark3.0-hadoop3.2		e656f0834cf0f371f61b51c967f3d330c7f9b52c
com.dimajix.flowman	flowman-client	0.25.0-oss-spark3.1-hadoop2.7		83567116412b477d41e2cc2a4e085c3930936078
com.dimajix.flowman	flowman-client	0.25.0-oss-spark3.1-hadoop3.2		88edca5a75893fe84d6a6ea2a54614a4d30dbd54
com.dimajix.flowman	flowman-client	0.25.0-oss-spark3.2-hadoop2.7		224899b4cf435f57914acba2f955fb98ee38b5aa
com.dimajix.flowman	flowman-client	0.25.0-oss-spark3.2-hadoop3.3		9c3f8fcc60188624745a2a2f47a2c5a0d5dd1030
com.dimajix.flowman	flowman-client	0.26.0-cdh6-spark2.4-hadoop3.0		d74b5e961276b1b2631b965bd9a9bfc26098fcf3
com.dimajix.flowman	flowman-client	0.26.0-cdp7-spark2.4-hadoop3.1		5d43bbeea77610d5c2e9fbf7225e2c099e14aec5
com.dimajix.flowman	flowman-client	0.26.0-oss-spark2.4-hadoop2.6		b874f0d03fbb57035fc136ee203390d8cc57e47c
com.dimajix.flowman	flowman-client	0.26.0-oss-spark2.4-hadoop2.7		77dd70418eb1ec8e14d6f88c8d5d81b222f295e1
com.dimajix.flowman	flowman-client	0.26.0-oss-spark3.0-hadoop2.7		3fa3d4047bf528ea2522526f47f62f81e63b26ec
com.dimajix.flowman	flowman-client	0.26.0-oss-spark3.0-hadoop3.2		ffa7e87a61ca5671daf9713b67550aa15fbe5faf
com.dimajix.flowman	flowman-client	0.26.0-oss-spark3.1-hadoop2.7		5cc4a42f4a8c72a0f2c435c7fabffb458d0bb192
com.dimajix.flowman	flowman-client	0.26.0-oss-spark3.1-hadoop3.2		a1219c9adf4db9c0d5960be472bc3e018889de5b
com.dimajix.flowman	flowman-client	0.26.0-oss-spark3.2-hadoop2.7		b64d0852e5da803f8a35d472e43fa445269437b3
com.dimajix.flowman	flowman-client	0.26.0-oss-spark3.2-hadoop3.3		3bd07803870414b9c751e991bb8a6bb7e23a39e5
com.dimajix.flowman	flowman-client	0.26.0-oss-spark3.3-hadoop2.7		3beacb06333855cd614ccfad9d9e2b6dbad1c525
com.dimajix.flowman	flowman-client	0.26.0-oss-spark3.3-hadoop3.3		7774bd3e609bd5a281514cd03861d03c85a120ab
com.dimajix.flowman	flowman-client	0.27.0		1474e54812328ff22b9d58de20885495e1505b1f
com.dimajix.flowman	flowman-client	0.27.0-cdh6-spark2.4-hadoop3.0		836e2aac64ecc14e16672a7fbd3d34b6b04a6381
com.dimajix.flowman	flowman-client	0.27.0-cdp7-spark2.4-hadoop3.1		78103d02433e98fac37e909f6b7e42ad860ddc0b
com.dimajix.flowman	flowman-client	0.27.0-oss-spark2.4-hadoop2.6		54a0142ebbd40af9cf5e5f72d9cd4de3b2817b7f
com.dimajix.flowman	flowman-client	0.27.0-oss-spark2.4-hadoop2.7		1c71ae007dc9f58920f5d19b35f6d4b7792f18eb
com.dimajix.flowman	flowman-client	0.27.0-oss-spark3.0-hadoop2.7		fec3d7f857ce45c7957287567d9262b4b2dfc069
com.dimajix.flowman	flowman-client	0.27.0-oss-spark3.0-hadoop3.2		5c3f109b14496f74c10f8e89040ce6ae9c144598
com.dimajix.flowman	flowman-client	0.27.0-oss-spark3.1-hadoop2.7		fb9e5f200ec2bed00aeef10e9fd4d633044c7e4a
com.dimajix.flowman	flowman-client	0.27.0-oss-spark3.1-hadoop3.2		799a4f69fe4a77e0f44313c8652a574116361c7d
com.dimajix.flowman	flowman-client	0.27.0-oss-spark3.2-hadoop2.7		440b05b33fcd743baf3e51153a82cea4519b5e03
com.dimajix.flowman	flowman-client	0.27.0-oss-spark3.2-hadoop3.3		f3868bc90e28ab705a8f255137262db5294c0dd0
com.dimajix.flowman	flowman-client	0.27.0-oss-spark3.3-hadoop2.7		04113267331fc6cd21a8ecf5b9244f0bb51eca7a
com.dimajix.flowman	flowman-client	0.27.0-oss-spark3.3-hadoop3.3		4b1885a0a403419899a02f2f0beb0a18f8da927b
com.dimajix.flowman	flowman-client	0.28.0		992798e8b7073f988e8b36081935cde0ff0899e1
com.dimajix.flowman	flowman-client	0.28.0-cdh6-spark2.4-hadoop3.0		fab81eb7c2c99e8e2f6c08c39408022130453bfa
com.dimajix.flowman	flowman-client	0.28.0-cdp7-spark2.4-hadoop3.1		5e5d2fe8791f461f0b61022b4c3308595aa9de7a
com.dimajix.flowman	flowman-client	0.28.0-oss-spark2.4-hadoop2.6		1193b837212bda4a72255256b5973068339df3b7
com.dimajix.flowman	flowman-client	0.28.0-oss-spark2.4-hadoop2.7		d36bfe9640915b89fa1267fa9ecb5c2d88de570b
com.dimajix.flowman	flowman-client	0.28.0-oss-spark3.0-hadoop2.7		18ecef9826c66f65def32f13df1442acf56e6d22
com.dimajix.flowman	flowman-client	0.28.0-oss-spark3.0-hadoop3.2		f5717d701086485aaf41e1522b37b476524b736a
com.dimajix.flowman	flowman-client	0.28.0-oss-spark3.1-hadoop2.7		9a960dfcf83ace4fb13865bc9af87e5ffa2abd54
com.dimajix.flowman	flowman-client	0.28.0-oss-spark3.1-hadoop3.2		79276a2a2b55cc8528f78304ee926b053b4e9dec
com.dimajix.flowman	flowman-client	0.28.0-oss-spark3.2-hadoop2.7		d02bd5dceff1699b0f9073dfc1652a450237c98e
com.dimajix.flowman	flowman-client	0.28.0-oss-spark3.2-hadoop3.3		b63e1fdeada9a3f8e18ac37da3a0feba695f048b
com.dimajix.flowman	flowman-client	0.28.0-oss-spark3.3-hadoop2.7		9cd1407e19a4a5ef681c570e59f787a5a7b8b756
com.dimajix.flowman	flowman-client	0.28.0-oss-spark3.3-hadoop3.3		0d366f41248e02ebd3e34261ed1fedfbc4603285
com.dimajix.flowman	flowman-client	0.29.0		73837465fb738cd5fbbb023e281ffeca87146bc6
com.dimajix.flowman	flowman-client	0.29.0-cdh6-spark2.4-hadoop3.0		a408a832353f75a617bc86af28502133debe523f
com.dimajix.flowman	flowman-client	0.29.0-cdp7-spark2.4-hadoop3.1		b5c98b3137d414cf9a53265173d99d70c9898ae8
com.dimajix.flowman	flowman-client	0.29.0-emr6.8-spark3.3-hadoop3.2		791262c58b746be47eba3d3a450cbd2c4d019be0
com.dimajix.flowman	flowman-client	0.29.0-oss-spark2.4-hadoop2.6		faeb8ce974ac12dc88a717c9c773a7648347bffd
com.dimajix.flowman	flowman-client	0.29.0-oss-spark2.4-hadoop2.7		43da0765f5a03fcd8032df7d90ae4a12cc3e9d22
com.dimajix.flowman	flowman-client	0.29.0-oss-spark3.0-hadoop2.7		a8c53e693358f16a24b92fd6a7aa4c272ff35578
com.dimajix.flowman	flowman-client	0.29.0-oss-spark3.0-hadoop3.2		e041e0af52676fb3b4599367c0ef129aa4fb67e3
com.dimajix.flowman	flowman-client	0.29.0-oss-spark3.1-hadoop2.7		9c7a6e71ca17f4b0cfe5378f75b2a2f3a9bc802a
com.dimajix.flowman	flowman-client	0.29.0-oss-spark3.1-hadoop3.2		fc5231a8cd84fd0fe952140799a26b31bfe157c9
com.dimajix.flowman	flowman-client	0.29.0-oss-spark3.2-hadoop2.7		e4ac8f12c62c5a22b6a5b6118b6a3232c1c7cbb6
com.dimajix.flowman	flowman-client	0.29.0-oss-spark3.2-hadoop3.3		f16e5e8130b4977aa8d11815c8fc0c18b9a767f9
com.dimajix.flowman	flowman-client	0.29.0-oss-spark3.3-hadoop2.7		a9d52464360dbb66aaf6f36b0ace183435e3bda2
com.dimajix.flowman	flowman-client	0.29.0-oss-spark3.3-hadoop3.3		31f7f449a34bf4e44f05c08bf3c621b9c30de5f0
com.dimajix.flowman	flowman-client	0.30.0		d3d8aa9543b26a0340bf14ffc2947f43789ee51e
com.dimajix.flowman	flowman-client	0.30.0-cdh6-spark2.4-hadoop3.0		29855bbf8b4ffe9690517a7ffd65ef48b92c923d
com.dimajix.flowman	flowman-client	0.30.0-cdp7-spark2.4-hadoop3.1		41122da42ee870b246ceaaa346865d3e24a650d8
com.dimajix.flowman	flowman-client	0.30.0-cdp7-spark3.2-hadoop3.1		f7f09ac3b6828710dda4391693e88ec045d7b51f
com.dimajix.flowman	flowman-client	0.30.0-emr6.9-spark3.3-hadoop3.3		8cefa3f7db07effed493ce29da2bcf982fda393f
com.dimajix.flowman	flowman-client	0.30.0-oss-spark2.4-hadoop2.6		e360f1f0c77a3697f0cf994a1208aaf6af50e681
com.dimajix.flowman	flowman-client	0.30.0-oss-spark2.4-hadoop2.7		203b1eb88a815ce8441853602f3f9ab4dfdfecf8
com.dimajix.flowman	flowman-client	0.30.0-oss-spark3.0-hadoop2.7		469d0a49062ee03a81ed8dd4ab4b5f2b09cdb695
com.dimajix.flowman	flowman-client	0.30.0-oss-spark3.0-hadoop3.2		6dddc4f0ec7ef5e8c8d3296aa001f42ecadf073c
com.dimajix.flowman	flowman-client	0.30.0-oss-spark3.1-hadoop2.7		a2a1fbcbda14ae99a8474d2de9d1cd532ed758b0
com.dimajix.flowman	flowman-client	0.30.0-oss-spark3.1-hadoop3.2		667cba27514f543a3835c5a9835eb6423676cffc
com.dimajix.flowman	flowman-client	0.30.0-oss-spark3.2-hadoop2.7		037f1ea02ec4efe6336266d441c05323bbe2d5cc
com.dimajix.flowman	flowman-client	0.30.0-oss-spark3.2-hadoop3.3		fe04943a1311ccc6d562b4bcae79671ac3f7e1e9
com.dimajix.flowman	flowman-client	0.30.0-oss-spark3.3-hadoop2.7		2da6055ee120c8a80eb7fb55a6d1d971360b048f
com.dimajix.flowman	flowman-client	0.30.0-oss-spark3.3-hadoop3.3		8a861b7dd1b8750ea99924cbfae69beeb677b3d4
com.github.agogs	java-holiday-api	1.0		9c221d461aae80d1b1cbce415e5fa0e132e630da
com.github.agogs	java-holiday-api	1.1		669a86caa792793d8aa65af480513ca690eed48e
com.github.aimind	exponentialschedule-api	1.0		1735c15fc09dd0cd116b4724882da6115e07d5a8
com.github.bingoohuang	log4j-more	0.0.1		039ccc7504e2e98b8d69fc3e72253ff97e1a07b6
com.github.langion	langion-form	1.3		7608f94cbbfea50a9b2927b1ee93e4e99d50dfbd
com.github.langion	langion-form	1.4		e82d859036db08268c3688f606dfb01d417b2724
com.github.langion	langion-form	1.5		1a2f62f83d185037d5148710954704413f14ee04
com.github.langion	langion-form	1.6		e0addf11d1ccfdbd884960471a04067c2d92ca13
com.github.langion	langion-form	1.7		b09feeb97c7197b3e75af2331f7076a1b4ffd9b6
com.github.langion	langion-form	1.8		68173d53146d4fbb89d1d915ddcde69fdac5875d
com.github.lontime	extcosid-library	1.0.0		93cc33c8c99ecf6fba0b590f1ced0e55a474f031
com.github.lontime	extcosid-library	1.0.0-M10		b346fb7be9676bd399951437390ffdf7f079305b
com.github.lontime	extcosid-library	1.0.0-M11		669bd8d8dfc684c58a4d80aeff079c0429042c5f
com.github.lontime	extcosid-library	1.0.0-M12		c40cd98482fa9ea9a69eb1720c214b9132da1bf9
com.github.lontime	extcosid-library	1.0.0-M13		5bc7ee87bc8909865157803bc8af7391760fb416
com.github.lontime	extcosid-library	1.0.0-M14		aae13343dd6e760dbb64d751d7886700da9282a1
com.github.lontime	extcosid-library	1.0.0-M15		9aa4c40ec5ecf4fc9869b9fc2d1b382c3e9a2e40
com.github.lontime	extcosid-library	1.0.0-M16		31c85ca967f0051bfca310e1428f96f81eeaeecd
com.github.lontime	extcosid-library	1.0.0-M17		a52daf48a121e7ebc9bae81f81c9fc4c6e35c067
com.github.lontime	extcosid-library	1.0.0-M18		f732b37d4f496dd71676e950e877050339f55a77
com.github.lontime	extcosid-library	1.0.0-M19		046c2e0edce202de596464b374229979d82d8415
com.github.lontime	extcosid-library	1.0.0-M20		5d702b0c678b3c4ddf8888b66fb99fc8ab80b6a1
com.github.lontime	extcosid-library	1.0.0-M21		c6c5b59cf2f75e322a2037270b0be63c3a1ce783
com.github.lontime	extcosid-library	1.1.3		33652cf4b7514fbb3b121ca6e6b7385d6789cce1
com.github.lontime	extcosid-library	1.1.4		ae4c60c3c66a879250565465e9b58266171cb036
com.github.lontime	extcosid-library	1.2.0		994a7d38a66586024d7839d537f00b04bc8d3d4e
com.github.lontime	extcosid-library	1.2.1		7fdf83af266bb6a01e92cae1f07df5f9db158bcb
com.github.lontime	extcosid-library	1.2.2		cc301ec3b7c2f763982a08df87f922f709a5fb62
com.github.lontime	extcosid-library	1.2.3		785e1623b325d82def18bb39cc564e3510aab7a7
com.github.lontime	extcosid-library	1.2.4		d65e49020f7069a5a719a0e2327839b88f396538
com.github.lontime	extcosid-library	1.3.0		0323f949ccf5694f15dcbb68781e5481b94b115e
com.github.lontime	extcosid-library	1.3.1		81d7665f02ead40a087da5c7060762ca1112ca89
com.github.lontime	extcosid-library	1.4.0		9bdfb94e0920302586482d52837be950f907e06d
com.github.thierrysquirrel	sparrow-spring-boot	1.0.0-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	1.0.1-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	1.0.2-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	1.0.3-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.0.0-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.0.1-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.0.2-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.0.3-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.1.0-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.1.1-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.1.2-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.1.3-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.0.0-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.0.1-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.0.2-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.0.3-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.0.4-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.0.5-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.0.6-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.0.7-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.0.8-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.0.9-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.1.0-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.1.1-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.1.2-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.1.3-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.2.1.4-RELEASE		N/A
com.github.thierrysquirrel	sparrow-spring-boot	2.3.0.0-RELEASE		N/A
com.github.tsc4j	tsc4j-bom	0.5.10		N/A
com.github.tsc4j	tsc4j-bom	0.5.11		N/A
com.github.tsc4j	tsc4j-bom	0.5.12		N/A
com.github.tsc4j	tsc4j-bom	0.5.13		N/A
com.github.tsc4j	tsc4j-bom	0.5.14		N/A
com.github.tsc4j	tsc4j-bom	0.5.3		N/A
com.github.tsc4j	tsc4j-bom	0.5.4		N/A
com.github.tsc4j	tsc4j-bom	0.5.5		N/A
com.github.tsc4j	tsc4j-bom	0.5.6		N/A
com.github.tsc4j	tsc4j-bom	0.5.7		N/A
com.github.tsc4j	tsc4j-bom	0.5.8		N/A
com.github.tsc4j	tsc4j-bom	0.5.9		N/A
com.intel.arrow	arrow-format	0.17.0-Beta		266056790508fc23d2818102db90b2828fcdf634
com.intel.arrow	arrow-format	0.17.0-oap-0.9		11fae59482f75e3e13578a100b540313f4db48c8
