ch.exense	distribution	3.6.1		N/A
com.arianegraphql	server	0.0.4		f32b9a94349b18a8754a2713556771ac491ee159
com.arianegraphql	server	0.0.5		1c4ea60570b838e6b5d6c5348280e32a61ded209
com.arianegraphql	server	0.0.6		68fc8f25d57b572c4a0a28c8d4267e3ea3f3bfcf
com.arianegraphql	server	0.1.0		53729bdd09ab2cb770be5d4871d1cd56907498fa
com.arianegraphql	server	0.2.0		4eb29dad4e19231be8e120b2010d267b007d684c
com.arianegraphql	server	0.3.0		a0c673446b948886ac1c5348f831178309ae7f9d
com.arianegraphql	server	0.3.0-beta01		a13863e4f1aaa996e513e102b1676aa753e572f4
com.arianegraphql	server	0.3.1		56abfcc50a4bed561d85ad105edbde5c1574ce93
com.arianegraphql	server	0.3.2		5e261fe19e294ba3d672f20ae57244ee1650bc59
com.arianegraphql	server	0.3.3		8e46cfd6eb97d5ff56183b4239ad73d2449e6fa0
com.arianegraphql	server	0.3.4		7bfc4a0f07bd9fb84811738e59fafd2257b51ee3
com.armanbilge	circe-parser_sjs1_2.12	0.14.2-158-f15be0d		bc88ba26e20e636e9b8a1d9b7f5d0bad681d8c77
com.bihe0832.android	common-panel	6.10.0		N/A
com.bihe0832.android	common-panel	6.10.1		N/A
com.bihe0832.android	common-panel	6.10.2		N/A
com.bihe0832.android	common-panel	6.10.3		N/A
com.bihe0832.android	common-panel	6.11.0		N/A
com.bihe0832.android	common-panel	6.11.1		N/A
com.bihe0832.android	common-panel	6.11.2		N/A
com.bihe0832.android	common-panel	6.11.4		N/A
com.bihe0832.android	common-panel	6.11.8		N/A
com.bihe0832.android	common-panel	6.12.0		N/A
com.bihe0832.android	common-panel	6.12.2		N/A
com.bihe0832.android	common-panel	6.13.0		N/A
com.bihe0832.android	common-panel	6.13.1		N/A
com.bihe0832.android	common-panel	6.13.2		N/A
com.bihe0832.android	common-panel	6.13.3		N/A
com.bihe0832.android	common-panel	6.13.4		N/A
com.bihe0832.android	common-panel	6.13.5		N/A
com.bihe0832.android	common-panel	6.14.0		N/A
com.bihe0832.android	common-panel	6.14.1		N/A
com.bihe0832.android	common-panel	6.15.0		N/A
com.bihe0832.android	common-panel	6.15.1		N/A
com.bihe0832.android	common-panel	6.15.2		N/A
com.bihe0832.android	common-panel	6.15.3		N/A
com.bihe0832.android	common-panel	6.15.4		N/A
com.bihe0832.android	common-panel	6.16.1		N/A
com.bihe0832.android	common-panel	6.16.10		N/A
com.bihe0832.android	common-panel	6.16.12		N/A
com.bihe0832.android	common-panel	6.16.13		N/A
com.bihe0832.android	common-panel	6.16.14		N/A
com.bihe0832.android	common-panel	6.16.15		N/A
com.bihe0832.android	common-panel	6.16.16		N/A
com.bihe0832.android	common-panel	6.16.17		N/A
com.bihe0832.android	common-panel	6.16.18		N/A
com.bihe0832.android	common-panel	6.16.19		N/A
com.bihe0832.android	common-panel	6.16.2		N/A
com.bihe0832.android	common-panel	6.16.3		N/A
com.bihe0832.android	common-panel	6.16.4		N/A
com.bihe0832.android	common-panel	6.16.5		N/A
com.bihe0832.android	common-panel	6.16.6		N/A
com.bihe0832.android	common-panel	6.16.8		N/A
com.bihe0832.android	common-panel	6.16.9		N/A
com.bihe0832.android	common-panel	6.21.0		N/A
com.bihe0832.android	common-panel	6.21.1		N/A
com.bihe0832.android	common-panel	6.21.15		N/A
com.bihe0832.android	common-panel	6.21.17		N/A
com.bihe0832.android	common-panel	6.21.18		N/A
com.bihe0832.android	common-panel	6.21.19		N/A
com.bihe0832.android	common-panel	6.21.2		N/A
com.bihe0832.android	common-panel	6.21.20		N/A
com.bihe0832.android	common-panel	6.21.21		N/A
com.bihe0832.android	common-panel	6.21.24		N/A
com.bihe0832.android	common-panel	6.21.3		N/A
com.bihe0832.android	common-panel	6.21.8		N/A
com.bihe0832.android	common-panel	6.21.9		N/A
com.bihe0832.android	common-panel	6.22.0		N/A
com.bihe0832.android	common-panel	6.22.10		N/A
com.bihe0832.android	common-panel	6.22.11		N/A
com.bihe0832.android	common-panel	6.22.12		N/A
com.bihe0832.android	common-panel	6.22.14		N/A
com.bihe0832.android	common-panel	6.22.15		N/A
com.bihe0832.android	common-panel	6.22.16		N/A
com.bihe0832.android	common-panel	6.22.17		N/A
com.bihe0832.android	common-panel	6.22.18		N/A
com.bihe0832.android	common-panel	6.22.2		N/A
com.bihe0832.android	common-panel	6.22.4		N/A
com.bihe0832.android	common-panel	6.22.6		N/A
com.bihe0832.android	common-panel	6.22.7		N/A
com.bihe0832.android	common-panel	6.22.8		N/A
com.bihe0832.android	common-panel	6.23.1		N/A
com.bihe0832.android	common-panel	6.24.0		N/A
com.bihe0832.android	common-panel	6.24.13		N/A
com.bihe0832.android	common-panel	6.24.15		N/A
com.bihe0832.android	common-panel	6.24.16		N/A
com.bihe0832.android	common-panel	6.24.17		N/A
com.bihe0832.android	common-panel	6.24.18		N/A
com.bihe0832.android	common-panel	6.24.19		N/A
com.bihe0832.android	common-panel	6.24.2		N/A
com.bihe0832.android	common-panel	6.24.3		N/A
com.bihe0832.android	common-panel	6.24.4		N/A
com.bihe0832.android	common-panel	6.24.7		N/A
com.bihe0832.android	common-panel	6.24.8		N/A
com.bihe0832.android	common-panel	6.24.9		N/A
com.bihe0832.android	common-panel	6.25.0		N/A
com.bihe0832.android	common-panel	6.25.1		N/A
com.bihe0832.android	common-panel	6.25.10		N/A
com.bihe0832.android	common-panel	6.25.11		N/A
com.bihe0832.android	common-panel	6.25.12		N/A
com.bihe0832.android	common-panel	6.25.13		N/A
com.bihe0832.android	common-panel	6.25.14		N/A
com.bihe0832.android	common-panel	6.25.15		N/A
com.bihe0832.android	common-panel	6.25.2		N/A
com.bihe0832.android	common-panel	6.25.3		N/A
com.bihe0832.android	common-panel	6.25.4		N/A
com.bihe0832.android	common-panel	6.25.5		N/A
com.bihe0832.android	common-panel	6.25.6		N/A
com.bihe0832.android	common-panel	6.25.7		N/A
com.bihe0832.android	common-panel	6.25.8		N/A
com.bihe0832.android	common-panel	6.25.9		N/A
com.bihe0832.android	common-panel	6.5.0		N/A
com.bihe0832.android	common-panel	6.5.1		N/A
com.bihe0832.android	common-panel	6.6.0		N/A
com.bihe0832.android	common-panel	6.6.1		N/A
com.bihe0832.android	common-panel	6.6.10		N/A
com.bihe0832.android	common-panel	6.6.11		N/A
com.bihe0832.android	common-panel	6.6.12		N/A
com.bihe0832.android	common-panel	6.6.13		N/A
com.bihe0832.android	common-panel	6.6.15		N/A
com.bihe0832.android	common-panel	6.6.16		N/A
com.bihe0832.android	common-panel	6.6.2		N/A
com.bihe0832.android	common-panel	6.6.3		N/A
com.bihe0832.android	common-panel	6.6.4		N/A
com.bihe0832.android	common-panel	6.6.5		N/A
com.bihe0832.android	common-panel	6.6.6		N/A
com.bihe0832.android	common-panel	6.6.7		N/A
com.bihe0832.android	common-panel	6.6.8		N/A
com.bihe0832.android	common-panel	6.6.9		N/A
com.bihe0832.android	common-panel	6.7.10		N/A
com.bihe0832.android	common-panel	6.7.11		N/A
com.bihe0832.android	common-panel	6.7.13		N/A
com.bihe0832.android	common-panel	6.7.14		N/A
com.bihe0832.android	common-panel	6.7.15		N/A
com.bihe0832.android	common-panel	6.7.16		N/A
com.bihe0832.android	common-panel	6.7.17		N/A
com.bihe0832.android	common-panel	6.7.18		N/A
com.bihe0832.android	common-panel	6.7.2		N/A
com.bihe0832.android	common-panel	6.7.3		N/A
com.bihe0832.android	common-panel	6.7.4		N/A
com.bihe0832.android	common-panel	6.7.5		N/A
com.bihe0832.android	common-panel	6.7.6		N/A
com.bihe0832.android	common-panel	6.7.7		N/A
com.bihe0832.android	common-panel	6.7.9		N/A
com.bihe0832.android	common-panel	6.8.1		N/A
com.bihe0832.android	common-panel	6.8.11		N/A
com.bihe0832.android	common-panel	6.8.12		N/A
com.bihe0832.android	common-panel	6.8.13		N/A
com.bihe0832.android	common-panel	6.8.14		N/A
com.bihe0832.android	common-panel	6.8.2		N/A
com.bihe0832.android	common-panel	6.8.3		N/A
com.bihe0832.android	common-panel	6.8.5		N/A
com.bihe0832.android	common-panel	6.8.7		N/A
com.bihe0832.android	common-panel	6.8.9		N/A
com.bihe0832.android	common-panel	6.9.0		N/A
com.bihe0832.android	common-panel	6.9.10		N/A
com.bihe0832.android	common-panel	6.9.11		N/A
com.bihe0832.android	common-panel	6.9.12		N/A
com.bihe0832.android	common-panel	6.9.13		N/A
com.bihe0832.android	common-panel	6.9.14		N/A
com.bihe0832.android	common-panel	6.9.15		N/A
com.bihe0832.android	common-panel	6.9.17		N/A
com.bihe0832.android	common-panel	6.9.18		N/A
com.bihe0832.android	common-panel	6.9.19		N/A
com.bihe0832.android	common-panel	6.9.2		N/A
com.bihe0832.android	common-panel	6.9.21		N/A
com.bihe0832.android	common-panel	6.9.22		N/A
com.bihe0832.android	common-panel	6.9.23		N/A
com.bihe0832.android	common-panel	6.9.24		N/A
com.bihe0832.android	common-panel	6.9.25		N/A
com.bihe0832.android	common-panel	6.9.26		N/A
com.bihe0832.android	common-panel	6.9.27		N/A
com.bihe0832.android	common-panel	6.9.28		N/A
com.bihe0832.android	common-panel	6.9.3		N/A
com.bihe0832.android	common-panel	6.9.31		N/A
com.bihe0832.android	common-panel	6.9.4		N/A
com.bihe0832.android	common-panel	6.9.5		N/A
com.bihe0832.android	common-panel	6.9.6		N/A
com.bihe0832.android	common-panel	6.9.7		N/A
com.bihe0832.android	common-panel	6.9.8		N/A
com.bihe0832.android	common-panel	6.9.9		N/A
com.clickhouse	jdbc-v2	0.7.2		37c5a50c1c58e8dae56096f6686ad39c3e6fc43e
com.clickhouse	jdbc-v2	0.7.2	all	3e84d0aaf48dd9d3d5def107bc2f1681661e542e
com.clickhouse	jdbc-v2	0.7.2	all-sources	82d143bb726e4e6a7e399e42797ba870979b21cd
com.clickhouse	jdbc-v2	0.7.2	http	a7422ab202dbf58ba87dc3e2c7ed8d231eba4196
com.clickhouse	jdbc-v2	0.7.2	http-sources	784d7d1a9fb27562b1b021f74cafffcaad0073dd
com.clickhouse	jdbc-v2	0.7.2	shaded	d04608705a854c8fe323a6acb28896abbf42fd9a
com.clickhouse	jdbc-v2	0.7.2	shaded-sources	0892146343eedcd7a83943e064698dd9f22a9bf0
com.clickhouse	jdbc-v2	0.8.0		7fad0a71d63da6bf5c96af8880a8dfddac0ce9bd
com.clickhouse	jdbc-v2	0.8.0	all	f6ac3d296189fef551c3096c38b2d9e167259954
com.clickhouse	jdbc-v2	0.8.0	all-sources	6b70c70e22abb494a5ad0c7388bc13edb67198f8
com.clickhouse	jdbc-v2	0.8.0	http	5522c37dff1f013ae95f6469e2136756046f9702
com.clickhouse	jdbc-v2	0.8.0	http-sources	95711a684f67719b25d55d339f27dbb7cdecb87b
com.clickhouse	jdbc-v2	0.8.0	shaded	bd54e092416361099f0f36064af0d168be8c66ee
com.clickhouse	jdbc-v2	0.8.0	shaded-sources	4c3fb8a71edf07f5e97e74f7e82d542112897e6f
com.clickhouse	jdbc-v2	0.8.1		dfcff1b3d4a8774531c0ab0478dbd5c05d8e85a4
com.clickhouse	jdbc-v2	0.8.1	all	e6f810049ec59ca6715867f96e1d7017db75c499
com.clickhouse	jdbc-v2	0.8.1	all-sources	a52e6188068e12a3497bd71e43a4c662e47bd6aa
com.clickhouse	jdbc-v2	0.8.1	http	32bdb2a9d578635782c1ceafa2821078b76fb4ed
com.clickhouse	jdbc-v2	0.8.1	http-sources	9bcb0a8289c5972d4275c6042e00ac9e901b1483
com.clickhouse	jdbc-v2	0.8.1	shaded	5a3ffb1fa03173d9977131f67d4b3f79b2629bc0
com.clickhouse	jdbc-v2	0.8.1	shaded-sources	99a6d088511c9989f326363aeaa47afb8d11211b
com.clickhouse	jdbc-v2	0.8.2		a0caf6d08778ccaf3105cf93eceb2e1344ab2780
com.clickhouse	jdbc-v2	0.8.2	all	1f0172e1df924e1e30d2bb8ce903b684540d379f
com.clickhouse	jdbc-v2	0.8.2	all-sources	46a5382c1f2b0183a9aeddb50bcb2dad1b534c09
com.clickhouse	jdbc-v2	0.8.2	http	79cda2bd3e4d76e9c46da2901ffd0b8aba452116
com.clickhouse	jdbc-v2	0.8.2	http-sources	b4dc4eee623ea42237475ec9726634f90f7c3ab2
com.clickhouse	jdbc-v2	0.8.2	shaded	5d04a0badf00edbdc59064df79454ff34edc7b26
com.clickhouse	jdbc-v2	0.8.2	shaded-sources	b009e42adf35ef0e572740ace4031a09f96e8363
com.clickhouse	jdbc-v2	0.8.3		cb626fe59b0a2d592d836144c24449e6d132e0f2
com.clickhouse	jdbc-v2	0.8.3	all	58b8cad03d76cb4277747ea513b48ad076b2272c
com.clickhouse	jdbc-v2	0.8.3	all-sources	c9fccf807ea22e5c3ff480141ea3a8e35507eb94
com.clickhouse	jdbc-v2	0.8.3	http	1f4d123b742226fc1cec63897e8ad15120bc529c
com.clickhouse	jdbc-v2	0.8.3	http-sources	59288d70ffa9ff510c9e6ed1bd2e0a8d57eab7b8
com.clickhouse	jdbc-v2	0.8.3	shaded	ce2f9022bcb6e15c9f52f394d1c6de28d5b00c17
com.clickhouse	jdbc-v2	0.8.3	shaded-sources	3252ef463099ed9d09e844c98207ab290d5a931c
com.clickhouse	jdbc-v2	0.8.4		6888f396d85a0b3bcc731310e3b1127a765f789b
com.clickhouse	jdbc-v2	0.8.4	all	96f30622c38fe79c079cc4038abba80813a3a5cf
com.clickhouse	jdbc-v2	0.8.4	all-sources	3910133d509299301e3730ce2da6318e5547324c
com.clickhouse	jdbc-v2	0.8.4	http	11142cb1417b06b432cb43b79fa42430af7e0bd6
com.clickhouse	jdbc-v2	0.8.4	http-sources	29b04a55de6c86fccc817912ce5297fdadd8c649
com.clickhouse	jdbc-v2	0.8.4	shaded	b1a988ee4b05bfa04828b8a852404b8b13ea21e6
com.clickhouse	jdbc-v2	0.8.4	shaded-sources	9237b5aa96c482bedd6e09a0108d7fe33e0a2578
com.clickhouse	jdbc-v2	0.8.5		2547ef52cdfbda5ebef757086bd9c9eefbac443b
com.clickhouse	jdbc-v2	0.8.5	all	7c0a2e0729c052f8834abd76d30cdc4244d554b4
com.clickhouse	jdbc-v2	0.8.5	all-sources	cb80bff85e3267648bf7fa1c6c121b2f691a098c
com.clickhouse	jdbc-v2	0.8.5	http	bd0077b98fc6098d5cf9f97462d6be49894057db
com.clickhouse	jdbc-v2	0.8.5	http-sources	2a997dfeac6b8160812c4a1f24c561dfde43056a
com.clickhouse	jdbc-v2	0.8.5	shaded	5a67fa6c7815ad8bda2d913cddd11a4239477b01
com.clickhouse	jdbc-v2	0.8.5	shaded-sources	874d728ff84e6545cc8ff1e1e030c0186d065e74
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240119.12605.0.vaa5f01df		362c7ce66041d1a3f3fb9e88ae379822ee13ebc8
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240122.12612.0.v3b5dce66		cd36ae123c971f2831c613e8078a373b80c2e415
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240123.12622.0.vc5c43abe		0a9729dd6cab1d28007c833096769a45b6aa8b2f
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240124.12628.0.v318e1d38		336a20d15e8d0a514e8d51df597b00ce8aea018e
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240125.12640.0.vf0b61ae5		5bad6c6885788f55a2b3f3db606d4ad6f079868c
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240126.12648.0.va9dc2d63		16a4de7d3cb0c48cbf51296a71929876eb177001
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240129.12655.0.v90d90ea7		89866f57549b2ba516ff1e2e06e565b7ddce8cef
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240130.12664.0.va195d0f6		1b888063545db14c6979aa0ca3bd79741f473a6d
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240131.12677.0.v910a4a9e		80b5bebd28189541616f4f9e63c8e44abc74b5c8
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240201.12683.0.v3b292d00		a116e8cabf51143dc68b65be6126aa05c8afeff6
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240202.12694.0.vd4b0dbc1		5177f06834ef8b09af605ba8cc6158bcccb03f6c
com.daml	test-common-package-management-tests-java-2.1	3.0.0-snapshot.20240206.12702.0.v3b408892		98ec31e46fc116a0f580a0bfc60167943949fec7
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.0-0.1.0		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.0-0.1.0	metadata	19cebb5da009cbe835f3db6cc863553a2ea56d6d
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.1		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.1	metadata	977cad25a3657992c2b4e9dc792dae569f3ed3e1
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.10		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.10	metadata	77958e3f931ca67866c9eddaccfbf31836007023
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.11		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.11	metadata	ff6c0a714633cbacc0dda7e6ef0322b3de2895f0
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.12		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.12	metadata	0f669cf457e8ef59e6201e2a061959ada2b1fb0a
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.13		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.13	metadata	92da4af53ba02db01ad2d9f91f000a842ecbc416
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.14		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.14	metadata	b5c8506265c94300caf311fe45f20323d4801048
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.15		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.15	metadata	8f75893c4ed5cac49c688dc1ca0d23495acbdf2e
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.16		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.16	metadata	aab5f90f3a02752e36ab4e3f7ca20fcfe1994869
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.17		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.17	metadata	11c7efe42126f937e000e75d1335161bc79d947a
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.2		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.2	metadata	d4a840af70d9760bdfee05572cb0473f2809441f
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.3		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.3	metadata	d8143e91d6733dcda1faf018fe3438b9aa1530ed
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.4		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.4	metadata	1025a420235b819e20d185ea3aabd4c1285fd3db
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.5		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.5	metadata	daaad197677852a6ce73aa9a3b85c8b0358685a8
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.6		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.6	metadata	8b864664fb2d4c8eac4038d371508f4120a54372
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.7		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.7	metadata	e86bb5e4e3fba7880ffa53dd2278d1d536c2ad5c
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.8		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.8	metadata	4c2a49d3bc7a85bcaabb652fbb90909f050d7e4d
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.9		N/A
com.dayanruben.maplibre-compose	maplibre-compose-material3-iosx64	0.6.9	metadata	bb5441a83191ed153d1d4b620cf02999821dd2c9
com.djrapitops	AbstractPluginFramework-bukkit	3.4.0		264480e1ac22bbaddf9a8c686e448639db0f10d4
com.duoec.doc	duo-doclet	1.0.0		22993780f791817664fa24595701a22b0d31f856
com.duoec.doc	duo-doclet	1.0.1		8fe048bf24f55eb3fc6a969a30acade6990e2e16
com.duoec.doc	duo-doclet	1.0.2		b9c4de8f762973142c00267a76061c1850597921
com.duoec.doc	duo-doclet	1.0.3		e0313b027b19eaabd1859e6450ce72a5f3fd0c3a
com.github.chen0040	java-plsa	1.0.1		328f8af4f2f717eefa8378458154b0aca9e54359
com.github.hippoom	wechat-mp-test	0.3.0		3ea3f3d5f92fc2fadb2256f70f02c01080bb3056
com.github.hippoom	wechat-mp-test	0.3.2		47acd811582f8becfceadde948142dc470bc8a81
com.google.api-ads	google-ads-stubs-v9	16.0.3		5d169ef5373e5f5bc1b24beea2b1645927e95616
com.google.api-ads	google-ads-stubs-v9	17.0.0		75d282c468e4f474b0ef2699463c9d85784c8a69
com.google.api-ads	google-ads-stubs-v9	17.0.1		736c9be355a0662cf459e34b6773eefb19f0b40d
com.google.api-ads	google-ads-stubs-v9	18.0.0		70d45b94effb06f9851ef41c1feb68aac517ed53
com.google.api-ads	google-ads-stubs-v9	19.0.0		cc87c15dda96fb2c71220ddf9da53222a3918f4f
