au.net.causal.shoelaces	shoelaces-assorted-integration-tests-container	2.0		44a0e2813586047b264e16fdb63ecfa7366d40b9
com.47deg	scalacheck-toolbox-datetime_2.13	0.3.1		61ae2bf6973c89e724259d0a2db6673269831ff9
com.47deg	scalacheck-toolbox-datetime_2.13	0.3.2		55b078428cf576aa73f191f2fa83b19ddda12130
com.47deg	scalacheck-toolbox-datetime_2.13	0.3.3		4886e8d22bbb849bc64f0a2b673d976d00fb0941
com.47deg	scalacheck-toolbox-datetime_2.13	0.3.4		8e453d5f32393d5edbbb197fc40166fa8f6641eb
com.47deg	scalacheck-toolbox-datetime_2.13	0.3.5		f9ebfe1bd4b2dd91877cf5b70ff76564a9c35f5e
com.47deg	scalacheck-toolbox-datetime_2.13	0.4.0		981ad21caa5b107748deb8d845e09472c49e584a
com.47deg	scalacheck-toolbox-datetime_2.13	0.5.0		ab6b7fe1e27b16defa6179f669ad151c9c53d696
com.47deg	scalacheck-toolbox-datetime_2.13	0.6.0		746377cc784bf044fc6c079be74652dcf9c7a534
com.47deg	scalacheck-toolbox-datetime_2.13	0.7.0		c2f6343cd4dc7ee28a420c2e5cfbd923094aa9e2
com.adobe	com.adobe.aio.aem.core	0.0.14		4f663344c3f2b60fd874729d9a3abd8ca3d31119
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	1.5.0.RELEASE		ab89695eec465e10d2487afd8277fc655828d944
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	1.5.1.RELEASE		6b3e7b512f07783acd420fda3c8e5bab91c544aa
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.0.0.RELEASE		d56f0d147ef887ad3b6d7d53c781493f08b74731
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.0.1.RELEASE		38abb4741a5b8ff191026b25a9c131204ba67ce8
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.0.2.RELEASE		e0deccf1003444890764aa64120a922219e62e5c
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.0.3.RELEASE		b51223f90f4e7eb56fb79a0c4f285496c35cc9a2
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.0.4.RELEASE		71a3928ae28b0057a02352c396d4d85d72006933
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.1.0.RELEASE		3102f07d643d9e17764b2b269ade4d0b6452e883
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.1.1.RELEASE		0fa2c010f6b6d14cf116a6b72c98eff83dbb2fd5
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.1.2.RELEASE		7ad8bc3965605e61b0f0bedc1efd1e6850ec685d
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.1.3.RELEASE		3aa20b9d449acff67e61c001b8e925cf21e45d66
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.1.4.RELEASE		0a60d415dc76e7d48edad2b73b80a4033b1deca4
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.0.RELEASE		2695960b5606f83fb9540c322a3b43c329e8756e
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.1.RELEASE		4b4e07e08719888a194a7cd2699b50a35b2d113e
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.10		bdb456f847c00619993f21d68f845a68a37f7fd7
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.10-RC1		1def8ab2b5cd83e90a82747ed8bb1f829aee5bdc
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.10-RC2		395256d9cd2118db3963940eab4c9f032176050b
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.11		5c0a1febb4f3bf396e5afa23226c819febfc59a5
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.2.RELEASE		86460aa017b6d6bd3c6944827a210b074f0c93a1
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.3.RELEASE		0ab093ee707513f35dbe0738be7fc22924cebf79
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.4.RELEASE		6b11cd9b68349ec5c11f4c068b2fb3e3cfe4674c
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.5-RocketMQ-RC1		f14c80760a8fa7e8270cac71c11d97db2231f55f
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.5.RC1		d58b889335313096cc8c7ca6c7e6b43e4620028b
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.5.RC2		44be4889856fa887fb426c6f27be0b22048942a1
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.5.RELEASE		cfc12358227304d3a81ede68e9140b94eb15412b
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.5.RocketMQ.RC2		e88348b5b95fabebf220dae5efe6061b7832d417
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.6.RC1		8e38ea71efd9ebc5dd0aece8ac26a421bf9d941a
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.6.RELEASE		41ae85aabb8af6771cae0867f12772df6cfde286
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.7.RELEASE		c9fba57c88cc6cfda9b9cf29d3cce1ad63902d24
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.8.RELEASE		4a92ff027d08ae2d499c13cbd626e57cb6f72ed5
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2.2.9.RELEASE		2a43d9c9623b9bec669263fdc1f56ee59b5d088a
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2020.0.RC1		b01229b4d43dc367dae0a15c9f9fa9cda306f2ca
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.1.0		07d6fe13406a063bae2ce1911a3424243f1918f4
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.4.0		55265ed865900712aa2cdcc6777ba76d803cb1a7
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.5.0		8fa003c16ea1b3644be0160e03c08b6a3ff376af
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.6.0		e31a5a0547cacbc9d42b22c924b4da31941c2632
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.6.1		6a74f3c5714822a620ee5cb58fd5200b6095cf98
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.0.6.2		af3d2974f7544c32d98523e9424a6e350c922cf1
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2021.1		ca5c55a7377d8d3179b1a609bdf90f37b00f155c
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2022.0.0.0		b0d93e904cfa0384a985d83ea44780b61f53e88e
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2022.0.0.0-RC1		aac2e91d848143171fa042ce8057d6e815411468
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2022.0.0.0-RC2		5dcfe5910100dfbfe0460c9b17fb58b62cb407b2
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2022.0.0.2		7b9e774ca9c17aac21e4d68cc56ec9c6f4678d72
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.0.0-RC1		cf2e587cf77b476dd2a71dbc64884f0a7797484c
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.1.0		3717980b4bd4649a720f5b07363961ef9daf3e28
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.1.2		fc481aa12fd96c22fae76baf096b99d3be082b0d
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.1.3		a534ea9821d88ffaa80291edfc1f09e502e3b3fb
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.3.1		d1990c98d93ba7661d3b446816fff42259f4b3a7
com.alibaba.cloud	spring-cloud-starter-alibaba-seata	2023.0.3.2		379369e8de32459e4cfd3fb9c31cdfd3304e073e
com.aoapps	ao-style-book	2.0.0		9b012a078d4cd3e19637e3b1cccbb855046e0bd0
com.aoapps	ao-style-book	2.0.1		cc6ef618ecdeedde7348109c5da5d90d1e95a1bc
com.arpnetworking.code.sbt-compiler-maven-plugin	sbt-compiler	1.0.3		N/A
com.dragontreesoftware	odyssey-templates	1.0.4		0678b42478ef607e970c76cab9c3b97969de7fca
com.dragontreesoftware	odyssey-templates	1.0.5		e7c7407b0e834da629c1e4f1e16e4c63aa1f4a5b
com.dragontreesoftware	odyssey-templates	1.0.6		2c3fcdeb9eba08a1cd3bfd59cfd5d9657273f985
com.dragontreesoftware	odyssey-templates	1.0.7		ea99afe9f088e2128a03639172aee073bb1a8514
com.dragontreesoftware	odyssey-templates	1.0.8		808a353b15e26f49570372bdbff1abd2d8f1f2d0
com.fitbur.test	test-hk2	0.5.0		fd7031d27f81a98902562234c4af957078cc71af
com.github.bingoohuang	delayqueue	0.0.1		50bedb0bbb555c29c161701251b05b03f5ba3d1c
com.github.bingoohuang	delayqueue	0.0.10		9a38a786209b5a38ff6f46c393cb3f6cf8df9d7c
com.github.bingoohuang	delayqueue	0.0.11		ae308814da722fe04dc533a79afdbc4b98abf6a8
com.github.bingoohuang	delayqueue	0.0.12		8dd4d825c40e3e87b36042155b6a7eb327db4763
com.github.bingoohuang	delayqueue	0.0.13		505aabbdd96d9c61a2613007c937d26baf13557a
com.github.bingoohuang	delayqueue	0.0.14		46f5f78d87bd4f52ea6ebe2f6e58ca03c0cd5ed4
com.github.bingoohuang	delayqueue	0.0.15		4f44f8fb3324efea9390c601734124e75d8391eb
com.github.bingoohuang	delayqueue	0.0.16		68090d3d92a364a069fd1b328201ccb2f18114ec
com.github.bingoohuang	delayqueue	0.0.17		b82898128cc6f23bb441a283d0b3add50927498b
com.github.bingoohuang	delayqueue	0.0.18		9638ea8beaeb4290954f1b67df0e07313205c3ed
com.github.bingoohuang	delayqueue	0.0.19		a02599de74dc2e5261e8f171a96dfce4bd6bfaea
com.github.bingoohuang	delayqueue	0.0.2		700cd47f2d0b1f88ec98c05300a77c27598aa305
com.github.bingoohuang	delayqueue	0.0.20		9aaee6cbabb7abdad2d9b2211eccd189da14f7d3
com.github.bingoohuang	delayqueue	0.0.3		08459cf5d3d8d39440dd85c9816e6911d0845ced
com.github.bingoohuang	delayqueue	0.0.4		ff9b5e942854c7c802d1a3b10621056a420ec794
com.github.bingoohuang	delayqueue	0.0.5		5675a9e6e078f04974b3c54563c8e96367868547
com.github.bingoohuang	delayqueue	0.0.6		059216cd206ece5f621aaf266d7894f8a88b2fbb
com.github.bingoohuang	delayqueue	0.0.7		3d8e8426544322c2a41bec2b36e580fea42647b3
com.github.bingoohuang	delayqueue	0.0.8		28619a91206d18a53f4fb6a77fca6a7e1ae870e9
com.github.bingoohuang	delayqueue	0.0.9		1c361a0d22b9a1f25901873448ac9169fc06354a
com.github.immuta.hadoop	spark-tools_2.12	3.1.1-hadoop-2.7		a20e525fc100735517a2ddd20ca12b909d853c0a
com.github.j-mie6	parsley-cats_2.13	0.1.0		20805d5b3906fed0840de8f5c406b7c44b7f758f
com.github.j-mie6	parsley-cats_2.13	0.2.0		714246450de97201f995e5635d8cd8b3f20571d3
com.github.j-mie6	parsley-cats_2.13	1.0.0		7ebc1407456e9bd126a0bb3b06617de9f2363298
com.github.j-mie6	parsley-cats_2.13	1.1.0		0956af355a5355de92eedeaf26e4fc091875d9d5
com.github.j-mie6	parsley-cats_2.13	1.2.0		fe797cc298695d0ae312d57f1dfc7678a082d906
com.github.j-mie6	parsley-cats_2.13	1.3.0		a9a6f1c30bf07b455004e174db33f2693e079d92
com.github.j-mie6	parsley-cats_2.13	1.3.0-M1		5a3f0bbc17597f5abd7eb255a74c125fba34c362
com.github.j-mie6	parsley-cats_2.13	1.4.0		b0bd12d7760c48391fc031af502460216ab1e79b
com.github.j-mie6	parsley-cats_2.13	1.5.0		0018ca1ce5cf91004db68111780368b059726bec
com.github.lolgab	scala-native-crypto_native0.4_2.12	0.0.1		10df01dccf1ce05664896cea169a3809bfa54247
com.github.lolgab	scala-native-crypto_native0.4_2.12	0.0.2		ca927f07f0691338eaf5fd5d547bbccf718f5094
com.github.lolgab	scala-native-crypto_native0.4_2.12	0.0.3		6188ce07b40dcc5c55274d274230f346aabe12a6
com.github.lolgab	scala-native-crypto_native0.4_2.12	0.0.4		e4f7af976a2161d7777aec211a96c3dd807bf604
com.josesamuel	ether-observable	1.0.0		3c60113babbadc891f88eb2bf902e690b187ea03
com.josesamuel	ether-observable	1.0.1		cf84f04ca2ab6bfab8a70ef3f1229bd98a4929a0
com.josesamuel	ether-observable	1.0.2		ef0693a6d4d57b2df42708ba4af43f0258f4440f
com.josesamuel	ether-observable	1.0.3		466e54d11b5376559b944acb2d626499c8aa611b
com.josesamuel	ether-observable	1.0.4		e8b7a8b5c090c0fe418e5a946f4b4f33465d5693
com.jwebmp.jre10	jwebmp-momentjs	0.58.0.21-RCTEST		1a752c3912f308badb36e860488a59863e8b3c7a
com.jwebmp.jre10	jwebmp-momentjs	0.59.0.14		f1cf82bb20a99cae13256c1a367d9cb9afe7aa0d
com.krrishg	kimage	1.0.0		015a03c3c8d44cd2a756881c2df3eb7e5546f04d
com.krrishg	kimage	1.0.1		fcf538f7961526b5dd5bd8799e1565868dea7a3e
com.krrishg	kimage	1.1.1		bd7ed87c7d52b3a890fa2434caa80e67f0ba7616
com.kumuluz.ee.fault.tolerance	kumuluzee-fault-tolerance-hystrix	1.0.0		9ee9d8f2ce7c44e7010afe2dcc3326dde1ba5296
com.kumuluz.ee.fault.tolerance	kumuluzee-fault-tolerance-hystrix	1.0.1		21c90a33a4cdd23373dc0d4c93f99f7a87d002cc
com.kumuluz.ee.fault.tolerance	kumuluzee-fault-tolerance-hystrix	1.1.3		f47915056bf1186878cbd3bac6228062064c42a0
com.kumuluz.ee.fault.tolerance	kumuluzee-fault-tolerance-hystrix	2.0.0		1ec4a479ba85d5b3b86e9777d5c08492422a40de
com.kumuluz.ee.fault.tolerance	kumuluzee-fault-tolerance-hystrix	2.0.1		214ef6b746a8a40b8b0c0f7fde9df606ddee36c3
com.kumuluz.ee.fault.tolerance	kumuluzee-fault-tolerance-hystrix	2.1.0		c85c52243c5ee54533790f121d2c8a3940280c3b
com.kumuluz.ee.fault.tolerance	kumuluzee-fault-tolerance-hystrix	2.1.1		56e241337d51fcb1d89aceeb84ef91f400aa9446
com.lihaoyi	upickle_0.27	1.2.0		d199face2720826246ecd3a3667bc894224185d4
com.lihaoyi	upickle_0.27	1.2.1		ef8de7e7c4eb6646f69bcaa8ecd04504dcb2639f
com.lihaoyi	upickle_0.27	1.2.2		8d69866afce4665afed3135c9c0462d74f3f5985
com.lihaoyi	utest_sjs1.0-RC2_2.12	0.7.3		c46129d772ce70bcb83bd963658fc9f800fa8f9b
com.mizhousoft.sdk	tencent-oss-spring-boot-starter	2.0.0		acbc362a0cfbf7d2e6297b70368132c28bb96067
com.mizhousoft.sdk	tencent-oss-spring-boot-starter	2.0.1		576c830eda9f1def6a74aa84743ad33a30aebbbc
com.mizhousoft.sdk	tencent-oss-spring-boot-starter	2.0.2		676b716fe720374e8bce7ce2ed0d7617c3e9f024
com.mizhousoft.sdk	tencent-oss-spring-boot-starter	2.0.3		e5f9651e305d9cbb8406ce0092e154c1a338d913
com.mizhousoft.sdk	tencent-oss-spring-boot-starter	2.0.4		1093956509b7a7358eecc5f0ede7eeaf41c214f9
com.mizhousoft.sdk	tencent-oss-spring-boot-starter	2.1.0		99fcf83327b4e52341e18e6bbec4905391c2064c
com.mizhousoft.sdk	tencent-oss-spring-boot-starter	2.1.1		cc666da9a6db10661f805dcdb4a53d8c3058c4f9
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.1.10		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.1.11		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.1.12		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.1.13		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.1.14		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.0		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.1		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.10		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.11		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.12		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.13		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.14		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.15		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.16		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.17		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.18		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.19		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.2		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.20		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.21		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.22		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.23		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.24		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.25		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.26		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.27		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.28		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.29		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.3		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.30		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.4		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.5		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.6		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.7		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.8		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.2.9		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.3.0		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.3.1		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.3.2		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.3.3		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.3.4		N/A
com.netease.nim	camellia-redis-proxy-spring-boot-starters	1.3.5		N/A
com.onpositive.aml	org.aml.typesystem.jsonschema	0.0.10		6508ce7cf1f598cbcd959e1330b3d460d50f18c7
com.onpositive.aml	org.aml.typesystem.jsonschema	0.0.12		0fe68b1a290f8646d7053c0097a5e8fe080c2262
com.onpositive.aml	org.aml.typesystem.jsonschema	0.0.8		d1169a476eedbeef8b515ceb9d51306d32760757
com.onpositive.aml	org.aml.typesystem.jsonschema	0.0.9		7e769f0a7d08fd24e021af819a8410bb3776da13
com.onpositive.aml	org.aml.typesystem.jsonschema	0.11		0d80afa5894614b586219085f14ca7b865a9961d
com.outr	perfolation-unit_2.12	1.1.5		2c11bdd7baa9da73ba8bb9ec9a536cc056b7bdde
com.outr	perfolation-unit_2.12	1.1.6		38611a3f8ed6da09653172909bcbc290d00ac882
com.outr	perfolation-unit_2.12	1.1.7		cfa33ed5a16a1b893cb6660f3e4d39da0afb92cf
com.outr	perfolation-unit_2.12	1.2.0		9996a23b347b2d5e90cef1b7cdbf0943e948c9ba
com.outr	perfolation-unit_2.12	1.2.10		13f30e4daeed75e213974a5e0e8f8ce08c6f36f5
com.outr	perfolation-unit_2.12	1.2.11		18abb389e0f5486bb3530356d13e1ac93d22d952
com.outr	perfolation-unit_2.12	1.2.12		e86cee95b5bb03cd2af103626615e61105966519
com.outr	perfolation-unit_2.12	1.2.2		58b50514aab83b89a97b48287a287ed66d93ee0e
com.outr	perfolation-unit_2.12	1.2.3		f50b133336f5e1105ee0b29639ef6125bb61b1a7
com.outr	perfolation-unit_2.12	1.2.4		ae5e8e045dec4c9e0af040b863672cd3829092bb
com.outr	perfolation-unit_2.12	1.2.5		338f8b73bc2087fd58199a14f83fdedea96d7a09
com.outr	perfolation-unit_2.12	1.2.6		9c8370948ac774abddcbc95496c3b85d2aaec9af
com.outr	perfolation-unit_2.12	1.2.7		73e8d4c88c58f2eb6f9b9a155a07d50564d97fc0
com.outr	perfolation-unit_2.12	1.2.8		5feaef1f4e1484dd0c3ea3088e5428eea09c5a20
com.outr	perfolation-unit_2.12	1.2.9		48176e18f0c502dc3812d706c6df899cc85ae622
com.permutive	fs2-google-pubsub_2.12	0.10.0		eb74be1eab2de362450168364032defa166a5b48
com.permutive	fs2-google-pubsub_2.12	0.11.0		a94e0f6acc0bcfc97c533c3abf17ff2a63c8a8ff
com.permutive	fs2-google-pubsub_2.12	0.12.0		059b3650d3d7fec7d3ad9e7485f4834e1f83cf93
com.permutive	fs2-google-pubsub_2.12	0.13.0		a4ea04b5e5896e44cec52ab79bde3da03797b196
com.permutive	fs2-google-pubsub_2.12	0.13.1		4fb1055f4c2857403c5d5cc4d42aa911c438ce53
com.permutive	fs2-google-pubsub_2.12	0.13.2		b5f7332f68769a5e7d9c141d77d8aac41cc41ccf
com.permutive	fs2-google-pubsub_2.12	0.14.0		9203257fd02602c7c1317e68c031d7c4abf885b6
com.permutive	fs2-google-pubsub_2.12	0.14.0-M1		69281a4a88d4f72deefe64971fdd2ae86f168bc9
com.permutive	fs2-google-pubsub_2.12	0.15.0		1f25e57739795571f4d12b82d5417b5cfdf99a29
com.permutive	fs2-google-pubsub_2.12	0.15.0-M1		bd836f8b49973a41deb99657a120510f0200e878
com.permutive	fs2-google-pubsub_2.12	0.15.0-M2		e98135c1d1ff352e6cda843dde35012352287824
com.permutive	fs2-google-pubsub_2.12	0.15.0-M3		9782d84f2429c18481c13ef8083c3a5db43fd2a5
com.permutive	fs2-google-pubsub_2.12	0.15.0-M4		22e9a18f8b6e3b497333fd4d0c518ba853a6ec0c
com.permutive	fs2-google-pubsub_2.12	0.15.0-M5		efe9f6839af1e13ba072f4c3121155c40f884d4e
com.permutive	fs2-google-pubsub_2.12	0.16.0		abe0194572e208f38e382e7ea71866d59b98200e
com.permutive	fs2-google-pubsub_2.12	0.16.1		192b44721abd19e16d097fd0ed82a37f6994059a
com.permutive	fs2-google-pubsub_2.12	0.17.0		959d4787ed130a8b946f8adb97b2ba584c82f66f
com.permutive	fs2-google-pubsub_2.12	0.18.0		81162a722575c4b31d99e5d64761ea2f4f534f67
com.permutive	fs2-google-pubsub_2.12	0.18.0-M1		2eae3d2e0ee469ce4d3f3de59244785c439794e8
com.permutive	fs2-google-pubsub_2.12	0.18.0-RC1		405f8cb98bd91d5e540dd98b61ef480a4afd160c
com.permutive	fs2-google-pubsub_2.12	0.18.1		0c96c1fdb06eba131cfd64d3f541e2338a22460e
com.permutive	fs2-google-pubsub_2.12	0.19.0		2945972bfcbe6946658e0be6151d0d86e5b92405
com.permutive	fs2-google-pubsub_2.12	0.19.0-RC1		00d3d8aa1496adc37a7b80dfe897d5306f556dd4
com.permutive	fs2-google-pubsub_2.12	0.19.0-RC2		d0ac72186eec6fc03311e614ba2331b313d493da
com.permutive	fs2-google-pubsub_2.12	0.20.0		289472c834b54d919064ec4b385b88936ad4dd38
com.permutive	fs2-google-pubsub_2.12	0.21.0		cd0f29bc53022be084ec878c86b16c2bf4a51245
com.permutive	fs2-google-pubsub_2.12	0.22.0		850f81c19f871011d6d3afd2f0d554583a2809e3
com.permutive	fs2-google-pubsub_2.12	0.22.1		45e02c380045622fe1e4b870d7dbb61382d3df0c
com.permutive	fs2-google-pubsub_2.12	0.22.2		a18dd23ac56635753956f1b63ed52bb2f879115b
com.permutive	fs2-google-pubsub_2.12	0.6.5		b7ff1b5cc50343a153ac0f59de2e0cd128db91c3
com.permutive	fs2-google-pubsub_2.12	0.6.6		6f4dae39cfcb48cded8c4101ce2d9f26121d6adb
com.permutive	fs2-google-pubsub_2.12	0.6.7		f2f6b529d6809ffbb716305f0c594b800adf1785
com.permutive	fs2-google-pubsub_2.12	0.7.0		7ddb6dc4dd1b842d09f716cd1bf3918e9466a372
com.permutive	fs2-google-pubsub_2.12	0.8.0		c4e2310610180f8d165cf060f56353c70e2c026c
com.permutive	fs2-google-pubsub_2.12	0.9.0		e1419f500ba94cecee4fbe816637802942e4ceae
com.sourcepoint	core-iossimulatorarm64	0.0.1		N/A
com.sourcepoint	core-iossimulatorarm64	0.0.1	metadata	e0f1fd0de3ee9607be22501b72f78f15f51f8025
com.sourcepoint	core-iossimulatorarm64	0.0.10		N/A
com.sourcepoint	core-iossimulatorarm64	0.0.10	metadata	342ae561913ad1f35ba03bbcac046c428329bee9
com.sourcepoint	core-iossimulatorarm64	0.0.11		N/A
com.sourcepoint	core-iossimulatorarm64	0.0.11	metadata	40a517c07fd97bf6153cb0776ba9409e6ea1b5e8
com.sourcepoint	core-iossimulatorarm64	0.0.2		N/A
com.sourcepoint	core-iossimulatorarm64	0.0.2	metadata	2f1440ffcc4b3085ceb70769ecba3a4f4fca835a
com.sourcepoint	core-iossimulatorarm64	0.0.3		N/A
com.sourcepoint	core-iossimulatorarm64	0.0.3	metadata	df98475756c89595bd2275d8c266717e21122afd
com.sourcepoint	core-iossimulatorarm64	0.0.4		N/A
