ba.sake	kalem-core_2.12	0.0.1		9cc2848bfa1f804a422726c70ab5fef31abe446e
co.cask.cdap	WikipediaPipeline	5.0.0		9006745773782c4983d62fc26ec020e3fb341457
co.cask.cdap	WikipediaPipeline	5.1.0		770e35429107d40865a8555bc9d31a7a7ed93a06
co.cask.cdap	WikipediaPipeline	5.1.1		62285881c63df0f1f7de2b82232e5c2272fc0029
co.cask.cdap	WikipediaPipeline	5.1.2		cea8adab7ad4dc5836eb8a10875de7fe884460f5
com.bybutter.sisyphus	sisyphus-bom	0.0.1		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.1-M5		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.1-M6		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.11		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.12		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.12-M1		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.12-M2		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.12-M3		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.13		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.14		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.15		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.16		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.17		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.18		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.19		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.2		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.20		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.21		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.22		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.23		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.24		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.3		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.4		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.4-M0		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.5		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.6		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.6-M0		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.6-M1		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.6-M2		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.6-M3		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.7		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.8		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.9		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.9-M1		N/A
com.bybutter.sisyphus	sisyphus-bom	0.0.9-M2		N/A
com.bybutter.sisyphus	sisyphus-bom	1.0.0		N/A
com.bybutter.sisyphus	sisyphus-bom	1.0.1		N/A
com.bybutter.sisyphus	sisyphus-bom	1.0.2		N/A
com.bybutter.sisyphus	sisyphus-bom	1.1.0		N/A
com.bybutter.sisyphus	sisyphus-bom	1.1.1		N/A
com.bybutter.sisyphus	sisyphus-bom	1.1.2		N/A
com.bybutter.sisyphus	sisyphus-bom	1.1.3		N/A
com.bybutter.sisyphus	sisyphus-bom	1.1.4		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.0		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.1		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.10		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.11		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.12		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.2		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.3		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.4		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.5		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.6		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.7		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.8		N/A
com.bybutter.sisyphus	sisyphus-bom	1.2.9		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.0		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.10		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.11		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.20		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.21		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.22		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.23		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.30		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.31		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.32		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.33		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.34		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.35		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.40		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.41		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.42		N/A
com.bybutter.sisyphus	sisyphus-bom	1.3.50		N/A
com.bybutter.sisyphus	sisyphus-bom	1.4.0		N/A
com.bybutter.sisyphus	sisyphus-bom	1.4.10		N/A
com.bybutter.sisyphus	sisyphus-bom	1.4.11		N/A
com.bybutter.sisyphus	sisyphus-bom	1.5.0		N/A
com.bybutter.sisyphus	sisyphus-bom	1.5.11		N/A
com.bybutter.sisyphus	sisyphus-bom	1.5.20		N/A
com.bybutter.sisyphus	sisyphus-bom	1.5.21		N/A
com.bybutter.sisyphus	sisyphus-bom	1.5.22		N/A
com.bybutter.sisyphus	sisyphus-bom	1.5.23		N/A
com.bybutter.sisyphus	sisyphus-bom	1.5.30		N/A
com.bybutter.sisyphus	sisyphus-bom	1.5.31		N/A
com.bybutter.sisyphus	sisyphus-bom	1.6.0		N/A
com.bybutter.sisyphus	sisyphus-bom	1.6.10		N/A
com.bybutter.sisyphus	sisyphus-bom	1.7.0		N/A
com.bybutter.sisyphus	sisyphus-bom	1.7.10		N/A
com.bybutter.sisyphus	sisyphus-bom	1.7.11		N/A
com.bybutter.sisyphus	sisyphus-bom	1.7.12		N/A
com.bybutter.sisyphus	sisyphus-bom	1.7.13		N/A
com.bybutter.sisyphus	sisyphus-bom	1.7.14		N/A
com.bybutter.sisyphus	sisyphus-bom	1.7.15		N/A
com.bybutter.sisyphus	sisyphus-bom	1.7.20		N/A
com.bybutter.sisyphus	sisyphus-bom	1.7.21		N/A
com.bybutter.sisyphus	sisyphus-bom	2.0.0		N/A
com.bybutter.sisyphus	sisyphus-bom	2.0.10		N/A
com.bybutter.sisyphus	sisyphus-bom	2.0.11		N/A
com.bybutter.sisyphus	sisyphus-bom	2.1.0		N/A
com.bybutter.sisyphus	sisyphus-bom	2.1.10		N/A
com.bybutter.sisyphus	sisyphus-bom	2.1.20		N/A
com.bybutter.sisyphus	sisyphus-bom	2.1.21		N/A
com.bybutter.sisyphus	sisyphus-bom	2.1.22		N/A
com.codecommit	shims-effect_2.12	1.3.0		4495ba5217abf59becce130be6df023eb7a00dd2
com.codecommit	shims-effect_2.12	1.3.1		d1bddf225cd8a535d17756fd123ab3933f493165
com.codecommit	shims-effect_2.12	1.4-c449598		31d4b961f99e0f250de487fe4318ed1cffb8de5d
com.codecommit	shims-effect_2.12	1.4.0		2fb27b6194871a7b0c68271e671fcc088b2561ad
com.codecommit	shims-effect_2.12	1.5-abcb3e0		3dfcac33b61392d34b83e80549edd269cbc29b30
com.codecommit	shims-effect_2.12	1.5.0		a6a13f66588121b87a51984bca53b6c2a7afe27d
com.codecommit	shims-effect_2.12	1.6.0		4060dd204f840a08a2204cb777f64f7794df3187
com.codecommit	shims-effect_2.12	1.6.1		5153e9ead6e3cc5857493c89d2b5acc0ec3a2da2
com.codecommit	shims-effect_2.12	1.7.0		b9aecc869ef12a96cae7aad713734efade91268c
com.codecommit	shims-effect_2.12	2.0-b07462c		5422d6aeb9c9b77343c4dafca46921b7f594a3e3
com.codecommit	shims-effect_2.12	2.0-f7d011a		a5cbc43d94e2f1350809cfa35a5d027d17fe8fff
com.codecommit	shims-effect_2.12	2.0.0		d2e3600432e034682f635baae538287d30b9dd33
com.codecommit	shims-effect_2.12	2.1-1aafef6		b8b9b79880628d270453cfc1ebf300933f046557
com.codecommit	shims-effect_2.12	2.1-5b1126a		ba077a2a6d66fee64f21ab06cc816e91a9a6eb29
com.codecommit	shims-effect_2.12	2.1.0		204baaba1140625bec87a432290e6623c6ec86db
com.codecommit	shims-effect_2.12	2.2.0		9a0495eba7feef77ed8d0baf001ae2c78081c7ed
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.1		N/A
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.1	metadata	c5c26fea3941a85940b438ce5930e7d30e62dee1
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.2		N/A
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.2	metadata	cfacd6adc657e065852c21b19af4f245ec910122
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.3		N/A
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.3	metadata	b59fc3b10bfb7878681ce99889650bd74fda8d92
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.4		N/A
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.4	metadata	5b4ba837ea81b62a236cab39746927bfb09b489a
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.7		N/A
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.7	metadata	eeba485f8651bb28735af7db02a8ba998ec2af71
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.8		N/A
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.8	metadata	fa16dfd20a9ce38bc952f8ba4296a5031b43c333
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.9		N/A
com.ensody.reactivestate	reactivestate-android-test-tvossimulatorarm64	6.0.0-preview.9	metadata	ecec00c7ad03e1d4ff369a8ab9d73c66346ff8a0
com.fpliu.ndk.pkg.prefab.android.21	jsoncpp	1.9.5		N/A
com.github.dirkraft	clip	1.0.0		b6c8a090b53e0af8da5708f18b290b69466fa5e8
com.github.jjYBdx4IL.utils	vmmgmt-utils	1.0		3207deeb2ad6fbd66b54570bb5e328e49c296883
com.github.kentico	delivery	3.0.0		56e79d02fe14b3cb35b22ee25b59d027f3b8a738
com.github.lizhiwei88	easyevent	0.1		N/A
com.github.lizhiwei88	easyevent	0.1.1		N/A
com.github.lizhiwei88	easyevent	0.2		N/A
com.github.lizhiwei88	easyevent	0.3		N/A
com.github.os72	protobuf-java-util-shaded-3-11-1	0.9		cbcf1c81f7a37f14378defd0fcf99bc22cf37aa1
com.github.ryanp102694	java-simple-quadtree	1.0		2bd6e461472762512d84ae8df330585274efd767
com.github.ryanp102694	java-simple-quadtree	1.0-RELEASE		13b7a0e0fe96e6d22368f8ddc00ce8fc94f2d867
com.github.wisdommen	1_14_4_R1	1.0.0-RELEASE		9f60431473f0497552bf915bd291ab3742919e42
com.github.wisdommen	1_14_4_R1	1.1.0		9e0fb89cc0abe63b26f5e6c0672ab319fd146f48
com.github.wisdommen	1_14_4_R1	1.1.1		73517ca9dc9637fb5aa64dc1c65ee7ebff19d6ee
com.github.wisdommen	1_14_4_R1	1.1.3		ea5f13b552aa3531c2ba7064124c9feaf3f42bb8
com.javaguns.roses	kernel-s-demo	8.1.2.1		N/A
com.javaguns.roses	kernel-s-demo	8.1.8		N/A
com.javaguns.roses	kernel-s-demo	8.3.0		N/A
com.javaguns.roses	kernel-s-demo	8.3.1		N/A
com.javaguns.roses	kernel-s-demo	8.3.2		N/A
com.javaguns.roses	kernel-s-demo	8.3.3		N/A
com.madgag	org.eclipse.jgit.http.test	0.10.99.0		69ae298eb1b9a930f4f511a4824f5d96361b4065
com.madgag	org.eclipse.jgit.http.test	0.10.99.3-UNOFFICIAL-ROBERTO-RELEASE		db4c69f04f1c84a0b96bc76d787c772b987a3dd3
com.madgag	org.eclipse.jgit.http.test	0.10.99.5-UNOFFICIAL-ROBERTO-RELEASE		806d201ad98881f3eb5fd00803dfb008e67b046b
com.madgag	org.eclipse.jgit.http.test	0.10.99.7-UNOFFICIAL-ROBERTO-RELEASE		6702b1f1c13391bb61a23fc2f75a5898a1e82d87
com.madgag	org.eclipse.jgit.http.test	0.11.99.4-UNOFFICIAL-ROBERTO-RELEASE		7aeec60b0407a5d0d64a94bbd1e84cccae7c39b6
com.madgag	org.eclipse.jgit.http.test	0.8.3-UNOFFICIAL-HARMONY-6637-FIX		8983fe5c42047e9ecce9ddc20a2532cab5993552
com.madgag	org.eclipse.jgit.http.test	0.8.4.1-UNOFFICIAL-BUILD		5f855a0b8789aea27a2b4e338eb33ccd6127c43f
com.madgag	org.eclipse.jgit.http.test	0.9.9.1-UNOFFICIAL-ROBERTO-RELEASE		f41151059b6f312dfbaf7fcdc9163d5b053d6e32
com.madgag	org.eclipse.jgit.http.test	0.9.9.2-UNOFFICIAL-ROBERTO-RELEASE		c04c7b45d45f56d9f6c4c6d55c65cbb728b02e73
com.madgag	org.eclipse.jgit.http.test	0.9.9.5-UNOFFICIAL-ROBERTO-RELEASE		61e7fc1e0f1e5aaca7c33642d9ea725c0e050f34
com.madgag	org.eclipse.jgit.http.test	0.9.9.99.2-UNOFFICIAL-ROBERTO-RELEASE		4658edca9a72db56b5bf174a9f1100efef417475
com.madgag	org.eclipse.jgit.http.test	1.0.0.0.1-UNOFFICIAL-ROBERTO-RELEASE		8524606ee80422afa3b05883e50f90198479c4cc
com.madgag	org.eclipse.jgit.http.test	1.0.99.0.1-UNOFFICIAL-ROBERTO-RELEASE		e96e95658d5a79220dc85cc5abf2fb8a5b4347f7
com.madgag	org.eclipse.jgit.http.test	1.0.99.0.2-UNOFFICIAL-ROBERTO-RELEASE		4010e83622d69959ccfcaf22f95e8bd20600142b
com.madgag	org.eclipse.jgit.http.test	1.0.99.0.3-UNOFFICIAL-ROBERTO-RELEASE		f7e0954df22227cf530d470027b57b4d65b3e6ce
com.madgag	org.eclipse.jgit.http.test	1.0.99.0.6-UNOFFICIAL-ROBERTO-RELEASE		9bafc39086721233fb5cfe89f21b28a68c3b2640
com.madgag	org.eclipse.jgit.http.test	1.0.99.0.7-UNOFFICIAL-ROBERTO-RELEASE		3dc16490a54dc7b0ef23760fdc3389337757b52b
com.madgag	org.eclipse.jgit.http.test	1.2.0.0.1-UNOFFICIAL-ROBERTO-RELEASE		24a1948b21a6f4984445562056861f0493b3d921
com.madgag	org.eclipse.jgit.http.test	1.2.0.0.2-UNOFFICIAL-ROBERTO-RELEASE		fcefb4b41a011d39def1de1e0064686e86f0c41d
com.madgag	org.eclipse.jgit.http.test	2.0.0.0.1-UNOFFICIAL-ROBERTO-RELEASE		ae820e91b0df528a9a0318541cd17b86f732a82c
com.madgag	org.eclipse.jgit.http.test	2.1.0.0.1-UNOFFICIAL-ROBERTO-RELEASE		cffaa24a85814fbeddd5e53f32bc3dcdb5b5b62d
com.madgag	org.eclipse.jgit.http.test	2.2.0.0.1-UNOFFICIAL-ROBERTO-RELEASE		a5ce3d9ffe97ae075d9b41d74277f4c9d454e305
com.madgag	org.eclipse.jgit.http.test	2.2.0.0.2-UNOFFICIAL-ROBERTO-RELEASE		da82f18c407b6609b978733d99df5c7dc8103b75
com.madgag	org.eclipse.jgit.http.test	2.3.1.0.1-UNOFFICIAL-ROBERTO-RELEASE		751f67ec2113ee487f27c0e6c0964a901f425fa7
com.madgag	org.eclipse.jgit.http.test	2.3.1.0.2-UNOFFICIAL-ROBERTO-RELEASE		dbef7523b1e5de338e342537484d8f952a3958e3
com.madgag	org.eclipse.jgit.http.test	2.3.1.1.0-UNOFFICIAL-ROBERTO-RELEASE		fc1c7566b6ee59aea8119f8eae176b0b43acf805
com.madgag	org.eclipse.jgit.http.test	2.99.99.0.0-UNOFFICIAL-ROBERTO-RELEASE		c4e273e7f9f36a76198f946bf60f2465112e4fc4
com.madgag	org.eclipse.jgit.http.test	2.99.99.1.0-UNOFFICIAL-ROBERTO-RELEASE		ccbd7b74eaa505c4bd12194753d43907dd9a818e
com.madgag	org.eclipse.jgit.http.test	2.99.99.2.0-UNOFFICIAL-ROBERTO-RELEASE		829356320f1772b56193438aa7b063f94808aa25
com.madgag	org.eclipse.jgit.http.test	3.2.0.0.2-UNOFFICIAL-ROBERTO-RELEASE		1052c55a28246f2d49af7b138f28147788fd5f8d
com.madgag	org.eclipse.jgit.http.test	3.4.0.1.0-UNOFFICIAL-ROBERTO-RELEASE		b6c6d7a00bc40fa434d8f7421713b3c313901e2b
com.madgag	org.eclipse.jgit.http.test	3.4.0.1.1-UNOFFICIAL-ROBERTO-RELEASE		17a7d179b83080fceb575cdfc64f511d9be3b1e6
com.martinkl.warc	warc-hadoop	0.1.0		5a2417e9519c52c872cbd51189664fff1d874f52
com.ning.jdbi	jdbi-metrics	1.0.0		a2176fa421280f2a61501d6e6a265f8a5d76ffb9
com.ning.jdbi	jdbi-metrics	1.0.1		a387b016d74e4a5005c11c238b8c4367221bb329
com.paypal.android.sdk	data-collector	2.10.0		062aa700e306420b9927bed5870018fa0f805c3e
com.paypal.android.sdk	data-collector	2.11.0		0ea92fdaa3c613e54e2f81d5b0fd31c7a83eff07
com.paypal.android.sdk	data-collector	2.12.0		b9cbeb0b37e07bf48ec150c135ce9a1c9e6c2c1b
com.paypal.android.sdk	data-collector	2.13.0		a1684a4013790cbfa5dffbf699e65fbc72d4faa5
com.paypal.android.sdk	data-collector	2.13.1		9e7ce541ee1eb9bfcd6fedbf02f5b7a252164edc
com.paypal.android.sdk	data-collector	2.13.2		f5c44fb90a946cf935705f2e2a08058df5f5e95a
com.paypal.android.sdk	data-collector	2.14.0		2e6b946f480b28c68ce73fce4b2ef69a2546c1ab
com.paypal.android.sdk	data-collector	2.14.1		d31c98313d68657572b1ee3a85d5488f18e026f1
com.paypal.android.sdk	data-collector	2.14.2		7ee1f2e56c7236310d532e1f33f7bd944a2dd8b4
com.paypal.android.sdk	data-collector	2.15.0		d02e11c664ce7b298acd907d0b18b49322a9edfa
com.paypal.android.sdk	data-collector	2.15.1		de32851870a1bce1d7d3478d46ece0c0dd4ae5ad
com.paypal.android.sdk	data-collector	2.15.2		N/A
com.paypal.android.sdk	data-collector	2.16.0		N/A
com.paypal.android.sdk	data-collector	2.17.0		N/A
com.paypal.android.sdk	data-collector	2.18.0		N/A
com.paypal.android.sdk	data-collector	2.18.1		N/A
com.paypal.android.sdk	data-collector	2.19.0		N/A
com.paypal.android.sdk	data-collector	2.2.0		a602f8785751eab4c75d020bdbdfbe03abf45bf4
com.paypal.android.sdk	data-collector	2.2.1		86baf27a471387d965bc6987845809a35bbe9408
com.paypal.android.sdk	data-collector	2.2.2		7616fec1ebbef0437d3c5fad8f806394f972e0db
com.paypal.android.sdk	data-collector	2.2.3		b7a2742a4195e5a0dce6374d95c98dd28e47ef92
com.paypal.android.sdk	data-collector	2.2.4		d07c0d086d53e486a4f8564f0727280961094ee0
com.paypal.android.sdk	data-collector	2.2.5		c5970e356d69fd18b151cd203978eb11294acd39
com.paypal.android.sdk	data-collector	2.20.0		N/A
com.paypal.android.sdk	data-collector	2.20.1		N/A
com.paypal.android.sdk	data-collector	2.21.0		N/A
com.paypal.android.sdk	data-collector	2.22.0		N/A
com.paypal.android.sdk	data-collector	2.3.0		e802ed10de3d3e5c16f3c1e48860e38834a8d9dc
com.paypal.android.sdk	data-collector	2.3.1		6d6aee657a90ca43222ae9c46b0057ce86738273
com.paypal.android.sdk	data-collector	2.3.10		ff63d581161e49d5dcc6f28eaeb8acd3356027c7
com.paypal.android.sdk	data-collector	2.3.11		9515fe4ad796758541c7a7a485d0d7019935adf4
com.paypal.android.sdk	data-collector	2.3.12		956e7d3e8b1b883acda2cfd1c547dc0ac2bda5db
com.paypal.android.sdk	data-collector	2.3.2		259b17a5173d2aa9249aaf6e45411f49be755649
com.paypal.android.sdk	data-collector	2.3.3		2d31c763b69c5f75995012334786a7e59ffdd855
com.paypal.android.sdk	data-collector	2.3.4		f58833234c059a5d0307403460b93884c720060d
com.paypal.android.sdk	data-collector	2.3.5		8d3ae16dee504337ac8014778bb423f4c4408821
com.paypal.android.sdk	data-collector	2.3.6		1a0e2e9305e636c80cb9a5baf723938b5048d196
com.paypal.android.sdk	data-collector	2.3.7		bbf9c5fb9c3623bfe2dc42d0b582240b2ecc40f8
com.paypal.android.sdk	data-collector	2.3.8		606ce7e00b529853edbf24f9944b1532501ea93c
com.paypal.android.sdk	data-collector	2.3.9		71c2fb7b3e34c9370aed0b4cf1d24c84bc155094
com.paypal.android.sdk	data-collector	2.4.0		2deafdf5b55e133458fb77ae5951038988998755
com.paypal.android.sdk	data-collector	2.4.1		5ddb408161f153eb22681a133c5edc038da3b2d4
com.paypal.android.sdk	data-collector	2.4.2		72f2f5bd6b7efe9892d1098500510e3bfd83b1d5
com.paypal.android.sdk	data-collector	2.4.3		1bc657800071b93d53d228474bd75dfe766d87bf
com.paypal.android.sdk	data-collector	2.5.0		e526f50e1d10c29fcf145f141ecbcbd5d178e44c
com.paypal.android.sdk	data-collector	2.5.1		20335bb80bb2d8774145fc83448163ba5f965013
com.paypal.android.sdk	data-collector	2.5.2		9aaaf5af62681a2c7979eb6851c80829b3461e94
com.paypal.android.sdk	data-collector	2.5.3		749fca277bd8699799e94c330c68a7ff53333639
com.paypal.android.sdk	data-collector	2.5.4		171c622169243f89905781ba061db2ed62c86fd8
com.paypal.android.sdk	data-collector	2.6.0		f62806eeedf75068350014663038b19e71c08da8
com.paypal.android.sdk	data-collector	2.6.1		7a8ddf1600a3486d87e3259b85e6b6f1b678a943
com.paypal.android.sdk	data-collector	2.6.2		11a278c6a1873db6d91dcbf9449b7e97f6afddc6
com.paypal.android.sdk	data-collector	2.7.0		0ee65292d98c09732c158d659951681ac0e19b6f
com.paypal.android.sdk	data-collector	2.7.1		d9b1ac008c277c3761faca0bd89b48ea962094e4
com.paypal.android.sdk	data-collector	2.7.2		31fb7f8f70ab1d02acbfea0387ccf22a3a018d56
com.paypal.android.sdk	data-collector	2.7.3		86f1e9dc6961679e4e050dce30fe06cd0e309b69
com.paypal.android.sdk	data-collector	2.8.0		10ed5be7abc4d4072a9d3df092a9fc71a8528db6
com.paypal.android.sdk	data-collector	2.8.1		86550329af1dd9c9cd4b1905e8f13510c1d0d8a3
com.paypal.android.sdk	data-collector	2.9.0		d7903c050e439368ca4a9e4b43d8a62e56d39073
com.paypal.android.sdk	data-collector	3.0.0		N/A
com.paypal.android.sdk	data-collector	3.0.1		N/A
com.paypal.android.sdk	data-collector	3.1.0		N/A
com.paypal.android.sdk	data-collector	3.10.0		N/A
com.paypal.android.sdk	data-collector	3.11.0		N/A
com.paypal.android.sdk	data-collector	3.11.1		N/A
com.paypal.android.sdk	data-collector	3.12.0		N/A
com.paypal.android.sdk	data-collector	3.13.0		N/A
com.paypal.android.sdk	data-collector	3.14.0		N/A
com.paypal.android.sdk	data-collector	3.14.1		N/A
com.paypal.android.sdk	data-collector	3.14.2		N/A
com.paypal.android.sdk	data-collector	3.15.0		N/A
com.paypal.android.sdk	data-collector	3.16.0		N/A
com.paypal.android.sdk	data-collector	3.16.1		N/A
com.paypal.android.sdk	data-collector	3.17.0		N/A
com.paypal.android.sdk	data-collector	3.17.1		N/A
