br.com.objectos	aws-rds-maven-plugin-it	0.1.0		02e28fb8201c46c8764c6ceda30f7b343c25ffbc
cn.herodotus.engine	nosql-core	2.7.5.0		c98b51f979391c8349d6fba8fadf8283185b1769
cn.herodotus.engine	nosql-core	2.7.5.1		38ae9d074070c740d7f4afa5e3bda5c399895ec7
cn.herodotus.engine	nosql-core	2.7.5.2		7da59961c9e182852b937409d2bde58592e5a55b
cn.herodotus.engine	nosql-core	2.7.5.3		b90f9e58bed32978c1617a15c6ef67def3fc6f93
cn.herodotus.engine	nosql-core	2.7.6.0		a6633108924a6c9aed7ee0564842600a6a47a897
cn.herodotus.engine	nosql-core	2.7.6.1		73a1812e67a041553427b574b58dac4e48ec07c8
cn.herodotus.engine	nosql-core	2.7.7.0		e91cecf2b91e0c7454a2284711794a60ecec5dff
cn.herodotus.engine	nosql-core	2.7.7.1		2bf9b7694b386a23757c7376f347bd55cfcf7313
cn.herodotus.engine	nosql-core	2.7.7.2		40733ed73d4ccf10426432d3a8c59a896414f918
cn.herodotus.engine	nosql-core	2.7.7.3		4f4f6a53caff4a4489198a84c81fd56ad9dc1ac0
cn.herodotus.engine	nosql-core	2.7.7.4		b998791c1bc17cabd115a8592efc168572c335ae
cn.herodotus.engine	nosql-core	2.7.7.5		547ef5047a68014370348d6d06ecafe0a79845c7
cn.herodotus.engine	nosql-core	2.7.8.0		ad34436f531992bb986112138bb103cc35580aff
cn.herodotus.engine	nosql-core	2.7.8.1		a034c794d7b0f38e4e58bfb69a4d686981830592
cn.herodotus.engine	nosql-core	2.7.9.0		9c30c2963f81051aa4460959d199dfc672c42499
cn.herodotus.engine	nosql-core	2.7.9.1		4c8fb5afdef450840fdc432ecd509ab3e54f33c8
cn.herodotus.engine	nosql-core	2.7.9.2		9c239b5e7b4787c7fbbe9239fbbb0546a5f78054
cn.herodotus.engine	nosql-core	3.0.0-M1		4934be5cd978009b11b17caeea0f97fcc4623871
cn.herodotus.engine	nosql-core	3.0.0-M2		e5156fb61bdd8303d4683ca456eb3e9b3f0249f3
cn.herodotus.engine	nosql-core	3.0.0-M3		06f4e9e44c1ab668dd7b88728988fa27b07791d9
cn.herodotus.engine	nosql-core	3.0.0-M5		79fa528c576569b5f0bec9c1a000e71287e52581
cn.herodotus.engine	nosql-core	3.0.0-RC1		71b730f285d20b5475afcb9d17107c88ddd42b0b
cn.herodotus.engine	nosql-core	3.0.0-RC2		08f2a6bc4157611374c40ab643c87138099d447b
cn.herodotus.engine	nosql-core	3.0.0-RC3		68ad83a52f712ad2f6affc3b8ec29a74fd0b0ad0
cn.herodotus.engine	nosql-core	3.0.0.0		47e7fca7d9eb82e7de9fe681d8f1afea09605ef9
cn.herodotus.engine	nosql-core	3.0.1.0		866b9ae89fff3d93c409d1b9872164ef7c2adb2d
cn.herodotus.engine	nosql-core	3.0.2.0		443323086bcc76d7c170eceb5b1777fbed99c328
cn.herodotus.engine	nosql-core	3.0.2.1		100ca57085dfe78cf85bc50f4e11b507a624965b
cn.herodotus.engine	nosql-core	3.0.2.2		4a505a4c3f425ec24b4bb35a3b1c5f8781efcc8f
cn.herodotus.engine	nosql-core	3.0.2.3		82664f8686c1c2d59a3449ea693af738faa2fe18
cn.herodotus.engine	nosql-core	3.0.3.0		47997211cd9600ca229ad2f5d0a075bd56aeb193
cn.herodotus.engine	nosql-core	3.0.4.0		1a1f1fdaf645c41231b16242bb7fcc6f758772b4
cn.herodotus.engine	nosql-core	3.0.4.1		5500983ca88d2e93d18babe2b6aba74e22ee0bc9
cn.herodotus.engine	nosql-core	3.0.4.2		9c5af2015b872a52a5839371fee90263a25b5383
cn.herodotus.engine	nosql-core	3.0.5.0		4ed9a00a03d66f04ca477b07fd3a83397e92027f
cn.herodotus.engine	nosql-core	3.0.5.1		f0ac016505ea3397ad63f40f51e4378c1ccc1ac7
cn.herodotus.engine	nosql-core	3.0.5.2		6b0cc6c6e4a66ac3c5323b2b06c31772756338f1
cn.herodotus.engine	nosql-core	3.0.5.3		103d5ad3b168021a7f07a9babad3ec98a50d19c7
cn.herodotus.engine	nosql-core	3.0.5.4		b0adc20ccfecdefaa5e520a05c600d4938837bd1
cn.herodotus.engine	nosql-core	3.0.5.5		1884ec7769c7861c816ab1fe00c3f1132434e4db
cn.herodotus.engine	nosql-core	3.0.6.0		da365e429a0bfb8f0d1f190e398db2458575fdf3
cn.herodotus.engine	nosql-core	3.0.6.1		3c9adfdab9242b258b06ed4886644bac90eececc
cn.herodotus.engine	nosql-core	3.0.6.2		68800750c4c1fe38cbc4a04b709c76af81b5ad01
cn.herodotus.engine	nosql-core	3.0.6.3		6f2eb9072be1e10c97eec696da95971df1ef7ed5
cn.herodotus.engine	nosql-core	3.0.6.4		37788531cad042a3f75300118da373b456fb8a31
cn.herodotus.engine	nosql-core	3.0.7.0		72cca5944763ae96418ad6f056e589a9ce3dcdc6
cn.herodotus.engine	nosql-core	3.1.0.0		e6ab2c4bb617c6216c232e2de927259cfd10d1ca
cn.herodotus.engine	nosql-core	3.1.0.1		a1165fca5b6e1d5855f297472be7d913fe4f53f1
cn.herodotus.engine	nosql-core	3.1.0.2		75a6623c49c9d493e180aa06e090798825dd43a9
cn.herodotus.engine	nosql-core	3.1.0.3		a9311791f8a2e3074e00db2257651bd74983979a
cn.herodotus.engine	nosql-core	3.1.0.4		0a1d125146de61539e644281c82af47cb0af6ae5
cn.structured	structure-mybatis-starter	1.0.1.RELEASE		a298735f9137929ba19294c3d1c5158a00fa7c59
cn.structured	structure-mybatis-starter	1.1.0.RELEASE		4d5942ecbff7a9c39e2a2aacf66f36a5856686e0
cn.structured	structure-mybatis-starter	1.1.2.RELEASE		a09bf3e53e5a0152d4aa40f6bdc125c919912cec
cn.structured	structure-mybatis-starter	1.2.0.RELEASE		d071c1ff52bd68774b4dfd424a96c7d7f13f9bb8
cn.structured	structure-mybatis-starter	1.2.1.RELEASE		f1b13ec61b2606fafcbe5ee097fa986570b919ba
cn.structured	structure-mybatis-starter	1.2.2		6b3f6b6df58ce7d5e18a1bf108351aeb5ee39094
cn.structured	structure-mybatis-starter	1.2.3		a51e5feff2ebe1618e5fa480af286b4bf51d390e
com.actionsky	txle-client	2.19.10.0		09618d4027df586740830922fa8e109fd42ef055
com.actionsky	txle-client	2.19.11.0		86a4e5132d7f6c5419652906722bc3fe5f472f75
com.antgroup.antchain.openapi	openapi-ak_aafd16538edd4fc0ab50acd01355adb6	1.0.0		ee2576d97998267f12c476ca484429ef29d72e37
com.antgroup.antchain.openapi	openapi-ak_aafd16538edd4fc0ab50acd01355adb6	1.1.0		cd37d1d225dc49608cdc7acd0a379b5685ed67f8
com.antgroup.antchain.openapi	openapi-ak_aafd16538edd4fc0ab50acd01355adb6	1.1.1		af2b957f13ddb236b628c00d67e4632fc7a16645
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.0.0-beta.3		7114ac9021174a0199e136974ea19a962fcb8e79
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.0.0-beta.4		041b89b4120ebaeb5e8e7d1e7abe1b50c2871420
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.0.0-beta.5		cc5c28466a5ed7ae7f872d0fe3c30146d7395e3a
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.1.0		d1265928f0bedd5c382b1a3996269f213de0fa75
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.10.0		d561622f9fd116330a6052f524718aabaf7c019c
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.11.0		461f0645a006ad740df0bc4067fbaa27f9bf5e6c
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.12.0		8c369e1f5f3147854bfcc70204c5a53a2e357b72
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.13.0		fac240cb3ca30a5b1802df20157fc339bd5850b7
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.14.0		8c5d8efce38333617331fd9315554dbffe2949e1
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.15.0		0f174d8cf894963b8fc924a84668537a2416447a
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.16.0		5d5f094ca4d085b434f1ad854d27f7d58b319942
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.17.0		9b3f3118ea89fea2cf64ac303ee05ce5f50f496f
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.18.0		0b868ba3f26760d28c15b198c3e247cd755442ab
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.19.0		6a39b78b4eabbe1dbafbce8ba97ac4436afa3da7
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.2.0		bf049f6d4333d131058f115e2bdd4673e9d46e97
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.20.0		5057db97dd2612020fe96957f774765cd179222d
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.21.0		8d54a7845e88b44ad4e0c6aec5861cbd72fc5aa8
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.22.0		984e3680d43b3b7bb0efbcd54f4820d315d26e7b
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.23.0		5fa15b701be8ed6ca9694390ce900941418254a7
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.24.0		5413ce50b162a273af9d0ef3ff2790aa05b994f8
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.25.0		6cba60e89c9172f5c4ae98283d20c648955cc83f
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.26.0		815e982248c5a2e5331e43d0d6ca300faaec32ab
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.27.0		2b71ccf60851501a3b160e02cbfae4fb8764e8c8
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.28.0		0b7c960edeefa8e08c589795386c0ed51795987c
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.29.0		1515b1a4823ff0db8c6f1f74c0e49e1372466bdb
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.3.0		62d304ce8558def2f5c20c301f7c5ae266ad59f5
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.30.0		97edac40ee984ee4226f7d3d569617b8e300fab2
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.31.0		a7ef9af0e5bfbb4a254268ba832f4ddde937b462
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.32.0		f294cf4aa4aa5a00cde63cfaa51f328e12dbc613
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.33.0		631297c9cc04cbe41bfd23b21eb80987c81e53c3
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.34.0		888b34583f3b808830d4463f43423dc1afa9ea5e
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.35.0		bd559858a98b33547700aaa5d7792ac7628acead
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.36.0		46a87a61b30dbc31b44ceaecf848c24b9730e519
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.37.0		93f3f619b83f8a11e848010e66a89af234d1d360
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.38.0		fd71b9c578a3203f66bcd208795c06f380e8dfef
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.39.0		9c74ad70e14f779b205e1c7615a18e2c54e7b4df
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.4.0		7110d063aed0cc79a2f774ecbc898d0f41f636d1
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.40.0		5f8417e1a72c78aade9ff0f64bad164faa6f8582
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.41.0		de0821076ec6d3e66b6f5dee27bd93bdfeba756e
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.42.0		fdf470c3d5c5c1cf18e3a6ab0edb2c94cbb03ef8
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.43.0		30f64cbb95ed565b1c3a03f76e70d73bb25e239b
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.44.0		d12aa523ac3766801b558d92a40191b3493da313
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.44.0-beta.1		ecd3fbe66124dc0a205b6f8842b303129c418522
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.45.0		c19033deb8a46e2501c15988eab012904114bbe9
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.46.0		5cf9eb82bbd052dc21617d765dd3418f1fbae99a
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.47.0		8e12eac42495a0400198a6d11fbcfb3b967dd73b
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.48.0		682e6d97e8af6f775c6f5513582a343806b87a2a
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.49.0		8b53b18d96e7b3d6aa5b650cc10f9ebebd4d2756
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.5.0		0dafbbd0d45eebf70a8d56f5ccfd75bce8b00344
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.50.0		00ffb9d665fbb5b6ecd4f5a8dd8b69302f8df1af
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.6.0		acebe13808f9d0e22e49982adb652ac92ebd8824
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.7.0		7eb4caba7a7836e60bc88f3fa2fe498aedac2c45
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.8.0		7ac69c9a69b83f2287136099223236ba53954e5d
com.azure.resourcemanager	azure-resourcemanager-containerinstance	2.9.0		ca967a7ff4e96a00041f08217e6ee771bbcf052a
com.catchpoint	cp-trace-lambda-layer	0.0.10		aeeebda5b3ad9e537a970034395cb3a1475edb28
com.catchpoint	cp-trace-lambda-layer	0.0.11		26a384cf889163f17690569ec60df303838f3127
com.catchpoint	cp-trace-lambda-layer	0.0.12		a43f6265dbd7cb1920fab98553a28c977f833d51
com.catchpoint	cp-trace-lambda-layer	0.0.13		dbbb581e5681a85d65afaa588f06fa3976df1ed4
com.catchpoint	cp-trace-lambda-layer	0.0.14		f77bd3519685f0456633667a541e12f2eee900de
com.catchpoint	cp-trace-lambda-layer	0.0.15		18b0ea218aad1d54c401aab9ad756cbfec2f1035
com.catchpoint	cp-trace-lambda-layer	0.0.16		558c216298e43e15068b1a4a5d2ca5e3b49e7670
com.catchpoint	cp-trace-lambda-layer	0.0.17		2517c40be6a0116f160116cac784877cf35b2aac
com.catchpoint	cp-trace-lambda-layer	0.0.18		c8a4aef581cf15984cb9f9d3308d1790884140cb
com.catchpoint	cp-trace-lambda-layer	0.0.19		4164e081924c8ede19dc30750d198f34a630d51e
com.catchpoint	cp-trace-lambda-layer	0.0.20		41bcb5e35d28f9e62e2d00da30f60298fa9d9f9b
com.catchpoint	cp-trace-lambda-layer	0.0.7		a142a82bfe6f8e94c89468791e4db470f468c799
com.catchpoint	cp-trace-lambda-layer	0.0.8		8c2cd7f2162f530d945ee51f64771088594d493c
com.catchpoint	cp-trace-lambda-layer	0.0.9		767c792145866a30b506595bc0e713e851dce0e6
com.cedarsoft	osgi-validator-maven-plugin	1.0.0		154f78794683bd67c32bbcfb4368ea107a97b23a
com.cedarsoft	osgi-validator-maven-plugin	1.0.1		2a5b47c8023a54e0588a2e886ba13060f7e09e74
com.cedarsoft	osgi-validator-maven-plugin	1.0.2		bd9d5950272365f2526242e1e7d9a10b715596e2
com.cedarsoft	osgi-validator-maven-plugin	1.0.3		29ca4d7444afa773f1af6ce3ad4583bf2c965a34
com.cedarsoft	osgi-validator-maven-plugin	1.0.4		39f70b06b17624abb088d92f34b7b7d8f0c1791b
com.cedarsoft	osgi-validator-maven-plugin	1.0.5		652e6911d83c24f8d32b1cc87ce85bf8477af7cb
com.cedarsoft	osgi-validator-maven-plugin	1.0.6		c5a5da424b205bf53186bb6396b986824143c582
com.cedarsoft	osgi-validator-maven-plugin	2.0.0		ccb03778dd961d1fa72e708817be77daa876ed96
com.cedarsoft	osgi-validator-maven-plugin	8.1.0		4ff64504e0a37f69e1ca3f1f8e46961ca30b465e
com.cedarsoft	osgi-validator-maven-plugin	8.1.1		af363e8c653a4f8991e82bf12641ec887aac283c
com.cedarsoft	osgi-validator-maven-plugin	8.2.0		d0fba59c6fcc32575a0931d1decb20e2f417df49
com.cedarsoft	osgi-validator-maven-plugin	8.2.1		f6cc7aaec7963ec9a9dba6865c536eeb9a89b6ff
com.cedarsoft	osgi-validator-maven-plugin	8.3.0		2231c8f9189b4dafcab27f23b00c917dae33e13c
com.cedarsoft	osgi-validator-maven-plugin	8.3.1		b3faa6fd2963818639943c9434640302067dbab2
com.cedarsoft	osgi-validator-maven-plugin	8.4.0		93737f3c366493e6397055872aeb5ac730ca923f
com.cedarsoft	osgi-validator-maven-plugin	8.5.0		74e2b7dbd092fccf8e69a13878a07720c0f6c319
com.cedarsoft	osgi-validator-maven-plugin	8.5.1		48e652c9f6834444e002c42fc6f6de1651fe6dd7
com.cedarsoft	osgi-validator-maven-plugin	8.7.0		d4f246778ee39ffad55d68314f349b3649d43dc4
com.cedarsoft	osgi-validator-maven-plugin	8.8.0		f985009cf6688d8cacedca6d72be10540f9d466c
com.cedarsoft	osgi-validator-maven-plugin	8.8.1		d1705ccb86fd6f052424d41c5a44fe435007e084
com.cedarsoft	osgi-validator-maven-plugin	8.9.0		fea6db32e0a4ec3de36724af5c731975506d18d2
com.dilivva.ballastnavigationext	annotation-jvm	3.0.0		7cc3bb6a1f0b07f905f483da2cfcf4e596869fed
com.dimafeng	testcontainers-scala-cassandra_2.13	0.34.0		1707a579cb57ac38c351127864ccbc1c13270cb6
com.dimafeng	testcontainers-scala-cassandra_2.13	0.34.1		e6e8361fe9b82740deb9eae45d66d7e5015eef87
com.dimafeng	testcontainers-scala-cassandra_2.13	0.34.2		436175e108f90c330bc68d1402d390d6f6c1a751
com.dimafeng	testcontainers-scala-cassandra_2.13	0.34.3		1500da36dde1d26c373ac70eec3c5a5881540e0f
com.dimafeng	testcontainers-scala-cassandra_2.13	0.35.0		3e226dea445c360432edde826e9837275969b585
com.dimafeng	testcontainers-scala-cassandra_2.13	0.35.1		941123ab0e7fcb5ae3f7faa12f927b804e26b424
com.dimafeng	testcontainers-scala-cassandra_2.13	0.35.2		a856981a00f5f57e224989420dc5716d355d20ba
com.dimafeng	testcontainers-scala-cassandra_2.13	0.36.0		9ca7fc2dec9416f6d2f98178f2e2bcac895f6d64
com.dimafeng	testcontainers-scala-cassandra_2.13	0.36.1		aa145275a99ff94593a2517678807e346ac0e68c
com.dimafeng	testcontainers-scala-cassandra_2.13	0.37.0		2a377bb99788c6e15ab5a2cda609f0b4454dab71
com.dimafeng	testcontainers-scala-cassandra_2.13	0.38.0		4af4c67559fea1e08dc223c6b10bf1ed7f22658d
com.dimafeng	testcontainers-scala-cassandra_2.13	0.38.1		ed43a1fa1caa8d2f8100b15a322b441bf481fa92
com.dimafeng	testcontainers-scala-cassandra_2.13	0.38.3		d0b451344139898cb6d8b20c9fe0e9aa07a76b0e
com.dimafeng	testcontainers-scala-cassandra_2.13	0.38.4		90fc414f25973e907b52ac0a723ae5493ec4796a
com.dimafeng	testcontainers-scala-cassandra_2.13	0.38.5		9edcdd6e1787616308fbf9ef7b434230c8845175
com.dimafeng	testcontainers-scala-cassandra_2.13	0.38.6		26947a5909b61f22b638bc3e4fcc1165aa3a6b51
com.dimafeng	testcontainers-scala-cassandra_2.13	0.38.7		f01dc612fe11bf508649548424a27feead81eab2
com.dimafeng	testcontainers-scala-cassandra_2.13	0.38.8		ef59984bf538db295a0c19799629586246a26165
com.dimafeng	testcontainers-scala-cassandra_2.13	0.38.9		d0ba56c22b026159ee7dcfecd25f855a5c30141a
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.0		116e13d379cd340d06ffbb96d20895d7f407dc4b
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.1		f304f21756819e7fea3c2db66b993b8ae88bb8cc
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.10		5e7397476bcaa33cf073544c88a44d7bd12b996d
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.11		224313481573158554b100a41afdbe5dfd7badd6
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.12		022b42d373e6a254d06be19c210e20da55151336
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.2		02f0909cd09aa5c0a00cd8acadf7b94e122695ca
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.3		ba584917b0b639d494a7c65f1a293986c3ebb95f
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.4		2a7b29349b40b682ca4688def674b2e109b9d9f6
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.5		63e95f64e22681adaab63bedce8da58134abbf4c
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.6		eb75952bf50311a25697212c23f68a7a4afbdbdd
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.7		55a5ea15e10b9fc946d19e1ce40631da301d8455
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.8		843d48a11868beb599adef099407307d3ac4c1cb
com.dimafeng	testcontainers-scala-cassandra_2.13	0.39.9		6a86a0883b599035051d5250d28b861991f1d713
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.0		2e1865443c2aabde76b2b58a69613aba60157dc4
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.1		46bf3630f06c080b429f6bb5de661d4986c1b259
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.10		2e2dae0e3ff0d2afd922f27b61c951ffe234ca88
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.11		62bb69aafb8533fcc73a5f60eec14bc5d6887244
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.12		7bd0737b670e4effe3d7c281c3b17807e676a5bc
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.13		2da7f87140bbbc02742ac580d81041971f0f763c
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.14		32d08dc4c73d4718ac8e54a784bceacd3e074b1c
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.15		1755284aa329fe5a61ccb9564e9a46aef3cf6c4d
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.16		c457632e3471190baa470b420390b3348d53e6fe
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.17		c857b9006405b022fd9ddd6e6d3d65606abc1ca6
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.2		317ec1f4e2b6150af1bd2169030a41683d4c7722
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.3		6a8575f3f02b687ee3151a8d61d9bc96422d8eb3
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.4		98e08a91beeb9aa156c7391eebe5b15d1cd2c68b
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.5		e887d33422ad99770d7158326ae6525ea64bc565
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.6		1a23c82865045649ea075d310c43780ab96fe863
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.7		b1ce39491d580596670871573014d3a20f9fdafd
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.8		39b2b6479e6d18378d122f4310c428ffcc1bc8e0
com.dimafeng	testcontainers-scala-cassandra_2.13	0.40.9		9ae6fd2555203dca2f51095ce762c1076765654e
com.dimafeng	testcontainers-scala-cassandra_2.13	0.41.0		54ecaf36ec2283c4d18cd55cb1b761156f3670f0
com.dimafeng	testcontainers-scala-cassandra_2.13	0.41.1		962854309d3490f2dafc51457f143ffcc4541aef
com.dimafeng	testcontainers-scala-cassandra_2.13	0.41.2		85b66ab52332e4c110c4740566f23f77070a89c1
com.dimafeng	testcontainers-scala-cassandra_2.13	0.41.3		433ba11c4645a191b338a79dec386d238e4ae58d
com.dimafeng	testcontainers-scala-cassandra_2.13	0.41.4		292cf3a617dd9cbf05d4ab620aeb0f824e8f0cf8
com.dimafeng	testcontainers-scala-cassandra_2.13	0.41.5		0f0c57233ab26d3c68e00f9aa14050246f244374
com.dimafeng	testcontainers-scala-cassandra_2.13	0.41.8		c1d2da87c75c931f9e8f8d316bf12ffdcb69491d
com.dimafeng	testcontainers-scala-cassandra_2.13	0.43.0		41c5889357fd4424410a873cfc413020e3bef40d
com.dimafeng	testcontainers-scala-cassandra_2.13	1.0.0-alpha1		42531c51c70a01294ea6eaf816c6d8506ef7cab5
com.gilt	lib-newrelic-logback_2.11	0.0.12		9cc75d8e0a5cb524472eea2ee3f60cfc2c682f2f
com.gilt	lib-newrelic-logback_2.11	0.0.13		776d2c630978a27cede74f4aee3714ce97d981f5
com.gilt	lib-newrelic-logback_2.11	0.0.14		a4968240c18b2add0e77690f8b8d8a8a5fa068f9
com.gilt	lib-newrelic-logback_2.11	0.0.15		07bdd0aebc140d9b9afddb9dcc96398ff11246cd
com.gilt	lib-newrelic-logback_2.11	0.0.16		3afad50bec3fcf54ac9a7464541e25e497a2536a
