at.released.wasm-sqlite-driver	sqlite-binary-api	0.7		a31eaf44cea1975b7a4b49dfbf78ddd6dfcce1a6
com.agorapulse	gru-grails	1.0.1	groovydoc	9627ac115a3b855c15c0de268faf3a4eb07a8f3a
com.agorapulse	gru-grails	1.0.2		411c1c86bee30196ccbec2cbafc9824594769819
com.agorapulse	gru-grails	1.0.2	groovydoc	0020cbb922caa27e71b754b7f0fe8c0770a3f0d5
com.agorapulse	gru-grails	1.0.3		b96b43eb3a17749a6f033ce0eac785f7143f51e5
com.agorapulse	gru-grails	1.0.3	groovydoc	bf599f83708f14b89e582be265a1254b0825edad
com.agorapulse	gru-grails	1.0.4		40a8947ec538e0bfd942182d98e32ecaf7f81eb4
com.agorapulse	gru-grails	1.0.4	groovydoc	3f42e944711666afb22310b60104524bb36a41d2
com.agorapulse	gru-grails	1.1.0		98c9b627b51f538e589706080c2e27021d5d4b60
com.agorapulse	gru-grails	1.1.0	groovydoc	4b4237bc8b7095880413f59c012b30bbf0cf1aac
com.agorapulse	gru-grails	1.1.1		6eba9cc13f240b27cec348e888692dd9e3d5cc6f
com.agorapulse	gru-grails	1.1.1	groovydoc	6621f34e05242e482fa503c138277b18b792c835
com.agorapulse	gru-grails	1.1.2		fb6c1f1cd5096b2fe9bab25371b1702d4e650690
com.agorapulse	gru-grails	1.1.2	groovydoc	120d34119a1d9f68cec7355439f192d6e43d55fb
com.agorapulse	gru-grails	1.2.0		132cf857ccd20de56a4d335f9261645073555074
com.agorapulse	gru-grails	1.2.0	groovydoc	7e48daadfa61c888c174ff79bf28053fe684f214
com.agorapulse	gru-grails	1.2.1		f3f704bf3d649bcfe53a5ca53e42967a23c1880f
com.agorapulse	gru-grails	1.2.1	groovydoc	e5f4b8266e9c86e2f9641dcec5231ff196447d0a
com.agorapulse	gru-grails	1.2.2		ef55b1418f4a1fc2c464d32d86ca8ed2ad2be58f
com.agorapulse	gru-grails	1.2.2	groovydoc	07348d0ab8176eb44c3b3c63edad5b8ce6f9ae44
com.agorapulse	gru-grails	1.2.3		e9601ab4af936314d82df325f4068db5ee6d388e
com.agorapulse	gru-grails	1.2.3	groovydoc	e016cc9a4eee0084cdf67cd73dfaa66e6181cf52
com.agorapulse	gru-grails	1.2.4		f358ce2b9487ec9bab9634b5a2890aa5c202aa19
com.agorapulse	gru-grails	1.2.4	groovydoc	88558666108a1575f599e0d1191e81a263ff4eac
com.agorapulse	gru-grails	1.2.5		d3c19c3e0e88f4e1dfaa37703fa61ea4d5675a9d
com.agorapulse	gru-grails	1.2.5	groovydoc	3c17fa66388eeb88e0090de5892baabf9d2849e8
com.agorapulse	gru-grails	1.3.0		bc8ec923ab982287561e233b4dd845d61e5d17c7
com.agorapulse	gru-grails	1.3.0	groovydoc	6300debbac10359bd8bba5b1293d279f9cef5bb6
com.agorapulse	gru-grails	1.3.1		c535afc59457bf9d73ba3cd794085d82e0fc65d3
com.agorapulse	gru-grails	1.3.1	groovydoc	6f1c733c1b6933688e3e52ddfda7f9005b45f1dc
com.agorapulse	gru-grails	1.4.0		4fa2f06902f350f8ec8c7cdd878d725e303298d4
com.agorapulse	gru-grails	2.0.0		0525a7cc0e53dcc7fd114fabc50322af3f9339ce
com.agorapulse	gru-grails	2.0.1		1bf8902e228ea1f51e7104e6d8a7259ce87fa2c1
com.agorapulse	gru-grails	2.0.2		40b6200e0d3b7d758b0fdf7d01b1e1563f943f0f
com.agorapulse	gru-grails	2.0.3		fb2c985ed916e1396d4f3fecfa379e1084a34320
com.agorapulse	gru-grails	2.0.4		32b855e50169b2f66df0c9c19654279b31a4d302
com.agorapulse	gru-grails	2.0.5		09565919d049c25dd48f68aad6a0499ef3b8efd7
com.agorapulse	gru-grails	2.0.6		15e48f0464c6e059d03357aae8b5f98edd06305e
com.agorapulse	gru-grails	2.1.0		08307476bdcbcae2e644f6e0ebc37e779a83e07f
com.agorapulse	gru-grails	2.1.1		6b71f34b7c8839a016be7aa072b808c059ee73ca
com.agorapulse	gru-grails	2.1.2		939011a04f426d4dd01e9fdd14736c297f5dc89e
com.agorapulse	gru-grails	2.2.0		d5ecd7fa1f319fe392cc692c884ecfa6c71b9310
com.arthenica	smart-exception-logback	0.2.0		ff8b4c8b16358a7a27ae1ef649c0db9417c9a810
com.arthenica	smart-exception-logback	0.2.1		8ff530129873382d1b064b14196077cfb8d3c529
com.axway.ats.framework.utilities	ats-s3-utilities	4.0.3		f808fb2be54ef6c406bff75f6d541b1c9d4e9217
com.axway.ats.framework.utilities	ats-s3-utilities	4.0.4		f3209be7ccafb6e456de9963902d410538e010d5
com.axway.ats.framework.utilities	ats-s3-utilities	4.0.5		2795024774fba1dc37c3d6d379f9e592081826bf
com.axway.ats.framework.utilities	ats-s3-utilities	4.0.6		75cc12b4936b026b65ce08b3af98522cc7229fc1
com.axway.ats.framework.utilities	ats-s3-utilities	4.0.7		d940ef96d3a170f707f6cc2968467a33956eed9a
com.axway.ats.framework.utilities	ats-s3-utilities	4.0.8		15e0ca112a8b311a043407455b714f442a3eb29d
com.cxytools.all	cxy-tools-all	1.0.1		0b411a1667fc7b780efb5fc681f048a6ea908846
com.epam.drill.interceptor	http2-linuxx64	0.4.1		N/A
com.foursquare	common-thrift-base	1.0.0		83d0aa62ce9fb8cba1ed842a8b9f9f165a8cfa8e
com.foursquare	common-thrift-base	1.0.1		e7685b0a0dccff79eb3f07764c1c0c0390f90a90
com.foursquare	common-thrift-base	1.1.0		ac3e99226f4f20cdddf36fff195948ce3fdebb74
com.foursquare	common-thrift-base	1.1.1		263a67572d02dac1488ebf41200f6f1afd6f05d1
com.foursquare	common-thrift-base	1.2.0		55dadcd549a0a85fb8d989f00d8b4fd643299e28
com.foursquare	common-thrift-base	1.3.0		f30d61ff4b127ff759fd22c9d915e98e4bf640c3
com.foursquare	common-thrift-base	1.4.0		832f23fec2939c0c7f078a472aca1562ef91ea86
com.foursquare	common-thrift-base	1.4.1		a46166d876e6ee32307f62006522d9add0f72c09
com.foursquare	common-thrift-base	1.4.2		0c1371abbca7accd644f2cf86ed5193ff89a5140
com.foursquare	common-thrift-base	1.5.0		3340d18a31dc59fb7eb6c48be9ad10335d2c2217
com.foursquare	common-thrift-base	1.6.0		87cf42560af3aa7b9a90920f57dfc18da84fcd08
com.foursquare	common-thrift-base	1.7.0		d4a4dd8628f4f4e68203f7492a6edde5bc77e119
com.foursquare	common-thrift-base	1.7.1		7b19b38411b289e9ad462f89fc29a22ea7d3f972
com.foursquare	common-thrift-base	1.8.0		13e7bee1914a585bed5b75dcd6cdd24125328436
com.foursquare	common-thrift-base	1.8.1		b9db09b2c189e4aee91f6d069cad1109b103ef34
com.foursquare	common-thrift-base	1.8.2		9af5d8ef16d2376d956b98a35d773c409c863bca
com.foursquare	common-thrift-base	1.8.3		04e7e2903ac6b75fa2f2b3fdd64f5cc48c91e333
com.foursquare	common-thrift-base	1.8.4		62616102f0f1e30021a7d7051a819b7e686826fb
com.foursquare	common-thrift-base	1.8.5		b6c286227e5acb832d2ef957deba43ba7f000a76
com.foursquare	common-thrift-base	2.0.0-M1		111a512c64a21f054a4e9a9177ac293892ee0983
com.foursquare	common-thrift-base	2.0.0-M11-bootstrap		2ed2e0a5466a0bedaed016635fc6ea6a5a98218b
com.foursquare	common-thrift-base	2.0.0-M11-followup		b8409f2e4cd54ab7c81658b7ccffc94a1872315c
com.foursquare	common-thrift-base	2.0.0-M2		0b627d62e448d764de28945e5895b75dc910dbce
com.foursquare	common-thrift-base	2.0.0-M3		80f6c3dda19d7fe5558e09ce6a3b167087e2040c
com.foursquare	common-thrift-base	2.0.0-M4		05d9b96986e989e1429458f71979360f83aa1c2b
com.foursquare	common-thrift-base	2.0.0-M5		b9193c1c10f1f75561d6608b7614138dab06e399
com.foursquare	common-thrift-base	2.0.0-M6		22c82c99e7d2c1db712d6849db712ed0842f259b
com.foursquare	common-thrift-base	2.0.0-M7		d4c5d52b9474304d7574aba64c80eec9814cf869
com.foursquare	common-thrift-base	2.0.0-M8		661a73a4aea390fdc6c45ce189fa4affb891a019
com.foursquare	common-thrift-base	2.0.0-M8a		a9f0b4de1430bd7b27727c4ffe4ce1c142feb243
com.foursquare	common-thrift-base	2.0.0-M9		f983f451e33714a50f13bc234239de53705ab267
com.foursquare	common-thrift-base	3.0.0-M1		9bef457d9f470f363db0e539c8159e65509d898c
com.foursquare	common-thrift-base	3.0.0-M1.1		19ef47387500c2c0152b1aea3be81ea13a513627
com.foursquare	common-thrift-base	3.0.0-M1.2		3ed7af79b31ad65ab42112973e148ae541629506
com.foursquare	common-thrift-base	3.0.0-M10		85a949ac9c1ba5ac6840debb56968216df22516e
com.foursquare	common-thrift-base	3.0.0-M11		50dc62b3617dba5d41ca7ed7a304b87c6a641c0e
com.foursquare	common-thrift-base	3.0.0-M13		c8ec843026d7c7d433a19bcca1085cddedd8088d
com.foursquare	common-thrift-base	3.0.0-M14		4e46b7f1eb2d5eca877d34adda37687568647397
com.foursquare	common-thrift-base	3.0.0-M15		a18f879e199ba01f601d987746ef43309b8a9e5a
com.foursquare	common-thrift-base	3.0.0-M2		e90774d1c6dfc24603b1becf2df09452c80a95ef
com.foursquare	common-thrift-base	3.0.0-M2.1		aad6f9d17a7834c9443c7719f86c6824bcc96783
com.foursquare	common-thrift-base	3.0.0-M3		9d455def698c7d555225b343616258a37a53163c
com.foursquare	common-thrift-base	3.0.0-M3.1		e59671e5f1cdb74aff7d8cf014fe6c2c8744afb2
com.foursquare	common-thrift-base	3.0.0-M4		abd8d08ce18c49e8cf496b7fda102bff511f5a5b
com.foursquare	common-thrift-base	3.0.0-M4.1		a7ccc8157e59984da6b5ac07c0e9219323475ac2
com.foursquare	common-thrift-base	3.0.0-M4.2		6d55c333aa53ab4dfdc4e8794aee6eeb0b94cce9
com.foursquare	common-thrift-base	3.0.0-M5.1		b46a00dd79f9158da1d057db7fecb9cca74008c0
com.foursquare	common-thrift-base	3.0.0-M6		6d866223900e7660b33d61db85bc94d875f9cc25
com.foursquare	common-thrift-base	3.0.0-M6.1		c8be07778e4bede9c44f622dba6d93305ec90b05
com.foursquare	common-thrift-base	3.0.0-M7		8c3c723e40e3aeb8370d1e4f895dd85f28a33d08
com.foursquare	common-thrift-base	3.0.0-M8		1cc03e48d6ec56aad9682f5d099538869c6a07f8
com.foursquare	common-thrift-base	3.0.0-M9		5ed9ef9d86859b51ae226b45e37453ef7dbee420
com.github.canhuaqianchang	common-code	1.0-RELEASE		86a272f54eb15634771e973b85b706a36aaf2c75
com.github.fangjinuo.dmmq	dmmq-core	1.0.0		63cce63814da6faaaf35178f6dcd2e778a0e7b4e
com.github.ispong	spring-oxygen-boot-starter	1.0.0		28051e637608481f82d02afc18cc7db2d5ad0faf
com.github.ispong	spring-oxygen-boot-starter	1.1.1		2e60117dfbbe88627763e6d809d31558046c31c3
com.io7m.tabla	com.io7m.tabla.core	0.0.1		4c72cabfa876caf1051a660883ad22b23321a9e6
com.io7m.tabla	com.io7m.tabla.core	0.0.2		7aec9da38008696cbb2102661829da8b3de90223
com.io7m.tabla	com.io7m.tabla.core	1.0.0		8a788e0b541e773a7dd020b0ca864ed255f422a6
com.leegality.sdk	verifier	1.0.1-1		c182f40cfb6bcb5b630f71eedae899ca382c0007
com.lihaoyi	scalatags_3	0.11.0		61b8da0dbfeb1f88ccc084c1261c9af706447706
com.lihaoyi	scalatags_3	0.11.1		52398db81a5a52be4c68eb97b4a75428e80fb016
com.lihaoyi	scalatags_3	0.12.0		89191b502ec8813264a96d010b25ab391f3a9ee5
com.lihaoyi	scalatags_3	0.13.1		4addbf14c17960fd88eb84a1d8f450283e1932fa
com.nrinaudo	kantan.repl-sbt-site_2.12_1.0	1.2.0		f4081d388c5539e7aab713cac251031827c63cc6
com.sdklite.trace	gradle-plugin	0.0.1		78429ed6143aa805c7fd2c3e6742a12a5ca2d8be
com.sdklite.trace	gradle-plugin	0.0.2		0b488ff2ae20cd7b77783a10898c6a0fbaa2fd1a
com.sdklite.trace	gradle-plugin	0.0.3		513ad71cd3464f3c7a6629dffe55053941b1b60c
com.thycotic.secrets	tss-sdk-java	1.0		202f5e2a666aadcdb043fcbe1eb9aa4914ca5479
com.thycotic.secrets	tss-sdk-java	1.0	exec	016a7d6423640b26de1f5a37692ece819b132aba
com.thycotic.secrets	tss-sdk-java	1.0.1		1126d13ee66dccf43b35a1524281451710479df0
com.thycotic.secrets	tss-sdk-java	1.0.1	exec	7a81e294add6057722aa93bfad62c299dc0fd9e5
com.trasier	trasier-client-spring4	0.8.1		5e3f70050e8f858b9e83e431d21352a1d06a118b
com.trasier	trasier-client-spring4	0.8.3		fffe59a49d663dca95ff48f7e2a1349a2151fd88
com.trasier	trasier-client-spring4	0.9.0		25d3148eab76a5ab57adcb592b4428534443fd22
com.trasier	trasier-client-spring4	0.9.1		cedd54d63b4c48caecbfc0f3a97980524925a277
com.trasier	trasier-client-spring4	0.9.2		f1f9db0baf0a8f15879a1d4ef39b234edf6a2c88
com.trasier	trasier-client-spring4	0.9.5		a07bf3d26cec98e7225e958f2d78f214a07958b8
com.yahacode	hiddenblade-geo	0.1.0		15e3cbe5bb2e89f0231f4549bf2c1b0fb7c1ea82
com.yahacode	hiddenblade-geo	0.1.1		8ac8e11036272be00405f31530902da1a2af8685
com.yahacode	hiddenblade-geo	0.2.0		668870eddd562147081309eac282abda3becf99a
com.yahacode	hiddenblade-geo	0.2.1		9b24d4978b2de7afa151dd65d46bbae89884d770
com.yahacode	hiddenblade-geo	0.2.2		a56df9aea9e889fabbd4bf76b36c553042bd0a82
com.yahacode	hiddenblade-geo	0.2.3		e668b59860404f12241afa23def9ba7aea366cf5
com.yahacode	hiddenblade-geo	0.2.4		66af9e50198509113976314abbd47fe519b799aa
com.yahacode	hiddenblade-geo	0.2.5		eebcb86058fcc4bfddc07b7a8de863822a9d6f62
com.yahacode	hiddenblade-geo	0.3.0		2d325ce922ed72f3824af10f79514b5eec9418b2
com.yahacode	hiddenblade-geo	0.3.1		4d9aea740aa71b450426f0ce0bc6c623fd01d220
com.yahacode	hiddenblade-geo	0.3.2		d830d820a87a60d80ad379c66d6520051891a5fa
com.zeroc	icediscovery	3.6.2		7f4890cff4a51ea5008285a67d3efde6c8cbbcb8
com.zeroc	icediscovery	3.6.3		5797a3e80c2c0f6323fd8d437924935fcd88dccb
com.zeroc	icediscovery	3.6.4		9b02714923865182c98d0d463364e5100cbac07d
com.zeroc	icediscovery	3.6.5		5b7c4117401605fcef68c6c8148529b2a2f2fd35
com.zeroc	icediscovery	3.7.0		85dc853dd4d7041a62486675f2a45c3b9016b997
com.zeroc	icediscovery	3.7.1		9de5f2172060311c49024578506cbce0a5629861
com.zeroc	icediscovery	3.7.1-1		049c39308a27b7a21758e60d453f92d96b0e4ceb
com.zeroc	icediscovery	3.7.10		0c49b56caaf02155778ecdf600c23a224e3d97fb
com.zeroc	icediscovery	3.7.2		1446e27f916f28122cc8005c963f2dcaf48e2b29
com.zeroc	icediscovery	3.7.3		76232e6f4c5284b0689abaa5324c04837afbf4e9
com.zeroc	icediscovery	3.7.4		88b213ec1e7fb005eedaa747d9a0b0667db03952
com.zeroc	icediscovery	3.7.5		5d0fb37cb19c57c5f565a721e9bc911d6b855d11
com.zeroc	icediscovery	3.7.6		d75966d0572c00e0be9cd53bc105967d5b894872
com.zeroc	icediscovery	3.7.7		8e232578d411314409f21dd24f94992647bbf9b0
com.zeroc	icediscovery	3.7.8		27c0324eac987e9df721aad108e5d2c3d1a114c7
com.zeroc	icediscovery	3.7.9		18b9e71331669dddbfd6f4e00387049afc61548e
de.sciss	scalacolliderugens-api_0.27	1.19.8		8c172b32826225eade0dbb129af68899e99cf124
de.sciss	scalacolliderugens-api_0.27	1.20.0		cb31c4f885abc3fa0e72ceba6fdcba8326e29472
dev.binis	code-generator-spring	0.1.0		5109d09f8a0bf6374174f6b0d5c540ead097e3ea
dev.binis	code-generator-spring	0.1.1		676f0431c3d6ac8daba7b9fa9a27f2cc6d58e0f7
dev.binis	code-generator-spring	0.1.10		c3de42e20a995674abf27e85237eadbf1493e91c
dev.binis	code-generator-spring	0.1.11		376c10361aaf350b5c9586b0c691b2c82d8afdb4
dev.binis	code-generator-spring	0.1.12		86e7c55af4381c5b0b4297db3a6cb09a2c25db0c
dev.binis	code-generator-spring	0.1.13		7e44a9cebe5890d1e1be99cb18f6a756c76863d3
dev.binis	code-generator-spring	0.1.14		481d6f445fbe552abed1dd676a577d60811b13f5
dev.binis	code-generator-spring	0.1.15		31eb8ea40db27a08e8069158f733fb66a08ab5e3
dev.binis	code-generator-spring	0.1.16		eed9725a2c3805910674bc1ca0e9762150d2a015
dev.binis	code-generator-spring	0.1.17		47714328182cfc9693b2f66aacb66afa62fba83e
dev.binis	code-generator-spring	0.1.18		b1e95bd9e85dbd086731ff31bb26c622ef8e6d5f
dev.binis	code-generator-spring	0.1.19		f174a50869e61961ab941fc240ec85796caf16c7
dev.binis	code-generator-spring	0.1.2		3d054c5ebf84b0c306d2c956d74e190c0f66a64e
dev.binis	code-generator-spring	0.1.20		b8f9d5d29d215b256da571aacfdf903bbb515111
dev.binis	code-generator-spring	0.1.21		b7e686d46e2996102bc1015122a0e896a2c9260d
dev.binis	code-generator-spring	0.1.3		0c3423701716713d0dc482566f12f345935bc6ac
dev.binis	code-generator-spring	0.1.4		49cc9c217a6115973b68861682ba8b630fbfa15c
dev.binis	code-generator-spring	0.1.5		694e907bc95c09212a3e257b8a702efa710400d6
dev.binis	code-generator-spring	0.1.6		971d36f5807558d2eb1e9df81cf65630019ba1f0
dev.binis	code-generator-spring	0.1.7		d0a826ea0a0a8657d3a83593e018be053509a5c0
dev.binis	code-generator-spring	0.1.8		5e894bcc3e602d66aec1802bf46edc32fb698e32
dev.binis	code-generator-spring	0.1.9		56cc4792e0007a42c5b4e6adfb0814083db47dd9
dev.binis	code-generator-spring	0.2.0		5caf1678e56e1a70f6efef5a07cb351ea8c36a5a
dev.binis	code-generator-spring	0.2.1		e9b717ee487b373177b1fbde35f49a0cdf3c4b49
dev.binis	code-generator-spring	0.2.2		121bf635863e93b442db3922ff2496de80f53967
dev.binis	code-generator-spring	0.2.3		e42453ac54e468a0891275399974275900491225
dev.binis	code-generator-spring	0.2.4		bcb2d3fc8391adcda87d7ce23d9337d55c94c7d4
dev.binis	code-generator-spring	0.2.5		e4115902eb00080a5e97056994c1e3dcc0b569b9
dev.binis	code-generator-spring	0.3.0		038b87f99ecbc2f9d8b080c52c6eee3bfba08a1d
dev.binis	code-generator-spring	0.3.1		9e413312f6032c54066630d654d99c5459e9a096
dev.binis	code-generator-spring	0.3.10		3d0d4f9ba49073e330675c5279944fb48c864c3a
dev.binis	code-generator-spring	0.3.2		18375753e8d32c548c3593f88316aa16804eda40
dev.binis	code-generator-spring	0.3.3		317b0db2b3fd36bb0b1d44c70cbe7b6f83d39ecc
dev.binis	code-generator-spring	0.3.4		22bb4295dfccb3757f6e70c58d874321af823842
dev.binis	code-generator-spring	0.3.5		896d0fad6701c7642cc2d1f3acb7765e88b1f165
dev.binis	code-generator-spring	0.3.6		4b4f2edfda0daf93de58029fa0514e28af60627d
dev.binis	code-generator-spring	0.3.7		4940cc8782275d02396d90bfc46cf8506bcf76b9
dev.binis	code-generator-spring	0.3.8		3d885b2ee6bc3204dfc7384fb9449f3baefd4ba6
dev.binis	code-generator-spring	0.3.9		69c23f7db632aabf2c0952ed499edc446059cda7
dev.binis	code-generator-spring	0.4.0		f4dce32de79dde4e72fd40e68ad9389cb4af3b81
dev.binis	code-generator-spring	0.4.1		fbd902706a8943d7e9d11eef5c8b27aab5119898
dev.binis	code-generator-spring	0.4.2		fb256d739000a43ff295ae8d3d137d06292a94ef
dev.binis	code-generator-spring	0.4.3		8fa4c47d8d11be8a9a2e79c26066d3f0f7aa1e7b
dev.binis	code-generator-spring	1.0.0		6416c4aed5a168d760280aa445fc6ecb1dd3b33b
dev.binis	code-generator-spring	1.0.1		6bdf5f0aa51ab406e452118a37d42165775f09a5
dev.binis	code-generator-spring	1.0.2		57d5e1ca9d19e018dc924632d566b5bde4591162
dev.binis	code-generator-spring	1.0.3		8c9ff848fa48b01e99e7d7fb08c2e396427f0ea3
dev.binis	code-generator-spring	1.0.4		2598a3a8cb9b9df33d6968d0e7360def648e12ee
dev.binis	code-generator-spring	1.0.5		3c8985558d0f37238ae35a0d23538615434709ca
dev.binis	code-generator-spring	1.0.6		71e33f6f8badba2789db0eb6d69ac0f9e461941e
dev.binis	code-generator-spring	1.0.7		b5787745dfa58c33497da16464bc0a360bed3fc3
dev.binis	code-generator-spring	1.0.8		54189d2fe50db087d4b36d2ed52aafcb85892e38
dev.binis	code-generator-spring	1.1.0		712a4c5a7273253bf21e7879c9afd1651bf13eae
dev.binis	code-generator-spring	1.1.1		aa479b73f36e822bfedfd22aadd418c1c8dc8c46
dev.binis	code-generator-spring	1.1.10		4e3059174a29cb8c9b065657a8e0da4ac07c3344
dev.binis	code-generator-spring	1.1.11		aab4dc450954b3fe9a6ad1ab5327b8685e8995e0
dev.binis	code-generator-spring	1.1.12		a72c7495a07bdc9aa4fd6e9bcce7d2460eb3aa86
dev.binis	code-generator-spring	1.1.13		9b6ea28d8d8f76a43363c42bfecfd55d8a5c2c32
dev.binis	code-generator-spring	1.1.14		9524c42dac17df8fb25f5993528f0c2c46616e62
dev.binis	code-generator-spring	1.1.15		629d89e087042fde7a15386919fccbccef526e2e
dev.binis	code-generator-spring	1.1.16		de889d87f42d995e3371ab5da58c4cff2613c511
dev.binis	code-generator-spring	1.1.17		73db79b818b738e7a43db1a121224713a58e7727
dev.binis	code-generator-spring	1.1.18		ee5f68744f4cacad6b0de04bc82541d9705fccf5
dev.binis	code-generator-spring	1.1.19		f80e53da8ab130b8d2f055d35d62ffbad530288c
dev.binis	code-generator-spring	1.1.2		43b6265e155884fbd90dcc08e9f1f88dae27e3eb
dev.binis	code-generator-spring	1.1.20		62bcb7cf32fc3b93053e174dea790e3e0a5ddd90
dev.binis	code-generator-spring	1.1.21		56a13294ff13ab0114ef8f3aafa37efa691975df
dev.binis	code-generator-spring	1.1.22		adf35bd4971aa8e866895ad4692332ef3ebfa0cb
dev.binis	code-generator-spring	1.1.23		f2850862bc6f069ac979d6350722bbf71f32004f
dev.binis	code-generator-spring	1.1.24		ce40abf7c25e13017d3a4a11bdff8ac3f9a8199b
dev.binis	code-generator-spring	1.1.25		debab1a530b634563d14ce8ce6deae130cda1e6f
dev.binis	code-generator-spring	1.1.26		ed04a1cfa1ac7df2698c57177eb9bbed3481fa1f
dev.binis	code-generator-spring	1.1.27		d4c40d5a598004b490b588bd6d24bb2265beb896
dev.binis	code-generator-spring	1.1.28		bc331b2ad88f22ad9bc2f55a74b8cd92963109ae
dev.binis	code-generator-spring	1.1.29		4f9357c46eb8e25c9a614a874921c958c2a38420
dev.binis	code-generator-spring	1.1.3		32dfa180fdf4d44cca0f2aea55a46de879392af5
dev.binis	code-generator-spring	1.1.4		66ab342cc8f1b6268d5934f44d7677c559a84416
dev.binis	code-generator-spring	1.1.5		659062564673bcb2825f9c444b0925a5c8e73e06
dev.binis	code-generator-spring	1.1.6		a147f0346c16dc78088d54330b485cb14d5989ce
dev.binis	code-generator-spring	1.1.7		71fdb64f287ed8f26fe00dbd4904e5192f29ceca
dev.binis	code-generator-spring	1.1.8		d43181febfe5230bd771d85fdfe276cc9dedf060
dev.binis	code-generator-spring	1.1.9		edd6841993e15ca51095dc02b6742d23e3ff5ef8
dev.binis	code-generator-spring	1.2.0		f68e12095c8058bda2d0cd56dafb1b153c6e1388
dev.binis	code-generator-spring	1.2.1		2f6719446ab61a929ee1c3b567ad761a09a5d916
dev.binis	code-generator-spring	1.2.10		46817a13f66d1d554ca5387a854f2c8820cb60c5
dev.binis	code-generator-spring	1.2.11		a74dc7f5705edeff529a9f43e3af63ce948aa03d
dev.binis	code-generator-spring	1.2.12		8f1f71b3066ea75eaf1644e14bd8f97fda501c14
dev.binis	code-generator-spring	1.2.13		e8a33352dda14ab3c44780dbd7001b726d3d5d54
dev.binis	code-generator-spring	1.2.14		77af38a0e9534599d0d19b2e7e442a767e53b674
dev.binis	code-generator-spring	1.2.15		9a240d783c6d230359be0e0c1f8f3f0f18bbd22a
dev.binis	code-generator-spring	1.2.16		990ba2be06cdc52b426cf2a9e644022126f66657
dev.binis	code-generator-spring	1.2.17		f9be9a3ef7a64d948eae8208890087b73e27eb3d
dev.binis	code-generator-spring	1.2.19		7386d94e8c30d7c5a89f90a61bd616ee29c9bceb
dev.binis	code-generator-spring	1.2.2		472e8d7b0cc18dec89a7fc01f146d7d986054d40
dev.binis	code-generator-spring	1.2.20		3943adcf25f7512d9f5b50b0873471a81db8b92e
dev.binis	code-generator-spring	1.2.21		a4196cdf3b5ce8af9400c99e7825cf2562cd4227
dev.binis	code-generator-spring	1.2.22		6007c7aaaef6f607c692cceaa22f8dde2d630b95
dev.binis	code-generator-spring	1.2.23		74ecb43046494fd6d6a9711198d21b3ef50875b1
dev.binis	code-generator-spring	1.2.24		4127cf21b7779bc41e211498669ba4fc5d35075b
dev.binis	code-generator-spring	1.2.3		98ecf68aca16a64115cf105ff64a2aa6bc7ece37
dev.binis	code-generator-spring	1.2.4		bcf162b8d25b2e5ebb42c70236b427401637a76b
dev.binis	code-generator-spring	1.2.5		27073d37c9be82933f17df71d0935ac62106aa81
dev.binis	code-generator-spring	1.2.6		8912f58e0209111d2eaf412f262c9f3f4b731b4b
dev.binis	code-generator-spring	1.2.7		111b5786454a54f38ccd2276a8c4bc0c3062fcb5
