ch.dvbern.oss.commons-logging-mdc	dvb-commons-logging-mdc-parent	0.0.2		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-01-native-compose	metadata	900ef6395cfcc466d9dbf8b77fdae8dc11b11a4b
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-03-native-compose		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-03-native-compose	metadata	83e27bf50163912a1d545a13a590afbaa93026f4
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-04-native-compose		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-04-native-compose	metadata	6b2d7c0347ef9a66e4976d2e0a758e0fbb6a00a1
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-05-native-compose		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-05-native-compose	metadata	07882fe2977e281cd6fc8208f79feffa465e97d3
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-06-native-compose		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-06-native-compose	metadata	7028c1b69e8998289a87eab0a0bcd2af45d35967
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-07-native-compose		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-07-native-compose	metadata	263f7f2cfbc7b75520ae6bba0715801cabf24bcb
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-beta-01-native-compose		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-beta-01-native-compose	metadata	b12214953777abddf55c93201d71cc4e22736ff6
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-beta-02-native-compose		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-beta-02-native-compose	metadata	2999de2e02019d28dacbf4a4fd386c1a8baec1a5
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-beta-03-native-compose		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-beta-03-native-compose	metadata	fd664a97067de3df27f6950031c674b98e7dcf95
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-beta-04-native-compose		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-beta-04-native-compose	metadata	ab8f6f345f60d8ef9d20496bcd082aa6a1c3f154
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-compose-experimental	metadata	bb55083f2f71228859d8890502cf383dd85b190b
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.0-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.0-compose-experimental	metadata	debf27116b7cd5f4cf8205978bfecf0b704e133e
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.0-compose-experimental-alpha-01		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.0-compose-experimental-alpha-01	metadata	0be5dcb47acbea9de6b6ec0b5a611c78e1cb6a62
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.0-compose-experimental-alpha-02		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.0-compose-experimental-alpha-02	metadata	ac40b389cde5ef4ae3963284119f44eabc874383
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.0-compose-experimental-beta-01		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.0-compose-experimental-beta-01	metadata	1c5d866b1725e1554ebfa88641275abc9883781e
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.1-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.1-compose-experimental	metadata	dcebd0bac0bb9507645fc1172583f051b18e25f3
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.2-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.0.2-compose-experimental	metadata	26cd648b589a7aacc39f653e863f9b5d7f378220
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental	metadata	89196f0c02e61483d975cc4d288140d41ab2c0eb
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-01		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-01	metadata	77b79888f7b74e17e5977a12952075b34413d584
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-02		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-02	metadata	70efe00c24212068212153ed4b4a795118db0836
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-03		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-03	metadata	0b71f1f918da084a8b1e9f239cca7eddba4bd727
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-04		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-04	metadata	0127e0b8883eba4da987a31e5638d71d7399ffc5
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-05		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-05	metadata	27e7ef04bb8210bd02f296a6ab4c21fc30c9107a
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-06		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-06	metadata	d79234a2fc67b3534c6b17417bb3007ecb3f012c
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-07		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-07	metadata	a9b58a8b3ca6cd22ee49fcb94403e2a40569ec19
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-08		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-alpha-08	metadata	01a034306b9ebd59ad867718a04d4b697cecde90
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-beta-01		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.0-compose-experimental-beta-01	metadata	8682ee96481df1fbd4531cf99622e4e683e3848b
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.1-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.1-compose-experimental	metadata	ff79f6160447701e3cac05176755c1f7b9eb2e38
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.2-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.2-compose-experimental	metadata	18fd12ef28ab11f0d6a83fda1b2c77113dac78b1
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.3-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.3-compose-experimental	metadata	c44a646130a7c2cb6ec93c99d75e175963201d97
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.4-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.1.4-compose-experimental	metadata	f87e670a8abe1f4166ee314bc2438a7062ca063c
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental	metadata	ebbfa47cada75f7012f926460dbce3a59b4228af
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-alpha01		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-alpha01	metadata	8f0d5fdae2c9736cc5364a4395af43fd82825c16
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-alpha02		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-alpha02	metadata	c01e545fc89bebd6263607618d796f56e49b79a0
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-alpha03		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-alpha03	metadata	d15def7f549861371313777cabfd321ca6e1b613
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-alpha04		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-alpha04	metadata	0c9f2a0d110d65ab373e6fc0960139c9ca78ae54
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-alpha05		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-alpha05	metadata	b4436119b3cf8761877ac0d6cff9ae1830fd0205
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-beta01		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-beta01	metadata	0aa35e0cdc1a5606b55ce9077642469336e98dcd
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-beta02		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.0-compose-experimental-beta02	metadata	fae85c4186136711b7550ac0afab2f9977c1c8ad
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.1-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.1-compose-experimental	metadata	00ffb4c7cfb034cf65ce0f879547cc47ce9bbf8c
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.2-compose-experimental		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	2.2.2-compose-experimental	metadata	bdc06f4c8d339985f36e2c901f50306d649464f7
com.basgeekball	awesome-validation	1.0		N/A
com.basgeekball	awesome-validation	1.1		N/A
com.basgeekball	awesome-validation	1.2		N/A
com.basgeekball	awesome-validation	1.3		N/A
com.basgeekball	awesome-validation	2.0		N/A
com.basgeekball	awesome-validation	3.0		N/A
com.basgeekball	awesome-validation	4.0		N/A
com.basgeekball	awesome-validation	4.1		N/A
com.basgeekball	awesome-validation	4.2		N/A
com.basgeekball	awesome-validation	4.3		N/A
com.bertramlabs.plugins	morpheus-gradle	0.1.2		cff882623e00a54999021314586108e3fcf27a0c
com.bertramlabs.plugins	morpheus-gradle	0.2.0		8525c499aea573b1e5466ad99a1c6db8c0cdef6c
com.github.gchudnov	bscript-builder_3	1.3.5		c605deeb13b362c979b564a3277c2ea9a5e02df4
com.github.pandafw	panda-glue	1.2.0		5f8b735bb58a4487f610ba87934dbd69c3efd59b
com.github.pandafw	panda-glue	1.3.0		2570a6ff6a5f74f7ba66d00a987f257e17405f88
com.github.pandafw	panda-glue	1.3.1		ffefced5202b185df4206b2cbecbf9ff97b29f64
com.github.pandafw	panda-glue	1.5.0		9e3944067fb6455ab89bc93e3bb67d765bc8318f
com.github.pandafw	panda-glue	1.5.1		bf4cefa2eefdbd593e8140ca903aa0a5309f01b2
com.github.pandafw	panda-glue	1.5.2		96eb9879d01cf14889b4e27f0b3a6abb47beacf5
com.github.pandafw	panda-glue	1.5.3		aec7777bef4db877a367fdccbc4e27814596d766
com.github.pandafw	panda-glue	1.5.5		75a4a6b76205da02e4cac6a4d82d0f4bf6a43b2f
com.github.pandafw	panda-glue	1.6.0		2db624823d0395c56fb3c7cb9dd3fe4d57d86996
com.github.pandafw	panda-glue	1.7.0		8b9f3953a9c6a20292a3c28bf6cfbb5279dd181d
com.github.pandafw	panda-glue	1.8.0		56d25640f28acb284a802626435fba8a6a66c0a9
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.10.4		f1a8cff2f94e23a0d30fb6e386a085553453d165
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.11.0		b2d0463386fa4c6af7aa3842555a14931c5c8925
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.11.1		1c1ae162ce3998a16eba6c576f2d14acc809a494
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.12.0		db111d1f67cc2fa75391e9768932cce37531b6fe
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.12.1		1bd506442adcb08c302646af9308ffd2be5022bb
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.12.2		b8bc4993806cc9f7a832554a15cdbe9efd439933
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.12.3		70779d91a2f2aaad807a8bfc3bea00bf191cc69f
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.12.4		a5199d6057b4fe5ef8c6666b32e31a1a6ab4147e
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.0		cdcd60a3efeed1025f994d3492f3b306df86ca47
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.1		722aafe71f13750d73e9fe3594810138295bb3c0
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.10		c721bb17b58cf0a5e4febbf81c101401079e6836
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.11		06783a72f8aae8438715c73ed1075d460c2b3203
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.12		310bf8f255c332a90d06f9165b44ccfba17af53a
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.13		e7f881522258c8554d573b494e565f9cf7551534
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.14		bee2a9d76cb711331bf88aea2a1f953fb5c21f03
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.15		a866495830465f3bb9d5b2873291ed04b79ab47f
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.16		a53f6a639048bef67ac8e3c94498be9550cddc48
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.17		efac0bec7403147e14bfb3ed43e4a09837170ab6
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.18		4d0d7b638d7790e276c0efd79af79a1990bcd129
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.19		f075c875ec27136f72c78b955e426dc3bd841747
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.2		4ee419c1aa459b2b66893e7efd734547b8e4369d
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.20		70dbbddbe808fd7378c67e7795bed8b6548696e4
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.21		347d964b751dcac6750717b9a98bab5da4b72c54
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.22		b3f8580445f34543c5e37176ce56dc08ac813c8d
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.23		94086fdf9e6773c7ebd28c654686db1a3a41e19c
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.24		13a3a5659962f365cd5aaf08bc7c6657a1cb5139
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.25		957bbf1ce366348e0b94b38235ea675100b404fd
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.26		ec49bfe7ee59a611e4761122d021b8cb9fe66cf2
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.27		05f9e49b1d481830adb119cac8f8103529662113
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.28		88a63828fbe58ba0664fe3cd831b680f310a6971
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.29		f75452f55292a8c4a84a4ea4286c2344c8156394
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.3		3972c1e4e0b961f3bdb1a54d5e4e2a3e35b70b26
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.3.1		46b4b7a1242617fba14825cd9146b5ed9471f54d
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.3.2		bdd592acbc59b7053ea83dcd195ff93d904ded01
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.30		024bc78a616b19160b93079002e8b8ef08b51f24
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.31		28e9b70595df7f93b760a429cb0333e3fd94137d
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.32		c8abe9a8549b37a44ac5b7e3bd76ab9d26870188
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.33		982686e8669ea9d65d1b702c813cb59fe8d3cfef
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.34		6dea65960dddd304f87b36783f252a757054c9e9
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.35		59bfbdf687a8f43b4aeaabdf64d0a1aca72e5159
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.36		c06d274ae30fef2e303065ddd4afbe720fe6ac77
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.37		e0507a582f33a17ceb26b28f607d4876339a6495
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.38		1023d42be3ab9b326c5206415815106ad1c606b3
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.39		fb1d10aabdf4b8c8cdc1c9651b3c5b072af7c93d
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.4		680ddc5b41d4639db688cfdb1d42346a8f9031a6
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.5		9503a6cf5e1ea7dd98d2a300048d55297308f866
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.5.1		6d41122916f3e8deabd54cf04f241ec7421603cc
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.5.2		78b5ab69aa7244e09f97db2331acb1d4432d6a42
com.github.plokhotnyuk.jsoniter-scala	jsoniter-scala-circe_sjs1_2.12	2.13.6		ed133c9befb60662a41523d6253eb23867cdc1b6
