au.csiro	elk-util-hashing	0.5.0		fca700d9793d6c515dad47bb12f139b924760ee2
com.hotels	shunting-yard-receiver-kinesis	0.0.1		8861c55c976e552c803009b23af42d20cd46e785
com.hotels	shunting-yard-receiver-kinesis	0.0.2		0c7ffb678f4b1d6e17f527ad8f8cdaba0fd54f64
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.100		b533ff02c4202e85bbbf62f2a264de1b49039dba
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.17		1b9203809f061aad763e1ce36eaee164de39dfec
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.18		6c5a30dad1d8c2720ce6d276e920bb025fbec2ae
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.19		54a6b18c72d2bc2d657cedb4df9dea401b8081f9
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.20		cd221c71b01d32998e4e6c7a17ceb36eb3acaeda
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.21		0b1f3b1953cd62c70bbbc39177ce685d28c0146f
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.22		f8df799adf50a092190b48145a3aeacbd2e7cdcd
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.23		48343e96e4915759ffbff0d910d4a413345be8e9
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.24		418d7cdc4c4dfe5639048c0fdbb63c810c48ceb8
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.25		95aef3a8094e92206b65ef30c4b305b1b9cdd4a7
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.26		832a4413abc99caccec4e49cdb582180b993b99d
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.27		ebf3ea66c60220e68b7df0a20d9cbae39fcff11e
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.28		a888f230a0369d126ace3be852266ff0cb303929
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.29		dc171a8f8dce4eb6ba0105df42d6eb03949a9170
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.30		60d437beb028d3db634998389b3518e1aeaca067
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.31		9ca7517e5a53b256e2b9195cc65723dc1e47bc22
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.32		2a82553617fefc48fd1b1290645d843cb96540d8
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.33		b181b51311eaaeea34d8f979b2fdb272b23f9f55
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.34		8024c94b356d1fc58b13600b2103813296c606ae
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.35		76eef3a2b51636dd3d138d270dda467ff0f71e27
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.36		05b54e53b3ca62621e79a9d8bb82e16c28899af9
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.37		3c8c5518e66aa2848c8647fdbf0b6f02350136e1
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.38		28c19a7572508718db00d44daeb2c6f86943bd83
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.39		06a5b5bb6737150fed61a090cade921013e1425a
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.40		48f4f4e4e1ed123d558c2b77ddcddc3f4376e638
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.41		ed74c32fedfa744a65b616e7c641b3634bec1aef
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.42		5dc2b1031bdf5ac2d0aa57d5f6b01561d6b91e04
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.43		e433511a8b0ed4fd32f6511a81754f93de40763e
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.44		73b65af10e86fcd7e8c5a99bb2190ab9abc6fe27
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.45		14342569d779b3b9b986517b53669b34e46f63a6
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.46		f4be705103ef0fcd1f5decac96aa98cafb85daa6
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.47		09a7270203a77bc757d1e7e4057f721b03b3c6c4
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.48		599c308e03188cbea7b7359f94d43ec4267ad55c
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.49		4fe765da8c61cf2da728e3c88e88b002c3e694e9
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.50		f633a78cb681a2fb061f3fe12b0ec5ae7f965d7e
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.51		cac856af33fa77f5f25de4a8a19213cb87e0086a
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.52		d6d12d47df1108bee5c8c268199c5c5a91742dde
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.53		0dc4a81d9e1403a0555801d4cbe142155d9c4b45
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.54		65045a753edb60deac2c303c9ff1735b2b5d3aa0
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.55		bd0904117d45dbc9db08a5088988e4a4d388a3be
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.56		a8d5c8877904e2d7d5c1789ad9bb70b9c465c544
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.57		ab66cafc3a3940cc1eafd1bc5d368754966a0e12
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.58		1da2c783428befe87568bfcb9fbc16959c86f863
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.59		7f08ab3d9e3e9df78dd9cfee12f6b920c470e6dd
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.60		a884403fd53d83ffe28261ebc665ddf987f2bbc7
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.61		d9de1d370de4703c2f91d52c2ee618389743f1ef
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.62		e97077aa8a0ef0fe4e5f8d36071a6fb39384839f
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.63		c77fd7cd81153cb71783103f64aa5a72a54a1368
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.64		5928e08b3120573ffb33647f3a9aa426c430a715
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.65		da383d90f35c64569e1ea6a4ddab34bdde1b1379
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.66		2e3e757ab8961967a1dbfe8c8a1cf68d2a9a5658
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.67		5c6d131dc9ed0892d50c4fdfe3ba1713f1096d5f
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.68		26ec2f75f29f768164649f6d21aa757668da2183
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.69		dad62f646a37945b4d53e0a7d459793043caa0cf
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.70		eb9183bb4fb3cc4ef8fcb0753366dccd12f0724e
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.71		2fd312735d8960b34f40916ea3f021fa2d99103f
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.72		b6641728077c20f108ccbffbf32f5658275b997a
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.73		89a7313ab0447327e8fad63c34a75370ec3e478e
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.74		7e4bcd7ec1b6ee0f8d571d992a0eaf1f9d84b423
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.75		d5d745b25d68d76fc8f12162fd1eb7f7b44318d9
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.76		eee982f5d19e982de0c04c248519f8b6a6be211b
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.77		5df6a2187b60ef2f27e4f017e73f6d3362c77c08
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.78		4a9d282a550341e02359b2abdc44a1f4c7ac8d2c
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.79		b39543c223d40d757ca525dc21d92d2b75dcba23
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.80		c8ecb709aa4fe2c67c80ea253fd1c1e8e5f68e84
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.81		95beb9a9aad118a14a417eb84291395b93fa2858
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.82		b774b257baa888b61fdb6c8c6a2ff9e25bf7182a
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.83		dd10c8533a82ee829260d4a7b0dea21e1e396f4c
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.84		580b6b46491773d31814bb332de2b5e4e5151f05
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.85		4936b1ffc1dda15bc2ef68da6d48a315c5d2a39a
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.86		4c77dbd9b3e66284fcf895b53a4c2ff2e877b4c0
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.87		070efc116e22fe4fe42b0847dfcb25029b368422
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.88		73111428852779cd51da637d5853742dade2cd27
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.89		9493a11c3ab49250812993bf581367e5d1d2b9c7
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.90		7ae0739d2cc166fff77982e8c5e4433b559922cf
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.91		e405e3ef68f06fd9a2939a783cbc9bb11e3c5181
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.92		fb977fd3295e3136d3fd5ba14e2b97c199b30a48
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.93		6d32e8dac3c8fa80c42fcb68ee18b4caeb6c928f
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.94		0e81cda5db6f4d4045620ac24c2d0e585e7fc7d8
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.95		e32dd1da1436ccb1715a83700e554d568d6f8a0c
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.96		75c35555a5902e4571dfb65579969ca3c3af298c
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.97		33a5fbda11f5794dacb0b988f9b698a018b7f6af
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.98		7386e90bb7672935308b472f1b7b6e790c7c842f
com.ibm.websphere.appserver.spi	com.ibm.websphere.appserver.spi.collectivePlugins	2.0.99		edde359bb3b2059d794841c2b5e0f59f1454357b
com.jexbox.connector	jexbox-core	0.0.1		882f6d39fb1168de14e4e11842c6a5db8eb0dfb4
com.librato.watchconf	watchconf	0.0.10		N/A
com.librato.watchconf	watchconf	0.0.11		N/A
com.librato.watchconf	watchconf	0.0.12		N/A
com.librato.watchconf	watchconf	0.0.13		N/A
com.librato.watchconf	watchconf	0.0.14		N/A
com.librato.watchconf	watchconf	0.0.15		N/A
com.librato.watchconf	watchconf	0.0.16		N/A
com.librato.watchconf	watchconf	0.0.8		N/A
com.librato.watchconf	watchconf	0.0.9		N/A
com.mohamedrejeb.ksoup	ksoup-entites-tvosarm64	0.1.2		N/A
com.mohamedrejeb.ksoup	ksoup-entites-tvosarm64	0.1.2	metadata	9c9df88054559cdce01d6591b9cc2b677c6f3e81
com.mohamedrejeb.ksoup	ksoup-entites-tvosarm64	0.1.3		N/A
com.mohamedrejeb.ksoup	ksoup-entites-tvosarm64	0.1.3	metadata	e1f4fed568c1ef1c0afec8d4c44f49d1dc1d3cb8
com.mohamedrejeb.ksoup	ksoup-entites-tvosarm64	0.1.4		N/A
com.mohamedrejeb.ksoup	ksoup-entites-tvosarm64	0.1.4	metadata	739dfe56e05ca90914f43768689ea875ae4e25d2
com.mohamedrejeb.ksoup	ksoup-entites-tvosarm64	0.2.0		N/A
com.mohamedrejeb.ksoup	ksoup-entites-tvosarm64	0.2.0	metadata	d00a164cf2e579aa0315fc544028e64e30ae2fd2
com.mohamedrejeb.ksoup	ksoup-entites-tvosarm64	0.2.1		N/A
com.mohamedrejeb.ksoup	ksoup-entites-tvosarm64	0.2.1	metadata	3c896084a5e3076d68829fce088126fbe3953995
com.octo.android.robospice	robospice-ormlite	1.4.0		dda3311fbe34e2e78818b5b6e0d7ff1e3abec77c
com.octo.android.robospice	robospice-ormlite	1.4.1		059de1e7e45fbbe7e7c74ca945267ed8871594a7
com.octo.android.robospice	robospice-ormlite	1.4.10		4c97aa5820d81b2080ec93a13cd8b0996e3be512
com.octo.android.robospice	robospice-ormlite	1.4.11		686fb739d1606b8db5eadd68e54c74769a361a06
com.octo.android.robospice	robospice-ormlite	1.4.12		183877bd9422664a960b4e757ef646a13d2e6b2c
com.octo.android.robospice	robospice-ormlite	1.4.13		cb009655bc1b8ad6523e6e755971cb430a61427c
com.octo.android.robospice	robospice-ormlite	1.4.14		cf81c48c00306144ffa48befe3f7a317ac2eb052
com.octo.android.robospice	robospice-ormlite	1.4.2		47b07999f66f7c9650baaac2b5f39461eab8c46b
com.octo.android.robospice	robospice-ormlite	1.4.3		856167d879acfc408b1a994002ee9922c5aa704d
com.octo.android.robospice	robospice-ormlite	1.4.4		5cc0b9d9ecb87bae0dab2a13cfd890cc2e86f04f
com.octo.android.robospice	robospice-ormlite	1.4.5		8ea33e8293f286c33f51636b26907a09f3c8628d
com.octo.android.robospice	robospice-ormlite	1.4.6		f47a2b77925242cdf84d8ba740d830a87f8cb2b9
com.octo.android.robospice	robospice-ormlite	1.4.7		2c631967fbda4bfbc3721cdbc064484c957444ae
com.octo.android.robospice	robospice-ormlite	1.4.8		13f6f461a7a5a99e07c438543674031e3c7d56e0
com.octo.android.robospice	robospice-ormlite	1.4.9		5435817bef9d1833eb52768b6972d1c91ec085e0
com.river-kt	connector-ktor-network-macosx64	1.0.0-alpha18		N/A
com.river-kt	connector-ktor-network-macosx64	1.0.0-alpha18	metadata	0c2c03a3ec582bd982fdcbae3d68a4075a9a1ca7
com.rover12421	fulvakt	0.1		f0d7e54736d2bdd1b539e1565f6ea0f2f822c298
com.rover12421	fulvakt	0.2		df9971b088ff64afc6591c847588d93adee07d75
com.rover12421	fulvakt	0.3		c65dfe8f1d7a28af46c0561d5bc44300fddb190a
com.rover12421	fulvakt	0.4		a5ea55eb027c3b2257d710404e0895c089f9d178
com.soil-kt.soil	optimistic-update-iosarm64	1.0.0-alpha10		N/A
com.soil-kt.soil	optimistic-update-iosarm64	1.0.0-alpha10	metadata	b2cea9a099427ea9960cf13db0493735e93b7a72
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.10		3024cadfb86bdf1b689aded219aa99b31b96d6e1
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.10-b01		77d49d0323c28cb5903fce194769278da15dd43b
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.10-b02		f42e0124a02b079a4f625ebccbd93093c2fb873d
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.10-b03		8bdddccc29aed560fd02a73ea82109e6f9d9826b
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.10-b04		6cff812f90298d74705625069bff91df79b1025a
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.10-b05		2d51763a68f0742dc88055d815064e42e8a3cf5e
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.11		6da818527b5e61dfc77fee9bc80083af2f19b281
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.11-b01		765e38f0506b951170989b2c1200feb337d9b0ea
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.11-b02		865800356af8728ac54162e2a19fc832da149c28
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.11-b03		64b6dcde70b9514221d20e6f0abebafa44ae62d5
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.11-b04		e8df2d1730220a5ed0d2fec571f9fdb5926a3345
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.11.1		f89e7b6c477aec60a3abdd97440e13cec2f6f8ff
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.11.2		031f8bf043ef36ea948ef27411c66aadea45f99d
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.12		c7095249941d8fd19dcf49478de8e252ce63c774
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.12-b01		41a46eab9f98ec952663c92c2e1f8c4508500746
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.13		a3d970d72b81f6657bcfa4fc87acdf47cf11f672
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.13-b01		e0798b22c5fe5bbb1a1990d89ecde7f0bb80720a
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.14		c965686e31053945ae0cf4959509b6018562b983
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.15		a4dd6242376dcee05c4c840db1051ced967fea7c
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.16		5ebd9c8af5057d6741a7ed8a72b7c7caabed2384
com.sun.jersey.jersey-test-framework	jersey-test-framework-http	1.17		5e0868b76d04cc037cd1d4af1f669c678540eb26
