au.com.dius	pact-consumer-jvm_2.10	1.0		b7d9accbd3ea21d13f940a066a11142387948e88
com.aliyun.lindorm	lindorm-all-client	2.1.5		4f75c5470f325d913e43b6ba16ecafa2dcd27d9f
com.aliyun.lindorm	lindorm-all-client	2.1.6		610e7e608d4737b4ed5dffccf623d2b354ea74df
com.aliyun.lindorm	lindorm-all-client	2.1.7		d04d1fd7a8105fe742f93144be5f99fc9dd46dbb
com.aliyun.lindorm	lindorm-all-client	2.1.8		1886a54d23f2f22ff498ffdf3b5be75341fa6bd7
com.aliyun.lindorm	lindorm-all-client	2.1.9		c50927c7532ea521c364bdfa1dea82da82168ae1
com.aliyun.lindorm	lindorm-all-client	2.2.0		e5d962f2598109a64ad017403766ad4f7c7c14d3
com.aliyun.lindorm	lindorm-all-client	2.2.0-alpha.1		2cf12ed1226a99602146090eaa14023d7e7733c4
com.aliyun.lindorm	lindorm-all-client	2.2.1		fdac28a9004426f61c12681ee583b36d24eb4ecb
com.aliyun.lindorm	lindorm-all-client	2.2.1.1		e115bce004f5eb6c44644d161598761fc4c8c7ea
com.aliyun.lindorm	lindorm-all-client	2.2.1.2		ca41d18171eb8deaaa04b34d7ed3a6c4f03679c4
com.aliyun.lindorm	lindorm-all-client	2.2.1.3		7848fa71060d7913d4d33bdebf30d6acda8de247
com.aliyun.lindorm	lindorm-all-client	2.2.1.4		d32bdce8a655a85dae50efb894532948ea74071e
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	3.1.0		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	3.1.0	metadata	62dda5d550de511a4e5fc6101a885ffd445ce69d
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	3.2.0		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	3.2.0	metadata	5da442716d7d90573f4f88dcdcdceced8156ae76
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	3.2.1		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	3.2.1	metadata	90545eed88bfd8edee0180a6c102a09c3f481b54
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	3.3.0		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	3.3.0	metadata	c218fcd6081c7955af369b78f74e774c47c1965e
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.0.0		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.0.0	metadata	0389c19f5866746085a68b4cb50bec4fe64c3c83
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.0.0-alpha01		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.0.0-alpha01	metadata	3c40fbd52d2ebdbde3d9a6742c2a0a8c39fd3ce6
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.0.0-alpha02		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.0.0-alpha02	metadata	94b32c6532bfcae8345c8f9f2460eee274e4c470
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.0.0-beta01		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.0.0-beta01	metadata	c95a985476d9a3f10ad725a39e193a1d85c9e88a
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.1.0		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.1.0	metadata	e3e48761449ec15596f7604aaecdca27700ab4fc
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.2.0		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.2.0	metadata	7a183cbf4e7e5a1910c8dc6fb0b62503833d94d4
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.3.0		N/A
com.arkivanov.mvikotlin	mvikotlin-logging-tvosx64	4.3.0	metadata	8aa297da4e5a05e4b8470be432efc82041ff2466
com.attafitamim.navigation	android	1.0.0-beta01		N/A
com.couchbase.client	java-client	2.0.0		e876c6167b8ef846c4af1a551a80d97a10d3bc39
com.couchbase.client	java-client	2.0.1		ca65dac7c8b9adbcf984b5708320b77a5cfd31ba
com.couchbase.client	java-client	2.0.2		dce69ae21add2075b5fd9e4310578f96ea270b4f
com.couchbase.client	java-client	2.0.3		09f10a6c22038ee8879d262f3dbdd2617b93ad19
com.couchbase.client	java-client	2.1.0		0fa9cad376d9cf18b249393c5d9804aa16420260
com.couchbase.client	java-client	2.1.1		d02fecb69ff6e3d2b7d07f94b2b689d7d6e561bf
com.couchbase.client	java-client	2.1.2		b7b41c080428690119fee4a07ce7b48aa17d6fe1
com.couchbase.client	java-client	2.1.3		4d11c5e7ec5f018ae01a3b434c9f0e6ffeee990c
com.couchbase.client	java-client	2.1.4		faf99454bdceedbc63f1fe9f2456a051ea9e00e1
com.couchbase.client	java-client	2.1.5		b83f5d380e9e411d821293bb0d82a0bdc44c3235
com.couchbase.client	java-client	2.1.6		1f001cede9f398d42b6758797f40158578b946db
com.couchbase.client	java-client	2.2.0		a3132aaa66da6a4bf6943b34b5d5ffa2954377f0
com.couchbase.client	java-client	2.2.1		c6b1dc10441fdf8ce358098997c25912f040fda3
com.couchbase.client	java-client	2.2.2		5e1ffeafa946994ef1690a0ecceb194637f7beaa
com.couchbase.client	java-client	2.2.3		ced137f56e8d571fcf10443d43565c0a6231e764
com.couchbase.client	java-client	2.2.4		0092aae443189e9a43f5cf056998de29e9ce89b9
com.couchbase.client	java-client	2.2.5		f3067446e6f97523a647de3f2546f8ba1a075f26
com.couchbase.client	java-client	2.2.6		a8e429e0c82fedf4a1776350f513b4d73c1f769e
com.couchbase.client	java-client	2.2.7		27c36751e7aa64167e612d43aa315ed32f4282c1
com.couchbase.client	java-client	2.2.8		0ca90a01b0a1595ab415ea2e6e6d332e136a30d8
com.couchbase.client	java-client	2.3.0		598489050192f6d2d66a8e1e36f87363748c060e
com.couchbase.client	java-client	2.3.1		242b7af36348a9c585576eb607202244e807a018
com.couchbase.client	java-client	2.3.2		0dfab476a4022862ff8dc90fba97c93b46b964c9
com.couchbase.client	java-client	2.3.3		e399be89f77a1d6554596693b339c44552d591d5
com.couchbase.client	java-client	2.3.4		55314d153e3d89cb1a685ebfca77eecf655d0c48
com.couchbase.client	java-client	2.3.5		fb1434f5d52a28e7e35b3e13824edaf48dd798d8
com.couchbase.client	java-client	2.3.6		ec34f11f8d5fc4d55676f7fd75a4da03d34df8ec
com.couchbase.client	java-client	2.3.7		da1dce1453250cf0a2bf5bf1a3d3952e01feb7b5
com.couchbase.client	java-client	2.4.0		9d75dd0da5808809e13ada4119aef4ee14250617
com.couchbase.client	java-client	2.4.1		e8967368edb19a1be61dae64d7443383711981df
com.couchbase.client	java-client	2.4.2		7c3f2577a116e6228e29a5cf1dbc9c4f46bfdd9f
com.couchbase.client	java-client	2.4.3		dd29d1b2aea0cd2832574eeb0f5c1fb747814629
com.couchbase.client	java-client	2.4.4		ca9081470e9bfddf67e94fce176c00888c9cbfd2
com.couchbase.client	java-client	2.4.5		e40770df9c671e731ab07e3220aa96b72e8acf76
com.couchbase.client	java-client	2.4.6		aef3b26171b2fb561f55982ca1a916e27697c660
com.couchbase.client	java-client	2.4.7		2b80b0b1538e20384d14167a32b02e4bcb7fb867
com.couchbase.client	java-client	2.4.8		c55771f66e5fb62718e1c3c29b81094374b0456a
com.couchbase.client	java-client	2.5.0		3ce589a97b9f0798010e0dc07de96eaf8aed3eb8
com.couchbase.client	java-client	2.5.1		d3f4f46fd0c70b554b8957dc3043a7062e47b97d
com.couchbase.client	java-client	2.5.2		27e79ecab377008cba86f26d040604c73e96753a
com.couchbase.client	java-client	2.5.3		2de875b1b846f7b632810024a23fe4c01609c8d7
com.couchbase.client	java-client	2.5.4		66e4e9d293161b11f9a1695cb8ec0190d1c343e1
com.couchbase.client	java-client	2.5.5		fc48d9b377238b4b68e8467ee243a3bbb472fdb8
com.couchbase.client	java-client	2.5.6		c34cf1a38cbbd1baa79eeddebaedc783dfd305af
com.couchbase.client	java-client	2.5.7		3a6998fbfecdf6178107f94a978259e7e0bd3745
com.couchbase.client	java-client	2.5.8		6c96e86b577ba93966d9a25ec5971fa3e581169f
com.couchbase.client	java-client	2.5.9		0ea1547d23c44a7548298d22dd3cebfcccdbe34f
com.couchbase.client	java-client	2.6.0		7a3f44b351777b42983c258b8725e4dd6eddb54b
com.couchbase.client	java-client	2.6.1		eae41aac494a981ee48a08f9607c34cd9b45ea25
com.couchbase.client	java-client	2.6.2		212a80b1bb97c59be5808c9a075302519b047f5f
com.couchbase.client	java-client	2.7.0		157e9ce91cfdbbeade6d291d35367ebe37f82a76
com.couchbase.client	java-client	2.7.1		bea2c5d86942f874ac6dd24424030f5b642b2d30
com.couchbase.client	java-client	2.7.10		200c7918ea6ca3eba281d30cbe0451bbbbfd8397
com.couchbase.client	java-client	2.7.11		e5fa6ed843c68431c3566cfe9622045e37f386e6
com.couchbase.client	java-client	2.7.12		46ca44782a8de7a39b637139e5e07ec69dafae9c
com.couchbase.client	java-client	2.7.13		2aa4bb775784812742a0f6f331fabdcc72e94c18
com.couchbase.client	java-client	2.7.14		3fb75a2cc3319cbea9f299c4e3ec332c2984b11b
com.couchbase.client	java-client	2.7.15		207fadf70ca35f9fa71a7420ec222852cb204ee5
com.couchbase.client	java-client	2.7.16		e6528164e6db6a5027507b6c4b832ebe094eb6b3
com.couchbase.client	java-client	2.7.17		ce2d1abeb64bd0bd552af2c1f1fc436fe8fbdfd6
com.couchbase.client	java-client	2.7.18		bc50d5f58658afde46be1e0f528c2ac24802abb6
com.couchbase.client	java-client	2.7.19		c7f8d24a50096be9d34c7b39f82de4d4f0dcbdce
com.couchbase.client	java-client	2.7.2		58b4bf523978dc2dd7a8a0bcc058cea92239c15b
com.couchbase.client	java-client	2.7.20		8b2f4dfc0eba2fefbf17b169fb271665b3d26365
com.couchbase.client	java-client	2.7.21		65068bed12dec308e20f9ff8b686023e484e7f1a
com.couchbase.client	java-client	2.7.22		23896fd120e5f7e9ce3765304a99e818d9ef14ca
com.couchbase.client	java-client	2.7.23		c6b2fbe0d70186166c20be48425c1f123d9b3639
com.couchbase.client	java-client	2.7.3		f2699f42a2eca24b74fb3d72027b5e64a48703fc
com.couchbase.client	java-client	2.7.4		12271b3370f8381ef1adfe72dece8437cb16268c
com.couchbase.client	java-client	2.7.6		24446c8a92e11600cf0ff310c26af0d9eb5d12b4
com.couchbase.client	java-client	2.7.7		8e0be462b16d8a8095b3f0fc0b2a516bd99526bf
com.couchbase.client	java-client	2.7.9		bf177a37b5649236eb18b7ffc503b33212597378
com.couchbase.client	java-client	3.0.0		b3f797dcac3170c267e25a20460c630b10d47222
com.couchbase.client	java-client	3.0.1		e1ec4ba705d47d6a65fa9701961f52482e550428
com.couchbase.client	java-client	3.0.10		60182319811a79399b8dd9aaf02b9ea8cd0e6298
com.couchbase.client	java-client	3.0.2		9bf9743677aed7d2cc58a73e48436a162aa4d227
com.couchbase.client	java-client	3.0.3		01a77928092edc48bd479a43435931a2d2d7c5a1
com.couchbase.client	java-client	3.0.4		d728f2000cf0ca9c05e4e8a042ba4083841f5c54
com.couchbase.client	java-client	3.0.5		50e852b87fb272cdfcaf77097bef8f253a7a863c
com.couchbase.client	java-client	3.0.6		22b2aa8fe64edaea0b21f11f0626c0ca3fbf218a
com.couchbase.client	java-client	3.0.7		892363ab817451b9bb8fa91861c0d66c480056eb
com.couchbase.client	java-client	3.0.8		0f7934345855ad451509926a1b46de204e35c592
com.couchbase.client	java-client	3.0.9		a8dc97595450a58883cc366f26958a5cb9bcab21
com.couchbase.client	java-client	3.1.0		8c3109610eaf4755494582c88cc8c38333ae0c0f
com.couchbase.client	java-client	3.1.1		0ab966c35dabdd0eac7261a9c3a7e277142a4dcd
com.couchbase.client	java-client	3.1.2		d6b17914fb407cd462812e15e51dd3320780f87e
com.couchbase.client	java-client	3.1.3		fd95111700c087837c8276b387493699cb6a9775
com.couchbase.client	java-client	3.1.4		7c33fa5f716408f201bd4006532cb97746b2eba5
com.couchbase.client	java-client	3.1.5		fb3478c1ea84677a65a8c9375dd4e6ddf5dc9ddc
com.couchbase.client	java-client	3.1.6		f065d71963e08bd5577838592e33f2ca35f5d64a
com.couchbase.client	java-client	3.1.7		6de4e9eda564192688efa4d8d87c2923c56e9cd3
com.couchbase.client	java-client	3.1.8		20d1ddef16a5dee9152bc847012017a62100c6a0
com.couchbase.client	java-client	3.2.0		292129e1569bad0ba4419a151bf86beeb9ec7503
com.couchbase.client	java-client	3.2.1		ac887d4f7d4759cbd1373b2a048bc551b50633f9
com.couchbase.client	java-client	3.2.2		f5e9f5f4f4791edbb5680d4ec7812673b0c79a2b
com.couchbase.client	java-client	3.2.3		b5af6d7730d7fcc8e9bf4f7d15a9063fb042d439
com.couchbase.client	java-client	3.2.4		a45daa87ca9056a06a40ad7dc9a2918123e19a4b
com.couchbase.client	java-client	3.2.5		7cbbcaf9c7399d008efd757b56bb36acac18d3e3
com.couchbase.client	java-client	3.2.6		7c4386381b953433bb9c7bd862091050d7e19d27
com.couchbase.client	java-client	3.2.7		30a0ea98524dc58c0f1a3ac928d8ac69bed99323
com.couchbase.client	java-client	3.3.0		b18b8ba35097de709ff48d9865a35f73bbc53e83
com.couchbase.client	java-client	3.3.1		be203f022996f91ac121a639ea4f09c8dfdcaa9f
com.couchbase.client	java-client	3.3.2		063096d91df11147c4142303255ef77323dc73d0
com.couchbase.client	java-client	3.3.3		268924cb02813db37a03182a7547983846a382bf
com.couchbase.client	java-client	3.3.4		bdc6cbf45adace897fdb052cec5174f3b073b2ea
com.couchbase.client	java-client	3.4.0		04b37ade3b7e1858efb12ee25e2a3fa8d85fd557
com.couchbase.client	java-client	3.4.1		154afcb3a820494bb4dd8cc485e447e9816b5d33
com.couchbase.client	java-client	3.4.10		458521190085ad0c25eeb6fc6357082be199512e
com.couchbase.client	java-client	3.4.11		3c762f4232188d5680b5113a643a328b02963cbb
com.couchbase.client	java-client	3.4.2		2e55dabbcc58c842d9edb85d90f75f06d5488dcc
com.couchbase.client	java-client	3.4.3		b9f3cebfbf7528643c313a7e6d732bc01f1b62ba
com.couchbase.client	java-client	3.4.4		5e83ab0b8455d2f04c2ef3f093b77ed196bd6e1e
com.couchbase.client	java-client	3.4.5		8302754a77c51efed925e07755d4fdd45f6afc26
com.couchbase.client	java-client	3.4.6		d44fcef70fa38fe22bd7ce304c52d975992f34e6
com.couchbase.client	java-client	3.4.7		498bc21fbb38a59cb49c2823dfc8e2727a41ebfa
com.couchbase.client	java-client	3.4.8		d8314a7cf9521abd1742226dd674b98733d2a352
com.couchbase.client	java-client	3.4.9		19730441dfca770da8f1323a4c6dfb3fd68f6e89
com.couchbase.client	java-client	3.5.0		ebd2f19011b7b4297ada2663951f5fc4b8256475
com.couchbase.client	java-client	3.5.1		6be15f7c318a4442ee30fe55984d1a32987c2190
com.couchbase.client	java-client	3.5.2		e40473bf81ec3cc20ef2c6345e93437363eef856
com.couchbase.client	java-client	3.5.3		1723a6c076ec47e4784192fd19c214a914dae937
com.couchbase.client	java-client	3.6.0		62a0e54f84c808208c2d9bde1fb3ceef82bd768f
com.couchbase.client	java-client	3.6.1		ad1f9d598ee1ec5a8a5f6ab99685f8de325160d2
com.couchbase.client	java-client	3.6.2		729665435ed392a7bf36e251d399a0d141015f89
com.couchbase.client	java-client	3.6.3		6227da2931947e962d94804a9021b4557a7aa585
com.couchbase.client	java-client	3.7.0		23132372c7cf7fc404d896a802231aef2ccfc778
com.couchbase.client	java-client	3.7.1		2c29ef0857357084854a78267fa85add9de3cee0
com.couchbase.client	java-client	3.7.2		bc05aca030ad80861cae145b016a77d86e6af0a8
com.couchbase.client	java-client	3.7.3		465e3645a62c38bf7c1bdefaf9f6a40affaf5241
com.couchbase.client	java-client	3.7.4		4309a9bcbe02f113fc9011db3242e40bee542562
com.couchbase.client	java-client	3.7.5		2f2c25fa521237b4fc2d052a23f1f45b2634aa19
com.couchbase.client	java-client	3.7.6		ceaece5fe91aae26935be1349ab3769520591c5c
com.couchbase.client	java-client	3.7.7		4f00d25ea74970c51d2449e4479d768d4694becc
com.couchbase.client	java-client	3.7.8		5e85a6be16ec46e9e4ffdea8c3153e18b7cbfde0
com.couchbase.client	java-client	3.7.9		e773e382b454a1f0681e45085da6135828ff943e
com.couchbase.client	java-client	3.8.0		e7349c3d4ab663cc3db24459ebdbe12ebde1d5c8
com.github.kynthus	hatalib-util_2.13	1.0.0		087067d344b3b3fcf0c6736d999ebda82024c56d
com.github.kynthus	unixista-argparse_2.10	1.0.0		7374c3c07d5e1cdec64a5974b720bbe0fb730984
com.inkapplications.ui	render-compose-html	0.10.0		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.11.0		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.12.0		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.13.0		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.13.2		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.13.3		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.14.0		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.5.0		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.6.0		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.8.1		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.9.0		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	0.9.1		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	1.0.0		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.inkapplications.ui	render-compose-html	1.1.0		a1e6ffaba8803d89a7071e24882405a49cb1fcf1
com.netguru.multiplatform-charts	multiplatform-charts-android-debug	1.0.0		N/A
com.pig4cloud.plugin	datav-core-plugin	1.1.10		4429021a7540665908082855eebd6fcb9c3d55d4
com.pig4cloud.plugin	datav-core-plugin	1.1.11		dd409ed8f16309af6bb1d00dfc557f3ea7638154
com.pig4cloud.plugin	datav-core-plugin	1.1.12		f86f40d86360f51c9f57c798b552dcd15f4b878a
com.pig4cloud.plugin	datav-core-plugin	1.1.13		541a309383ef05944cd820c29fc9adf75210bc28
com.pig4cloud.plugin	datav-core-plugin	1.1.14		8ed4cf07991783b49f78ece02fcfd24fa99789ef
com.pig4cloud.plugin	datav-core-plugin	1.1.15		16232952611a988651962fd0ea1b49ef6ea4c212
com.pig4cloud.plugin	datav-core-plugin	1.1.17		011dafa535dc56655a4db684da7c4fa4cf620943
com.pig4cloud.plugin	datav-core-plugin	1.1.18		bebf8ac7cefbe56e3d77b32d793bcbbb36243c20
com.pig4cloud.plugin	datav-core-plugin	1.1.3		b3b4508faafb772da1d6274a491da23903bf0c98
com.pig4cloud.plugin	datav-core-plugin	1.1.5		cb67246708e0e5bd0e422259754786bdc23ffa63
com.pig4cloud.plugin	datav-core-plugin	1.1.6		446196691bb2a89166f96542cdd7f5878c84e8fe
com.pig4cloud.plugin	datav-core-plugin	1.1.7		2a39109227a05d167789b37f48dd2b4fa80d8574
com.pig4cloud.plugin	datav-core-plugin	1.1.8		dba623339c8d3ecd1632e1bbf4d71f6422f2f303
com.pig4cloud.plugin	datav-core-plugin	1.1.9		e1a52665e2f66192d25454a237e44937cb4f603b
com.pig4cloud.plugin	datav-core-plugin	1.2.0		d4817dfd31a1a92607b54162278d00f57be189c4
com.pig4cloud.plugin	datav-core-plugin	1.2.1		960e3f57cc1c1927ec122f232ffb8814581ee356
com.pig4cloud.plugin	datav-core-plugin	1.2.10		fbf734e4c3db9eddbbb6a303a2534ba75a02125d
com.pig4cloud.plugin	datav-core-plugin	1.2.11		927ee9acfeee96d14fc47f22e5ad8cc19aea0a81
com.pig4cloud.plugin	datav-core-plugin	1.2.2		944aa2c73655ecbbdfd808c374d426bb67fc8158
com.pig4cloud.plugin	datav-core-plugin	1.2.3		33d428f811c8323c5ae8bc32eeb38bd7ddd74fdf
com.pig4cloud.plugin	datav-core-plugin	1.2.4		4894fecc9c3f6236d5bb6bcca4620e98c6d00701
com.pig4cloud.plugin	datav-core-plugin	1.2.5		a2bfd9f5c8ef082a187591af098f710501efbc75
com.pig4cloud.plugin	datav-core-plugin	1.2.6		ec4b4b1aa74a61b77778978ab6f887df65f4ba38
com.pig4cloud.plugin	datav-core-plugin	1.2.7		e9d1f15a0a2ec1bc36045b68f441eb4b18d60cbf
com.pig4cloud.plugin	datav-core-plugin	1.2.8		b9c75f696a244d3a2eef199784762fb7c0284d8e
com.pig4cloud.plugin	datav-core-plugin	1.2.9		b65982b630c91350c28dda40f81804c5cd996c8e
com.pig4cloud.plugin	datav-core-plugin	1.3.0		e1273e3b914269a4a5c0be940e9a2ac654367a90
com.pig4cloud.plugin	datav-core-plugin	1.3.1		7ebe08d354658cfa1797ced7a5e62a7690486e76
com.pig4cloud.plugin	datav-core-plugin	1.3.2		fb9550e91273b7dc535d84d8f96aa25a4c341891
com.pig4cloud.plugin	datav-core-plugin	1.3.3		f2438eb4f2c98b5f446f09d221050eec851c9672
com.pig4cloud.plugin	datav-core-plugin	1.3.4		4c5c123b976ab148a41a15f5bb679965e15ad013
com.pig4cloud.plugin	datav-core-plugin	1.3.5		d03176625c618d2356356cc0e2d366b1e8b89f25
com.pig4cloud.plugin	datav-core-plugin	1.4.0		c3646ffb7b196b1e0518c6fa88e07e0b3110c4c2
com.pig4cloud.plugin	datav-core-plugin	1.4.1		16ab82c94e463d0a3186c6319d9a8808aea5688e
com.pig4cloud.plugin	datav-core-plugin	1.4.2		a20e0eb6d542c431044460e72f473c79418f1ffe
com.pig4cloud.plugin	datav-core-plugin	1.4.3		1b9f0378749fc8540391c332677b51abf2ca5e24
com.pig4cloud.plugin	datav-core-plugin	1.5.0		39eca72ccadc1b16642a47808c79229c289b1a20
com.pig4cloud.plugin	datav-core-plugin	1.5.1		cf4da82e9cee034276e1489d356f5fed679955d2
com.pig4cloud.plugin	datav-core-plugin	1.5.2		0416951532025534ce11026d81f9b83f670424b5
com.pig4cloud.plugin	datav-core-plugin	1.5.3		88dbc21fe667dc92e04f1faf5c4b5108112866b5
com.pig4cloud.plugin	datav-core-plugin	1.6.0		18d757842fc419cbef19007bd5f055443768bd96
com.pig4cloud.plugin	datav-core-plugin	1.7.0		73800cf78d3f66d38ff0e40d393b50d5675a7ab5
com.softwaremill.sttp.apispec	openapi-circe_sjs1_3	0.1.0		e633db6876d14384f5f65b91ea25fc6d104b8240
com.softwaremill.sttp.apispec	openapi-circe_sjs1_3	0.1.1		0c98e624244447c0c216d1942d64d64dbe8a2ef2
com.softwaremill.sttp.apispec	openapi-circe_sjs1_3	0.10.0		9f6d78f863aec71ecd81df2e32288e75ebd95571
com.softwaremill.sttp.apispec	openapi-circe_sjs1_3	0.11.0		a671809dbfe6b87fed7bba1a00eb25ce363ecee5
com.softwaremill.sttp.apispec	openapi-circe_sjs1_3	0.11.1		1a30de8978aa5c49ebb8623bd908a05f3c02766e
