cn.starlight-software	sherly-ip	2.0.6		8b8ed1fccc76a7762ff153bd3c67641d9a1627cf
com.aliyun	r_kvstore20150101	2.20.6		c8cf49e96a69e3882e7447e9f4b83074831b9ec8
com.aliyun	r_kvstore20150101	2.20.6	shaded	6ca58b8409c107be4f694c8fac6b4187535569af
com.aliyun	r_kvstore20150101	2.20.7		edcf9f010ac3391be357faf470ae1d1fea79d4e9
com.aliyun	r_kvstore20150101	2.20.7	shaded	2c89af1f5feaa6612d9f232c05ff9edf47f39081
com.aliyun	r_kvstore20150101	2.20.8		b0d3a258059e32932d35b66491f06e73041ea1f8
com.aliyun	r_kvstore20150101	2.20.8	shaded	515bb5e4810c572440f69978b1205bce9d50508e
com.aliyun	r_kvstore20150101	2.20.9		d4b6c9c15edbf85b4dbe65a081628765d76b5c39
com.aliyun	r_kvstore20150101	2.20.9	shaded	027303024250d36564b51e263193b29edd81da6c
com.aliyun	r_kvstore20150101	2.21.0		be5c2775fd019d54c23815f76bfba880e716696d
com.aliyun	r_kvstore20150101	2.21.0	shaded	cfc5d5df418914918ff313fa6e8f6e708d09c794
com.aliyun	r_kvstore20150101	2.21.1		67b915bdd9fd117da1d8aea6ef3f7b133dcbdf13
com.aliyun	r_kvstore20150101	2.21.1	shaded	45fcabc152a4999c8b51a19910637a4f97416d3f
com.aliyun	r_kvstore20150101	2.21.2		5f5bda2d21a037999ec7466503cb4e0a12e9ed31
com.aliyun	r_kvstore20150101	2.21.2	shaded	c7ef2d0a0b2ca478583ef9e79aa605552c40f620
com.aliyun	r_kvstore20150101	2.21.3		6399b546b6db6f89941377f15d072680b6648ea3
com.aliyun	r_kvstore20150101	2.21.3	shaded	174f10a0fc3d7395dd59fb2f9dfce94ba91501cd
com.aliyun	r_kvstore20150101	2.21.4		a404ce1e8cfeabf6decb44337777e16de4e38b3d
com.aliyun	r_kvstore20150101	2.21.4	shaded	dc8baa5342885cda21ba866b2df8a266937e8666
com.aliyun	r_kvstore20150101	2.22.0		ec5953cdbe71650b6ee33d582e4def3e74d10d17
com.aliyun	r_kvstore20150101	2.22.0	shaded	082e301a87d973853dfb3c6ad6c37f387013c917
com.aliyun	r_kvstore20150101	2.22.1		a0022b592acf11ea9aa7d563b495d3555a708483
com.aliyun	r_kvstore20150101	2.22.1	shaded	8525eb324cd41a578a4ec82ab5736c82c9cd93ba
com.aliyun	r_kvstore20150101	2.22.2		7dd3491e3048cc54340abb306744640f5de7b049
com.aliyun	r_kvstore20150101	2.22.2	shaded	002438b718bf1eac4386a3ef197b00b1715addbd
com.aliyun	r_kvstore20150101	2.22.3		dc734493679382bca2356fdacce30372a77c4768
com.aliyun	r_kvstore20150101	2.22.3	shaded	1704265b72b0ea8da2c09d9101f0ce9045c906c4
com.aliyun	r_kvstore20150101	2.23.0		702c6226f118aa153317d167caf4bac9e0af698d
com.aliyun	r_kvstore20150101	2.23.0	shaded	7d481d518d55c1bc57adaeabc76ba5d3195287bd
com.aliyun	r_kvstore20150101	2.23.1		b078eadae09ebccf69d3676207a39509f0daac27
com.aliyun	r_kvstore20150101	2.23.1	shaded	da41b0921f78596bdef6cd32dfba3e7f7a94c4a9
com.aliyun	r_kvstore20150101	2.23.2		9ce78353fbbc0f85c870ef3b3dd9f5c9b7d9f6a6
com.aliyun	r_kvstore20150101	2.23.2	shaded	e6095d41a1c981c74b90969ba29151ff524611e2
com.aliyun	r_kvstore20150101	2.24.0		4905a972597c791b0cd32f2ea4f0c359be46a874
com.aliyun	r_kvstore20150101	2.24.0	shaded	11fab5043f16d539033e975443061438c9b1dadf
com.aliyun	r_kvstore20150101	2.25.0		7efcfa0c8aecdc6fea54197e34161c18a583f806
com.aliyun	r_kvstore20150101	2.25.0	shaded	57f4d764bdc93a5c9748acfa32871c30b1974112
com.aliyun	r_kvstore20150101	2.25.1		ead3feb94eecc4b73927c5450a2147a0f5911cba
com.aliyun	r_kvstore20150101	2.25.1	shaded	3511fbdb0e3532bb6d6def7ac3f6b4aefe01cafe
com.aliyun	r_kvstore20150101	2.25.2		255bb95d842731a02491a22cf8fa5c29dbee146f
com.aliyun	r_kvstore20150101	2.25.2	shaded	1f6b01634065959bb1798eea302784e1d2fbeb68
com.aliyun	r_kvstore20150101	2.25.3		a4e4512dac9296383ff499dac90642909285bdf1
com.aliyun	r_kvstore20150101	2.25.3	shaded	b1fac3d3a003d13e9c919c86fe682f1f065f8b05
com.aliyun	r_kvstore20150101	2.25.4		c60205c09075160690e4b8372606187fcd117b22
com.aliyun	r_kvstore20150101	2.25.4	shaded	37a37ba8697b5236b43a50952fd648d1c0230b19
com.aliyun	r_kvstore20150101	2.25.5		08500550318e7b1ae09a3fd2b53d465c5f6c3385
com.aliyun	r_kvstore20150101	2.25.5	shaded	d968cf0ddb454fd1772f36cecc47770f7020076d
com.aliyun	r_kvstore20150101	3.0.0		a5006b078808c0e10a2552c3b506c8e830529bbb
com.aliyun	r_kvstore20150101	3.0.0	shaded	5803b45a57b7a41b3ec45b2bfe36efc6b0b6bed2
com.aliyun	r_kvstore20150101	3.0.1		0df2afa5d676668b1ce6370bb4553eb44e4cd3d7
com.aliyun	r_kvstore20150101	3.0.1	shaded	f4c0d50d3404e524d117c5c7ba8ebf81639b9e20
com.aliyun	r_kvstore20150101	4.0.0		d63319df61c8a08348c49e7afeaa8d936925b884
com.aliyun	r_kvstore20150101	4.0.0	shaded	953a127ccf75c1b3ed062db5eba6a67b763b0c28
com.aliyun	r_kvstore20150101	4.0.1		1331420c6ab0b4bb200061c0775ace1b50962953
com.aliyun	r_kvstore20150101	4.0.1	shaded	955252c7ee1a81cdd274bd7ccb9837223cc2d857
com.aliyun	r_kvstore20150101	4.1.0		89488fe9a999089e834214382588323f0bb2a4c3
com.aliyun	r_kvstore20150101	4.1.0	shaded	aa04cddeaa0e7dd6be90605f0e5617e75b71c992
com.aliyun	r_kvstore20150101	4.2.0		2ad60ea3a144cbea1151047898fb1e093bb6adc1
com.aliyun	r_kvstore20150101	4.2.0	shaded	b16a8cacc80b13c281b7a7f6a6eee10670ce0983
com.aliyun	r_kvstore20150101	4.3.0		b2bbd9cc6c75f237f6f7311ea55321f00477d777
com.aliyun	r_kvstore20150101	4.3.0	shaded	85143938ea84b40e75a95f6bbbfc592beb11df5b
com.aliyun	r_kvstore20150101	5.0.0		b67dea584e3203547b5623cc195de76033da2514
com.aliyun	r_kvstore20150101	5.0.0	shaded	d33292a281ca10845efd1238c9b7a49a40553162
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	2.0.4		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0	metadata	d42e7ddb8431f922dfbb0aa86fb4e790461efc74
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0-alpha01		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0-alpha02		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0-alpha02	metadata	8d09038d4b9eacb4d642f15aedf819f4e9dfa1c7
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0-alpha03		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0-alpha03	metadata	11919fe201fff2d26f25c5f84fd1e7a886da3c51
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0-beta01		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0-beta01	metadata	ad5faeb8bc22d17f9da008cdcf067e3f9dc321ee
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0-beta02		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.0-beta02	metadata	ac60041aae14c44505d7279d4bea496413c25ed1
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.1		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.1	metadata	a5eee3b644fed02e56c4e886e8931d5f0fe7cc3e
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.2		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.0.2	metadata	3c134b1412b67cd4ad020ea66b471fe5f84eae40
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.1.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.1.0	metadata	24a7d629a35bbf300541495650e2e2ab5fd4eae3
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.2.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.2.0	metadata	3b41b7e1139812ecd83b94b750272c728fd8f8b2
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.2.1		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.2.1	metadata	f22c8f75b14d28aa500fd4019a0ffa9477f68daf
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.3.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	3.3.0	metadata	244a248277a9a5e4bfb3de9eac46732a6af544d6
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.0.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.0.0	metadata	fd04b42287afaf64d8153adfe24c8f4360837b43
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.0.0-alpha01		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.0.0-alpha01	metadata	425522cf231027a2c836af6ebf1a97ed79987b8a
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.0.0-alpha02		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.0.0-alpha02	metadata	bdbe243eae4ec3e5490df8175f92b8b3e0c704b0
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.0.0-beta01		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.0.0-beta01	metadata	e2bd36ad7dfb9eed6e3b10e1ecae497cbb67a478
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.1.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.1.0	metadata	0c8af30c304cdfe689b2b04f86d46b4b355e41dd
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.2.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.2.0	metadata	aa3375975114929455b84788dc4def54864396c9
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.3.0		N/A
com.arkivanov.mvikotlin	mvikotlin-timetravel-watchosx64	4.3.0	metadata	5c249d171aad4d2c57da0a5b812c097ea4a7d4f5
com.baidu.openrasp	rhino	1.0		39442d1d5f2853279b454793977d9a4b9b56855f
com.cedarsoft.commons.old.legacy	hibernate	1.4.0		5e5cd34a5790cf53bd75593c1caad71d3cca0912
com.cedarsoft.commons.old.legacy	hibernate	1.4.1		9784b4c4977d9dea92731e535450301b0403b78c
com.cedarsoft.commons.old.legacy	hibernate	1.4.2		4fa07603965958f0653256075bb8ab76fa5bd9ae
com.eclipsesource.jaxrs	provider-sse	1.0		2af08030f3644ad20a5340004566f2c17ef4660f
com.eclipsesource.jaxrs	provider-sse	2.0		b01a69bc3bdbbb2e50c37895e5a65253110bc05b
com.eclipsesource.jaxrs	provider-sse	2.0-SR1		61c66d26f1bf5735b6dc5f286de4b3d52a813144
com.eclipsesource.jaxrs	provider-sse	2.0.1		9dd0d93e6e02460b1129b61a2e69f75e5bbe93ea
com.eclipsesource.jaxrs	provider-sse	2.1		0d1be86fac25f37b78672645ff7600174ab7b70b
com.eclipsesource.jaxrs	provider-sse	2.2		ada84c55e7c52fa309127d0031c46fb919f61f7f
com.eclipsesource.jaxrs	provider-sse	2.2.1		ada84c55e7c52fa309127d0031c46fb919f61f7f
com.gitee.archermind-ti	CurrencyEditText	1.0.0		N/A
com.gitee.archermind-ti	CurrencyEditText	1.0.1		N/A
com.github.618lf	swak-rxtx	1.0.0_final		dcb7c598efc3dccd1f2a465639f70f6c88117621
com.github.618lf	swak-rxtx	1.1.0_final		aa06d2e6c018694dc08cbf382a84d1f9c3f19df7
com.github.618lf	swak-rxtx	1.1.1_final		647d37cabd78053565940ac37c9e88ba65f0f4f9
com.github.618lf	swak-rxtx	1.1.2_final		7b8fb3dbaf9d7dd6c4831c029385ad420ddffb55
com.github.houbb	mpg	0.0.1		e5318d01602faca66b71910f0740f9dac5a7116e
com.github.lolgab	munit-snapshot-jvm_2.13	0.0.1		c965c8bb9ec04ed8746c3aad3cbf130112a665a0
com.github.panhongan.bigdata	hadoop-helper	1.0		6cb576f02d58fd1938101948eb98447507055ae0
com.google.cloud.tools	jib-classpath-main-class-extension-gradle	0.1.0		d17caa850d88daeabec3bc36223af78b9558f56b
com.javiersc.kotlin	kotlin-stdlib-wasm	0.1.0-alpha.13		N/A
com.javiersc.kotlin	kotlin-stdlib-wasm	0.1.0-alpha.14		N/A
com.javiersc.kotlin	kotlin-stdlib-wasm	0.1.0-alpha.15		N/A
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.4-35-ebdeebe4		7361e6b28f9637d3c8664cd0c78f5b19f375648f
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.5		83774a9cf0fd93dd523dd4d499f67b9d4c172099
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.5-10-82727958		ec467447adcb4ead972ec46fdb0647b194270311
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.5-11-626c15b0		117619bb81d4ea6689dfdc78b22492cf19734048
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.5-12-e1748830		3281d74271913aa571041324bd61b71f74751999
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.5-15-277624cf		7ffff73d32bbacf6d058f8d385cd4e403a0ac34a
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.5-16-8d71f4bb		07e5c173dc37564dbff06135365c47148f9575d2
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.5-17-df243e14		eb7c84f3dc345fbfa0e01040d070f6cb64373298
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.5-8-5a062268		80ef1fb2d6c9d4acfdeddc479634629f738485ce
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.6		d6cb2b3bd31a7ee36664c15537b7fdd4ec788942
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.6-1-f8bff243		24a3ddfdb4ae84b2f34ed188830705ff05893ea6
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.6-3-279104dc		ae1b70330898ad9dfcf2d3c05e6fcbce40263783
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.6-4-4a07420b		1b7ede42ef22d6d012cb759fe1f798858778e9b5
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.7-1-cf178c31		1571bc5fa2fb191600d4690249aa780b42e45573
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	2.5.8		c6bf3303e1692e5a91fa3df61b520185edd5f90e
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0		1fa174011bb9e907e547dac18f77082a85697925
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-1-beb96bfb		1b09cc52e26f745c6600ab21f7a1ed59f7ad59e3
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-10-addf882b		e590f850570969294793ff03c0f65f7b65cff7cf
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-14-c12b6a59		be8b515be5f3261ca74de2d9cc2da99f77496c62
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-17-e7a04255		547df95a0ffec481c44de6ec5b4ef37d1d5635ec
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-18-2a7ed173		de6c04c53478a903d6dfedf7bfad7092eb5fc44c
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-19-62705f47		68789243187e3b1c23852254198d78e9f823e9e7
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-2-1e6a6342		752269c846a2ea600878a49b9f567a5475391ae8
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-23-f664d7ef		de40e57b9e7a373318ca89b8062a0faac2f5413a
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-24-d63f26be		4614308414bb135816f81f8ee2f094cb4cdc7095
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-28-239e82a8		8d1919474071aa4498ef05976bd2931f99f0ffc9
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-29-9e3ddc8e		be2c9ad9226603d39914a63521b0b261330d7035
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-3-c2d1e706		b96d2c727d1f3c1295fb0015997484c0b43f1cf5
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-30-1634c52a		8d03d1e68a3a79d6b42834bd861fe8446fcb4e53
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-31-80deef08		29887d505b5b8e15c3f83c9d9047ca25c51a068b
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-32-96e851cb		d327940f3a9f6caf64f8ee974a85aba4b4eea4d7
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-33-94c5ce87		6d4d5c703324ebc9e8727a6e4ab6480ccee50a6d
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-34-2720f120		bd1d00c90dbeef0cb63100d3543670c967073458
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-35-e445eb40		f2f48e0aeea3fb620f04e6521f94195295740c95
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-36-74c8477d		1694be4aa29bb73bf27383abb37b6095267b72ad
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-37-fc285279		68ded963e0cb73b5707aecc693f5f6648b32ea0c
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-38-96641965		bb47eaabd433c8b340cca5ad0571e6534aa0ff9c
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-39-ba724263		9fdffd73a2f6b57bfd5ba7761a9841f1d8500585
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-4-cf2ff986		ebdd8bfd7de3ab538ebe499d787ad7b663df13be
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-40-ab5f8a2a		738097c08bcb8b97e1c2a23b3e68b48d7d2a6431
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-41-2dacc9ef		b57ae4cb26849e98730e7959822cd4bddb97e6bd
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-42-55d908ea		4232c439d1cf7ca0d45a242df7d9290752bc8b5c
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-47-cab76b4c		5674c02cdbf848462349a534a3f00efe5ab7b831
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-48-8b1a5588		ff91fea3d18b819a5f12dbf992205f5f055ffc65
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-49-151446c5		63e860ab91f2455ef692c13df84f76a66a9930a9
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-5-0af4d9e7		a8c9460f3e0093d0402df95268e299e5589bc692
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-52-d2acc162		026f7958bb0b6759640881c277626a14a0e87b19
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-53-084f7f4e		88adbeefbd1add404a585c03e1a3f62053c527f2
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-55-8ef21714		dbc8d3406bd5423688129b4724617b95d0d24569
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-56-1bcbe7f6		7e0920d014bed16c8d6aa4bc7067591c4103b13b
com.lihaoyi	ammonite-cross-3.2.0-runtime_2.13.10	3.0.0-M0-6-34034262		69edca6bbb3edcc4c7cf51f9c18dfc145d394cc2
com.microsoft.bing	bing-spellcheck	1.0.0		5484ea066e5f729e00282459274d83ab0ed3be4c
com.offbynull.portmapper	portmapper	1.0.0		3a99da5b83c199b1dc59831f7fc272a52375ff83
com.offbynull.portmapper	portmapper	2.0.0		81784ca1c9058dc71f1105c3fbd338562615b92e
com.offbynull.portmapper	portmapper	2.0.1		1e372a02354ddcc18c152eac95237abab9158037
com.offbynull.portmapper	portmapper	2.0.2		38aee4eae08b086f193e39f17f879e2f5c851c9a
com.offbynull.portmapper	portmapper	2.0.3		a1af8288afa6b8640d6949e2b420d5bd4262fbcf
com.offbynull.portmapper	portmapper	2.0.4		e6945a8acdc41cd00d76b915b82ae5d164bd58ed
com.offbynull.portmapper	portmapper	2.0.5		46ab93efc91f70dbe1780cd360c821e2af7c1a2c
com.offbynull.portmapper	portmapper	2.0.6		ef2940d37c9a422979996266af4e8afec3604e18
com.rapatao.ruleset	tests	1.0.0		7f725471af2cf3b03a7d4d319775d8bec509b7d8
com.rapatao.ruleset	tests	1.1.0		ec2356dfa4cdd1297a5b65b3124406f4628908a5
com.rapatao.ruleset	tests	1.2.0		25cf669beb1346638245d811f8a2c9f31d1d5c05
com.rapatao.ruleset	tests	1.2.0-RC1		ca010d112859757560bb137da85cea033e0cfc55
com.rapatao.ruleset	tests	1.2.1		3e21e086a8cabd9ed96090f44517ca854ab2364c
com.rapatao.ruleset	tests	1.3.0		2f681571f48da5cbcca406ceb263e8d464c48bcc
com.rapatao.ruleset	tests	1.4.0		d58dd6c7ef80dd54f6d777061d1865e7d1d7cb9b
com.rapatao.ruleset	tests	1.4.1		5abd1f896d9cd685ab0270cb96eae051ae255394
com.rapatao.ruleset	tests	1.4.2		145bbda0fd7cfecbeadd2f5ab224eb1bf9b2b95d
com.rapatao.ruleset	tests	1.5.0		2ae2d546faec06f6822bdfb444ec02b15bec84b8
com.rapatao.ruleset	tests	1.5.1		1b5f4b1ea7bc4a92b3ab2383a769523b17fb2cfb
com.rpiaggio	discipline-munit_2.11	0.0.1		1539bbbb7f8afe912b9794b06b5a894ea4b827aa
com.rpiaggio	discipline-munit_2.11	0.1.0		5c3a2716c297808310335986e76af276b13ed4c4
com.thesamet.scalapb	scalapb-runtime_native0.5_2.12	0.11.17		897a400e7a61d6ff060f80fd1adda27595a9f37f
