am.ik.eureka	simple-eureka-client	0.1.0		ff36495e0c1ab7aa5884c3fc9e7dfb5e5c8d046d
com.dongxiguo	fastring_2.10	1.0.0+187-75c0ba94		b6b95f5d53f7dc3002fbd313a9e5e65ad4ca7e24
com.dongxiguo	fastring_2.10	1.0.0+188-315e8955		d949713bd8f0476a8284bbaa534f87a9f455d3fe
com.dongxiguo	fastring_2.10	1.0.0+188-9fa030dc		abcdc655b3b724a7b19f1aa4456c2ff99cd3b51b
com.dongxiguo	fastring_2.10	1.0.0+189-43aa7b2c		4d2f95301d9cf354ceac2edcafe80503f75b0d2f
com.dongxiguo	fastring_2.10	1.0.0+189-e2224b11		b3dd6bb9d0fb0ebc176735aeb1072a60f21e1a14
com.dongxiguo	fastring_2.10	1.0.0+190-cb295e7d		a4c5b38cf898742b40b2266e655486887979b821
com.dongxiguo	fastring_2.10	1.0.0+191-290222ee		25359213bdcdbb29c2e91e36c7e40371b32f23e7
com.dongxiguo	fastring_2.10	1.0.0+191-c5203393		ed61b18f137da1b1cf718aaeba784175a9003019
com.dongxiguo	fastring_2.10	1.0.0+191-d59e6ff1		5eceb62b2b789708ccf75ef25018570a5f852d95
com.dongxiguo	fastring_2.10	1.0.0+192-19901a18		cf2e9abb4384a164857b770176d33e06c6b16ab3
com.dongxiguo	fastring_2.10	1.0.0+193-3d11a29d		516fe2c3f6bee644c43bf9195073da5ba989cb28
com.dongxiguo	fastring_2.10	1.0.0+193-bbfda858		6847caa594f200dc929ee9e98c2e3b1c6b19a074
com.dongxiguo	fastring_2.10	1.0.0+194-b7cee8af		cd1a44a8f8a55066aa4a48e233a33e2e560a8322
com.dongxiguo	fastring_2.10	1.0.0+195-156085bc		85743d41be386148f4026a366b2e3d6e514e8d10
com.dongxiguo	fastring_2.10	1.0.0+196-f4d4097d		120dbc28be2eb5e269d51b53effe4e7bbbfd728c
com.dongxiguo	fastring_2.10	1.0.0+197-156d0aae		3ddb1aa683702849958327a0bfbc920208d3ab11
com.dongxiguo	fastring_2.10	1.0.0+197-dd44d416		155c286f3b42e34e31465e022004d69ceb40b39e
com.dongxiguo	fastring_2.10	1.0.0+323-c69fab04		46e68194c3b14c0aad67a67a264404d295ee0d1e
com.dongxiguo	fastring_2.10	1.0.0+327-5220571d		d0feeeaa68290a7a0ce5bc8661c8d1ed6a27af83
com.dongxiguo	fastring_2.10	1.0.0+328-d6fc4916		df1a7d0a85e31ade68c16a7055d68a3bab66af5b
com.dongxiguo	fastring_2.10	1.0.0+329-53af1e51		b54b29fd6838929a1936dd3bd89c2038349f96a4
com.dongxiguo	fastring_2.10	1.0.0+330-4b373a02		4ab3acb0ab8618cd4c0f70b85e5a82854616dc64
com.dongxiguo	fastring_2.10	1.0.0+331-216cf2fa		f00cb75f34a409105347f6f46683d2bdc58e3048
com.dongxiguo	fastring_2.10	1.0.0+332-cd7c8753		2f3a18a30d7a2c598ffd5748009f8a0d7396f96e
com.dongxiguo	fastring_2.10	1.0.0+333-5a38a458		920fbed4e5f6aa930da7066c4b5aa3d7592003d0
com.dongxiguo	fastring_2.10	1.0.0+348-0cd6c4cd		a28509eabe5bd636c33591b63f52e3019a0b431f
com.dongxiguo	fastring_2.10	1.0.0+351-03085219		0536142018319279764ef60771d53953a603d877
com.dongxiguo	fastring_2.10	1.0.0+352-69f54799		87d67082208dd77510f2557a86896ec4d1b1064d
com.dongxiguo	fastring_2.10	1.0.0+353-57f424c1		9f3e707d26e7af100c7ef799f0d9159802f29ddf
com.dongxiguo	fastring_2.10	1.0.0+354-16540aa3		2883d08a169a2d3140fd9dd625d10623d50f1fc5
com.dongxiguo	fastring_2.10	1.0.0+355-05b0da07		56a812edc8f0c9c9bccee906479620f8fb2399e1
com.github.EmergentOrder	onnx-scala_sjs0.6_2.11	0.2.0		953f1f72df0427f0efe435dec91fc70ccd01be18
com.github.EmergentOrder	onnx-scala_sjs0.6_2.11	v0.1.0		41f47c8940ff65b799d2dc06064cc9029b3911fb
com.github.bohrqiu.dubbo	dubbo-cache-core	1.0		91b940a09d8582de5e4b129b22bdfa4b3220c916
com.github.bohrqiu.dubbo	dubbo-cache-core	1.1		bf70676bb4a35dc344917467029f9b8f75780b4e
com.github.bohrqiu.dubbo	dubbo-cache-core	1.2		e6418f048e31be28e14e0cff7d49d60d3badd03a
com.github.melrief	pureconfig-squants_2.11	0.5.1		88ddfe200d58d9b0dd8a76ebc044fdf9a244876b
com.github.melrief	pureconfig-squants_2.11	0.6.0		4963f2231db63888e755348f958895b2357f25a9
com.github.melrief	pureconfig-squants_2.11	0.7.0		7d38873a6097d1846c9d92b58f2ea9242d336b55
com.hexagontk.store	store_hashmap	4.1.0		3a26c1d670af587a7df2ff4add6f3af18577b552
com.hexagontk.store	store_hashmap	4.1.1		661c8cdd3f38ef207778288bfd1eb322b17898c4
com.jtransc	jtransc-gen-php	0.5.13		b08ba22591f6cb4a7f808800287dfa546f7a8a8a
com.jtransc	jtransc-gen-php	0.5.14		2858b1a2afb561f5282faecea5ef4551104bef77
com.jtransc	jtransc-gen-php	0.5.15		f6b567cd500a1c382b5e89a4314fe6c1631dde92
com.jtransc	jtransc-gen-php	0.5.16		0efe474e1e7889a4d0072d7814e3b9c2c053ccf0
com.jtransc	jtransc-gen-php	0.6.0		03871916b5136ee234391289c95532e5edb4fa2b
com.jtransc	jtransc-gen-php	0.6.1		5cd64ad64f91b32f32b0c713013d7e279639f3be
com.jtransc	jtransc-gen-php	0.6.2		ff99e77cd8931117514f756e4e655c2cc7f16ef9
com.jtransc	jtransc-gen-php	0.6.3		1ff7d31fe213ce49ca2dc8d415cea8bcbbef9cf2
com.jtransc	jtransc-gen-php	0.6.4		b9277336da447b050d9da30ebf7b4b792676f7f9
com.jtransc	jtransc-gen-php	0.6.5		f72959aded0fff908203658fe6e733231cf7e77e
com.jtransc	jtransc-gen-php	0.6.6		ace0346a6ee1ac209cec51e478568da97322717b
com.jtransc	jtransc-gen-php	0.6.7		3340a89aa97f18efd12d9f757dd2283f73be0121
com.jtransc	jtransc-gen-php	0.6.8		9b2c2568f0bdbe15d6afc4fb55cd283dc5a1f8f0
com.naturalprogrammer.spring-lemon	spring-lemon-commons-jpa	1.0.0.RC6		979646f7c8168e574fae6a8ba4ee3dc6012d9f63
com.naturalprogrammer.spring-lemon	spring-lemon-commons-jpa	1.0.1		44543796298479f2034e8227d3a646bae6e6440c
com.naturalprogrammer.spring-lemon	spring-lemon-commons-jpa	1.0.2		d7765f66a802517ee2494f9d53696c82b501e9df
com.navercorp.pinpoint	pinpoint-agent-plugins-parent	3.0.0		N/A
com.navercorp.pinpoint	pinpoint-agent-plugins-parent	3.0.1		N/A
com.navercorp.pinpoint	pinpoint-agent-plugins-parent	3.0.2		N/A
com.nrinaudo	kantan.csv-jackson_2.11	0.1.10		6c6226b9481a848961282a1cbea94275cd0e91a1
com.nrinaudo	kantan.csv-jackson_2.11	0.1.11		d9e3a2027d6a93ac42e936ba566418a915f4e843
com.nrinaudo	kantan.csv-jackson_2.11	0.1.12		d5db2254d3cbf8e782cce59bb4aeb40b6542e0eb
com.nrinaudo	kantan.csv-jackson_2.11	0.1.13		2e50ef6573a9d0fc60995bdca62aa110009d117a
com.nrinaudo	kantan.csv-jackson_2.11	0.1.14		7af27b16b2c5dd665b5bfc110c5afd6f0d701f84
com.nrinaudo	kantan.csv-jackson_2.11	0.1.15		c525725b128d0fb47affe6725240dbe76f9e2b45
com.nrinaudo	kantan.csv-jackson_2.11	0.1.16		f7463efd6c5da336cde3ce04910ef403e90994a2
com.nrinaudo	kantan.csv-jackson_2.11	0.1.17		0b05e1ece36e04cf4f6ac76367a179c028af466d
com.nrinaudo	kantan.csv-jackson_2.11	0.1.18		03a3b4d19e3a19d639c05cd436bc13dc9a830b76
com.nrinaudo	kantan.csv-jackson_2.11	0.1.19		8c10acf49fbb63bfe681fe9971cf84e5e8e2a9d1
com.nrinaudo	kantan.csv-jackson_2.11	0.1.8		87c3724fa8fe8c2beb21debee995d868f6854895
com.nrinaudo	kantan.csv-jackson_2.11	0.1.9		b2726ca33bbd6bebf09e2516bbba178437831d6f
com.nrinaudo	kantan.csv-jackson_2.11	0.2.0		3548bf6f4c0f09b2c15c80bf5bb13a80d629f0e8
com.nrinaudo	kantan.csv-jackson_2.11	0.2.1		251083236c3b39f793d0a05ff51fd18b09ae089f
com.nrinaudo	kantan.csv-jackson_2.11	0.2.2		54a0bdf5088ad24d2a29aa6224dc74e2bea66442
com.nrinaudo	kantan.csv-jackson_2.11	0.3.0		2b6715d1274fcb243b5719c84f31ab28aac5d693
com.nrinaudo	kantan.csv-jackson_2.11	0.3.1		7c9cfb0b9336178e028f4ee9731dee2027f85417
com.nrinaudo	kantan.csv-jackson_2.11	0.5.0		4a911550d0558826dc4afe9974fa53715b436b21
com.nrinaudo	kantan.csv-jackson_2.11	0.5.1		7efecbcff6c714512039f987f91ceb46f41de547
com.olekdia	date-time-picker	0.5.5		N/A
com.olekdia	date-time-picker	0.5.6		N/A
com.olekdia	date-time-picker	0.5.7		N/A
com.olekdia	date-time-picker	0.7.0		N/A
com.olekdia	date-time-picker	0.7.1		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.10		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.11		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.12		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.13		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.14		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.15		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.2		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.3		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.4		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.5		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.6		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.7		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.8		N/A
com.oregor.trinity4j	trinity4j-api-clients	0.0.9		N/A
com.sap.cloud.servicesdk	fluent-result	0.0.9		ed277c5a74e387851a75eaded6c2fa7d8268acba
com.savoirtech.hecate	hecate-core	1.0.16		c29f1d594697dfbdcc5d7e352d9df3c35075924f
com.savoirtech.hecate	hecate-core	1.0.17		3bf94950aeeebe5987544f6ee716cfadcf32ffac
com.savoirtech.hecate	hecate-core	1.0.18		0d4807b93b4fd097881e19741d0d84bc242b67a8
com.savoirtech.hecate	hecate-core	1.0.22		b0752e0d6a00f9eb7bce32a7cae26ce548643e4f
com.savoirtech.hecate	hecate-core	1.0.23		e0e0cd82a2d9f445d056484c0498f057ef007d37
com.savoirtech.hecate	hecate-core	1.0.24		e49ec88856dda73ebbb4868f7796ac52f9ca4bb9
com.savoirtech.hecate	hecate-core	1.0.25		75dbac54008095b0e4978d0fdb7f2969ec65c0ba
com.savoirtech.hecate	hecate-core	1.0.26		3f46501c5578953638be737202695a9ed85de978
com.savoirtech.hecate	hecate-core	1.0.27		224f67f32420f8e7e01fdd0511d73fd88c469c9f
com.savoirtech.hecate	hecate-core	1.0.28		7300c333370054243fcbd5aa7bfcb102571d3dc7
com.savoirtech.hecate	hecate-core	1.1.0		8b809a73980a73024a17d6c0cef0a5b5e080f92d
com.savoirtech.hecate	hecate-core	2.0.0		dfb5afb23dfa9db27c8b73c1d68cec45d5ee9da2
com.savoirtech.hecate	hecate-core	2.0.1		f45572e90cd3e02f6f4a10c29602ddd2b7b742cf
com.savoirtech.hecate	hecate-core	2.0.10		a5bf1d76f120b1c65f0ba8e4153f694010df439a
com.savoirtech.hecate	hecate-core	2.0.2		affafc8f2829a353fbc7f177044ec476cf59f6c6
com.savoirtech.hecate	hecate-core	2.0.3		d60b832a2971f0d255fc6562c4740fbc24fcfa22
com.savoirtech.hecate	hecate-core	2.0.4		d5852b26f225f71f4ae55f4505194cf950c4b1ae
com.savoirtech.hecate	hecate-core	2.0.5		c819c61a99979e9e9a5ab685df737066924c416c
com.savoirtech.hecate	hecate-core	2.0.6		4ee989beca46f6702b085ca9506068d2ad040a66
com.savoirtech.hecate	hecate-core	2.0.7		b2a63874724caf9e569f9c8f5ec3f7bc871776dd
com.savoirtech.hecate	hecate-core	2.0.8		651bbd9d849a093da0dd7697a406c5cabb37e75a
com.savoirtech.hecate	hecate-core	2.0.9		55f1851a84f9536cc0887f59a354e02382b35236
com.savoirtech.hecate	hecate-core	3.0.0		7fc5f21a41d6b5f35a66ddd133bbaa76f6548fde
com.savoirtech.hecate	hecate-core	3.0.0.Beta1		a351edc254a3799b0cf7bb80e43ba4613bca97b4
com.savoirtech.hecate	hecate-core	3.0.0.Beta2		588b7cce474c967cdeb92638b88bf934c0ece009
com.savoirtech.hecate	hecate-core	3.0.0.Beta3		1f7b062d8547e2d4a3175b57f7557a259ff5ca4e
com.savoirtech.hecate	hecate-core	4.0.0		db4cd82996ba97295fc901bb4ae6e4e8d4e954dd
com.savoirtech.hecate	hecate-core	4.0.0.Beta1		f27c48091c50ef301fdfc516979a722656af9b48
com.savoirtech.hecate	hecate-core	4.1.0		6b745df3e824a63c96686d49a94d78060feaf2b5
com.savoirtech.hecate	hecate-core	4.1.1		f7a58c240903a4ceac52f655e74db9ba876dd112
com.savoirtech.hecate	hecate-core	5.0.0		5da8d064ace7e1ac2ba076b9eddaa9a2c906f3b2
com.savoirtech.hecate	hecate-core	5.0.1		21a661b6577415c0ada0c1f0258e10b2b3b70450
com.segment.analytics.android.integrations	nielsendcr	1.0.0-Beta		N/A
com.segment.analytics.android.integrations	nielsendcr	1.1.0		f6e9576ff3e697b651dffa52aaff69478429f1b4
com.segment.analytics.android.integrations	nielsendcr	1.1.1		c0fc85d3427629d0c6c0e5e60a8e6132ce48fa9c
com.segment.analytics.android.integrations	nielsendcr	1.1.2		cbb47810e46ee6cb5b6cda72386103fcfa5212fa
com.segment.analytics.android.integrations	nielsendcr	1.1.3		bdb595d88d828c673b7e7622e41a5a59099c98fa
com.segment.analytics.android.integrations	nielsendcr	1.2.0		8d3c52a450c6d55e75d334e3fdb626e1acf2ea3e
com.segment.analytics.android.integrations	nielsendcr	1.2.1		efe490d52588cd0669ee30a2149c5b7c5a8753bd
com.segment.analytics.android.integrations	nielsendcr	1.2.2		015fa42a412d9509b3feb844d4add5119d2c0560
com.segment.analytics.android.integrations	nielsendcr	1.2.3		68c90e2b2b5bb577fd969031b753b7b0584e5369
com.segment.analytics.android.integrations	nielsendcr	1.2.4		7a7c970b0c582c25d33bbcba750e4f89410c51fe
com.segment.analytics.android.integrations	nielsendcr	1.3.0		140d607ac57c40885ab70f13c952026ec0d52331
com.segment.analytics.android.integrations	nielsendcr	1.3.1		9840066e7b986f3ed706e42a63f6650c7b784b50
com.segment.analytics.android.integrations	nielsendcr	1.3.2		014bc3b7eabc7d7ae4545f14480060db2897c23a
com.segment.analytics.android.integrations	nielsendcr	1.4.0		742c682dc828bd7755176962025e2aedbb85a9da
com.segment.analytics.android.integrations	nielsendcr	1.4.1		42c3cfbc4819382cf0dfc5de4d334da8086743f6
com.segment.analytics.android.integrations	nielsendcr	1.4.2		84a31dc2e86acdf4b6cf81b2516899a9d42bf4f0
com.segment.analytics.android.integrations	nielsendcr	1.5.0		654e84dad4506bbe0a5a70fbd897f2a6293a1b5f
com.shipdream	view	0.1.1		N/A
com.shipdream	view	0.1.2		N/A
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.0		a7911d98b9d51d5d41e8946217d05d5be1c2ec50
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.0-M10		03ebab6267978093b4da719d316f78f92722cdbf
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.0-M11		c2b4ce04d856dfff77f7bf14597615c0df7c136c
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.0-M3		2c9b906672ddffcc3d1899d780f3801ff73e07a2
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.0-M4		b95c8b74c4929560eff4174f35072dea6c66c4eb
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.0-M5		b3a3a95a48f628ac1d7e59501af2e68855b0526c
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.0-M6		0cd3f618817cbd4525c59f11451f8022f193f8f0
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.0-M7		277b03b582ce81cb22c68a7815bfa46ae16bd10f
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.0-M8		ace8451b577a9bb81a6ddeff7e6b047ede1493da
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.0-M9		4eacd84a2e01acc4765df5ff8cae25c9d5558ea1
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.1		5c7d83e30314d3cf928e4992294eaeac1db15faf
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.10		aa421216b1dd5ac3d652ee2a548e5bff336d9b18
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.11		ef92cb7eb96e3700b463c23b37d100c9c0d8b68e
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.12		cbc317fa71212a55fed9df56a5e0393ad2471550
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.13		b80582a67698741253a3b2e84ca1325da7cffc6f
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.14		5b1e0d2486b4cf403657f4d0e9411622343393a1
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.15		4f27c0eba05e9e1142dc7ff6885dc8c287569209
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.16		06313f4ff9b744ca45fc90ad179c899644e96a10
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.18		eb7ce3f80dc14670620f51fda211415f4f934709
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.19		bda5c05139ac8a3f71a3461a558bcbbc72e7f297
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.2		bd4cb8fe0b9f5b93b5ad1dd24a624394a473cd97
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.20		180fa249ad7ed36538ae300d67603f15c66d82ea
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.3		0fc4c5900c83e3ac6eb7c7e2f413071158182c53
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.4		feb53a4ce66ccefc72483f6743b609b5856f452f
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.5		06c97666ef2400ae710dfca736094346ec6e44a0
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.6		5553dc8c6014415a09c1c7c9ea02d55bfe37c8a1
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.7		8756426aeeb32d7967ccd3ad2474af1608ae78ea
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.8		1d11af88ea9fa474dc2a5703b1f14b713a0d1675
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.17.9		ce890482091968099ed43fad2e54130823ae0782
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0		19072f78557dfcb6b27d4e0fb7dda3b14f84c9e4
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M1		538bec4d4135253cd55c4e760847193375c9422c
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M10		df21de1d7ca86268b085b3f6f36cbc2e83cd354c
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M11		5e25050ea2197afacfb255094f709ff450cd2e1a
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M15		1a16dac5af191ba31c1c3ef6f8c144d42c4d6ff7
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M17		54d5bfe0f1530c75a8d572e50ecce6b477ea0828
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M18		dfd0f4ce8e0cd41dabbe9d37264a6d4363baee2a
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M2		483909008afd554c3687ba86739d2596477ed91f
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M4		697ac87ab40047b7ba8082945c7b9ca3f8f42534
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M5		1ec4d0fcf44cc4e2e26bc29a7d13de3d68eb60fc
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M7		ce5e83cfdbdebf0c41b630b77deda4431e8183f8
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M8		e333afba4bc164e149ec2d1e21b65da3ae6dbf82
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.0-M9		5445fcac60b1a52e862ca9fe30fbc31caf288cae
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.1		6177edb848d57dc73c455c8b24316915e946808f
