app.cash.treehouse.schema	app.cash.treehouse.schema.gradle.plugin	0.1.0		N/A
com.github.cafdataprocessing.workers.document	worker-document-utility	7.1.0-1518		8f8bdb64ba3f533d827b10d61a1d6c823edf0ca7
com.github.elizabetht	StudentEnrollmentWithMyBatis	1.7		N/A
com.github.fluorumlabs.disconnect	disconnect-maven-plugin	0.1.0-alpha1		e926f787916e0e88d1d56bde20f16e369c20f11c
com.github.fluorumlabs.disconnect	disconnect-maven-plugin	0.1.0-alpha2		30fe1ef13224d1f95fd8fc5c447d99568cdf6c7e
com.github.fommil	spray-json-shapeless_2.11	1.0.0		d2ddbcfa7a0e8cd134d11feceace076b8845a605
com.github.fommil	spray-json-shapeless_2.11	1.1.0		db1cc80794cf75de88ac2d1c13fb1c88984520be
com.github.fommil	spray-json-shapeless_2.11	1.2.0		2528e5906440d5a4b22f031dcb9572eb836811f3
com.github.fommil	spray-json-shapeless_2.11	1.3.0		6e189c4c5dbbcb9e916355800d57785cfaee753c
com.github.fommil	spray-json-shapeless_2.11	1.4.0		75b3894b9a2ec13cf9345158c966392c006a7e3d
com.github.piotr-kalanski	data-model-generator_2.11	0.1.0		2b867d3c43c46f6075b209d845ec261924191e1a
com.github.piotr-kalanski	data-model-generator_2.11	0.2.0		24261e178db98ef1a2f3dc636c0b8924e5fec890
com.github.piotr-kalanski	data-model-generator_2.11	0.3.0		71d37fe18de0dbb10ba10a820e10e236113fa40b
com.github.piotr-kalanski	data-model-generator_2.11	0.4.0		68306c4dbc12d01187363869b11debe73bfb9ad3
com.github.piotr-kalanski	data-model-generator_2.11	0.5.0		dac568a5f2ce94ab57f53967d4a249fd6fefadac
com.github.piotr-kalanski	data-model-generator_2.11	0.5.1		31453c31d44509f0f6672bc5ca74c756f047838e
com.github.piotr-kalanski	data-model-generator_2.11	0.5.2		a3853601bd4b0c9a75989da532d996e8508b20b4
com.github.piotr-kalanski	data-model-generator_2.11	0.5.3		bc7054cef84efa53edb8983c3dfd4ae3da9164c4
com.github.piotr-kalanski	data-model-generator_2.11	0.5.4		262c9af0bb3306ed6198b4dc54c327c5a2679c30
com.github.piotr-kalanski	data-model-generator_2.11	0.6.0		19f36807c38fb5bbf55fa0d6dcffc442f8dc104b
com.github.piotr-kalanski	data-model-generator_2.11	0.7.0		40ba370b9d9553a8787029ae790a899447e0a6d2
com.github.piotr-kalanski	data-model-generator_2.11	0.7.1		1323d6b74933d74426768d4733aed821644b130e
com.github.piotr-kalanski	data-model-generator_2.11	0.7.2		295785f5d414696d57b4da043ffc3dfa9c557abe
com.github.piotr-kalanski	data-model-generator_2.11	0.7.3		43417c373f61537ef490e7aa17b510b5eb4e7d32
com.github.piotr-kalanski	data-model-generator_2.11	0.7.4		654e8e9b68da864e49ca3c4e274265537c7a96e6
com.github.piotr-kalanski	data-model-generator_2.11	0.7.5		de65dc95bb9ed451268ed1aec138a4e4697921e3
com.github.piotr-kalanski	data-model-generator_2.11	0.7.6		8851f2e84f0f0fb16dd255cd34826f2efeee9421
com.github.piotr-kalanski	data-model-generator_2.11	0.7.7		2fc8dbd09a55a1907f1ad108ffcc64cec6c79f41
com.github.yu-jay	rabbitmqClient	1.0.0		5df3dc8149a154da2e4695de6688455d9a95b9c8
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.1.0		e32eec361a3c6031ddbe1069779939cab6beb158
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.10.0		2eccb0046728b7e8ff92a19560add9f390b19aab
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.11.0		7b2a9c93c3c865fd39feffbe33981ca4332a93c5
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.12.0		c6a7788c30f219e1b7c5c79fee67dd0600d55e14
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.13.0		654b7eb3c87354b298126fccc37f67e6c3678a77
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.14.0		fcda66d89fdbe334598c23a3afa78c0e453142dc
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.15.0		e9584f127d2989a7b45088acaad5e6b02e5675b9
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.16.0		745e83405753cececd2e7f750b62f77c7103df05
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.17.0		3a4e24224e86d5920aaa0f67a1793eb483fdc991
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.18.0		9c14b19da7f64b74ee9c6befcce1a2e1f9e299b9
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.19.0		22321ab4525bfbf17ddb0b0f9ac6ed67ca5c533d
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.2.0		96aecbffc9466b514dd1801a977840e1e06082b6
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.20.0		d9c72b2b502aad3e14bd97a2be944c36602ba781
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.3.0		309d98b70bf8bd31323a7ef31ab34bc9e5fffde0
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.4.0		396864a8b21cd0e81f7241553733ef44cf54c1b6
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.5.0		b15eb1c7d006b7a8c71cc60cc09dd9479fb5fbe1
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.6.0		fd973492026b25b9853759ffafb3d184c1e13185
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.7.0		a0816698020806676a87673f6250c42553ad6f07
com.google.shopping.api.grpc	grpc-google-shopping-merchant-conversions-v1beta	0.8.0		057dc300a89bfe040d5046a03393ca66dddd398c
com.julianpeeters	dc10-cats_native0.4_3	0.3.0		e9faa4a7466c8ca048761ec85ecf14fc48cf3cc0
com.juul.krayon	box-macosx64	0.12.0		N/A
com.juul.krayon	box-macosx64	0.12.1		N/A
com.juul.krayon	box-macosx64	0.13.0		N/A
com.juul.krayon	box-macosx64	0.13.0	metadata	be2b8a87577c455af443f012a1f572cc890f160d
com.juul.krayon	box-macosx64	0.13.0-alpha1		N/A
com.juul.krayon	box-macosx64	0.13.0-alpha1	metadata	7a6ece674cb930a15218642b03dbb1f8b558aed9
com.juul.krayon	box-macosx64	0.13.0-alpha2		N/A
com.juul.krayon	box-macosx64	0.13.0-alpha2	metadata	966d1fb752446b3f01fe6aec8d30cd672c33b5d6
com.juul.krayon	box-macosx64	0.13.0-alpha3		N/A
com.juul.krayon	box-macosx64	0.13.0-alpha3	metadata	e1a2e6382fb902be16f049f1cba90f157c4fe60a
com.juul.krayon	box-macosx64	0.13.0-alpha4		N/A
com.juul.krayon	box-macosx64	0.13.0-alpha4	metadata	6cc4af9466fa50290c823404212bcb62a5fd8be7
com.juul.krayon	box-macosx64	0.13.1		N/A
com.juul.krayon	box-macosx64	0.13.1	metadata	83ab9b9e00b25ea86de5d194896247963473e3a3
com.juul.krayon	box-macosx64	0.14.0		N/A
com.juul.krayon	box-macosx64	0.14.0	metadata	fef583ac1e734af37ef86ca1cfdcd0271d9b0122
com.juul.krayon	box-macosx64	0.15.0		N/A
com.juul.krayon	box-macosx64	0.15.0	metadata	ba6d4cbba2fbc242b449f6429e7519d006b847aa
com.juul.krayon	box-macosx64	0.16.0		N/A
com.juul.krayon	box-macosx64	0.16.0	metadata	172cfc4fe4bf6a7308a4f07e13b577c8aadcb454
com.juul.krayon	box-macosx64	0.17.0		N/A
com.juul.krayon	box-macosx64	0.17.0	metadata	bd4b4533c32e0f55395064e5e53e3de917facb44
com.juul.krayon	box-macosx64	0.17.1		N/A
com.juul.krayon	box-macosx64	0.17.1	metadata	a91dc74638ff514fdecda7bfa02c8901ce52e532
com.juul.krayon	box-macosx64	0.18.0		N/A
com.juul.krayon	box-macosx64	0.18.0	metadata	e7d39ece94f7785f2b62c6ddf1abdc48f3bb46f0
com.juul.krayon	box-macosx64	0.19.0		N/A
com.juul.krayon	box-macosx64	0.19.0	metadata	a7e6c0b8e1afb28e6210a31524f1ec8a6c9a90b3
com.juul.krayon	box-macosx64	0.19.1		N/A
com.juul.krayon	box-macosx64	0.19.1	metadata	bfdfbef1e419be8e9cf2af131fd569b99870449b
com.juul.krayon	box-macosx64	0.20.0		N/A
com.juul.krayon	box-macosx64	0.20.0	metadata	694a45665a99859a327db5923dc14ab9ffcecb17
com.juul.krayon	box-macosx64	0.20.1		N/A
com.juul.krayon	box-macosx64	0.20.1	metadata	b32cce17affe12c7e60475769dff88806a1f9278
com.liferay	com.liferay.shared.dependencies.minidev	1.0.0		6044da5f5f00f26d2a9d94ffe832951faf02d640
com.liferay	com.liferay.shared.dependencies.minidev	1.0.1		42b363aa4e665dcdf8f0d69affdedbfc6705b4cc
com.mapbox.mapboxsdk	mapbox-sdk-services	3.0.0		cf8f680f210d4ef77b858e9a526f2109e39166c7
com.mapbox.mapboxsdk	mapbox-sdk-services	3.0.0-beta.1		81f4070bc520220f746b7a737474a9ac396be2b8
com.mapbox.mapboxsdk	mapbox-sdk-services	3.0.0-beta.2		cad96d1dd1e78c292d3912cf4b89750e980dfc57
com.mapbox.mapboxsdk	mapbox-sdk-services	3.0.0-beta.3		1847704182775444dc0debc48830f76873d1a8d4
com.mapbox.mapboxsdk	mapbox-sdk-services	3.0.0-beta.4		b787dc740263601635f03a017c08465ddf52c6d0
com.mapbox.mapboxsdk	mapbox-sdk-services	3.0.1		2638c9fcbb67e4ffe803205b78bcaa3368b8e4e3
com.mapbox.mapboxsdk	mapbox-sdk-services	3.1.0		a88fdd944529a4e8a8c18e9d0cad1eb59167f569
com.mapbox.mapboxsdk	mapbox-sdk-services	3.2.0		d480d3d52680fcce6d36bad918e7d7c675ddcd4b
com.mapbox.mapboxsdk	mapbox-sdk-services	3.3.0		4d2481367d07c2a847c1c24367ff12b69f61ce20
com.mapbox.mapboxsdk	mapbox-sdk-services	3.4.0		9575db84426c54c6deed0f4dfdc4686fd1177a0e
com.mapbox.mapboxsdk	mapbox-sdk-services	3.4.1		853d925dd3895197ea647cb2a25bb6bfa5944d4e
com.mapbox.mapboxsdk	mapbox-sdk-services	4.0.0		b7e96f6443c4325c8386ca39c27688c25a290fc8
com.mapbox.mapboxsdk	mapbox-sdk-services	4.1.0		6975307d1157912a015e024ee771de89797795e3
com.mapbox.mapboxsdk	mapbox-sdk-services	4.1.1		f89246438a20cc631f13dcbed5eda45d72c66d06
com.mapbox.mapboxsdk	mapbox-sdk-services	4.1.2		a617c08b1d7c5cfccbe01c89ae55f40e1069d4ed
com.mapbox.mapboxsdk	mapbox-sdk-services	4.2.0		58c7da4d7356a7752978b25b7ac2e6be5ca38897
com.mapbox.mapboxsdk	mapbox-sdk-services	4.3.0		5ec0e4a7125861f2be33d54965fef1772d9459ac
com.mapbox.mapboxsdk	mapbox-sdk-services	4.4.0		90c4785b75af814c6f5bf2eab7347a6593dd9855
com.mapbox.mapboxsdk	mapbox-sdk-services	4.5.0		253fb1cb3eff77914cb7fbe653e098715de41c86
com.mapbox.mapboxsdk	mapbox-sdk-services	4.6.0		484439062609430d87e6fe88c750b9e85ea8256f
com.mapbox.mapboxsdk	mapbox-sdk-services	4.7.0		afe14eea1ed4ae8f44200f8ac13f5008dff5139f
com.mapbox.mapboxsdk	mapbox-sdk-services	4.7.0-alpha.1		0203f35603b6200a9383641857d1471157db8fea
com.mapbox.mapboxsdk	mapbox-sdk-services	4.8.0		914747f58973f974f5606cf950451bc9d761640e
com.mapbox.mapboxsdk	mapbox-sdk-services	4.8.0-alpha.1		9877e92a399d5753ebd861cde9a2961f8528166d
com.mapbox.mapboxsdk	mapbox-sdk-services	4.8.0-alpha.2		21badeae03a6b40cabc890e39f6551956ef9f0ef
com.mapbox.mapboxsdk	mapbox-sdk-services	4.8.0-alpha.3		5e07439d11d831d6a0dfa5f5a3285a4463136586
com.mapbox.mapboxsdk	mapbox-sdk-services	4.9.0		8f8ac36f8721d7695da071d6b35d72bc28d2a1d2
com.mapbox.mapboxsdk	mapbox-sdk-services	4.9.0-alpha.1		b80a23a0d8e41b5a28512a32569b8b24b59b9c3c
com.mapbox.mapboxsdk	mapbox-sdk-services	4.9.1		3ee4510a6f264d4a77acbed1749cd64779178827
com.mapbox.mapboxsdk	mapbox-sdk-services	5.0.0		f7ba181f7f962fc6a9fa21988f2dd3335c6f638c
com.mapbox.mapboxsdk	mapbox-sdk-services	5.1.0		7c82b3861ed0297ba9c5e7b497f4454622736675
com.mapbox.mapboxsdk	mapbox-sdk-services	5.1.0-beta.1		55f1697e93b9e2a430e98682cbf14f984195e932
com.mapbox.mapboxsdk	mapbox-sdk-services	5.1.0-beta.2		c5d225dde6daee060f3d8b8fda8dc6e1490954b4
com.mapbox.mapboxsdk	mapbox-sdk-services	5.3.0		f2636173c48c0406c4d1ec92b3d7ebe4fd621524
com.mapbox.mapboxsdk	mapbox-sdk-services	5.4.1		001ee91d431dddafe490d9cf85ab65cae7ca2e7d
com.mapbox.mapboxsdk	mapbox-sdk-services	5.5.0		f8b701f1da3c99b1be2e10378d7d13e3454afcb4
com.mapbox.mapboxsdk	mapbox-sdk-services	5.6.0		4544b9b83d1fba9735eb28cb3519d963ed6fec61
com.mapbox.mapboxsdk	mapbox-sdk-services	5.7.0		8f33423398b02288f4efeca32510a7b9ac406cb6
com.mapbox.mapboxsdk	mapbox-sdk-services	5.7.0-beta		647b0e052e7f099ddbb1d7bf66758b1ef4956d09
com.mapbox.mapboxsdk	mapbox-sdk-services	5.8.0		d1583c0d486dd5b6a06890a8cb8ff8bcc23e228f
com.mapbox.mapboxsdk	mapbox-sdk-services	5.8.0-beta.2		b9183ab4ace897c9a85a9e1f83c5e5e011b29dbd
com.mapbox.mapboxsdk	mapbox-sdk-services	5.8.0-beta.3		739c13dcdbf3435f67edd7b2b5863595e0ec3be3
com.mapbox.mapboxsdk	mapbox-sdk-services	5.8.0-beta.4		5482c0a4556b716202b563d953e101e7451e71e4
com.mapbox.mapboxsdk	mapbox-sdk-services	5.9.0-alpha.1		0883fe57fc04e33c2b1b96c039e638c1bb4d061e
com.qingzhuge.framework	qing-framework-log-service	1.0.0		d535aff49ea26cd4c48c116cbe8dc40f1b203bc8
com.qingzhuge.framework	qing-framework-log-service	1.0.1		090908a9844a74163fd1688e64af7d481ccfd7b8
com.qingzhuge.framework	qing-framework-log-service	1.0.1.3		67f4b872c78e046b4164fceb99556507fa3c9350
com.qingzhuge.framework	qing-framework-log-service	1.0.1.4		adb49e9939b535170672bd82b2cc81c123f8dbf9
com.qingzhuge.framework	qing-framework-log-service	1.0.1.5		eecb3b893c10fc84872ff778da16697d876cc8d6
com.qmuiteam	compose	1.1.1		N/A
com.tencent.bk.base.datahub	flink-connector-postgres-cdc	2.2.1-bkbase.2		cd6346881e8fcfa5c726781afe68c61ef3eec0c3
com.tencent.bk.base.datahub	flink-connector-postgres-cdc	2.3.0-bkbase.1		c5daa80958cd759ed244b7c810aff493adf59deb
com.tencent.bk.base.datahub	flink-connector-postgres-cdc	2.3.0-bkbase.2		f9f020a0cae1ad225f86efbfdfb56bfebea381db
com.tencent.bk.base.datahub	flink-connector-postgres-cdc	2.3.0-bkbase.3		39cfba95ee9ee47e557690fa8e2ea9d5bd08c682
com.xiongyingqi	simplify-code-tools	1.0		N/A
com.xiongyingqi	simplify-code-tools	1.1		N/A
com.xkcoding	scaffold-notification	1.0.10		4475b23be53d6873f2467c6b36a301dddaed519b
com.xkcoding	scaffold-notification	1.0.11		9a748e822ff806dc92963b372dfbcedd2ba82e93
com.xkcoding	scaffold-notification	1.0.6		4291a6f28633070b6791b9bfc53174f67f1a3d84
com.xkcoding	scaffold-notification	1.0.7		b9d524178ed676e09ec03c7e7d341755fd690c2c
com.xkcoding	scaffold-notification	1.0.8		260cab989241e14ddaa1631ace14511c596357cd
com.xkcoding	scaffold-notification	1.0.9		1e9fa0be9b265c3eeee6762725a86ff725da176e
de.jvstvshd.vyreka	vyreka-paths-watchossimulatorarm64	1.0.0		N/A
de.jvstvshd.vyreka	vyreka-paths-watchossimulatorarm64	1.0.0	metadata	a6c7a0375cc88236ebfcf5fff5532dd1b1ae06c8
dev.kilua	kilua-ssr-server-jooby	0.0.1		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.10		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.11		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.12		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.13		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.14		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.15		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.16		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.17		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.18		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.19		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.2		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.20		28cbbd267e2cdbea0a637d71db8f57b788a419c0
dev.kilua	kilua-ssr-server-jooby	0.0.21		28cbbd267e2cdbea0a637d71db8f57b788a419c0
dev.kilua	kilua-ssr-server-jooby	0.0.22		28cbbd267e2cdbea0a637d71db8f57b788a419c0
dev.kilua	kilua-ssr-server-jooby	0.0.23		28cbbd267e2cdbea0a637d71db8f57b788a419c0
dev.kilua	kilua-ssr-server-jooby	0.0.24		28cbbd267e2cdbea0a637d71db8f57b788a419c0
dev.kilua	kilua-ssr-server-jooby	0.0.3		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.4		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.5		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.6		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.7		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.8		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.kilua	kilua-ssr-server-jooby	0.0.9		b94fe605ea8ff0f68f3feab065ae0b7d67860964
dev.programadorthi.routing	voyager-resources-desktop	0.0.2		960b44de303a865c3cf1348c302d9664e9fae8a6
dev.programadorthi.routing	voyager-resources-desktop	0.0.3		960b44de303a865c3cf1348c302d9664e9fae8a6
dev.programadorthi.routing	voyager-resources-desktop	0.0.4		e0bcefa087dbb01d608dc0df0424ec6e201f25e4
dev.programadorthi.routing	voyager-resources-desktop	v0.0.1		960b44de303a865c3cf1348c302d9664e9fae8a6
directory-naming	naming-resources	0.8		d38d49cfa39229355d583365e21d754c3a083ed2
io.brooklyn.elk	brooklyn-logstash	2.0.1		896e3cdf4cc14e270cef33da16b187ad2ed8e159
io.brooklyn.elk	brooklyn-logstash	2.0.2		5be67a150b6b484e7e70414455e277ffcdd5d580
io.brooklyn.elk	brooklyn-logstash	2.0.3		b4b09a1edef663fb3c22b8e5b3127e85aec7ef6a
io.cdap.delta	delta	0.1.1		N/A
io.cdap.delta	delta	0.1.2		N/A
io.cdap.delta	delta	0.1.4		N/A
io.cdap.delta	delta	0.10.0		N/A
io.cdap.delta	delta	0.2.0		N/A
io.cdap.delta	delta	0.3.0		N/A
io.cdap.delta	delta	0.3.1		N/A
io.cdap.delta	delta	0.4.0		N/A
io.cdap.delta	delta	0.4.1		N/A
io.cdap.delta	delta	0.5.0		N/A
io.cdap.delta	delta	0.6.0		N/A
io.cdap.delta	delta	0.6.2		N/A
io.cdap.delta	delta	0.6.3		N/A
io.cdap.delta	delta	0.7.0		N/A
io.cdap.delta	delta	0.7.1		N/A
io.cdap.delta	delta	0.7.2		N/A
io.cdap.delta	delta	0.8.0		N/A
io.cdap.delta	delta	0.8.1		N/A
io.cdap.delta	delta	0.8.2		N/A
io.cdap.delta	delta	0.8.3		N/A
io.cdap.delta	delta	0.9.0		N/A
io.cdap.delta	delta	0.9.1		N/A
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.2		N/A
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.2	metadata	42f63808581396b2b349880cb7cf2d8324cb7230
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.3		N/A
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.3	metadata	9b4ab6dac3b598abd5a63afd0c54aee4274caf25
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.4		N/A
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.4	metadata	35c52122f6d8b2a7fbf8f1c0f50eb1754ef9955a
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.5		N/A
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.5	metadata	6df36ae02efa7cb1a4ed39e2436639859cfeaa74
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.6		N/A
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.6	metadata	4c2e2e56bd341810c79c6d19db1836648e919567
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.7		N/A
io.data2viz.d2v	d2v-hexbin-iosx64	0.10.7	metadata	019b14b1356bc54c3ac34e1fd71185e8be0740fa
io.data2viz.d2v	d2v-hexbin-iosx64	10.0.3		N/A
io.data2viz.d2v	d2v-hexbin-iosx64	10.0.3	metadata	7d43f00d61fe7170d7e421ae223195d81b5bd630
io.data2viz.d2v	d2v-hexbin-iosx64	10.0.4		N/A
io.data2viz.d2v	d2v-hexbin-iosx64	10.0.4	metadata	3da728055ff1b358b391503dffff07bb25548739
io.gitee.lorriz	LitEz-Compiler	0.0.1		e68a586d9517fccaebf9a28cb91a6eb6684457f5
io.gitee.lorriz	LitEz-Compiler	0.0.2		ad5b0d568a3acc7b6d1e456aa68265f47ffda146
io.gitee.lorriz	LitEz-Compiler	0.0.2republish		746a0fe7727cf97dac61cbbc7c609776f7342d3b
io.gitee.lorriz	LitEz-Compiler	0.0.3		af5529415cd47149b5dc7f88fadfba369dbffe75
io.gitee.lorriz	LitEz-Compiler	0.0.4		ac7265981e7260849a68e87def03f25fb0e71b52
io.gitee.lorriz	LitEz-Compiler	0.0.5		c619962af831ac6e92811ee0f40045683fbfece1
io.gitee.lorriz	LitEz-Compiler	0.10.1		747655d497c1e1259686ef595de9b5b2883ff6d6
io.gitee.lorriz	LitEz-Compiler	0.10.2		b0f5bdb65240a26f66b6f1aa5ebe3574072f4710
io.gitee.lorriz	LitEz-Compiler	0.6.1		a4f522d9ecd7dc1a0e9ac750078a483ea97cc169
io.gitee.lorriz	LitEz-Compiler	0.6.2		c7f7a234f4ac370346e49f48bb2739173bb8c583
io.gitee.lorriz	LitEz-Compiler	0.6.3		07cb7048ca744f85f281a9dc12b92f83b9a5b6cb
io.gitee.lorriz	LitEz-Compiler	0.6.4		cadd118c73dfb015e63b622c870907769d017b65
