br.com.bluesoft.guardian	guardian-faker	1.8		b935911d0ef1d9e0f1884a3018a1a717a1f6777c
cn.godmao	redis	2.2.26		1173919978d9d70ddcc3160ffd67488ff8b03c89
cn.godmao	redis	2.2.27		15dfb13c8a798b62680372707f12d125aabaf57c
cn.godmao	redis	2.2.3		f61de44dd5b1b67eb66c0f1333551e924d30df02
cn.godmao	redis	2.2.3.1		03ac7c64f7703fac3d94bdd758c9fa3d8b5fe5bb
cn.godmao	redis	2.2.4		f423a011cd55b01a0be2db187a8a4d3379cdf455
cn.godmao	redis	2.2.5		1af39e860a9c935de706f39f6bf50b98f9763ff9
cn.godmao	redis	2.2.6		5b3c36232b2b328e0c54b1cfabd6fff822d4554a
cn.godmao	redis	2.2.7		1be7e165b319d05577f90d6cccf68616b9ab2400
cn.godmao	redis	2.2.8		51132cd7081b5ca64c68381a073cca49c998078a
cn.godmao	redis	2.2.8.1		3b23427d48cacbc5b082a26b2fe81e3438fae49c
cn.godmao	redis	2.2.8.2		4c520b3fb897657a477ba5e5d31d6d408b0a5f59
cn.godmao	redis	2.2.8.3		badf5e1d23cbb305a97b2bcc74a3e004cd56c093
cn.godmao	redis	2.2.9		6872f1249eb99acb133500149bb320f628a2bd24
cn.godmao	redis	2.3.0		64236c09c49e0527c77c604926a7e8fca696cab0
cn.godmao	redis	2.3.1		3bcbd3648ac48eba3661f2cfa3c0dcd884a5527f
cn.godmao	redis	2.3.1.1		9b95d5af87841fccbd7ed83e4824a2505a0da8b0
cn.godmao	redis	2.3.1.2		ca6e369ba8e334e69382d41db7c56b969a260a39
cn.godmao	redis	2.3.1.3		7c44a3cca0b74799138de07f400701d09f166198
cn.godmao	redis	2.3.2.1.Beat		05ac2e61cd37b51cf71338c4d887b15e8d0a72b3
cn.godmao	redis	2.3.2.2.Beat		7ce067b615f1d83ab47b82a842627a8f9c275bf4
cn.godmao	redis	2.3.2.3.Beat		e02dff6a7ff0ce0ef139f521ac85cf1ff89126b4
cn.godmao	redis	2.3.2.4.Beat		89b5a1573a626250398be26dd49c265c1ad4b7b4
cn.godmao	redis	2.3.2.5.Beat		aa22748815ac654628308a1d3f757f1c3832df68
cn.godmao	redis	2.3.2.6.Beat		fbf51fa0ee410bec488f55d35924da996d92d44c
cn.godmao	redis	2.3.2.7.Beat		87574ab7ae57d22564c2ed8b314a40efe790dbc8
cn.godmao	redis	2.3.2.8.Beat		bcbdbe43f78c50255fe8960f771d8e47c68686e4
cn.godmao	redis	2.3.2.Beat		67a8618c1b0dfbaed1b465bc5700637a5e888f47
cn.godmao	redis	2.3.3.1.Beat		b73219e804f0f419da3d46439fba1895c31f882d
cn.godmao	redis	2.3.3.Beat		5958c882d74dc7f7b0f15fcd0ac0bd3ada1923f0
cn.godmao	redis	2.3.4.1.Beat		4fb1992d3bd5a1d6403c65a0c2f26f88bc6efec7
cn.godmao	redis	2.3.4.2.Beat		80570a103649c21ab4c2cb31d0de9bb9c7c445a3
cn.godmao	redis	2.3.4.3.Beat		03100890d0b8331a5f1fa6f15ca02eba9e650cf9
cn.godmao	redis	2.3.4.4.Beat		e1045ee42ee64d64b4fe3b5104ea90faef6155bb
cn.godmao	redis	2.3.4.5.Beat		2c86c558c49a0bb83835881d876d91331fad27fe
cn.godmao	redis	2.3.4.6.Beat		e583bb1cd8132eeda589bc75f65ca62044def62b
cn.godmao	redis	2.3.4.7.Beat		fb8a9341c09144ed7821ba942226e527b5efc931
cn.godmao	redis	2.3.4.Beat		e4d560e86becc0bc75f2fa02e1ec967dbd562354
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.7.0-preview.2.0.0-RC2		N/A
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.7.0-preview.2.0.0-RC2	metadata	f19cb70b1d4f40376f230411dcd3be3fb310a6b5
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.7.0-preview.2.0.0-RC3		N/A
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.7.0-preview.2.0.0-RC3	metadata	6e651de75418956f2e5dd66ff1ffa34c0414a51c
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.7.1-preview.2.0.0-RC3		N/A
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.7.1-preview.2.0.0-RC3	metadata	2499c0ea787f4bf9d884ba1c1de340d0a9d8f000
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.7.2-preview.2.0.0-RC3		N/A
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.7.2-preview.2.0.0-RC3	metadata	87ec16bd16da4c1dfddffec5343ba3e00bca4816
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.8.0		N/A
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.8.0	metadata	d2261c7689fc883f4eb9fe99dfd5c454285291bc
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.8.1		N/A
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.8.1	metadata	9df32bcb10dcc76274da1a9dd6ce6b9746072fd8
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.8.2		N/A
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.8.2	metadata	ebefb879eb02a9eeada3f419091f1ae613257318
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.8.3		N/A
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.8.3	metadata	5868915f843e6f270c91ec2a59f1c766ecfc3a32
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.8.4		N/A
co.touchlab.skie	runtime-kotlin-iossimulatorarm64__kgp_2.0.0	0.8.4	metadata	b538ca381bdd0fee79c9ca32b0a10334cb7e650c
com.aliyun	agency20200324	1.8.0		3e793015ee5723c95f5c1932ee3a7c68b34451b4
com.aliyun	agency20200324	1.8.0	shaded	f96365b3a065c4b556d627c2b713b15faa85278e
com.aliyun	aliyun-java-sdk-oos	1.0.0		6ef21b1f168581921645108ee622d0aa7d23e594
com.aliyun	aliyun-java-sdk-oos	1.0.1		7351ef1f772bbbab776e9e3b925524084c86c194
com.aliyun	aliyun-java-sdk-oos	1.0.5		0fc24025f8c13fcb6119afc7765c51aa491e51c7
com.aliyun	aliyun-java-sdk-oos	1.0.6		bb531b4f32e0db0ebd164a94c58ac532670898b9
com.aliyun	aliyun-java-sdk-oos	1.0.7		d83f4d924f0ed34720e58e3058cb7b0dba90a357
com.aliyun	aliyun-java-sdk-oos	1.0.8		a7e2ef3814f8f4fa015c5b939605c4997db5648e
com.aliyun	aliyun-java-sdk-oos	1.1.0		1d5977c3316b91ee1a0abff46e6ce0fa5a3c46c0
com.aliyun	aliyun-java-sdk-oos	1.1.1		3b092d4bbb7330e22a8ba540ff70ebd586d1bad8
com.aliyun	aliyun-java-sdk-oos	1.1.2		966b2c7c8ad0d1bda275bc1bcc86a8922c2764b6
com.aliyun	aliyun-java-sdk-oos	1.1.3		9b9783a193b96990b632ce0d49f3c899203a3cba
com.aliyun	aliyun-java-sdk-oos	1.1.4		ad822672aee6baffc3da02c8e12b67a3656f99a4
com.aliyun	aliyun-java-sdk-oos	1.2.0		5a556029bae8fb32b9d827e582b8a12f028debdf
com.aliyun	aliyun-java-sdk-oos	1.3.0		4e30d4653597f45c23d4fef2aa5fcb0766f5a608
com.aliyun	aliyun-java-sdk-oos	1.3.1		74809f0365523e54249e850bc01283cdc35efebb
com.aliyun	aliyun-java-sdk-oos	1.3.2		8395de03e2040203c056739864a8f43d157bebd9
com.aliyun	aliyun-java-sdk-oos	1.4.0		950bc01a6b975fcc732c5115cbfe87f0b5f509c2
com.aliyun	aliyun-java-sdk-oos	1.5.0		d237e49a65efc9ef5d981125ce746c29d71c15b6
com.aliyun	aliyun-java-sdk-oos	1.5.10		ca004f00a2ba250e4c703cc1fb830c6d7776096b
com.aliyun	aliyun-java-sdk-oos	1.5.11		5379119710c392633a89308a2f85c0068ed99d05
com.aliyun	aliyun-java-sdk-oos	1.5.12		6386aa0467079c050998dcb195cfd2f8c81799f0
com.aliyun	aliyun-java-sdk-oos	1.5.13		22d0663b631c669b5da1c0ee9b2e9705bd289362
com.aliyun	aliyun-java-sdk-oos	1.5.14		8fd4e487a72f09564b7fdc747291ac9125c11a5f
com.aliyun	aliyun-java-sdk-oos	1.5.3		617961db8b5c2dcba1d777b6927694bd0471cf75
com.aliyun	aliyun-java-sdk-oos	1.5.4		76b1e5817b248ab0347894acc752cd75087c13ae
com.aliyun	aliyun-java-sdk-oos	1.5.5		76f17d7c7446e1662220295001381cd35c91dc63
com.aliyun	aliyun-java-sdk-oos	1.5.6		ba56608c2633f7b6ed6a4324f7cfd8625630647c
com.aliyun	aliyun-java-sdk-oos	1.5.7		ea2011c2f1ccdcf2bb1a08202c5e5efc1e8d55cf
com.aliyun	aliyun-java-sdk-oos	1.5.8		5b2fbb78857fcf2546395968dde31726d4712b47
com.aliyun	aliyun-java-sdk-oos	1.5.9		28db6446b6c2e37777ae18e2fe1ef96dfb74d6a0
com.americanexpress.span	span	1.4.0		aa4f84cd42f9ffcaa40d9176ece2a8cd94270fda
com.apollographql.apollo3	apollo-annotations-iosx64	3.0.0		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.0.0-beta04		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.0.0-beta05		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.0.0-rc01		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.0.0-rc02		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.0.0-rc03		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.1.0		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.2.0		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.2.1		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.2.2		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.3.0		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.3.0	metadata	d9577576d9495949d8dde87b4a0bed2f4f9dfc0d
com.apollographql.apollo3	apollo-annotations-iosx64	3.3.1		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.3.1	metadata	5eba12efcc71dfc88fce9b6a094a3ff14f96bc50
com.apollographql.apollo3	apollo-annotations-iosx64	3.3.2		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.3.2	metadata	bb4009de36d1fd59befe82a41a87e399bebba301
com.apollographql.apollo3	apollo-annotations-iosx64	3.4.0		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.4.0	metadata	25fb810f7fd8dd1716edd5825c09f75ad5b7e955
com.apollographql.apollo3	apollo-annotations-iosx64	3.5.0		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.5.0	metadata	3e410b6c28a48ddd522ff0bb6f9946581e42b6c0
com.apollographql.apollo3	apollo-annotations-iosx64	3.6.0		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.6.0	metadata	19d816466c6d6f03f7c8f9ba38b904b657abf28a
com.apollographql.apollo3	apollo-annotations-iosx64	3.6.1		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.6.1	metadata	3b891b965c2d01d7bc1f17a5e675b82882114de6
com.apollographql.apollo3	apollo-annotations-iosx64	3.6.2		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.6.2	metadata	228e3bef1c2f4aa7312ab140fe17ab9ef4d10119
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.0		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.0	metadata	500dc72e9812e8f493c3d7043792306bde83c4cb
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.1		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.1	metadata	3a84d3ba943d5a017dca73fe5ace2cdae2354f60
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.2		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.2	metadata	3626c8215fb3519dccecd45bf66e639f9da741ad
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.3		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.3	metadata	32ac90a6630d250f82153e1cb7e508b631155ee0
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.4		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.4	metadata	efc849926a3bdc4312fbeb550b6f76a1ece42a2f
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.5		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.7.5	metadata	bca66b4af962d82f7a2785c0cd5f58e01c4ac500
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.0		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.0	metadata	6d40dcdd90ffcc742cee9fe42d0588cf3219fe89
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.1		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.1	metadata	12d9c1cf70bc85720b6c5c5cf9c8676c961831a4
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.2		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.2	metadata	a9aef7bd81cce2e0f59e4f6761180547ed291a7f
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.3		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.3	metadata	78c5d9daa7f420228f2e0c4ab4aa3c2c0216e8e4
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.4		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.4	metadata	c42414fc33e2df8d83c9e0b87ff00d8698fb0408
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.5		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	3.8.5	metadata	7a6345d1b4b6126c0061df6be88022d335db3239
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-alpha.1		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-alpha.1	metadata	5a2ba84648fdc8f739bdc5e8c6759475c25e26cc
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-alpha.2		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-alpha.2	metadata	1606548e7e5ec4ca3def449fd71efdafa37261b4
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-alpha.3		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-alpha.3	metadata	b9d16abdd76464cf1d393f19d8f40462351171dd
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.1		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.1	metadata	f0751cae6ae7bab4b9e7f2d65d93aa7de7c8f374
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.2		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.2	metadata	0c0d0dcbbaac2057459ecd9dfdca8f985544a0b3
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.3		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.3	metadata	9a06199556661c80c844dfbf3b34b4625b18ed31
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.4		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.4	metadata	da7198f2ce279ed151c1f0f387fc5a535842901b
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.5		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.5	metadata	21f58b11163dd64b650bba85bf759d3110dcea74
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.6		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.6	metadata	40d039984b70edc505ba4b06827ec2ab2993cb3b
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.7		N/A
com.apollographql.apollo3	apollo-annotations-iosx64	4.0.0-beta.7	metadata	6cb6307e0cec5123b2d8aa77f8a6e517c42060f7
com.centurylink.cloud	spring-clc-sdk	1.1.1		11173f9d74d8f67c0d3d523eedc67ee5a2bda92c
com.centurylink.cloud	spring-clc-sdk	1.1.2		fe08ff2b9d802479da6be77dfc04b6e8927274be
com.centurylink.cloud	spring-clc-sdk	1.2.0		d72cb3f559b070d9a81589975bb85fd1012c409e
com.centurylink.cloud	spring-clc-sdk	1.2.1		1690472adf99853b131a65211bae5aa9343ee60f
com.centurylink.cloud	spring-clc-sdk	1.2.2		39a3d598c6cf836173fc60aa974e650ffb014c49
com.centurylink.cloud	spring-clc-sdk	1.2.3		b11230efc82fcb45d45fc71c1d8d643b5ca770ab
com.centurylink.cloud	spring-clc-sdk	1.2.4		b465197b0fc9df38335713e5a2355bc607b97615
com.comcast	ip4s-test-kit_3.0.0-RC2	2.0.0		2f05226870b1f967ac8a04e84406c6c7e40fee78
com.comcast	ip4s-test-kit_3.0.0-RC2	2.0.1		91a4883984e37f11b1935b289a5c320bc26344e8
com.comcast	ip4s-test-kit_3.0.0-RC2	2.0.2		56d8ad596641a09d8270123d8d947597627d8bf3
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-11-aa47118		65bebaecc99bfb0c19b21fe6cedb8ed8c2b1fbd1
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-14-83afe82		fb1d3b9f2693dfe5af73e8c73dc383ebd22f88a7
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-15-ae35b7c		4ff6c33224292ce4849c580b3f2b9530c8b7f176
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-2-054623d		d6f8145949e81b4ab9d1d4133b782a0ba86726ca
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-2-c053332		bad97e96fe750f329056298c67091da7118d33d1
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-4-98b2d47		6a2ec152d0f2595859e0328f15f0d2226a462351
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-4-a6e1273		1e20d86ccb6c148b761607621362450040916f4f
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-6-ad85621		7447daafbe9be934a5085d7708b7e29bd8b40f87
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-6-c8b00e9		159072caeb22e26d88d3bc549d719dda8b877bc8
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-7-bac3d09		f96b06c2e885bbd526203cd0cd788146a20006ae
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-7-fb79293		6a982f20355e404457c5663c35e8cf3edeae90b9
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0-9-40864bb		d6fe228b2f542f70e332a3a1c6d8221efb400a98
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0.0		2942644e6ba623b5a22a57d28f1beb660af051b9
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0.1		bbb63bb003a34f059e0b0bcd84cfc56ee1f02422
com.comcast	ip4s-test-kit_3.0.0-RC2	3.0.2		3add928cadbcbf6abee8da94fca41a0de1c77ad5
com.datasift.dropwizard.scala	dropwizard-scala-core_2.11	0.8.5-1		f4b2ab288a4ee5152e6fbcbe598a0ac451a43f13
com.datasift.dropwizard.scala	dropwizard-scala-core_2.11	0.8.5-2		39d5e259f8ed427118fa78ace09da5cac4fe3fb0
com.datasift.dropwizard.scala	dropwizard-scala-core_2.11	0.9.2-1		9edf145141c739705e35654185d75cddb2009dc8
com.datasift.dropwizard.scala	dropwizard-scala-core_2.11	0.9.3-1		fb6ebd77142fecb5fa2b8300ca34fc1be444976a
com.datasift.dropwizard.scala	dropwizard-scala-core_2.11	0.9.3-2		bd584122469cd9da4fd8d7262a3e74b33c7c2b0d
com.datasift.dropwizard.scala	dropwizard-scala-core_2.11	1.0.0-1		dabf65d769e43195ad68891ca42f4dd5da7b3951
com.datasift.dropwizard.scala	dropwizard-scala-core_2.11	1.0.0-2		9722ec5d1c669b8c0091b23396ed6dda133e9704
com.datasift.dropwizard.scala	dropwizard-scala-core_2.11	1.1.0-1		7c5eea1481ad013fa80021146f17142fa9151b27
com.datasift.dropwizard.scala	dropwizard-scala-core_2.11	1.1.0-2		0782fd4c79506ae356cba54920b6893619e74017
com.datasift.dropwizard.scala	dropwizard-scala-core_2.11	1.3.7-1		1499e357e2df6824b19f4cebd326c34b8a4acbf1
com.factset.sdk	bookbuilder	0.1.0		2b98c21d1dd1bf055a26ba6a20533f2486c975e2
com.factset.sdk	bookbuilder	0.1.1		b6b8dd84d142adf863892c98c8a8910cfd5d9600
com.factset.sdk	bookbuilder	0.1.2		37694a125005b43c9b37f3b76b3e7921a5e4b726
com.fleeksoft.io	okio-watchosarm32	0.0.2		N/A
com.fleeksoft.io	okio-watchosarm32	0.0.2	metadata	d57d346571a387c9b7724f3f070c1bb2d710e1b3
com.fleeksoft.io	okio-watchosarm32	0.0.3		N/A
com.fleeksoft.io	okio-watchosarm32	0.0.3	metadata	b5ea81180c79b298dae5f5748d64f853e79de4b5
com.fleeksoft.io	okio-watchosarm32	0.0.4		N/A
com.fleeksoft.io	okio-watchosarm32	0.0.4	metadata	5eadf5ec1b1eb32c1964a5b878cc7a432ba9f90c
com.flowlogix.depchain	unit-test	1		N/A
com.flowlogix.depchain	unit-test	10		N/A
com.flowlogix.depchain	unit-test	11		N/A
com.flowlogix.depchain	unit-test	12		N/A
com.flowlogix.depchain	unit-test	13		N/A
com.flowlogix.depchain	unit-test	14		N/A
com.flowlogix.depchain	unit-test	15		N/A
com.flowlogix.depchain	unit-test	16		N/A
com.flowlogix.depchain	unit-test	17		N/A
com.flowlogix.depchain	unit-test	18		N/A
com.flowlogix.depchain	unit-test	19		47dddace82e7e4b8f998701d76a2df0b316029ab
com.flowlogix.depchain	unit-test	2		N/A
com.flowlogix.depchain	unit-test	20		3d13025e298e8c5eb9bbd1adfe330ba74b0c92a8
com.flowlogix.depchain	unit-test	21		d68d80ab4ecc59e8aa89e5d0281d3d00365dbe5f
com.flowlogix.depchain	unit-test	22		a1f7a6103f59771862abe65a9320b81e3dfd4b1b
com.flowlogix.depchain	unit-test	23		3abe7b63df5095fffb1022a9a3206404baf0bbb1
com.flowlogix.depchain	unit-test	24		e2fd2c811926e7e908e54cb4fe2e89530981fca8
com.flowlogix.depchain	unit-test	25		c25678baeba27763cacbc0f0ecdf48a8d5d3db80
com.flowlogix.depchain	unit-test	26		4222112e04f635d209d654c59334496abb8276dc
com.flowlogix.depchain	unit-test	27		585a0e82fdf0613e73a6eda78b1fff632010ad5d
com.flowlogix.depchain	unit-test	28		f99522ba25810d21b79fdf10dc04accc9658832c
com.flowlogix.depchain	unit-test	29		b603fd8406ccd3482f4d15cb5af38ef63d74697d
com.flowlogix.depchain	unit-test	3		N/A
com.flowlogix.depchain	unit-test	30		cc0143b1e2cff7cc5616dc6751b1a1dd37d19617
com.flowlogix.depchain	unit-test	31		b08fd70387f720e1af02970b4b50a50f187a610c
com.flowlogix.depchain	unit-test	32		b45cbf3d4d2d87ed7f81f8bd6c247ed94f62dc51
com.flowlogix.depchain	unit-test	33		4c1bc7788d115497585dea93a303b5cfa973ddf5
com.flowlogix.depchain	unit-test	34		83b9e07fcc484f5fab5ce6c5eebd043a1c60447b
com.flowlogix.depchain	unit-test	35		a5f759914c857c68833e9fcc01b9a84932102cb0
com.flowlogix.depchain	unit-test	36		970a3d1e757b6786ccd4e6d638c0563324b156d4
com.flowlogix.depchain	unit-test	37		f79a76e9bef5694fd66a49c5475ce6a117ad219c
com.flowlogix.depchain	unit-test	38		eea113491d2d7b0e3e8552b618af8ccbe6cafac2
com.flowlogix.depchain	unit-test	39		69542a663016448feed231ba746863e736c86240
com.flowlogix.depchain	unit-test	4		N/A
com.flowlogix.depchain	unit-test	40		dbb2c448090d855a9b2cec47566864a682aac7da
com.flowlogix.depchain	unit-test	41		3d7fc645e3a745cc5d5d8c01ebce72d5dabb3a69
com.flowlogix.depchain	unit-test	42		6885cf9208c6b39c4db663fd71ace850f4a69120
com.flowlogix.depchain	unit-test	43		53022d6f16d8118a311ca5f94d79a45750db86e1
com.flowlogix.depchain	unit-test	44		0596ca4bbb818e0ec3efc37af2e592ba8881ef82
com.flowlogix.depchain	unit-test	45		1fd419e4fb01caf8c6cb2041776564825d70c4ad
com.flowlogix.depchain	unit-test	46		e504c2166b9d8733ebfc2b689650b55e7079fe44
com.flowlogix.depchain	unit-test	47		664139486e08b8745da0110c259d99ce38cb3065
com.flowlogix.depchain	unit-test	48		5fa51e8ff562fe24cfea5523ed754a0ca669ec71
com.flowlogix.depchain	unit-test	49		7fe8c67fa83a4f1baf4cccd6d93184d3bdc89e01
com.flowlogix.depchain	unit-test	5		N/A
com.flowlogix.depchain	unit-test	50		66b60ac68ce151496a5ff629b0ebfc1ad3a48ed1
com.flowlogix.depchain	unit-test	51		07d50f31003b6f98aa3db6074ad77fca664ab676
com.flowlogix.depchain	unit-test	52		01f1921b65edc292db3de93b9e1b85b5e304b2ca
com.flowlogix.depchain	unit-test	53		2f7449adf0acb2d7689bc762545c096582d59ed9
com.flowlogix.depchain	unit-test	54		a5204bb22aac7f88f98cb73eae1c900bcba16d72
com.flowlogix.depchain	unit-test	55		374ec5aa50583a27ccfd4c54f54ce5949779b7a6
