au.net.causal.shoelaces	shoelaces-apphome-integration-tests-custom-apphome	2.0		c91e51a5a05c0de2452b7fa81b11d4288d8cff95
com.avast.metrics	metrics-scala_2.12	3.0.2		87b38ee976c7e8c40ae87bf3620074ce68fe58d0
com.avast.metrics	metrics-scala_2.12	3.0.3		6602a093f32d29d82a78e18cfbb8fe17985164ee
com.avast.metrics	metrics-scala_2.12	3.0.4		22ebf9c1c4e32186674f586357fe4c4de0e8721a
com.codbex.kronos	kronos-modules-engines-hdb	0.1.0		be63580a4f9a96f85a4aeee9e3777447e58b080b
com.codbex.kronos	kronos-modules-engines-hdb	0.1.1		730ebe92fe4244c68ed292619b6b13474806512a
com.codbex.kronos	kronos-modules-engines-hdb	0.1.2		0157460fdd4223ee11c7f381198c164b52a6f7a1
com.codbex.kronos	kronos-modules-engines-hdb	0.1.3		276d30e4756186300d1fed3678f157018e4fa5d1
com.databricks.labs	dataframe-rules-engine_2.12	0.1.2		938884df3af470808c377a36aaf0106a0ef4664e
com.databricks.labs	dataframe-rules-engine_2.12	0.2.0		d2d57948582ec02770f5828bb8f10665e7460dc6
com.elouyi	yebi-core	0.0.0-c		1d2da10669dd1c2e805744d72d7e20c0c0082fdd
com.elouyi	yebi-core	0.0.0-e		3eb2b63e5b70f1b9c42fe2f6e1a7758777a96bf0
com.geosiris	energyml-utils	1.0.0		e11d48ebcb0175029a09daf8df2f5579c8d509f1
com.geosiris	energyml-utils	1.0.1		6f4ab578c8f144e8f40e98b6ecfc6ef7817477f6
com.geosiris	energyml-utils	1.0.10		126ef1c176c7231bf8c694a4d239e4f2c8921b6d
com.geosiris	energyml-utils	1.0.11		21c111d6bae7181c4f264345ac6d28bfc4ddc6d2
com.geosiris	energyml-utils	1.0.12		15f626847684792670996535139b319f120f931e
com.geosiris	energyml-utils	1.0.13		39364b87251fb811a3a54a0508c139e8db021073
com.geosiris	energyml-utils	1.0.14		8016099b4fb461be942554bac6fdad9254c6a701
com.geosiris	energyml-utils	1.0.15		92f75214c70484e522cabef4abb66517083212d4
com.geosiris	energyml-utils	1.0.16		0c8449515d5eb2693286ab59287bc10deb5b2063
com.geosiris	energyml-utils	1.0.17		76bc9f2ba72db540fb552b8fbabafbbc039a4b54
com.geosiris	energyml-utils	1.0.2		4ff02a775390267a6c696256b997c9e8b2981b31
com.geosiris	energyml-utils	1.0.3		94df435587d891e2ca0a02188926eb4017de52fe
com.geosiris	energyml-utils	1.0.4		0e802cdfe0ad1694e5816655d7cb04bc11822752
com.geosiris	energyml-utils	1.0.6		88193d5be3f0d56cc8cf687dcdaf2ef65671a5cb
com.geosiris	energyml-utils	1.0.7		1805795d0056ba04de8ef5de96a253226d7ef9f5
com.geosiris	energyml-utils	1.0.8		c030b572ebb9f9e4d53f7e1cf013d98593c79473
com.geosiris	energyml-utils	1.0.9		b65a49e501948fc205eed7e1b0c3692b4ebae625
com.geosiris	energyml-utils	v1.0.10		b651256b85f47277b07f5ab2f64b7f2682e42c10
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.10		6bd77da28f5b64248127f7de8617bb1d452b5a5a
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.11		b292108b9d395df760c94a7270200e4df4c92166
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.12		ba38b394169c929cfba6da152d9f3e2ecf354796
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.13		11bf81381186bed4912d1c705c77e9b047b1ae7b
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.14		9385ff7e208a79dd55e4604a43cd89bbb3bb496c
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.15		1037b6a1db7f9cd1bb656c0f77ba339b4b390c09
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.16		40121407235dbb67761c3bb315b990deb0e2d201
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.17		7575e7aa7888a35d174d00894bd5c89c185545f9
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.18		5c38da1fc6e91567abfd97cbeff24fd40acd8556
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.8		0b8925391a8892f0a71fa0162f2f74406f6e35b4
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.5.9		2edea3924dfdce6c6123c1e6f9b3c5e8fb162f1c
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.6.0		5256e2fb0a920c621584e631b7012b60b75f7bd5
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.6.1		b422a097bc21d5a7798cc9aebebc9d4d65e061ac
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.6.2		fad076777bdc4d730e1ee83e580f38869687cd85
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.6.3		c6925fb0eca0afd756402ac21201b163c427d643
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.6.4		20d8549eda0e1c88891f1a175097bad57536f83f
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.6.5		3aa6f9bbe585f0d6cb51297fa8ae84f94c1f1982
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.6.6		2339e675f9008437689fd5b9085ab3f4a8c5abc2
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.6.7		2cb92f81b29d35d78472f3222cd5f1d05333085f
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.6.8		1edab07462ef42a26075c7025bbca7326a915653
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.7.0		c4396dc1d07a6aa6e59e995e14052e6c42e1c811
com.gitee.zodiacstack	zodiac-nacos-spring-boot-starter	1.7.1		bdd036c0c7879fa4b84f0f68125aa508315fb000
com.github.dapeng-soa	dapeng-transaction	2.0.5		N/A
com.github.dapeng-soa	dapeng-transaction	2.1.0		N/A
com.github.dapeng-soa	dapeng-transaction	2.1.1		N/A
com.github.dapeng-soa	dapeng-transaction	2.1.1-final		N/A
com.github.dapeng-soa	dapeng-transaction	2.2.0		N/A
com.github.dapeng-soa	dapeng-transaction	2.2.2		N/A
com.github.phiz71	vertx-swagger-router	1.0.0		fe17b339b20b1dc7bb86d3e7c86a6ab8949500a7
com.github.phiz71	vertx-swagger-router	1.1.0		abd68f8d67fab53c11f031cc330660213eb3d223
com.github.phiz71	vertx-swagger-router	1.2.0		e3d01ab7bf13be7c5886df9235d779b1c8f6dda5
com.github.phiz71	vertx-swagger-router	1.3.0		f937903cf48f82a0e9080265b761220a35d11f14
com.github.phiz71	vertx-swagger-router	1.4.0		0be5b9005a8afd22e4e2b1e60258e892dd59bfaf
com.github.phiz71	vertx-swagger-router	1.5.0		3fbae23b49f2ae44ea0fc61c822f84e2b249a7c7
com.github.phiz71	vertx-swagger-router	1.6.0		6982de7a48c9163e7e9c3672ae901c87eece55c3
com.github.wnameless.json	json-bean-populator	0.2.0		f8f94444de6eb9b7853dc9c7406b68e9e28189a9
com.github.wnameless.json	json-bean-populator	0.3.0		5526917e7ea3299a780b14ab481cd6a7df239c56
com.github.wnameless.json	json-bean-populator	0.4.0		78105abb4be17cfd3703ab72507c5ba54bc54577
com.github.wnameless.json	json-bean-populator	0.5.0		d270865d0dbc2f77c93b6613543801c3b0f9d73b
com.github.wnameless.json	json-bean-populator	0.6.0		bb6448183ae0d514614bb7bc64f89d55ac44dd7a
com.github.wnameless.json	json-bean-populator	0.6.1		890d150395ac6305fd29bacdc953435de12d470d
com.github.wnameless.json	json-bean-populator	0.6.2		7a0fd57d6fd18eebb07573c7121387b4a7c3f887
com.github.wuic.extensions	wuic-yuicompressor	0.5.0		c8fe949e8182e70caf868755996b9682f9bd3313
com.github.wuic.extensions	wuic-yuicompressor	0.5.0.RC1		e0fd37ef7feca69c53e46e8d44fc0fba34946e8a
com.github.wuic.extensions	wuic-yuicompressor	0.5.0.RC2		224c0e687a96415b88f60591ec1374082339590c
com.github.wuic.extensions	wuic-yuicompressor	0.5.0.RC3		45cbf9f6b08a7568c50a9d10a80189ffc0f05512
com.github.wuic.extensions	wuic-yuicompressor	0.5.0.RC4		25c2de917e323844c6bfa05471d152b5b253b1c2
com.github.wuic.extensions	wuic-yuicompressor	0.5.0.RC5		9ea9efccc20bd603a3aef6d99373d8ad1fc0a964
com.github.wuic.extensions	wuic-yuicompressor	0.5.0.RC6		df62242cd850833714bdf1c89199b88c67194797
com.github.wuic.extensions	wuic-yuicompressor	0.5.0.RC7		22f8683118319a5a563f3d724943b2b50ed1258b
com.github.wuic.extensions	wuic-yuicompressor	0.5.1		17610a35ac2df4cf4e707f351d4475f65ce7af36
com.github.wuic.extensions	wuic-yuicompressor	0.5.1.RC1		a6c9b896021aa0c6cc6db50205ce73f799703f93
com.github.wuic.extensions	wuic-yuicompressor	0.5.1.RC2		322e3b272f6d8398184433257cc3126d81dce5bc
com.github.wuic.extensions	wuic-yuicompressor	0.5.2		e05014273c250c901f28aa6e55c905fb26809958
com.github.wuic.extensions	wuic-yuicompressor	0.5.2.RC1		6ebdb70fe7d5d9085e4a34e0dafbbb884295d00c
com.github.wuic.extensions	wuic-yuicompressor	0.5.2.RC2		4bf128e01883598147ec8e7029ae3b465eff3c90
com.github.wuic.extensions	wuic-yuicompressor	0.5.2.RC3		ab9bae3035dd8fa312340e876bbe59a0ca2d0894
com.github.wuic.extensions	wuic-yuicompressor	0.5.2.RC4		91aca6e2cc5267fbd824ce5fd47c8edf96fad061
com.github.wuic.extensions	wuic-yuicompressor	0.5.2.RC5		abfcabe935e9a20baf3d7a4c3eb9a4a99fb54148
com.github.wuic.extensions	wuic-yuicompressor	0.5.2.RC6		643578328d317f2fb81e1d336b1957302b6e7e36
com.hinadt.hicloud.android	HinaABTest	1.0.0		N/A
com.hubspot.maven.plugins	dependency-scope-maven-plugin	0.1		c1af67c7c193e956eccbc3f698fad4d5b033201d
com.hubspot.maven.plugins	dependency-scope-maven-plugin	0.10		b5f1eb2d6a266c88ae2e28dbbc2364f4cd04027c
com.hubspot.maven.plugins	dependency-scope-maven-plugin	0.2		c1b232ff79fe3f9798d95c6df51bf47ab17dff55
com.hubspot.maven.plugins	dependency-scope-maven-plugin	0.3		c9d1da19ebe839d50336a1497d4379ab041f1a45
com.hubspot.maven.plugins	dependency-scope-maven-plugin	0.4		7b325767b853f6631c5a35f245856117c8090953
com.hubspot.maven.plugins	dependency-scope-maven-plugin	0.5		b7f5c67f970434e01987b421d14f8232b9fba24e
com.hubspot.maven.plugins	dependency-scope-maven-plugin	0.6		bbd42fbefef45fadc7fb63e756091b7ed6317145
com.hubspot.maven.plugins	dependency-scope-maven-plugin	0.7		27d78a6e7193d3d10e902f587b4e3515efb004f0
com.hubspot.maven.plugins	dependency-scope-maven-plugin	0.8		e4ea09b1132257bbd1cc447b28fa0c7dfc747d56
com.hubspot.maven.plugins	dependency-scope-maven-plugin	0.9		2be724c783e2b5d64db56339828221ae2e6102a9
com.knuddels	jtokkit	0.1.0		fca698952d685b64645421a579c4dc9ed5e33d5a
com.knuddels	jtokkit	0.2.0		a1a1d3d265c72beab2aa4808779cc6a081c699cf
com.knuddels	jtokkit	0.3.0		27c77748afd4d05e38b32322abe8e6bccee83c89
com.knuddels	jtokkit	0.4.0		8279a7bae6bc5f03ba5e8eaa44cc773c6d07131b
com.knuddels	jtokkit	0.5.0		5c959640ab55f886e43e84272f989c1ad0387619
com.knuddels	jtokkit	0.5.1		55f7a559c74884dc026a219ece0ca270bcb2f7e5
com.knuddels	jtokkit	0.6.0		dc537fe6754455e0d744ffdf693385061017f927
com.knuddels	jtokkit	0.6.1		56ef2cc4a58fcb046f3852880ab0ca2a9e5f358a
com.knuddels	jtokkit	1.0.0		1f6d2254f2cceb73620dc79fdecf4d4b5ddd3621
com.knuddels	jtokkit	1.1.0		b7370f801db3eb8c7c6a2c2c06231909ac6de0b0
com.moz.fiji.examples.phonebook	fiji-phonebook	0.1.0		8ffb41a080f3ae8eafd0874c7d446ab8f4bba105
com.moz.fiji.examples.phonebook	fiji-phonebook	0.1.1		89463f71121ad00977268d6d9d89dc3701320a8a
com.moz.fiji.examples.phonebook	fiji-phonebook	0.1.3		399ac13ed11ad929ca2c5dcc831639ab74e216be
com.moz.fiji.examples.phonebook	fiji-phonebook	0.1.4		f6eabe61437e7eb5a20937fbc406050761a5a508
com.moz.fiji.examples.phonebook	fiji-phonebook	0.1.6		d71ca6517361ef46a43d9ff844c8c4188e2a3001
com.moz.fiji.examples.phonebook	fiji-phonebook	0.1.7		e4c024ff23e7a9267c1521e5ab9220a4fdeb603d
com.moz.fiji.examples.phonebook	fiji-phonebook	0.1.8		2a739e13d370e48157e88c9bbcf16e02722986be
com.moz.fiji.examples.phonebook	fiji-phonebook	0.1.9		6e92569adb57dcecc2034675962590a394339668
com.mtvnet.boxspring.modules	boxspring-crowd-integration	1.0.3		N/A
com.netease.yunxin.kit.smslogin	smsloginkit	1.0.0		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.0		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.0-beta		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.0.1		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.0.2		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.0.3		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.0.4		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.0.5		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.1		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.1-beta		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.1-beta2		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.1-beta3		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.1-beta4		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.1-beta6		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.1-beta7		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.1-beta8		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.1-beta9		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.2		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.2-beta		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.2-beta2		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.2-beta3		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.2-beta4		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.2-beta5		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.2-beta6		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.2-beta7		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.3		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.3.1		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.3.2		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.3.3		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.3.4		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.4-beta		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.4-beta2		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.4-beta3		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.4-beta4		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.4-beta5		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.4-beta6		N/A
com.pojosontheweb	woko-compass-hibernate-web	2.4-beta7		N/A
com.quamto.jira	plugins-business	1.1.0-rc		fec7a1d9c3e01adba8a0db68a53b0dd1976bf380
com.quamto.jira	plugins-business	1.1.1-rc		dd8b8d22d9727ee73b5ed5e73aadd0618380242d
com.quamto.jira	plugins-business	1.1.2-rc		8202721670a9e6248728b6a702c9931ecde8bf5f
com.quamto.jira	plugins-business	1.2.0-rc		e403cffc9349f01ae0f12d30d59e580fe2829783
com.quamto.jira	plugins-business	1.3.0-rc		f5d328a1f279e3b79e7bb75ebebec299ea2818b5
com.quamto.jira	plugins-business	1.3.1-rc		3ec7a1837996a886f0354a7d95bef04e66bd7771
com.quamto.jira	plugins-business	1.3.2		d67efa14640f38e73c20a9c0dcbc162b1b851c1e
com.quamto.jira	plugins-business	1.3.7		f05d58c0af89cce42627b7a2452008f008fcdc4f
com.quamto.jira	plugins-business	1.4.0		579daaa54ef3674e3bce6cef651504b407e6d141
com.quamto.jira	plugins-business	1.4.1		0139036808f6c1446fa6a4f45cbce79ec1cd4250
com.quamto.jira	plugins-business	1.5.1		16c35438e53f6e71a6eaaa41cb485ea896bf0c90
com.quamto.jira	plugins-business	1.5.2		1d3b3cafc29006b6672dbc208c6ba592e47b22e8
com.quamto.jira	plugins-business	1.5.3		f29b331a2e040384414db8e93b0bfac76299eefd
com.quamto.jira	plugins-business	1.6.0		1b406a3c31af282bb32e260f3f03b01ec7023a73
com.quamto.jira	plugins-business	1.6.1		67b7bb0814a2eaaecb6213a4cb25e055caa5f417
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.1		006b054e2dfcc6525cf02bacdc6319b9e78a10c8
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.10		3fd43c81033f349fe834273a4922790eaf561208
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.11		d5182fbbaac71b190d6b2c0204dc40de5766494c
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.12		a154937dba6fb8d615ff8f04b9026ea9e5a605da
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.13		a2c1a939fb519ab5f2bd88b7b8a1098d6815178c
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.14		0f241322bad39da795d1022bac31629fd7a006a6
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.15		95a730abca21759ab6d01725a49c21eb9c2ce7da
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.16		7e5372fa7435b0aafa0c59c1cc54a39472d317b3
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.17		8d0ff54b5a729cd207932c11e69ea7992a5c1538
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.18		c1b7d61c39d299690d2306ce684be065e49ab282
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.19		ab73920abc5a076a59bfc2bc27d32b5e367de16c
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.2		87e92ad9ae8615c343276f88cb40c54d0b4ecf5a
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.21		a7d0c2b4721beccb655f4b35796cd7fd42802baf
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.21.1		ccd57af5af885b6d3af0840ef193229839f2db0f
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.21.2		1d3aa363f206c4288dbb0fa7146f1770befa1971
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.21.3		5b0e186ba53b14527ef39b0fa984510aa36f2b29
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.3		fb248ea28d8bb4ae1c0d6e59bc932b343d23f7ce
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.4		6121ca0fa32a5b0d5f63067b4c87fd10b7e761fb
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.5		e2fb271e4ee29d44ab8ceac41dd563ee71d87717
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.6		95b8ad829990e4efb30bb42c6b2054e8924362f4
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.7		8e460abc9c1b04bd9ee39b73599c07eff1a6319f
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.8		68c3f550c3cc1493876a481a9e54e997aabff1e4
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	0.9		b45994bae406ebca2358cffecd70e79b0a1c757f
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	1.0.0		6d9bfaecff59cd9d4345d0eab7ba6ce0a0c4f282
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	1.0.1		19888d09e713a2563fc659fa2b2005ee3785e4b2
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	1.0.2		7492f1cbf8b47017bafe834ef67df01e5ebd37fd
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	1.0.3		786703031424683bf0fae1e688d7877ac401bfff
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	1.0.4		56d837e0954e77af7a467291f6674f0cd68982d4
com.vlkan.log4j2	log4j2-logstash-layout-fatjar	1.0.5		a1439c997071f63bb2dad08955751b3b6b9bf983
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.0.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.0.0-M.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.0.0-M.2		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.0.0-M.3		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.0.0-M.4		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.0.0-M.5		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.0.0-RC.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.1.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.1.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.10.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.10.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.11.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.11.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.12.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.12.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.13.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.13.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.13.2		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.13.3		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.14.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.15.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.15.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.16.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.16.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.17.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.17.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.18.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.18.1		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.2.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.3.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.4.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.5.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.6.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.7.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.8.0		N/A
com.webcohesion.enunciate	enunciate-examples-jax-rs-jackson	2.8.1		N/A
