cloud.caroline	caroline-sdk-store-encrypted-jvm	0.0.1		dc2b576a646e30527e3e7cdb9597e8702d2cb12e
com.day.crx	crx	2.1.0.10		N/A
com.day.crx	crx	2.1.0.11		N/A
com.day.crx	crx	2.1.0.12		N/A
com.day.crx	crx	2.1.0.13		N/A
com.day.crx	crx	2.1.0.14		N/A
com.day.crx	crx	2.1.0.15		N/A
com.day.crx	crx	2.1.0.16		N/A
com.day.crx	crx	2.1.0.17		N/A
com.day.crx	crx	2.1.0.18		N/A
com.day.crx	crx	2.1.0.19		N/A
com.day.crx	crx	2.1.0.2		N/A
com.day.crx	crx	2.1.0.20		N/A
com.day.crx	crx	2.1.0.3		N/A
com.day.crx	crx	2.1.0.4		N/A
com.day.crx	crx	2.1.0.5		N/A
com.day.crx	crx	2.1.0.6		N/A
com.day.crx	crx	2.1.0.7		N/A
com.day.crx	crx	2.1.0.8		N/A
com.day.crx	crx	2.1.0.9		N/A
com.day.crx	crx	2.2.0-load7		N/A
com.day.crx	crx	2.2.0-load8		N/A
com.day.crx	crx	2.2.0-load9		N/A
com.decisionlens	watchmaker-swing	0.1.0		24261d8c9272da8a86e4cae09d5f98dfb66c213c
com.discord4j	stores-caffeine	3.0.0		f197ead63bc611e26713fd3984eec55e0c218ecd
com.discord4j	stores-caffeine	3.0.1		3eb156a2eef7b84d86be07286902371ecb5feead
com.discord4j	stores-caffeine	3.0.10		097748e6674c8f304ebc9a25cb8442da07d25c1b
com.discord4j	stores-caffeine	3.0.11		7e053f8ba41032c02a3d6c84962d4bbbbf009abc
com.discord4j	stores-caffeine	3.0.12		691caa3ed2bfa6482c0ab1395d33950ece5744f1
com.discord4j	stores-caffeine	3.0.13		2c96ba50c9b38ed89b86457ca3b2f95d130f23da
com.discord4j	stores-caffeine	3.0.14		8d0e43e1c05aef9b1e5c55956a7aa3992d3ad30c
com.discord4j	stores-caffeine	3.0.15		9d24dd60b407586d55da0cc3889b353b0378da03
com.discord4j	stores-caffeine	3.0.16		2bac928b57c24366c3b252a1738a7b6849b6aaa7
com.discord4j	stores-caffeine	3.0.2		db75b05721f19c5403873f4de3eb3e117c519b63
com.discord4j	stores-caffeine	3.0.3		0c246aec5c1119920277462cdfe91d0e8e67a6b6
com.discord4j	stores-caffeine	3.0.4		58c5ec1f874587c7faca54c02a75ee79146ad96e
com.discord4j	stores-caffeine	3.0.5		3801568d2d1861820b8dbc167142e97778e286cb
com.discord4j	stores-caffeine	3.0.6		e8b3a83efaa6b82ecb9a17d4dad115a5d09a50a6
com.discord4j	stores-caffeine	3.0.7		a80d4cb00e40a9099b80930c6f7b5bd043870804
com.discord4j	stores-caffeine	3.0.8		abe5542d5ebdb5a5c7ccdc8ba962fc598999bbb6
com.discord4j	stores-caffeine	3.0.9		51821f85df89e895a43740ac628a21b7e44fe4a0
com.discord4j	stores-caffeine	3.1.0		930825541dd459ce39963823755ae13215449b1d
com.discord4j	stores-caffeine	3.1.0.M1		f19d315ebbd0058eaa5f8c5992100210287b9ba4
com.discord4j	stores-caffeine	3.1.0.RC1		276dc865029c5fe2ce989abe46a1dbaccc036498
com.discord4j	stores-caffeine	3.1.0.RC2		48ba44377df7b6c2caed087de580bb8025059862
com.discord4j	stores-caffeine	3.1.1		9f4b7861c720361a04dc16fdfb6c8b00948aeab8
com.discord4j	stores-caffeine	3.1.2		51d23c7c96394475423c9995a4fe45f4db8475cd
com.discord4j	stores-caffeine	3.1.3		808c1287179b554be30f40bf9ebc24e3a5e894d0
com.discord4j	stores-caffeine	3.1.4		9df8d9dba225b408937118b4c65f925a9b16db09
com.discord4j	stores-caffeine	3.1.5		8715b3926bd6d243a81706f1292f757bb4a436dc
com.discord4j	stores-caffeine	3.1.6		1255e25517b71123ec4087ed9d6ca7b0343b1933
com.discord4j	stores-caffeine	3.1.7		29d00c029b2e6c2ec82908e5ee48c7274afa4703
com.discord4j	stores-caffeine	3.1.8		716046e4856e064475e2d08fdda674dfd052f371
com.discord4j	stores-caffeine	3.2.0		4531e388f1a23d77253c27951eb4efae74ee0ef9
com.discord4j	stores-caffeine	3.2.1		70eb77d4a24fbce031e2b904ce633c4545aad2a2
com.discord4j	stores-caffeine	3.2.2		514802f4a95dcbd5305e7da31425742735ec0124
com.discord4j	stores-caffeine	3.2.3		9ea27ef94713bbcbc86fa481ab71f51431052f35
com.dou361.ijkplayer	jjdxm-ijkplayer	1.0.2		N/A
com.easy-flowable	easy-flowable-ui-api	1.0.0		c17f9f96b6f6d03d2e9bf9ddc57fe2a088c7cc7b
com.easy-flowable	easy-flowable-ui-api	1.0.1		8ec53ebb11f785c0d1fd9748f00318305d73148c
com.easy-flowable	easy-flowable-ui-api	1.0.2		5efd68153d3cce755f361531fd88746f7f04e744
com.eygraber	uri-kmp-androidnativearm32	0.0.1		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.10		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.11		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.12		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.13		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.14		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.15		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.16		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.17		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.18		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.19		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.2		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.3		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.4		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.6		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.7		N/A
com.eygraber	uri-kmp-androidnativearm32	0.0.9		N/A
com.genability	genability-client	1.10.0		0356c43489fd7489a731a727bf80772cdd53e6f3
com.genability	genability-client	1.11.2		bd46728d2eeffcd8a344537f2e61beb88b51ed40
com.genability	genability-client	1.12.0		787bb70443195cea06cb8650e0299930f982378e
com.genability	genability-client	1.12.1		c659817e87ef395a722bb6adf4d4f21e4e886cd6
com.genability	genability-client	1.13.0		9ec453e002f52678e728cbdd15777dc0fa05fe9e
com.genability	genability-client	1.13.1		c5ea72558757f5a4785e9a252d30de336365b911
com.genability	genability-client	1.14.0		04ba0dc1184534c545585832c0438b3031b62b59
com.genability	genability-client	1.15.0		a5ea00a2a8cd2fe77d77d9bd084f45a2b8e1617a
com.genability	genability-client	1.16.0		2bdb5dcd4bd97302fc6e493650adac3ce97d1d83
com.genability	genability-client	1.2.0		292b8232d1ab21d1d724029be7af4c63256bb6fe
com.genability	genability-client	1.2.1		da5055ff1fd383dd1677cd94b890c6eb1dcb18cf
com.genability	genability-client	1.2.2		882b660b0e1c463f04d9722b8ae434ba5fc6a210
com.genability	genability-client	1.2.3		cf8fd9162c8b66f2c40e6f771fddab60bfe7f568
com.genability	genability-client	1.2.4		ae1650bef50eac4bf30f22903cfdddadd39fda42
com.genability	genability-client	1.2.5		37e592b7a4119266fd6ae5dfe203fd9032785910
com.genability	genability-client	1.2.6		56a25efd94a0327765781caf0dbfb21c85f56449
com.genability	genability-client	1.3.0		dfff40511e862e1aef624760e2e29a7c265998a5
com.genability	genability-client	1.3.1		a8f8af4f6f270c49e23aa49a40abebc108afe13c
com.genability	genability-client	1.4.0		c8c8b3c3a415655000d5747e9b0302fbbb9a08b6
com.genability	genability-client	1.4.1		7e1ee815ae02d1863f4c87d0afeadb361a830390
com.genability	genability-client	1.5.0		a97e177bb500af9a2f012326f8632b5410d04927
com.genability	genability-client	1.5.1		5ae317a0691bcd778d970e877afef0c771062039
com.genability	genability-client	1.6.0		c94a2c6a1a15187b09caf44219be303cb66abe65
com.genability	genability-client	1.7.0		c4e33c6915c310b2dba856b93d368a39e6268790
com.genability	genability-client	1.8.0		3ded7a578c287086f878fe2e6069db754f79538f
com.genability	genability-client	1.9.0		6c3f192debb6a4330aed45285eaea39abc845885
com.github.arguslab	jawa-compiler_2.11	0.0.2		bac84c838f73c22b7f32a503bb7301aac1c31cf1
com.github.arguslab	jawa-compiler_2.11	1.0.1		7dd0d9e890f2c793110098f651b9d8f4bc460dc6
com.github.arguslab	jawa-compiler_2.11	1.0.2		6e8da96fc93ab755e8ccac8639c92c6900275f46
com.github.arguslab	jawa-compiler_2.11	1.0.3		9f8105112a3a94ee2c8b05bab9c4ed0c34d4f76a
com.github.arguslab	jawa-compiler_2.11	1.0.4		e4dd3687b34538561189fccc5994927ad549b01a
com.github.arguslab	jawa-compiler_2.11	1.0.5		788cbe30be3141c27ceb3248b5af32ac3a94cae2
com.github.arguslab	jawa-compiler_2.11	1.0.6		09df8992fd3bbf94afd494456473666de4a9f47a
com.github.arguslab	jawa-compiler_2.11	1.0.7		24122d71cda8241165dcaae669a8c30bdb28b6f4
com.github.demidenko05	a-apache-jsp	1.0.3		39ae46936a6be5e43ed3cdfeb9ae09ad7b7f088f
com.github.demidenko05	a-apache-jsp	1.0.4		4d287998e6870ec184b57f5d5988d9ac9669eaae
com.github.demidenko05	a-apache-jsp	1.0.5		d1f4184de6b5abb049c9b2a6f25dc9ad4d3d0a51
com.github.guillaumedd	gstlib_2.13	0.1.3		b27fc56839d1f3ab4a9f6c8abe12a9d884548b12
com.github.houbb	jdbc-common	0.0.2		5981ce4f0d76677e32082b76f1e8ae4976ab8c92
com.github.houbb	jdbc-common	0.0.3		f6dd2e99cc6d44dbf816e471d350bfb61c438c0d
com.github.houbb	jdbc-common	0.0.4		628b12341a60ac76792951528034b50226fc3e87
com.github.houbb	jdbc-common	0.0.5		18789ad0011b2f9066a5e8b3e7e84e7072150047
com.github.houbb	jdbc-common	0.0.6		853b554c8ea5881edb2279ed5807b108115370a7
com.github.houbb	jdbc-common	0.0.7		91af5b41789688833b57e76f7886ecfb8f67f36d
com.github.houbb	jdbc-common	0.0.8		b08e0007e8f62e9440b93ddd43a37f6efef253ef
com.github.houbb	jdbc-common	0.0.9		790aab22d76eba604d84f75bae6acad2965f8200
com.github.houbb	jdbc-common	0.1.0		0fb1a1fb5ec3d21f516026b0189490cc7cf71d82
com.github.houbb	jdbc-common	0.3.0		b7e64188e60979c5111530cf98bf197ac231921a
com.github.houbb	jdbc-common	0.5.0		1450aa4e504e9de9863b4a08c39381def2e735a5
com.github.houbb	jdbc-common	0.6.0		2c60fdf4630dc835123eb78a12bc700a2da78cf2
com.github.houbb	jdbc-common	0.7.0		b2f23d98664a89aaa3d8ceabe38ac720c18c176d
com.github.houbb	jdbc-common	0.7.1		31ca0fab558b16e26024569eb73044b4ea43cdde
com.github.houbb	jdbc-common	0.8.0		f2e44016c86bd91c76990e3d01bab093da1b0e8e
com.github.matthew123cl	CQApexAdvertisingSdk	1.0.0		N/A
com.github.matthew123cl	CQApexAdvertisingSdk	1.0.1		N/A
com.github.matthew123cl	CQApexAdvertisingSdk	1.0.2		N/A
com.github.matthew123cl	CQApexAdvertisingSdk	1.0.2.1		N/A
com.github.matthew123cl	CQApexAdvertisingSdk	1.0.2.2		N/A
com.github.matthew123cl	CQApexAdvertisingSdk	1.0.2.4		N/A
com.github.matthew123cl	CQApexAdvertisingSdk	1.0.3		N/A
com.github.scalaprops	scalaprops-magnolia_2.12	0.1.0		4fa8fe5ef1a181d28dec15a2530312451da0e051
com.github.scalaprops	scalaprops-magnolia_2.12	0.1.1		84fa006ad54cceadaf653fe8fe71b5990b272079
com.github.scalaprops	scalaprops-magnolia_2.12	0.1.2		3c6cc4bbc1e4efd5c4fa3af9e5dbf04db61b650e
com.github.scalaprops	scalaprops-magnolia_2.12	0.2.0		93f6b6c1d29251b4e2a7393620521f6cabea70c6
com.github.scalaprops	scalaprops-magnolia_2.12	0.3.0		65e3b02f24864ef857168ef476b4ca24bd8b0949
com.github.scalaprops	scalaprops-magnolia_2.12	0.4.0		d3ef4308d577f1241897bb0f59a32e64d5b4f9d2
com.github.scalaprops	scalaprops-magnolia_2.12	0.5.0		202dad2ccc87d25333ed5fc20f12c099944849f9
com.github.scalaprops	scalaprops-magnolia_2.12	0.6.0		50fda296af1e7dc8ee1caab84e96911d630a4c73
com.github.scalaprops	scalaprops-magnolia_2.12	0.6.1		a62490301082a1fc54e987cef7c3ae8439e5507c
com.github.scalaprops	scalaprops-magnolia_2.12	0.6.2		a4c6266c307a7682dba7b8f6cb94389deb27c3e6
com.github.scalaprops	scalaprops-magnolia_2.12	0.7.0		537c4f263481850a45a63e1d511ab3015e7204bf
com.github.scalaprops	scalaprops-magnolia_2.12	0.9.0		5a0cfddc57f4918802a931a6d8587439ac842908
com.github.vicpinm	clearrecyclerview	1.0.0		N/A
com.github.yuyenews	mars-rabbit	2.1.2		f212d14c226e8659d768537be07b575c057c94b1
com.github.yuyenews	mars-rabbit	2.1.3		cac252a61c4eed3136f15bd4b8d3fc06c148ee6a
com.gitlab.tixtix320	kiwi	0.1		ceaf73fce2616d4039b89a270630c8a4300866d3
com.gitlab.tixtix320	kiwi	0.2		cdd7493f70824cfc7f8bcb73654f8e6db154c8be
com.gitlab.tixtix320	kiwi	0.3.0		f2f106482b7789b10a66d2051c258fded168cb5c
com.gitlab.tixtix320	kiwi	0.3.2		983ad3ca3efc5833ea5fd6ec0caa5f4c7f3a52a9
com.gitlab.tixtix320	kiwi	0.4.0		d8b75a5981a3dc21fd7a88a8f3c9dced5c31cfcd
com.gitlab.tixtix320	kiwi	0.5.0		c14b74d020816077b5788c9925a61711bbf1b181
com.gitlab.tixtix320	kiwi	0.5.1		5256c7acd72583ba2121928a102040616a54747c
com.gitlab.tixtix320	kiwi	0.5.2		f432d3b05964880e79fc2b13d3129195ae55dceb
com.gitlab.tixtix320	kiwi	0.5.3		bff9b448fe90d571cf8035ed98c3278797ea80cf
com.gitlab.tixtix320	kiwi	0.5.4		8105509a90e0517ed7620e81199efb49dba6c67d
com.gluonhq	client-maven-archetypes	0.0.1		N/A
com.gluonhq	client-maven-archetypes	0.0.2		N/A
com.google.appengine	appengine-api-stubs	1.3.6		6f03759770019642748f667b5ca5efdf96da7fc6
com.google.appengine	appengine-api-stubs	1.3.7		a8cf4323f3ede1d66ad60d7fc484f13b8bffaba5
com.google.appengine	appengine-api-stubs	1.3.8		5b6f2a1a96bcc095d35d4b26a006c71acfff1eac
com.google.appengine	appengine-api-stubs	1.4.0		eb7f25a3331b4bc2afcc8b2c748a139d5b6a8de5
com.google.appengine	appengine-api-stubs	1.4.2		80988c6c9ef0dca67d9e3d5dd01bc032efae1ec1
com.google.appengine	appengine-api-stubs	1.4.3		f6c76e6cdd26670c0858ce0bee3fd3ddd77f1faf
com.google.appengine	appengine-api-stubs	1.5.0		9659fac18b78af6773e2b1425ce24a9eab600482
com.google.appengine	appengine-api-stubs	1.5.0.1		8153677f16e7114a4de20c948a11dcaefc9034e8
com.google.appengine	appengine-api-stubs	1.5.1		fd3a85397ee17936837ff60f7297e8dc94c0651e
com.google.appengine	appengine-api-stubs	1.5.2		b4f5f834832e4bc12a83722881868516e65288ca
com.google.appengine	appengine-api-stubs	1.5.3		8095f411ec5f2c9872a48175718acaa6566f852c
com.google.appengine	appengine-api-stubs	1.5.4		6028cbf72e0345dac76e19111fce7845ac982bc0
com.google.appengine	appengine-api-stubs	1.5.5		e3e73974509a20f99363296e16aaab9bb67b6b51
com.google.appengine	appengine-api-stubs	1.6.0		9f7ba95c03bc1db90f44a0a2ac901eae502ade80
com.google.appengine	appengine-api-stubs	1.6.1		21da9d75f7d92c086486cffc5d489f5b2670c5f7
com.google.appengine	appengine-api-stubs	1.6.1.1		6d37f684cee71f8a2a2cad7081a26342971bcf34
com.google.appengine	appengine-api-stubs	1.6.2		04cbf254db03d95e14ed7e8da8061d209bc163e5
com.google.appengine	appengine-api-stubs	1.6.2.1		9c0807eed34814b18d9851646cc117a9bf580d72
com.google.appengine	appengine-api-stubs	1.6.3		a2d7881573ffa9bec894f602a8e188978a9c6eb8
com.google.appengine	appengine-api-stubs	1.6.3.1		1ae0f0f69cb7ef144002e7a2eade8838b474e6e6
com.google.appengine	appengine-api-stubs	1.6.4		76c8dea7bbb8b6a72631620307451d8b3d929e84
com.google.appengine	appengine-api-stubs	1.6.4.1		79181b5f3bdbc872ac7a23c0981020a17cfbd355
com.google.appengine	appengine-api-stubs	1.6.5		b015dbf3e9a77072e5683cde1142c1e4b5b5d6e0
com.google.appengine	appengine-api-stubs	1.6.6		6c68c30d7feaabecfedb7393a90aae4ea7699cdb
com.google.appengine	appengine-api-stubs	1.7.0		6b8a8a8cdef599bc6b66020785551bcbfa2db05f
com.google.appengine	appengine-api-stubs	1.7.1		96c689957e298ad34eeecb7218b6dd4e44c230b5
com.google.appengine	appengine-api-stubs	1.7.2		5688c8fc1f1a99dc4dcfa83a3d41ce8df909b830
com.google.appengine	appengine-api-stubs	1.7.2.1		825f674a227a6c04364c1dd4550895bf0dab2502
com.google.appengine	appengine-api-stubs	1.7.3		95c04b7b5c3ea101a4d87aa389a6b9d6e6045796
com.google.appengine	appengine-api-stubs	1.7.4		e0f62c9ac8237bc7b8709e3c3aa2263399b65036
com.google.appengine	appengine-api-stubs	1.7.5		1c918eabeea5b23289e244f78fb221d71a4ecc1b
com.google.appengine	appengine-api-stubs	1.7.6		d5a48b93d61012f4f8850f7ed812d1fc7cb5e7e4
com.google.appengine	appengine-api-stubs	1.7.7		1f26b792b5f6a4caea41569dbeda3d3e8e154fec
com.google.appengine	appengine-api-stubs	1.7.7.1		a3b45b440ede7a0d973ea6e51a8ce97651fada13
com.google.appengine	appengine-api-stubs	1.8.0		e91037a7a1cc67216f79dfdb602f65eb08115bf9
com.google.appengine	appengine-api-stubs	1.8.1		b54738be5f46637fe008b88d0fbc9f8a81b87113
com.google.appengine	appengine-api-stubs	1.8.1.1		60691b1cec355e0b220e3e9b2157af7ccc259cb7
com.google.appengine	appengine-api-stubs	1.8.2		bb4609310bf5e4b2b6dbd959bc70a964243428bc
com.google.appengine	appengine-api-stubs	1.8.3		db7da8a0b0282f5a89cad4b636ce91fb1bf86366
com.google.appengine	appengine-api-stubs	1.8.4		df0a7783ca1c36ae74ddc59ed94552842b60b7d8
com.google.appengine	appengine-api-stubs	1.8.5		4575216ecb8a77dced20c720a8fb3fed2d4ec143
com.google.appengine	appengine-api-stubs	1.8.6		74ef2627bbc407f07e4dffd50a305d0f1253a0ea
com.google.appengine	appengine-api-stubs	1.8.7		f7937ce3305b1caf079655e9c7bafb6764d9b622
com.google.appengine	appengine-api-stubs	1.8.8		2565aa881ef3f21474d34739590db937cfe735b4
com.google.appengine	appengine-api-stubs	1.8.9		338c0d63caee1d06ac2ca6212e2d0cabd4fd7b07
com.google.appengine	appengine-api-stubs	1.9.0		4bf27a09b1f9cfad4f6a47e84d2b5ee479a642a7
com.google.appengine	appengine-api-stubs	1.9.1		81dffbad806161d06caeed886b51e582e271b10e
com.google.appengine	appengine-api-stubs	1.9.10		4e30bb2a91dfa97121c939c824b518b94170eed8
com.google.appengine	appengine-api-stubs	1.9.11		c465fe062afb0d7b6e6335393b145e44e4cfd206
com.google.appengine	appengine-api-stubs	1.9.12		a6194878b4e3d508d5c72611fb8c03897e0ce81f
com.google.appengine	appengine-api-stubs	1.9.13		70fb31c41a9a1f781b59c373645a3bcaaddefe4b
com.google.appengine	appengine-api-stubs	1.9.14		5d8f0e59ca0ffd0e8bd5c29c605e50f671a94606
com.google.appengine	appengine-api-stubs	1.9.15		e26b60bc37be1bb46aef1b2244ee13dde7a93a9f
com.google.appengine	appengine-api-stubs	1.9.17		40dd16b58d0d8d8e3e0c9681c0891887469177d0
com.google.appengine	appengine-api-stubs	1.9.17a		9eaa0c3a3ef6a2450904aeaba8fe6f2860247567
com.google.appengine	appengine-api-stubs	1.9.18		3cf22a38f96d658e9dd0afb311ad5e90f18a2e30
com.google.appengine	appengine-api-stubs	1.9.19		259274380811f233e666bcae1c64fefb6a057cf4
com.google.appengine	appengine-api-stubs	1.9.2		80fc5b7e3cb251e7185f8bb7cf5d54f236a75156
com.google.appengine	appengine-api-stubs	1.9.20		c0fd6c02aa4c39b63846172f0f19eb769290d16c
com.google.appengine	appengine-api-stubs	1.9.21		eee7263fadc1ab618a68b1133ea81fe7b9e4f26b
com.google.appengine	appengine-api-stubs	1.9.22		ff473501ed37948fef4e23d1a8c96c74b9abc7dd
com.google.appengine	appengine-api-stubs	1.9.23		cbfd71763215c25e98f62ff26c305c07beeaa191
com.google.appengine	appengine-api-stubs	1.9.24		81052f1608c26fbe39445ce9eebbf02ca54871ac
com.google.appengine	appengine-api-stubs	1.9.25		5a604d82ddaa4c6f9d906e5ca093d2a79691174b
com.google.appengine	appengine-api-stubs	1.9.26		14c8156d3e57a2df57510bca24cb896c66e7a939
com.google.appengine	appengine-api-stubs	1.9.27		79e211611fad59e2057dae7f31b96492a1516d97
com.google.appengine	appengine-api-stubs	1.9.28		07c6627bd8dc5615c6a32958393106b9d964868b
com.google.appengine	appengine-api-stubs	1.9.3		2fc82aaa7bc771f7bfd2972b722ac0bebfa03ecc
com.google.appengine	appengine-api-stubs	1.9.30		f04454ac4dcc3ea7c4a2b12eae63c6998829a1f0
com.google.appengine	appengine-api-stubs	1.9.31		f05e1c7449397c332fd65000ae9e4aae5125e75f
com.google.appengine	appengine-api-stubs	1.9.32		e08dd82b41cc5010d1ed39e73f2d8ea08abebfd6
com.google.appengine	appengine-api-stubs	1.9.34		2a48b8cbb733a08a8224472f1baff68b31d17112
com.google.appengine	appengine-api-stubs	1.9.36		afec3480226cb7185167a187a440ae89e3917973
com.google.appengine	appengine-api-stubs	1.9.37		1d819da24dd527dad28864ffb6f0338b4e9d2f77
com.google.appengine	appengine-api-stubs	1.9.38		20862c90a5a319dd296323881471b9e5e4a58b48
com.google.appengine	appengine-api-stubs	1.9.4		bb32cc763a3af5e18165cc8ebcc232f8a333e13b
com.google.appengine	appengine-api-stubs	1.9.40		4ef0a65e45184d17f94ed58cfa0e74778dc7d65a
com.google.appengine	appengine-api-stubs	1.9.42		3066543e37c01ea7ae1f6f7350c35c048c4d31f4
