br.com.colman	simple-password-generator	1.0.0		4f3098c26837882104bb8de34a5e4577ece5cc50
com.github.houbb	gen-jmockit-test	0.1.0		d329b8deceb5f1fd31928b72db273d1211ac35e7
com.github.houbb	gen-jmockit-test	0.2.0		8563d26037546f5cb12dba8f4e638f04a5c20371
com.github.japgolly.webapp-util	protocol-circe-test_sjs1_2.13	1.0.0		25e044a3dfe53ab378b41933e1e57d57095c56be
com.github.japgolly.webapp-util	protocol-circe-test_sjs1_2.13	1.1.0		4e3595e3a94a74a86e4e10d09a2a8efe2d14beff
com.github.japgolly.webapp-util	protocol-circe-test_sjs1_2.13	1.2.0		740a2754c9dc8c4819c27658d1a708a6a0f72c65
com.github.japgolly.webapp-util	protocol-circe-test_sjs1_2.13	1.2.1		f26e1d1951f71b4ebecbf363fc31a69ce952d91b
com.github.japgolly.webapp-util	protocol-circe-test_sjs1_2.13	1.3.0		3261a4b0d22fb8d6ef58bd14d450b122d5411242
com.github.javaclub	configcenter-client	2.1.1		77138f2ea13c2503ab9b431232c23789784dd4e2
com.github.javaclub	configcenter-client	2.1.2		12f09eaa30ac5240638348a7bd184b1e33ccf3d3
com.github.javaclub	configcenter-client	2.1.3		288ca18f06c8222ffc9e9dad6c9198218bff4ca8
com.github.javaclub	configcenter-client	2.1.7		123512219b69a3165f9e1f5ca000398e5172a941
com.github.javaclub	configcenter-client	2.1.9		20a5d79b5848a3137f81c3f22001c66503ef0dd2
com.github.javaclub	configcenter-client	2.2.0		28f8a3061213cfa20e5e6fa8e756e5f383a6d0bd
com.github.jianglei1994	serial-line-reader	1.0		N/A
com.harium.etyl	applet	1.0.0		a594e56003ba076d368c7ac78f25191fda6d6dd4
com.itv	bucky-example_2.12	0.10		03439fbd95579c2f9f85cc704eed1343c99bf919
com.itv	bucky-example_2.12	0.12		ee3bf88c2147250af2bd7b8d780d8a161ef23a4f
com.itv	bucky-example_2.12	0.13		bc059c96aaf86b8dfbdc37f8a64589dbdd6261b4
com.itv	bucky-example_2.12	1.0.0		b1811b0e66615b43a986913bdd7d7b34069e14cb
com.itv	bucky-example_2.12	1.0.0-RC1		130d2471f1632faee0987457b3f88fc1a2f4b43c
com.itv	bucky-example_2.12	1.0.0-RC2		9cc02cb24fa812b8c46070d849fb4249b5ef098b
com.itv	bucky-example_2.12	1.0.0-RC3		40ee1bc6aa969f6c41ffad34a040228a47e594d7
com.itv	bucky-example_2.12	1.0.0-RC4		70d3e2ad9e340b299e042e077c9a3b57aeb08d06
com.itv	bucky-example_2.12	1.0.1		1a98a0794ae43569d9c34643aa787752ddcef687
com.itv	bucky-example_2.12	1.1.0		967a6f133ebebdca025265950136ee467563caf8
com.itv	bucky-example_2.12	1.2.0		97573aff98fd34f8056f4778093f385f9036fb6c
com.itv	bucky-example_2.12	1.2.1		d206031090da44b54b3eac0d79fcea6d67f3fe6f
com.itv	bucky-example_2.12	1.2.2		fe1a51af4c432f20c60076dcd793c13359af867b
com.itv	bucky-example_2.12	1.3.0		057e95dfdc9c89b23e11571111c5661e24ff16e2
com.itv	bucky-example_2.12	1.3.1		5068efe6db933dbac320a4cd0694e0eb9c73948c
com.itv	bucky-example_2.12	1.3.10		6b8845f8f2b05de0dab781406f305739f7ed7dc9
com.itv	bucky-example_2.12	1.3.2		df05fa12566abe882d54c5b431b953547afc7cd6
com.itv	bucky-example_2.12	1.3.3		7f5d5c58dfaea25711c73a15d35ff6d59fcc1a80
com.itv	bucky-example_2.12	1.3.4		928a40b92e05993e595f947bf75cb720379de253
com.itv	bucky-example_2.12	1.3.5		911ded447fc50b14303ad882ed3864479911cc99
com.itv	bucky-example_2.12	1.3.6		c235c85785c115f40ad0a3bd2787ddc8ade21195
com.itv	bucky-example_2.12	1.3.6.1		2eecbcdfc022f7883214417c472014631568f8f3
com.itv	bucky-example_2.12	1.3.6.2		532249838398d245b7a45e4d2a4479f59797c890
com.itv	bucky-example_2.12	1.3.7		7c81993c06ea0c6aaead5d99ddcf370f23b107fc
com.itv	bucky-example_2.12	1.3.9.1		2b787d89ba60167d2f7bdb193b2415b17eeeec3d
com.itv	bucky-example_2.12	1.4.0		14a25a43a07f9f22c96832911260960d165648ab
com.itv	bucky-example_2.12	1.4.1		ffd3874a92acf9715f30c4fde43480736d881ffe
com.itv	bucky-example_2.12	1.4.2		adfc49d0806355737c6f7e43f2a0a9518bf68c87
com.itv	bucky-example_2.12	1.4.3		fdf994ac41ecd56dbf4b39c28f86a457e66623fa
com.itv	bucky-example_2.12	1.4.4		6fdbd7f18d5ca86dc31794a2e9c77adbf6f5ac10
com.itv	bucky-example_2.12	1.4.5		7e1ed8b55703333e7cb58346211c64410f772a75
com.itv	bucky-example_2.12	2.0.0		965434c8c9408ef54a5b2a03130051454f1abbab
com.itv	bucky-example_2.12	2.0.0-M1		1861c0832ad5fa57831d5207bb6714b64b0a42b3
com.itv	bucky-example_2.12	2.0.0-M10		89aa01caeccce77ab42c750200ac69a079e3e0bc
com.itv	bucky-example_2.12	2.0.0-M11		aa8b4362a8695bf7f86c38dd44a80caf0ec8b8fa
com.itv	bucky-example_2.12	2.0.0-M12		28454aaa0270da2a8855d51365bee9d090c41ad8
com.itv	bucky-example_2.12	2.0.0-M15		526e7ecf3b8eaf29e3855e0ef2d293202446231f
com.itv	bucky-example_2.12	2.0.0-M16		d761b44812711a49bd7447ad73d3b0b399d43f0b
com.itv	bucky-example_2.12	2.0.0-M17		bf984e52dd3d8bfe7e17faabdd9c8a8cb88632cc
com.itv	bucky-example_2.12	2.0.0-M2		a39d9552c4aaf2cdcea6ddd75c557bdf7eb2a497
com.itv	bucky-example_2.12	2.0.0-M20		5f41a54b6a0dbed880e3bc91d77e2080ac9fa30d
com.itv	bucky-example_2.12	2.0.0-M21		23491736ef9ee02f50e3cc179f4ead494bb8046c
com.itv	bucky-example_2.12	2.0.0-M22		83d6a1b1d24c09c3eb1c42abdcbc9391ae09dabd
com.itv	bucky-example_2.12	2.0.0-M23		b69a7874e08826cb2a1dc4c9bd2b0d0349efc34b
com.itv	bucky-example_2.12	2.0.0-M24		193c50383f1046e5035b2b696a8c2a72ed0a9fd4
com.itv	bucky-example_2.12	2.0.0-M25		8e6d20b9645acb257a15bdb3762f223f6a61eb10
com.itv	bucky-example_2.12	2.0.0-M26		7af4608b4ada9f8f6cd966a5953d15949df18788
com.itv	bucky-example_2.12	2.0.0-M27		7ea003a2839f17c71875480d2ac7c5334558965d
com.itv	bucky-example_2.12	2.0.0-M28		ca5547be502848ae47c0e53968d4460a29d33f0f
com.itv	bucky-example_2.12	2.0.0-M29		de10d7b4d2dd1b4713dd87eff2f70f2b49a7203f
com.itv	bucky-example_2.12	2.0.0-M3		a8eb0d5aa6ea2d1f58fea7b7e739afb21633eeff
com.itv	bucky-example_2.12	2.0.0-M30		dc3115c4724a9bfe3fd5cdc584a3f64b330beafa
com.itv	bucky-example_2.12	2.0.0-M31		35d0f587ad66e5f5aba36c00bd2f85c3fde80e3e
com.itv	bucky-example_2.12	2.0.0-M4		74ce04195704068b5a59130a865635abfc2092c8
com.itv	bucky-example_2.12	2.0.0-M5		15283dfa5c3c9300b633846b57dac7c88980f105
com.itv	bucky-example_2.12	2.0.0-M6		3931179f54f3aabb3ba18225bbeac2297d44109f
com.itv	bucky-example_2.12	2.0.0-M7		327d46b38ac17a31d26eb7eaaa111c2204ad799b
com.itv	bucky-example_2.12	2.0.0-M8		662095f0cb94d722790c845e021792b4a234ad84
com.itv	bucky-example_2.12	2.0.0-M9		bbf21bfac8e2c2bb4656d0548fbcdf9b9c1e904c
com.itv	bucky-example_2.12	2.0.1		93ca72a73eb668da156ef21dc7dcc3a364ec2204
com.itv	bucky-example_2.12	2.0.2		86b37ab5fadb1f4204fdd166c576dedec914955f
com.itv	bucky-example_2.12	2.0.3		c4b89f0f1ab5da37f38e97c0d788a434a1116c88
com.itv	bucky-example_2.12	2.0.4		b83ee982e0b4bdfc71c160742b9efb30cacb8498
com.itv	bucky-example_2.12	3.0.0		f8a545012aa6ce90f4da9bbf151e7320ba5198b5
com.itv	bucky-example_2.12	3.0.0-alpha		72b4360066f91db2805df4ebbcb8cd30fb982bbb
com.itv	bucky-example_2.12	3.0.1		ee98901f3f46940f0ccf2b84d2e54ae538650384
com.itv	bucky-example_2.12	3.0.2		303782886fb7a8fc9c3d3e182cf4d9e6d1de0b67
com.itv	bucky-example_2.12	3.1.0		0c928747ce468b13de325c7280af1cfd34d6e639
com.itv	bucky-example_2.12	3.1.3		66515d51151b70461885ca2c05bdcdc67acd01a2
com.itv	bucky-example_2.12	3.1.5		26bb04265b85a67cd1b746fc2c989861956d45d8
com.itv	bucky-example_2.12	4.0.0-M1		a500780c21561dca7d702d6b0e97cef87642d219
com.listeningframework.boot	listening-boot-starter-swagger	1.0.0		e0acb9f9398f884c455467d92e1bf2198b08e32d
com.listeningframework.boot	listening-boot-starter-swagger	1.0.1		843c9eea1795f6aae91025e244629449248ec11b
com.listeningframework.boot	listening-boot-starter-swagger	1.0.2		70e2f50502c37fbd64245e9f0844e3437727aa2d
com.listeningframework.boot	listening-boot-starter-swagger	1.0.3		038c54fc6090ea2febd837ebf8ee51e00b0f9dfa
com.listeningframework.boot	listening-boot-starter-swagger	1.1.0		34063a5d910fd4fac353807df280ba38ac4fc6f5
com.listeningframework.boot	listening-boot-starter-swagger	1.5.9.1		30be1098a134b17dbc85720cc826a6a25824ff4d
com.listeningframework.boot	listening-boot-starter-swagger	1.5.9.2		ae7cb0c7b4a6c2d282611c3d6514663278f89dca
com.listeningframework.boot	listening-boot-starter-swagger	1.5.9.3		8bcc2fee60905ec1b8e12cefc60af6334fef017f
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.0		0154b8ae1e32ce38b90cebdc1dc7826fc225178b
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.0-M2		217bae8ed09b6b881c5bcc368a086f388ff37fe3
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.0-RC1		c556c12c3d0c0a2c816363719bc4bca9a8ed6a4b
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.1		7f71d055f113e001d4ead2a0dd9bd21c9a4ccef3
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.10		7da899d561621d4f351bb092981241d374cfec23
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.2		d12c6b51a8546c3bb6ebb45bd8d2477b74acf26a
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.3		9756f6b5715084aee5b08a92f724293b2ee5d532
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.3.1		ae8147ab23aeb73b0e6d6b0094ec452e6e9d9c0d
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.4		f7ffb45d74057aaa14b6bcb476ff46aa97795334
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.5		87096e7f477c1babe879e00b07bf8812d9539601
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.6		2a12940a25f9edff9eb9b1441e0e62df1c60ac2d
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.7		607f931d31ff8cfaae126eff4638bd9ef89b9f52
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.8		af481bcf7d1da2823907419b21fb511f1f6aa265
com.navercorp.spring	spring-data-jdbc-plus-support	3.3.9		302ef938022b3a5c802f720b9e98fc557c190d75
com.navercorp.spring	spring-data-jdbc-plus-support	3.4.0		bac46f23e45e071a7a6740b38ddd84c5fe981455
com.navercorp.spring	spring-data-jdbc-plus-support	3.4.1		e9a99935795a65a58a327e79ab5b720cead287d5
com.navercorp.spring	spring-data-jdbc-plus-support	3.4.2		2b9ac23248e00157509e575cc11465b866f1f73f
com.navercorp.spring	spring-data-jdbc-plus-support	3.4.3		eb982e1e02e877378c198eac3beeb21586767640
com.navercorp.spring	spring-data-jdbc-plus-support	3.4.4		20d9a2204de09002ffdaeec1cd8e0a884a67ba79
com.navercorp.spring	spring-data-jdbc-plus-support	3.5.0-M1		1f4780f230737c36d5c8d67482721ab9ee46199b
com.propensive	rapture-json-circe_sjs0.6_2.11	2.0.0-M3		3ea511009081bafb12767399ac61d4e3ba4485e6
com.propensive	rapture-json-circe_sjs0.6_2.11	2.0.0-M5		9b26a8a52aecfee0715af6083683007e2f05c83f
com.propensive	rapture-json-circe_sjs0.6_2.11	2.0.0-M6		d802f7423963e50f9749b576a1510d84d475af64
com.propensive	rapture-json-circe_sjs0.6_2.11	2.0.0-M7		6206b97c4cfeefd9bb6b6566f2eba254d46efea5
com.propensive	rapture-json-circe_sjs0.6_2.11	2.0.0-M8		36c13660ac0a87450f09f97dba7767699b40d662
com.propensive	rapture-json-circe_sjs0.6_2.11	2.0.0-M9		ce4f90f71b3427cb0918b53de65c85c907e819f8
com.sigpwned	emoji4j-benchmarks	14.0.0		e7ec7e2cf83ab6285c01f43da3c7b64bba677fe7
com.sigpwned	emoji4j-benchmarks	15.0.0		5126f9d53a4c465c1e1e84b5843d2511615efa42
com.sigpwned	emoji4j-benchmarks	15.0.1		831004076cb67b034c05f9915e5278492b8a0120
com.sigpwned	emoji4j-benchmarks	15.1.0		e1358ab905ad1bf40ff445178c28239bb0dbd120
com.sigpwned	emoji4j-benchmarks	15.1.1		63b9dc28254a3e3e84e83b74dcd463d7cc369d14
com.sigpwned	emoji4j-benchmarks	15.1.2		625842d5df135b53d9e91407e79581949eee42b9
com.sigpwned	emoji4j-benchmarks	16.0.0		293fd9d2bb4c6ca2a66bf120e7f9517fa059cc43
com.sinnerschrader.aem.spa	democore	0.24.4		74a57d45c8280184ef4a0ccec0597838f57d0196
com.solanamobile	web3-solana-macosx64	0.2.0		N/A
com.solanamobile	web3-solana-macosx64	0.2.0	metadata	5c472e891d13596ce7cd3a6c0a434471a8614138
com.solanamobile	web3-solana-macosx64	0.2.1		N/A
com.solanamobile	web3-solana-macosx64	0.2.1	metadata	c5945bb7901bb2b8e22c78608a85e1893695a123
