ch.ethz.origo	origo-issue-notifier	1.0		99176e98135dbe5956c37b315644150545689822
co.touchlab.skie	runtime-kotlin-1.8.0-tvosx64	0.9.4	metadata	982df3dd7356fb2a7c8973f2b73bde9838129b39
co.touchlab.skie	runtime-kotlin-1.8.0-tvosx64	0.9.5		N/A
co.touchlab.skie	runtime-kotlin-1.8.0-tvosx64	0.9.5	metadata	8739a7031fdb7c149941cf87fdf1dc05b3e920ed
com.aayushatharva	AtomicCrypto	1.1.0.0		854d2d9de4b96e23866cd0355635169cd114219d
com.aayushatharva	AtomicCrypto	1.1.0.1		3b74d07ae74ed7a89f5f9e0915645d68b77fb49c
com.aayushatharva	AtomicCrypto	1.2.0.0		e06a0d590d2e380b70d1a703b7ae294a08282d7b
com.aayushatharva	AtomicCrypto	1.2.1.0		2ba2cdf229aece6252f1837a605266c1bc767666
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.4.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.4.0	metadata	d6a6b55483239f027f6595857740a265ddc6e85c
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.5.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.5.0	metadata	7ca0da18ee4fd5cdc1fea2012c7329be8f5fd51d
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.6.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.6.0	metadata	88627f91bf4b799b3ca744164fa9e0935e3fd4b2
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.6.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.6.1	metadata	67f3201ba596c5941043c29668d7ac0040f41c04
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.6.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.6.2	metadata	2e0392ee035f1762fa3aa029553db3bd452c5d3b
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.0	metadata	7698de1184fb9a6b0824b89a2f1bc6602f969548
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.1	metadata	076f1f2b1c4bf5ad271fb6df3825869746a0ff3e
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.2	metadata	f0a75f282692e6826e7c87f4d4bfb7cd64948189
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.3		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.3	metadata	d2da2e7df7e8bb9b2c0ca8de6d185df5a095758b
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.4		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.4	metadata	e41526a05d3fcc261f63024a09b6b064ad56db1e
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.5		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.7.5	metadata	6e1d631f660c9e4a2041d3479597b25e66f65db7
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.0	metadata	e0db10bfadf260c0baeba3e2dfa442d45f5eba17
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.1	metadata	86cde6074ec26697e382a912fa4d221a49d3627b
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.2	metadata	b1df1bdf32ff1f9c96f6adf3b8558012cbe42762
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.3		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.3	metadata	7690d51c6284c2f80b2d583499269970b4dc9ddd
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.4		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.4	metadata	90630b65cb4db9fd0bbf4611c5e3b4c5c65f9f3d
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.5		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	3.8.5	metadata	77982852df67bde56f93dc7754ce75f6a919a1e1
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-alpha.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-alpha.1	metadata	3c049c09c92522ed23e05756947989610fcaea3e
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-alpha.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-alpha.2	metadata	06108c30f6f8622558aca8e8e99f072dd74e3b6c
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-alpha.3		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-alpha.3	metadata	aacc3f9757f38d9124f3e5a56e27ef0da5557f12
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.1	metadata	fbead7fdc02a778d9ede995c8a278501795859a1
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.2		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.2	metadata	570a5c0c3081901e1c6602ef77b6c94aa0ff316d
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.3		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.3	metadata	43676a4c5353e83b66d7c7b15dbe297db192a0ad
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.4		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.4	metadata	717fd962c616b0bbc7f4d66222116202b8bb87fb
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.5		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.5	metadata	2416af764dfe33f4347e434dc0f2f92bc42423e8
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.6		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.6	metadata	29056fa7e868a3958c592912c89a91a413059b7f
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.7		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-incubating-macosx64	4.0.0-beta.7	metadata	fafe1025b11417d9fce21cd4e0aded498dfe505b
com.blazebit	blaze-query-connector-aws-elb	1.0.0-Alpha2		e50c4b7b8278372cca97d790dece5335609be51d
com.blazebit	blaze-query-connector-aws-elb	1.0.0.Alpha2		cc70b71bebeeb7511aa804a8bb5202fa1537413f
com.blazebit	blaze-query-connector-aws-elb	1.0.0.Alpha3		70a356ebb0ff2234cd6fa63ad011145f0b2e7629
com.blazebit	blaze-query-connector-aws-elb	1.0.1		b327b7486db95f23c591a087f3e5b4d7b831464b
com.blazebit	blaze-query-connector-aws-elb	1.0.2		ca866513ff84bf44ab9fa351b1dfa5e29b346f28
com.blazebit	blaze-query-connector-aws-elb	1.0.3		4cb56ddfb906eb017c845d0e9ecc606f8aa6069b
com.blazebit	blaze-query-connector-aws-elb	1.0.4		9e57f37d7c41f6b136f38b58012f4cac6f2f85f6
com.blazebit	blaze-query-connector-aws-elb	1.0.5		b1a898a9019d87457fde11bb27596408374a0c1c
com.blazebit	blaze-query-connector-aws-elb	1.0.6		8798083ae396122144765cb3bf9b75ec68eb069e
com.codacy	foundation-config_2.13	11.1.0-scala213supporttest.2.bca0241_play_2.7		6e87245a86ea55d49e964c9111f408a2a0b85c6f
com.codacy	foundation-config_2.13	12.0.0_play_2.7		cbcc4934df84987af9dc71b659ecc4521bf57e68
com.codacy	foundation-config_2.13	13.0.0_play_2.7		bdcbaa928d31d64391bf8ba4fe76314601587953
com.codacy	foundation-config_2.13	13.1.0_play_2.7		9c2d7d66b00871256acd19402392762e0b34f770
com.codacy	foundation-config_2.13	14.0.0_play_2.7		a3aa9a8dda411387b36ee53758b1bd3127d9b85d
com.codacy	foundation-config_2.13	14.0.0_play_2.8		466d010cc151cf48b898f0aa8fcfc4c9f06c6cc4
com.codacy	foundation-config_2.13	14.0.1_play_2.7		a1f6346e6da03603ad111510e7b0e3062f56cfca
com.codacy	foundation-config_2.13	14.0.1_play_2.8		5bb5b5fc2f6adcd426d4e5f34279fc69bd9ee440
com.codacy	foundation-config_2.13	14.0.2_play_2.7		1c0dbff09eeeddbf60ba1823108404f5c150bac4
com.codacy	foundation-config_2.13	14.0.2_play_2.8		ce380208fb261c010bb2ab9142d014fab3f483fa
com.codacy	foundation-config_2.13	14.0.3_play_2.7		2bc46bcf792d4669fa0b267cd645be932f2f6dda
com.codacy	foundation-config_2.13	14.0.3_play_2.8		1b3db489a1117cad306877d143dc60f8b25a2a30
com.codacy	foundation-config_2.13	14.0.4_play_2.7		b854fae5a2976397ec2a9f7cc89bb61522a4587f
com.codacy	foundation-config_2.13	14.0.4_play_2.8		d448cc90ae445072451b39eddc9095393a558faf
com.codacy	foundation-config_2.13	15.0.0_play_2.7		77f03d216c55ea8dcce83064195709ba85ee783a
com.codacy	foundation-config_2.13	15.0.0_play_2.8		92d27d54b5d2399cac51da757dd2e028b28a1ba4
com.codacy	foundation-config_2.13	15.1.0_play_2.7		d7dabddeb74f373daaaac250e7859140fc7ef67a
com.codacy	foundation-config_2.13	15.1.0_play_2.8		c2c0056274e66ed090a7dfcc802824b1607aee6f
com.codacy	foundation-config_2.13	15.1.1_play_2.7		525461a16c0d6ee3d426df923e23cc28f16725f4
com.codacy	foundation-config_2.13	15.1.1_play_2.8		d056cd2cc8e9b1568e090d1d5cdb092c74bd4b09
com.codacy	foundation-config_2.13	15.1.2_play_2.7		6e166ebcadecc387ca8752288267df5e967b250e
com.codacy	foundation-config_2.13	15.1.2_play_2.8		f002fec8d0a9fcb12c493e2120332797c4ff026f
com.codacy	foundation-config_2.13	15.1.3_play_2.7		6ac4ee9ce04f43186269b0f488d57a6dfb0e4002
com.codacy	foundation-config_2.13	15.1.3_play_2.8		048ec180f292a45cbf10fbbad82998a0c3fc6ebb
com.codacy	foundation-config_2.13	15.2.0_play_2.7		7edb7d9f613d22fee7e9c2468064c943d0979e98
com.codacy	foundation-config_2.13	15.2.0_play_2.8		2dc35c5e5d819f641e943414143d415a9d6e526c
com.codacy	foundation-config_2.13	16.0.0_play_2.7		cf7352e4d048a0cb20f1bb273b633d16c95f1e54
com.codacy	foundation-config_2.13	16.0.0_play_2.8		3338ac71e2306bb39f3fce45218b2230d16700e7
com.codacy	foundation-config_2.13	17.0.0_play_2.7		e6ca2ee5c93b10de5bd0b4a69f68974e05e4cd8a
com.codacy	foundation-config_2.13	17.0.0_play_2.8		48dc66d025a9dc093bb5fdd09ab8989f519b0a89
com.codacy	foundation-config_2.13	17.0.1_play_2.7		4259f392047be6d718357315ff11e019eaf90b53
com.codacy	foundation-config_2.13	17.0.1_play_2.8		01f42ea3b9047e887138a39ee5a7920557f8e537
com.codacy	foundation-config_2.13	17.1.0_play_2.7		29a98ef89b0887be09b37355cedd3502ccd4e255
com.codacy	foundation-config_2.13	17.1.0_play_2.8		bbc54e3973acfaf488510c931f4d16cf2ef7f3d6
com.codacy	foundation-config_2.13	17.1.1_play_2.7		51d532b9bd19d495dc3e2c65088a7c3e8765a2cb
com.codacy	foundation-config_2.13	17.1.1_play_2.8		f4228212858d5a56c3888fd0d75cd0d6911d0b00
com.codacy	foundation-config_2.13	17.1.2_play_2.7		4ae45c97631032c6b8279dd040a007336e298a1d
com.codacy	foundation-config_2.13	17.1.2_play_2.8		b4142cd51854e5a3f72de44ec29510e716c961e0
com.deliveryhero.litics	litics-jvm	0.1.0		7af25885b654382331f85b6ab3d191201bb9336a
com.deliveryhero.litics	litics-jvm	0.1.1		ca5a805ac4eeb3a1598db629dbadae690353d7f4
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.0		2bdf5df6cf71a5baf84c7fe92bd09c9b3fd3d650
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.0-M1		f53998da75c959591905cdfa62faa4461855c213
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.0-M2		aa2209ecce01a5263acde4d1de2b0da7f4ee4fba
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.0-M3		e3a5f59b1cf8384efc37ac2f8f35605e6463932d
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.0-M4		d278fc6e41abb85ddf0f13209a5fb34a5e19774b
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.0-M5		6595cb5eb3f6a66f8f26c326310834f12bc327d2
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.0-M6		2ab6ecbd312e9169d95cd8834a79570c48faa045
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.0-M7		23b8d47c96184429780677bfa9ded8ff49b26534
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.1		756e3f94b3bf9cd877579beb2493925138d50d47
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.10		2b871483ab65609dfb99249d62e194b472502bff
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.11		691ad0ca104102761934b72c27a2a5a21e1c5b0c
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.12		333c9274cfbc9bb63af9428473dae323f1e4894c
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.13		d44f3e5d9221b7c6428c314b891c313fe554519c
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.14		047b0f8a502b323ca3d3eba8f21e9f1590119031
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.15		d5689059a3dfe00edecc5efd27f382277c79c7f1
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.2		0ec5be78188b23dd4e7603f3c6282dac27d9e495
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.3		83eb823dcb965b9db71c966ff2446d6e48998741
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.4		eb5b62892b33e0505cc5bb766078a8a99c145243
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.5		c773d92d1e6b1338d25c7804c312ee6c26b9c10c
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.6		d2e230b6683eef5b7bc339e18fd9af526abfa2c8
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.7		3f86c785bd712543283a50977c69cc1d0ad732f4
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.8		fd3a8878786cb9aa5fde6fc4d97a517776e1e9bc
com.disneystreaming	weaver-cats_sjs1_2.12	0.6.9		1fc834988b84095dc21516b8bdbcefbfd245ce30
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.0		f83d641f35dcbaf1b8eddd0c0e0fe0b26458154f
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.0-M2		ec5f5a9dd20e21a3311d4cbefd35f0beaa7476dd
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.0-M3		ce29e915775d9f3a958c542e5a9d17513221677f
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.0-M4		811bf4f905857567867112565156f0ccfcee3a5f
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.0-M5		1c0191f47f16f934ef1109d7b0c4456e83fbfd10
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.0-M6		e515b8f068a1f0a4a4742d1f30a0a7c2ec90a810
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.0-M7		21b6218865303dd8ea4d52d854faeb388133e745
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.1		9920f4e46b0911c45e2e666a0a443b95fa4bb04b
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.10		568bb9612a6862b56646d81e12301a82f9290755
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.11		0ffd8b85e669b9f8ea822c1f9e57b46265f9287f
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.12		c8b3e83c6211afb68a20b83718c9aef5252c274e
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.13		5f2d4c217ba9bab4019e7bbc4b6ce13bd2056469
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.14		746b74f93c365339163f00b1a06647ceb8c3412e
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.15		f69d996dca321e088cae6e330ca831391396628b
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.2		928d30d6518b976969a8dacfed4e7288e0cac1c6
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.3		4997910a812bda19f559e762fbefdd7f8ae85d0f
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.4		cfd6ed0e50df3410ecf0080344c760e484fb22cc
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.5		c28c9a7e144040d56e09cfa92625f83a0d1d917c
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.6		de44ca63832524f8601d7bc61aa7e4b02265c6e2
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.7		d824bebe8dd08459f3128f70aad385b00aba7d35
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.8		2bfe565bdfdef26db6ec1dc6b33b7effd8c1b486
com.disneystreaming	weaver-cats_sjs1_2.12	0.7.9		ca97064427a3ff246d26a01062c51ff1e58f5132
com.disneystreaming	weaver-cats_sjs1_2.12	0.8.0		87d2a981409052e1f3b71ca47f4ce445b15fffa3
com.disneystreaming	weaver-cats_sjs1_2.12	0.8.1		743b4c6059920a86128653be396ea0ac71c30af0
com.disneystreaming	weaver-cats_sjs1_2.12	0.8.2		e1cc9c82cd45663252f7cbfcde0f28a64eae40f1
com.disneystreaming	weaver-cats_sjs1_2.12	0.8.3		b5f438b462e505658941814d09dadf7fc0c0ed0e
com.disneystreaming	weaver-cats_sjs1_2.12	0.8.4		4853165df48f328435f6c2c45f14e0f888fbd3fd
com.duglasher.secp256k1	secp256k1-kmp-jni-common	0.10.2		53331da130629c30fa8301d2aa317888cb7b35a4
com.duglasher.secp256k1	secp256k1-kmp-jni-common	0.11.0		4074d7bfa11a648f30a15dace3a344db78746082
com.github.albfernandez.seam	jboss-seam-rss	2.3.24.ayg		9ef5bdf5493114edf5076460083646a355add31f
com.github.albfernandez.seam	jboss-seam-rss	2.3.25.ayg		1808bc2a06d907664e5896e8ca0815e3fb7efffc
com.github.albfernandez.seam	jboss-seam-rss	2.3.26.ayg		33216ce382392ac1ea00ab2ccc4e9efb858d5907
com.github.albfernandez.seam	jboss-seam-rss	2.3.27.ayg		2d3126d13d1a419637cfb428c792139263402858
com.github.albfernandez.seam	jboss-seam-rss	2.3.28.ayg		7aa7e73cedfb61f4b1d295be97f1a86c348d6079
com.github.albfernandez.seam	jboss-seam-rss	2.3.29.ayg		20f8fd9253cf952f0f2383da3f8bf439f56b8a64
com.github.albfernandez.seam	jboss-seam-rss	3.2.26.ayg		fcb8f05e949f77fd3a56ef81863c7923c7d4b779
com.github.arekbee	gradle-R-plugin	0.10		ffc978793baf822ddde196c6a0c520d3438be491
com.github.arekbee	gradle-R-plugin	0.11		fd66667ac5827dc5dbcb6f9d122bb99aad39e83f
com.github.arekbee	gradle-R-plugin	0.12		3595e3bfdf6afa4c93016c51e853ddd63c85572e
com.github.arekbee	gradle-R-plugin	0.3		77cb43f2373c36c45544c16934702305ff512417
com.github.arekbee	gradle-R-plugin	0.5		968417bc7dbd38a34af1db4a16a84f1a690e8b3e
com.github.arekbee	gradle-R-plugin	0.6		a110f659d80ec15d525cb40e54ce71470633f8d8
com.github.arekbee	gradle-R-plugin	0.7		c0437126e35c63b678c2e0ae6436bb826d0b8126
com.github.arekbee	gradle-R-plugin	0.8		25ba82861dca108286567e327d7841c0e676ed0a
com.github.arekbee	gradle-R-plugin	0.9		1a21049388126816b0e8ceb41c122927cab7bc44
com.github.pm-dev	kotlin-gremlin-graphql	0.16.0		f06cfd875cf644f1758b930512a0ce34c9f73183
com.github.pm-dev	kotlin-gremlin-graphql	0.17.0		5960fe705cd096ab806ed66170715ee31d49f3bf
com.github.pm-dev	kotlin-gremlin-graphql	0.18.0		2a7c0c17394d4f381b9b461f288b84285198c721
com.github.pm-dev	kotlin-gremlin-graphql	0.19.0		9d6db7cf6c8bcd9febf755e014f530111827a9db
com.github.pm-dev	kotlin-gremlin-graphql	0.20.0		079a8c775e26d24461f825b5aa0a2c6e73cbb129
com.github.pm-dev	kotlin-gremlin-graphql	0.21.0		eef02b800462da706f5851f041835a2e17a8a180
com.github.pocketberserker	scodec-msgpack_sjs0.6_2.12.0-M5	0.6.0		2c1dd8d94647b46afaf31ce8f6a73dfc88c30bb2
com.github.xiaosalanqiao	vplus-ui	2.1.2		N/A
com.google.api.grpc	proto-google-devtools-source-protos	0.1.0		ade182481f34af86775f7ee52fa6a6f93606522d
com.google.api.grpc	proto-google-devtools-source-protos	0.1.1		47b5666cda373b4617694c456755c104a8460fd1
com.google.api.grpc	proto-google-devtools-source-protos	1.0.0		76ffef854b50f3a558b7643e7608bb79eb23125d
com.google.api.grpc	proto-google-devtools-source-protos	1.0.1		b9844000d39ff507e56f7424c97dda9e4f261da0
com.google.api.grpc	proto-google-devtools-source-protos	1.0.2		4736154f8b8ab64484c18fb09ae9c394a4ff2fe7
com.google.api.grpc	proto-google-devtools-source-protos	1.1.0		7cdbcf09432c1e9d1e38d207c2c7bd884f15c706
com.google.api.grpc	proto-google-devtools-source-protos	1.1.1		6aae1a353231e298da0424f57f520b32861e391b
com.google.api.grpc	proto-google-devtools-source-protos	1.1.10		f7c69c00d2ce427678ebf4a653220309675eb618
com.google.api.grpc	proto-google-devtools-source-protos	1.1.11		7a5cf826ab71b53c0ad223e9d82c02757caf48eb
com.google.api.grpc	proto-google-devtools-source-protos	1.1.2		4915c2cd078a2c05961e182f345657777185187a
com.google.api.grpc	proto-google-devtools-source-protos	1.1.3		972854ab7fbda0ae8a7d2c8130f58aab834e6635
com.google.api.grpc	proto-google-devtools-source-protos	1.1.4		dacac5149feef859b7b3b168e10ae9b36a8555d0
com.google.api.grpc	proto-google-devtools-source-protos	1.1.5		ca929c1859a4f657a6f668c7562326c45a422a41
com.google.api.grpc	proto-google-devtools-source-protos	1.1.6		4d7f36e5b2eb69e183c58f036b4a26809e9157eb
com.google.api.grpc	proto-google-devtools-source-protos	1.1.7		19dcf004f0d952943b6e7282d775f876307669ab
com.google.api.grpc	proto-google-devtools-source-protos	1.1.8		2da96aec2764af84e991752a4da0483dcecb0f70
com.google.api.grpc	proto-google-devtools-source-protos	1.1.9		b78a69c69365bebe66268d9e1b478d02a96b0c74
com.google.api.grpc	proto-google-devtools-source-protos	1.10.0		68a86fba9f622d553c67ba932d1615dbe3674bf1
com.google.api.grpc	proto-google-devtools-source-protos	1.11.0		9480f02d6c155d75d66ca9e02de113b49e6c0bb4
com.google.api.grpc	proto-google-devtools-source-protos	1.12.0		5fe0fcf78d4dd36ecaeda86e6b49d921581d41eb
com.google.api.grpc	proto-google-devtools-source-protos	1.13.0		85d6dd1e5bd5d3960c63519ceeeba566989ee418
com.google.api.grpc	proto-google-devtools-source-protos	1.14.0		4567e7e98c52e5402b2291670336a9c2624ceba7
com.google.api.grpc	proto-google-devtools-source-protos	1.15.0		0bd261836a9c64fb12d015e234871cae25e8b1dc
com.google.api.grpc	proto-google-devtools-source-protos	1.16.0		9638108e21e5420dddf6ab704a78f9eb2c0ba369
com.google.api.grpc	proto-google-devtools-source-protos	1.17.0		49659523ee0a61b76a744ea935000ea3967a6402
com.google.api.grpc	proto-google-devtools-source-protos	1.18.0		958fc0b1f267e3efa6b90fab50eebfb5d63d8861
com.google.api.grpc	proto-google-devtools-source-protos	1.19.0		d152a82dbb452655583cfe1407a63185d56e6213
com.google.api.grpc	proto-google-devtools-source-protos	1.2.0		e4adccff1b15603e447236cb48af587896f91940
com.google.api.grpc	proto-google-devtools-source-protos	1.2.1		0be4eb573c5a6a3667967cb4d65ce8217cbd75c5
