app.tulz	tuplez-full-light_sjs1_3.0.0-RC2	0.3.6		23e22a39fe6bda2c7530270b54a02ffe8691167c
aws.sdk.kotlin	wisdom-jvm	1.0.0		ed26dbd47116e61b53cc85582e3127476b9b8cd0
aws.sdk.kotlin	wisdom-jvm	1.0.1		25ef64a59ef3bb02a06ed3f4b2e038071464fbf8
aws.sdk.kotlin	wisdom-jvm	1.0.10		e3c1b873eecabb46cf4ceccb93b5ff15235f9846
aws.sdk.kotlin	wisdom-jvm	1.0.11		79f6288c56cdb3b63d1847bce6d17e6e326f8852
aws.sdk.kotlin	wisdom-jvm	1.0.12		4bef5abcff9542092e4c45e6ef7664d850a8f3e2
aws.sdk.kotlin	wisdom-jvm	1.0.13		62f4fb59ef5e3cbd890a297fe482d3bbad6439ad
aws.sdk.kotlin	wisdom-jvm	1.0.14		cd5c842ea1de7a79d74ac1f95c7019be69140826
aws.sdk.kotlin	wisdom-jvm	1.0.15		03500f7f2cfcb75e1ea86559772424f9336172a4
aws.sdk.kotlin	wisdom-jvm	1.0.16		6423b1db0a3e579fb50428316a7c61bc0e3f5086
aws.sdk.kotlin	wisdom-jvm	1.0.17		1917d7bcc89bcc23026f1e09d71bdfa01c24cba3
aws.sdk.kotlin	wisdom-jvm	1.0.18		8522dc62065ab234b016a5f3e881a570c2eb04f7
aws.sdk.kotlin	wisdom-jvm	1.0.19		7681d87843f7734ab88b9303b017ae8016af950e
aws.sdk.kotlin	wisdom-jvm	1.0.2		8101d667e43f8544700f8b79ef082843db2fd863
aws.sdk.kotlin	wisdom-jvm	1.0.20		064ab1d9ac31e2ecbe2571981cfbe5089c9c02b7
aws.sdk.kotlin	wisdom-jvm	1.0.21		d1e349390d6c3a2133255a0fcc7d581a337983c0
aws.sdk.kotlin	wisdom-jvm	1.0.22		1db58fec92275faf041ce7a5cc89ae2fbed821cc
aws.sdk.kotlin	wisdom-jvm	1.0.23		fbd25dceaad15754b5148ec5b4cd25c64abff24b
aws.sdk.kotlin	wisdom-jvm	1.0.24		be82ca05e0b6a74cb92beefd1316d9943a126c61
aws.sdk.kotlin	wisdom-jvm	1.0.25		780750b054e1c24482f5429051d387ac4b821462
aws.sdk.kotlin	wisdom-jvm	1.0.26		f683d6fc7c2348e5084c770989d73d9a2437aee7
aws.sdk.kotlin	wisdom-jvm	1.0.27		b12ee686f51d28fe20a3f01bd36bba9488197ca6
aws.sdk.kotlin	wisdom-jvm	1.0.28		be42a3218009df06b95f691fbe78b628f55b92bf
aws.sdk.kotlin	wisdom-jvm	1.0.29		c0608ac5c63555f130dac54cf02acea3085bedf9
aws.sdk.kotlin	wisdom-jvm	1.0.3		f3a8c36de4eea0b8f15fd874580e2835adc66b98
aws.sdk.kotlin	wisdom-jvm	1.0.30		4c610cb119725fc4ee7547d819485b721d8c757b
aws.sdk.kotlin	wisdom-jvm	1.0.31		8c2523b98d71e35044510f1bef64e1ccfe5618cb
aws.sdk.kotlin	wisdom-jvm	1.0.32		6c57f186cd7782fabf3ac56b4b8aac3687c338bd
aws.sdk.kotlin	wisdom-jvm	1.0.33		7e00ae28ce158c2e2b404c1517cd6203cc5b1f55
aws.sdk.kotlin	wisdom-jvm	1.0.34		0ac36f6de9504de73e6226d7329943c03cc79512
aws.sdk.kotlin	wisdom-jvm	1.0.35		cd789ed3323111c9d8038764ba76b10a7f80c343
aws.sdk.kotlin	wisdom-jvm	1.0.36		b5698d73196537ccec37bc504a7bfeb869e8caa8
aws.sdk.kotlin	wisdom-jvm	1.0.37		7f6e6eacd08fdc151419e2b3f0a1c4e961fa7551
aws.sdk.kotlin	wisdom-jvm	1.0.38		2970aefb8b3bb99cd6a14aff53d948e9d4666383
aws.sdk.kotlin	wisdom-jvm	1.0.39		8946e01e99753e5cc9c988038f03958bd5874efc
aws.sdk.kotlin	wisdom-jvm	1.0.4		329fd741a7274e3838a004a531a042165a334b53
aws.sdk.kotlin	wisdom-jvm	1.0.40		8b88a4a3a376f9d481f539e406bc1820f0314e09
aws.sdk.kotlin	wisdom-jvm	1.0.41		5b43e34ff0dcbc895fc405deda065f8fceaf5957
aws.sdk.kotlin	wisdom-jvm	1.0.42		e225135d66b3728cdff0ea8caf135767cd3aaf26
aws.sdk.kotlin	wisdom-jvm	1.0.43		59719c80cf67b41cb5c04303bd8b3ff6dd3574d1
aws.sdk.kotlin	wisdom-jvm	1.0.44		742bd65e561ce66ca465649241b2989c92d62990
aws.sdk.kotlin	wisdom-jvm	1.0.45		859f876fcba131f584b96272ae20bfd8a87625da
aws.sdk.kotlin	wisdom-jvm	1.0.46		4269e2d5d71c2bea457525da97fb3e8119018f1f
aws.sdk.kotlin	wisdom-jvm	1.0.47		c14f51945df1bc5a79c1c0a7057b7421f90bab4f
aws.sdk.kotlin	wisdom-jvm	1.0.48		b573801e8a97400da03d61f6d05b808abdceb7a8
aws.sdk.kotlin	wisdom-jvm	1.0.49		3c3709427750f1f46cb4883d464795d6c1e128f6
aws.sdk.kotlin	wisdom-jvm	1.0.5		e1fad7932c6ee0a2796557b93d65c7c4da5a51c6
aws.sdk.kotlin	wisdom-jvm	1.0.50		cc4fd608086131f4bfbdf4d5a0090d1cc62882e7
aws.sdk.kotlin	wisdom-jvm	1.0.51		b13c1a175cd4689c132575575a5bf7e66c41adaa
aws.sdk.kotlin	wisdom-jvm	1.0.52		e8180449a5d2bce2200eb5638c9ac404e0899c4e
aws.sdk.kotlin	wisdom-jvm	1.0.53		a7b41be8ff4d8b1be8a548c59193b418f11f55d4
aws.sdk.kotlin	wisdom-jvm	1.0.54		72fff04bfe6f70729a6dcc916396f333694d8fe5
aws.sdk.kotlin	wisdom-jvm	1.0.55		e806e2c22affaf2bd85f5dff5c2b1569896df390
aws.sdk.kotlin	wisdom-jvm	1.0.56		d58c27827d03d5a63c03fa3b6f4aad5c3ea2f60b
aws.sdk.kotlin	wisdom-jvm	1.0.57		670166e1100094d9ba7c4c89fb9303ed71454bbf
aws.sdk.kotlin	wisdom-jvm	1.0.58		9a510b20e269c6eb5d3d781258e4b8eb7744dc21
aws.sdk.kotlin	wisdom-jvm	1.0.59		6f24a0a5e1369efdda9cc6584e7dbc6c6fcb64eb
aws.sdk.kotlin	wisdom-jvm	1.0.6		94a612f086a98f4db13b7c42d5956baa6a0ab0c4
aws.sdk.kotlin	wisdom-jvm	1.0.60		91f4a4fe16f96ff2b38494c45f6ce85c14dd04c9
aws.sdk.kotlin	wisdom-jvm	1.0.61		be08aba4a7e2cab04ebad656fe6216f18cdcfff0
aws.sdk.kotlin	wisdom-jvm	1.0.62		9d1c0a28f4e53aeaf4783f8f850d874fa700f952
aws.sdk.kotlin	wisdom-jvm	1.0.63		9a44668191ad6aebe889aea4c0cffb78742584f9
aws.sdk.kotlin	wisdom-jvm	1.0.64		be2b0d2eadfb4d27d5053158af20c770471dceef
aws.sdk.kotlin	wisdom-jvm	1.0.65		5077ff3869ca5f03a513479f767d7244d19ecdd3
aws.sdk.kotlin	wisdom-jvm	1.0.66		2dc0dbbcd0fc4203b79f6815a9dceaf34d25011c
aws.sdk.kotlin	wisdom-jvm	1.0.67		10b16d0856a8412e4974dea5831dae39d3aa6550
aws.sdk.kotlin	wisdom-jvm	1.0.68		92b73130efea29f446ce71c2e3a02b91e51fdee1
aws.sdk.kotlin	wisdom-jvm	1.0.69		9613af775d204a4e6bd6a71b10fd334be3b2547d
aws.sdk.kotlin	wisdom-jvm	1.0.7		680722f8687119cce350f517b258266539b6e7ba
aws.sdk.kotlin	wisdom-jvm	1.0.70		93721e650ed7f2b09d47f99271a44379080fdb51
aws.sdk.kotlin	wisdom-jvm	1.0.71		3a001e36e607a8908223a3ed9cc389945afcc4f4
aws.sdk.kotlin	wisdom-jvm	1.0.72		9abc9915aa14bfdeefa0a89acbed3a487865f1b8
aws.sdk.kotlin	wisdom-jvm	1.0.73		90abdacda70103be7704590eb19f642c38dbe430
aws.sdk.kotlin	wisdom-jvm	1.0.74		77597e83854b5b49479ab7a800b681bec44807d1
aws.sdk.kotlin	wisdom-jvm	1.0.75		0f0b08b67bf1fdc338a822c564109361aaf0c1fb
aws.sdk.kotlin	wisdom-jvm	1.0.76		334149f04165caa449cdd196dca6c4a9000a4687
aws.sdk.kotlin	wisdom-jvm	1.0.77		e74a7ab4395a3fb9adabf6e87d2affd24249ce54
aws.sdk.kotlin	wisdom-jvm	1.0.78		344333d4d005b44ed6d53a7f760e15896edaf331
aws.sdk.kotlin	wisdom-jvm	1.0.79		083fe6120e23c844a0c7a70921d447af7dd6db0f
aws.sdk.kotlin	wisdom-jvm	1.0.8		63e61a1869ba6c4b0007e6eba7ba4d2bc03af08f
aws.sdk.kotlin	wisdom-jvm	1.0.80		ba1eaa6d95bd77bfc2e97ba8a5d0e8a8961e5221
aws.sdk.kotlin	wisdom-jvm	1.0.9		d5ece3feba0a2aeda48af9a3ee5d21779d5d26aa
aws.sdk.kotlin	wisdom-jvm	1.1.0		59e566def0cc2b5298229d59b105e86bbba8b136
aws.sdk.kotlin	wisdom-jvm	1.1.1		ff794d87ce54a39883d7335a22a7a78a1734dcab
aws.sdk.kotlin	wisdom-jvm	1.1.10		5b16ad1284496dc9612af48a7074e1b5891fdbe6
aws.sdk.kotlin	wisdom-jvm	1.1.11		dcf73a9dbc580ae7601a71323132063e2e083d68
aws.sdk.kotlin	wisdom-jvm	1.1.12		ba21a1ff8a192bdf34cfb9b680cf2d1fe27bcb0f
aws.sdk.kotlin	wisdom-jvm	1.1.13		4bd77ef1cb3543c210cb2a4c7ef7c5c80eefce3c
aws.sdk.kotlin	wisdom-jvm	1.1.15		823cda721c4c8d0d92a172780918e71c2f4e73bb
aws.sdk.kotlin	wisdom-jvm	1.1.16		c08e658271652046260d2c16e096f014689e83d2
aws.sdk.kotlin	wisdom-jvm	1.1.17		8948e0594bd99bb7c248051f82c36abe7d8947fa
aws.sdk.kotlin	wisdom-jvm	1.1.18		0f7edf2eb48c782db4897d727ef4c1a6349a715a
aws.sdk.kotlin	wisdom-jvm	1.1.19		d6efd71ee7585eb2a999f72a0dc44767214a6c4c
aws.sdk.kotlin	wisdom-jvm	1.1.2		c6bbfa17f4d14e04f9ce88da90a393640ad0d131
aws.sdk.kotlin	wisdom-jvm	1.1.20		de15c073e4fd57f45b8241bf70eeef09779c778c
aws.sdk.kotlin	wisdom-jvm	1.1.21		e5db7546c7387065ec7a0f574820183480c02aec
aws.sdk.kotlin	wisdom-jvm	1.1.22		7350d73f8a1fe9021fe6cc10b157d588ddb252fe
aws.sdk.kotlin	wisdom-jvm	1.1.23		097637259db2f1f85cea4e673c61be9a82b4675b
aws.sdk.kotlin	wisdom-jvm	1.1.24		184029d0318fa748aa22a806cd7e898eb4286614
aws.sdk.kotlin	wisdom-jvm	1.1.25		68a199ca26f8c79e4450925467cbbfb5cbe7cd7d
aws.sdk.kotlin	wisdom-jvm	1.1.26		d0d3f9c20a860fb089950f58922e68448d8e18e1
aws.sdk.kotlin	wisdom-jvm	1.1.27		3dab87633d7d41141bb9e80889aa136a622dcd86
aws.sdk.kotlin	wisdom-jvm	1.1.3		b22f462175fe2febb73f8fa6fd975ef5adf9eb13
aws.sdk.kotlin	wisdom-jvm	1.1.4		d3af135e432c796302de73e809ee42fc38aa3423
aws.sdk.kotlin	wisdom-jvm	1.1.5		232dfb53e9006085865acee16cc53f70f3214963
aws.sdk.kotlin	wisdom-jvm	1.1.6		a14274b1caef632a4cb86c4581642e46c9947ee9
aws.sdk.kotlin	wisdom-jvm	1.1.7		b3e8d149db0d3004ebc8b3a81eb4c1fcd4c321dd
aws.sdk.kotlin	wisdom-jvm	1.1.8		961ee470c94799d2f03631bd86def3343ec0d32a
aws.sdk.kotlin	wisdom-jvm	1.1.9		c5eeef46873894440cb1e7fde66ad1878b96536b
aws.sdk.kotlin	wisdom-jvm	1.2.0		54b2e607bbc98392bf191c5ce6cb75ddd3b2b843
aws.sdk.kotlin	wisdom-jvm	1.2.1		d611c61c2af773434144bc259abfd04eca6f9884
aws.sdk.kotlin	wisdom-jvm	1.2.10		fc1cfacc6bb24463267f5ac783c795324771e36e
aws.sdk.kotlin	wisdom-jvm	1.2.11		ace3134fd650316f91ebc6fa174a2a7793da7958
aws.sdk.kotlin	wisdom-jvm	1.2.12		3a8ef4458a69b2e594685d4bed8b9ce74e45d338
aws.sdk.kotlin	wisdom-jvm	1.2.13		96f834552fca6bfdfe03e6fba59f5dcfc68aada0
aws.sdk.kotlin	wisdom-jvm	1.2.14		e032a1d6b5eb1f177b3b2b3b8fad47454ed62a89
aws.sdk.kotlin	wisdom-jvm	1.2.15		244aaa02d49d56f7b9d2a01845af0fbbd9e4572d
aws.sdk.kotlin	wisdom-jvm	1.2.16		caf9561e0e63bc4a3dd857a9cd93055c7378bd6d
aws.sdk.kotlin	wisdom-jvm	1.2.17		6af97efab64d324ca1c5eb09d25b63c4f8fe8ed9
aws.sdk.kotlin	wisdom-jvm	1.2.18		892f6a24e839f8a3fa05312e68a3b91e3a5e7cc3
aws.sdk.kotlin	wisdom-jvm	1.2.19		d2e88fcf3c2ff4b655716a76bb9813675949ca68
aws.sdk.kotlin	wisdom-jvm	1.2.2		7d2f580152bce8ccbe32826d56d7bad1019d67d3
aws.sdk.kotlin	wisdom-jvm	1.2.20		49f396a34dc14e16aef8e8b672fb29639b00aac8
aws.sdk.kotlin	wisdom-jvm	1.2.21		fa7013db72bdae56b9972c687de541a992775976
aws.sdk.kotlin	wisdom-jvm	1.2.22		e3e2f5374cefb04ebb6ed3dc15dcaa0aabaedfb4
aws.sdk.kotlin	wisdom-jvm	1.2.23		91a4db423f5c90884b644ee29f3cd338d02778a0
aws.sdk.kotlin	wisdom-jvm	1.2.24		897ab2e4e7d7a8e9835d202056660e2d4a78c4bf
aws.sdk.kotlin	wisdom-jvm	1.2.25		d96cb944ef1eed2cd5ce53c5ad4d3d71e48d6c3f
aws.sdk.kotlin	wisdom-jvm	1.2.26		4ae88183da3c39d467ef2a2574a4954e4033eed0
aws.sdk.kotlin	wisdom-jvm	1.2.27		703b7572339ad9f93c5c69b748ac7a84875625a6
aws.sdk.kotlin	wisdom-jvm	1.2.28		c308571be7bb3bdf799096af6576eca9e5cfe473
aws.sdk.kotlin	wisdom-jvm	1.2.29		48ad2849565aadb6a40163f1fc9f499ab8c2ab55
aws.sdk.kotlin	wisdom-jvm	1.2.3		3dcb615808657bbab31221bf986332266a1dc652
aws.sdk.kotlin	wisdom-jvm	1.2.30		05474e2c7f2011d68e90cabc63c06ed41019e86d
aws.sdk.kotlin	wisdom-jvm	1.2.31		940c136d3eaf530351c2172fbf0b8f3f7960989a
aws.sdk.kotlin	wisdom-jvm	1.2.32		a967e640130af539f7278e7871735f5c18b9b91f
aws.sdk.kotlin	wisdom-jvm	1.2.33		1dcc16a918ff869297b8fc0ee050ab60634f87c6
aws.sdk.kotlin	wisdom-jvm	1.2.34		e96fbfb02e9466f1fc381b89dceb99536a7a7e91
aws.sdk.kotlin	wisdom-jvm	1.2.35		d603e8d9569c0d052d56f64e6988b55eba6b184c
aws.sdk.kotlin	wisdom-jvm	1.2.36		cad94aee1e2452b63eb7cd5844bc8663c9341252
aws.sdk.kotlin	wisdom-jvm	1.2.37		05f3291eabaca3d3c27f560a03ed12b7a9671e78
aws.sdk.kotlin	wisdom-jvm	1.2.38		e48198f2ad35b43c1cc0711988d563545198e779
aws.sdk.kotlin	wisdom-jvm	1.2.39		29cdbb1eb5797ae7ed070b3e7a6f0696d9287f0f
aws.sdk.kotlin	wisdom-jvm	1.2.4		ad569eef8656bcac2e7e8462c7a31cc063fb37b0
aws.sdk.kotlin	wisdom-jvm	1.2.40		59684b9b9d68281ddd96db4efc5b11667beccc11
aws.sdk.kotlin	wisdom-jvm	1.2.41		e4aa4c5e7df4c421845fe67bf11aa6dad67a9199
aws.sdk.kotlin	wisdom-jvm	1.2.42		692fd7dc661b26fcaa3353153ba43aa1ecc8e8cc
aws.sdk.kotlin	wisdom-jvm	1.2.43		b1a40539a90d1079fdc9afa1ea32fee9246b4aab
aws.sdk.kotlin	wisdom-jvm	1.2.44		ce6968dc574752e9667b11fce552bd4a7bc63959
aws.sdk.kotlin	wisdom-jvm	1.2.45		0f121cf47f2bd6ee6222cb6721e091de2fa25da6
aws.sdk.kotlin	wisdom-jvm	1.2.46		53d3666318a32903befb55b869a88f556f30d516
aws.sdk.kotlin	wisdom-jvm	1.2.47		d6b0e8143cd9bd020a015642a3ddae14e4a539a6
aws.sdk.kotlin	wisdom-jvm	1.2.48		cd2e7d6d01233c73cd2678c2bebde8529082de83
aws.sdk.kotlin	wisdom-jvm	1.2.49		74b68eef1c8a90743a55c7108c26608434976000
aws.sdk.kotlin	wisdom-jvm	1.2.5		ccbec47a74cb41f513b983780085d006efc2b74e
aws.sdk.kotlin	wisdom-jvm	1.2.50		0700aed32860a0dace98643d39816fcadf44e375
aws.sdk.kotlin	wisdom-jvm	1.2.51		66deed832f2e2c1e9a0833dd4514ed08eda46f49
aws.sdk.kotlin	wisdom-jvm	1.2.52		de5243835622ad4e291ad2d9f50f657f30b8db7c
aws.sdk.kotlin	wisdom-jvm	1.2.53		b72f633246471765d35125b3711b6fd805c3408d
aws.sdk.kotlin	wisdom-jvm	1.2.54		957166b082216b8ce1fb0a9d4e0ff0eb5b6f654c
aws.sdk.kotlin	wisdom-jvm	1.2.55		93de834a87154f6f45a877f04cd39c8d9a9e02a4
aws.sdk.kotlin	wisdom-jvm	1.2.56		0122b05b435d9a7fa7382e4d813bf69518ee3628
aws.sdk.kotlin	wisdom-jvm	1.2.6		c596ad9ba09dd9cd79533ac14303e2d5f13e00f4
aws.sdk.kotlin	wisdom-jvm	1.2.7		bbfe2d6dba7b4b753b63bfc4c3f7310409cc7188
aws.sdk.kotlin	wisdom-jvm	1.2.8		5ee06fc271092807f447310ecebdecd7161d3946
aws.sdk.kotlin	wisdom-jvm	1.2.9		9ed6a333829dde66f419f3d14fceea8477e083fe
aws.sdk.kotlin	wisdom-jvm	1.3.0		8d039c161aa12052efbf657b693950633d6ba3b8
aws.sdk.kotlin	wisdom-jvm	1.3.1		3b1ba4f4ee90a0b9f80829d00778d7884bb91358
aws.sdk.kotlin	wisdom-jvm	1.3.10		343df6c9a05e7f58bd08de44b3d39fa28bc34e4c
aws.sdk.kotlin	wisdom-jvm	1.3.100		5ce01e84fa00882b6703bb8386a75609f829fbae
aws.sdk.kotlin	wisdom-jvm	1.3.101		70aeca48ee713ac1b5c5aa081ba5ca7c0d73d708
aws.sdk.kotlin	wisdom-jvm	1.3.102		9f5a455f661b6dc46a6a1c62d7c5ae4405d5a3ab
